,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
clock,1.4178311,0.97010505,0.5861845,0.98231167,1.4515207,0.60583115,0.5250633,0.99157155,0.79621524,1.2696397,1.0936911,1.3551776,0.69963837,1.376332,1.3498206,0.8916335,1.3819329,0.99953663,0.8746439,0.4287557,0.49199343,1.0629237,0.8327479,0.76757663,0.5518743,0.75863075,0.71484923,0.8067664,0.97718084,1.1551845,1.0776404,0.9057998,0.0,1.150631,1.02441,0.56022525,1.007783,0.86438376,1.0698677,1.3504403,1.3251138,0.53962445,1.3026731,0.41406596,1.0003872,1.051604,1.5159607,1.0882584,1.0682065,1.2467053,1.2343584,1.0533503,0.6853894,1.2583537,1.226754,1.0101742,1.0800999,0.86912787,0.883613,1.1743325,0.6201125,1.0245217,1.0710124,1.1551028,0.97481346,1.2649171,1.2979457,1.013106,1.2806948,0.86822677,1.3536792,0.8306753,1.0853387,0.8830948,1.3307333,0.9096083,1.3838832,0.8322605,1.0960073,0.45911467,1.26406,1.1849791,0.6158091,1.0237974,1.4795035,1.3059164,1.1417986,0.72535586,0.58547616,0.92697847,0.8080426,1.1848776,0.62122566,1.0272129,1.2894964,1.3863741,1.421286,1.200708,0.590412,0.7029066,0.989333,0.8609998,1.1550863,0.89975196,1.0315225,0.87896985,0.4400419,0.9302812,0.9350003,0.8627492,0.4966402,1.0771428,1.056134,1.1845787,1.333889,0.8295516,1.3311837,0.9595176,1.4073659,0.94485915,1.1255231,0.90102774,1.304795,0.6716933,1.2279122,0.3870852,1.0680301,1.2571003,0.6748572,0.9986422,0.53547907,1.142714,1.3420017,1.2113494,1.3292618,0.3914646,0.87680197,0.92833424,0.84767884,0.9057806,0.72381866,1.2228892,1.0739671,0.930299,0.84330064,0.7608436,1.130916
closet,0.9884611,1.1674936,1.3838345,1.2335198,0.85367334,1.2234395,1.348575,1.3181515,1.0178562,0.49387187,1.0584433,0.74009705,1.2135699,0.5254956,0.9139368,1.1944612,0.84038806,0.90125763,1.0902426,1.1913558,1.2517447,0.85622823,1.3406683,0.7944204,1.138185,1.2136097,0.8214507,0.9925927,1.361629,0.7488209,0.591633,1.1775817,1.150631,0.0,0.7270321,1.1014676,0.9959319,1.2876431,1.2022557,0.76423275,1.1919711,1.3476636,0.6056684,1.1813519,0.9918743,1.0177658,0.84973836,1.142517,0.2848735,0.74783003,0.69485617,1.0993652,1.3679274,0.83434623,0.8394543,1.3052151,0.943333,1.3955971,1.1695195,1.2617984,1.2000909,1.3888972,0.9413545,0.9868707,1.1322789,1.1862984,0.9666921,1.3984078,0.7830516,1.1459494,1.1589837,1.0498482,1.0042633,0.69284534,0.7074081,1.0879902,0.9185499,1.1286877,0.60345715,0.83476293,0.9126774,0.98804545,1.3758645,0.9182807,1.0494869,0.71766233,0.7370839,1.1745831,1.3072114,0.8785181,1.1939639,1.1605743,1.3519804,0.3869722,1.0189408,0.8235941,0.84524107,0.98295313,1.3166282,1.3367438,1.1255803,1.3032328,0.9381249,1.0260229,1.1998228,1.1679647,1.2528999,1.0901589,1.4290662,1.0030041,1.0040902,0.37778568,0.96281654,1.0281688,0.82809293,1.2300525,0.76655555,1.2386497,0.88727665,1.2119853,0.47112113,0.74187636,0.90255636,1.316419,0.7164604,1.0880243,1.1311531,1.01209,1.2749157,1.0209032,1.2717464,0.6651609,0.6594524,0.81450325,0.62203187,1.3940201,1.3484285,1.3720807,1.2001395,0.85305667,1.3276987,0.98161167,0.8566362,0.80543804,0.5785096,1.2628505,0.45555973
coat,0.8366179,0.94907904,1.1950959,1.2972542,0.9689446,1.1143471,1.1417737,1.2382123,1.0823832,0.82784534,1.0666156,0.8947554,1.0733272,0.8220308,0.7671582,0.8494162,0.9128058,1.0054456,1.1158981,0.9481881,1.1368799,1.104193,1.2887428,0.85036457,1.0819575,1.0132922,0.9128099,1.0148349,1.2249732,0.73615026,0.98972374,1.1477585,1.02441,0.7270321,0.0,1.2000866,1.0415134,1.2718418,1.1200469,0.8831624,1.2257462,1.0760251,0.8788936,1.0379894,0.9834944,1.1251038,0.8007697,0.99547863,0.68773973,1.1839889,0.6943331,1.0587636,1.2187309,0.73726726,0.9348699,1.1826292,1.0495253,1.1258364,0.9807737,1.1936474,1.0009639,1.2560152,1.0447932,0.9815338,1.189619,0.9482306,0.9998709,1.2859061,0.8213781,1.1661046,1.1712611,0.8926978,0.9578185,0.82770324,0.5705081,1.1254828,0.8897828,0.9996021,0.89114046,0.8888992,0.8417761,1.0674807,1.2425723,1.0081463,1.0087612,0.9337981,0.8640959,1.1844635,1.1131775,0.71239746,0.98874086,1.1849939,1.2299234,0.71608174,1.0472567,0.72158813,0.8120959,1.035729,1.0584335,1.1242075,1.1659708,1.0909282,1.046998,0.98148227,1.1483934,0.9070959,1.2563503,1.0198888,1.3263183,0.87655175,1.0563488,0.7144781,1.0315815,0.8719193,0.6861447,1.1760612,0.6547569,1.1047162,0.8918174,1.099081,0.8144463,0.98937017,1.0658946,1.1315744,0.8406799,0.9464648,0.81259584,1.0530828,1.141565,1.009284,1.058914,0.8238061,0.6617136,0.98760587,0.91253805,1.2413211,1.1625648,1.2426057,1.0631516,0.6477963,1.2311329,1.0977387,0.8642831,0.91640157,0.7237148,1.1017989,0.79393506
coffee,1.3115356,0.88247395,0.8219759,1.0199746,1.2218107,0.8123665,0.7840048,0.9402841,0.9354441,1.1453521,0.9742144,1.2801392,0.7550893,1.1597553,1.2619139,0.9819932,1.2622083,0.96677005,0.9370368,0.7785549,0.62708545,1.0083839,0.8332963,0.92890036,0.76744884,0.95329535,0.7417021,0.9844057,0.93533874,1.0635016,1.035214,0.83685774,0.56022525,1.1014676,1.2000866,0.0,0.88743824,0.8109938,0.9680646,1.260225,1.0528096,0.7970566,1.2607067,0.6588411,1.122881,0.8764233,1.3542435,1.1673485,1.0554913,0.92084944,1.2028478,0.963386,0.71584874,1.2328066,1.1832885,0.9409799,1.1073685,0.9302349,1.1453079,1.0233729,0.7139329,1.0523944,0.9792731,1.0465631,1.0063599,1.1289253,1.2231432,0.9313052,1.2123432,1.0108049,1.0777006,0.9508624,1.1370721,0.99228317,1.3910477,0.93088025,1.2853237,0.8760498,1.1692363,0.6832908,1.1903372,1.1094611,0.7266551,0.9373494,1.2176893,1.2280837,1.2219938,0.70852876,0.80280733,0.9178411,0.9294449,1.0477324,0.7611113,0.980962,1.1506776,1.3325062,1.3021448,1.0609223,0.79222786,0.79549503,0.9537049,0.9962987,0.9086242,0.9035743,0.98380154,1.023485,0.47852004,0.9752928,0.84848523,1.1399632,0.7592925,1.074244,0.9929147,1.1724771,1.2924017,0.93222123,1.2984524,0.9664876,1.2425499,0.9319854,1.1221399,0.7874589,1.2200488,0.7906606,1.1549361,0.6761658,1.0450401,1.0628461,0.701056,0.89991504,0.7690922,1.2411659,1.3024551,1.2199328,1.2185403,0.63528496,0.9372332,0.89520025,0.9396907,0.9517091,0.962141,1.1167638,1.0973481,0.95181096,1.0640457,0.91005707,1.0903485
comb,0.9727848,1.0035379,1.2380948,1.2511799,0.922004,0.9966188,1.1512302,1.0262636,0.6214698,0.83343786,0.8959146,1.0125027,1.1943029,0.9764255,0.9506409,1.075803,1.0216058,0.848398,0.8609899,1.0800472,0.98894167,0.8120355,1.1149317,0.9283025,0.9201214,0.96346,1.1227506,1.0795959,1.1908001,1.0137842,1.0582337,1.0718759,1.007783,0.9959319,1.0415134,0.88743824,0.0,1.1285421,0.7115643,1.0181444,1.0336475,1.1060956,1.0132898,1.0867615,0.9902995,0.7308768,1.0871537,1.0928756,1.0515897,1.0379303,1.0389534,1.1029445,1.2051483,1.028747,1.046217,1.0744274,1.0068829,1.1741667,1.1464001,1.1506121,0.868179,1.1158528,0.97078115,0.8427663,1.1738784,1.1404531,0.89319485,0.8044504,0.9763727,1.0065011,0.9166617,1.032062,1.0358683,0.8453372,1.0915445,0.9435287,1.0982144,0.7491257,0.97288334,1.0336758,1.0523225,1.0213726,1.0178399,0.7994492,0.9069156,1.0215493,1.0001414,0.9970447,1.1475716,1.0020715,1.1306208,1.0928879,1.2089336,0.99745935,1.0633078,1.0309048,1.1375551,0.84129417,1.0338889,0.9323261,1.0832326,0.97988224,1.0786589,1.189863,1.0070049,1.1566615,0.951129,1.1172577,1.1081195,0.9663541,1.0805176,0.971137,1.0470756,1.0716529,0.92381716,0.9309528,1.0246649,0.7974585,1.1759104,0.70491743,0.88229823,0.67597604,0.91173434,1.1786544,1.016052,1.0611119,0.9523417,1.0788193,0.80568624,0.90215534,1.1533666,1.0696242,1.0566467,0.86496234,0.94349694,1.1344644,1.1611329,1.1051672,0.81191826,1.0116563,1.0428033,0.80710506,0.8781926,1.0676883,1.0076448,1.1041684,0.96318585
cookie,1.0075428,0.9496925,0.7850105,0.6031423,1.0686154,0.89146036,0.8516373,0.6575736,1.0796365,1.2816446,1.0381875,1.1998644,1.0599214,1.2457082,1.1286744,0.9107949,1.1837326,1.0308998,0.9765461,1.0763922,0.97586215,1.0265522,0.5026651,1.1600572,0.92681605,0.9012177,1.2163713,1.1627291,0.9452514,1.3104516,1.1032597,0.6698103,0.86438376,1.2876431,1.2718418,0.8109938,1.1285421,0.0,0.74854517,1.193513,0.6889486,1.0200748,1.2173473,1.033467,1.0495076,0.9978516,1.2065817,0.8959824,1.2692556,0.97677815,1.1233335,1.0081929,0.7060737,1.1898735,0.9871034,0.90210843,1.0530378,1.0022005,0.9322336,0.9888261,1.0258507,0.6017383,1.0498768,1.1508663,0.91157037,1.055741,1.1236024,0.8362776,1.0856515,0.71181905,0.9904352,1.0443484,0.9535025,1.2473507,1.2121801,0.70739853,1.1058899,0.96625626,1.13584,1.1210504,0.93622196,1.0346305,0.6686384,0.9327948,0.9893514,1.1881841,1.1752149,0.60419846,0.93272936,1.1195935,1.030802,0.9779977,0.6144335,1.2679162,1.0425496,1.1583412,1.1325319,1.0234371,1.0831698,1.0150235,0.81735295,0.76679087,0.9615597,1.126792,0.6803444,0.9725429,0.7688903,0.86697984,0.48998892,0.9466258,0.9899266,1.2782581,1.1091428,0.9494905,1.2404599,0.9354375,1.1626968,0.9856406,1.202152,0.87920034,1.2882721,1.2734256,1.1484598,0.9771291,1.2659502,1.0273048,1.1092501,1.0715727,0.96579397,0.9863628,0.9602299,1.1324956,1.1961584,1.1839665,1.1689107,0.6825754,0.91146463,0.97787493,1.1336242,1.2038164,0.6779558,1.009157,1.1702986,1.1775547,1.2611887,0.9733033,1.2784023
corn,0.9468044,0.9693897,0.9854204,0.8419987,1.0416325,0.97963434,0.9672019,0.39421713,0.93026924,1.2076969,0.9714921,1.2394576,0.97460985,1.1926254,1.0584434,0.9654823,1.2191114,0.81520736,1.0019493,1.0575625,0.9460979,1.0155827,0.85790205,1.0174669,0.97387975,0.8624316,1.1783532,1.1659405,0.75750005,1.1670473,1.2555757,0.8364789,1.0698677,1.2022557,1.1200469,0.9680646,0.7115643,0.74854517,0.0,1.2138098,0.5696286,0.89548486,1.2555954,1.0392379,1.0574313,1.003875,1.179783,1.0309614,1.286353,1.0810312,1.1220651,0.9684205,0.86935914,1.079871,1.0564169,0.8964148,1.000219,0.88168395,0.9221451,0.95427704,0.8402051,0.7313063,0.9490787,1.0022169,0.99176496,0.9972245,1.0300809,0.7801129,1.060719,0.9062287,0.91489065,1.0039864,0.96402115,1.0361458,1.1815624,0.8993008,1.1046839,0.7967799,1.1744963,1.1003805,1.0025386,1.0025117,0.77833295,0.9433744,0.8825807,1.1716377,1.1875213,1.0195104,1.0382499,1.1095113,0.99370146,0.9380853,0.8852582,1.2734125,0.9361797,1.1239877,1.1431167,1.0110447,0.94804144,0.8543121,0.9487695,0.60102886,1.055445,1.2113559,0.8105389,0.9859221,0.96884716,0.959225,0.768761,1.0895154,1.1148685,1.289433,0.9748705,1.0355188,1.0888828,0.86110854,1.1425653,0.98884356,1.1861255,0.7044123,1.2372291,1.1424342,1.009154,1.0193673,1.2117002,1.0584798,1.0028677,0.98512065,0.8838797,1.022527,1.0426021,1.2270887,1.192869,1.0278306,1.1917155,0.86902106,0.97714585,0.9591599,0.9159028,1.1304728,0.7757164,0.9156337,1.0752519,1.1377753,1.1486809,0.94570225,1.1791443
couch,0.61904776,1.1510687,1.4783734,1.207495,0.54206437,1.1286845,1.3869843,1.2570302,1.0471103,0.51646686,0.90471005,0.03741765,1.5055277,0.56908774,0.4674846,1.1466,0.19841218,0.93043125,0.83144325,1.4450779,1.355173,0.65534186,1.3552833,1.2496798,1.3978391,1.3802459,1.334692,1.1043831,1.4014461,0.93330985,0.7906237,1.1889267,1.3504403,0.76423275,0.8831624,1.260225,1.0181444,1.193513,1.2138098,0.0,1.1052189,1.5320891,0.39188337,1.4891981,0.9907873,0.8076902,0.5416821,0.8261642,0.89467776,0.8475265,0.6700909,1.3647611,1.395095,0.56106925,0.77706575,1.3757694,0.88302374,1.3395967,1.1812837,1.2920973,1.5452474,1.1087886,0.8447841,0.7841377,1.3231087,0.9825663,0.51471066,1.1038437,0.8216102,1.1481552,0.9792366,1.2235736,0.7476301,1.0683984,0.48279798,1.0212691,0.51696694,1.2310163,0.8398638,1.4336348,0.9127461,0.8256065,1.4280764,0.8404008,0.66856915,0.6683129,0.7438248,1.1981856,1.4638579,1.0746523,1.4100208,1.2587975,1.42972,0.88220555,0.9972273,0.3286385,0.49656415,0.5927111,1.5520141,1.4832599,0.9601343,1.4393079,1.1610864,0.96257675,1.2772968,1.382241,1.3618754,1.1133488,1.319942,1.0086457,1.3660108,0.8058208,1.0197759,1.1436,0.7837003,1.1804757,0.51672447,1.0740963,0.7174953,1.0733075,0.82229376,0.95438206,0.4319151,1.5222086,0.7347342,1.4949441,1.0001982,0.9363698,1.3270808,0.9703537,1.4151368,0.69842076,0.4582556,0.68178743,0.3071195,1.5391897,1.4441211,1.4501767,1.2043575,1.047464,1.1284236,0.5472817,0.8278949,1.1705166,1.1020898,1.4637969,0.7721646
cracker,0.7576177,1.2123746,0.998067,0.67694473,0.9674452,1.1928205,1.1128557,0.5683102,1.1018902,1.1985322,1.0321783,1.0979062,1.0481308,0.97302806,1.0290732,1.1012543,1.0589018,1.0809884,1.0223712,1.2508141,1.1652676,0.996715,0.8550724,1.0686849,1.1860167,1.0225872,1.2279425,1.1203247,0.6567477,1.0573804,1.0888109,0.8513032,1.3251138,1.1919711,1.2257462,1.0528096,1.0336475,0.6889486,0.5696286,1.1052189,0.0,1.0512489,1.060692,1.2394516,0.98261887,1.0915068,0.9530958,0.9869139,1.2097005,0.8004812,1.0705131,0.9745287,0.96683156,1.091127,0.93654954,0.9847614,0.98558325,0.77913797,0.8695655,0.8514924,1.0715287,0.45068288,0.9284916,0.951153,0.9768676,1.0158297,0.86033857,0.66428643,0.97714835,0.9698639,0.8630835,1.271029,1.0357288,1.2775481,1.1236674,0.7167264,1.0057632,1.01927,0.97248316,1.3557433,0.8236219,0.9257317,0.7622064,0.9852987,0.7963243,1.0271325,1.059394,1.000503,1.169424,1.2487547,1.1404561,0.81680506,0.96928805,1.2521088,0.72039884,1.0596309,0.95920706,0.9937024,1.1096854,1.0548338,0.96046287,0.740075,0.7937993,1.1793284,0.5439326,0.75556254,1.0363276,1.0268146,0.75226974,1.1793499,1.264044,1.2565279,0.9837748,0.73311114,0.97045296,0.88826,1.0752307,1.0967861,0.9150638,0.93334246,1.2300104,1.2951053,0.9609297,1.1152759,1.0710645,1.3028611,1.1808232,0.7697063,1.1673808,0.9695881,1.1622689,1.116569,1.1196524,0.9216452,0.9600604,0.98585,1.0664418,0.8707658,1.1402497,1.26684,0.77942014,0.8837589,1.1299562,0.93671465,1.2615392,1.1112276,1.2042754
crayon,1.3328954,0.9872897,0.31063986,0.9624578,1.4434347,0.85553265,0.50469905,0.76553446,0.93803644,1.433099,1.0813608,1.5485122,0.17828578,1.4403334,1.4934458,0.89624643,1.5134778,1.0585668,0.95716554,0.20884514,0.37808412,1.2804117,0.82020295,0.7009194,0.6186678,0.6760921,0.6050159,0.8165527,0.39029998,1.0601537,1.1919609,0.9902384,0.53962445,1.3476636,1.0760251,0.7970566,1.1060956,1.0200748,0.89548486,1.5320891,1.0512489,0.0,1.6099952,0.19136727,1.152939,1.3504015,1.5509741,1.222977,1.2158703,1.2788569,1.414396,0.7413134,0.6385956,1.2480556,1.3458927,0.58832806,1.1064568,0.39455545,0.86546165,0.68858933,0.26062125,0.9510255,1.157752,1.3665676,0.6557103,1.1168368,1.338784,0.9087638,1.2869859,1.0386341,1.204134,0.76283497,1.169855,1.0014126,1.4897592,1.1354251,1.4336276,0.7794882,1.2171786,0.45144486,1.231564,1.3266369,0.6100288,1.314389,1.5277209,1.3875668,1.3937763,1.0366548,0.22392726,0.8807651,0.5428703,0.807386,0.53154504,1.2457972,1.1216084,1.5543194,1.4395714,1.2846227,0.08739567,0.26142704,1.0616174,0.52250624,0.987232,0.7888793,0.93447006,0.6761948,0.6504829,1.0165737,0.86592144,1.029925,0.549743,1.3456513,0.8979832,1.1600301,1.3626735,0.6567565,1.489511,1.0333357,1.3037287,1.0693238,1.2526789,1.0012662,1.4594864,0.2535807,1.2875937,0.31744397,1.0224632,1.3205798,0.7296971,1.2393618,0.24839294,1.3991566,1.549211,1.2827597,1.5472641,0.36081004,0.4525031,0.41432422,0.5069144,0.81041825,0.8028496,1.366758,1.1438347,0.9449116,0.9417391,0.28597587,1.2392559
crib,0.7324934,1.2088158,1.5649045,1.1975548,0.7513105,1.1506205,1.3847191,1.3406954,0.89193064,0.48528075,1.0608991,0.3776204,1.5390086,0.43855178,0.65129995,1.1323985,0.52284855,0.94372565,0.8409648,1.476867,1.3024827,0.5326427,1.401468,1.0998627,1.2248255,1.3167293,1.1044505,0.89508134,1.4633322,0.97887915,0.5548521,1.1296066,1.3026731,0.6056684,0.8788936,1.2607067,1.0132898,1.2173473,1.2555954,0.39188337,1.060692,1.6099952,0.0,1.4956322,0.8893385,0.8508255,0.59139776,0.9215923,0.7734766,0.6165328,0.7078153,1.3954273,1.4236677,0.8558654,0.8275145,1.5082772,0.84879315,1.3165557,1.0874368,1.3617343,1.5490063,1.1031321,0.8009795,0.6926247,1.3913045,1.0238225,0.67970467,1.1143457,0.9007825,1.1564261,1.1073079,1.252872,0.8244652,0.97706157,0.50907254,0.92401564,0.69205356,1.1638242,0.5939673,1.3739351,0.916437,0.76263297,1.4615813,0.75510526,0.7077743,0.52932185,0.42520648,1.1879847,1.5631166,1.0944352,1.4743469,1.3208653,1.4912153,0.6181002,1.0148239,0.5975269,0.6512942,0.7048239,1.610143,1.5691237,1.07131,1.4771798,1.0990167,1.1037121,1.2341558,1.2417821,1.2566583,1.0265663,1.3568956,0.8528861,1.1584948,0.5279635,1.143202,0.9987943,0.7644415,1.1398368,0.67303145,1.0175711,0.76642966,0.993261,0.81195915,0.87068033,0.4090861,1.5826813,0.7779922,1.43943,1.0715972,0.7279397,1.2914984,0.8905585,1.4664755,0.3336408,0.590037,0.6220037,0.34678972,1.5553997,1.5785682,1.4794756,1.3175498,1.1141742,1.0912231,0.5223104,0.8438324,0.92893976,0.8457664,1.5625322,0.76036745
cup,1.4641702,0.99981207,0.27742064,0.984113,1.4964089,0.75406504,0.47780526,0.83631516,0.7847985,1.3523929,1.1029023,1.5029972,0.36793947,1.4437662,1.5099797,0.9243485,1.520859,1.0634384,0.97769636,0.06268215,0.2373696,1.1903826,0.8013761,0.70992,0.3721611,0.76028925,0.4616698,0.8271797,0.6905293,1.090892,1.0976269,0.9240901,0.41406596,1.1813519,1.0379894,0.6588411,1.0867615,1.033467,1.0392379,1.4891981,1.2394516,0.19136727,1.4956322,0.0,1.0702434,1.1985395,1.5802801,1.2097967,1.0702996,1.2904027,1.3543354,0.8527394,0.5819882,1.2896447,1.3015149,0.7729869,1.1324619,0.7104348,0.8483237,0.923529,0.44051707,1.1288705,1.1623565,1.3046031,0.77691793,1.2111675,1.3934213,1.0209477,1.2978234,0.9838231,1.3305645,0.7619183,1.2197586,0.972086,1.474772,0.9646145,1.5330796,0.90705615,1.1734079,0.2978065,1.2415733,1.3181756,0.5644452,1.1244991,1.5734068,1.3726262,1.3458409,0.8984171,0.21529245,0.8308722,0.7058081,0.99567187,0.43463957,1.1114444,1.2251285,1.5768743,1.5184675,1.3082454,0.2864707,0.45666695,1.0673783,0.6094009,1.0640926,0.7763248,0.98487955,0.7279163,0.5493454,0.9971827,0.91363746,0.9547418,0.40932834,1.1553385,0.9496208,1.272541,1.3504503,0.90313333,1.4765537,1.0762461,1.4003847,1.087526,1.1560162,0.83392084,1.4539052,0.3409512,1.270618,0.1400472,1.1002204,1.2924984,0.71527755,1.268381,0.21005636,1.3309797,1.5070958,1.3032296,1.4946367,0.3059622,0.5630264,0.6230897,0.5637289,0.7740473,0.7912394,1.3686287,1.1178663,0.9235829,0.8747517,0.43405288,1.1596768
deer,0.86241347,1.0131052,1.0776207,1.045137,0.9660596,0.954891,1.004617,1.0496831,0.89567196,1.0012764,1.0619556,0.9740888,1.1745632,0.9674325,1.0293474,0.85983765,0.9990182,0.9706628,1.0214167,1.0541451,1.0254021,0.9746188,0.946983,0.9356161,0.92073137,0.851576,1.1028874,1.1157048,1.0707598,1.067225,0.9376284,1.0343312,1.0003872,0.9918743,0.9834944,1.122881,0.9902995,1.0495076,1.0574313,0.9907873,0.98261887,1.152939,0.8893385,1.0702434,0.0,0.9379129,0.86510766,0.880437,0.96652496,1.0075496,1.0176944,1.1594133,1.0421714,1.0726496,0.9941839,1.1989223,1.0653168,1.0414609,0.81618047,1.243664,1.1395506,0.94500464,1.0521498,0.9472263,1.1542517,0.9810413,1.0526724,1.0357187,1.0920949,0.9692373,1.0314738,1.0263667,1.00583,0.95231205,1.0001487,0.8668344,1.089884,1.0001369,0.88018715,1.0094572,0.850383,0.9479407,1.0538629,0.9779818,0.8630598,0.96698457,0.9522977,0.84026587,1.1072488,1.0452899,1.0797759,1.1464723,0.9040323,1.0372471,0.9675815,1.0402473,1.1344233,1.0805887,1.180713,1.129051,1.0272182,1.1082885,0.94206417,1.062088,1.0448819,0.9638736,1.0395564,0.8664886,0.89426637,0.93728524,1.0560969,0.9148242,1.0294485,0.7976858,0.91839325,1.0611205,1.050574,1.0270294,1.1547428,0.86565137,0.96551,1.0459679,0.93133295,1.2058885,1.0511099,1.126135,1.0577207,0.8485079,0.9073307,1.0724015,1.0347089,0.93364716,0.9736688,0.8702984,0.90817726,1.0850897,1.194164,1.1886555,1.0731975,1.0618104,0.93775403,0.9997524,1.0497807,0.9890485,0.91700286,1.1905333,0.9919899
dish,0.9508917,1.0380249,1.2473513,1.1405932,0.8033753,0.87138164,1.0555365,0.99048734,0.8264471,0.75914145,0.91848624,0.81926733,1.38993,1.004359,0.77122474,1.0920523,0.84133005,0.868503,0.93343914,1.2088739,0.9890298,0.79297894,0.9962446,1.197465,1.013873,1.160786,1.2083155,1.1557301,1.325438,1.0815688,1.1526624,1.0531075,1.051604,1.0177658,1.1251038,0.8764233,0.7308768,0.9978516,1.003875,0.8076902,1.0915068,1.3504015,0.8508255,1.1985395,0.9379129,0.0,0.9399378,1.0379035,1.0580299,0.993756,0.9048242,1.1686053,1.0278485,0.9642922,0.8793494,1.1975253,1.0496694,1.2948723,1.1298311,1.1954664,1.2524128,1.0736064,1.0075302,0.5368931,1.2432868,1.0517131,0.88993245,0.9079584,0.9495028,0.9327059,0.85084915,1.1580286,0.9348829,1.0144341,0.96657777,0.8771304,0.9030477,1.0029871,1.1004417,1.1972651,1.0593787,0.9571829,1.0568113,0.63777435,0.78492665,0.9587684,0.96060526,0.8768735,1.2528857,1.049649,1.2754062,1.1330786,1.1130664,0.98784953,1.1115944,0.8659055,0.96829623,0.71490943,1.3090901,1.1577326,1.0227164,1.0865059,1.1703334,1.148557,1.0625441,1.2853281,0.8660235,1.1371214,0.96555287,1.0587208,1.2655476,0.95033085,1.0783565,1.0898209,0.9282943,1.1176473,0.8871119,0.99285877,0.9814927,0.7596217,0.9423436,0.7928903,0.7119276,1.3550358,0.92203975,1.1723499,1.0863017,0.9345025,0.8155303,0.798298,1.2072242,1.058044,0.89573586,0.8436137,0.77727854,1.1822128,1.2686527,1.250876,0.94947535,1.112152,1.0555155,0.70058453,1.0179679,1.1668609,1.1908755,1.3164712,1.0181522
dog,0.4352975,0.9435545,1.4471956,1.047972,0.5404542,1.2355365,1.4041411,1.2279932,1.3343227,0.7834023,0.7478879,0.48468393,1.405279,0.6482148,0.5927946,0.89950603,0.4160589,1.1224262,1.2348309,1.5130339,1.5766858,1.0958546,1.2511477,1.3031859,1.5565454,1.1943796,1.3525553,1.1246626,1.2887945,0.5647029,0.995299,1.2121717,1.5159607,0.84973836,0.8007697,1.3542435,1.0871537,1.2065817,1.179783,0.5416821,0.9530958,1.5509741,0.59139776,1.5802801,0.86510766,0.9399378,0.0,0.87577236,0.92527467,0.9386841,0.59774834,1.1652508,1.3296496,0.5420351,0.7626181,1.2429647,1.0543376,1.1843286,1.1327171,1.016992,1.4815459,1.0910668,0.9746443,0.7863621,1.1941214,0.5852308,0.5688548,1.1656483,0.6675856,1.2246103,0.82188904,1.0429645,0.71090466,1.1607118,0.5233998,1.1768267,0.4974528,1.2660816,1.0095229,1.5206535,0.6454898,0.7234392,1.3800985,1.0640856,0.52786857,0.72551435,0.6909464,1.1790636,1.4479642,1.0923957,1.267031,1.0931435,1.4425287,0.94337773,0.59275615,0.45577276,0.4098711,0.93454784,1.4846871,1.4601953,1.0510932,1.4066556,0.9268024,1.0028033,1.0665748,1.0811014,1.5274639,0.82164955,1.2102201,1.0201751,1.4526367,0.93093574,0.95097816,0.6392509,0.6240691,1.3015256,0.54448617,1.0756133,0.3917687,1.1704309,0.86173785,1.1688263,0.7712934,1.3857129,0.60072935,1.5638847,0.81906056,0.6918213,1.3747666,0.9047179,1.4463611,0.7334215,0.50063014,0.89513165,0.6813487,1.5956922,1.2822278,1.2881428,1.3465753,1.0774634,1.4140867,0.9110907,0.94141656,0.9682512,1.1401534,1.362725,0.940692
