,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
coat,1.1933514,1.2322111,0.90328735,0.9054125,1.114783,1.0509998,1.1533159,1.2324014,0.82265437,0.6783263,1.2311453,0.8784955,0.6366379,1.185743,0.7850978,1.0362983,1.1110976,1.2200527,1.296698,1.0622864,1.3476605,1.1688921,1.2280707,1.177058,1.1876935,1.0897288,1.2782204,0.86304414,0.9057801,1.0101777,1.0895305,0.88956755,0.0,1.1320007,1.0956388,1.0668977,1.2108451,0.6209979,1.1291021,1.347512,0.72118866,1.3291435,1.1577314,1.061135,0.971043,0.886284,0.93624604,1.1466889,0.7674501,1.0157368,1.2804506,1.0754017,1.1970154,0.44234014,1.1223251,0.8994978,1.3154638,1.1536841,0.940949,1.2421775,1.1888866,0.94094425,1.0514119,0.756667,0.81311506,1.0380965,0.7611093,1.3087361,0.43992198,1.2191145,0.93929136,0.76021487,1.1103592,0.97686625,0.34881258,1.1750822,0.5764291,1.213611,0.8006417,1.2541969,1.1933793,1.142919,0.7905195,0.85753316,0.7772363,0.9434109,1.1657311,1.2349925,1.1236612,1.111975,1.0256239,1.2420954,0.956913,1.0948669,0.5754944,0.5130768,0.9587709,1.3564698,1.3006976,1.2116766,1.2564352,1.1283509,0.998631,1.2207083,1.0585632,1.3466194,1.1525377,1.0641998,0.9634483,1.2543324,1.0463512,1.082864,1.1353804,0.4746315,1.1805162,0.3132888,1.0692112,0.9862635,1.1729926,0.8022144,0.94425946,0.70100087,1.2174705,0.9818499,1.2733766,0.89650494,1.0751717,1.2756106,1.19225,1.0573888,1.2609789,0.85826325,0.34355283,0.97502154,0.7565305,1.3494649,1.1763445,1.1392124,1.3521873,1.126477,1.2657669,0.9455477,0.88386416,1.0231814,1.0716555,1.0475726,1.2383484,0.8037865,1.066552
coffee,0.96806073,1.0836483,1.023379,1.1604351,0.9312,1.0351372,1.0545332,0.875786,0.8932996,1.1329582,0.9635127,1.100285,1.1519934,0.9226192,1.1082108,1.0539151,1.1693901,0.9099401,0.65080065,0.98146987,0.99742377,1.0887295,0.794198,0.94222724,0.94724035,1.0915139,1.061417,0.9669457,1.119471,0.88772595,0.890769,0.97149616,1.1320007,0.0,0.9475978,0.90621006,1.20303,1.1594765,1.0516227,1.0559093,1.0685179,0.7588218,1.0658847,0.78173643,1.0275793,1.1909837,0.94451004,1.0437908,1.1651947,1.0545329,0.92169094,0.91681707,0.9045827,1.1295627,1.1457036,0.95155126,1.0186454,1.2299676,0.9709294,0.73839957,1.0114161,1.0763714,1.2216483,1.0345994,1.1075989,1.120049,1.0491036,1.135073,1.1469733,0.9367919,1.1133804,1.1725035,1.0566396,0.8283054,1.1527091,0.74746704,1.095853,0.8412401,1.1020724,0.81156725,0.9846037,0.6819434,1.0662717,0.9646245,1.1043652,1.0727371,1.0995141,1.0650915,0.9353371,1.0880002,1.0438448,1.0145423,0.7830517,1.0265187,1.1515654,1.155919,1.1192982,1.0140737,1.0368992,0.95072603,0.9442699,1.0392486,1.1170594,0.9544009,1.0776385,0.868503,1.0501522,0.9975824,0.92036676,0.8146831,0.9888527,0.84619224,0.9704717,1.1367869,1.0175796,1.1701958,1.0293547,1.0933701,0.76091623,1.0399563,0.7034644,1.0189704,1.0646136,0.94397897,0.93390924,1.0252038,0.6589532,0.67200696,0.7825817,0.9688737,1.069617,1.1050345,1.1521573,1.065666,1.1046163,0.9226208,1.1380976,1.1135229,1.0777423,0.9164363,1.102952,0.948469,0.9997031,1.105598,1.0437721,0.95058775,1.0961932,1.0683951,1.0468453
comb,0.96519655,1.2401077,1.2441921,0.86845934,1.1547086,1.1436071,1.1268005,0.60458434,0.9950491,1.0748024,0.94328797,0.8387387,1.18784,1.0102831,1.0509807,0.750923,0.9532759,0.93235517,0.9536195,0.88186896,1.0659468,0.73953575,0.8246569,0.91914093,0.8609091,0.9419688,1.0647953,0.95208484,0.764474,1.0815134,0.8819134,0.92771095,1.0956388,0.9475978,0.0,1.25583,1.0223379,1.0730047,1.0276041,0.9066824,0.9283135,0.8646559,1.0564265,1.0556865,1.1790658,1.2134225,0.70709205,0.83977413,1.1231017,0.9614825,1.2230579,0.9965363,0.9719512,1.2154548,1.0895854,0.87806714,0.9695916,1.0883832,1.011221,0.7192005,1.0295241,1.0909117,1.0944331,0.9571397,1.2062143,1.0051881,1.0138733,0.9571302,1.1706208,1.1330593,1.049127,1.1355939,1.0995787,0.72589517,1.0329378,0.80567425,1.0741987,0.53430104,0.8915825,0.6877537,1.1016521,0.95889646,1.0603458,0.9226108,1.027877,1.1174833,1.275034,1.0842123,0.78135955,0.97394913,1.2044153,1.2508348,0.6208572,1.0563606,1.1154368,1.1073015,0.93739027,0.78403866,0.83388585,0.80128634,0.9577661,1.1702682,0.99557495,1.0590445,0.94690526,0.97261983,1.1103263,1.2009381,0.8496154,0.7561357,1.107751,0.6481425,1.0893333,1.1152827,0.7762084,1.0714946,0.8631146,0.98980135,0.5935372,1.1128749,0.9568085,1.0829862,1.0272646,0.9924558,0.94111127,0.96205056,1.1271845,0.77830064,0.8127525,0.8640887,1.0732604,0.9427464,1.0347476,1.112681,0.98587763,0.968307,1.1081733,1.1194733,0.77131236,0.7930758,1.0673754,1.0804253,0.95490825,0.9746312,1.0124766,0.63016224,1.0402296,0.91233593,0.967339
cookie,1.2136964,0.8495163,0.64679265,0.98199135,0.885297,0.88724744,0.96852154,1.1900407,0.9807333,1.006385,1.1787457,1.0113926,0.8222513,1.1670315,0.9816463,1.1642503,1.2269377,1.1040503,1.0103357,1.02527,0.7695554,1.0626596,0.98893756,1.2421851,1.1677746,1.2295657,0.93690276,1.0699922,0.99122363,0.79928154,1.1454062,1.0749326,1.0668977,0.90621006,1.25583,0.0,1.012397,0.9536194,0.90002537,1.2715211,0.9775295,1.0943596,1.1049627,0.8752436,0.9874504,0.8543671,1.0930022,0.927829,0.9121341,0.9015435,0.71634674,0.9800403,1.1757022,0.9389428,0.8888434,1.0660217,1.1666833,1.0807956,0.8129972,1.1495076,1.2078092,1.0147111,1.1068532,1.149612,0.9730414,0.8856331,1.10793,0.9686555,0.895185,0.9241704,0.79987323,1.0199337,1.0745534,1.0484011,1.0260786,0.9955466,0.99907184,1.200327,1.168546,1.1883581,0.8450755,0.86564374,0.8224835,1.020202,1.0241822,1.0175902,0.68233365,1.106156,1.0354245,1.0379578,0.8571354,0.6060076,1.1628036,1.0448816,0.91149205,0.91580975,1.037989,1.2695035,1.2147197,1.295877,0.89811367,1.0163847,0.9101231,1.0290531,1.2723198,0.99109,1.1102817,0.58267516,1.0699058,1.0978122,0.73505116,1.0686469,1.1573849,0.8982964,1.315098,0.9747211,0.9801013,0.9045268,1.1583714,1.0304167,0.98303694,1.0125283,1.0151448,1.0537049,1.0305483,0.88633746,0.78258586,1.0502567,1.1489557,1.0371042,1.1477644,1.0048852,1.0329839,0.9126823,1.0653669,1.0627191,0.9475624,1.0076431,1.2094498,1.05206,1.0954628,0.9881651,1.124666,0.954378,1.0923792,1.1368026,1.1102388,1.11414,1.1509384
corn,0.97151273,0.8081298,0.9686774,0.94073004,1.0341403,0.93096685,0.57809573,1.024157,1.2956927,1.2263668,0.7726068,1.0172702,1.2044175,1.0846202,1.1820045,1.0535955,0.9782595,1.0762379,0.9713419,1.1133969,0.72848105,0.98461115,1.0337024,1.1463199,0.779492,0.67978644,0.633241,1.1246734,1.0779303,0.8872099,1.1873977,1.2228309,1.2108451,1.20303,1.0223379,1.012397,0.0,1.1936929,0.7366177,0.7077048,1.1228751,0.9683077,1.0878383,1.1430583,1.1481802,1.0195587,1.1042461,0.8572849,1.0348353,0.9520432,0.93531054,1.0451919,1.0348296,1.091814,0.8357248,1.0671046,0.7405733,0.6422997,1.1117177,0.96113116,0.91844183,1.0847576,1.1245313,1.0452135,0.95869637,0.77493167,1.025845,0.67229855,1.1524844,0.914829,0.9946545,1.0644577,1.1000584,1.0593739,1.1233964,0.96360195,1.028178,1.0113684,1.0405644,1.0379305,0.78867054,1.2112398,1.0125277,1.0699091,0.92582965,0.93700886,0.6486419,0.8672725,0.96807986,0.8671881,0.93507826,0.80829525,1.1714354,1.019051,1.1868544,1.0763916,1.10177,0.7673533,0.7959997,1.0038222,0.7492783,0.94816107,0.94632995,0.9286364,0.7333236,0.77932537,1.0798395,0.9575555,1.1012194,0.9611635,0.87231696,1.1379031,1.0916033,1.1326908,0.93630105,1.1115515,0.9459491,0.86367667,0.9391878,1.2738572,1.255165,1.1468148,0.6828408,0.8813846,0.9812429,1.0489072,1.160593,0.9343342,1.0035107,0.97205967,0.836129,1.0376118,1.1067188,1.0882033,1.2457335,0.75905174,0.85310036,0.7720204,0.7810801,0.94756263,0.8138937,1.1997364,1.0557578,0.885092,0.9616542,1.0358063,0.753837,1.0939808,1.1726114
couch,1.1734365,1.4343357,0.8715062,0.78150433,1.191787,1.1534196,1.3032116,1.3104439,0.5905363,0.06613946,1.3756543,0.46012193,0.39472246,1.2362031,0.20245206,1.2341335,0.8358258,1.3957305,1.4366533,0.890906,1.4864123,1.0733664,1.3265947,1.250353,1.4060495,1.2067658,1.4115009,0.8458699,0.68515074,0.9486377,1.0904415,0.71027756,0.6209979,1.1594765,1.0730047,0.9536194,1.1936929,0.0,1.1996318,1.5305908,0.42443907,1.5209565,1.2562594,1.1020682,0.9667027,0.76734704,0.9679854,0.9642637,0.5558255,1.1318512,1.4642279,1.03166,1.3139541,0.7350421,1.1888981,0.8745713,1.3973128,1.0876296,1.0554383,1.3979269,1.3102279,0.7997539,0.95693576,0.64758503,1.0906571,1.0068057,0.48264486,1.3681153,0.58001196,1.3875277,0.89253145,0.9548769,1.2062624,0.8504867,0.4684813,1.2041872,0.3910854,1.3552485,0.5786308,1.4091942,1.3001748,1.2192248,0.60929066,0.8854177,0.7740982,1.1198575,1.2940547,1.4072566,0.9049628,1.2738028,1.1243975,1.3581673,0.92708313,1.1296809,0.27857494,0.37386185,0.6375318,1.5088007,1.4376398,1.4710836,1.3807377,1.1605067,0.41630232,1.3688234,1.1274555,1.4194006,1.2618474,0.9672093,0.9752905,1.338337,1.0376232,1.1188112,1.227797,0.36939287,1.4469894,0.451981,1.1766409,0.76841927,1.1444916,0.58226293,0.78279084,0.43472815,1.4246888,0.90617734,1.412781,0.7080616,1.1430345,1.4543602,1.1301577,0.92970484,1.4945931,0.8038411,0.45825326,0.74905825,0.39354783,1.5490102,1.377094,1.2284435,1.4797342,0.97262526,1.3423039,0.7425394,0.89155114,1.0051796,1.1396538,1.0203439,1.4155861,0.6766682,1.0686084
cracker,1.0098838,0.8657867,0.72902054,0.8223526,1.0378482,1.1094284,0.55229324,1.0760127,1.1664071,1.236117,1.060004,0.90951294,1.1186627,1.0386636,1.1801586,1.1746767,1.0561959,1.1535119,1.0711765,1.061088,0.5426129,1.0575957,1.1750865,1.1040266,1.1375203,1.11328,0.7445173,1.1051013,1.113658,0.7536512,1.1313591,1.2046162,1.1291021,1.0516227,1.0276041,0.90002537,0.7366177,1.1996318,0.0,1.0275683,1.1647851,1.1782371,1.0735121,0.8768741,1.086367,1.0718087,1.1989732,0.9254075,0.8598133,0.8749369,0.83050436,1.0673021,1.1913028,1.058973,0.7862622,1.0084121,0.9617915,0.9079797,0.944873,0.87875956,0.98327464,1.0129579,1.0777283,1.1143261,0.97172844,0.867247,1.0738819,0.75371015,1.1249825,0.74822295,0.6868487,1.1476907,1.1084938,1.0317276,1.1141856,1.0258334,0.9601152,0.9186542,0.9736694,1.1471926,0.8769082,1.0340863,0.8288088,1.066811,1.0571077,0.8307693,0.48775882,1.0716898,0.96318746,1.0266764,0.8947079,0.7271196,1.1836011,0.9020399,1.0892099,1.0657324,1.0228462,0.9749457,0.90064275,1.1319478,0.9191384,1.0383158,1.018843,0.8551512,0.9768247,0.8615137,1.0804404,0.6663314,1.0936835,1.042016,0.97032154,1.0971605,1.0515133,1.137752,1.0746394,1.0906277,0.90480024,0.897184,0.8566003,1.2246764,1.1133081,1.0898026,0.90882206,0.9008373,1.0401943,0.9631362,0.8799691,0.92643076,1.0609709,0.858811,1.0435499,1.1544818,1.0825685,1.0876495,1.1480465,1.070009,0.95759904,0.8894968,1.0157226,1.0046729,1.0775576,1.0007108,1.0199819,0.99843496,1.0885876,1.1283376,1.0065857,1.102637,1.10309
crayon,0.98181593,0.6239632,1.3676841,1.0791298,0.9174885,0.88135433,0.8611505,0.7461086,1.4210447,1.469029,0.3007164,1.383311,1.5042834,1.0342048,1.4334792,0.61295396,0.9484143,0.5918976,0.51457655,1.1934556,0.57955843,0.89473367,0.7912533,0.93781835,0.33334482,0.7749378,0.4765978,1.2322726,1.2054403,1.3343695,0.924882,1.1796786,1.347512,1.0559093,0.9066824,1.2715211,0.7077048,1.5305908,1.0275683,0.0,1.5759374,0.40162104,0.94236225,1.177596,1.3066845,1.2928736,1.0515993,0.9751464,1.4144495,0.9053785,0.7021589,1.1333101,0.48899674,1.3088356,0.66717315,1.2116809,0.4638784,0.9062352,1.098934,0.6144971,0.86256975,1.2433468,1.1412306,1.3287333,0.79752123,0.9301561,1.3401207,0.5625713,1.3710165,0.69681776,1.1872495,0.9630089,1.0261246,1.2002406,1.4052646,0.8967706,1.4420705,0.5815254,1.1921779,0.5058541,0.76599234,1.1104587,1.4686384,1.246616,1.4036443,0.90644,1.038128,0.1987555,0.97951007,0.4691416,0.8423811,0.8682064,1.1289282,0.9879983,1.5018675,1.4523048,1.3021332,0.120004416,0.2641493,0.5316059,0.6069102,1.0548654,1.2102938,0.6392267,0.85104597,0.5866052,0.9862679,1.2460179,1.0352042,0.66464305,1.0239244,0.98162115,1.0584213,1.411612,0.45546794,1.4454615,0.89660233,1.0672137,0.85661805,1.3205032,1.3277051,1.4464567,0.27888077,1.0662805,0.6354089,1.1891937,1.1417907,0.6243153,0.78367853,0.9650086,0.34261477,1.2375212,1.4119844,1.2727246,1.4666371,0.28533006,0.37801278,0.4839567,0.21823925,0.8384316,0.61725557,1.3684039,1.1397401,0.9307202,0.97019,1.0040556,0.23507422,1.305899,1.1604799
crib,1.1338027,1.4378387,0.8649227,0.88289934,1.2009745,1.1065674,1.3154157,1.1807872,0.6435804,0.5300737,1.3309481,0.39256036,0.6029442,1.186821,0.6387679,1.271343,0.99817955,1.3473893,1.2724476,0.77904665,1.5279843,0.92390805,1.0941582,1.2040133,1.238177,0.9428057,1.4917178,0.88560796,0.4430421,0.8050386,1.1183189,0.78214985,0.72118866,1.0685179,0.9283135,0.9775295,1.1228751,0.42443907,1.1647851,1.5759374,0.0,1.3594466,1.2755797,1.0247792,0.99563843,0.8786116,0.7979417,0.7643403,0.7106604,1.1478004,1.467402,1.04739,1.3671689,0.7812742,1.3121216,0.82706714,1.3981123,1.1442708,1.1304142,1.294029,1.2605371,0.7701389,1.0184668,0.5536002,1.1713743,1.0380119,0.6492795,1.4089074,0.75097036,1.4191959,1.020267,0.86378723,1.1993396,0.6419035,0.51466864,1.0044938,0.5258001,1.2723943,0.48358154,1.3248585,1.2951609,1.137309,0.68401694,0.66573596,0.3680817,1.2011291,1.2240472,1.4734132,0.8941121,1.3060232,1.2298717,1.3437514,0.6612972,1.2010262,0.6219639,0.45640218,0.7535298,1.5330783,1.485467,1.3980819,1.3839235,1.1723704,0.74984545,1.3740702,1.0898327,1.3429062,1.2648314,0.99712193,0.8317832,1.1701232,1.0580667,0.905035,1.2357966,0.68629193,1.3666562,0.5557504,1.1253508,0.85000885,1.0150847,0.7471733,0.7518959,0.5129339,1.4124656,0.85962105,1.3761804,0.7485219,1.0649583,1.2889884,1.0234228,0.8949678,1.5191033,0.40684384,0.5438125,0.7714951,0.5417905,1.4981343,1.4785476,1.3365172,1.5004666,1.0127643,1.2520592,0.7582247,0.89364666,0.8883461,1.025697,0.6959398,1.4260838,0.70081604,1.0532603
cup,1.0057446,0.75379497,1.2558848,1.2623969,0.80153924,0.84254116,0.9229084,0.51787627,1.2169412,1.496655,0.5818881,1.4198778,1.4685535,0.9652098,1.424618,0.6273305,1.0440139,0.31811655,0.34160233,0.92167413,0.74097896,0.7434222,0.21714646,0.8752794,0.39622438,0.9033318,0.76405144,1.3347433,1.0130552,1.1844484,0.87687236,1.0854703,1.3291435,0.7588218,0.8646559,1.0943596,0.9683077,1.5209565,1.1782371,0.40162104,1.3594466,0.0,0.9872959,0.87567395,1.2792298,1.2356027,0.86811864,1.0169055,1.3509247,1.033822,0.64977777,1.0850215,0.59253645,1.3731284,0.9673563,1.1478534,0.6771966,0.9862237,1.0372366,0.7202148,0.9221374,1.1626414,1.2053816,1.3107587,1.0689255,0.98770326,1.437198,0.65464413,1.4438889,0.76102173,1.2819328,1.023104,1.0513616,1.1230749,1.4064256,0.6019956,1.5306001,0.74105144,1.2905371,0.46221495,0.78263617,0.6148751,1.4033945,1.1810766,1.3148823,1.0797935,1.0975703,0.46250057,0.9303589,0.7139678,1.1093237,0.8724158,0.9312995,0.94595313,1.4711292,1.4866581,1.2882264,0.5267257,0.6615484,0.5901779,0.588312,1.0263904,1.2005221,0.7358788,0.99814916,0.6000886,0.9838124,1.1706603,0.8085964,0.48348796,1.1168089,0.8107109,1.074538,1.4663469,0.57220846,1.4500058,0.95044607,1.2090695,0.92557615,1.2371361,1.0861909,1.5124254,0.6026743,1.1678032,0.39238834,1.1525613,0.87842906,0.5890945,0.76409304,1.1920409,0.48551995,1.0542922,1.4199276,1.1901761,1.4069144,0.34636557,0.64862216,0.8180237,0.41096497,0.7879511,0.55894524,1.2031411,1.1457466,0.9277774,0.9134533,0.8859781,0.55639035,1.2598177,1.1505396
deer,0.70838535,0.8380275,1.0641497,1.1590233,0.97270596,1.0216078,0.9693198,0.9679052,1.2422775,1.2205545,1.0520896,1.2345209,1.227114,0.6364796,1.2154689,0.9531181,0.94966096,0.95661414,1.1284753,1.0555011,0.8049103,1.074686,1.036116,0.69278437,1.0536672,0.92931426,0.8204536,0.92523515,1.1024413,1.090294,0.9831775,1.168789,1.1577314,1.0658847,1.0564265,1.1049627,1.0878383,1.2562594,1.0735121,0.94236225,1.2755797,0.9872959,0.0,1.0041316,0.52286756,0.9127194,1.205434,1.1189544,1.1635358,1.0898731,0.8885018,0.9093239,0.95160913,1.0912981,0.9459172,1.145923,0.8617059,0.9121754,0.96847886,1.0111113,0.64330816,0.98147523,0.51855165,1.2760074,1.0024956,1.0980383,1.2149804,1.0219656,1.1600428,0.7502606,1.1100045,1.0411407,0.19920772,1.1835768,1.2280169,1.0628759,1.2311996,1.0719007,1.2058762,1.0105737,1.0061016,1.0117079,1.2248524,1.1390822,1.1323534,1.0499054,0.8932584,0.93981296,1.2600539,1.039636,0.9967845,0.8647794,1.259618,0.8825511,1.2630382,1.2397133,1.0986301,0.9690597,0.9758973,0.76510036,1.0224767,0.4673115,1.2529335,0.90923613,0.99573195,1.0233699,0.17166907,1.0507547,1.0892265,0.9496187,1.0102736,1.1261959,0.2955402,1.2118082,0.880441,1.234167,1.0091099,1.1208022,1.1637123,1.1355236,1.2399163,1.2168481,0.92990273,1.1116712,0.95939684,1.1588184,1.102162,1.0727786,1.1172214,1.1305377,0.842327,1.0504589,1.2080016,1.1612618,1.2190977,0.87942564,0.90728617,1.0840461,1.0065976,1.2460444,0.80261856,1.1439468,1.1252215,1.0299919,0.8724135,1.1512218,0.9531095,1.2051685,0.49522763
dish,0.9700217,1.084922,0.8445203,1.2725513,0.92493516,1.0193022,0.9353756,0.72145677,0.9635142,1.0986962,1.251993,1.0476999,1.100449,0.8659775,1.1115221,1.093755,1.0113832,0.8748456,0.73580825,0.6272007,0.91019124,0.97685367,0.76418257,0.9551205,1.1894499,1.1116318,1.0161445,1.1904844,0.9860721,0.72811174,0.8074424,0.84443367,1.061135,0.78173643,1.0556865,0.8752436,1.1430583,1.1020682,0.8768741,1.177596,1.0247792,0.87567395,1.0041316,0.0,0.9233607,1.0111809,0.9059832,0.93885094,1.1183048,1.1486745,0.7913277,1.0058182,0.9056131,1.1361734,1.3272024,0.9868982,1.1262753,1.170548,0.9295091,0.7626062,1.0139695,0.9725996,1.0163727,1.0534132,1.3372579,1.1999,1.1820512,1.0936928,1.2068121,0.94951636,1.1715349,1.265018,1.0078049,0.9439692,1.1987379,0.91013575,1.1844378,0.79813087,1.1145928,0.876905,0.9922348,0.54881227,1.1099403,0.9640736,1.0124975,1.2309775,0.88959455,1.2356031,0.9046019,1.374662,1.292058,0.8532307,0.88766503,0.83748436,1.1285211,1.2159013,0.94413495,1.0710586,0.99345833,0.94801426,0.905246,0.9824671,1.0340358,0.89499295,1.1292984,0.8846591,0.9505929,0.9368296,0.8501213,0.7834927,1.1961347,0.81463134,0.95139396,1.1591029,1.0586731,1.2161429,1.1027379,1.3329035,0.86548084,0.9809539,0.85413873,1.1934253,1.2293724,1.1246978,0.7805119,1.1782911,0.610034,0.8152776,1.0007608,1.1415489,1.1408229,0.8432882,1.2094085,0.94068277,1.0225883,1.0546451,1.2757318,1.3695672,1.1263757,0.89120066,0.94975764,0.6588886,0.95397216,1.1825807,0.8591533,0.92418265,1.3447213,0.9851784,0.99370766
dog,0.5575605,1.0801597,0.97957253,1.134099,0.92772293,1.0288862,1.1011059,1.146614,1.0984184,0.91978836,1.2675972,1.0615107,0.89352536,0.5221145,0.93062824,1.1501479,0.96327496,1.1926019,1.2657282,1.0491222,1.1052357,1.1616678,1.2321022,0.66972935,1.3725061,0.9982422,1.1473533,0.4585265,1.1793097,0.8850521,1.000881,1.0751109,0.971043,1.0275793,1.1790658,0.9874504,1.1481802,0.9667027,1.086367,1.3066845,0.99563843,1.2792298,0.52286756,0.9233607,0.0,0.5822567,1.1851469,1.2127802,1.0067785,1.1396874,1.0914062,0.7130984,1.11082,0.97116107,1.2544082,1.0406109,0.8952378,1.004611,1.0386064,1.1562791,0.5754636,0.8733046,0.61475915,1.0722476,1.1407815,1.1197301,0.91892564,1.2621007,0.96780497,0.98814523,1.071868,1.076803,0.4012655,1.1685898,1.0641025,1.1835324,1.013391,1.2056396,1.1420659,1.2532395,1.1370848,1.0603676,0.9268895,1.0380834,0.9339399,1.1522729,0.82882786,1.2512074,1.2364582,1.2679775,1.1243606,1.0428894,1.1788015,0.76561666,0.9316833,1.0438621,0.9834807,1.2662866,1.2144257,0.94265693,1.2532654,0.314947,1.0437942,1.0323921,0.95581275,1.1753452,0.32400757,0.9900927,1.0487458,1.1370363,0.9281963,1.0528128,0.44030595,0.9243294,1.1126572,1.0381073,1.1093212,1.1251192,1.136465,0.98899406,1.0944527,0.9233428,1.2608771,0.9450525,1.2055595,1.2072117,1.0070237,1.2031218,1.3001847,1.059233,1.1756368,0.9871678,1.0441849,0.97370064,0.9429903,1.2172698,1.2777264,1.2979244,1.3552306,1.2728748,1.0161648,0.9844648,1.0118355,1.0780354,0.9546935,1.1852719,1.2970319,0.9949634,0.5256368
doll,0.99273,1.124233,0.9564077,0.9913174,0.96200514,1.0870728,1.0292308,1.088992,1.0302844,0.7955909,1.2781312,0.8887176,0.5153239,0.99124485,0.8365929,1.2136197,0.95116085,1.1333632,1.3777776,0.9196784,1.1325212,0.9503672,1.0894964,1.0269046,1.3064266,1.0077038,1.101104,0.99898124,0.8764425,0.9449291,1.0734496,1.0927371,0.886284,1.1909837,1.2134225,0.8543671,1.0195587,0.76734704,1.0718087,1.2928736,0.8786116,1.2356027,0.9127194,1.0111809,0.5822567,0.0,1.2625593,1.0930967,0.7436848,0.97686374,1.1944485,0.9723725,1.2579768,0.92797446,1.0030421,0.9230461,1.1526783,0.81414974,0.7433242,1.2145032,0.88953173,0.7978469,0.8251858,0.95936203,1.0081648,0.7467384,0.8417885,1.068014,0.7836484,1.069217,0.8267447,0.7658553,0.93884975,1.2064363,0.91702604,0.9888937,0.81592894,1.2335368,0.94008934,1.3802879,1.1533713,1.1174502,0.6301074,1.0470904,0.7895168,1.1337286,0.92795277,1.263546,1.2166001,1.1211312,1.0405991,1.0917058,1.216906,0.8677367,0.58484733,0.82249755,1.0764735,1.2709023,1.2177166,1.1415733,1.2225001,0.71318877,0.94057196,1.1124396,0.9729248,1.2797539,0.86664057,0.8890639,0.9788296,1.1926912,0.89036405,1.1277156,0.93743527,0.7847895,1.0778697,0.84003174,0.9788585,0.9217324,1.1100234,0.7579025,1.0990677,0.9288232,1.1656114,1.1130785,1.1874782,0.89483935,1.1370119,1.1745119,1.2920768,1.2231613,1.2124667,0.8513689,0.86076653,0.7997525,0.9310484,1.1815565,1.1413345,1.2567369,1.173167,1.184673,0.7409427,0.85091984,1.1631935,0.92350733,1.0090092,1.089414,1.2134336,1.1567587,0.94646513
door,1.1551666,1.244869,1.1582086,0.9990035,1.1410364,1.0595295,1.3348839,0.8689459,0.91629356,1.0399921,0.9344394,0.8867804,1.126785,1.1236283,1.0759887,0.67640954,1.2715023,0.8624835,0.961134,0.96856827,1.2436264,0.6610715,0.85838693,1.1143136,0.72738826,0.9865632,1.153531,0.9020998,0.6382011,0.9697027,0.9113684,0.8826432,0.93624604,0.94451004,0.70709205,1.0930022,1.1042461,0.9679854,1.1989732,1.0515993,0.7979417,0.86811864,1.205434,0.9059832,1.1851469,1.2625593,0.0,0.73652565,1.006169,0.9283129,1.093636,0.94646645,0.91925603,1.1000594,1.1857193,0.8827694,1.145343,1.2337512,0.945799,1.0191013,1.2930062,1.1134788,1.2168757,1.0163885,1.1461087,1.0114185,1.0821238,1.2726781,1.042027,1.263397,1.1288574,1.1445135,1.1936295,0.5441086,0.9323248,0.8069864,1.1061295,0.8311937,0.96428835,0.4958899,1.1649147,0.85365164,1.1351186,0.6692463,0.87242925,1.1548598,1.2129837,1.078716,0.71948504,1.0469644,1.1538067,1.18464,0.3771646,1.1154337,1.0784323,0.8958134,1.0136346,0.9977377,1.0319852,0.9013287,0.92875606,1.2005785,0.84743047,1.1024789,1.0775872,1.0787846,1.1925161,1.2076604,0.96101284,0.866513,1.0999026,0.5444402,1.2093203,1.0612147,1.0378022,0.9723123,1.1809651,1.1147354,0.9329021,1.0127363,0.8801776,1.1844733,1.1329356,0.9485816,0.8226998,0.9316517,0.9983832,1.0149375,0.6163131,0.9533816,1.1107496,0.64701635,0.96236575,1.0859673,1.0215731,1.1875935,1.0589688,1.1364589,0.9951667,0.71698904,1.2433374,1.1743551,0.84997725,0.76205635,0.8876372,0.429119,1.0920708,0.6438925,1.0993465
