subject_id,age_mo,category,stratum,n_indexed,cdi_domain
00560001,16,cup,all,74,household
00560001,16,cup,living_room,33,household
00560001,16,cup,kitchen_like,30,household
00560001,16,cup,playing,30,household
00400001,11,plate,all,269,household
00400001,11,plate,kitchen_like,195,household
00400001,11,cat,all,234,animals
00400001,11,cat,kitchen_like,82,animals
00400001,11,car,all,53,vehicles
00400001,11,car,outside,6,vehicles
00400001,11,cup,all,355,household
00400001,11,cup,kitchen_like,114,household
00400001,11,plate,eating,141,household
00430001,16,cup,all,376,household
00430001,16,cup,living_room,85,household
00430001,16,cup,playing,71,household
00430001,16,plate,all,65,household
00430001,16,plate,living_room,19,household
00510002,17,cup,all,1769,household
00510002,17,cup,kitchen_like,1621,household
00510002,17,cup,playing,137,household
00510002,17,cup,eating,867,household
00510002,17,plate,all,1586,household
00510002,17,plate,kitchen_like,1567,household
00510002,17,plate,eating,1150,household
00510002,17,plate,playing,26,household
00500001,13,cup,all,665,household
00500001,13,cup,living_room,79,household
00500001,13,cup,playing,163,household
00500001,13,plate,all,814,household
00500001,13,plate,kitchen_like,723,household
00500001,13,plate,eating,569,household
00500001,13,cat,all,11,animals
00500001,13,cat,living_room,4,animals
00320001,20,cup,all,1132,household
00320001,20,cup,playing,459,household
00320001,20,cup,kitchen_like,455,household
00320001,20,cup,eating,72,household
00320001,20,cup,living_room,166,household
00320001,12,cup,all,1998,household
00320001,12,cup,living_room,593,household
00320001,12,cup,playing,544,household
00320001,12,plate,all,209,household
00320001,12,plate,living_room,19,household
00320001,12,plate,playing,24,household
00320001,12,cup,eating,523,household
00500001,28,cup,all,37,household
00500001,28,cup,kitchen_like,19,household
00500001,28,cup,eating,10,household
00500001,28,plate,all,169,household
00500001,28,plate,kitchen_like,154,household
00500001,28,plate,eating,124,household
00500001,28,cup,playing,16,household
00500001,28,stroller,all,97,vehicles
00500001,28,stroller,kitchen_like,12,vehicles
00500001,28,stroller,playing,32,vehicles
00500001,28,stroller,living_room,59,vehicles
00370002,14,stroller,all,428,vehicles
00370002,14,stroller,living_room,204,vehicles
00370002,14,stroller,playing,159,vehicles
00370002,14,plate,all,49,household
00370002,14,plate,living_room,7,household
00370002,14,plate,playing,22,household
00370002,12,cup,all,805,household
00370002,12,plate,all,212,household
00370002,12,plate,playing,53,household
00370002,12,cup,living_room,9,household
00370002,12,cup,playing,80,household
00370002,12,stroller,all,307,vehicles
00370002,12,stroller,living_room,185,vehicles
00370002,12,stroller,playing,238,vehicles
00430001,13,cat,all,18,animals
00430001,13,cat,kitchen_like,7,animals
00430001,13,cat,playing,15,animals
00430001,13,cup,all,469,household
00430001,13,cup,living_room,39,household
00430001,13,car,all,3,vehicles
00430001,13,car,playing,2,vehicles
00430001,13,plate,all,197,household
00430001,13,plate,kitchen_like,187,household
00430001,13,plate,playing,21,household
00430001,13,cup,kitchen_like,391,household
00430001,13,cup,playing,115,household
00430001,13,plate,eating,121,household
00430001,13,dog,all,25,animals
00430001,13,dog,living_room,9,animals
00500001,17,stroller,all,181,vehicles
00500001,17,stroller,kitchen_like,60,vehicles
00500001,17,stroller,playing,108,vehicles
00500001,17,stroller,living_room,70,vehicles
00500001,17,plate,all,415,household
00500001,17,plate,kitchen_like,401,household
00500001,17,plate,playing,22,household
00500001,17,cup,all,117,household
00500001,17,cup,kitchen_like,107,household
00500001,17,cup,playing,54,household
00320001,13,cup,all,1811,household
00320001,13,cup,living_room,570,household
00320001,13,cup,playing,647,household
00320001,13,dog,all,14,animals
00320001,13,dog,living_room,8,animals
00320001,13,dog,playing,7,animals
00320001,13,cup,kitchen_like,1114,household
