subject_id,age_mo,category,stratum,n_indexed
00560001,16,bottle,all,124
00560001,16,cup,all,74
00560001,16,cup,kitchen_like,30
00560001,16,bottle,kitchen_like,2
00560001,16,bowl,all,15
00400001,11,plate,all,269
00400001,11,plate,kitchen_like,195
00400001,11,bowl,all,506
00400001,11,bowl,kitchen_like,470
00400001,11,bottle,all,195
00400001,11,bottle,kitchen_like,130
00400001,11,cup,all,355
00400001,11,cup,kitchen_like,114
00400001,11,bowl,eating,386
00400001,11,plate,eating,141
00430001,16,cup,all,376
00430001,16,plate,all,65
00430001,16,bowl,all,164
00510002,17,cup,all,1769
00510002,17,cup,kitchen_like,1621
00510002,17,bowl,all,723
00510002,17,bowl,kitchen_like,685
00510002,17,bottle,all,1668
00510002,17,bottle,kitchen_like,1623
00510002,17,cup,eating,867
00510002,17,bottle,eating,1005
00510002,17,plate,all,1586
00510002,17,plate,kitchen_like,1567
00510002,17,plate,eating,1150
00510002,17,bowl,eating,196
00500001,13,bowl,all,1317
00500001,13,cup,all,665
00500001,13,plate,all,814
00500001,13,plate,kitchen_like,723
00500001,13,plate,eating,569
00500001,13,bottle,all,582
00320001,20,cup,all,1132
00320001,20,bottle,all,196
00320001,20,bowl,all,402
00320001,20,cup,kitchen_like,455
00320001,20,bottle,kitchen_like,88
00320001,20,bowl,kitchen_like,195
00320001,20,bottle,eating,18
00320001,20,cup,eating,72
00320001,12,cup,all,1998
00320001,12,bowl,all,722
00320001,12,plate,all,209
00320001,12,cup,eating,523
00320001,12,bowl,eating,140
00500001,28,cup,all,37
00500001,28,cup,kitchen_like,19
00500001,28,cup,eating,10
00500001,28,plate,all,169
00500001,28,plate,kitchen_like,154
00500001,28,plate,eating,124
00500001,28,bottle,all,84
00500001,28,bottle,kitchen_like,71
00500001,28,bottle,eating,26
00500001,28,bowl,all,29
00500001,28,bowl,kitchen_like,27
00500001,28,bowl,eating,22
00500001,16,bowl,all,352
00500001,16,bowl,kitchen_like,137
00500001,16,bowl,eating,90
00370002,14,plate,all,49
00370002,12,cup,all,805
00370002,12,bottle,all,563
00370002,12,bottle,kitchen_like,511
00370002,12,bowl,all,459
00370002,12,plate,all,212
00430001,13,bottle,all,254
00430001,13,cup,all,469
00430001,13,bottle,kitchen_like,225
00430001,13,plate,all,197
00430001,13,plate,kitchen_like,187
00430001,13,cup,kitchen_like,391
00430001,13,bowl,all,313
00430001,13,bowl,kitchen_like,284
00430001,13,plate,eating,121
00500001,17,bottle,all,46
00500001,17,plate,all,415
00500001,17,plate,kitchen_like,401
00500001,17,bowl,all,187
00500001,17,bowl,kitchen_like,180
00500001,17,cup,all,117
00500001,17,cup,kitchen_like,107
00500001,17,bottle,kitchen_like,37
00320001,13,cup,all,1811
00320001,13,bottle,all,271
00320001,13,bowl,all,467
00320001,13,bowl,kitchen_like,287
00320001,13,cup,kitchen_like,1114
00320001,13,bottle,kitchen_like,208
00500001,16,bottle,all,371
00500001,16,bottle,kitchen_like,331
00400002,15,bottle,all,54
00400002,15,plate,all,289
00400002,15,bowl,all,690
00400002,15,cup,all,566
00320001,18,bottle,all,646
00320001,18,bottle,kitchen_like,516
00320001,18,bowl,all,961
00320001,18,bowl,kitchen_like,538
00320001,18,bowl,eating,401
00320001,18,bottle,eating,220
00320001,18,plate,all,203
00320001,18,plate,kitchen_like,164
00320001,18,plate,eating,44
00320001,18,cup,all,1702
00320001,18,cup,kitchen_like,693
00320001,18,cup,eating,380
00400002,19,plate,all,97
00400002,19,cup,all,186
00400002,19,bottle,all,105
00400002,19,bottle,kitchen_like,84
00400001,25,bowl,all,677
00400001,25,bowl,kitchen_like,633
00400001,25,plate,all,293
00400001,25,plate,kitchen_like,244
00400001,25,bottle,all,103
00400001,25,bottle,kitchen_like,68
00400001,25,cup,all,257
00400001,25,cup,kitchen_like,141
00400002,22,plate,all,570
00400002,22,plate,kitchen_like,542
00400002,22,plate,eating,447
00400002,22,bowl,all,795
00400002,22,bowl,kitchen_like,747
00400002,22,bowl,eating,598
00400002,22,cup,all,664
00400002,22,cup,kitchen_like,610
00400002,22,cup,eating,506
00400002,22,bottle,all,398
00400002,22,bottle,kitchen_like,318
00400002,22,bottle,eating,170
00370002,12,cup,kitchen_like,735
00370002,12,cup,eating,500
00370002,12,bowl,kitchen_like,422
00370002,12,bowl,eating,282
00370002,12,plate,kitchen_like,147
00370002,12,plate,eating,73
00370002,12,bottle,eating,118
00510002,18,bottle,all,1999
00510002,18,cup,all,2215
00510002,18,cup,kitchen_like,2147
00510002,18,cup,eating,1278
00510002,18,bowl,all,789
00510002,18,bowl,kitchen_like,750
00510002,18,bowl,eating,95
00510002,18,bottle,kitchen_like,1942
00510002,18,bottle,eating,1131
00510002,18,plate,all,1119
00510002,18,plate,kitchen_like,1102
00510002,18,plate,eating,687
00510002,16,cup,all,597
00510002,16,cup,kitchen_like,534
00510002,16,plate,all,1324
00510002,16,plate,kitchen_like,1312
00510002,16,plate,eating,892
00510002,16,cup,eating,259
00510002,16,bowl,all,228
00320001,11,cup,all,888
00320001,11,bottle,all,258
00320001,15,bottle,all,291
00320001,15,bottle,kitchen_like,222
00320001,15,cup,all,1534
00320001,15,cup,kitchen_like,1017
00320001,15,bowl,all,717
00320001,15,bowl,kitchen_like,575
00320001,15,bowl,eating,408
00320001,15,plate,all,187
00320001,15,plate,kitchen_like,145
00320001,15,plate,eating,123
00320001,13,plate,all,207
00400002,13,plate,all,126
