subject_id,age_mo,category,stratum,n_indexed
00560001,16,cup,all,74
00560001,16,cup,kitchen_like,30
00400001,11,plate,all,269
00400001,11,plate,kitchen_like,195
00400001,11,cup,all,355
00400001,11,cup,kitchen_like,114
00400001,11,plate,eating,141
00430001,16,cup,all,376
00430001,16,plate,all,65
00510002,17,cup,all,1769
00510002,17,cup,kitchen_like,1621
00510002,17,cup,eating,867
00510002,17,plate,all,1586
00510002,17,plate,kitchen_like,1567
00510002,17,plate,eating,1150
00500001,13,cup,all,665
00500001,13,plate,all,814
00500001,13,plate,kitchen_like,723
00500001,13,plate,eating,569
00320001,20,cup,all,1132
00320001,20,cup,kitchen_like,455
00320001,20,cup,eating,72
00320001,12,cup,all,1998
00320001,12,plate,all,209
00320001,12,cup,eating,523
00500001,28,cup,all,37
00500001,28,cup,kitchen_like,19
00500001,28,cup,eating,10
00500001,28,plate,all,169
00500001,28,plate,kitchen_like,154
00500001,28,plate,eating,124
00370002,14,plate,all,49
00370002,12,cup,all,805
00370002,12,plate,all,212
00430001,13,cup,all,469
00430001,13,plate,all,197
00430001,13,plate,kitchen_like,187
00430001,13,cup,kitchen_like,391
00430001,13,plate,eating,121
00500001,17,plate,all,415
00500001,17,plate,kitchen_like,401
00500001,17,cup,all,117
00500001,17,cup,kitchen_like,107
00320001,13,cup,all,1811
00320001,13,cup,kitchen_like,1114
00400002,15,plate,all,289
00400002,15,cup,all,566
00320001,18,plate,all,203
00320001,18,plate,kitchen_like,164
00320001,18,plate,eating,44
00320001,18,cup,all,1702
00320001,18,cup,kitchen_like,693
00320001,18,cup,eating,380
00400002,19,plate,all,97
00400002,19,cup,all,186
00400001,25,plate,all,293
00400001,25,plate,kitchen_like,244
00400001,25,cup,all,257
00400001,25,cup,kitchen_like,141
00400002,22,plate,all,570
00400002,22,plate,kitchen_like,542
00400002,22,plate,eating,447
00400002,22,cup,all,664
00400002,22,cup,kitchen_like,610
00400002,22,cup,eating,506
00370002,12,cup,kitchen_like,735
00370002,12,cup,eating,500
00370002,12,plate,kitchen_like,147
00370002,12,plate,eating,73
00510002,18,cup,all,2215
00510002,18,cup,kitchen_like,2147
00510002,18,cup,eating,1278
00510002,18,plate,all,1119
00510002,18,plate,kitchen_like,1102
00510002,18,plate,eating,687
00510002,16,cup,all,597
00510002,16,cup,kitchen_like,534
00510002,16,plate,all,1324
00510002,16,plate,kitchen_like,1312
00510002,16,plate,eating,892
00510002,16,cup,eating,259
00320001,11,cup,all,888
00320001,15,cup,all,1534
00320001,15,cup,kitchen_like,1017
00320001,15,plate,all,187
00320001,15,plate,kitchen_like,145
00320001,15,plate,eating,123
00320001,13,plate,all,207
00400002,13,plate,all,126
00400002,13,plate,kitchen_like,104
00400001,27,cup,all,52
00400001,27,cup,kitchen_like,45
00400001,27,cup,eating,12
00400001,27,plate,all,303
00400001,27,plate,kitchen_like,245
00400001,27,plate,eating,215
00400001,13,plate,all,269
00400001,13,cup,all,362
00320001,9,cup,all,1537
00320001,9,cup,kitchen_like,817
00320001,9,plate,all,186
00320001,9,plate,kitchen_like,127
00320001,17,plate,all,671
00320001,17,plate,kitchen_like,354
00320001,17,plate,eating,87
00370002,15,plate,all,210
00500001,21,plate,all,14
00500001,21,plate,kitchen_like,10
00400002,16,cup,all,189
00400002,16,cup,kitchen_like,152
00370002,17,cup,all,1223
00400001,23,cup,all,430
00400001,23,cup,kitchen_like,398
00400001,23,plate,all,970
00400001,23,plate,kitchen_like,953
00510002,13,cup,all,2226
00320001,20,plate,all,107
00320001,20,plate,kitchen_like,56
00320001,20,plate,eating,21
00320001,12,plate,kitchen_like,180
00320001,12,cup,kitchen_like,1326
00560001,21,cup,all,214
00560001,21,plate,all,39
00400001,17,cup,all,274
00400001,14,plate,all,1655
00400001,14,plate,kitchen_like,1449
00400001,14,plate,eating,1087
00400001,14,cup,all,1126
00400001,14,cup,kitchen_like,839
00400001,14,cup,eating,691
00510002,15,cup,all,2110
00510002,15,plate,all,1265
00510002,15,plate,kitchen_like,1246
00510002,15,cup,kitchen_like,1945
00510002,15,cup,eating,917
00510002,15,plate,eating,501
00500001,20,cup,all,8
00500001,20,plate,all,1
00510002,14,cup,all,3176
00510002,14,cup,kitchen_like,2804
00510002,14,cup,eating,2105
00510002,14,plate,all,599
00510002,14,plate,kitchen_like,560
00510002,14,plate,eating,396
00400002,14,cup,all,250
00400002,14,cup,kitchen_like,201
00400002,14,plate,all,1055
00400002,14,plate,kitchen_like,1013
00400001,15,plate,all,611
00400001,15,plate,kitchen_like,556
00400001,15,plate,eating,490
00400001,15,cup,all,342
00400001,15,cup,kitchen_like,272
00400001,15,cup,eating,159
00370002,17,cup,kitchen_like,911
00370002,17,plate,all,705
00370002,17,plate,kitchen_like,660
00370002,17,plate,eating,538
00370002,17,cup,eating,525
00400002,15,plate,eating,213
00400002,19,cup,kitchen_like,100
00400002,19,cup,eating,54
00320001,15,cup,eating,743
00320001,19,plate,all,267
00320001,19,cup,all,374
00320001,16,cup,all,1123
00320001,16,cup,kitchen_like,671
00320001,16,plate,all,904
00320001,16,plate,kitchen_like,714
00320001,16,cup,eating,331
00320001,16,plate,eating,653
00400002,18,cup,all,119
00400002,18,cup,kitchen_like,82
00400002,16,plate,all,1298
00400002,16,plate,kitchen_like,1267
00400002,16,plate,eating,1128
00400002,16,cup,eating,118
00500001,26,cup,all,39
00500001,26,cup,kitchen_like,8
00400001,13,plate,kitchen_like,150
00400001,13,cup,kitchen_like,162
00400001,13,cup,eating,104
00430001,18,cup,all,517
00430001,18,cup,kitchen_like,496
00430001,18,plate,all,311
00430001,18,plate,kitchen_like,283
00430001,18,plate,eating,172
00400001,17,cup,kitchen_like,159
00400001,17,cup,eating,137
00500001,14,plate,all,446
00500001,14,plate,kitchen_like,355
00500001,14,cup,all,190
00510002,19,plate,all,507
00510002,19,plate,kitchen_like,504
00510002,19,plate,eating,292
00510002,19,cup,all,580
00510002,19,cup,kitchen_like,532
00510002,19,cup,eating,229
00400001,20,cup,all,163
00320001,11,cup,kitchen_like,260
00500001,15,plate,all,1888
00500001,15,plate,kitchen_like,1865
00500001,15,cup,all,561
00500001,15,cup,kitchen_like,460
00400001,19,plate,all,250
00400001,19,plate,kitchen_like,177
00400001,19,cup,all,69
00400001,19,cup,kitchen_like,55
00400001,19,plate,eating,95
00560001,23,cup,all,58
00560001,23,cup,kitchen_like,38
00560001,23,plate,all,191
00560001,23,plate,kitchen_like,119
00560001,23,cup,eating,10
00560001,20,cup,all,327
00560001,20,cup,kitchen_like,89
00560001,20,plate,all,148
00560001,20,plate,kitchen_like,24
00560001,20,plate,eating,82
00560001,20,cup,eating,35
00430001,28,plate,all,539
00430001,28,plate,kitchen_like,537
00430001,28,plate,eating,13
00430001,28,cup,all,335
00430001,28,cup,kitchen_like,319
00430001,28,cup,eating,20
00400002,23,plate,all,752
00400002,23,plate,kitchen_like,618
00400002,23,plate,eating,361
00400002,23,cup,all,565
00400002,23,cup,kitchen_like,272
00400002,23,cup,eating,155
00430001,14,cup,all,609
00430001,14,plate,all,345
00400002,17,cup,all,192
00400002,17,plate,all,154
00400001,29,plate,all,5
00370002,16,cup,all,712
00500001,13,cup,kitchen_like,465
00500001,13,cup,eating,202
00400001,22,cup,all,180
00400001,22,cup,kitchen_like,159
00400001,22,plate,all,412
00400001,22,plate,kitchen_like,407
00400001,22,plate,eating,305
00400001,23,cup,eating,226
00400001,23,plate,eating,759
00320001,17,cup,all,2267
00320001,17,cup,kitchen_like,1921
00320001,17,cup,eating,905
00400001,24,plate,all,180
00400001,24,plate,kitchen_like,149
00400001,24,cup,all,292
00400001,24,cup,kitchen_like,253
00400002,24,cup,all,233
00400002,24,cup,kitchen_like,197
00400001,12,cup,all,495
00400001,12,cup,kitchen_like,409
00400001,12,cup,eating,200
00500001,23,plate,all,241
00500001,23,cup,all,188
00370002,14,cup,all,298
00370002,14,cup,kitchen_like,232
00370002,14,plate,kitchen_like,18
00430001,29,plate,all,955
00430001,29,plate,kitchen_like,953
00430001,29,cup,all,300
00430001,29,cup,kitchen_like,300
00370002,19,cup,all,405
00370002,16,cup,kitchen_like,411
00370002,16,cup,eating,132
00370002,16,plate,all,516
00370002,16,plate,kitchen_like,459
00370002,16,plate,eating,315
00560001,19,cup,all,1370
00560001,14,cup,all,49
00560001,14,cup,kitchen_like,12
00560001,14,cup,eating,8
00560001,14,plate,all,20
00430001,16,cup,kitchen_like,284
00430001,16,cup,eating,77
00320001,19,cup,kitchen_like,212
00320001,14,cup,all,943
00320001,14,cup,kitchen_like,630
00560001,21,cup,kitchen_like,164
00560001,21,cup,eating,53
00320001,14,plate,all,204
00320001,14,plate,kitchen_like,197
00560001,19,plate,all,1255
00400002,25,cup,all,9
00500001,17,plate,eating,362
00500001,17,cup,eating,49
00560001,19,plate,kitchen_like,1099
00560001,19,plate,eating,997
00560001,19,cup,kitchen_like,955
00560001,19,cup,eating,788
00400001,12,plate,all,438
00400001,20,plate,all,124
00400001,20,plate,kitchen_like,100
00400001,20,cup,kitchen_like,106
00370002,18,cup,all,226
00370002,18,cup,kitchen_like,94
00370002,15,cup,all,548
00370002,15,plate,kitchen_like,169
00430001,14,cup,kitchen_like,480
00430001,14,cup,eating,116
00430001,14,plate,kitchen_like,337
00430001,14,plate,eating,93
00320001,11,plate,all,88
00320001,11,plate,kitchen_like,66
00320001,11,plate,eating,17
00320001,11,cup,eating,43
00500001,14,cup,kitchen_like,146
00500001,14,cup,eating,50
00500001,14,plate,eating,340
00560001,21,plate,kitchen_like,16
00560001,15,cup,all,309
00500001,12,cup,all,220
00500001,12,cup,kitchen_like,215
00500001,12,cup,eating,26
00500001,12,plate,all,205
00500001,12,plate,kitchen_like,205
00500001,12,plate,eating,132
00370002,9,plate,all,43
00370002,9,cup,all,282
00370002,9,cup,kitchen_like,65
00400002,18,plate,all,943
00400002,18,plate,kitchen_like,869
00430001,15,plate,all,195
00430001,15,plate,kitchen_like,185
00430001,15,cup,all,86
00430001,15,cup,kitchen_like,59
00560001,23,plate,eating,174
00320001,9,cup,eating,398
00320001,9,plate,eating,76
00400001,25,plate,eating,142
00400001,11,cup,eating,22
00500001,23,cup,kitchen_like,122
00320001,10,cup,all,1118
00320001,10,cup,kitchen_like,492
00320001,10,cup,eating,211
00400001,21,plate,all,155
00400001,21,plate,kitchen_like,141
00400001,21,plate,eating,82
00400001,21,cup,all,380
00400001,12,plate,kitchen_like,389
00320001,19,cup,eating,57
00370002,14,plate,eating,4
00370002,14,cup,eating,74
00430001,29,plate,eating,149
00430001,29,cup,eating,100
00430001,12,plate,all,113
00430001,12,plate,kitchen_like,105
00430001,12,cup,all,166
00430001,12,cup,kitchen_like,126
00430001,12,cup,eating,22
00370002,13,cup,all,299
00400001,28,cup,all,185
00400001,28,cup,kitchen_like,135
00400001,28,cup,eating,20
00400001,28,plate,all,1257
00400001,28,plate,kitchen_like,1202
00400001,28,plate,eating,1089
00370002,9,cup,eating,34
00370002,9,plate,kitchen_like,25
00370002,9,plate,eating,24
00430001,12,plate,eating,40
00430001,13,cup,eating,164
00370002,18,plate,all,206
00370002,18,plate,kitchen_like,66
00370002,18,plate,eating,31
00370002,18,cup,eating,39
00430001,15,plate,eating,88
00430001,15,cup,eating,22
00500001,16,plate,all,1777
00500001,16,cup,all,1153
00400001,26,cup,all,334
00500001,15,cup,eating,241
00500001,15,plate,eating,1736
00400001,10,cup,all,80
00400001,10,plate,all,21
00320001,21,cup,all,96
00320001,21,cup,kitchen_like,89
00320001,21,cup,eating,38
00320001,21,plate,all,14
00320001,21,plate,kitchen_like,11
00320001,21,plate,eating,2
00560001,13,cup,all,389
00560001,13,cup,kitchen_like,362
00560001,13,cup,eating,319
00560001,13,plate,all,864
00560001,13,plate,kitchen_like,781
00560001,13,plate,eating,696
00320001,14,cup,eating,380
00400002,13,cup,all,34
00400002,13,cup,kitchen_like,22
00370002,10,cup,all,400
00370002,10,plate,all,140
00320001,10,plate,all,750
00320001,10,plate,kitchen_like,725
00500001,23,cup,eating,61
00500001,16,plate,kitchen_like,1743
00500001,16,plate,eating,1302
00500001,16,cup,kitchen_like,981
00500001,16,cup,eating,693
00510002,13,cup,kitchen_like,1899
00510002,13,plate,all,346
00510002,13,plate,kitchen_like,306
