subject_id,category,stratum,cdi_domain,age_from,age_to,age_midpoint,centroid_displacement,dispersion_from,dispersion_to,dispersion_delta,n_crops_from,n_crops_to
00320001,cat,all,animals,16,17,16.5,0.30047810424395704,0.23186079438566068,0.36039068306326705,0.12852988867760637,26,14
00320001,cup,all,household,9,10,9.5,0.047006043818552,0.4392779315237259,0.4426081179910808,0.0033301864673548898,256,256
00320001,cup,all,household,10,11,10.5,0.10593240090243794,0.4426081179910808,0.43863850849039465,-0.003969609500686144,256,256
00320001,cup,all,household,11,12,11.5,0.1251731136462213,0.43863850849039465,0.43550451772606336,-0.003133990764331296,256,256
00320001,cup,all,household,12,13,12.5,0.0735347789508678,0.43550451772606336,0.4453456838709037,0.009841166144840319,256,256
00320001,cup,all,household,13,14,13.5,0.04744305639785629,0.4453456838709037,0.4388250627482706,-0.006520621122633075,256,256
00320001,cup,all,household,14,15,14.5,0.129518919273508,0.4388250627482706,0.45802921271854735,0.01920414997027675,256,256
00320001,cup,all,household,15,16,15.5,0.08763167357935919,0.45802921271854735,0.46197902263632196,0.003949809917774605,256,256
00320001,cup,all,household,16,17,16.5,0.10738641366588453,0.46197902263632196,0.422656151118734,-0.039322871517587954,256,256
00320001,cup,all,household,17,18,17.5,0.21934812563451733,0.422656151118734,0.4378923331038389,0.015236181985104902,256,256
00320001,cup,all,household,18,19,18.5,0.1200845801545003,0.4378923331038389,0.4801474019703981,0.04225506886655922,256,256
00320001,cup,all,household,19,20,19.5,0.13725266419203952,0.4801474019703981,0.42052782111337095,-0.05961958085702718,256,256
00320001,cup,all,household,20,21,20.5,0.3672596648183535,0.42052782111337095,0.2071232477775061,-0.21340457333586485,256,96
00320001,cup,eating,household,9,10,9.5,0.16324343534623043,0.40124773700853844,0.3525199595088765,-0.04872777749966195,256,211
00320001,cup,eating,household,10,11,10.5,0.3342634390715341,0.3525199595088765,0.39616481704287687,0.04364485753400038,211,43
00320001,cup,eating,household,11,12,11.5,0.24637424436193756,0.39616481704287687,0.3468419675899103,-0.049322849452966555,43,256
00320001,cup,eating,household,12,13,12.5,0.16232018615105792,0.3468419675899103,0.32258142613711316,-0.024260541452797157,256,256
00320001,cup,eating,household,13,14,13.5,0.10920669962026308,0.32258142613711316,0.3236363832826076,0.0010549571454944173,256,256
00320001,cup,eating,household,14,15,14.5,0.31374511720180087,0.3236363832826076,0.3898014872343265,0.06616510395171893,256,256
00320001,cup,eating,household,15,16,15.5,0.17652355277066256,0.3898014872343265,0.4343294101037734,0.0445279228694469,256,256
00320001,cup,eating,household,16,17,16.5,0.16546643209694833,0.4343294101037734,0.38137037485356995,-0.05295903525020346,256,256
00320001,cup,eating,household,17,18,17.5,0.27023786287149854,0.38137037485356995,0.3079529352289097,-0.07341743962466024,256,256
00320001,cup,eating,household,18,19,18.5,0.2933542797290415,0.3079529352289097,0.4499148624438801,0.14196192721497042,256,57
00320001,cup,eating,household,19,20,19.5,0.23158147104005644,0.4499148624438801,0.45066170394552635,0.0007468415016462226,57,72
00320001,cup,eating,household,20,21,20.5,0.39951050991108694,0.45066170394552635,0.11869489485541936,-0.331966809090107,72,38
00320001,cup,kitchen_like,household,9,10,9.5,0.0791123795742028,0.43215123740860023,0.4242402324600242,-0.00791100494857605,256,256
00320001,cup,kitchen_like,household,10,11,10.5,0.1396049000086108,0.4242402324600242,0.4599343290349301,0.03569409657490591,256,256
00320001,cup,kitchen_like,household,11,12,11.5,0.14143479828713068,0.4599343290349301,0.4103505380024765,-0.049583791032453584,256,256
00320001,cup,kitchen_like,household,12,13,12.5,0.12025193584447103,0.4103505380024765,0.37977238130031177,-0.030578156702164738,256,256
00320001,cup,kitchen_like,household,13,14,13.5,0.0849443012285176,0.37977238130031177,0.39955432701949767,0.0197819457191859,256,256
00320001,cup,kitchen_like,household,14,15,14.5,0.2738652295948769,0.39955432701949767,0.4176466369229755,0.01809230990347782,256,256
00320001,cup,kitchen_like,household,15,16,15.5,0.12221528063239373,0.4176466369229755,0.4622507983995208,0.044604161476545334,256,256
00320001,cup,kitchen_like,household,16,17,16.5,0.10814999058851393,0.4622507983995208,0.42271815572867766,-0.039532642670843166,256,256
00320001,cup,kitchen_like,household,17,18,17.5,0.18261558793174126,0.42271815572867766,0.376380243124335,-0.04633791260434267,256,256
00320001,cup,kitchen_like,household,18,19,18.5,0.1853552174683475,0.376380243124335,0.4559225697757524,0.07954232665141742,256,212
00320001,cup,kitchen_like,household,19,20,19.5,0.15297806287121207,0.4559225697757524,0.44063993619402275,-0.015282633581729654,212,256
00320001,cup,kitchen_like,household,20,21,20.5,0.33681094606401984,0.44063993619402275,0.1759448329794746,-0.26469510321454814,256,89
00320001,cup,living_room,household,9,10,9.5,0.05256496911409858,0.4146714211310951,0.3841948103888642,-0.030476610742230903,256,256
00320001,cup,living_room,household,10,11,10.5,0.15381065595514065,0.3841948103888642,0.42072496941113224,0.03653015902226803,256,256
00320001,cup,living_room,household,11,12,11.5,0.09287142871451115,0.42072496941113224,0.4336408660148351,0.012915896603702848,256,256
00320001,cup,living_room,household,12,13,12.5,0.09769617713644241,0.4336408660148351,0.4080662064639746,-0.025574659550860468,256,256
00320001,cup,living_room,household,13,14,13.5,0.051333144333976954,0.4080662064639746,0.4071554609647472,-0.0009107454992274278,256,256
00320001,cup,living_room,household,14,15,14.5,0.05193676424245108,0.4071554609647472,0.4004473564543963,-0.006708104510350921,256,256
00320001,cup,living_room,household,15,16,15.5,0.04460130095638892,0.4004473564543963,0.3926186713474725,-0.00782868510692375,256,256
00320001,cup,living_room,household,16,17,16.5,0.1774656855622212,0.3926186713474725,0.41147922653755375,0.01886055519008123,256,256
00320001,cup,living_room,household,17,18,17.5,0.24560330778895634,0.41147922653755375,0.3707763900971854,-0.04070283644036837,256,256
00320001,cup,living_room,household,18,19,18.5,0.3327253037765634,0.3707763900971854,0.4087203383523864,0.03794394825520103,256,87
00320001,cup,living_room,household,19,20,19.5,0.25374992608109337,0.4087203383523864,0.40053763177750834,-0.008182706574878074,87,166
00320001,cup,playing,household,9,10,9.5,0.04218969475276224,0.40256092064754284,0.38122370894413105,-0.021337211703411796,256,256
00320001,cup,playing,household,10,11,10.5,0.15436700756001742,0.38122370894413105,0.4329410549799337,0.051717346035802636,256,256
00320001,cup,playing,household,11,12,11.5,0.06810776288956166,0.4329410549799337,0.44609785543289837,0.01315680045296469,256,256
00320001,cup,playing,household,12,13,12.5,0.12169891353007911,0.44609785543289837,0.3927792776559912,-0.05331857777690718,256,256
00320001,cup,playing,household,13,14,13.5,0.05115145298839818,0.3927792776559912,0.42791504656907076,0.03513576891307957,256,198
