category,mean_dispersion,n_windows,n_exemplars,k,effective_k,ccn_mean_knn_dist,ccn_local_coherence,ccn_global_dispersion,ccn_local_over_global
car,0.3699495294493296,24,200,5,5,26.909090414832963,0.0371621628447454,26.671816866834845,0.0013933120128368
cat,0.35245534512966153,38,220,5,5,20.64008458595296,0.0484494138498139,21.270342845210617,0.0022777918627072
cup,0.4015841515144184,105,264,5,5,14.762640583309434,0.0677385589899543,15.302794973375882,0.0044265481637705
dog,0.39931349199391286,29,224,5,5,22.38796261206545,0.0446668603717014,23.328683460841045,0.0019146755729562
plate,0.4067564969939791,99,263,5,5,17.12203632613071,0.0584042680994581,17.471808295189266,0.00334277180202
stroller,0.23007587190165482,27,166,5,5,25.204209453873915,0.039675912145949,25.449590339769344,0.0015590000316802
