,pony,horse,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,mouth,stroller,motorcycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,tree,snow,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,pizza,hamburger,muffin,meat,soup,glass,coffee,dish,tray,box,book,paper,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts
pony,0.0,0.08833348751068115,0.431754469871521,0.5531811118125916,0.7918719053268433,0.6835526823997498,0.5462460517883301,0.6470739841461182,0.9223123788833618,0.951678454875946,0.8751332759857178,0.48049676418304443,1.0827943086624146,1.1172096729278564,1.1938854455947876,1.145532250404358,1.109617829322815,0.9867590069770813,1.0677744150161743,1.0800793170928955,1.0492632389068604,1.0377894639968872,0.970945417881012,1.0364935398101807,1.049852967262268,0.9448291659355164,0.988772988319397,0.8899216651916504,0.9359629154205322,0.9763116240501404,1.0359947681427002,1.0673068761825562,1.103074312210083,1.013000726699829,1.0981897115707397,1.1523860692977905,1.1546180248260498,1.0756722688674927,1.153130054473877,1.1085684299468994,1.035294771194458,1.1061972379684448,1.0318833589553833,1.0824103355407715,1.0907070636749268,1.0584346055984497,1.0316462516784668,1.0305724143981934,0.9555627703666687,0.9404831528663635,0.9777582287788391,1.0178418159484863,0.9536923170089722,0.9547462463378906,0.9937853217124939,0.890066921710968,0.984870433807373,0.9283674955368042,0.9486114382743835,0.8807405829429626,0.9915727376937866,0.9703090190887451,1.0391907691955566,1.02944815158844,1.0007789134979248,0.9866145253181458,1.0261824131011963,1.0224874019622803,1.0359060764312744,1.1110715866088867,0.961943507194519,0.8915589451789856,0.955442488193512,0.9870159029960632,1.042175531387329,1.0047637224197388,1.0028892755508423,0.971105694770813,1.0740585327148438,0.9493358731269836,1.0111048221588135,1.011399507522583,1.0017324686050415,1.0677889585494995,1.1038068532943726,0.9800724387168884,1.0325891971588135,0.9979754090309143,0.9897695779800415,1.0448544025421143,0.9704118371009827,1.0404466390609741,0.9700460433959961,1.0380245447158813,1.0508078336715698,0.9913865923881531,1.0286489725112915,0.9603670239448547,0.9293014407157898,1.0226720571517944,1.0015450716018677,0.9058200120925903,0.9283298850059509,0.9103572368621826,0.9782842993736267,1.0128134489059448,1.036215901374817,1.0079290866851807,1.0150775909423828,1.0223829746246338,0.9141072034835815,0.9687190651893616,1.1213977336883545,1.0538318157196045,1.0084524154663086,0.8086588382720947,0.7564328908920288,1.114414930343628,1.0563037395477295,1.0316733121871948,0.9685810208320618,1.0533815622329712,1.0180953741073608,1.0739915370941162,1.0548605918884277,1.1368118524551392,1.0248972177505493,1.1695078611373901,1.1130236387252808,1.1442666053771973,1.0847601890563965,1.0622845888137817,1.1199873685836792,1.1294987201690674,1.1965129375457764,1.1384844779968262,1.1211103200912476
horse,0.08833348751068115,0.0,0.39067041873931885,0.5123449563980103,0.8136913180351257,0.7377603650093079,0.6055598855018616,0.6161251664161682,0.8891735076904297,0.8570672273635864,0.7636353969573975,0.4221342206001282,1.0476435422897339,1.0881891250610352,1.1308364868164062,1.1270393133163452,1.1073225736618042,1.0023729801177979,1.0763496160507202,1.12621009349823,1.1058381795883179,1.0872104167938232,0.9737221002578735,1.0740805864334106,1.0967636108398438,0.9319518804550171,0.9284086227416992,0.8790262341499329,0.8701435327529907,1.0003479719161987,0.9979721307754517,1.0069630146026611,1.1029613018035889,0.9838503003120422,1.0709331035614014,1.118001103401184,1.1079866886138916,1.0463566780090332,1.1007916927337646,1.074973225593567,0.9442485570907593,1.0204997062683105,0.9800987243652344,1.008698582649231,1.0383307933807373,1.046629786491394,0.9452894330024719,0.9836426973342896,0.9264129400253296,0.933873176574707,0.9661822319030762,0.9544978141784668,0.9936667680740356,1.009358525276184,1.056283712387085,0.9038282632827759,1.0438252687454224,0.9797315001487732,1.0074518918991089,0.9556386470794678,1.0281232595443726,1.0066554546356201,1.0824229717254639,1.1111942529678345,1.015669822692871,1.0373127460479736,1.0572234392166138,1.081797480583191,1.004347562789917,1.0613969564437866,0.9866014719009399,0.9014018774032593,0.9945994019508362,0.9805768132209778,1.0436888933181763,1.0495822429656982,1.034592628479004,1.0467723608016968,1.0605971813201904,0.9750291705131531,1.090275526046753,1.055800437927246,1.0836198329925537,1.0941468477249146,1.1102294921875,0.999016523361206,1.0255770683288574,1.0155977010726929,1.003029704093933,1.098518967628479,1.0387694835662842,1.1007542610168457,1.016425371170044,1.0389330387115479,1.1011954545974731,1.0102314949035645,1.036436915397644,0.9944108724594116,0.9818667769432068,1.0163379907608032,0.9766983985900879,0.943583607673645,0.9415013194084167,0.8841337561607361,1.0012131929397583,0.9581576585769653,1.014633297920227,1.0272005796432495,0.9915046691894531,1.0349675416946411,0.9267308712005615,0.9736801981925964,1.0699095726013184,1.0528382062911987,1.078007698059082,0.879688560962677,0.7888641357421875,1.109236478805542,1.0584081411361694,1.053198218345642,0.9634547829627991,1.0149122476577759,1.0150848627090454,1.0610382556915283,1.0686975717544556,1.0470128059387207,0.9998021721839905,1.1065179109573364,1.0807790756225586,1.0967952013015747,1.0247814655303955,1.0003892183303833,1.053948998451233,1.0734174251556396,1.1146454811096191,1.0782414674758911,1.0977169275283813
rooster,0.431754469871521,0.39067041873931885,0.0,0.2969387173652649,0.6457425951957703,0.6247267723083496,0.5396963357925415,0.5464922189712524,0.7038383483886719,0.8660767078399658,0.5762519240379333,0.5296882390975952,0.8863966464996338,0.8678281307220459,1.0729578733444214,1.0432485342025757,1.045503854751587,0.9582116603851318,1.050543189048767,1.0774253606796265,1.0124540328979492,0.9798066020011902,0.9137030243873596,0.9964258670806885,1.02187979221344,1.006508708000183,0.9280984997749329,0.8628420829772949,0.8622692227363586,0.9400337934494019,1.1596158742904663,1.1377387046813965,1.1077824831008911,1.0332273244857788,1.0390625,1.050792932510376,1.0609885454177856,0.9909699559211731,1.0493565797805786,1.0897372961044312,1.0010521411895752,1.1091690063476562,1.0982075929641724,1.1141650676727295,1.0902045965194702,1.1133379936218262,0.951353907585144,1.0341614484786987,0.9586867094039917,0.8928082585334778,0.9101795554161072,0.928849458694458,1.0109039545059204,1.0380882024765015,1.0514968633651733,0.874976396560669,1.08320152759552,1.0031965970993042,1.0138920545578003,0.9272565245628357,0.9050379991531372,0.950474739074707,1.0306721925735474,1.0157675743103027,0.8605525493621826,0.9229167103767395,0.9716224074363708,1.0325685739517212,0.9767892360687256,0.9112974405288696,0.9580861330032349,0.9280470013618469,0.9988391399383545,0.8700370192527771,0.9350289106369019,1.0237765312194824,0.9965797066688538,1.024743914604187,1.054587721824646,0.9000905156135559,1.059933066368103,1.0304882526397705,1.1170806884765625,1.1498854160308838,1.0696942806243896,0.9913372993469238,1.0633105039596558,1.083347201347351,0.9998884201049805,1.1696114540100098,1.1129873991012573,1.1673049926757812,1.0787707567214966,1.0641441345214844,1.0900222063064575,1.0404874086380005,1.0440905094146729,0.8805211782455444,0.9083117842674255,0.8700348138809204,0.859876811504364,0.9172598123550415,0.7469316720962524,0.6810985207557678,1.0422457456588745,0.865574061870575,1.0510637760162354,1.0578503608703613,1.0916576385498047,1.1017372608184814,0.9817596673965454,0.973239541053772,0.9110573530197144,1.0050482749938965,0.99126136302948,0.9837912917137146,0.737247109413147,1.0266129970550537,1.0244325399398804,1.0871632099151611,0.9461215734481812,1.047683596611023,1.0998990535736084,1.1034681797027588,1.1038557291030884,1.1037718057632446,0.8949685096740723,1.04158616065979,1.0413167476654053,1.0255646705627441,0.9530763030052185,1.0078628063201904,0.9772158861160278,0.9812491536140442,1.0558103322982788,1.0248512029647827,0.9965566396713257
bird,0.5531811118125916,0.5123449563980103,0.2969387173652649,0.0,0.6136124730110168,0.6668583154678345,0.4871213436126709,0.5459108352661133,0.7166316509246826,0.8753451704978943,0.6022874712944031,0.5210444331169128,1.0137887001037598,0.9931086301803589,1.0864522457122803,1.0207053422927856,1.009790301322937,0.9234482645988464,1.0028060674667358,1.0679118633270264,1.050341010093689,1.0486462116241455,0.9177161455154419,1.0585733652114868,1.0882103443145752,0.9416335821151733,0.8384541869163513,0.8483368158340454,0.7874858975410461,0.9423783421516418,1.0991944074630737,1.1119557619094849,1.0669976472854614,0.9745272994041443,1.0667126178741455,1.0386323928833008,1.083781361579895,1.043245792388916,1.0302761793136597,1.0863271951675415,0.9807964563369751,1.09648597240448,1.0848000049591064,1.0917527675628662,1.0775691270828247,1.0682235956192017,0.9175357818603516,1.0049887895584106,0.9364861249923706,0.83661949634552,0.9619559645652771,0.8995162844657898,0.9917323589324951,1.0004123449325562,1.0402159690856934,0.923912525177002,1.0684068202972412,1.0439176559448242,1.0266773700714111,0.9863118529319763,0.9586682319641113,0.9454764127731323,1.041113018989563,1.1043981313705444,0.8895772099494934,1.0024516582489014,1.0487654209136963,1.0155799388885498,0.9051917791366577,0.9037284851074219,0.9032392501831055,0.8659974932670593,0.9127843379974365,0.8095887303352356,0.844194769859314,0.966391384601593,0.9456788897514343,0.9993652701377869,1.0736854076385498,0.9432046413421631,1.0898029804229736,0.979247510433197,1.102891445159912,1.1102601289749146,1.0437597036361694,0.9800859093666077,1.0458173751831055,1.0075819492340088,0.9578949213027954,1.0995322465896606,1.0752322673797607,1.1117280721664429,1.0197241306304932,1.0438896417617798,1.0517330169677734,0.969662070274353,0.9848453402519226,0.9059982299804688,0.912318229675293,0.8499500751495361,0.8429733514785767,0.8920950293540955,0.8041492700576782,0.7067694664001465,0.9925300478935242,0.864174485206604,1.0741820335388184,0.9903279542922974,1.0253217220306396,1.0509787797927856,0.9467515349388123,0.9405820369720459,0.8558012843132019,0.9531139135360718,0.9484447836875916,0.9356085658073425,0.7399629354476929,0.9495564699172974,0.9362857341766357,0.9947320818901062,0.8602091073989868,1.0104824304580688,1.0581337213516235,1.0452523231506348,1.050121784210205,1.0861059427261353,0.9629287719726562,1.0763813257217407,1.0632951259613037,1.0567009449005127,1.0099105834960938,1.0414447784423828,1.040746808052063,1.0502976179122925,1.0347568988800049,1.0000851154327393,0.9663743376731873
fish,0.7918719053268433,0.8136913180351257,0.6457425951957703,0.6136124730110168,0.0,0.4994276165962219,0.5036080479621887,0.8381850123405457,0.8169212937355042,1.1218353509902954,0.8729764819145203,0.8520810604095459,1.1232866048812866,1.0503215789794922,1.2708663940429688,1.0619316101074219,0.9611948728561401,0.8491146564483643,0.8619339466094971,0.8681347370147705,0.760588526725769,0.7848474979400635,0.8307043313980103,0.9135479927062988,0.9838213324546814,1.1509493589401245,1.0790940523147583,0.966621458530426,0.8129597902297974,0.8197314739227295,1.1869733333587646,1.246506929397583,1.024957299232483,1.098080039024353,1.12447190284729,1.150269865989685,1.2617238759994507,1.173014521598816,1.1978657245635986,1.15215265750885,1.2031606435775757,1.328878402709961,1.2236690521240234,1.2838611602783203,1.148741364479065,1.0532017946243286,1.1319423913955688,1.2192187309265137,1.116746187210083,0.8251757025718689,1.0006121397018433,1.014157772064209,0.7185845375061035,0.8122493028640747,0.7128934264183044,0.8611032962799072,0.7731645107269287,0.7639219164848328,0.8009387254714966,0.7021952867507935,0.7134760618209839,0.7122446298599243,0.7906783223152161,0.6810397505760193,0.6857987642288208,0.7302317023277283,0.8959812521934509,0.6790162324905396,1.0028035640716553,0.9936937093734741,0.7775755524635315,0.8895896673202515,0.6223104596138,0.6040675640106201,0.6724299192428589,0.6113975048065186,0.619242787361145,0.5298061370849609,0.9948659539222717,0.7945446968078613,0.5718768835067749,0.6839942336082458,0.7360050082206726,0.9388251304626465,0.7290612459182739,0.8871946334838867,0.9692022800445557,1.0849876403808594,0.8971898555755615,0.9352245926856995,0.8154271841049194,0.8250234127044678,0.7730457186698914,0.9438435435295105,0.8517992496490479,0.8822639584541321,1.0024064779281616,0.7021648287773132,0.7128335237503052,0.836403489112854,0.9997679591178894,0.824215292930603,0.811974823474884,0.9431493282318115,0.8511815071105957,1.0719687938690186,0.956171989440918,1.0206313133239746,1.1527355909347534,1.0976333618164062,1.026693344116211,0.995228111743927,0.9239861369132996,0.9157757759094238,0.7220704555511475,0.8341388702392578,0.9264366626739502,1.07181978225708,0.8563685417175293,0.9748777747154236,0.9226163625717163,1.1737909317016602,0.8211746215820312,0.9543487429618835,0.8609963059425354,1.3150837421417236,1.022225022315979,1.2834465503692627,1.245160698890686,1.2251931428909302,1.1606935262680054,1.278810977935791,1.2628114223480225,1.1984599828720093,1.2179855108261108,1.1518563032150269,0.9682255983352661
butterfly,0.6835526823997498,0.7377603650093079,0.6247267723083496,0.6668583154678345,0.4994276165962219,0.0,0.44472503662109375,0.6989661455154419,0.8492481708526611,1.085145354270935,0.9360213875770569,0.8585407733917236,1.02921462059021,1.0159337520599365,1.220440149307251,1.0579053163528442,1.0837169885635376,0.9693547487258911,0.9970149993896484,0.9981201887130737,0.9697136878967285,0.9646081328392029,0.9556403160095215,0.9998626708984375,0.9925657510757446,1.0775575637817383,1.0139533281326294,0.885142982006073,0.919947624206543,0.8595724701881409,1.1307566165924072,1.1259593963623047,1.0289397239685059,1.0625216960906982,1.0771769285202026,1.0755574703216553,1.12526535987854,1.1256005764007568,1.1444389820098877,1.1341221332550049,1.1144204139709473,1.1675361394882202,1.1259210109710693,1.147489309310913,1.137987732887268,1.0895271301269531,1.050853967666626,1.1170628070831299,1.0267210006713867,0.9309686422348022,0.9728853702545166,0.9180116653442383,0.8069109916687012,0.8971108198165894,0.8335721492767334,0.8834941387176514,0.9397756457328796,0.8620321750640869,0.9155279397964478,0.7276384830474854,0.795580267906189,0.9108474254608154,0.9701359272003174,0.9059997200965881,0.826870322227478,0.8921198844909668,0.958258330821991,0.9064126014709473,0.9955342411994934,1.0617034435272217,0.8527005910873413,0.8105906248092651,0.8307822942733765,0.7461740374565125,0.83570396900177,0.8290547132492065,0.8103294372558594,0.8100863695144653,0.9876924753189087,0.7781631946563721,0.8314817547798157,0.8783341646194458,0.915714681148529,1.0717004537582397,0.9154297709465027,0.9484013319015503,1.0020643472671509,1.06855046749115,0.9418243169784546,0.9925522208213806,0.9031260013580322,0.9732313752174377,0.8470045924186707,1.0018819570541382,0.9658095836639404,1.0342521667480469,1.0386184453964233,0.882561206817627,0.7293726205825806,0.9404169321060181,0.9747615456581116,0.8110474348068237,0.7867544889450073,0.9356602430343628,0.9929285645484924,1.034254550933838,0.9793521761894226,1.0191892385482788,1.109639286994934,1.0362409353256226,0.8803021907806396,0.9231200218200684,0.9985763430595398,1.0011743307113647,0.866296112537384,0.8263015151023865,0.7773656845092773,1.0730338096618652,0.965674102306366,1.0388157367706299,0.989112138748169,1.0319509506225586,0.9848260879516602,0.9949252605438232,0.9726903438568115,1.1585595607757568,0.9657562375068665,1.160494089126587,1.1186109781265259,1.0858101844787598,1.0848798751831055,1.1053221225738525,1.147926926612854,1.114755630493164,1.167264699935913,1.133185863494873,1.0369679927825928
frog,0.5462460517883301,0.6055598855018616,0.5396963357925415,0.4871213436126709,0.5036080479621887,0.44472503662109375,0.0,0.39810752868652344,0.7871451377868652,1.0377975702285767,0.865376353263855,0.6988859176635742,1.0812321901321411,1.0728955268859863,1.1304640769958496,0.9233288168907166,1.200546145439148,0.922691285610199,1.0308489799499512,0.9714093208312988,1.019487738609314,1.0265740156173706,0.9804871082305908,1.095589280128479,1.08199942111969,0.9548887014389038,0.9315017461776733,0.9058295488357544,0.9112891554832458,0.9843703508377075,1.2091965675354004,1.1826765537261963,1.1354719400405884,1.097326636314392,1.1810935735702515,1.217753529548645,1.2124450206756592,1.153615951538086,1.2483315467834473,1.224360704421997,1.1332283020019531,1.1498217582702637,1.1536681652069092,1.0668381452560425,1.0659657716751099,1.0927281379699707,0.9041751027107239,0.9657824039459229,0.9064064621925354,0.886657178401947,0.9686504602432251,0.9597519636154175,0.8793231248855591,0.8462437391281128,0.8818355798721313,0.8413742184638977,0.9708263874053955,0.8822153210639954,0.8505860567092896,0.7338263988494873,0.8425905704498291,0.971897542476654,1.0952180624008179,1.059329628944397,0.8391216993331909,1.0172873735427856,1.070198893547058,0.9153144955635071,1.0493841171264648,1.1023304462432861,0.9137515425682068,0.6819170117378235,0.9044084548950195,0.8543415069580078,0.9073286652565002,0.8792669177055359,0.8797910809516907,0.8494313955307007,1.0925498008728027,0.7827907800674438,0.9602469205856323,0.9413794875144958,1.0208696126937866,1.1838855743408203,1.0919721126556396,0.9995143413543701,1.0308854579925537,1.0039440393447876,1.0490049123764038,1.051335334777832,0.8989157676696777,1.020684838294983,0.7955411672592163,0.9103444218635559,0.8250783085823059,0.7501737475395203,0.7508754134178162,0.8269124031066895,0.7109986543655396,0.7598855495452881,0.8162285089492798,0.6866744160652161,0.7701520919799805,0.7732647061347961,0.8180090188980103,0.9825555682182312,1.0378365516662598,0.8668845891952515,0.9556463360786438,0.9877152442932129,0.7864007353782654,0.8942140340805054,1.0424811840057373,0.849515438079834,0.6734293699264526,0.6118123531341553,0.551088273525238,0.7648544907569885,0.834606409072876,0.9550058245658875,0.917646050453186,1.0338096618652344,1.0706509351730347,1.0661287307739258,1.038008213043213,1.0971617698669434,1.0022965669631958,1.080496072769165,0.936995267868042,1.0475736856460571,1.1139522790908813,1.0425622463226318,1.1460407972335815,1.114286184310913,1.1696187257766724,1.1810344457626343,1.1066902875900269
alligator,0.6470739841461182,0.6161251664161682,0.5464922189712524,0.5459108352661133,0.8381850123405457,0.6989661455154419,0.39810752868652344,0.0,0.7004114389419556,0.6648472547531128,0.575568437576294,0.6659857630729675,0.840900719165802,0.8813384771347046,0.6922096014022827,0.8060487508773804,1.1017059087753296,1.035630702972412,1.1427655220031738,1.1815365552902222,1.2786273956298828,1.2829943895339966,1.1343026161193848,1.2425941228866577,1.2227765321731567,0.9306784272193909,0.8225928544998169,0.7931150794029236,0.9010591506958008,1.0997639894485474,1.0529674291610718,0.979422926902771,1.1079987287521362,0.9541388750076294,0.9993367195129395,0.9930211901664734,0.8913491368293762,0.8830791115760803,1.015122890472412,1.142802357673645,0.8567536473274231,0.7440657615661621,0.9726720452308655,0.7632062435150146,0.8377195000648499,1.0888975858688354,0.6196169853210449,0.7366089820861816,0.7199498414993286,0.9311020374298096,0.8736181259155273,0.7038583755493164,1.0847885608673096,1.1834545135498047,1.2570486068725586,1.0451719760894775,1.3046047687530518,1.210932970046997,1.2219210863113403,1.1353707313537598,1.0799072980880737,1.2633070945739746,1.3361339569091797,1.4169771671295166,1.1630940437316895,1.2830829620361328,1.1679450273513794,1.2256972789764404,0.9481785893440247,0.985933780670166,1.0511234998703003,0.773283839225769,1.164817214012146,1.02869713306427,1.0147501230239868,1.1350291967391968,1.1091938018798828,1.2534042596817017,1.0704305171966553,0.9308831691741943,1.3537788391113281,1.2623279094696045,1.3601847887039185,1.3195821046829224,1.2507445812225342,1.1824804544448853,1.0937597751617432,0.9834660887718201,1.1847578287124634,1.2815053462982178,1.2877306938171387,1.3227810859680176,1.1279710531234741,0.9848676919937134,1.0439350605010986,0.9148640632629395,0.8979414701461792,1.0545601844787598,0.9862471222877502,0.7527467608451843,0.5348925590515137,0.7403070330619812,0.8251794576644897,0.7017276287078857,0.9551868438720703,0.7194424271583557,1.076945185661316,0.9896409511566162,0.8692020177841187,0.948637843132019,0.649375319480896,0.7487264275550842,0.9356496334075928,0.9049197435379028,1.0979799032211304,1.0768781900405884,0.6791566014289856,0.7460438013076782,0.9677723050117493,1.0233685970306396,0.9928464293479919,0.8311012387275696,1.1661694049835205,1.0657180547714233,1.1050622463226318,0.6422644257545471,0.8539583683013916,0.6823760867118835,0.6566126942634583,0.6938197612762451,0.7402242422103882,0.526429295539856,0.6869326829910278,0.7195069193840027,0.744621753692627,0.8660315275192261,1.0049406290054321
owl,0.9223123788833618,0.8891735076904297,0.7038383483886719,0.7166316509246826,0.8169212937355042,0.8492481708526611,0.7871451377868652,0.7004114389419556,0.0,0.8394197225570679,0.6278505325317383,0.697836697101593,0.9116231203079224,0.9024755954742432,0.9385533332824707,0.9633663296699524,1.0200916528701782,0.9462249875068665,1.0912675857543945,1.113731861114502,1.0934233665466309,1.0916987657546997,0.9991939067840576,1.0632647275924683,1.0980356931686401,1.022132158279419,0.9393743872642517,0.9038617610931396,0.9118404984474182,0.8961560726165771,1.0907644033432007,1.004939317703247,1.0175776481628418,1.00081205368042,1.0128062963485718,0.9706882238388062,0.970657467842102,0.9392411708831787,0.9740013480186462,1.0010277032852173,0.9172446727752686,0.9450704455375671,1.0197044610977173,0.9774317145347595,0.9664278626441956,1.0452152490615845,0.9144220352172852,0.9091303944587708,0.9372118711471558,0.8759765028953552,0.9089064598083496,0.8420051336288452,0.7280662059783936,1.0886753797531128,1.1172882318496704,0.9946918487548828,1.1129567623138428,1.1130107641220093,1.1723411083221436,1.113559365272522,0.9918206334114075,1.0499602556228638,1.1254661083221436,1.1557536125183105,0.9817524552345276,1.0985406637191772,1.0630104541778564,1.0901594161987305,0.997252881526947,0.9814758896827698,1.021270751953125,0.9700611233711243,1.026628851890564,0.9978326559066772,1.001611351966858,1.1319706439971924,1.0899178981781006,1.177966833114624,1.0269126892089844,0.3718116879463196,1.13676917552948,1.0986733436584473,1.158284068107605,1.0885062217712402,1.1067992448806763,1.0345420837402344,1.0440467596054077,0.9019508957862854,1.023838758468628,1.1318756341934204,1.1164709329605103,1.1419402360916138,1.036378264427185,1.0495009422302246,1.0961190462112427,0.999160885810852,0.9252404570579529,0.8441813588142395,0.772996187210083,0.7798731327056885,0.7890517711639404,0.8574262857437134,0.567844808101654,0.7317894697189331,0.9635438323020935,0.854710578918457,1.0318111181259155,0.9572421908378601,1.0066862106323242,1.058426856994629,1.025526762008667,0.9057744145393372,0.944794237613678,0.9485874176025391,1.0649060010910034,1.1046168804168701,0.8884843587875366,0.837618350982666,0.9901211857795715,1.0262879133224487,0.968967080116272,0.9739313125610352,1.038891077041626,1.023877739906311,1.0257545709609985,0.9041595458984375,0.8988859057426453,0.9321234822273254,0.9089446067810059,0.8994913697242737,0.9259490966796875,0.8839277625083923,0.930320680141449,0.9238705635070801,0.9169833660125732,0.9383813142776489,0.9844585061073303
elephant,0.951678454875946,0.8570672273635864,0.8660767078399658,0.8753451704978943,1.1218353509902954,1.085145354270935,1.0377975702285767,0.6648472547531128,0.8394197225570679,0.0,0.4442616105079651,0.7959455251693726,0.7357094287872314,0.8481663465499878,0.5095949172973633,0.818807065486908,0.7907651662826538,0.9393357634544373,0.9888653755187988,1.1164990663528442,1.128937005996704,1.2275395393371582,1.1094365119934082,1.112918496131897,1.1230486631393433,1.001407504081726,0.8194829225540161,0.9884282350540161,0.9389491677284241,1.189196228981018,1.1201213598251343,1.0371907949447632,1.1135525703430176,1.0862101316452026,0.9743101596832275,0.939095675945282,0.843234121799469,0.8177684545516968,0.9243674278259277,1.047666311264038,0.9045989513397217,0.7791253328323364,1.008472204208374,0.9049147367477417,0.841789960861206,1.0803580284118652,0.7495895624160767,0.8627713918685913,0.9461355805397034,1.0155179500579834,0.8711704015731812,0.6868869066238403,1.12185800075531,1.2462561130523682,1.2547266483306885,1.1645054817199707,1.2510318756103516,1.2572691440582275,1.2513294219970703,1.2855017185211182,1.2543256282806396,1.2005430459976196,1.1443911790847778,1.2727351188659668,1.1979812383651733,1.218958854675293,1.042726755142212,1.2350236177444458,1.0756027698516846,0.9623432755470276,1.2322890758514404,1.120420217514038,1.2596728801727295,1.1318026781082153,1.1011306047439575,1.255723476409912,1.2184014320373535,1.3487955331802368,1.1112300157546997,1.1442651748657227,1.3112208843231201,1.3009923696517944,1.3371745347976685,1.236810564994812,1.030950903892517,1.2637591361999512,1.1630146503448486,1.104285717010498,1.2009224891662598,1.3198955059051514,1.3144123554229736,1.3327984809875488,1.2985072135925293,1.064293384552002,1.1253228187561035,1.0995573997497559,1.0091502666473389,1.1402485370635986,1.1724028587341309,0.9377769231796265,0.7653130292892456,0.9993734359741211,0.9758785367012024,0.7539283633232117,1.090599775314331,0.7347538471221924,1.1151082515716553,1.1350061893463135,1.013838291168213,1.1530753374099731,1.0815808773040771,1.0059025287628174,0.9209280014038086,1.0527392625808716,1.2671680450439453,1.3724088668823242,1.0173951387405396,0.8008047342300415,0.9067251682281494,0.9774805307388306,0.9826145768165588,0.886520504951477,1.133224368095398,1.0678502321243286,1.1623306274414062,0.6036359071731567,0.7839839458465576,0.4710898995399475,0.6221141219139099,0.6016630530357361,0.626634955406189,0.5170741677284241,0.47532832622528076,0.5710289478302002,0.447898268699646,0.5653829574584961,0.7327239513397217
