,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2885172,1.3856308,0.83844316,1.351323,1.359967,0.98504657,1.1647128,0.9418493,0.88315046,0.6679066,1.4009445,1.091568,0.7533022,0.4649465,0.5970376,0.848143,0.6182063,1.4135295,1.2649384,0.86883855,1.1891434,1.0845563,1.3219978,0.7033805,1.4109459,1.31307,1.141152,0.7076973,1.2324529,0.9346391,1.0512878,0.8511828,0.81697434,1.1838005,0.8725877,1.1312538,1.0038998,1.1002597,0.8329099,1.3920131,0.8070277,1.4372592,0.81541586,0.8902577,0.44065225,0.88869655,1.0521947,1.2142702,0.8327219,0.74879766,1.2986825,0.96501935,1.3099184,0.8732616,1.2437876,0.7465409,0.7020743,1.2047583,1.3719538,1.3438997,0.5046819,0.60870194,0.8480593,0.9460297,1.1848426,1.1781044,0.9067322,1.1366178,0.87446177,1.0263486,0.8657187,1.3870391,0.6430365,1.0440618,0.84727097,1.376415,0.7784239,1.3648458,1.1334963,1.3927461,0.8643496,0.7570194,1.0096965,1.0959018,0.7562536,1.0026048,1.1920928,0.86591524,1.4311314,1.2029204,1.2647147,1.2108797,1.2290018,1.0226214,0.75158817,0.7696233,0.96682525,0.49726206,0.976861,0.4600016,1.371748,1.3595316,0.82414037,1.1731148,0.6153976,1.325309,0.8098097,0.94694996,1.0578258,0.59078217,1.2760527,1.2079647,1.4286852,1.3589448,1.2027867,1.2522892,0.66826147,0.92045593,1.152931,0.92059344,1.0201757,1.3504161,0.84782004,0.7455652,0.9429892,1.343219,0.92930007,1.0799834,0.87794805,1.3263651,1.054422,1.3345324,1.2213618,0.92110014,1.3630953,1.0218762,0.9790253,1.1487218,0.7115895,0.82746816,0.9167632,1.3840113,1.3382888,1.3357263,1.2545631,1.2753994,1.2317227,0.8940456,0.91123605,1.0176047,1.2330956,1.4137793,0.9305205
ankle,1.2885172,0.0,0.77639747,0.90033466,0.9160952,0.8631768,1.1419774,1.2610365,1.2923235,1.2091331,1.3225855,0.8270042,1.0973527,0.76654744,1.179359,1.2587088,1.1166402,1.2297561,1.03737,1.164079,1.2540683,0.85504395,0.89520395,1.1068332,1.1181155,0.9598427,0.9697809,0.65753895,1.2624066,0.9206143,1.0855794,1.1107382,1.3398815,1.1844519,0.7044082,1.2551072,0.9789441,1.1539812,1.0258213,0.9055963,0.83448315,1.3689831,1.019109,0.9995929,1.145231,1.2456355,0.9486626,1.1826656,0.8448999,0.79223627,0.8974819,0.7087576,1.1773864,0.78669,1.0177163,0.3814475,1.2192687,1.0198681,0.9342758,0.5398908,0.87858665,1.2847147,1.1820585,1.2525065,1.269068,0.65754485,0.5574526,1.2068344,0.90861076,0.9024146,1.0245495,0.73896223,0.7599186,1.082724,0.9601965,1.0633006,0.8515265,1.0272493,0.87818,1.0875742,0.9713641,0.86198014,1.1487663,1.0948629,1.1607449,0.8929705,1.078169,0.6622543,0.9213408,0.6188475,0.9278418,0.51211816,0.62181526,0.73297393,1.2592392,1.2481025,0.95490134,0.86674947,1.2583549,1.1159853,1.1589129,0.78334355,0.7260631,0.93609524,0.8015247,1.0892311,0.7049103,0.998764,1.1435106,1.2145482,1.162564,0.74123716,0.74416685,0.70574486,1.0080575,0.9133958,1.084551,1.127255,1.0963324,1.0241294,1.1015373,0.92089844,0.99849486,0.99406326,1.1984766,0.72948027,1.0293758,1.2731532,1.2185555,0.9726332,0.5858534,1.0749271,0.9515567,0.61070496,1.1701672,0.9110554,1.1115208,1.01334,0.77374524,1.2444302,1.0636876,1.280287,0.97173655,0.4040029,0.55638534,0.6701563,0.84839785,0.9719477,1.2545193,1.1888392,1.0773494,1.0792106,0.6149306,1.266967
apple,1.3856308,0.77639747,0.0,1.4447625,0.20296359,0.39787763,1.0767938,1.2362529,1.5332087,1.1303083,1.5629928,0.3667587,1.1589775,1.3604242,1.1295583,1.5091729,1.3877792,1.227803,0.8332592,0.95875293,1.3745475,0.602222,0.83646667,1.0889575,1.032744,0.86912185,0.6473582,0.48476237,1.2923747,1.2548003,1.1435058,1.0369643,1.421828,1.2479924,0.92502385,1.4498935,0.8110242,1.0962656,1.2820911,0.9794675,0.2126137,1.625329,0.7679285,0.92583007,1.2506335,1.1300546,0.910856,1.4364748,0.92892706,1.3520858,1.1972526,0.26559204,1.1145412,0.37932038,1.0890132,0.65130264,1.2276375,0.58265686,0.6663501,0.32147026,0.71511424,1.0590433,1.229491,1.3453863,1.5028517,0.733655,0.84525526,1.1276278,0.5882458,1.1488172,0.9895795,1.2405976,0.48198247,1.0132542,1.0351502,1.333497,0.66321355,1.4546881,0.6281894,1.394347,0.64958596,1.3888092,1.2704645,0.88494647,1.1464589,1.2796981,1.015411,0.83626497,1.081564,0.19124591,0.973638,0.62799174,0.64092594,0.2736653,1.4025257,1.1052936,1.3474619,1.2221351,1.4357307,1.0377128,1.2024709,0.3921122,0.4574176,0.9745722,0.44281107,1.0309222,0.6373592,0.84031796,1.1638045,1.0816969,1.0373896,0.27728558,0.5421584,0.6910766,0.88851976,0.30962944,1.1619155,1.2216927,0.6772392,0.911355,1.0260547,1.0931785,0.7252999,1.3733172,1.5089068,1.3351862,0.85364366,1.4053812,1.4137549,1.3248179,0.3399493,1.1912072,0.58623266,0.74066174,1.0925416,0.6445776,1.1528285,1.1896356,0.39478672,1.3300787,1.3410369,1.464705,0.4905982,0.5223237,0.6225075,0.82103837,0.94232064,0.29900354,1.4116976,1.2070853,0.97893834,1.2491412,0.24983597,1.3884429
arm,0.83844316,0.90033466,1.4447625,0.0,1.4648172,1.407792,0.98849344,1.1070011,0.703568,0.9290456,0.5758911,1.342408,0.95501935,0.43523318,1.1047841,0.5931534,0.8556143,0.9746732,1.208921,1.2210866,0.95232105,1.3259488,1.10056,1.1833347,1.1023232,1.2595783,1.4148905,1.1904054,0.8150326,0.8458786,0.9213927,0.9596262,0.72657955,0.804628,1.0494589,0.70795965,1.3031359,1.0113522,0.8968458,0.9663508,1.3990538,0.6063,1.3169715,1.1719619,0.90350163,1.1803672,1.2593039,0.65166646,1.0761327,0.3637991,0.7149409,1.3512816,0.89753395,1.3293884,0.814336,0.9063549,0.9124114,1.3672571,1.3037828,1.1739174,1.3493447,1.2020999,0.89763796,0.7290873,0.7169153,1.025123,1.0091336,0.92837983,1.3709537,0.7391865,1.1081625,0.47038358,1.4410421,1.2005293,0.94097745,0.54286987,1.3157592,0.4809186,1.2924566,0.8450874,1.3689947,0.43282086,0.81910604,1.1167433,0.9983375,0.7031168,1.2508469,1.0546063,0.96631676,1.3160064,1.2011392,1.0585271,1.0516647,1.3394842,0.74090767,1.1139573,0.5049259,0.6361765,0.6635802,1.0879022,0.98932874,1.3119882,1.2395397,1.2041178,1.4303056,1.1793349,1.3038396,1.2136258,0.9942551,1.1109421,1.2866645,1.3948207,1.3427093,1.2164291,1.2764808,1.5032712,1.0391655,0.90025115,1.3513923,1.0322721,1.0993731,1.0071352,1.361407,0.4154669,0.7797196,0.5131672,1.2408998,0.62217355,0.8206366,0.6077472,1.3033082,0.7593584,1.4242969,1.0071961,1.053954,1.4307712,1.1629167,0.85579383,1.3412325,0.9707839,0.51974076,0.55214626,1.4905405,1.0328248,1.1961324,0.9628538,1.1740357,1.5520996,0.7063537,0.8050749,1.1437252,1.0141737,1.3538041,0.6280678
ball,1.351323,0.9160952,0.20296359,1.4648172,0.0,0.20457387,1.1283213,1.1020094,1.4428545,1.0747256,1.4549522,0.5551868,1.0644051,1.4112053,1.1005086,1.3797877,1.31989,1.1678698,0.7592752,0.89130795,1.234519,0.66920495,0.9779541,0.9498903,1.0013916,0.8672114,0.64334154,0.7119918,1.2616403,1.2578332,1.2009627,0.9555769,1.3332611,1.1986984,0.9981205,1.3942733,0.6526335,0.94702756,1.2366751,1.1018392,0.37697363,1.5286276,0.6843038,0.85020626,1.2276108,1.0491908,0.928127,1.3756263,1.0041994,1.3712356,1.3191473,0.35802388,1.1336722,0.47943103,1.1170083,0.88775706,1.1729792,0.65684044,0.60058033,0.60042727,0.7313086,1.0661871,1.1815159,1.3181577,1.3870232,0.92642766,0.92596346,1.1000006,0.4739225,1.2278187,0.9588784,1.3384771,0.52037096,0.93742293,1.0575522,1.3179102,0.65351,1.3868036,0.6893087,1.3215821,0.5593287,1.4196274,1.2184501,0.8579301,1.0410804,1.2677728,0.9596128,0.8724718,1.1109803,0.3467661,0.92986244,0.84755266,0.7745335,0.37073547,1.3889804,1.0493329,1.4125957,1.3268824,1.3626413,1.0517173,1.1703311,0.5200753,0.5675583,0.9726176,0.66544807,1.0066882,0.74698323,0.9645373,1.1478428,1.0472143,0.9413253,0.41848576,0.60953045,0.7699488,0.7785308,0.36502445,1.1280745,1.1606897,0.6059331,0.8272367,1.0977075,1.0430093,0.6982237,1.3713086,1.4163032,1.3996626,0.816545,1.3533033,1.323309,1.3121743,0.55121946,1.1925327,0.49287516,0.98852366,1.1321748,0.64884156,1.0094191,1.1727427,0.4407221,1.2850422,1.3117304,1.3877314,0.41976923,0.74709773,0.69251764,0.8495051,0.9532844,0.19226801,1.3577211,1.1440235,1.0891101,1.1728804,0.48958373,1.3459032
balloon,1.359967,0.8631768,0.39787763,1.407792,0.20457387,0.0,1.1019046,1.0790356,1.3445597,1.0845519,1.4479736,0.62618524,1.0065655,1.3536791,1.1121814,1.3732111,1.157805,1.2411953,0.7146309,0.7886154,1.2375238,0.7706559,0.99463755,0.77762747,1.0393748,0.72696865,0.73315716,0.6788142,1.2694297,1.0885746,1.1839685,0.98699856,1.3409376,1.2594332,0.86912376,1.3338606,0.71901643,0.93815964,1.2000831,1.0750282,0.5406184,1.4725504,0.6180737,0.937932,1.0672042,1.1018037,0.92333686,1.2910805,0.96934223,1.3358152,1.2762852,0.4698342,1.1769768,0.5850554,1.2123445,0.8003742,1.1384299,0.6917753,0.6711521,0.7450353,0.75124955,1.0938761,1.246943,1.3551112,1.3204057,0.977436,0.8155454,1.1520009,0.45543367,1.2556236,1.0341789,1.2253255,0.55979425,0.9806899,0.92335343,1.3547286,0.6811415,1.2277396,0.72996306,1.1876228,0.60562336,1.3404667,1.1353444,0.73987526,0.9508432,1.1291124,0.913219,0.84828544,1.0290132,0.5126256,0.87468255,0.8468591,0.76837194,0.4613502,1.3560368,1.105275,1.4152312,1.2803403,1.3880335,1.089261,1.2487477,0.6344683,0.6334543,0.93738717,0.6603248,1.0485071,0.8006221,1.050251,1.0908355,0.954847,0.98551756,0.61927474,0.6490886,0.75930923,0.7615613,0.49157703,1.0896924,1.2278159,0.6903869,0.9082984,1.0023403,0.9097016,0.64775795,1.3930879,1.3071904,1.356557,0.7062971,1.3731021,1.1336919,1.1801312,0.670842,1.1904,0.5794098,0.9371973,1.0637057,0.6005497,0.8940566,1.1205308,0.4618687,1.2123971,1.3636808,1.357926,0.50588757,0.76466787,0.66299003,0.77765596,0.8603766,0.33475393,1.2818236,1.1910013,1.0839834,0.98026943,0.62337524,1.331272
banana,0.98504657,1.1419774,1.0767938,0.98849344,1.1283213,1.1019046,0.0,0.91640365,0.91682667,1.1318489,1.0573763,1.2299626,1.0834448,0.99722415,0.9706162,1.0556691,0.9460246,0.89122254,0.88514787,0.8136055,0.84277713,0.84810126,0.97992486,0.85142916,0.93377566,0.94235826,1.0829029,1.2033788,1.1828022,1.0951424,0.6918991,0.95524824,0.9416472,1.0174428,1.153911,0.99878496,0.99224114,0.91554004,1.0143434,1.0242975,1.1433764,0.993908,0.91990566,1.075438,0.8687471,0.9893934,1.052107,1.0247473,1.0472183,0.99886274,1.0333376,1.0755067,1.1583221,1.2147065,1.03093,1.1745281,0.88891894,1.1545655,0.9264292,1.2281183,0.9614234,0.4126616,0.98360914,1.0508316,1.0109737,1.1690614,1.0390049,1.1839545,1.0396483,1.1232688,0.7077494,1.0665678,1.1784141,1.0988376,0.94977224,1.0467724,1.0580721,1.1108452,1.0256003,0.94774985,1.0749605,1.0835302,0.9348493,0.7007603,0.8356341,0.97796667,0.9895754,1.0929844,0.98202974,1.2581654,0.9554596,1.2035459,1.1835014,1.0679041,0.88880616,1.0771228,1.0827352,1.1161389,0.9935936,1.1661056,1.0010092,1.1493183,1.1156614,0.7670744,0.80669606,0.942213,1.1473402,1.0014108,0.76338845,0.7495214,1.0980215,1.1268865,0.96352774,1.0894749,0.98809123,1.118533,0.92307323,1.0742238,0.8783038,0.82903063,0.8261372,0.92322755,0.93380386,1.0092976,0.8154596,1.0813634,0.9247373,1.0637091,0.921294,1.0812464,1.1862711,1.1757529,0.97639,1.2130506,0.8339008,0.92818236,0.9648273,1.0869163,1.0703545,0.9285257,1.0699677,0.81469744,0.9453275,1.2393233,1.1047629,1.0994507,1.0190651,0.9981175,0.80085987,0.94693285,1.0725073,0.9215657,1.2481439,1.0116882
basket,1.1647128,1.2610365,1.2362529,1.1070011,1.1020094,1.0790356,0.91640365,0.0,0.556123,1.0264788,0.6988067,1.0992808,0.79698765,1.133366,1.1560727,0.79732996,0.8012992,0.7972452,0.86630595,0.70459646,0.4869542,1.165143,0.98951584,0.657515,0.99743,0.7589838,0.9978063,1.2459619,1.0679278,0.7868093,0.93015325,0.9152362,0.7120465,1.0718927,1.1402105,0.46217728,0.9829454,0.6298643,0.8197843,1.0914242,1.1826978,0.5312711,0.8241973,1.130569,0.82921684,1.1915905,1.13474,0.84945047,0.84218335,1.1619668,1.1480448,1.2503109,1.0331573,1.1657097,1.1797954,1.316431,0.8654531,1.2570689,1.0310104,1.3287556,1.0332761,1.0526791,0.9462102,0.6623011,0.6114453,1.3185843,1.1784884,1.0611947,0.94771516,1.2537539,0.9212287,1.1934267,1.1040912,1.1661425,1.0070091,1.161276,0.94854635,1.1238164,1.0310717,0.7316767,0.93164474,1.0648534,0.9682447,0.84661233,0.81632304,1.0006771,0.96624833,1.1735706,1.1270325,1.2884307,0.87484384,1.2828475,1.2525356,1.2552462,0.71932006,0.99787325,1.1381978,1.1976074,0.86660844,0.91313654,1.1407088,1.1654422,1.1948175,1.2286699,1.1190302,1.1302046,0.93633974,1.1488065,0.90835136,0.7376592,1.1664792,1.2872636,1.0983273,1.0545467,0.5422303,1.1873612,0.6971319,1.0008962,1.0593568,0.94892126,0.97421795,0.85611844,0.9820259,1.1671852,0.6426853,1.176343,0.8975479,0.7511007,0.64307445,1.0509003,1.3183016,1.043545,0.8663788,1.1581895,0.94057286,0.99407494,0.89264166,0.9676223,1.165185,0.9520978,1.172358,0.84976196,0.8835322,1.3300151,1.175077,1.167683,0.9348384,1.0316205,0.7702217,0.9360934,0.9575155,0.818532,1.2858421,0.85866493
bathtub,0.9418493,1.2923235,1.5332087,0.703568,1.4428545,1.3445597,0.91682667,0.556123,0.0,0.85521436,0.45491993,1.3652122,0.8635771,0.8149955,1.089847,0.59611034,0.7321817,0.8803062,1.0884233,0.7676704,0.62393165,1.2653687,1.1552579,0.8454885,1.1046124,1.0180708,1.2805474,1.4734023,0.7673905,0.8419863,0.87602377,0.8830526,0.4499793,0.77777576,0.9943271,0.5540592,1.1263164,0.90388423,0.8445922,1.2040362,1.4767332,0.2651255,1.0345299,1.1890236,0.72908264,1.1061752,1.3340479,0.55462074,1.0340314,0.791985,0.9888102,1.4359308,0.834726,1.3584058,0.927767,1.3631339,0.7945441,1.3967848,1.3389869,1.4524122,1.2767189,1.0946378,0.87731713,0.5837562,0.42183352,1.2591599,1.4011892,0.8721813,1.362783,0.9761301,0.9680856,0.95480096,1.4669821,1.1987941,1.0893875,0.80507255,1.343429,0.7393526,1.2142518,0.7465267,1.1093838,0.7873428,0.7487343,1.0131297,0.81224906,0.98674536,1.1885444,1.146191,1.0448046,1.4751647,0.9484746,1.4435763,1.341338,1.460109,0.5864312,1.0267028,0.82634723,0.9666911,0.6426232,0.9979148,1.0095211,1.3867371,1.4327264,1.2207355,1.4001614,1.1712923,1.4149874,1.211981,1.0082157,0.8007673,1.1933048,1.4878156,1.3976476,1.3427628,1.0070847,1.5229107,0.89424914,0.9393137,1.3698287,0.96847665,0.95707697,1.0056375,1.2338774,0.7464795,0.618419,0.92117226,0.9521625,0.33825147,0.30070955,0.7829462,1.5286947,0.71107763,1.1343533,1.2794064,0.86738575,1.2186421,0.851297,0.95136446,1.4785414,0.88195676,0.7821579,0.5298711,1.2248424,1.423465,1.4149425,1.2306703,1.1852922,1.4481606,0.5299851,0.7554212,1.1612587,0.90009254,1.5353113,0.5595271
bear,0.88315046,1.2091331,1.1303083,0.9290456,1.0747256,1.0845519,1.1318489,1.0264788,0.85521436,0.0,0.6012502,1.0950425,0.99732095,0.9925004,1.0239532,0.6419662,0.86655325,1.0635289,1.2626472,1.2024919,1.1750501,1.2959123,1.0456833,1.2139579,1.0784647,1.2277322,1.2248232,1.0716648,0.21647996,1.0653042,1.0284939,1.0217948,0.7793726,0.83965015,1.1510813,0.83163464,1.018031,0.8104114,1.0149689,1.0034877,1.1750467,0.8016832,1.285707,1.1220263,1.093807,0.89587027,1.1316922,0.92874885,1.1875947,0.95277625,1.0458537,1.1705256,0.49684632,1.1242521,0.9982082,1.191327,0.9006041,1.082345,1.1792139,1.1538305,1.3292861,0.99528325,0.94534945,0.64237833,0.9202906,1.1086624,1.2295063,0.10362661,1.1629527,0.98606545,1.2723258,1.0483735,1.1469779,1.0550582,0.93952554,0.9642922,1.2765757,0.78483665,1.2690281,1.140362,1.0357498,0.78179145,0.98852575,0.99765337,1.040081,0.90383047,1.1177055,1.0817469,1.0835994,1.1520629,1.1895182,1.1793919,1.0685589,1.129372,0.99852103,0.27364743,0.93033934,0.8878449,0.9397635,0.48516607,0.91944253,1.2068245,1.2550075,1.1301571,1.2004107,0.9539944,1.0720427,1.1586741,1.1121314,1.1723975,1.0035334,1.1443777,1.2381955,1.1893232,1.271138,1.0781534,1.1422505,0.699412,1.1225172,1.21675,1.1020083,1.106216,1.151383,0.9429922,0.89279896,0.98739487,1.2609844,0.7339426,1.0299674,0.65581065,1.2035103,0.53329337,1.2582716,1.0669677,1.0939003,1.3120164,1.0012552,0.9686431,1.0934815,0.9781409,0.9407509,0.8869495,1.1125826,1.1901989,1.307903,1.2659597,1.1989708,1.1183009,1.0024259,0.8966465,0.98397017,1.1784256,1.1742339,0.86999243
