,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
coat,0.8675468,1.1591867,1.290483,0.9450859,0.5671549,1.144187,1.3599733,1.2749169,1.2030177,0.84931546,0.57946634,1.2741481,0.8190627,0.5703247,1.1278644,0.7684449,0.96749943,1.0143715,1.3327525,1.3525529,0.7446488,1.3499429,1.1139721,1.2489969,1.2127361,1.0445467,0.77138084,1.2432979,0.5388975,0.8164744,1.0911739,1.2123278,0.65518373,0.0,1.232897,0.74480224,1.2975898,0.7864323,1.1978474,1.340199,0.6365646,1.3399906,0.9874223,0.99531424,0.9501763,0.9014667,0.6453881,1.0905043,0.47952378,1.0798693,1.3632448,0.9174927,0.9514888,1.103915,1.0173748,1.0815576,1.1088773,1.0982449,1.3538446,1.1727992,0.9596294,0.7934007,1.116894,1.076183,0.86813027,1.1950953,0.7126792,1.2574122,0.8426791,1.280926,1.1147176,0.47159284,1.217651,0.42299324,1.3582039,0.95170605,1.3302788,0.9527046,1.0356915,1.0922186,1.2054311,0.5648854,1.0939696,0.8174763,1.0022327,1.2050426,1.3195215,1.1800115,1.3010731,1.2314806,1.3052888,0.862828,0.89721894,0.42265564,0.41197574,0.75517035,1.2172894,1.3781831,1.3752828,1.1596191,1.3426805,1.0137322,0.8648778,1.2390352,1.0266719,1.2691958,1.1133101,1.2351665,1.1216289,1.0466282,1.2657175,1.270763,1.0266796,1.0690736,0.84823203,1.2137455,1.1598547,1.251874,0.33166778,0.81185764,0.4630475,1.3629216,0.76510566,0.9138641,0.423023,1.2277472,1.3054465,0.98821735,1.2092689,1.4509507,1.1548861,1.0975405,1.3484068,0.596716,0.34974134,0.71996486,1.3540562,1.2118894,1.0951426,1.2720286,1.2410357,1.205988,1.1211132,1.0815178,1.0588834,0.83658403,1.0648586,1.3009489,0.6924685
coffee,1.1605533,1.2133403,0.9242291,1.197868,1.2411093,0.84068775,0.7468306,0.93480045,0.7272738,0.9371922,1.095329,0.85273963,1.0620294,1.3139468,1.0618439,1.0207179,1.0202732,1.0172162,0.61626124,0.5267514,1.0687188,0.86805534,1.0561101,0.6259175,0.9956863,0.91331005,1.1541104,1.1152464,1.2310388,1.1309241,0.90294284,0.66956776,1.105991,1.232897,0.0,1.2676004,0.8351812,0.9087693,0.91546065,0.91857845,1.1120437,0.5617728,1.0675609,0.7392758,1.0736648,1.154971,1.0845731,1.0652007,1.2843224,1.2468415,0.72953963,1.0710676,1.1375349,1.2784103,1.178101,1.141869,0.9195045,1.2491378,0.73404706,0.9898852,1.1649126,0.950997,1.2026255,0.9038042,1.0138675,0.97128516,1.2155194,0.89822257,1.3026276,0.9361806,1.018291,1.2110626,0.62173873,1.2847112,0.7221176,1.0105242,0.54500866,1.1285827,0.98598623,1.1095421,0.6615242,1.2833601,1.1314338,1.1266893,1.2673705,0.8822583,0.84041655,0.8349551,0.98598784,1.0746592,0.8346369,0.9218846,1.1699579,1.3843522,1.2723228,1.0963464,0.81170917,0.8799339,0.98322165,0.99237585,0.793869,1.0263324,1.0310984,0.8506722,0.922098,0.722044,0.97340256,0.91351247,1.1419713,0.9961254,0.56957847,0.8456212,0.81829876,0.91705644,1.0595113,0.86491466,1.005665,0.89356494,1.2167821,1.2895503,1.2491232,0.67256343,1.0457516,0.74615574,1.131982,1.1121981,0.6649463,1.1844455,0.79117006,0.6212017,1.0063765,1.0227635,0.86667705,1.1496629,1.2252963,0.9715416,0.5809337,1.1591778,1.2558073,0.9989147,0.8217095,0.9129947,0.8808234,1.0478904,1.0719,1.1015717,0.95398974,1.033813,1.0723888
comb,0.84710586,1.0612117,1.3249711,1.0267266,0.78743505,1.1981888,1.2818203,1.1644768,1.0776587,0.9246757,0.7384366,1.034788,0.6921916,0.6586491,1.1883963,0.81054515,0.8548187,0.7800418,1.1970284,1.2342231,0.68714106,1.355331,0.9403599,1.0654997,1.0350456,0.883531,0.66283786,1.0574228,0.5786166,0.84828025,1.0905315,1.2153668,0.8114848,0.74480224,1.2676004,0.0,1.4066505,1.0630715,1.0714049,1.0873022,0.7478231,1.20097,1.0768528,0.96567637,1.0485957,0.9986922,0.82216036,0.96512276,0.7623377,0.99579644,1.4210343,0.99939984,1.0493399,1.0078433,0.93686134,0.97913367,1.1411643,1.0436387,1.061005,1.1130606,0.95851904,0.7842443,1.0609784,1.258428,0.8548453,0.8977743,0.82360744,1.1136814,0.7747507,1.2354928,1.1352177,0.873198,1.1123459,0.69050825,1.0507472,0.8630311,1.2244747,1.0168146,1.0330691,1.0999434,1.0470334,0.64352703,0.8963489,0.76966393,0.9720141,1.2854474,1.2625586,1.1033419,0.9890218,1.0991831,1.3629457,0.8666357,0.79887193,0.6443761,0.8129838,0.71229887,1.3514024,1.0124032,1.0438898,1.1832978,1.3207637,1.0878078,0.83453214,1.2884166,1.0566263,1.1339753,1.159472,1.3389353,1.1538277,0.97493356,1.1652839,1.3543277,0.97736293,1.0958564,0.90622234,1.0886852,1.1019925,1.1724026,0.85371363,0.7040396,0.8481301,1.1368717,0.7206143,0.95033634,0.79051256,1.1388249,1.264646,0.84273666,1.0875725,1.1440743,0.9590457,0.91799825,1.1791831,0.8400562,0.8639705,0.91176176,1.335453,1.1413001,0.96858996,0.982045,1.1151421,1.17263,1.0675375,0.79045755,0.8199713,0.86736304,0.9212546,1.1483577,0.8991293
cookie,1.0032432,0.9853496,0.8003453,1.0305887,1.2678049,0.9003584,0.8876507,0.67738694,0.79251766,1.1584384,1.3450155,1.1327122,1.3398187,1.3632977,0.7311156,1.2185798,1.0645221,1.1357849,0.94249755,0.9171307,1.3240857,0.21742433,1.07054,1.111446,0.9022697,1.2572042,1.2271694,0.9712036,1.3226099,1.3373873,0.5233425,0.73966604,1.3442712,1.2975898,0.8351812,1.4066505,0.0,1.189785,0.3564521,0.98417836,1.3517408,0.97276944,1.0585551,1.07098,0.8839275,1.0420122,1.3301529,0.99715215,1.3467016,0.97138304,0.5805338,1.0427244,0.99548864,1.0780468,1.0992188,0.9017,0.9929974,1.0430886,0.7122034,0.74620664,1.1123327,1.2874808,1.0340649,0.82137865,1.1967683,0.9889024,1.2526466,0.8022082,1.2047695,0.84433985,0.8982659,1.3048856,0.9362649,1.4329525,0.80179214,1.1639395,0.8659865,1.1152151,0.7134898,0.8655842,1.0445044,1.3069032,1.1103433,1.1386908,1.1159191,0.2698915,0.8470185,0.87929296,1.0039579,1.0065595,0.63203275,1.1863021,1.0510559,1.4699445,1.4160728,1.2324541,0.26206815,0.8954772,0.91134024,0.903225,0.18588638,0.91439915,1.203383,0.26381052,1.0445292,0.570746,0.912261,0.41550004,0.91780627,1.0677661,0.872622,0.6190138,1.025802,0.81372947,0.965796,0.7958282,0.99607307,0.88836354,1.3436322,1.1782458,1.4044604,0.90837836,1.3295267,1.2128059,1.2190175,0.9163785,0.7899502,1.1708832,0.78039426,0.77351785,1.0972085,1.0607241,0.91841996,1.285327,1.3155525,1.0893842,0.6937595,0.98265165,1.0720965,1.1315522,0.86204076,0.8604125,0.8674699,1.1603166,1.0559539,1.2011839,1.1155934,0.87851363,1.2592607
couch,1.088904,1.1150606,1.335095,1.0431865,0.9694524,1.2159613,1.1842499,1.3114357,0.7270169,0.94901276,0.62843025,1.1606305,0.7020197,0.9914158,1.1216862,0.6983408,0.98754114,0.92372614,0.94540393,0.88557327,0.7610644,1.2457176,1.0264146,0.7833439,1.1823709,0.7292558,0.92789114,1.3807781,0.9570581,0.5028279,0.9433499,1.119987,0.57226926,0.7864323,0.9087693,1.0630715,1.189785,0.0,1.1585946,1.2861142,0.6456742,0.8611253,1.0232365,0.92244774,0.9371928,0.9610691,0.5439087,0.98648304,0.9102789,1.352664,1.3252441,0.90183306,1.0436327,1.3061576,1.0434861,1.2751215,0.9337175,1.3256211,1.0587219,1.2294492,0.98741883,0.8255026,1.2601144,0.6777343,0.99357754,1.3043053,0.9570323,0.960785,1.1105802,1.1560315,1.0432338,0.93816745,0.87754834,0.9152421,1.1023471,0.6681207,1.0418468,0.90102553,0.9647594,1.2237229,0.8221953,0.9171728,1.067264,0.86320764,1.2445109,1.1769166,1.3130558,0.8277199,1.2628311,1.2877553,1.3555353,0.6085228,1.106251,0.8836343,0.77846,0.94092226,1.0364726,1.2436513,1.2706511,1.1160617,1.241642,0.93219465,0.6526729,1.1529489,0.8333521,1.092654,0.97215545,1.2980319,1.2059591,0.7254747,0.8280659,1.1920074,0.59454983,0.97640574,0.94750834,1.073425,1.111395,1.0324447,0.87269294,1.0470278,0.8630733,1.0554181,0.72905666,0.82300955,0.91557837,1.3458583,1.1652193,1.0497024,1.0603284,1.1744263,1.1068499,1.0352538,1.2888172,0.8310927,0.8493931,0.7947769,1.1107482,1.3162949,1.3539505,1.2582877,0.9000391,1.0407345,0.94592273,1.0945362,1.2180786,0.7246437,0.7864672,1.2937222,0.6835513
cracker,0.7027854,1.1908816,1.1656388,0.97743535,1.0327345,1.0368158,1.3044143,0.8656894,0.9049385,0.8970836,0.96753156,1.3027792,1.0951775,0.979128,0.94517684,0.9034569,0.82644486,0.863935,1.1742301,1.1185535,0.9441375,0.5777253,1.1782252,1.1662089,0.94784504,1.3278654,1.1699214,1.2205057,1.099744,1.3696417,0.30999815,1.0316607,1.149057,1.1978474,0.91546065,1.0714049,0.3564521,1.1585946,0.0,1.2310147,1.0160946,1.1939039,0.9383411,0.7603556,0.81314516,0.9837197,1.1349926,1.1285474,1.1762421,1.1853955,0.92677116,0.95999855,1.03982,1.1886681,0.99607724,0.95904946,1.0346192,1.2545577,0.9226832,0.84709954,0.7559254,0.96567917,1.2693311,1.1039414,1.1227585,1.067587,1.1375268,1.0383084,1.0578535,1.2837633,0.8698891,1.11241,0.9133007,1.1942643,0.9696459,1.2059947,1.0688237,1.0982269,0.46694052,1.108866,0.9681164,1.0488954,1.1659758,1.1883804,1.1852885,0.38429064,1.1579654,0.9034467,1.2460946,1.2699378,0.9812381,1.0466398,0.84624225,1.2596775,1.2709355,0.79248023,0.32735026,1.1181464,1.1996031,1.014496,0.39085865,0.88169926,1.016767,0.41701674,1.0238974,0.48790717,0.8914105,0.76303214,1.1836991,1.3489046,1.1786463,0.9733976,1.0992445,0.77101356,0.65569603,0.690516,1.1100003,1.3017427,1.2053201,1.1338081,1.3066202,1.0983053,1.0896313,0.9826952,1.0152398,1.2840755,1.0435873,1.1388556,0.6198839,1.0223116,1.1673777,1.0442066,1.1006379,1.1054727,1.1686627,0.82631534,1.0244642,1.2547729,1.2451559,1.1910778,0.9673491,1.0659852,0.722203,0.91199225,1.111133,1.1046946,1.2843298,1.2380838,1.0968337
crayon,1.3367192,0.8606707,0.25864065,1.2223909,1.3795869,0.8723694,0.44344288,0.4854111,0.88249665,1.3254701,1.5016015,0.26024818,1.2037073,1.5373381,1.0133215,1.4090757,1.2486645,1.2145796,0.4463308,0.5146831,1.4567391,0.5986908,0.6089467,0.89081085,0.88477963,0.7712342,0.9252453,0.27573067,1.3131118,1.088122,1.3600883,0.78430355,1.43322,1.340199,0.91857845,1.0873022,0.98417836,1.2861142,1.2310147,0.0,1.5018134,0.5963245,1.1736767,1.3386652,1.2948161,1.3318813,1.370926,0.8799068,1.367999,0.7521652,0.525866,1.2624624,1.1229116,0.82623756,1.0788988,0.88997424,0.98066014,0.5824276,0.6552161,0.9005316,1.2105446,1.4023803,0.6306659,0.93614846,0.9869654,0.5346589,1.2810853,0.7177232,1.2824086,0.46950328,1.1264797,1.4204512,0.98676395,1.4016414,0.43568492,1.0037541,0.65538394,1.1622921,1.4017227,0.65852565,0.9473135,1.4587543,0.79234505,1.017613,0.9554593,1.1389365,0.19871914,0.97361314,0.40725988,0.56506765,0.5039737,1.3183676,1.3668251,1.3897697,1.3727653,1.4279749,1.2836044,0.19408834,0.15414447,0.91484785,0.8769405,1.226151,1.1787474,0.93077666,1.1828989,0.9951305,1.1505622,0.722628,0.6788826,0.8717395,0.71650565,0.7341855,1.0472251,1.1994303,1.4130802,1.1718372,0.75738764,0.42276192,1.4186779,1.1570325,1.3006186,0.61477005,1.316618,1.3481698,1.3305912,0.27425492,0.448061,1.0651952,1.2200594,0.5060733,0.6728212,1.0166163,0.26565653,1.3893955,1.4275196,1.4218293,0.6556541,0.5385993,0.50059116,0.3746519,0.69527376,0.66719633,1.2278318,1.1049203,0.65424234,1.1812606,0.7250545,0.27323747,1.3241296
crib,0.86105555,1.3373498,1.5300386,1.0990855,0.67671514,1.1987253,1.459029,1.4022654,0.9718644,0.28720725,0.19247985,1.3733028,0.49257553,0.48714137,1.2945435,0.45118582,0.7490152,0.67413974,1.2825675,1.1839774,0.26345235,1.4910749,1.2207367,0.98757356,1.2173842,0.8652905,0.927055,1.5054023,0.686409,0.6690842,0.92493093,1.2434714,0.38660204,0.6365646,1.1120437,0.7478231,1.3517408,0.6456742,1.0160946,1.5018134,0.0,1.2370166,0.98990965,0.7385206,1.0170054,0.87824225,0.4337052,0.9391845,0.6842886,1.3763571,1.478065,0.98440045,0.947727,1.3243437,0.92673814,1.2362542,1.1130942,1.3838794,1.3073955,1.2941346,0.7658435,0.59274447,1.3089106,1.1516325,0.9076406,1.375593,0.8314332,1.2986915,0.939955,1.3996537,1.1927872,0.5592217,1.0105565,0.5667175,1.3513949,0.7403493,1.2340106,0.9676599,0.9491904,1.3680696,0.9753976,0.6927195,1.1591691,1.0313742,1.1414206,1.2475581,1.4883871,1.0463508,1.4621316,1.3914516,1.4801142,0.4591905,0.8314148,0.60005194,0.66069174,0.4981103,1.1830122,1.4820452,1.5530496,1.1840745,1.3671905,1.0831312,0.65214026,1.22822,0.9151146,1.0132707,1.1659071,1.4619296,1.3794454,1.0612518,1.2577744,1.4458165,0.7838305,1.1039644,0.7100173,1.1108098,1.3093374,1.4184086,0.5946839,1.0462306,0.7615869,1.2611678,0.47005105,0.4791361,0.52371943,1.5283556,1.4255967,1.1180855,1.0396384,1.4450183,1.1894444,1.1702944,1.4501619,0.547145,0.5453267,0.45550174,1.2061251,1.4590881,1.3733689,1.3023491,1.1911421,1.1468338,0.65453523,0.94989,1.2825241,0.68763286,1.098546,1.5356503,0.4971105
cup,1.4229767,0.947018,0.7532007,1.0391341,1.3191773,0.96048236,0.62480676,0.8087818,0.68219393,1.1376758,1.3693681,0.67347485,1.1063472,1.5493945,1.1195889,1.2929997,1.2050314,1.1752567,0.112410665,0.32748973,1.2333095,0.77780294,0.76687765,0.15457916,1.0344932,0.58958465,1.0394268,0.8483446,1.3793179,0.8725403,1.1294615,0.82548195,1.1469346,1.3399906,0.5617728,1.20097,0.97276944,0.8611253,1.1939039,0.5963245,1.2370166,0.0,1.211611,1.010996,1.2724,1.2787576,1.1190282,0.9255463,1.3552749,1.1441172,0.738053,1.1992744,1.2107375,1.1510932,1.1354246,1.2596195,0.8021747,1.0342673,0.70600736,1.1318634,1.2741656,0.8661996,1.0470353,0.82266414,1.1032815,0.87156945,1.344007,0.72919583,1.312211,0.79260933,1.1292657,1.3829976,0.34637165,1.4060447,0.6315938,0.70690227,0.6900886,1.0585866,1.2328839,0.89972895,0.47919035,1.3955389,0.8251054,0.9402435,1.2132223,1.0877888,0.71183234,0.78334135,0.7209044,0.92885184,0.8450481,0.93476546,1.4205365,1.4439154,1.2726178,1.3842103,1.0415082,0.63293636,0.6189339,1.0105226,0.8547708,1.1839966,1.1243602,0.97103196,0.7906965,0.96301854,1.1009117,0.96464187,0.8891914,0.6617213,0.50181806,0.8916826,0.6725092,1.0880699,1.2881479,1.0056331,0.82003844,0.5043298,1.3775184,1.264591,1.213267,0.4616052,1.0423508,0.9728317,1.370701,0.8169121,0.5979793,1.0589375,0.9851775,0.553968,0.7504455,1.0471356,0.72046703,1.2339857,1.3778942,1.1411537,0.5631271,0.9369463,1.010921,0.6768396,0.6677836,0.7524804,1.0512785,1.1418122,0.8552183,0.98559445,0.50832784,0.7669574,1.1744523
deer,0.6087018,1.1674439,1.146084,0.95443964,1.0260551,1.0467663,1.187562,1.1792557,1.2200861,1.0492563,0.95311475,1.133752,1.0142721,0.94610226,0.7100663,0.9336583,1.0840943,0.90111923,1.1825912,1.2302643,0.9517371,1.1484969,1.071693,1.1683855,0.9327053,1.1942345,1.0945604,1.1979,0.8972181,1.1063286,1.0155629,1.041433,1.0117846,0.9874223,1.0675609,1.0768528,1.0585551,1.0232365,0.9383411,1.1736767,0.98990965,1.211611,0.0,1.0402385,0.5018796,0.78683597,1.0407053,1.1372861,0.98551476,1.0725043,1.0929374,0.6566828,0.96478564,1.1026803,0.8458874,0.71932125,1.0138837,1.1075886,1.1578726,0.8577525,0.74701905,1.0990001,1.1248254,1.0479738,0.9820603,1.208215,1.0133154,1.1009115,1.0637543,1.0877097,0.39658558,0.9538264,1.1097319,0.97116864,1.2158235,1.0934155,1.0673062,1.0850207,0.85929847,1.1642536,1.1059527,1.0770102,1.0650555,1.1283575,1.030675,1.0514605,1.1114385,1.1233239,1.1536742,1.1100271,1.0935113,1.1167566,0.7475918,0.967124,0.9873697,0.8512711,0.9828934,1.1977867,1.2047794,0.96495736,1.1174494,0.47777474,0.9947988,1.1195954,1.0293056,1.1343722,0.26511598,1.0825926,1.1307993,1.1123942,1.1934538,1.0503116,1.1620803,0.5495176,1.0378162,1.0386393,0.96621704,1.113086,0.98077244,1.0250275,0.9864302,1.1421716,1.0821737,1.1194165,1.0307058,1.1607654,1.0765604,0.92904145,1.0361873,1.2165275,1.0798885,1.0705149,1.1586937,0.9834469,0.9694278,1.0859681,1.0588961,1.1351553,1.1720219,1.143787,1.1682429,1.0501186,1.0181625,0.7794228,1.1636012,0.89949846,1.1880317,1.2032883,0.96762043
dish,0.84008265,1.3677115,1.30208,0.98907197,0.996564,0.96965665,1.150478,1.2149148,0.9650915,0.7190471,0.76936793,1.3206086,0.9513524,0.77431864,1.0826452,0.79933006,0.70923823,0.6468533,1.1432937,0.91019046,0.60665953,1.244488,1.0976571,0.7932664,0.9692125,1.1739575,0.87456024,1.3935006,1.0239878,1.1074362,0.7112415,1.035293,0.8327067,0.99531424,0.7392758,0.96567637,1.07098,0.92244774,0.7603556,1.3386652,0.7385206,1.010996,1.0402385,0.0,0.9295916,0.80243003,0.94010687,1.2626454,1.1043155,1.366836,1.1278453,1.0454235,0.9581762,1.2820458,0.85154915,1.0660952,0.9017697,1.4196389,1.0410101,0.9849473,0.88671696,0.5553521,1.3176332,1.1306472,1.1228181,0.9612529,1.0391641,1.1029649,0.99653965,1.2945137,1.0850002,0.83173084,0.8960815,0.9989814,1.1109347,1.0580431,1.0173552,1.0741382,0.7921401,1.2053256,0.9577369,0.91757447,1.1977696,0.9798665,1.1573879,0.94237965,1.294163,0.96333176,1.4020476,1.3735232,1.1894368,0.8205038,0.89778256,1.0406862,1.1010177,0.6248219,0.84322,1.2725064,1.3328254,1.0561026,1.0331024,0.91949797,1.008528,0.9486476,0.82143015,0.65327847,1.0274516,1.2001269,1.2869377,1.206991,1.1455737,1.2407619,0.9469423,0.9161456,0.6680504,0.765803,1.0744848,1.27447,1.0108995,1.0506228,1.1336955,0.9589151,0.8589399,0.6247994,0.8623571,1.4901247,1.1187079,1.1331613,0.673783,0.97917724,1.1771432,1.1025323,1.1810069,0.83628005,0.9141875,0.6481471,0.97685564,1.4065807,1.352708,1.1415917,1.1106837,0.94417495,0.6350335,0.8190021,1.0573361,0.8709621,1.2333157,1.4076434,0.91895723
dog,0.29740846,1.2508976,1.2408729,1.1115135,1.1209974,1.0892537,1.2068259,1.1938642,1.084575,1.0646353,1.0035504,1.3073614,1.1042523,0.9836373,0.4442886,1.0067607,1.0214216,0.83554226,1.2712495,1.2824484,0.94622695,1.0913515,1.217774,1.2073684,0.8101442,1.2668381,1.0020534,1.2878859,0.69799095,1.2165977,0.87847257,1.0107394,1.0458558,0.9501763,1.0736648,1.0485957,0.8839275,0.9371928,0.81314516,1.2948161,1.0170054,1.2724,0.5018796,0.9295916,0.0,0.49498636,1.0843737,1.2256672,1.1349705,1.1862247,1.2017887,0.5296477,0.7439083,1.272638,0.85435796,0.56800234,0.9708521,1.2631577,1.1304399,0.5249897,0.62215585,1.0865406,1.1616539,0.89497274,0.9441363,1.2119938,1.0056734,1.0883957,1.1115868,1.0402374,0.3535949,0.99158263,1.1639686,1.1087282,1.2301737,1.1814843,1.075331,1.1793549,0.67164457,1.2190824,1.1046501,1.1216353,1.0526954,1.0257285,1.1327745,0.81287783,1.232012,1.1538105,1.2888021,1.1807874,1.1814923,1.1203853,0.4649973,1.0456216,1.1342351,0.8109311,0.76484394,1.2739168,1.2959278,0.892417,1.0744436,0.2322793,1.1131458,0.9700383,0.96663356,1.105571,0.30950713,1.103713,1.2793332,1.1263819,1.124728,0.92908144,1.0645382,0.33334893,1.0847719,0.945494,1.0277296,1.1785585,1.0450107,0.98158044,1.1747538,1.2244915,1.0652201,1.127475,1.030089,1.2833003,1.1998639,1.0899059,0.9779513,1.22997,1.1490196,0.9698012,1.210534,0.89308476,1.0077034,1.0448849,1.1041815,1.2642183,1.3073947,1.3021288,1.2221322,0.94807667,1.0287943,0.8775181,1.1361152,0.9249891,1.3122802,1.2310488,1.0446742
doll,0.5953516,1.0733588,1.249516,0.8758801,0.99877906,1.0547332,1.2092068,1.2584589,1.1509919,1.0526705,0.94451666,1.3162314,1.1199682,0.6977025,0.78261125,0.93235403,0.99246496,0.6786018,1.2627611,1.3517116,0.7509947,1.2257034,1.1712171,1.1603458,0.9592917,1.326666,0.9380246,1.249526,0.8999498,1.119657,0.9544435,1.0600839,0.86806816,0.9014667,1.154971,0.9986922,1.0420122,0.9610691,0.9837197,1.3318813,0.87824225,1.2787576,0.78683597,0.80243003,0.49498636,0.0,1.0531037,1.1780552,0.9322045,1.1014895,1.2793362,0.860651,0.6214087,1.0438278,0.69602305,0.75065696,1.0325732,1.1886398,1.2050452,0.7178204,0.7190012,0.9428761,1.0554895,1.0853344,1.1401595,1.1546159,0.86623067,1.0978807,0.8530804,0.88080376,0.78988993,0.80873585,1.0888021,0.93782455,1.2984614,1.1032454,1.2238127,0.9795952,0.8470497,1.2332176,1.2074224,0.8894621,1.1746651,0.96240944,0.9602223,0.986148,1.2644186,1.2326459,1.2161697,1.0500903,1.1984617,1.0916479,0.5976826,0.7909889,1.0028508,0.79151195,0.8487664,1.3253238,1.2947421,0.72180974,1.2058027,0.59531033,1.1141229,1.1065519,0.9920328,1.1415827,0.7386785,1.1997501,1.1457576,1.025133,1.2247386,1.0688267,1.1273327,0.7195071,0.9623333,1.0669019,1.0805489,1.1408072,0.90925306,0.8016496,1.0104702,1.2236371,1.0708244,1.1304659,0.96617687,1.2455487,1.3474792,0.927856,1.0774341,1.302923,1.2190181,1.1095185,1.2722011,0.5856686,0.85070944,0.9669454,1.1655457,1.1239543,1.1993872,1.2150948,1.3139486,0.7570564,0.8919713,0.9630985,1.0565922,0.8051729,1.2586582,1.2219796,1.0045792
door,1.051289,1.2053951,1.4195671,1.079137,0.6992475,1.2508925,1.3402815,1.4260937,1.0259151,0.76005554,0.5220888,1.1927254,0.6361802,0.7358555,1.2995083,0.75209105,0.92545766,0.998049,1.1342473,1.2014538,0.69468564,1.4450167,1.1578897,0.96206856,1.3020899,0.72067356,0.99062496,1.362531,0.66835606,0.6349663,0.94449615,1.2176802,0.36725056,0.6453881,1.0845731,0.82216036,1.3301529,0.5439087,1.1349926,1.370926,0.4337052,1.1190282,1.0407053,0.94010687,1.0843737,1.0531037,0.0,0.9923142,0.68602985,1.2263663,1.43091,0.9464617,0.98399615,1.2282702,1.0723491,1.3288949,0.99894655,1.305552,1.2906756,1.3692181,0.93955314,0.60820407,1.2099401,1.0638305,0.80590093,1.3368585,0.70762366,1.1940433,0.9108963,1.4094393,1.209763,0.7574651,0.9240699,0.7094545,1.2910588,0.6097684,1.0890498,0.7670032,0.9808286,1.3392138,0.8670707,0.7355363,0.9408702,0.9105925,1.1141355,1.233177,1.3722125,1.0553037,1.2908882,1.233731,1.424878,0.44561517,1.0008739,0.68449825,0.5760075,0.7695625,1.1485422,1.3566787,1.4062207,1.1513294,1.3649831,1.1093795,0.8311643,1.2446198,0.88890755,1.1338618,1.1590891,1.4179099,1.3186814,0.9481846,1.0840403,1.3419731,0.62820286,1.0878013,0.8582746,1.1259992,1.2402815,1.2554134,0.5996968,1.0239788,0.691249,1.1680813,0.3853339,0.7260754,0.6545689,1.4087607,1.3914914,1.059164,1.0667226,1.3778845,0.96797526,0.97720534,1.3527403,0.6711664,0.664512,0.61641896,1.395285,1.3089103,1.2949919,1.1631062,1.1566092,1.3750842,1.0884718,1.0237701,1.3114501,0.74509144,0.86683184,1.4260032,0.1943906
drawer,1.2392837,0.94102305,0.9988444,1.000747,1.1376183,1.077627,0.95154786,0.8115293,0.93487525,0.99956894,1.0497468,0.70827276,0.7608863,1.1869047,1.1312745,1.103547,0.9412983,1.0498397,0.9420919,0.8600294,0.90218526,0.8379202,0.6272038,0.9974383,1.0473473,0.651455,0.93755424,0.8944973,1.2319505,0.61835676,1.1752927,1.0205654,0.90593255,1.0905043,1.0652007,0.96512276,0.99715215,0.98648304,1.1285474,0.8799068,0.9391845,0.9255463,1.1372861,1.2626454,1.2256672,1.1780552,0.9923142,0.0,1.0307711,0.76172835,1.0295482,1.2926717,1.1024989,0.82528096,1.0577048,0.99468726,1.1726471,0.6901907,0.88085675,1.0422088,1.1977757,1.1798389,0.87850213,1.0200645,1.1036894,0.9036898,1.0895975,0.98227996,1.01931,0.953987,1.1053396,1.1996615,0.9102807,1.0389891,0.76750803,0.6114978,1.0309434,1.0201435,1.240429,0.91818106,0.9587761,1.0794568,0.81867,1.0145844,0.8646168,1.2266897,0.99411,0.9443929,0.72920513,0.8808162,0.9807279,0.88916874,1.1532695,1.0711106,0.97073156,1.1506171,1.1282244,0.78086853,0.81498337,1.0856777,1.0037361,1.1358687,0.9223848,1.1033001,1.0778217,1.0236738,1.1600277,0.9565999,0.8117076,0.83005077,0.9945616,1.0128819,0.96879125,1.2878542,1.2099489,1.0659101,1.0804834,1.0051765,1.1452953,0.84243244,0.9253418,0.8965008,1.1342994,0.9853987,1.1181456,0.7109914,0.9264178,0.9109261,1.1551,0.86153847,0.75359964,1.0272335,0.97157407,1.2098482,1.1660733,1.144571,0.94610816,0.80971515,0.7644672,0.8492862,0.8883534,0.9185794,0.8387504,1.0977751,0.91471803,0.8125776,0.57963836,0.8282212,1.1100274
