,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3561442,1.4450395,0.70304865,1.4008979,1.4916253,0.72473973,1.448003,0.6458189,0.62587315,0.5100065,1.4759222,0.85012054,0.7399015,0.7963187,0.45869577,0.82052624,0.7249386,1.4781154,1.3713343,1.0655409,0.7277372,1.3546853,1.4339237,1.0136319,1.5483152,1.3774357,1.1577923,0.9482484,1.0861791,1.4900193,1.1306903,1.0511092,0.8857236,0.820626,0.7705852,0.45320117,1.5684509,0.71748644,1.5680953,0.9923439,0.4199531,0.57994306,1.1458074,0.92571497,0.7091143,1.2470739,1.4254148,0.7728349,1.3027518,0.7987772,1.3327127,1.4218054,1.3535528,1.0400708,1.3607392,0.557513,0.83788526,1.5378792,0.82305217,1.1284125,0.8937959,0.8344525,1.4473964,0.93318605,0.88119894,0.41085595,1.1005157,0.5669,1.0617906,1.2812967,1.4490284,0.74596024,0.32827806,1.0322614,0.75549865,1.4910058,1.4844046,1.4566832,1.2737479,1.4280144,0.9746544,0.5281102,0.48882067,0.7523631,0.5415657,1.524516,1.4741099,0.79073197,0.6254815,1.4320785,0.60683024,1.1163254,1.5302334,0.8388423,1.184143,0.92751837,1.281538,1.288938,1.0949072,1.2910527,0.68556845,0.95131564,0.6324599,0.6274141,0.9485938,0.78650147,1.0654411,0.9489906,0.6338255,1.5302219,0.88779294,1.457238,1.0391552,1.3603246,1.0272914,1.2341831,0.8181726,0.6199985,0.52749103,1.3524991,1.4651425,1.2975812,0.73379916,1.4145548,1.0279136,0.86844325,0.8780345,1.3081471,1.4374341,1.4162965
ankle,1.3561442,0.0,0.6822554,0.98240733,0.7431149,0.75338936,0.87992936,0.9120044,1.3863553,1.1420007,1.4039817,0.8924941,1.2156754,1.1006811,1.1451035,1.3031359,1.1062214,1.3284059,1.0548489,0.9732145,1.2312479,0.7785809,1.0122918,0.9746755,1.0781035,1.0841048,1.179694,0.871034,1.1868075,1.2879663,0.99124694,1.2621877,0.7095623,1.315758,1.1098511,1.3548172,1.0930138,0.77243686,1.4143608,0.9210889,0.9939465,1.2033535,1.0832459,1.2604245,1.1922193,1.1077113,0.48322904,0.6609325,1.1493299,0.68215483,1.0444331,0.32509786,0.8276378,1.1375878,0.8353269,0.94060075,1.1327314,1.1985339,0.50647485,0.82760024,0.8235768,1.0183414,0.7624428,0.64962494,0.93582195,1.1554618,1.2763883,1.1234599,1.0942285,1.0030392,1.168889,1.110388,1.0319374,1.0781581,0.6536312,0.8057729,0.61457795,0.91856676,0.39026082,0.46931434,0.78876936,1.2743015,1.2418199,1.2317336,0.9537982,1.3820451,0.7316661,0.7316372,0.8379238,1.0654407,0.9829158,1.1806331,1.1270278,0.879154,0.98009706,0.79181933,1.0469917,1.004337,0.666163,1.3253633,0.8777467,1.2553539,0.8094548,1.0836629,1.194526,0.89826125,0.90832984,1.2522854,1.2246454,1.250281,0.69079435,1.145188,0.8923073,0.7296926,0.6997711,1.0458442,0.750549,1.3142754,1.1556615,1.4986918,0.8889799,0.37449658,0.72430557,1.0859524,0.9388584,1.0601506,1.2619016,1.1423818,1.2339145,0.9389667,1.0285643
apple,1.4450395,0.6822554,0.0,1.2986205,0.091331124,0.19143116,1.0315044,0.6150718,1.4581232,1.2731006,1.5010498,0.60216916,1.3308067,1.1829022,0.96559876,1.4840014,1.0677574,1.2131308,0.44863284,0.6661048,1.0515971,1.0602624,0.99526,0.74056053,0.9468176,0.80964047,0.6937595,0.85120916,1.0679749,1.2828281,0.5681289,1.0452231,1.138094,1.2639716,1.2886007,1.3621604,1.3168055,0.44207227,1.4460186,0.48108983,1.0594893,1.2048547,1.1552498,1.1685413,1.2626745,1.2970467,0.88807195,0.45907795,1.2373841,0.6904847,1.1978894,0.721557,0.56688726,0.5501602,1.046732,0.78808105,1.0559852,1.1997756,0.626025,0.9020921,0.7656251,1.1561029,1.1892157,0.5927952,0.9970448,1.1981705,1.3420815,0.81192327,1.408052,1.2246162,1.0096399,0.7316065,1.3182268,1.3296604,1.043164,1.0038573,0.36404467,0.77736187,0.73239934,0.6469487,0.41156948,1.2245759,1.2719882,1.4494541,1.318147,1.4195454,0.5870086,0.70878726,1.1774199,1.1365812,0.75499475,1.2767206,0.9836906,0.5392144,1.0646908,0.62027025,1.218088,0.87166935,0.57655567,1.2712612,0.8161919,1.2703125,1.2175448,1.2685447,1.3593264,1.0972985,1.3055329,1.1106713,1.2473241,1.3001473,0.40137744,1.1712954,0.5543863,0.991154,0.86890054,1.1344224,0.26296365,1.3481747,1.3625962,1.4796878,0.7532768,0.54346144,0.59173316,1.240603,0.8319278,0.6507146,1.2114182,1.137127,1.0688776,0.45230967,0.74458873
arm,0.70304865,0.98240733,1.2986205,0.0,1.3685728,1.3687823,0.9285936,1.4415493,0.68046355,0.94226253,0.56476295,1.3591206,0.7504375,0.7614236,1.2838435,0.6166222,1.1007298,1.135062,1.3892503,1.339601,1.1533773,0.93977416,1.3081627,1.2948568,1.386739,1.2534324,1.3564675,0.91882247,1.0317447,0.98531175,1.4454215,1.0069468,0.79986995,0.8268981,0.9226682,0.6677839,0.7044216,1.4698054,0.8188751,1.4230146,1.0496137,1.0588121,1.0335332,0.9037994,0.9040464,0.6265587,1.0848132,1.3493962,0.83644986,1.2028345,0.71814656,0.87868094,1.4336668,1.3509138,0.7985996,1.3762393,1.2588902,0.999891,1.3501596,1.0183158,1.2986238,0.7511034,0.44487453,1.3867507,1.1978219,0.9898466,0.7270796,1.0752224,0.49453354,0.8077757,1.2253863,1.3497112,0.47276276,0.6146554,0.934127,0.9421236,1.3319279,1.3781573,1.1146846,1.1044874,1.427572,0.9282077,0.96828955,0.4721797,0.5101779,0.78348935,1.3763494,1.188167,0.8480307,0.9787655,1.2013552,0.91499865,1.1465732,1.4823143,0.9216584,1.1734776,1.0606918,1.2223183,1.189115,0.7965386,1.4249501,0.8163918,0.67378426,0.64189255,0.48243368,1.1034796,0.56701255,0.9498574,0.8084476,0.7489177,1.4320003,0.8694335,1.2791789,0.8533529,1.2318268,0.96007466,1.1610795,0.9026602,0.48963594,0.59550345,1.330291,1.1322614,1.1865432,0.6431747,1.3624351,1.41611,1.0310454,1.0056976,1.1210316,1.2958992,1.2947795
ball,1.4008979,0.7431149,0.091331124,1.3685728,0.0,0.19962156,0.9684021,0.62098336,1.4561604,1.2279946,1.4922154,0.72199726,1.4375439,1.1835223,0.8451973,1.4891287,1.0013107,1.1390448,0.43110955,0.5781241,1.0289913,1.1110306,0.9578506,0.6776678,0.844053,0.8686507,0.6827287,0.98853433,1.1051642,1.3315026,0.47652626,1.0994301,1.1708523,1.259484,1.2724845,1.4287167,1.329018,0.4571277,1.4392391,0.44712138,1.0044497,1.133973,1.0851225,1.2413808,1.2862134,1.3243695,0.9569402,0.43360126,1.2308251,0.65058297,1.2018082,0.81414187,0.6181758,0.5120562,1.0385797,0.7815615,0.93171763,1.1837201,0.7131655,0.9010352,0.7479968,1.1663625,1.2617587,0.5736492,0.9925723,1.1255542,1.3115711,0.73156023,1.4578485,1.3446054,1.0195835,0.65855956,1.3755687,1.332697,1.083066,1.0692387,0.39198017,0.84239316,0.8508427,0.64252007,0.3948425,1.2421803,1.2084894,1.4798051,1.423609,1.3770427,0.6131891,0.712639,1.2345232,1.1540534,0.8804559,1.2434647,0.906167,0.48017132,0.99189824,0.62444276,1.2145498,0.88160414,0.5648109,1.3496895,0.75132465,1.2810156,1.356188,1.2552664,1.4031851,1.06282,1.4149008,1.1445335,1.2834294,1.2632045,0.45179814,1.1297863,0.6069474,1.0299267,0.86763835,1.0992074,0.3578217,1.306185,1.3641243,1.4556577,0.617082,0.60737073,0.70925564,1.2058501,0.91125757,0.48002255,1.148858,1.0805525,1.0781047,0.53852993,0.69857013
balloon,1.4916253,0.75338936,0.19143116,1.3687823,0.19962156,0.0,1.0687213,0.59161866,1.3882811,1.1930126,1.470873,0.59410876,1.2743489,1.1506058,0.93464535,1.471396,1.0284944,1.1594607,0.4678306,0.6175179,1.0827144,1.153108,0.93416417,0.72765255,0.8928317,0.76691073,0.6660075,0.8604741,0.9619595,1.2409396,0.51695585,1.0744276,1.1225747,1.2346494,1.2821286,1.3704667,1.4119718,0.39242202,1.4328021,0.44591117,0.98662513,1.2343551,1.2422907,1.1447241,1.2479687,1.3774618,0.97296345,0.45774353,1.1584572,0.6667573,1.2608566,0.8074177,0.37256247,0.5722502,1.0967176,0.7269516,0.988249,1.1382343,0.6564102,1.0266355,0.7493541,1.2498807,1.2901387,0.6966449,1.0031042,1.1775181,1.3767291,0.80888003,1.4524398,1.2213358,0.9941351,0.6251597,1.3999916,1.4246542,1.1229534,1.112972,0.40113878,0.7013966,0.7694562,0.73979664,0.41487724,1.1947432,1.2119851,1.5050819,1.3841733,1.4109088,0.5028455,0.6991918,1.2087669,1.2352641,0.6220425,1.2465898,0.9223368,0.45064855,1.1208978,0.6362527,1.2504764,0.7825136,0.48473042,1.2395178,0.78712314,1.2688594,1.3348727,1.3383439,1.4183743,1.1706303,1.3829906,1.0551196,1.1053332,1.244162,0.4125533,1.0085583,0.45349073,1.0376844,0.7946626,1.0994059,0.45228535,1.3468406,1.4023483,1.4669652,0.71167016,0.6227779,0.65240324,1.2233659,0.7442863,0.6654304,1.1577642,1.0970485,1.009095,0.53046274,0.6728263
banana,0.72473973,0.87992936,1.0315044,0.9285936,0.9684021,1.0687213,0.0,1.2646399,0.96788377,0.9749711,1.0218564,1.2505076,1.1823095,0.777997,0.9917449,0.9524952,0.7409667,0.89483434,1.2455943,1.0603762,1.1794472,0.8981086,1.1781578,1.1943252,0.9062317,1.4273819,1.2840188,1.0980825,1.1186247,1.3036417,1.2062489,1.2118137,0.97865117,1.0833235,0.89486885,1.2062678,0.7619014,1.1313818,1.0399443,1.2161987,0.80872744,0.88859427,0.7482904,1.2875345,1.1435212,1.070135,0.89352083,0.87022233,1.0460325,1.045884,0.8750135,0.8824953,1.1440878,1.176623,1.0256134,1.1437683,0.68032736,1.0931522,1.1818285,0.8208749,0.5996612,0.96325326,0.6555724,1.1209683,1.108213,0.83839405,0.99474937,1.0686018,0.95934695,1.1618602,1.2853118,1.2714199,0.9216024,0.60150266,0.8193912,0.8624955,1.1357319,1.3656706,1.0798883,0.9566652,0.9531727,1.1792883,0.9350997,0.879487,1.0666696,0.8411735,1.1926626,1.1215091,0.974212,0.8666153,1.4137619,0.9063313,1.1005622,1.065567,0.8200088,0.76585287,1.0046915,1.2895653,1.0707467,1.2736878,1.1260521,0.9964308,0.9707687,0.5518606,1.007561,1.0283165,1.0569682,1.200171,1.0169793,0.8939632,1.2143221,1.0412198,1.09425,0.9760664,1.0101442,1.0047792,0.9092255,1.045923,0.9811917,0.97586817,0.99439615,1.0388129,1.1289911,0.54134303,1.347086,0.6651089,0.9439613,0.92562497,1.3882082,1.1927984,1.1849624
basket,1.448003,0.9120044,0.6150718,1.4415493,0.62098336,0.59161866,1.2646399,0.0,1.2583385,1.2695969,1.408315,0.542922,1.0058429,1.1863047,0.84474033,1.3424292,1.1067568,1.1039772,0.48515046,0.61578923,0.75714886,1.007354,0.82684696,0.54258007,0.97422737,0.52172637,0.49334818,0.93263316,1.1031286,0.8356276,0.59747744,0.9769974,1.2160645,1.1129725,1.1451899,1.1751351,1.2577765,0.44235587,1.2117842,0.4440962,1.123411,1.2296749,1.1424298,1.0944188,0.9399659,1.3938639,0.95149887,0.68191916,1.2384081,0.8981918,1.3423178,0.91747594,0.5689946,0.61004657,1.0264915,0.54823816,1.0496501,1.1549377,0.61984277,0.8267802,0.8707918,1.3072898,1.355907,0.6557802,0.8915394,1.0523146,1.4017067,0.98193085,1.4117305,0.89857423,0.7764919,0.66522574,1.2870395,1.3460859,1.2131114,1.0706253,0.54626465,0.41392684,0.82436085,0.9533291,0.62358487,0.9325343,1.2511625,1.4773295,1.3704942,1.3486923,0.42191947,0.51687515,1.1964871,1.1754764,0.42894864,1.2725077,0.9133323,0.4489591,1.1885861,0.8755857,1.0098207,0.41988313,0.8241051,1.155336,0.651202,1.1891367,1.2787304,1.4105674,1.5146433,0.81802297,1.2649648,1.0295913,1.0262614,1.3894904,0.37570858,1.1429584,0.59541875,0.8980639,0.86514884,0.8785846,0.84701794,1.0979731,1.4824147,1.3583348,0.66520065,0.66020185,0.8112191,1.339627,0.42385662,0.74416214,1.0797023,1.2339252,0.8059355,0.6373952,0.78764784
bathtub,0.6458189,1.3863553,1.4581232,0.68046355,1.4561604,1.3882811,0.96788377,1.2583385,0.0,0.8551568,0.29804432,1.3609198,0.3306272,0.8093598,1.1828406,0.43549842,0.882635,0.9187396,1.4295608,1.0548409,0.8249682,1.1192461,1.1534204,1.0339284,1.3611819,1.0480325,1.1281829,1.2060776,0.92925024,0.59864646,1.3978212,0.8169379,1.0568612,0.4447354,0.6682813,0.43317968,0.76985526,1.5542674,0.3646955,1.340956,0.80645525,1.0416666,1.1018101,0.6893659,0.44655955,0.8542833,1.3161077,1.5185794,0.81278396,1.3156487,0.91321766,1.4199121,1.4635931,1.3854133,1.2271867,1.3070781,1.2050872,0.74417394,1.4877859,1.245349,1.2184819,1.0164104,0.97622144,1.5758727,1.2156856,0.7954427,0.7255058,1.0874914,0.5711433,0.7697612,1.0522858,1.3011875,0.77830374,0.73789114,1.1577721,1.109121,1.5203767,1.2818828,1.4303668,1.3783839,1.4977381,0.6798868,0.87547415,0.55142146,0.6762067,0.54387283,1.4715858,1.3781543,0.9911561,1.0070482,1.1672106,0.7848386,1.1551954,1.3264434,1.0810792,1.1746817,0.8004975,1.141076,1.3380982,0.5425342,1.3911601,0.74376464,0.96719027,0.6547927,0.68501294,1.1779169,0.73967755,0.680973,0.24871612,0.56022465,1.5357814,0.70159435,1.2405854,1.1750863,1.352485,0.9063805,1.284076,0.6326775,0.67310107,0.2617017,1.145222,1.5723305,1.3324435,0.7587596,1.2128966,1.2434858,0.8611861,0.85692894,0.9814485,1.4067674,1.195585
bear,0.62587315,1.1420007,1.2731006,0.94226253,1.2279946,1.1930126,0.9749711,1.2695969,0.8551568,0.0,0.78685665,1.1816584,1.0882308,0.887475,1.0120257,0.70968884,1.1054542,1.1511725,1.2246152,1.2781289,1.2842336,0.82246315,1.1077112,1.3644751,1.0445948,1.3372766,1.2013861,1.234546,0.523982,1.2376676,1.1564143,1.2669888,0.58745956,1.1771185,0.9191234,1.0375533,0.8093908,1.2489672,1.0747722,1.2890527,0.99928683,0.88738966,1.0427318,1.1633242,1.1545488,0.9125522,1.0810521,1.2251662,0.25459743,1.081491,0.94335467,1.1516465,1.1360254,1.1644304,1.0498129,1.0213085,0.9321598,0.9261054,1.1535575,0.9689097,1.335601,1.0288087,1.0282534,1.1975949,1.11116,1.1380243,0.44812596,1.1239569,0.65143543,1.1029056,1.1838671,1.1749743,1.0518627,0.75522506,1.0405334,0.9373232,1.1219193,1.1291664,1.0897143,1.0743937,1.1975982,1.1672164,0.15808094,0.67353404,0.766726,0.9864131,1.1872807,1.2763321,1.026236,0.9812796,1.1561319,0.8431804,1.110271,1.2515516,1.0416187,1.2833244,1.1413027,1.2058749,1.0287527,1.0417821,1.1756778,0.6922966,0.9891764,1.0777519,0.7121965,1.0759095,0.80909634,0.82720304,1.0290768,0.8002417,1.1701779,0.52649856,1.2857288,1.0389633,1.1926054,1.1931946,1.2380004,1.1169463,0.76170796,0.93395156,1.2341185,1.1625764,1.0690743,0.98250055,1.1085194,1.2508111,1.1748405,0.74396145,1.1997812,1.1307476,1.1054813
