,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
bed,0.5671153,1.3856448,1.5827376,0.54558,1.504097,1.4785242,1.0046698,0.99353075,0.30441248,0.61282086,0.0,1.3436551,0.34033215,0.6127173,1.3849926,0.22215956,0.887673,1.4117656,1.3060837,1.1508524,1.4694985,1.2381443,1.4200978,1.3732919,1.4907479,1.3769312,1.0004965,0.8870443,0.6427692,1.4624947,0.797972,0.81733966,0.78009355,0.77555835,0.79291624,0.24420977,1.2083381,1.6033578,0.345559,1.3963838,0.8712348,1.1463445,0.8356681,1.2360392,0.53768444,1.2050478,1.2539198,0.60361284,1.3938024,0.70526814,1.39992,1.4680463,1.4373107,0.8967707,1.4442486,0.8767818,0.63768065,1.507226,0.9662687,1.3930584,0.7788615,0.88805467,1.4369655,0.96427757,1.1277547,0.6187768,1.1838831,0.45226067,0.76114345,0.62807846,1.4423127,0.7067786,1.0737754,0.6644814,0.9339764,1.0300086,1.4532285,1.2146134,1.5255787,1.4366128,1.0570489,1.0962814,1.0950376,0.6736238,0.48973882,0.54483896,1.5341392,1.541388,1.100658,1.1444521,0.85781765,1.1301804,1.4304452,1.1088753,0.5390475,1.3507414,0.65827143,1.1623892,0.65900075,0.48882455,0.5196626,1.044213,0.8965398,0.83119315,0.38059115,1.1465695,0.37229848,1.5412377,1.0401521,1.1082642,1.2168614,1.1188986,1.2157724,1.1287019,1.339265,0.8632751,0.6035545,0.3577863,1.5173457,1.3941492,1.0097101,0.7898624,1.1758801,1.2213343,0.7911704,1.070646,1.0357909,1.2955265,1.0941554,1.4236897,0.74014306
belt,1.3910074,0.67523205,0.50423515,1.2799455,0.70822453,0.7594619,1.086085,1.0492766,1.3678386,1.287201,1.3436551,0.0,1.3556457,1.2316203,0.73968637,1.259814,1.0504005,0.62696105,1.0399325,1.0487709,0.8689375,0.8452891,0.8458301,0.8838306,0.5898013,0.85016763,1.010107,0.7549666,1.1261721,0.71712005,1.2430998,1.0121409,1.1998404,1.2210028,1.1479616,1.2601838,0.8794243,0.3806491,1.4145997,0.56149936,1.2511951,1.1400118,1.1023184,0.77368367,1.1702266,0.88771456,0.95093274,1.0946807,0.8679611,1.14435,0.78799444,0.63132757,0.6837217,1.1455392,0.6546906,1.199057,1.4194648,0.38165486,1.2035294,0.925401,1.1312492,1.1554006,0.59917176,1.0776975,1.023251,1.1369257,1.1112026,1.1929518,1.047254,1.2711282,0.65874904,1.3130865,0.7071983,1.4250143,1.2391852,1.0561593,0.7460867,0.7827443,0.38112324,0.5842829,1.0783976,1.0511763,1.0451391,1.2016826,1.1717855,1.3584917,0.34112525,0.37208802,1.068532,0.56148136,1.1140069,1.1590486,0.7951952,1.0306705,1.313422,0.8531946,1.108562,1.0970786,1.1831185,1.299354,1.1315714,1.0711131,0.9958889,1.2667278,1.264504,0.81915164,1.3396993,0.43623435,0.6595996,1.0477053,0.89399064,1.199543,0.9853352,0.9903985,0.88072646,1.2645388,1.0635762,1.427423,0.7336155,0.7217326,1.1521959,1.24858,0.8218621,1.0070587,1.1447018,0.9585599,1.1277823,0.90998995,0.97098243,0.47658157,1.1124172
bench,0.729134,1.3813004,1.515992,0.69949913,1.4181035,1.4003727,1.0939115,0.8167518,0.37169212,0.758106,0.34033215,1.3556457,0.0,0.76414967,1.2943063,0.54354167,0.8155129,1.3641424,1.1620741,0.68711764,1.3679023,1.0155036,1.1749849,1.3504152,1.1673969,1.261668,1.029246,1.1022168,0.4641148,1.4135625,0.5268928,1.0101624,0.56253546,0.6614269,0.9599249,0.32059342,1.1831915,1.4829372,0.15625113,1.3349771,0.9692736,1.1067064,0.5575523,0.80955243,0.8122413,1.1959255,1.2978671,0.84316254,1.3261968,0.9130563,1.3313271,1.4058309,1.3689927,1.012059,1.2874076,1.0161318,0.76126075,1.4752083,0.99182314,1.1567314,0.97009,0.9739594,1.4716871,1.0664667,0.8735499,0.8802326,1.0396314,0.70397455,0.7725049,0.5332744,1.2607841,0.75297546,1.1076819,0.8138915,0.997232,1.034999,1.4743347,1.1190151,1.4610778,1.2808706,1.0628248,0.9097036,1.0579988,0.7659255,0.73517716,0.6055284,1.4126868,1.4160173,1.0482295,1.1182306,1.0141857,1.0350473,1.3023493,1.059708,0.64226496,1.1652491,0.53952324,1.1380459,0.80722314,0.7482046,0.83575934,1.0357323,0.91687286,0.8177883,0.51667017,0.8520217,0.67050153,1.4901016,1.153503,1.11895,1.1761919,0.9813741,1.1606275,0.99087566,1.1600459,0.8955276,0.9670179,0.4156291,1.4314957,1.3923343,1.1171474,0.82002664,1.0678592,1.1597748,0.7291177,1.0093511,1.0467956,1.1966919,0.88059294,1.4806497,0.7980989
bib,0.5753733,1.1502084,1.3839035,0.5681509,1.3775121,1.267193,0.8521634,1.1688832,0.614214,0.8438494,0.6127173,1.2316203,0.76414967,0.0,1.2536764,0.49612707,0.90264714,1.370437,1.2743727,1.1339885,0.9963849,1.2963136,1.2322038,1.3241665,1.4254856,1.4076908,0.85296726,1.0483375,1.0331087,1.460767,1.1185883,0.915571,1.0470197,0.8213702,0.8047919,0.84520435,0.9036621,1.401102,0.8428312,1.3595438,0.91841495,1.087916,1.2062643,1.2120802,0.6953329,0.8892025,1.1951249,0.85611844,1.1286379,0.88368183,1.0263995,1.165941,1.4074045,0.69048095,1.2456853,0.93990505,0.69808555,1.226512,0.6614826,1.0137682,0.93096256,0.5699137,1.2799597,1.0266732,0.9537864,0.6250689,1.0771679,0.510748,0.7753558,1.0449803,1.47961,0.8171622,0.98932457,0.48548305,1.1398065,0.9622774,1.2744486,0.9030523,1.190872,1.3172402,0.82168126,1.1617243,1.0660079,0.44744444,0.5275548,0.31381643,1.4171867,1.4101712,0.7911178,1.216639,0.80596507,1.2210807,1.2853429,1.0805731,0.6890057,1.3176742,0.99732226,1.1934303,0.77174336,0.7802174,0.6422063,1.0268079,0.8242185,0.90715516,0.89017403,1.124894,0.818635,1.414448,1.0657537,0.9485866,0.9892759,0.9842193,1.1858152,1.0532637,1.1778052,1.0646224,0.75037587,0.77495074,1.3465666,1.0555933,0.8010657,0.6927687,1.0296516,1.3114021,0.8567723,1.1101934,1.2409723,1.3159044,1.3125272,1.2844574,1.1373184
bird,1.2221115,0.8569592,0.69454753,1.2538033,0.8046971,0.7664154,1.0140426,1.0612403,1.3373055,1.2933666,1.3849926,0.73968637,1.2943063,1.2536764,0.0,1.3068266,1.1133529,0.8426105,1.037977,1.0969462,0.7697555,0.77578986,0.901263,0.7454957,0.8007567,0.7941624,0.9913543,0.75577664,1.0539668,0.7035644,1.1274151,0.9356562,1.1371405,1.1896698,1.2681816,1.2488242,0.9251939,0.6455254,1.2280728,0.8470356,1.0052736,0.9140218,0.9984314,0.96939445,1.2646185,0.8065031,0.99805933,1.1060563,0.6224117,1.1487243,0.8346206,0.6521412,0.6994858,1.0891961,0.64842224,1.119395,1.085876,0.57617944,1.1087239,0.85443664,1.0998201,1.0638095,0.7304405,0.8951357,0.9687144,1.132252,1.0203545,1.2259772,1.1925372,0.9473569,0.6517974,1.2261401,0.9655233,1.2816443,1.086626,0.9981969,0.8557148,0.76282924,0.6164926,0.7602284,1.0574062,1.1623343,1.0675132,1.035774,1.1575655,1.3228618,0.6316147,0.65078586,0.9734031,0.7667291,1.1913036,0.9637908,0.882578,1.0047367,1.3204315,0.9655156,1.0976824,0.7712524,1.1918585,1.3397007,1.2613546,1.1614597,1.0537593,1.2070744,1.186279,1.021026,1.3549421,0.70788574,0.9207112,1.1491613,0.84990835,1.0974936,1.0200957,0.93644994,0.8346456,1.1628758,1.1258881,1.363517,0.80927104,0.817502,1.0572702,1.0939535,0.8232436,1.0021282,1.0624224,0.9186991,1.1162866,0.7876753,0.9131111,0.71088505,0.956832
blanket,0.4569646,1.24171,1.5520778,0.6029224,1.5050924,1.4579623,0.9833656,0.9824467,0.46530014,0.65146405,0.22215956,1.259814,0.54354167,0.49612707,1.3068266,0.0,0.9735495,1.4359745,1.3433248,1.1941959,1.2955432,1.1867197,1.4532087,1.3238244,1.5148184,1.4104187,0.8986108,0.81426877,0.84028053,1.4157548,0.9556774,0.90690804,0.89834917,0.8465067,0.75932026,0.42713678,1.0190986,1.5414748,0.65786415,1.4465754,0.68541944,1.119109,0.99260014,1.3006701,0.58193594,1.1458491,1.2740338,0.71216124,1.2405838,0.8454251,1.3363528,1.3582377,1.4374526,0.8208773,1.3354155,0.86397463,0.72648495,1.4318247,0.7334914,1.3272676,0.9128014,0.8004972,1.404166,0.8539413,1.1103595,0.48763728,1.2008479,0.3477649,0.72451156,0.8330985,1.4708409,0.59621847,1.0920625,0.50430006,1.1176337,0.8562395,1.493269,0.9162924,1.4077296,1.4142556,0.9700268,1.1386851,1.0875626,0.40987086,0.44502318,0.5665471,1.4756633,1.4916801,0.93070775,0.96894217,0.736696,1.1988684,1.4003989,1.2107282,0.47465533,1.337618,0.836697,1.1234001,0.739923,0.6679026,0.601298,0.94320637,0.7812894,0.889955,0.6011231,1.1531255,0.65489495,1.4776797,1.0824561,0.949551,1.0451205,1.0869889,1.2878201,1.0909462,1.2416966,1.0440003,0.6785661,0.61074805,1.5234703,1.3500326,1.0430039,0.7347677,0.8830888,1.3702786,0.8188492,1.0882641,1.1353271,1.3321801,1.1528264,1.3570343,0.9595994
book,0.8081452,1.187297,1.1894815,1.0538446,1.1339148,1.0484071,1.0239644,1.0423843,0.93132585,0.9222307,0.887673,1.0504005,0.8155129,0.90264714,1.1133529,0.9735495,0.0,0.94380426,1.0385683,0.70056677,1.2547789,1.2306789,0.9880901,0.9522142,1.0847605,0.8714358,1.1262437,1.119972,0.9336683,1.080819,0.9847442,1.0827593,1.0342193,0.8394576,0.93474823,0.9844358,1.1802683,1.0290029,0.7531102,0.9631192,1.043673,0.59053504,1.0469949,0.9374994,1.0409269,1.1709042,1.2299904,1.0648504,1.1559744,0.9662375,1.1834497,1.0865316,0.9649455,1.1562985,1.0419012,0.6615418,0.9417057,1.1781958,1.0379801,0.7634354,1.0084424,1.0491772,1.1028504,0.88440806,1.1369793,1.1066338,0.9139353,1.1078026,0.9716047,0.872457,1.1196008,1.0528376,1.0260829,1.0379262,0.9029652,1.1066029,1.1383228,1.1730617,1.2333636,1.1440258,0.97055984,0.8288846,0.88454676,1.0269129,1.0462976,0.49008012,1.0552646,1.050607,1.127566,1.2490526,1.077267,1.002111,1.0256981,0.9502895,0.948538,1.0097317,1.1053399,0.850663,1.0085049,0.7882671,1.0545208,0.9379097,1.1310786,0.99030465,1.0231831,1.0037875,0.7947959,1.0761256,1.0180993,1.0062553,1.2042327,1.0000477,1.1950895,1.0489879,1.0309389,0.66531,1.0777855,0.8286591,1.0832765,1.272088,1.1348289,0.94047856,1.1063523,0.60282165,0.81039715,0.8912095,0.9947941,0.92263496,1.0974097,1.0872988,0.8696568
bottle,1.3927748,0.86852753,0.5282755,1.4195848,0.45757985,0.5465782,1.1865087,0.968491,1.3668618,1.2314552,1.4117656,0.62696105,1.3641424,1.370437,0.8426105,1.4359745,0.94380426,0.0,0.597102,0.89449257,0.93876594,0.84326816,0.36346853,0.73668766,0.44556546,0.5246069,1.2772971,1.0851631,1.1064804,0.46148723,1.1106839,1.178957,1.0889822,1.2064457,1.2077726,1.2919508,1.1377649,0.3777907,1.3385062,0.12724066,1.3185252,1.0027943,1.072876,0.95786154,1.3172362,1.1698273,0.89848864,1.2368518,0.9186156,1.2209897,0.9640713,0.7649751,0.20530844,1.3117845,0.66460043,1.1632375,1.2832286,0.6461383,1.2789961,0.8451849,1.2097162,1.4223621,0.6053515,1.0749867,1.1834196,1.360851,0.9355505,1.5109172,1.3814039,1.2030993,0.45747977,1.3346188,0.9680524,1.477812,0.89052033,1.2446105,0.6045764,0.7599793,0.74364215,0.5571246,1.1265403,0.7136389,0.9878392,1.3860524,1.5012758,1.313978,0.42503202,0.41794014,1.2256017,0.7236,1.2367682,0.8935972,0.46647853,0.9363819,1.3443258,0.534179,1.1753168,0.9504591,1.3041165,1.2646616,1.3133641,1.0659806,1.2953631,1.1649762,1.3049812,0.79097193,1.2259072,0.27333546,0.72928137,1.0940349,1.1624053,1.0866988,0.6600169,1.1196195,0.7905752,1.0354296,1.2750996,1.2181373,0.53704673,0.8624625,1.2278197,1.2652215,0.7419897,0.51518774,1.2914811,0.98111653,0.81151557,0.66370994,0.8565343,0.31552935,1.0375862
bowl,1.2851901,0.9694011,0.7692035,1.2862036,0.5782232,0.62177753,1.1961585,0.6844062,1.0173649,1.1549137,1.3060837,1.0399325,1.1620741,1.2743727,1.037977,1.3433248,1.0385683,0.597102,0.0,0.8467883,1.0384724,0.95302755,0.34903932,0.7816032,0.71182585,0.7065738,1.2585934,1.2217007,1.1108024,0.56315017,0.935737,1.2235428,0.64373136,1.0381141,1.1122327,1.1894827,1.2391512,0.8439356,1.1766884,0.56087357,1.1913646,0.95015204,0.97512835,0.99834615,1.2603446,1.2292728,0.73352927,1.2582308,0.95496285,1.2181718,1.0424849,0.99385023,0.64631593,1.2721069,0.8349963,1.0948035,1.0102959,1.0446068,1.1865625,0.9722624,1.2011176,1.2858776,0.9143437,1.0840061,1.0369183,1.3282393,0.81893146,1.4196529,1.2646254,1.2169521,0.6502334,1.200777,1.1253988,1.2927555,0.8586599,1.2239733,0.79781944,0.9878061,1.014586,0.90419644,0.9172832,0.6115191,0.9712478,1.2943863,1.4427717,1.1998351,0.87051183,0.8782592,1.157834,0.9770773,1.2891042,0.830583,0.2575298,0.9107265,1.0838889,0.5760481,1.1389271,0.87705815,1.273133,1.1273228,1.3038331,0.89053875,1.2888935,0.8404614,1.2556226,0.58633095,1.1615051,0.75846565,1.1204067,1.0002044,1.0401515,0.64167994,0.6443796,0.9957611,0.8310585,0.9597645,1.2837416,0.87351197,0.44569492,1.0568243,1.1643811,1.1824207,0.9321231,0.6833616,1.0900867,1.0277624,0.6786978,0.7763515,0.91277885,0.830385,1.0374831
box,1.1919498,0.9165164,1.0166802,1.1879745,0.9430893,1.0371878,1.1881042,0.6411351,1.0330886,1.1459723,1.1508524,1.0487709,0.68711764,1.1339885,1.0969462,1.1941959,0.70056677,0.89449257,0.8467883,0.0,1.0342458,0.83085114,0.66177917,0.9907236,0.44946414,0.7623067,1.1957932,1.3271934,0.5884634,0.8987171,0.6880226,1.2080789,0.83741623,0.9145135,1.0668912,0.92199033,1.0608926,1.0092793,0.733173,0.9190076,1.1639733,0.88407385,0.71627134,0.49117374,1.1393645,0.99496394,1.0113875,1.2331374,1.1271663,1.1197182,1.082353,1.04941,0.9400332,1.225775,1.0116631,1.1014838,1.1992706,1.1021247,1.0461354,0.7681482,1.1128842,1.1973927,0.9942952,1.1883917,0.9608621,1.1857364,0.8244885,1.2232549,1.0421828,0.91843766,0.91993284,1.0077744,1.1322954,1.1625662,0.9250901,0.970765,1.0989096,0.917492,1.0490571,0.96759945,1.101749,0.5538461,0.9162284,1.2153339,1.2009948,0.95945007,1.0543449,1.0361917,1.0815736,0.9471996,1.1437924,0.90971446,0.97161984,1.0170091,0.9473565,0.5718816,0.8662951,1.0139194,1.0923947,1.1620651,1.2410724,0.93219316,0.96522695,1.0092552,1.1824696,0.7864883,1.1400285,1.0122317,1.2214656,0.96887445,1.0998833,1.0502732,0.80204606,1.0500888,0.9313671,0.813845,1.2873466,0.9174515,0.8605225,1.065978,1.1586473,1.2057127,0.8868973,0.7608917,0.8465812,1.0331311,0.8886527,0.7683437,0.8150002,1.1283312,0.9614384
bread,1.1815035,0.7190964,0.5875896,1.1044945,0.66687083,0.7989955,0.93828315,1.1163598,1.4589974,1.1497375,1.4694985,0.8689375,1.3679023,0.9963849,0.7697555,1.2955432,1.2547789,0.93876594,1.0384724,1.0342458,0.0,0.83442926,0.9639995,0.9036503,0.79190993,0.9651962,0.8001797,1.1301621,1.3225849,0.9208912,1.2420819,1.0649143,1.2740048,1.1912571,1.1874084,1.3567631,0.38631618,0.62447566,1.4755056,0.93733484,0.88283706,0.9869507,1.2170595,0.81917405,1.2041526,0.60936326,0.7957109,1.126118,0.7855152,1.1968999,0.4354366,0.48039496,0.8571265,0.9542845,0.75721204,1.2067465,1.404989,0.5769088,0.8913241,0.7612682,1.1037682,0.8472019,0.7354954,1.1630154,0.8218362,1.1501881,0.93077314,1.252244,1.0504138,1.2562354,0.84926784,0.90985304,1.0455055,1.1408157,1.2423954,0.73564124,0.70431083,0.75844026,0.58204764,0.6795688,0.90269804,1.1136626,1.0173141,1.118556,1.24821,1.236903,0.7145046,0.7097285,0.80057603,0.75255907,0.649177,1.0376657,0.8580164,1.08137,1.401002,0.8525229,1.3423681,1.0868796,1.1660516,1.4523981,1.1787709,1.1357678,1.0266489,1.2560463,1.3530848,1.0694923,1.4637421,0.66163725,0.8907027,0.94061184,0.8230684,1.1136198,0.93553925,0.8667171,0.797454,1.2881448,1.1907315,1.5547136,0.78956765,0.4165939,0.7515074,1.2244058,0.8789008,1.1281087,1.2737222,1.124252,1.1687052,0.9691957,1.0727683,0.69216645,1.3234599
broom,1.4173994,0.7465379,0.86289567,1.2630706,0.8796262,0.9711862,1.2082673,0.7406795,1.252725,1.2336644,1.2381443,0.8452891,1.0155036,1.2963136,0.77578986,1.1867197,1.2306789,0.84326816,0.95302755,0.83085114,0.83442926,0.0,0.82778937,0.9783969,0.531838,0.7550429,1.1962619,1.0158081,0.7424947,0.74181587,0.7201387,1.0127695,0.9119829,1.2349582,1.2605643,0.9855436,1.0833632,0.81036353,1.0210046,0.8890413,1.161792,1.0500587,0.5323006,0.7938074,1.1616261,0.96354717,1.0399929,1.0662508,0.9486568,1.2818278,0.9635877,0.9761957,0.7433006,1.2122436,0.6990435,1.3776094,1.3328748,0.8240856,1.1547422,1.1101372,1.1897507,1.3428335,0.8825093,1.1165961,0.7240509,1.077734,1.0248067,1.1844486,1.2942052,0.84580934,0.4980719,1.1238973,1.0898514,1.343054,1.1046939,0.9799219,1.0855418,0.45480835,0.7574786,0.6225779,1.1455853,0.9080353,1.0466216,1.0587884,1.179051,1.3537623,0.729479,0.71336955,1.1155704,0.6190101,1.2372639,0.75588584,0.9118846,1.1240795,1.2505118,0.67698616,0.7390088,1.0308065,1.1707468,1.4168508,1.1636693,0.9640975,0.8173394,1.130527,1.0939388,0.82588005,1.2797313,0.84095514,1.1315095,0.97837454,0.9995311,1.1455239,0.68881834,0.91901004,0.8699519,1.029956,1.1709145,1.1357726,0.9394371,0.94094676,1.280528,1.2293713,0.43311715,0.9804713,1.1626898,0.9496032,0.8305404,0.7279145,0.40675598,0.9139923,0.8655836
bucket,1.4102046,0.8884542,0.6982493,1.4105357,0.5796391,0.5179739,1.1082379,0.7195544,1.111609,1.3138589,1.4200978,0.8458301,1.1749849,1.2322038,0.901263,1.4532087,0.9880901,0.36346853,0.34903932,0.66177917,0.9639995,0.82778937,0.0,0.7543508,0.3821342,0.5221281,1.3438358,1.2932065,0.9226978,0.53387874,1.0548155,1.2592162,0.86417866,1.131172,1.2119716,1.2360328,1.1951225,0.5970563,1.1508677,0.3518033,1.3887548,1.0178306,1.020695,0.8803167,1.3487513,1.1267155,0.94560874,1.3476478,0.860324,1.3012892,1.0432981,0.7778305,0.5127362,1.2804115,0.7084675,1.155805,1.1300963,0.88759226,1.1499611,0.734836,1.3055158,1.379641,0.7758034,1.1485759,0.9772339,1.3621767,0.7378682,1.4877522,1.3117056,1.1232467,0.59073013,1.3216622,1.0193512,1.3627005,0.87285846,1.2402825,0.7195091,0.67631507,0.90935105,0.7719971,1.0075265,0.6364244,0.96085405,1.3038466,1.4854794,1.2168984,0.6520192,0.6490028,1.1380966,0.79181004,1.3034914,0.8805842,0.3660878,0.93110794,1.1900008,0.47494912,1.0596683,0.9389952,1.3375363,1.2319419,1.3934008,0.9974865,1.1875793,0.9905097,1.2952724,0.60434127,1.2368813,0.6102577,1.0263166,1.0395969,1.1226077,0.83445895,0.58871377,1.0554264,0.7721268,0.98289484,1.4107931,1.0470829,0.38205904,1.0047991,1.1556822,1.1145581,0.67563355,0.5689376,1.0700601,1.0068302,0.8563691,0.65992266,0.7821443,0.71391654,1.0389621
butterfly,1.1528829,0.8238493,0.79402936,1.4068953,0.69824713,0.74017614,1.0727377,0.9447609,1.3244709,1.098816,1.3732919,0.8838306,1.3504152,1.3241665,0.7454957,1.3238244,0.9522142,0.73668766,0.7816032,0.9907236,0.9036503,0.9783969,0.7543508,0.0,0.8437163,0.59511316,1.2384462,1.0939459,1.1748426,0.5432448,1.12783,1.1230786,1.186187,1.1408026,1.1213275,1.3294182,1.1076823,0.6749531,1.2451729,0.7919342,0.9704542,0.69002545,1.1484684,1.0084263,1.2118322,1.1166207,0.9885373,1.1920878,0.81903845,1.1659064,1.0591444,0.8091897,0.6207248,1.1389744,0.70664567,0.7370182,1.2621243,0.892046,1.0959347,0.9805641,1.1507777,1.3090582,0.6926122,0.56977904,1.2180218,1.1897249,0.9771215,1.3893969,1.2685368,1.1063775,0.6622093,1.1893823,1.0735828,1.2860506,1.0065924,1.1337423,0.82112384,0.8843343,0.9107318,0.9892062,1.0316657,0.78828645,0.826025,1.2614549,1.3688309,1.2114218,0.7600931,0.75380474,1.1263793,0.9520797,1.2153207,0.7345643,0.7790662,0.93463016,1.2297167,0.7703923,1.270988,0.5087654,1.25369,1.1743463,1.27173,0.9162441,1.2485634,1.0869048,1.2101713,1.0668454,1.2242209,0.71759355,1.0404274,0.9130533,1.0727122,0.99792045,0.9147388,1.029431,0.8592168,0.97061205,1.2304233,1.249266,0.5852012,1.0541238,1.1589171,1.1365342,0.85764116,0.67460394,1.241932,0.9999781,0.7941581,0.6690574,0.89775425,0.74788743,1.027113
can,1.6008334,0.6949035,0.59265816,1.4328624,0.6148085,0.75912225,1.2772061,0.74422073,1.3338251,1.3820901,1.4907479,0.5898013,1.1673969,1.4254856,0.8007567,1.5148184,1.0847605,0.44556546,0.71182585,0.44946414,0.79190993,0.531838,0.3821342,0.8437163,0.0,0.55823934,1.2364879,1.1235707,0.7301544,0.51758003,0.8823969,1.1711489,0.90681154,1.209675,1.3339003,1.1996233,0.99009776,0.4496708,1.2058932,0.44516987,1.3866416,1.0946684,0.7680124,0.5566649,1.3367662,0.94195396,0.91140544,1.2128663,0.9075215,1.3130649,0.8852958,0.73620915,0.49219817,1.3137162,0.651584,1.4444696,1.4316044,0.6014763,1.2947474,0.9003274,1.2640607,1.4098643,0.64099103,1.2299854,0.8436169,1.2923307,0.9201809,1.4422638,1.245341,1.042791,0.47046137,1.2770084,1.0547099,1.5745715,1.0030386,1.0869516,0.78734475,0.5873276,0.6161516,0.5304636,1.1852969,0.6424557,1.0550818,1.414423,1.4320016,1.4628503,0.4451803,0.44273907,1.1740928,0.50477004,1.2097449,0.87615556,0.6438856,1.1067566,1.3626058,0.35024285,0.7731847,1.1171165,1.2982445,1.4739335,1.3756487,1.1428791,1.0488244,1.1553956,1.2533369,0.6068339,1.3925774,0.471367,0.8997117,1.0984918,1.0069473,1.1106155,0.60192007,1.0250045,0.8060058,1.1041782,1.3428032,1.2186376,0.53861797,0.7916992,1.2753422,1.3897038,0.619711,0.7926271,1.1601237,1.0238347,0.8505699,0.62755954,0.5698091,0.58911014,0.98002553
car,1.3829231,0.83261526,0.75275624,1.5153528,0.66761094,0.7204412,1.2026701,0.8889998,1.3256612,1.2161429,1.3769312,0.85016763,1.261668,1.4076908,0.7941624,1.4104187,0.8714358,0.5246069,0.7065738,0.7623067,0.9651962,0.7550429,0.5221281,0.59511316,0.55823934,0.0,1.3998388,1.1354501,0.8499533,0.47116488,0.9674091,1.2091099,1.0510385,1.1565235,1.2374022,1.1845036,1.1909547,0.64697534,1.125831,0.5951493,1.1927925,0.8441251,0.95813423,0.93413264,1.3497565,1.1527762,1.068174,1.2593881,0.8418535,1.2406292,1.1011276,0.8494344,0.41631436,1.3609861,0.73137724,1.0157101,1.3581845,0.85427046,1.262052,0.90533924,1.2258223,1.4485533,0.7183036,1.0441746,1.0769817,1.292615,0.9032987,1.5145926,1.4241924,0.9235823,0.5994572,1.2657996,1.0349016,1.4550688,0.73511183,1.1549981,0.8558022,0.7386192,0.9363077,0.8115506,1.0685198,0.63827604,0.86403054,1.3235774,1.47347,1.3201764,0.677833,0.7047874,1.2589133,0.71051466,1.2401774,0.7050485,0.6934259,1.0115316,1.2145971,0.41172993,1.0901624,0.8012161,1.3188741,1.2216375,1.402976,0.9212742,1.1908785,1.1835076,1.28391,0.81338453,1.1075306,0.64259374,1.0574033,1.032821,1.2046932,1.0436704,0.8137002,1.0945776,0.6868319,0.6818041,1.3544556,1.1309141,0.63925296,1.0973718,1.3183191,1.2407852,0.6761497,0.42180645,1.1438609,0.7786208,0.5941804,0.23834479,0.7223002,0.7020365,0.87419015
carrot,0.809958,1.0562718,0.9945911,0.76693684,1.1090969,1.1424866,0.73461205,1.14579,0.99296594,1.0390606,1.0004965,1.010107,1.029246,0.85296726,0.9913543,0.8986108,1.1262437,1.2772971,1.2585934,1.1957932,0.8001797,1.1962619,1.3438358,1.2384462,1.2364879,1.3998388,0.0,0.8506204,1.264866,1.3143119,1.181122,0.9324418,1.1384934,0.908687,0.8764235,1.1019429,0.6588192,0.98493624,1.10217,1.2500881,0.9072878,1.0458206,1.1670163,0.9856155,0.94742495,0.85481113,0.9028187,0.8938302,0.82887423,0.84852886,0.67093205,0.8776072,1.3469974,0.8338248,1.0837935,1.0528948,0.9529327,0.85640544,0.8866367,0.9233487,0.87015885,0.63223165,1.0922977,0.9845083,0.9665487,0.9729758,1.0033509,0.8144622,0.673143,1.0968819,1.2383826,0.9336954,1.0487916,0.85927206,1.2803428,0.8716195,0.9795835,1.2514756,0.8257385,1.0211277,0.8338296,1.3200722,1.1109262,0.8781797,0.8822379,0.90121144,0.99559414,1.0023152,0.7311957,1.1791886,0.772354,1.2180725,1.2071184,1.0646793,0.9554771,1.3290285,1.1246454,1.1035286,1.0194889,0.97096497,0.94134706,1.0859019,1.0183649,1.0100708,0.9747674,1.1712503,1.0606496,1.0739012,0.88248193,1.0132709,0.8008297,1.0347184,1.1539037,0.75818855,1.1797663,1.2586809,0.9495783,1.2056278,1.0823039,0.71688366,0.72190225,0.7636112,1.2792491,1.3587835,0.9821399,1.0811648,1.3123765,1.3203969,1.2365122,0.9833089,1.2357811
