,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.245844,1.2657118,0.874282,0.570644,1.1602912,1.0203983,0.9192785,1.0493962,0.5995994,0.53886473,0.5023608,1.4389756,0.6065892,0.5260518,0.7840561,0.43999994,1.0994892,0.821412,1.4833255,1.1293995,0.9559256,0.9708098,1.3481578,1.3068842,1.1069002,1.581068,1.3253577,1.037133,0.53066015,0.9820113,1.5592254,0.88077915,0.67851603,0.7266108,0.7456602,0.7036961,0.7799835,1.5119433,0.7181709,1.5032458,0.43403673,0.7363576,1.0838239,1.1597868,0.71406204,0.9830547,1.164022,1.3928692,0.77635694,1.0525699,0.90636027,1.3603767,1.0039823,1.4120054,1.3435805,1.1247894,1.3726323,0.840904,0.6704335,1.5603486,0.8947544,1.264094,0.95504725,0.9259826,1.4582374,1.0214362,1.2493949,0.9909137,0.65761256,0.56828827,0.94627714,0.8650329,1.5011053,1.2766905,0.8924443,0.7568415,1.0575502,0.62665486,1.0290463,1.3871073,1.1696099,0.8148665,1.5195773,1.3101864,1.4509213,1.3330797,1.4403424,1.0139705,0.5907963,0.49551046,0.7496017,0.50427157,1.4170656,1.4003077,1.0498866,0.8162713,1.32968,0.75764304,1.1356268,1.4590023,1.0976131,1.179161,1.4468153,0.9721513,1.4324253,1.0149667,0.8020855,0.52583694,0.7454293,0.8674269,0.69466245,0.84028876,0.9682983,1.2325305,0.8338268,1.044044,0.5924812,1.5153883,0.79356194,1.3987312,1.1266664,1.0671734,1.126132,1.1065596,0.88665164,0.9024038,0.6272543,0.73211753,0.49937326,1.426732,1.5291319,1.4294622,0.9704162,1.186326,0.98519415,0.7108964,0.9451171,1.0608817,0.9924359,1.1924351,1.4786985,0.93304473
ankle,1.245844,0.0,0.8706856,1.1241719,1.3071986,0.9677655,1.0711845,1.165979,0.7725491,1.2196501,1.2320385,1.2942972,0.7576003,1.240027,1.2383002,0.9080394,1.2139415,0.76517737,0.8816276,0.69617444,0.99763036,0.85216594,1.1515837,0.8339655,0.7207004,0.72097874,0.6988511,0.72863996,1.1027919,1.3030545,0.9641951,0.71854055,1.1743329,1.3057207,1.1925637,1.012816,1.2658056,1.1594741,0.7600354,1.1870601,0.73922276,1.1933279,1.0372841,1.0546582,0.83788437,1.2505499,0.80416656,1.268678,1.0333757,1.0883886,1.2013038,1.2516632,1.0322063,1.0613166,0.79399985,0.7110933,0.19842726,0.736645,0.88907546,1.2612187,0.9104903,0.7737855,0.870005,1.2400147,1.1509206,0.80412287,0.8693042,0.72174037,0.98972094,1.3057287,1.3000321,0.9841406,1.1920661,0.65905553,0.99209774,1.1005071,1.102942,0.8701289,1.1548252,1.0085028,0.76408,1.1859772,1.2250639,0.89536643,0.6941018,1.0244808,1.1665785,0.87506515,0.99055195,1.3316069,1.3141673,1.180002,1.1533597,0.5778146,0.6505466,0.9900774,1.1120789,0.7791821,1.0349481,0.77850115,0.76656055,0.76825285,1.057346,0.87924707,0.6564981,0.5467439,1.0428317,0.9184007,1.1916491,1.3223572,0.9655859,1.3244035,0.814114,1.0948327,0.7309068,1.2393668,0.92805856,1.2712532,0.630391,1.1291466,0.618467,0.2360102,0.93344885,1.0668005,1.3124403,1.0626628,0.91919214,1.3479251,1.1775658,1.2022886,0.84087765,0.9683367,0.90824115,1.0732621,0.7032411,0.835598,0.9918339,1.0726842,0.7705884,1.0873636,0.92716545,0.9679234,1.1609588
apple,1.2657118,0.8706856,0.0,1.1325994,1.3564664,0.508959,0.79678786,0.7245001,1.1560583,1.4435508,1.2674994,1.3955014,0.62467885,1.4668113,1.338903,0.8552811,1.3379798,0.98631424,1.0567598,0.60462725,0.9108432,1.2462549,0.87499535,0.9506003,0.85050464,0.7774602,0.89412004,0.9264003,0.9477629,1.2517347,1.2359488,0.65148425,1.3303093,1.2969607,1.2844477,1.2412959,1.3768722,0.9721214,0.53288233,1.4132161,0.62402886,1.1820263,1.0787677,1.3005838,1.1516953,1.3877034,0.9381669,0.9331684,0.50855577,1.1967252,0.954003,1.1712315,0.7967993,1.1074555,0.5890398,0.6645169,0.9632613,0.8984428,0.58829004,1.1890819,0.67717147,0.93381983,0.46346664,1.1621928,1.1666477,0.58913696,0.9524373,0.7030022,1.0484201,1.3198242,1.3410146,1.1814594,1.4194998,0.7660089,1.0404667,1.2430476,0.5843805,1.0998998,1.0416064,1.1012392,0.71500623,0.8971071,0.8687928,0.5151187,1.0254784,0.8646662,0.92952013,0.36097646,1.358957,1.234595,1.450602,1.3041506,1.2982366,0.7539032,0.7590821,0.44861293,1.1075784,0.87727106,1.0647517,0.9249666,0.630006,0.79252106,0.5705431,0.42827487,1.1054922,0.7790296,1.4272326,0.9761648,1.2175099,1.327455,1.1224293,1.3865252,1.1630137,1.272693,0.85350436,1.3531182,1.1437585,1.0900786,0.6177677,1.1890515,0.6761671,0.96273184,0.7401078,0.917866,1.0266129,0.8996308,1.2926908,1.3375604,1.1679312,1.4612556,0.49446338,0.6647988,0.57719254,1.0387546,1.091769,0.58904684,1.1623448,1.1284486,0.8928817,1.0572064,1.1929853,0.6707256,1.284311
applesauce,0.874282,1.1241719,1.1325994,0.0,0.75467336,0.91811055,0.86170894,1.0294265,0.9258644,0.7528088,0.9260402,0.82925206,1.2638361,0.91418606,0.9111116,1.1367315,0.91628593,1.1139562,1.0052472,1.0678946,0.73341453,0.9497079,1.1207495,1.1966699,0.94285184,1.1862098,1.1996131,1.155808,0.9973998,0.8914951,1.0845802,1.1670285,1.0129677,0.9938281,0.7874596,0.94006586,0.98796433,0.94187164,1.2941618,0.8350823,1.0820264,0.93386954,1.0730032,1.0238508,1.0560051,0.8387859,1.1184344,1.1055521,1.0913723,0.8805457,1.0926682,0.8993438,1.1300488,1.0439936,1.0874753,1.1328464,1.183874,1.1410617,1.175927,0.47643507,1.2313725,1.0875778,1.040406,0.97802925,0.86155784,1.2717637,1.0177338,1.2257197,0.9331262,0.9750045,0.8483489,1.0074881,0.92850447,1.1067743,1.0669683,0.7814274,0.7818117,0.99660635,0.8942497,0.90225035,1.1454213,1.0203651,1.1002829,1.2036996,1.2227986,1.1749132,1.046308,1.2109555,0.93099606,0.9569791,0.7893688,1.0243886,0.8187847,1.2633634,1.2730354,1.116081,0.9032675,1.2985966,0.99840736,1.064625,1.1417966,1.1882246,1.0374001,1.1413673,1.0588192,1.1384757,0.9546163,1.1181927,0.8270128,1.000562,0.9324365,0.88183475,0.9481639,1.0101842,1.0028088,0.8323584,0.96234965,0.8396417,1.2972027,0.91652733,0.99287134,1.1760277,0.7579498,0.9985298,0.9865394,1.0666816,0.9926085,0.943126,0.9370173,0.71279776,1.1590247,1.2233787,1.2292707,0.83364475,1.1747605,1.0636543,0.81660855,1.0382099,1.0946002,1.1297675,1.1537573,1.2546599,0.8618219
arm,0.570644,1.3071986,1.3564664,0.75467336,0.0,1.13308,0.9608713,0.8628757,1.2720929,0.5836981,0.8037077,0.5782786,1.4400805,0.5639295,0.552109,1.1191118,0.5680078,1.3240676,1.1243694,1.5114714,1.1801852,1.0542669,0.9847367,1.3096725,1.3457124,1.3716533,1.4352465,1.4545372,0.80438817,0.72872627,0.9751536,1.5581617,0.8104241,0.62487376,0.7181687,0.71863484,0.6553688,0.75871354,1.4706416,0.77209496,1.4739299,0.8409929,1.1145396,0.9477506,1.0577008,0.47619897,1.2229806,0.90313244,1.1640953,0.72892255,0.9058756,0.7133554,0.96368617,1.1114403,1.4376482,1.4549885,1.1713018,1.3431187,1.3622538,0.60322356,1.3794688,0.8283299,1.2847184,0.78794426,0.4755057,1.435423,1.1951427,1.4699643,1.0424305,0.57143414,0.34025228,0.7861358,0.7926818,1.5055811,0.8570663,0.64191216,0.882004,1.121896,0.47480994,1.0003972,1.4469907,0.9503665,1.0387253,1.4017537,1.2123545,1.1185359,0.99892116,1.3892636,0.93294173,0.6617193,0.3591075,0.5235085,0.71191174,1.4988335,1.4321704,1.0814651,0.8596723,1.1831204,0.99751014,1.3232778,1.4739909,1.386132,1.1840711,1.3672396,1.142585,1.5508873,0.8239479,1.3222971,0.63226706,0.5711366,0.9018183,0.3832991,0.8229357,0.6998291,1.2466229,0.67580825,1.0658319,0.75480694,1.4403721,0.81030643,1.454391,1.0781735,1.0786406,0.90106297,0.9116997,1.071542,0.97485024,0.5053009,0.8771671,0.5759027,1.4746566,1.1451085,1.3080063,0.8010938,1.1692951,1.4018205,0.9783356,0.9201658,1.2691897,1.1565213,1.1234362,1.2873977,0.8585861
ball,1.1602912,0.9677655,0.508959,0.91811055,1.13308,0.0,0.098158,0.9112145,1.0862328,1.1322969,1.1465712,1.1239542,0.99291766,1.1495614,1.1880966,0.92875874,1.1107819,1.0119374,1.1091616,0.8433037,0.733163,1.0252736,1.1023393,1.0147729,0.8481456,1.0361081,1.0420299,1.0768236,1.0592782,1.1997607,1.0049006,0.8880975,1.1179245,1.1361454,1.1501918,1.0952128,1.1463132,1.0956198,0.9531103,1.1730508,0.863413,1.0687943,1.0090121,1.1527942,1.1765066,1.1947949,0.8622464,1.0412651,0.47873008,1.1720786,1.0581715,1.083965,1.0344517,1.0880749,0.90985644,0.9089925,1.0347648,1.1310445,0.9631566,0.95844734,1.04748,1.0829293,0.8441919,1.0508269,1.1389914,0.8356483,0.95307505,0.8845812,0.9034378,1.1282731,1.0365655,1.2747152,1.2346023,0.92821646,1.0056591,1.1426159,0.8083339,0.9383469,1.0215628,1.0244236,0.9565801,1.0204616,1.0360062,0.8108935,1.1695513,1.0957274,0.99781626,0.5316552,1.1269884,1.1634519,1.2576736,1.0831767,1.128571,1.0103534,1.0229796,0.9799037,1.1215938,1.0509095,1.0825797,0.9687394,0.9966272,0.8518404,0.76267445,0.4858265,1.0418766,0.87627727,1.2561886,1.0437795,1.0925481,1.1418924,1.0657732,1.1861237,1.0149753,1.1520464,0.8762096,1.20275,0.97052026,0.9206009,0.9637717,1.2291769,0.76404154,1.029867,0.90310603,0.8516094,1.153495,1.0454795,1.0893632,1.1242778,0.9694661,1.1302333,0.73208153,0.9168017,1.0112766,1.0651817,1.1526375,0.6825799,1.0956124,1.0828154,0.95264816,1.1268159,1.062606,1.0184592,1.1240319
balloon,1.0203983,1.0711845,0.79678786,0.86170894,0.9608713,0.098158,0.0,0.9856944,1.0726551,0.94152963,1.0476493,0.93947214,1.1451792,0.91635215,1.0296986,0.96549946,0.9359465,1.0342933,1.0754645,1.0724071,0.76719445,0.94503504,1.1746638,1.0769936,0.94636446,1.1777469,1.1203314,1.1338413,1.0741601,1.1011221,0.85160595,1.0913699,1.0076184,1.0326588,1.0018011,0.98365146,0.9546839,1.0799848,1.1648873,1.0000502,1.0713581,1.0000467,1.0146708,1.0590563,1.1033695,1.025303,0.9002751,1.0530927,0.6911981,1.1208872,1.0240897,1.0369143,1.1169387,1.039168,1.0475173,1.1293119,1.071201,1.1949092,1.067904,0.8414762,1.2269669,1.051714,1.0389186,1.0076243,1.0586271,1.0636009,0.99311364,1.0738839,0.88513803,1.0025867,0.81661373,1.1699052,1.0653028,1.0858494,0.9949502,1.0384351,0.8416246,0.95368165,0.8987077,1.0035787,1.091991,1.0406735,1.0998,1.0747142,1.1727505,1.1720679,1.0394102,0.8449681,0.9882638,1.0462363,1.0643716,0.90977335,0.9922012,1.1586304,1.1641005,1.0545763,1.111521,1.0695977,1.0618243,1.039581,1.1562281,0.97491485,0.8871669,0.7967671,1.0226995,1.0254604,1.085111,1.1003603,1.005928,1.010081,1.0169703,1.0244625,0.92521155,1.0224396,0.9323543,1.0680928,0.92022806,0.797508,1.1636145,1.1582948,0.95610064,1.0506957,0.9821349,0.8826645,1.111155,1.0734634,0.9599627,0.9858596,0.84894496,0.91556764,0.95435745,1.0871664,1.1893346,1.0267631,1.1362135,0.85242546,0.9884711,0.99982196,1.0293454,1.066077,1.0031718,1.1836352,1.0120056
banana,0.9192785,1.165979,0.7245001,1.0294265,0.8628757,0.9112145,0.9856944,0.0,1.0555992,1.1333086,1.0101423,1.1410099,1.1882879,1.1682174,0.9599515,0.9847488,1.0550071,1.1243103,1.178212,1.0975438,0.9436939,1.223901,0.74828887,1.1464989,1.0197105,0.95806086,1.252818,1.2487026,0.71562576,1.0148879,1.186584,1.1206638,1.1540745,1.0654957,1.1454841,0.95021236,1.1496176,0.49213016,1.0866644,1.1619971,1.1021502,0.9201902,0.97069347,1.205396,1.2554388,1.021113,0.98646384,0.78631437,0.76717025,1.081295,0.9992245,1.0148529,0.8759687,1.1593192,1.0929177,1.0332838,1.0653672,1.1579216,0.8547013,0.90181184,1.0728772,0.7313098,0.7889684,1.0313144,0.7477567,1.0529556,1.1584967,1.0454873,1.0088665,1.0682675,0.9366243,0.9601706,1.1017195,1.2113842,1.0031533,0.97998434,0.6617361,1.0744855,0.5420921,0.8522942,1.0823419,0.9105773,0.8532764,1.07259,1.1037762,1.0229878,0.94866097,0.90299827,1.2600151,0.93780845,1.0176104,0.9741507,1.0497812,1.2248755,1.1719679,0.59966505,1.0485468,1.1866376,0.9312043,1.0850605,1.1021765,0.992807,0.751822,0.9418044,1.0517367,1.2046565,1.2604703,1.1371319,0.6458126,1.0246389,0.85525787,1.0428007,0.8714487,0.98028696,0.8456366,1.1593702,1.0383407,0.9830093,1.0811355,0.9402745,1.0243684,1.0457971,0.8820055,0.52179843,0.9717216,0.92730534,1.0495346,1.0281676,0.89823914,1.1279523,1.0032198,0.95973384,1.0320019,0.7248296,1.1546715,0.79096043,0.978376,1.1065782,1.015972,1.1498219,1.134969,0.9970147,1.2808356
basket,1.0493962,0.7725491,1.1560583,0.9258644,1.2720929,1.0862328,1.0726551,1.0555992,0.0,0.6855217,1.1146915,0.8879932,1.1550831,0.84347653,0.9853434,1.1205862,0.9207338,0.7263646,0.8138229,0.9010773,0.5735824,0.51216865,1.2406932,0.94253117,0.44524008,1.0223484,0.85393214,0.6459896,1.0773027,1.2393749,0.64698946,0.98687804,0.8756463,1.2625787,0.80110186,0.91034657,0.92355365,1.0137807,1.144084,0.6182327,0.9170774,1.0600044,0.9501138,0.87700105,0.76286024,1.1741699,0.87941957,1.3784096,1.2641315,1.169557,1.3355021,1.2717695,1.3411863,0.9479394,1.0827127,0.9424958,0.85440165,0.96155214,1.0225604,0.93508285,1.2701968,1.0114468,0.98593515,1.262686,1.2365758,1.1759363,0.9342474,1.0375732,0.79708415,1.2508397,1.220109,1.024068,0.71007824,0.9138583,1.2214826,1.0563643,0.9866816,0.80072886,1.0918267,0.8738683,0.98144686,1.3276542,1.265451,1.2263479,0.7218416,1.3304038,1.3212516,1.12422,0.7656093,1.2083716,1.1149219,1.2810209,0.96494496,0.89399254,0.94653773,1.0246444,1.1394118,0.9447936,0.9329721,0.8071431,0.8613348,0.94667083,1.0747167,1.1407907,0.71455836,0.71814686,0.788344,0.9369573,1.0247093,1.294841,0.8826769,1.275114,0.9355099,1.1324719,0.69736874,1.0063387,0.6203891,0.9705924,1.1296687,0.9260062,0.77257496,0.84635353,0.9032151,1.0567635,1.2120802,0.94207156,0.59820664,1.2802854,0.969915,0.77988935,0.96808445,1.3647213,1.2632043,1.0027462,0.64274395,0.7002809,0.56773394,1.0250692,0.7655134,0.90322256,0.8563319,1.2743604,0.9523227
bathtub,0.5995994,1.2196501,1.4435508,0.7528088,0.5836981,1.1322969,0.94152963,1.1333086,0.6855217,0.0,0.730888,0.25410652,1.4573103,0.27047646,0.59230006,1.1338007,0.40550685,1.0915501,0.9443888,1.4751687,0.7303194,0.71439177,1.333215,1.2219179,0.9415862,1.4158671,1.2959611,1.2811517,1.1987956,0.76977646,0.64266646,1.4702165,0.44932544,0.72640616,0.3869689,0.7461495,0.38425446,1.0347648,1.5521088,0.40311152,1.374807,0.8393858,1.091933,0.7122493,0.81193405,0.6900752,1.0667288,1.2594993,1.38169,0.80341756,1.1163327,0.9371697,1.4475504,1.0049328,1.447777,1.3805969,1.2022748,1.3319584,1.3723892,0.47043133,1.6116924,1.1952231,1.4595966,0.9943463,1.0436773,1.5837772,1.1495719,1.4638689,0.84123385,0.6887062,0.5450834,0.86605525,0.57989186,1.3739638,1.2128544,0.90220153,0.9121408,0.9073971,0.86960137,0.9761633,1.5079817,1.1993482,1.2192786,1.5428083,1.1038511,1.4806268,1.3432112,1.5081545,0.6447805,0.7427908,0.51774853,0.72217304,0.6818669,1.4037604,1.3651569,1.2734103,0.9112033,1.1767049,1.0029275,1.1677016,1.3269105,1.3222327,1.2250037,1.525456,0.93115413,1.3279932,0.57071,1.207328,0.76177216,0.7937972,0.7508478,0.6613153,0.9367987,0.96589434,1.1560261,0.46538717,0.49056327,0.56450576,1.595267,0.7155953,1.3058144,1.2018789,0.8890663,1.1143835,1.0534338,1.1675869,0.71476525,0.6847217,0.7092159,0.21727705,1.3880923,1.5804,1.5318041,0.9982294,0.99256533,1.1789984,0.62254614,0.89368296,1.0770758,1.0534115,0.92701083,1.5732028,0.67393243
