,owl,elephant,bear,cat,giraffe,alligator,dog,pig,rooster,deer,pony,horse,penguin,duck,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,eye,nose,ear,mouth,tricycle,motorcycle,stroller,firetruck,truck,car,sprinkler,lamp,helicopter,hose,swing,slide,crib,table,bed,couch,bench,drawer,sink,bathtub,boat,snow,grass,tree,window,shower,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,broom,stick,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,strawberry,apple,egg,orange,pumpkin,ball,balloon,raisin,nail,watch,slipper,hat,glasses,necklace,corn,banana,pickle,melon,applesauce,gum,carrot,potato,bread,muffin,cookie,pastry,meat,sandwich,hamburger,pizza,cracker,toast,chips,pasta,rock,glass,comb,tray,box,book,paper,coffee,soup,sauce,dish,plate,bowl,milk,jar,bucket,can,radio,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin,cloud
owl,0.0,0.6159197087852342,0.36917312276146863,0.40619084160433605,0.8447929802431564,0.8416447783585811,0.6120301603015257,0.7469157236656201,0.7780712350488143,0.9065665577779917,0.8126554611554472,0.9420062819805163,0.8148633689186641,0.5849915759019018,0.5663876862923297,0.8802522008081871,0.8191879871310164,0.8264336954118935,0.7420592532084217,0.7557580010707872,1.0301171745899511,0.9347763235378358,1.142793448191112,1.1969939937280338,1.2897608606465072,1.203224203526963,1.1832100934326049,1.134379839566902,1.0315721374330153,1.0392705908076312,1.0940650678317425,1.0195231679982975,0.9043042385494962,0.8985574247079969,1.0281369876754387,0.7723260859724665,0.9057884394342559,0.9749685070575007,0.8297500358252241,1.2435744541674336,1.066141399972165,1.0109196057467928,0.8951239472629101,0.9250710549245005,0.975097261699796,0.8742874384613196,0.8255903464962229,0.8826370883842383,0.9861994318876434,1.2804245736146118,1.2861467008759142,0.9627638669515759,0.9407963671265741,0.5238531023016604,0.6391498935370432,0.7890469549094861,0.9372630577325933,0.9076236451603011,0.9506079636981568,1.0811927900178346,1.1697072534282624,1.0907759768527037,1.2216174300031635,1.1731270261977809,1.0990538128622052,1.1838380811677838,1.3782605365555605,1.3242934363594296,1.332546566550634,1.2713746372314083,1.33158088801919,1.2420888529495304,1.3732142654161996,1.2991631761390574,1.2913239848622684,1.3341689215675687,1.2683446100219178,1.0779937794313783,1.2439615016828969,1.258520617866102,1.283162120017343,1.3329776517770697,1.163491390378762,1.1661971982900554,1.1190779275640876,1.1557475604903988,1.1020417225211836,0.9703493251644301,1.181336370802164,1.0996435583961477,1.1204534741222987,1.2914318098887612,1.2622719797084248,1.0939456403475023,1.1664393058905576,1.2486217615668942,1.0668028201401938,1.060098073802945,1.167494427386188,1.1590241261844523,1.0453830095709018,1.070202079179534,1.1729010992062219,1.0312559661343677,1.0546368254145286,0.5906841279028241,0.9761881536505962,0.8462840898442061,0.7832223154578501,0.7899575866441912,0.771263291670347,0.950388507631625,0.818531007671628,0.9354015015149759,0.9649772425061913,1.0235813335878494,0.4786544970381139,0.8104554371164469,0.7480833717242049,1.0909726460460916,1.1487773154024947,1.137551422120848,0.9289602130750843,1.2393406555363358,1.0012852886607786,1.1311887946245263,0.9851628442416751,1.2142936589766036,1.3249418641559663,1.1254959015042958,1.1948821504827172,1.3736089885112555,1.432578152031596,1.247157744688134,1.1650286561321526,1.0053066060831222,1.0405177538437549,1.0175472682144746,0.7828706275775631,1.0012435963170458,0.9639696798750698,0.8979100866488804,0.9957113811960935,0.7985752960925168,0.8477286205694599,0.8416876950481248,0.6908424631894328,0.8824229412260267,0.847361491641253,0.6937840280250334,0.70098416173576,0.8117223147953138,1.0468476365338755,1.1475456101050676,1.0433082933379512,1.083627727310684,1.1674503870494295,1.2760289825582778,1.3025693692387026,0.9229346914092035
elephant,0.6159197087852342,0.0,0.3489129514966115,0.3698239122907605,0.9468270549382004,0.900539016199284,0.6671794038456579,1.0418866568756242,1.1933044395481354,1.1051492789274189,0.9291444561974233,1.1155385417883936,1.0742810567270327,0.9809208231763894,0.9652875931793736,1.3750382909606487,1.3082863695564817,1.1344326527991755,0.7684736758361247,0.8271385206863273,0.9025518123773784,0.5673795997149422,0.87624398498643,1.0727821213754316,1.1726177393741222,1.1224579119452835,1.1558947205820935,1.2422950058427817,1.1344951325774975,1.1201871200786744,1.1207556236192238,1.086928288727112,0.9446141969995367,0.8268795857302977,0.8863415112405562,0.7510085185088213,1.0827522063952666,1.2166830072883528,0.8407130429671206,1.3034209033801472,1.0958496608972386,0.9191950676069138,0.7209743922140939,0.5323867434875719,0.8552144331005165,0.7185650126155403,0.5231023093758611,0.5765431741898935,0.6778925821010445,1.3033076975603024,1.129388699898382,0.6824226298944129,0.8600721618409248,0.36302758510887556,0.46208315660216104,0.6791471438401792,0.8163958701311889,0.6640746377345488,0.7290613478948194,0.9176659994324253,0.889656922945822,0.847029434277854,1.1126883646895773,0.8876336605513208,1.098989803514133,1.3101397367376943,1.4155886979870225,1.2667604836348776,1.2711007724446994,1.2227707081682977,1.3132720357791325,1.4009186489054497,1.4680435675815402,1.390518256081095,1.3562950029254923,1.3999503868074927,1.2533155898803177,1.3627515602756155,1.4445388455660404,1.3498480612862824,1.383381587460919,1.4096652363252669,1.3762529439991265,1.3506338606679205,1.2772486956519236,1.3327979352360169,1.2029845142919762,1.2358465811033341,1.3425076268359806,1.2862948211405538,1.230045795665859,1.283553869057268,1.3089618201215396,1.2672368020177793,1.2870283291877076,1.2345862302229458,1.197698862152873,1.2660780528488087,1.3224044431753428,1.2237930162125203,1.1039084004954467,1.4186956350375277,1.2727419746734432,1.17480035376383,1.249215762151341,1.0234278797370773,1.334298006509489,0.8686296230496179,0.9229503196279534,0.7981962540944844,0.9221867842834003,1.1597042241729316,1.169446516168753,1.001358096124263,1.1259312531297068,1.1729604060830965,0.3353684880789094,0.9175394202698406,0.9058142623122533,1.0752987489110573,1.1079234317674918,1.232084007789118,0.9221818926955275,1.203308547568059,1.1245190247906507,1.3277268894699943,1.116061525399652,1.3485878271823002,1.3959668645995467,1.1344888306557577,1.3147796457443421,1.4176517700287503,1.3987807506440983,1.378633380477475,1.3378219115009218,1.1894394162298159,1.3286703739120573,1.3757969553695455,1.085603549017675,0.6126922283153788,0.5009404061699507,0.4005710551352384,0.8259867906681556,0.4656118783937464,0.46392339709893515,0.493242309089269,0.6366567895418414,0.6040739333603604,0.49956572760398443,0.5950043911271583,0.49215099901427983,0.7573625523779628,1.0281849332440938,0.9027851893555319,0.9550279576746588,1.0463836317725048,1.1215827438084702,1.153657886133405,1.1985976823924689,1.0400117118141683
bear,0.36917312276146863,0.3489129514966115,0.0,0.34407010838286745,0.9886164232919362,0.8590907066218214,0.6484888383751077,0.9101952157377075,1.0436665842635848,1.0115203629552252,0.9025624562640613,1.038618603125012,0.9524794897188462,0.8297674362831352,0.7659732071332617,1.1465950024594382,1.0482245535245935,0.9627904933881728,0.7638121048333073,0.8082485508518442,0.9961984747560478,0.7416228265298428,1.0978504847587742,1.1384385473198089,1.2219583855869651,1.1750834344232246,1.1897191235501667,1.1462011100373448,1.0411434035519664,1.0325225458254894,1.0956810305630553,1.0234372440085409,0.8928021418482603,0.7970560975716697,0.9125327744511631,0.7275573922652148,1.0628076076578306,1.1453566856729853,0.8288076177304178,1.2995502044981186,1.091952807931555,0.9121698536627545,0.803200713333557,0.6206586608585891,0.9006245223275949,0.7343951491875154,0.6304528806452872,0.7277099443396069,0.8704144720183451,1.302875486991863,1.1850275732768172,0.7787900743271399,0.8153044788471904,0.3965686452080399,0.5709821633819805,0.752928920185111,0.9538921607040576,0.8354721943319576,0.8913085298668337,1.0856127994857336,1.0575378472762624,1.0353672341328095,1.2743002260597458,1.08827222259408,0.9795248012005957,1.160854435510998,1.3772957883224226,1.3114073765182315,1.2911046480037862,1.1836385851727949,1.2708571295769868,1.3349640055972785,1.3683462801802873,1.316757252781907,1.2950820389154014,1.3405538949246998,1.2408796384420504,1.2227656180085718,1.3377942661789248,1.3173312070040248,1.34582048980715,1.3690985143753682,1.2975082493628343,1.251690329416098,1.1600196256249422,1.2339322369537649,1.1713564233345117,1.048659555521206,1.231038557828914,1.149806948149715,1.1638709467860369,1.2585201453193045,1.2692857144394993,1.157215053478781,1.207519364547408,1.2130389110471762,1.1246307204271764,1.1679026422337613,1.2050331258757516,1.1772345609941737,1.116497018436316,1.2529975149157573,1.1743199711032073,1.12040362406472,1.2290928662268705,0.8464397237143821,1.2023588293645855,0.9238735332898289,0.965295413516133,0.7973407597866288,0.9074538394340481,1.1421475515131392,1.1036625970238656,1.0426731808507086,1.1202992801235072,1.1636854301715218,0.31243865873362875,0.8561263600754463,0.8710076357342138,1.0238978882499545,1.096070081212881,1.1623814634418186,0.9016627291194087,1.2316038964351255,1.0982479447207274,1.224830416339028,0.9995683839556698,1.2601993626086836,1.3292075412245445,1.0872808040592594,1.2713909686017169,1.3735500463606167,1.423691489256242,1.332803476053976,1.3623546047542485,1.185590150052569,1.2323614301542403,1.1272680574590108,0.861773911435973,0.8387129448902885,0.7635848675599062,0.6323953603380081,0.9740518399339654,0.5366145240793445,0.618152236115386,0.6469633758645655,0.6479894727521753,0.6915956084918352,0.6232523868820485,0.5534699358449897,0.5550218336479507,0.7522341217388016,1.0529278833649907,1.0218720790194626,0.9857869928558504,1.0434333913372436,1.207799938672617,1.2423183834345966,1.2762672945488847,1.0354572267219715
cat,0.40619084160433605,0.3698239122907605,0.34407010838286745,0.0,0.9114165946806585,0.7522349218083381,0.25065812163506274,0.8711850972160559,0.8967967863422917,0.9084421297507708,0.7621393220062465,1.0511787061299918,0.9842749584477942,0.6452309947459914,0.6885265508394972,1.1896555812208196,1.1516518305471708,0.934427251676116,0.6637508553271486,0.8564084031906668,0.9424546863474237,0.6836638433021878,0.872993145061689,1.1285322016644224,1.297191888316135,1.2501173351575217,1.2608291249048738,1.253256761184046,1.097087190581493,1.0457151033252996,1.163228210387551,1.113331418850314,0.8904815740128518,0.7929794257356773,0.8805362163724691,0.726453459648503,0.9578499081014742,1.1076866423539329,0.8375729380775612,1.2823825699568983,1.1048167256955628,0.8755301273249774,0.8381997054861063,0.7488475723596197,0.7934540437708109,0.7667020455902577,0.5997007824510514,0.6061286414605606,0.6460390571449535,1.2668154752326142,1.0790013153180709,0.7270405540199973,0.9352538217208054,0.43263275938801304,0.5905219414669524,0.8021499464499533,0.8007154528831609,0.703266338046233,0.7445761632833081,0.8517007000176806,0.8902236804269894,0.8516646447412558,1.0707602061523391,0.8600955475421671,1.0558093202222063,1.2931623922228352,1.3738418667697192,1.1731085862248887,1.2068279220929796,1.1799757377868212,1.2616612199950747,1.3620550760507892,1.449431231393376,1.412905032940285,1.3574086846599611,1.3990623958400135,1.278308246149554,1.3223780100509805,1.4846240432816322,1.345792669928078,1.359819275536387,1.3950080260459923,1.4126377217318948,1.384643167864676,1.3203187329483936,1.3783935487389247,1.235725588812723,1.2458316695979996,1.3775926683237936,1.2409715636629421,1.2719825867056034,1.3392736734853858,1.3298940234243206,1.247353809224182,1.2729773386836714,1.3099577339325723,1.1900844503018506,1.223965856467476,1.3289236813168201,1.2121886697001223,1.0894303545055142,1.3808446002856583,1.2937895805317894,1.2063469625264553,1.1698369022827424,0.7613558138653509,1.2717784848043028,0.7840782925392586,0.853771043765885,0.6917112602379925,0.9160151804583345,1.0572936043357912,1.000439188529201,1.0380326631001149,1.0699268660976962,1.141299022819013,0.46590729658052954,0.7768592923266818,0.786507190380807,1.0837489959236821,1.0773485673705236,1.223742294304531,0.9317012870266748,1.1713122050639064,1.0471724890800018,1.3234089011609775,1.0635534171489007,1.3102406612868829,1.382808519405474,1.0903467173130956,1.2530799652167937,1.377012329215352,1.354700616824955,1.3175937588334576,1.2527172764376595,1.0735523893959418,1.2014813489100344,1.3141153677641697,0.901452669596107,0.7820367863387421,0.7184524552032008,0.6535691455937693,0.8584530573619245,0.6544586961115346,0.6667639362928944,0.666720301254345,0.5671923762443362,0.7191614074976808,0.664478990351797,0.6524480090163527,0.5263130017953433,0.7639817624481975,0.9850359282198727,1.0298497669612894,0.9921961169520099,0.9891596103029631,1.0905042332408232,1.179183886757501,1.1931099845190802,0.9836470954874293
giraffe,0.8447929802431564,0.9468270549382004,0.9886164232919362,0.9114165946806585,0.0,1.1040846686505885,0.8404328876791151,0.9723970930218225,1.0854389431822393,1.0602328897819906,1.0116007218799647,1.0891654622371778,1.10795745215163,0.8718451372240635,1.0737778317750946,1.1480145104147055,1.0373128288327331,1.1293685828152389,0.9085325550441716,0.9002146253455287,0.8327306314310894,0.8754366939640643,1.172296257565311,1.0496785231123797,1.2400343160767544,1.0734431595059937,1.147484895311175,1.11589441007587,1.0715560975042284,1.1127337571700373,1.0913428633534867,1.0429577767733,0.8822947215519843,0.9204387343670781,0.9053118556095263,0.9263451144717728,1.0472904642830503,1.122699176242206,0.8720742069952203,1.2767764360727372,1.1245314926531882,0.9949370972454888,0.8327931461098543,0.8441793070547188,0.8058808094269411,0.6916271106425194,0.7853006555680668,0.8195712483224951,0.8476787333490663,1.0139803413767634,1.1528307370838125,0.9398866840214871,0.904822424263488,0.9222939024783662,0.9644516299537733,0.9867953423536064,0.9693127143167561,0.8881607630464957,0.8493101795748206,1.0134274514074155,0.9964722055143016,0.944072308333962,0.9508104130251077,0.944223090214135,0.9314715997756744,1.0465552728634053,1.2350975902434165,1.1705578674487525,1.2009693445376244,0.9848484175762432,1.21165482409992,1.2607868052171698,1.228327745176108,1.2839495908206748,1.2775737611975428,1.2504294674495968,1.2912641720289146,1.1860414033511288,1.1683886467858593,1.2803942585213797,1.2470620868015332,1.2363650605667815,1.1897354501129838,1.1907455997962264,1.1164175555759466,1.1784945676353153,0.9700770316764964,0.938691811604747,1.1009268617748946,1.1248547680789156,1.211151004105745,1.2054452898175927,1.2440526011503907,1.13993341518864,1.2462778128530765,1.1657471159964257,1.1985148839207058,1.0557790880720686,1.1362402620506467,0.9609885509340251,0.7940786438899399,0.8885529943477489,1.179153145842887,1.0639600842253207,1.0590517233151915,0.8150875941226747,0.9876016489336965,0.8276001089434881,0.7571072496337106,0.7237609305293007,0.709122275622962,0.8410799606289441,0.8551657418278783,0.8607311572278546,0.8117793547573835,1.015378425842935,1.0131710492516712,0.7391495975356855,0.8996222249625663,0.7855161154518973,0.8411404674048243,0.9679375098128434,0.8116109025133802,0.9591558206895019,0.8545875633585086,0.9774447322517229,0.7285792634715533,0.9974693368396286,1.1035376182271426,0.9316443564909807,1.0136837385974393,1.139201842605973,1.2812763745729727,1.1676218510381948,0.9787041805972876,1.060423696427268,1.0458438988263943,0.9410946132720676,0.880516945247838,0.9681511077202868,0.9489361997498955,0.8819966901843104,0.9347496705070689,0.9000891590671039,0.8949785016316514,0.9048298866871041,0.7067206136252346,0.9592667623950197,0.8139843389659529,0.7248316295927739,0.7597805808316962,0.6912443992604211,0.9132278446613711,0.9424778677802654,0.8779411769649753,0.8035160936468289,1.1318273606686982,1.1925666444466074,1.1905306509782876,1.0139693917361914
alligator,0.8416447783585811,0.900539016199284,0.8590907066218214,0.7522349218083381,1.1040846686505885,0.0,0.7414153051389399,0.7894172816565828,0.6661507813669916,0.6179722247180703,0.7014091738710254,0.714900858813322,0.6833602804543474,0.8097008899935094,0.4160469689619315,0.6334085259477121,0.5601674633803065,0.5445334961588797,1.1604372949499002,1.1900149294976674,1.2390772848337457,1.02976882587439,0.9924384154102801,1.1942526849968536,1.0559648216973754,1.2435602904327974,1.2304093509559686,1.0972905374744637,0.987778710350817,1.085097197627199,1.2972538304013184,1.2720971285144256,1.1204151079860305,1.1067332780950556,1.1538436519242237,0.975314988242881,0.9724107555575816,0.8018500601969369,0.8068343382700487,0.7655594504597198,0.7637912669638164,0.7740761053575211,1.0411238253123998,1.0208016967380686,1.0875736297940364,1.0835931880209553,1.0695994332832284,1.050712732857148,1.021046011949401,0.7942250476290097,0.8000995313076267,1.0113265309860278,0.9484841201096855,0.882704844657159,0.887301269600115,0.9032037958224575,0.9381730541960085,1.093966297344108,1.1380644315127526,1.063121590978451,1.0728487627603367,1.08442803091703,1.0140210822737254,1.0790285305331118,0.9520638853579702,0.7725467654067454,0.9100405548301543,0.8087975456845788,0.7603093683076487,0.9188958365443388,0.6196282193214037,0.6973373019401508,0.8574801386034152,0.889686605644771,0.7302584173954424,0.7701605312771334,0.8453671633189039,0.8521256074311883,1.0435514105551726,0.8785462830146512,1.0258309253590323,1.035359331175094,1.119353273513071,1.1527793364709702,1.187597621186589,1.1541202701306974,1.1955711002714113,1.1733503376881045,1.1458230319157683,1.0847484200785085,1.1577353398183061,1.0966314596515836,1.0247161211773277,1.1694234780678112,1.0410540374126138,1.168455473240818,0.9128713580916614,0.9555301608827818,1.0014951225741242,0.9863644824982163,1.1310537146080653,1.1584595432723581,1.1363285258279505,1.1376328670735667,1.0331905852741063,1.0693687978698325,1.022507465849782,1.1528856619051304,0.9937551961405776,0.9926238808160953,1.1073786501576413,1.0303433764970977,0.9988662084553597,1.0816302914640732,1.0065131494114365,0.974566683624476,0.7929856413267184,1.174984562465657,0.8825919730414395,1.0650030838088926,1.0620916037789137,0.8830677468627907,0.9715403359089487,0.9854863697204083,1.034805243941857,1.021453105573793,1.0666241934248495,0.9778703704285098,1.0195495748045977,1.1419458312207476,1.1203236557384237,1.1094775836173916,1.027000981577199,0.8755651948079354,0.9659201879823054,0.8270118392069616,0.8831473337515534,0.9958041089808194,1.0421423874682803,1.2335683095934376,1.2155294013403644,1.1672611418015808,1.082442781536357,1.1374111050077391,1.1730868749772174,1.1897809897048193,1.0721394008642093,1.1882460171825748,1.2060684979547132,1.180768524744911,0.9679309140674518,1.1990901739392303,1.0650123830316738,1.0880868296925927,1.0550383969113022,1.0270957024355525,0.7546043209176233,0.8468859035577572,0.8401515793724378,0.8624138569220254
dog,0.6120301603015257,0.6671794038456579,0.6484888383751077,0.25065812163506274,0.8404328876791151,0.7414153051389399,0.0,0.6797625189698762,0.7256006529477435,0.7053215440031255,0.4798297250419591,0.8743237518326418,0.7967042948591652,0.5888984551449756,0.7150365340789775,1.125264203595113,0.9509372976188983,1.025800966922848,0.8035479353840986,0.8367249557272199,1.0176525173827258,0.8428992011344635,0.8955099484606943,1.2312878428614635,1.352939736596074,1.3170446529729671,1.2782937155928762,1.2894654857127499,1.174796668415236,1.1080736733629444,1.2115675906012189,1.1519088386109488,0.8063811026732531,0.7935765630020064,0.7896572539671328,0.8111163077366773,0.9128784492584622,1.0409765801670836,0.9003606584058876,1.2451776402082158,1.056249823643864,0.9335056847625943,0.7835037533609404,0.8636221292909073,0.7513769465713559,0.7522609577627895,0.6876573553742135,0.676965515660894,0.7626790892611984,1.1518679822149043,1.1339884887390526,0.8641451054389695,0.9258346931267493,0.7916576651394656,0.8193286378685984,0.8834478414958549,0.9220059409860758,0.7953709916728608,0.8211782487558217,0.90244459502985,0.8945505502126119,0.8453142108206646,0.952338431868653,0.8551965885443533,1.0566697040954516,1.1395140276480848,1.2401472308285633,1.0649436055378956,1.1501934916203578,1.1668793068968177,1.2889957929182132,1.2933943569974247,1.306057953288286,1.3749314336294571,1.327575493833033,1.3582803498420055,1.3483547133341243,1.2090472376022976,1.2639927382985539,1.2784250511581041,1.218103675904165,1.24184144708251,1.291222740302053,1.2593300811593584,1.2256743964965273,1.2640271404102252,1.074678097716708,1.085657943044663,1.2894403762714015,1.2866113882704362,1.282274804120055,1.344275786945308,1.3325883521502309,1.2273957255026466,1.307590449560615,1.3400281389060902,1.2003938746905267,1.1135161976038426,1.2832571491014657,1.0773737893846402,1.0566183741927857,1.2101890883294395,1.3565697971554038,1.1236356399448937,1.1657671095932878,0.8368762604586635,1.1590689483746635,0.8152400240671389,0.8169390803369898,0.6029561548108933,0.842498404959911,0.9127045260398634,0.9881629850230589,0.9570756115141786,0.8908099253742199,1.05559870822322,0.8389876762532202,0.8658668652954109,1.029264115439115,0.9319514640454002,0.9174163354554814,1.0562976964036803,0.8984029329141768,1.0877785907739383,0.937643230773351,1.165264212839245,0.9453596519260697,1.1125657135363816,1.1880666960300152,0.9298176280248363,1.0045442841580183,1.166016634870454,1.3047062538831962,1.1792085414785316,1.0885226598759208,0.9216126748551565,0.9945418213777789,0.9940690748697057,0.6927299522769887,0.9484873891665565,0.9121446820383183,0.8683931743396691,0.8750801977255076,0.8569073242375866,0.8347798181553978,0.8456756613130855,0.65440445402905,0.8921958042559224,0.8352751744428206,0.7867068025001206,0.6502237371452355,0.8205136720999855,0.971375118565923,1.050529010893139,0.9537923741735783,0.8964201025471206,1.0563295920552451,1.1509369481636043,1.1621757487193016,0.9594661509399968
pig,0.7469157236656201,1.0418866568756242,0.9101952157377075,0.8711850972160559,0.9723970930218225,0.7894172816565828,0.6797625189698762,0.0,0.4361410992876643,0.5692310491562326,0.36223889615527416,0.43355788586754784,0.6818837552844079,0.7998226500997747,0.641426537120654,0.7327063717334263,0.5594371073119697,0.8121783200716169,1.0012556259068492,0.8997267166440592,1.0317700414890347,1.1755396838315346,1.1691921778842984,1.1365160626122013,1.1592816987625472,1.0817339225621232,1.0422870716445445,1.0679772581264357,1.0012031920934725,0.9469502470918003,1.025659673560584,1.0091799857707775,0.9760923001952808,1.0559192169860907,1.0090504403305445,0.9843144579797029,0.9656932945248806,0.92298529210373,0.9821885360641219,1.1118406016335398,1.0418748568778524,1.0604523585210033,1.039659167889294,1.1567722182382474,1.029372033192879,1.0617773173029288,1.1020109655581918,1.0963086992228825,1.1675036468768465,1.027346326585047,1.2135446672306784,1.1474517373534607,1.0503802978497525,1.129020428140075,1.0633873093812307,1.0802596536894402,1.1504425527544184,1.144668619892854,1.140431779901233,1.1416501783144026,1.2064639544798945,1.1660714641964307,1.119946757391091,1.1601715258919034,1.1344389026446786,0.921452297379616,1.109396675292307,1.1381599642482936,1.1705575305253875,1.1928302490206117,1.1604942054012517,1.0522638670123603,1.0218085516338653,1.1505249201598773,1.1489410930379638,1.1476279885848346,1.223738712294232,0.9622181152201658,0.9687241891707283,1.057340230810379,1.1088673645703724,1.1085281587851827,0.9374645005928023,0.9644444431720296,0.9159090782790797,0.9342942839562968,0.8378572366876182,0.8374676773564717,0.9730134174942275,1.00101346694197,1.0906292098298105,1.1808337616217555,1.1155807935510687,1.0579038367349245,1.1210601496600308,1.0627423320181801,1.0703185666188932,0.9634302328802,1.0882111291005119,0.9558656383011223,0.9411561514151722,0.8607524414947123,1.048158930904395,0.8780403940086878,0.9416407405533418,0.7102473961392191,0.8334953344807325,0.8491390095336939,0.8626947707271756,0.9433335847742645,0.9430489282985985,0.8871468653153298,0.9501446697309661,0.9468585006979087,0.9043182311928961,0.853349953186372,1.0383447168327804,1.0379799908966076,1.1146210542586295,1.0275343652336764,0.9626520889226593,0.9101691116276411,0.9628524040269164,0.9624058220192685,0.8743486145522193,0.7635041620738139,0.9067571142642531,1.0124003512150492,1.054433163093382,0.9779738681354428,0.8941426182639876,1.044902158887417,1.209297087384186,1.0437592139426204,1.0547196493286455,0.912704239015313,0.8845471896504675,0.722858060487027,0.6477365600856354,1.15609592050451,1.1883723138776836,1.2199411081433928,1.0880508508022453,1.164821090168743,1.1321023349581831,1.1342736159484132,1.0409642303366005,1.145848329634927,1.146287864029141,1.0371334424833716,1.0673088126076289,0.9492079173266093,0.977196651192648,1.1715146255337554,0.9804676756816586,0.9701520878187875,1.0723947056227545,1.1423473672799744,1.1342128587137128,0.9557416560874092
rooster,0.7780712350488143,1.1933044395481354,1.0436665842635848,0.8967967863422917,1.0854389431822393,0.6661507813669916,0.7256006529477435,0.4361410992876643,0.0,0.25253711390847966,0.2351724194537328,0.22598845006307422,0.42417179144958883,0.6600584739870273,0.30352008511556106,0.3389196712731626,0.3899185069343938,0.6342479703680207,1.0806179220216594,1.094624978533231,1.2517469418302603,1.412590840348442,1.020882638455495,1.0543104729400286,0.9536361178737395,1.0608043912723568,0.9405329891730022,0.9933047199252206,0.8146905358033951,0.8292365664360986,0.9893646701362397,1.0871603566401866,1.0019379541979088,0.9767927413865354,0.979320239211737,1.0853518461882035,0.8538522729791913,0.7421857642013495,1.1019908043787785,0.8209428442877555,0.8991866194602424,1.156604375514009,1.1648713766138663,1.424902529298829,1.1740978214469941,1.33671217805289,1.3346890512331222,1.2740366740661058,1.3067106651004967,1.0859647479983898,1.2400591111544883,1.3957430634772634,1.2552069455219355,1.2392111082860058,1.1697877653196131,1.1162892959144763,1.1415555344993973,1.247425933924837,1.240797573159415,1.1270041546246559,1.2471683631351846,1.215780135362286,1.006941832781483,1.1226596584033595,1.194895062370335,0.8636801094962744,0.6852049397818056,0.8092816451073663,0.9201213219224347,1.1393045075601131,0.9437370290313861,0.7117355907586924,0.7127363575181885,0.8587386823771314,0.8579013597379523,0.8758295168002832,0.9214659460615244,0.679708190202101,0.8046933591885447,0.8566545483512628,0.8076952422429924,0.8665845807636485,0.7651674531338442,0.7875298169027438,0.8361334658818969,0.8249249593729333,0.8619233802012711,0.7992361826242613,0.8881912528527282,0.7782741991351736,0.9274214225472898,0.9009639708985968,0.7903814496544124,0.7894154300344266,0.8229990616752847,0.9820410396119378,0.8983831503232669,0.8069122993808324,0.9126624923456743,1.0661815457681776,1.1744583024222526,0.9011233814214439,0.9277152141438146,0.7961162670112336,0.9728465402283907,0.9365621024348925,0.8454800348894345,1.0204335412820211,1.1239926689674453,1.1588931224671988,1.127455530571261,1.0134180243753808,1.0055911475813932,1.1753667744862164,1.02075963729138,0.8886918745031256,1.1449030846099042,1.1582311621331796,1.1995439423231131,1.2855550981949344,1.2028906845566216,1.0102760150851346,1.251776871768797,1.1397268421685973,1.115512563657515,0.9344420789720428,1.1486837553775908,1.0899955056014947,1.0160280734762592,1.1672213784629657,0.9137802445607958,0.9430336672873798,0.9057669704861067,0.7361490130190501,0.9004311142985115,0.6024963952010317,0.597178756474208,0.6946967886659949,0.6658248564138606,1.238684668847792,1.2812855109043488,1.3795658242199091,0.9772191118321025,1.3409396620752183,1.2952089903236326,1.3015860367592749,1.1871851569062364,1.2241301714547241,1.374417821626207,1.3246410096975758,1.2917184303017262,1.228348980573182,0.8682470894893595,1.1650222901580516,0.9139635306314322,0.9913603738075054,0.8475053769367588,0.9794632631917335,0.9898092448427347,0.9263536825362358
