,cat,alligator,frog,fish,hair,hand,arm,lamp,crib,table,bed,bench,drawer,bathtub,window,door,oven,refrigerator,chair,knife,crayon,clock,tape,bottle,apple,egg,orange,pumpkin,ball,balloon,hat,banana,melon,gum,carrot,comb,box,book,dish,plate,bowl,bucket,can,basket,plant,flower,toy,doll,sweater,shirt,blanket,glove,pillow,towel,napkin
cat,0.0,0.8959943181554098,0.9040617641116205,1.0209895409706569,1.05221709051856,0.888958136974888,1.0144845202408452,0.9820403787741468,0.9286558651276811,1.0731177244939218,0.5704784213164367,0.6419982226957525,0.81234856831678,0.7998072716304183,1.0136096117328115,1.1235331499114876,1.156488717076587,0.7599700208966144,1.1279095958022176,0.8096174403798846,0.9909792444252062,0.5513796103740221,0.9747132409016263,1.0376901609892903,1.0476542918399687,0.9633780941819498,1.1130082433615247,1.091994613055427,1.0220854433201167,0.9039613021744228,0.6228041033389193,1.1014010377133094,1.1014010377133094,1.1014010377133094,1.1515759284422362,0.7689196106033807,1.1156079976631303,1.2244077616500515,1.1527764768104944,1.1454752381834528,1.1412396134749523,1.0557181360683898,0.8623563290011466,1.150810302740583,1.1080557996916214,1.1125586470350781,1.1945854752930696,1.255060875412135,0.5667022305660124,0.722960477789016,0.5716067317452405,1.1187589094758208,0.5484834557182705,1.0584377576205497,1.0410822426078938
alligator,0.8959943181554098,0.0,0.42806384700798006,0.8745460550033809,0.8730624252525164,0.9120734738355668,0.9413018280082632,1.0262957188338862,1.1584045522351185,1.2487053084309174,1.0243600433723838,0.7805844964866793,0.9144921730157688,0.7820623254452768,0.9282461632100215,0.9794275158900106,1.0604444789509668,0.671957052134519,0.9720014472860313,0.8213433135897852,0.7893346554422482,0.8789472047578869,0.7597481536407776,0.8574500791801716,0.9870016046653496,0.9053547700430318,0.9078847863121279,0.8339795148720284,0.9956138123618793,0.9897233579026613,0.8200972160727324,1.0125128319757375,1.0125128319757375,1.0125128319757375,0.7694598940268407,0.9324142881305647,1.229939359042349,1.0952521927714687,0.9740161584561959,0.9442460248758778,0.9580222075093924,0.9124644084504566,0.7574431018151149,1.1922807033676701,0.9749719295974039,0.9006202180768527,1.0675073506642077,1.0776621547684748,1.0100607203676415,0.9499550286051226,0.8326662590160026,0.7762607670244794,0.8715290786834062,0.9732370348423741,0.7807521087981029
frog,0.9040617641116205,0.42806384700798006,0.0,0.5917076374525445,0.8176245746361339,1.1259791000673272,1.1124332470282012,0.8830776852369131,1.161324912399281,1.3231006090740827,0.9749822043165408,0.800405310793634,1.016029981556455,1.0310280753792165,1.07361519399194,1.168649758852146,1.23907936075506,0.9218127196853495,1.113490162927957,0.8712301904906048,0.639915963030593,0.7700898875271502,0.6727776592676966,0.6583648086095804,0.7644645955747622,0.8073090430549129,1.0313049345184353,0.8076304376695523,0.6437748749272441,0.699977673327941,1.0666072810314182,1.1975653431283741,1.1975653431283741,1.1975653431283741,0.783999099920412,0.8245825772810069,1.269619686161568,0.8704323867426241,1.0918322473812954,1.041087918138789,0.8446256838615257,0.781561438540014,0.5552304828465578,1.2173744252419967,1.0545635349422593,0.7271752100396133,0.6889270508044931,1.072528598901241,1.070110655061895,1.09812001034777,0.7872857628677625,0.8481629465768903,0.9781737802367613,1.0159324676120387,0.6427513359960341
fish,1.0209895409706569,0.8745460550033809,0.5917076374525445,0.0,1.0211692315656886,1.2724273414834808,1.1824225195107338,0.8405854843646021,1.1655410680574803,1.272851433962102,1.1967677294817505,1.0763253942053599,1.072022174442472,1.15359767446112,1.1179183670081363,1.2876378448209642,1.2659224044537623,1.1343379439225345,1.2153732999947995,1.1275697870782215,0.4858025433408508,1.033733670200152,0.8418793740421762,0.5049879214591418,0.5417523043372587,0.5483390083846011,1.0511831836040855,0.8753154771938233,0.6355332509763743,0.4498648435445892,1.2908552957170583,1.2770406088738695,1.2770406088738695,1.2770406088738695,0.8044720906055084,1.0367349416720693,1.199021172648708,0.8839839715439581,1.1261996998056023,0.9440815614295122,0.9835454559060055,0.8436156043800671,0.4920081786551733,1.1948770600483436,1.0403988565188058,0.5925803816072025,0.6546084209723471,1.270871730476459,1.0677647982700889,1.180976481713022,1.1452481076052998,1.0501496111842814,1.2131817984710518,1.0255386806758955,0.8229689426297315
hair,1.05221709051856,0.8730624252525164,0.8176245746361339,1.0211692315656886,0.0,0.9257719356685017,0.8196391545403532,0.9948736025116764,1.1317583498092216,1.1928721443673753,1.1365899878098429,1.0718759377999647,1.088954030212413,1.0677777113748599,1.0835343920491098,1.0063560475870674,1.0823149868804722,0.8985949662655983,1.0026076749667894,1.0234706847694284,0.8814503845827949,1.1027154425609496,0.8046606195007896,0.8605042055822059,0.8755827100824406,0.8174150086983079,0.7517407225630819,0.5152914799155714,0.9580605579623572,0.9170306302710893,0.7175042156305722,0.9104441655992547,0.9104441655992547,0.9104441655992547,0.8224001391557089,1.0854846610497084,1.1438506511669095,1.0783878140332614,1.0018756057741425,0.8994332211039375,1.0662628226555282,1.065382834805787,0.9468444414411622,1.118991581179241,1.028191831298563,1.017433715095995,1.0225254129966876,0.9206146418824025,0.9629528405224571,0.8922803334927469,1.0892880568738816,0.9879822374352605,0.9825103138604528,0.9476730670007971,0.9552886562519229
hand,0.888958136974888,0.9120734738355668,1.1259791000673272,1.2724273414834808,0.9257719356685017,0.0,0.6919948146067312,1.2882737384810008,1.0080154515722852,0.8489286528986975,0.7214348726949603,0.8338725860256643,0.7162860756978294,0.7958579047861968,0.9804360538011689,0.7141637254839621,0.9440933328259584,0.9471555844041113,0.9431570741167237,0.5690877831796388,1.1670038472410822,0.7489009642026294,1.0520381466309623,1.3339071934050932,1.1585408450156878,1.135136191049846,0.8941230901772312,1.0146616584529404,1.239350730225936,1.337165535699574,0.6710533134084112,0.5418801080618533,0.5418801080618533,0.5418801080618533,0.9616048526909741,0.7201531720687141,0.926284802438146,1.225393030272979,0.8949505340218615,0.9126846699709352,1.149895366360195,1.2107376648929404,1.2918706069837513,0.9635909409403489,1.1006010393725298,1.2179978828746219,1.3133894579700938,0.9357242533041142,0.8406812401452639,0.6521838071840371,0.6492691452827908,0.9093526601702039,0.563358586136123,1.0332825503229282,1.0960327403258459
arm,1.0144845202408452,0.9413018280082632,1.1124332470282012,1.1824225195107338,0.8196391545403532,0.6919948146067312,0.0,1.1519710785164394,1.1347726169124002,1.06949732076583,1.0643605782777374,1.023617703025766,0.8376241853082663,0.7782818970548968,0.9462242232667677,0.8289787604746605,1.0080612020480888,0.9404486677036001,0.9172196591778329,0.9104524498391401,1.083514366777681,1.0731016049330886,1.0352530989285136,1.1692186205769926,1.1739879321250641,1.0454015247813329,0.8692530829916155,0.8857559334813839,1.1553913631365087,1.2686620882811446,0.655602081856591,0.7684840396963002,0.7684840396963002,0.7684840396963002,0.9550987509341812,1.088350689526197,1.0876643476940788,1.2458517418188952,1.0158481412600542,1.0311630099285694,1.1534911155929903,1.2624791123178798,1.2534163852465654,1.136194608195073,1.0569077008791463,1.2414722753610257,1.359981623118094,0.9402689494390978,0.9752431734166229,1.0095151564019935,1.0241132798277537,0.9985083401439351,0.8723751109188188,0.9322704901901883,1.114475728508069
lamp,0.9820403787741468,1.0262957188338862,0.8830776852369131,0.8405854843646021,0.9948736025116764,1.2882737384810008,1.1519710785164394,0.0,1.007856554912574,1.134243198581154,1.1417268823145006,1.1187258035857477,1.0048918053361546,0.8566135463372732,0.9501344069117993,0.9719470220424378,1.1715171018533987,0.8527826796145395,1.0750485922665791,1.206412003307272,0.9227284864244272,1.1602737104828997,1.160268183409094,0.7702234071579284,0.8809091609140106,0.99255124574436,1.011902797522402,1.0599674510150474,0.48022974729922696,0.4238338424368149,1.1270130175608108,1.142343163554026,1.142343163554026,1.142343163554026,1.2123496123311064,1.1481911675758103,1.0244138055639667,0.9483895292906294,1.1533429834099969,1.0882902617729706,0.9494535607295786,0.9812424532612767,0.7071494110021409,1.0375680812285473,0.9986346337997808,0.9303188526995987,0.7880971551076403,1.09818897402902,1.0541531128054002,1.1890084262616578,1.1816301057719516,0.9233347144896741,1.2006883860874673,0.5784863432568639,0.8733668886963782
crib,0.9286558651276811,1.1584045522351185,1.161324912399281,1.1655410680574803,1.1317583498092216,1.0080154515722852,1.1347726169124002,1.007856554912574,0.0,0.7164072229790416,0.39590017473213956,0.8120329651318089,0.8777628133373157,0.8484174704556561,1.0347222062827153,0.9255569378163389,0.8472848595317639,0.7991836244886934,0.8505348052247929,0.6286288795570597,1.1672100971399084,0.576083557673616,1.099342360915295,1.2194415333324944,1.2721021603096623,1.2303075656390587,1.1571669030002616,1.16517265082639,1.2227379584896438,1.2006571752165922,1.0341737043876371,1.0940265695457247,1.0940265695457247,1.0940265695457247,1.1478115521007972,0.5716896870720888,0.889292730677924,0.9954588423102525,1.0992737232144416,1.1211684362373957,1.0785699839500686,0.9460300697412616,1.1360625917907536,0.9132613856059093,1.018944482554014,1.1542890481403099,1.1406978184586556,0.9867641860965148,1.0219922866461588,0.8306658640507939,0.6547500857783789,1.0714999337883286,0.7468480544723162,0.8664805002775451,0.8218880856326738
table,1.0731177244939218,1.2487053084309174,1.3231006090740827,1.272851433962102,1.1928721443673753,0.8489286528986975,1.06949732076583,1.134243198581154,0.7164072229790416,0.0,0.6900923617301613,0.8822457386124873,0.9490761614518096,0.9377594394867592,0.8800797565195788,0.9531883761551514,0.7625543164980525,1.0156103544255126,0.8685450245137056,0.8281334129891091,1.1740467429239443,0.8545737454938014,1.2625832202728748,1.307950656644083,1.198922350741056,1.2451823684963172,1.1353622873047238,1.2439341608143362,1.149625310534778,1.2423398982289569,1.1039373117035896,0.8653485511557877,0.8653485511557877,0.8653485511557877,1.139131410316399,0.8056481466041876,0.2102546568629755,0.937237930291358,0.5490193856286959,1.093167549222733,0.7627156309810654,0.974110744585135,1.2736969599752896,0.22526312363391854,0.8376752155133074,1.0043737088080722,0.9630877796172563,0.6738669740699851,0.9877941750977431,1.0046329436680967,0.8663973812542796,1.1272828005008353,0.9225994500179407,1.0674529322623905,1.1263307776528855
