,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.3135983,0.68014956,1.1074295,1.4751704,1.0349001,0.94449675,0.7159735,0.5737746,1.3633776,1.226059,0.5899023,1.359022,0.5011772,0.83250976,1.2438192,1.4135538,1.2218362,0.7952528,0.87541306,1.0738056,1.4465222,1.1061208,0.90754825,0.72618437,0.85262084,1.2383384,0.8502699,1.0724189,0.44311285,1.197725,0.6748861,0.6505529,1.0090714,1.482255,0.6390325,1.4256272,1.3273023,0.77696466,0.7878711,0.91857976,0.9720845,0.87961656,0.7945914,1.3564719,0.9604154,0.773159,1.2186264,1.1257799,1.3916148,1.0553095,1.3070318,0.8154036,0.67061335,1.3702554,0.93967074,0.9440737,1.2024946,0.8624545,0.8623303,1.4978552,1.0420309,0.8370122,0.7146528,0.87737966,0.97046185,0.87053204,1.4772393,0.6344255,0.70038944,1.0614359,1.0542748,1.455914,0.8910511,1.348846,1.352222,1.2839518,1.4177582,0.59507763,0.67191035,0.8783166,0.7296153,1.4720547,1.4669621,1.1228288,1.2495689,0.57644415,1.135695,1.2917409,0.8417722,1.1233178,1.2588682,1.1383595,0.98848104,0.8608652,1.2140443,1.047775,0.7652715,0.90742636,0.8197229,1.0730317,0.73460734,0.9844353,0.96577466,1.3977324,0.9552647,1.0702995,1.318066,0.89281154,1.1119772,0.9159795,0.75039476,0.6019248,1.329801,1.2188978,1.4201312,0.96874255,0.89570254,0.9377688,0.61425674,0.9738589,1.3403563,0.8974184,1.4782588,0.9962527
apple,1.3135983,0.0,1.3841662,0.59015006,0.38786215,0.44857097,1.168895,1.4948407,1.5390452,0.68538433,0.87019145,1.2694547,0.66139674,1.5226159,1.3106954,0.8421346,0.5258965,0.8252083,1.3441626,0.7385688,1.1144236,0.6853266,1.1115086,0.878317,1.1808035,1.4695227,0.71556467,1.293065,0.8927004,1.4042416,0.5195575,0.73285735,1.4814808,0.60010886,0.44609928,1.4753861,0.7098568,0.6666173,1.1018957,1.081546,1.0955229,1.2548966,1.2515297,1.1940242,0.3199551,1.0642307,1.1486071,0.85299444,1.0170307,0.39635092,0.98939234,0.7275807,0.63976824,1.3674322,0.6220671,0.9844319,1.228893,0.7683284,1.1011826,1.2188914,0.4812836,0.9843299,1.4460591,1.3217671,1.3734162,1.0728192,1.3800768,0.6341802,1.2177632,1.109764,1.1163528,0.8554379,0.5292816,1.0990057,0.7688611,0.75027,0.83248746,0.9024753,0.9328054,1.3646097,1.1678172,1.3354514,0.62096447,0.6029303,0.5999136,0.92263174,1.3093961,1.0173328,0.7385612,0.9707091,1.027053,0.818209,1.1378572,0.8720176,1.1056926,0.7820519,0.86913073,1.2792737,1.1213014,1.2208301,1.0639999,1.1878471,1.2999889,1.2446029,0.5125955,1.2504435,1.0676112,0.5610156,1.3192517,0.8805817,1.3055574,1.2589442,1.5078511,0.5272718,0.7708696,0.6344137,0.981743,1.1293211,0.8986302,1.2294891,1.1329215,0.8592129,1.3809693,0.48785496,1.3445861
arm,0.68014956,1.3841662,0.0,1.145445,1.3578106,1.1183864,1.1208562,0.7991992,0.6091352,1.3480401,1.2564994,0.86214966,1.356991,0.61410105,0.9836766,1.1418309,1.2728543,1.2890282,0.8919129,0.93803793,1.0947111,1.2914661,1.1702135,0.9012623,0.8609409,0.5956362,1.2968634,0.77113825,1.0170358,0.76473063,1.1606785,1.1401227,0.49891907,1.1172045,1.3217419,0.79620695,1.2027736,1.3943497,0.9638149,0.90849954,0.9744373,0.8115693,0.8151834,0.8299209,1.2368617,1.165521,0.8517591,0.91219664,1.1557608,1.3831204,0.97668517,1.2310523,1.1840639,0.9341948,1.2527899,0.796072,1.0754291,1.0715934,0.8461208,0.6646079,1.3275764,1.275666,0.85010374,0.75353307,0.6962422,0.9946305,0.82132053,1.3190348,0.85871994,0.7885816,1.1392882,0.99255747,1.2606517,0.69982344,1.12171,1.2275714,1.154341,1.2553205,1.0782008,0.6340544,0.8403294,0.72562057,1.2406073,1.2576411,1.236027,0.98581076,0.72659385,1.0213311,1.3250904,0.9025033,0.9993074,1.1234783,1.0784982,1.2047193,0.99617285,1.1122519,1.1057019,0.8022939,0.7275902,0.659431,1.0724577,0.8700058,0.9727802,0.95845646,1.2138454,0.9235631,0.77067137,1.1826413,0.9302837,1.1833891,0.92888254,0.7998353,0.731288,1.2978554,0.908944,1.3009694,0.81278884,0.8359793,1.0430871,0.8471801,0.88803196,1.2977958,0.8292935,1.2773378,0.8889816
ball,1.1074295,0.59015006,1.145445,0.0,0.63917536,0.77486396,1.1271249,1.2801104,1.3334436,1.0255028,1.1752529,1.1090968,0.97249097,1.2035025,1.1682234,0.93979913,0.8314438,0.69691354,1.1635044,0.7066736,0.8720626,0.91762733,1.143697,0.86235607,1.0891644,1.3497849,0.7772274,1.2369322,0.7088977,1.115758,0.57987493,0.9398551,1.2514218,0.621803,0.7957552,1.2994924,0.810866,0.9692203,0.990919,1.0124336,1.0028926,1.247057,1.2252722,1.1507726,0.48878163,1.1878626,1.1389169,0.8787973,1.0759933,0.76616323,1.1541482,0.86836076,0.82758677,1.1581293,0.87496763,0.808281,1.1732786,0.65700436,1.0667604,1.0337436,0.58283234,1.1659817,1.2549777,1.2178369,1.1603792,1.059581,1.2827156,0.90687215,0.91593987,0.55003,1.1720188,0.77118355,0.7849724,0.89167196,0.97734684,0.84098494,1.0206544,1.1266935,1.0023973,1.2362711,1.1597486,1.0300107,0.9193727,0.9251651,0.93304926,0.811525,1.1226751,1.1967182,0.60529196,0.42044687,0.9245562,1.0064054,1.1557455,0.9123896,1.0071923,0.9214209,1.058981,1.2345103,0.95242655,1.1327232,1.0503823,1.2084466,1.1017294,1.2528716,0.8112131,1.1039678,0.8219112,0.8543677,1.1114775,1.1081448,1.1762604,1.232297,1.253248,0.47348702,0.8089937,0.89989084,0.9406756,0.8517953,0.76996577,1.0924925,1.1856136,1.0833657,1.2540679,0.851125,1.2960129
balloon,1.4751704,0.38786215,1.3578106,0.63917536,0.0,0.67275906,1.1814222,1.4847413,1.6049156,0.37317407,0.7399193,1.2199041,0.7350765,1.4912233,1.3841422,0.79695016,0.58593893,0.7405025,1.3631032,0.9129797,1.0502794,0.5416021,1.176317,0.8440188,1.2714746,1.3676507,0.6936032,1.3028857,0.8740224,1.3455503,0.81046295,0.9148716,1.5256977,0.88364273,0.28958154,1.5111421,0.7249144,0.7238374,1.2621813,1.2277213,1.1517344,1.1639339,1.2028034,1.2403096,0.5423282,1.0864425,1.2962385,0.659955,1.0294425,0.37342662,1.129062,0.6205062,0.9517305,1.4633837,0.44659525,0.74561477,1.3117753,0.90216804,1.0614756,1.189036,0.26026273,1.0259721,1.4277031,1.3707368,1.1308614,1.0275581,1.4608135,0.50782603,1.2181339,1.1769795,1.2031088,0.80189824,0.44148695,0.9012746,0.47280693,0.66615134,0.409998,0.8747792,1.0212245,1.3874824,0.8862503,1.3864138,0.47315466,0.48913765,0.5142355,0.84648156,1.2868785,1.0424445,0.6452849,1.0554572,0.99128056,0.7923544,1.2401677,0.9429306,1.172281,0.44773602,0.89459324,1.3553602,1.0824971,0.994881,1.0896409,1.1448171,0.98728615,1.3809261,0.4315095,1.3067424,0.8973936,0.7046559,1.4124777,0.8015653,1.2849352,1.330933,1.5938823,0.6167797,0.6370121,0.39800358,0.8920411,1.0122074,1.0016924,1.4105318,1.3008295,1.0052055,1.3824817,0.36846507,1.214857
banana,1.0349001,0.44857097,1.1183864,0.77486396,0.67275906,0.0,1.1586149,1.3535312,1.4150335,0.84571975,0.9839986,1.1732261,0.90600115,1.333506,1.1425147,0.79563,0.9250219,0.8540595,1.229886,0.5283534,1.1161773,0.98142713,1.2122065,0.69928277,1.1648225,1.3257784,0.80517644,1.2811592,0.94707197,1.2330538,0.53020656,0.46245277,1.3331523,0.5110267,0.6309744,1.3645177,0.9600689,0.94832414,0.8539603,1.0803071,1.0580851,1.2475538,1.1409774,1.1631672,0.39876807,1.1092561,1.1068653,0.75337946,1.1628336,0.5354171,1.1065809,0.7518153,0.3192501,1.2098008,0.7525411,0.7242098,1.2697747,0.72587764,1.0139407,1.0200638,0.69798076,1.0858556,1.4534296,1.2490773,1.207373,0.89894354,1.3711364,0.82656145,1.1881149,1.0417893,1.2711592,0.71410936,0.82903266,0.76408607,0.7876601,0.97321016,0.8147217,1.1041455,0.8635244,1.229491,1.0201731,1.1109235,0.7479192,0.74668324,0.6885411,1.0669737,1.2626278,1.1275824,0.6737761,0.99595624,1.1017343,0.88008314,1.2208171,1.0307422,1.0747594,0.7045876,0.8820973,1.2613094,1.077756,1.0174215,1.1425226,1.2045579,1.1267116,1.1294818,0.6263773,1.29824,0.9226679,0.6756568,1.3171709,0.9176617,1.3311489,1.236155,1.3453784,0.68163174,0.7203562,0.82731473,0.80353856,1.0590239,0.8211276,0.97937095,1.2669108,1.1389148,1.3415383,0.7392893,1.3254714
basket,0.94449675,1.168895,1.1208562,1.1271249,1.1814222,1.1586149,0.0,0.85510385,0.8149533,1.1295934,0.808468,1.012481,1.0205498,0.71165806,1.1090826,0.7083932,1.16005,1.093302,0.49800646,1.0283107,1.0440135,1.1067746,1.1513008,1.0862161,1.0512408,0.7752979,1.0471557,0.982669,1.0798454,0.80028474,1.0963614,1.011673,0.86770785,0.975975,1.185827,0.7389233,0.9271136,0.9689402,0.8485981,1.0110636,0.9154019,0.89815885,0.67342633,0.96277314,1.190054,1.0649886,1.1716841,1.2801034,0.9010561,1.2343881,0.9617422,1.0154406,1.0680889,0.9001247,1.2845755,1.1670784,1.0638177,0.92951804,1.2010136,1.1556039,1.1932133,1.0623627,0.6383323,1.146867,1.1058842,0.99268967,0.7221184,1.0314239,0.93932194,1.0942128,0.9298132,1.1700203,1.2541097,1.0166767,1.0263908,1.0571125,1.0579597,0.66717476,1.0770587,1.1394254,1.1106502,0.8144101,1.1418321,1.107929,1.1702176,0.7538809,0.8889949,0.92401195,0.94705206,1.0339013,0.70226693,0.967424,0.6441287,1.0642995,1.0135741,1.1725945,1.0084419,1.0879633,0.88956445,1.2129326,0.9648111,0.96598697,1.0772051,1.1043575,1.117032,1.082707,0.9598423,1.0558016,1.1328101,0.9913924,0.6677635,1.077647,0.65892607,0.98714215,1.281831,1.1079242,1.1737112,0.89603114,0.9283595,0.8514236,1.0967025,0.8403269,0.73789936,1.2397636,0.8639401
bathtub,0.7159735,1.4948407,0.7991992,1.2801104,1.4847413,1.3535312,0.85510385,0.0,0.2835034,1.3939422,1.2039886,0.82697713,1.3860285,0.643018,0.4176339,1.1825039,1.3861291,0.92157364,0.5126398,1.1969931,0.7722269,1.3131495,0.68653864,1.0762794,0.89665574,0.67314,1.3746662,0.69913626,0.98095536,0.70718145,1.2624166,1.2134037,0.56431794,1.236318,1.5536454,0.14096975,1.295857,1.4342159,0.70368314,0.97770953,1.0419748,0.8270088,0.75979817,0.86407954,1.4596915,0.9580936,0.8960606,1.2251605,1.0460145,1.5628015,1.0635111,1.4141257,1.1686414,0.6476628,1.451754,1.0780809,0.7983253,1.2169563,1.0271862,0.8655415,1.5473871,0.97240794,0.57180035,0.6918118,0.7894634,0.90834165,0.6384069,1.4352666,0.7493391,0.8999901,0.9604336,1.1640639,1.4442029,1.0124975,1.439224,1.3768774,1.2802355,1.06388,1.0993437,0.71295923,0.852013,0.6319134,1.4469004,1.4371704,1.2208763,1.2508879,0.70476675,1.0782741,1.217702,1.0809734,1.0968308,1.2544925,0.8497585,1.200686,0.9943918,1.3475416,1.0695009,0.7626338,1.1143003,0.8520091,0.92358303,0.7887708,0.47518486,0.6203646,1.5413976,0.7506537,1.2214382,1.4838605,0.55622965,1.2099608,0.761685,0.7407771,0.4181676,1.248323,1.3876048,1.4175146,1.0348954,0.99301815,1.0163279,0.50294435,0.91395146,1.1286659,0.6863433,1.5374572,0.7677358
bed,0.5737746,1.5390452,0.6091352,1.3334436,1.6049156,1.4150335,0.8149533,0.2835034,0.0,1.4446911,1.178718,0.75484586,1.3931437,0.3537885,0.6001542,1.1779332,1.4346642,1.2460927,0.4962712,1.1816719,1.0482883,1.4603655,0.8783802,1.1113495,0.7800271,0.44791234,1.4002366,0.56494963,1.0796697,0.5783133,1.3464507,1.234932,0.26666683,1.3295245,1.6177162,0.16257513,1.3583374,1.4456098,0.72029054,0.87222683,0.90076196,0.8189105,0.78976786,0.73634994,1.525132,0.96875066,0.79630375,1.2853903,1.0813334,1.6330738,0.89608085,1.5308661,1.2128459,0.6954523,1.5313401,1.1790433,0.81635785,1.2544279,0.9934993,0.885504,1.5791783,0.9861079,0.5240171,0.5459769,0.69760615,1.0910711,0.53453654,1.5496228,0.7523932,0.9032663,0.8569397,1.2802427,1.4706845,1.1165144,1.4750566,1.482729,1.3615191,1.2468207,1.0574001,0.50202644,0.8750224,0.5660812,1.5571096,1.5408115,1.2871183,1.1745638,0.6544775,0.97949594,1.382,1.0400828,1.0339875,1.2691301,0.93423134,1.1938276,0.8437517,1.3625604,1.1080987,0.614391,1.0058565,0.8029773,0.91581917,0.90144545,0.88722444,0.7308581,1.5920957,0.65184295,1.1582832,1.55306,0.5812085,1.3389612,0.7402553,0.6182181,0.2573415,1.4116532,1.3971739,1.5041213,1.0201507,1.0083048,0.9538529,0.51763296,0.7422677,1.1943815,0.67532396,1.5515006,0.78086615
belt,1.3633776,0.68538433,1.3480401,1.0255028,0.37317407,0.84571975,1.1295934,1.3939422,1.4446911,0.0,0.50244105,1.2495997,0.5806056,1.407168,1.2527776,0.81305087,0.57771885,0.79997885,1.3147466,1.1762329,1.0473264,0.38470793,0.98779476,0.950056,1.1695938,1.1974821,0.6934629,1.1512113,1.1136986,1.194058,1.1105002,0.8829371,1.3973435,1.1241056,0.33861083,1.3630954,0.7557349,0.7195413,1.2894931,1.2018383,1.2558552,1.0130136,1.156271,1.2282135,0.8348368,0.97606957,1.2547629,0.8612261,1.1000522,0.29763365,1.0905546,0.68739206,1.072214,1.3766129,0.49432898,0.9348997,1.1578408,1.1638843,1.1092653,1.2897533,0.45206207,0.95509446,1.2852685,1.3008206,1.0611798,1.1433121,1.2897394,0.39461368,1.2417375,1.4307187,1.0002326,1.0216835,0.4466225,0.9850259,0.5244292,0.649615,0.34159994,0.75074476,0.9287275,1.3879166,0.89142424,1.3170729,0.46165544,0.4696442,0.4803632,0.97040224,1.2524917,1.0103332,0.71332264,1.2812536,1.0955299,0.77993655,1.1422845,0.93559575,1.1619544,0.6973127,1.0039108,1.3253613,1.1461456,0.8745954,1.2005758,1.0568357,0.88800716,1.2510558,0.46987522,1.1939144,0.922698,0.8670524,1.3146217,0.741219,1.1734275,1.2865645,1.4565313,0.90941,0.8469656,0.33051765,0.9992898,1.093925,1.2402618,1.3830817,1.1758065,0.90918696,1.3103588,0.5143964,1.0294715
