,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shower,sink,slide,slipper,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,vacuum,watch,window
alligator,0.0,1.2634646,0.7773149,1.3379018,1.2341164,1.4056034,0.9820957,0.8801386,0.8492062,0.7395365,1.4492793,0.72816527,0.8293123,0.8063631,0.88506466,1.1613572,1.4363674,1.4677621,0.8202703,0.7763202,1.2416271,1.3686295,1.1573341,1.3569226,0.75796056,1.1699735,0.42960602,0.7400583,1.3418735,0.7680633,1.0902734,0.64837813,0.7196702,1.562839,0.71701694,1.4440045,0.3942979,0.90014464,0.84643406,0.8946981,0.78205013,1.2358426,1.3568823,0.86316705,0.7785154,1.2471102,1.1123604,1.2630396,1.0070565,1.4064493,1.0600601,0.764695,1.4434738,1.3515396,0.86176515,1.295985,0.7257438,0.6880882,0.8031639,1.3115413,0.88980925,1.0602081,0.8434882,0.8965963,0.7484602,1.1767889,0.68515116,1.2587715,0.85021496,0.93675435,1.2209897,0.8318443,1.3969615,1.0716254,1.4447693,1.0703007,1.14621,0.97896844,0.81635165,0.84062934,0.8618175,1.462197,1.4392192,1.1789645,1.1176909,1.3324275,0.7381195,0.87655085,0.8467406,0.789267,1.0206331,1.0089669,0.77949345,1.1192541,1.2152419,1.0182693,1.2826527,0.79583454,1.4874406,1.4169216,1.0160397,1.22068,0.6788507,0.63171595,0.6143695,1.4130938,1.2044033,0.89038855,0.8758482,1.1682143,1.3173172,0.894279,0.64869964,1.1072356,1.4567583,0.8997558
apple,1.2634646,0.0,1.1699123,0.24814296,0.3759122,0.76370376,0.99402016,1.2774861,1.1805484,1.422663,0.8184085,1.3351218,1.2269125,1.3032675,1.26568,0.8551816,0.681944,0.65516233,1.1856921,1.0086393,0.9023246,0.7565981,0.8653217,0.8928709,1.2276146,0.5719242,1.2258321,1.3155813,0.67107034,1.3699672,0.64893436,1.3628573,1.0871732,0.72601485,1.3332417,0.7049972,1.0279939,0.7589534,1.0741158,1.0901936,1.2505462,0.8251782,0.42249185,1.3400607,1.1100105,0.6954551,0.8761773,0.5438571,0.91411483,0.7654899,0.74317324,1.1959012,0.79007673,0.6729462,1.3402672,0.48950404,1.1673293,1.0916144,1.0011101,0.78882146,1.2329962,0.8537405,1.2256696,1.2489941,1.3557742,1.1546066,1.3106754,0.8404949,0.894896,1.2886549,0.9323182,0.87918127,0.67216754,0.81768274,0.80880046,0.39338517,1.0286528,0.89597136,1.1907327,1.2430001,1.2690494,0.78515834,0.79954064,0.8806348,0.794618,0.7100942,1.1155758,1.041667,1.1509233,1.0850089,1.1438055,1.3381826,1.2731425,0.83451295,0.92795837,1.3581462,0.98708194,1.288832,0.70362836,0.765162,1.0799297,0.71025336,1.168207,1.3501946,1.3220557,0.71830624,0.6253695,1.0895118,1.2304176,0.7176137,0.41357297,0.9677227,1.2227126,1.0775553,0.7444211,1.2402729
arm,0.7773149,1.1699123,0.0,1.1312515,1.1010346,1.2433044,1.2056873,0.9929995,0.9576763,0.9507413,1.2551972,0.95231473,0.64280266,0.9396393,0.85198426,1.2130804,1.3078419,1.2693576,0.9972382,0.86387014,0.999069,1.3788484,1.1950967,1.299243,1.175381,0.99056554,1.0121038,1.0262232,1.308373,0.7585926,1.0914788,0.6989127,0.8509572,1.2456617,0.971343,1.3151648,1.0193588,1.1364675,0.85136676,1.05933,0.59514713,0.80422044,1.0041751,1.0145004,0.74938023,0.7911278,1.0436299,1.2188752,0.5746843,1.2717888,1.3833742,1.173105,0.9965747,1.2768681,1.0356811,1.159472,0.71679544,0.92886955,0.5378951,1.1380653,0.9148789,1.3399622,0.8467419,0.88858575,0.84508,1.1201893,0.9673165,1.2612476,1.0514947,0.9920998,1.0224327,1.0035378,1.0142082,1.0385569,0.98950607,1.1485634,1.2018294,1.1881511,0.5311974,0.8524614,0.86309946,1.2783195,1.2615378,1.0716418,1.1130277,1.3216902,1.0878742,1.0664968,1.0815233,0.8992136,0.8016734,1.0751061,0.6192175,0.9739369,1.0487521,0.99205106,1.2471522,0.906309,1.1946063,1.3113272,0.850095,1.1649597,1.0476156,0.81326354,0.9492824,1.2768035,0.84255147,0.7793418,0.86544997,1.0923233,1.3431151,1.1381445,0.9179462,1.1908375,1.0901546,1.020737
ball,1.3379018,0.24814296,1.1312515,0.0,0.20665169,0.7647996,1.101356,1.2802587,1.1269577,1.4204891,0.79400814,1.3181798,1.256104,1.2383636,1.2295551,0.9756092,0.7017893,0.6170753,1.2485409,1.0460817,0.87657416,0.79221594,0.90209776,0.9235236,1.2738991,0.6217226,1.2139513,1.3921101,0.5183168,1.3936038,0.68861747,1.3485398,1.1166971,0.6544942,1.3885143,0.6826551,1.1016986,0.9110373,1.086295,1.1193451,1.2625883,0.819226,0.18703276,1.2425507,1.145785,0.7478291,0.8614125,0.5559038,0.93629885,0.7559563,0.8119242,1.2430037,0.74457747,0.6150225,1.151707,0.44368434,1.1732388,1.1391629,1.0568421,0.7474904,1.2169902,0.8962637,1.2297618,1.2063264,1.3112118,1.1212975,1.3837094,0.74031204,0.94062346,1.2652802,0.7875779,0.9030652,0.61805326,0.90529305,0.7440165,0.46380824,1.1295317,0.9247494,1.2290362,1.1875783,1.2223682,0.72113025,0.68041974,0.8835462,0.9255155,0.6356641,1.1350566,1.147703,1.2669436,1.0907996,1.1276505,1.2750924,1.2494015,0.82084763,0.9388172,1.2821838,0.9752329,1.2941129,0.65145504,0.77973914,1.0637033,0.7654675,1.2392094,1.3447957,1.3446965,0.6785661,0.5955734,1.1251055,1.1937726,0.77926767,0.44717175,1.0793184,1.296261,1.1076571,0.7028949,1.279208
balloon,1.2341164,0.3759122,1.1010346,0.20665169,0.0,0.94498706,1.1145879,1.1446469,1.0345654,1.2717756,0.9484372,1.247088,1.2123083,1.1851721,1.2081153,0.97904235,0.87256175,0.6984333,1.1216265,1.0577924,0.8623749,0.8219334,0.90016395,0.9815024,1.1556504,0.74536324,1.1611414,1.2576276,0.62149155,1.2904046,0.75271094,1.2089452,1.1094294,0.8372305,1.2412677,0.7862046,1.0883431,0.9441093,1.0736085,1.039386,1.2043527,0.8635498,0.2226187,1.2399029,1.0724782,0.8321818,0.83992505,0.7063112,0.9376026,0.7946212,0.8824222,1.1295741,0.8687773,0.7725725,1.1080351,0.5197,1.1397265,1.1313702,1.0427471,0.8458029,1.1920246,0.8428153,1.2214141,1.1347399,1.2053833,1.1611583,1.2740014,0.7264356,0.9870749,1.2465754,0.8601611,0.9651524,0.7235897,0.9144584,0.87479,0.64976215,1.1285188,0.9212083,1.1423641,1.1085927,1.0797987,0.8863287,0.86058336,0.96610403,0.92380327,0.7171048,1.1242013,1.1010132,1.1611849,1.0539156,1.0621008,1.2182543,1.1995454,0.8722288,0.95976,1.2346705,0.9763438,1.2269835,0.82488066,0.9035101,1.0866116,0.75662184,1.2110846,1.223543,1.1934215,0.8863735,0.6841917,1.075212,1.1194633,0.8396932,0.61084586,1.09009,1.196001,1.1811829,0.8589971,1.1368763
banana,1.4056034,0.76370376,1.2433044,0.7647996,0.94498706,0.0,1.0079355,1.1343435,1.1087841,1.3204134,0.42394412,1.2936066,1.2342982,1.2346448,1.1469913,0.84483236,0.37320447,0.7089808,1.2874125,1.1134999,0.8775747,0.7345022,0.9392488,0.7378844,1.2079,0.8894405,1.1908863,1.3429372,0.7384069,1.2754128,0.9039841,1.389013,1.0934352,0.34922928,1.3400388,0.53557634,1.153557,1.0839572,0.9843285,1.0778692,1.2952008,0.9218829,0.75135297,1.1501838,1.1827061,0.79122573,0.92115253,0.84893703,1.117007,0.74281,0.8112528,1.1024032,0.5440742,0.6121109,1.1508099,0.887241,1.1889584,1.0825866,1.269016,0.73902375,1.1879334,0.87877464,1.2231717,1.2366018,1.3862985,0.9508794,1.2967021,0.6979178,1.2084035,1.197124,1.0378902,0.9655242,0.5982852,0.9695825,0.50212574,0.89818734,0.9733988,0.96660304,1.2928197,1.2893194,1.2948537,0.43635792,0.3614124,0.79482484,0.9212143,0.7269274,1.2277528,0.91327006,1.0957503,1.2941387,1.1372944,1.1672041,1.3345811,0.9609183,0.964914,1.1475601,0.7191918,1.3248708,0.421391,0.5746519,1.1106274,0.8424666,1.3270289,1.3003731,1.3801961,0.45571953,0.83706915,1.131068,1.2454405,0.89669293,0.7588039,1.0478052,1.3083509,0.769866,0.41241872,1.0817505
basket,0.9820957,0.99402016,1.2056873,1.101356,1.1145879,1.0079355,0.0,0.788159,1.1185762,0.874814,1.1137402,0.8106861,1.0485913,0.7813598,1.0410923,0.61865133,1.0913944,0.8881869,0.55760264,1.0010334,1.0538807,0.7118336,1.011908,0.8401218,0.88288003,1.0654429,1.1075627,0.8876213,1.082288,1.0246744,0.8635754,1.0282608,0.98334694,1.0405173,0.65696704,1.109268,1.0619118,0.8826101,0.9866914,0.7595943,1.1176336,1.317782,1.1908058,1.1768162,1.1854275,1.2762296,0.91932,0.9628138,1.2052219,0.93424374,0.9965203,0.76644886,1.258946,1.1014956,1.0649055,0.7404936,1.1758685,0.9811424,1.149518,1.1734351,1.2143106,0.91377676,1.1027863,1.0363352,1.125055,0.9082223,0.79119897,1.0096791,0.83461964,1.1082475,1.1679788,0.9673113,1.1397382,0.87115276,1.1932597,0.97356313,0.7252469,0.9641397,1.0164814,1.1400161,0.79136986,1.0098553,1.0607245,0.9036019,1.1070466,1.0092276,0.6788367,0.7450028,0.882778,1.1584585,1.160898,1.072547,1.1618426,1.0571887,0.9142812,0.99376696,0.82001746,0.9155156,1.1724192,0.9303925,1.0077155,0.9226115,0.957453,1.0067492,0.76706576,1.0697079,1.204035,1.1644653,0.89582276,0.828992,0.8426515,0.50363076,1.0113932,0.9105266,1.2320397,0.9515294
bathtub,0.8801386,1.2774861,0.9929995,1.2802587,1.1446469,1.1343435,0.788159,0.0,0.92330265,0.46360123,1.1680355,0.5990026,1.0066149,0.83424306,0.7421875,0.91892785,1.279562,1.0167893,0.6650598,0.973172,1.0196054,1.0035316,1.2251086,0.94293845,0.6858348,1.2035918,0.95336515,0.59694517,1.1879786,0.82623506,0.9930905,0.6343452,0.9777255,1.1695659,0.57071334,1.223482,1.0957971,1.1787798,0.86876875,0.76559174,1.0238851,1.3266958,1.2799861,1.0289997,1.0651293,1.4073391,1.0508114,1.1934686,1.2380865,1.1701379,1.2154913,0.9137856,1.3222226,1.2737981,0.85566425,1.2013378,1.080022,1.0203047,1.1785485,1.3232322,1.0339448,1.2212932,0.8766055,0.8862769,0.9293363,0.7903459,0.7615957,0.8192141,0.93987083,0.9520871,1.1886506,0.99550796,1.425197,0.77846843,1.3022002,1.1016816,0.77257085,1.1888864,0.9527734,1.013099,0.74063236,1.0453795,0.999807,0.8421674,1.1740279,0.964517,0.9477001,0.8983039,0.8259213,1.132914,1.0748961,0.86959434,1.00364,1.3237689,1.2432114,0.7464757,0.3783065,0.7703516,1.3493011,1.1064124,1.2126104,0.9596923,0.9061951,0.93344444,0.6803287,1.1397727,1.3520634,0.98722225,0.84662807,0.9324643,1.1982572,0.7535386,0.81816804,1.0034426,1.3555245,0.70451814
bear,0.8492062,1.1805484,0.9576763,1.1269577,1.0345654,1.1087841,1.1185762,0.92330265,0.0,0.8911387,1.0860734,0.9979793,0.8565531,0.997766,1.0868455,1.1372179,1.1514264,1.1841005,0.99190676,0.981452,1.1610801,1.0936317,1.1897848,1.1532362,0.8334262,1.1157103,0.8403388,0.9379093,1.0639366,0.8575715,1.1178594,0.95616055,0.94671,1.1979425,0.9682037,1.1887274,1.0446979,1.231486,0.90287876,1.1514081,0.9960971,1.1682142,1.0334336,0.87991625,0.7950909,1.2094945,1.1415513,1.2034051,1.1904396,1.1938105,1.2079268,0.66137743,1.1859136,1.1722934,0.77341664,1.1557155,0.8560173,1.0173984,1.0883217,1.116805,0.7692776,1.0598933,0.95527774,0.83848476,0.90674025,1.043879,0.9763213,0.9286824,1.0075997,0.8375745,1.0582464,0.958788,1.1747932,1.0761888,1.2268786,1.0839331,1.0997669,0.9635085,0.96813244,0.9296003,0.94443846,1.1762236,1.153746,1.206111,1.2120768,1.113299,0.9114144,0.97006994,0.9164598,0.9150459,0.95142597,0.8414631,0.97025335,1.1753064,1.1705372,0.92683446,1.0948604,1.0833046,1.1953609,1.1643714,1.0999789,1.1118969,0.9597879,0.58822876,0.9122644,1.0966786,1.116325,1.0150571,0.90647644,1.1882957,1.261688,1.0177785,0.78475285,1.0249445,1.1407907,0.731696
bed,0.7395365,1.422663,0.9507413,1.4204891,1.2717756,1.3204134,0.874814,0.46360123,0.8911387,0.0,1.2777812,0.5120852,0.82922643,0.5846331,0.6316689,0.98951966,1.3916976,1.1796733,0.49797422,0.93188614,1.2466481,1.2336994,1.223203,1.2111351,0.5432493,1.2735093,0.79649633,0.4605565,1.3720537,0.61064464,1.215883,0.412551,0.9087224,1.4564353,0.21457934,1.4057822,0.9326873,1.1471163,0.9990352,0.83899,0.83578515,1.3914378,1.4513308,0.93222374,0.9143051,1.3795636,1.2826471,1.3081217,1.1994717,1.3871454,1.3005342,0.7062203,1.4809575,1.5220118,0.83913434,1.3226502,1.013852,0.8131094,1.1242907,1.4671955,0.8040883,1.2049623,0.7264848,0.65253437,0.7710171,0.96997696,0.515778,1.2295784,1.0506499,0.68964064,1.2173915,1.0445623,1.4973025,1.0590168,1.4895475,1.2476095,0.90907407,1.1305249,0.8275308,0.9416402,0.53740543,1.3452661,1.3327413,1.1549547,1.3806193,1.2321,0.73100346,0.99078494,0.73496026,1.1424445,1.093674,0.8037884,0.81224257,1.3378699,1.2715428,0.6754738,0.9598271,0.53034854,1.5023704,1.3451878,1.1620365,1.3108706,0.69220275,0.74402356,0.3781817,1.2487853,1.4867976,1.1513588,1.0250776,1.152438,1.2814705,0.7569431,0.6456171,1.1273533,1.4023479,0.7418324
