,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
toe,1.2869142,0.68013805,0.48734283,0.85198736,0.6843736,0.87717825,0.80347145,1.1233034,1.2994204,1.4134505,0.5286073,1.2426665,1.0787195,1.2832127,1.2883946,1.3014739,1.0406669,0.8222676,1.1531802,1.318586,0.72915816,0.89334154,1.181195,0.8701958,0.8554511,1.0358127,0.82813007,1.1219432,1.2285602,0.93761176,1.1046559,1.1404101,1.1591203,0.9811397,0.77839875,1.4378073,1.1477126,0.9515178,0.91246074,1.2365395,0.9943032,0.7093018,1.2250426,0.1893012,0.93144476,0.8609717,0.8155401,0.7957816,0.7911442,1.0663764,1.1006966,1.3138152,0.3964641,0.61860466,1.3148901,0.9053376,0.72663677,0.4056387,0.5184721,1.1772182,1.0036377,1.3039306,1.0981506,0.99559146,1.2037923,1.3464026,0.84187317,0.98305583,1.1546888,0.91551495,1.05813,1.0209962,1.2134595,0.54089034,0.9422795,0.52188665,0.63320386,1.1909916,1.2450625,1.1288984,0.97046524,1.1412536,0.81842303,0.8680459,0.8812742,1.0520824,1.1778679,1.0788709,0.851356,0.84993577,0.7690038,1.0714,0.88552046,1.3403876,1.1345433,1.112364,1.0862589,1.0768759,0.819183,0.785903,1.2326229,1.2733645,1.3800267,0.5582229,1.2764034,0.5584245,1.034079,1.3472253,1.248979,1.052932,1.4478072,1.0983386,0.0,0.95976967,0.9523051,0.84670705,1.3138977,1.2255841,1.1040732,1.2013618,0.43535513,1.1806666
toothbrush,1.0506359,0.86418146,1.097993,0.7820113,1.063273,1.0922875,0.9064705,1.1247944,0.9884018,0.9722705,1.0370288,1.0740138,0.76319784,0.9934818,0.9903084,0.9376303,1.1241345,1.172729,0.9636485,1.0549526,1.0052127,0.7020472,1.006772,1.1130544,1.2135015,1.3060253,0.7620968,1.0826249,0.99222744,1.2195711,1.0516323,0.7888482,0.9949587,0.82628286,0.93135977,0.9602489,1.0283076,1.1834663,1.1405885,1.0357198,0.88155544,1.1303287,1.0825212,0.82936597,1.1828259,1.0181003,1.2845556,0.7915557,0.7978765,0.9247064,1.0612917,0.9109459,1.0597041,0.9412875,1.1157116,0.9821924,1.1031381,0.7464672,1.2514,1.1374553,1.0610338,0.839971,1.0961854,0.87570196,0.8569462,1.0461615,1.0429904,0.7114412,0.9865222,1.025229,0.91703695,0.6836256,1.1022824,1.1397982,0.93978286,0.725318,0.9673848,0.9804255,0.96263,0.88255036,0.7749311,0.83764666,0.87940097,0.9960691,0.8807873,1.1122106,1.0810353,1.2022434,1.0474612,1.1817148,1.0880175,1.2071562,1.1080923,1.041476,1.1033127,1.3526552,0.892703,0.99522537,1.0419127,0.87072754,1.0968004,1.0000573,1.0308529,1.1535294,0.95729023,0.81615597,0.6931946,0.8975912,1.036735,0.97764695,0.9778215,1.1881548,0.95976967,0.0,0.9660997,1.1640825,0.77928627,1.1767862,1.2963728,1.0483551,1.1043973,1.0469179
towel,0.8061048,0.7466132,1.0880463,1.0730778,1.0702009,1.0201447,0.943132,0.67174375,1.1986394,1.016633,1.121716,1.0225829,0.8739632,1.1891338,0.4655711,1.2351129,0.7907654,1.0756357,1.203171,1.0096203,0.93590796,0.98698777,1.1472341,0.89753985,1.0344712,1.2140033,0.99453497,1.074009,0.951114,1.030568,1.0550921,0.87721705,0.92443705,0.6510007,0.92161536,1.0622607,1.1926227,0.82908976,0.6645515,1.1260036,1.0164645,1.099705,1.0567994,1.0381179,0.99658257,0.9730541,0.806189,0.76235986,0.9753205,0.8369011,0.9991143,1.3610232,1.1414706,0.6729915,1.2564802,0.86222327,1.0857084,1.0372698,1.0078006,1.3019489,1.0794822,1.2588944,0.5209384,1.0139967,1.2287948,1.1125765,1.0089842,0.949041,0.76080966,0.9689755,0.8091509,0.64392215,1.1496357,1.0971847,0.1350379,0.9201205,1.0087339,1.1426258,0.8534255,0.8455838,1.0162199,0.5584579,0.9379041,1.019344,1.0336429,0.37841296,0.92778814,1.0577887,0.9240326,1.067211,0.9909386,0.78980595,0.91647506,1.1924528,1.1910458,1.0730358,1.1993982,0.97293586,0.80012023,0.8651461,1.1338037,1.2364426,1.1693443,0.8802399,1.0368823,0.5995111,1.075289,1.3655405,1.0784379,0.9191744,1.1406497,0.97106165,0.9523051,0.9660997,0.0,0.8682526,1.1350237,1.1926237,1.065124,1.0263343,1.0918667,0.9869399
toy,1.2100877,0.96772146,0.5457301,1.4549949,0.52865684,0.61679715,0.5147337,0.8046056,1.3437047,1.4488021,0.71876687,1.2633185,1.0279609,1.3215938,1.2571149,1.2324429,0.58567333,0.4930253,1.0007018,1.0088081,0.5118729,0.97718745,0.7856214,0.7836464,0.6767302,0.82438487,0.8487673,1.0627736,1.4756528,0.6542422,1.2895275,1.1387212,1.5023999,0.9978405,0.52918816,1.2331593,0.87741315,0.7723981,0.4368382,1.3608949,1.2074311,0.8152107,1.2717023,0.86579186,0.767316,0.7372554,0.48130715,1.1779629,1.0008777,0.42766964,1.0729325,1.4000614,0.76871264,0.739388,1.2396411,0.5064652,0.9613663,1.1501105,0.5187024,1.2521963,0.8125516,1.3157877,0.97314394,1.4898458,1.1969005,1.3805728,0.748513,1.2981052,1.1105479,0.67412,1.1921432,1.2131717,1.0385848,0.64521897,0.7930479,0.9916978,0.6261362,1.4319358,1.188081,1.439261,1.469196,1.0826895,0.8542102,0.81671786,1.3616608,0.996674,1.048005,0.8045143,0.7035215,0.6043082,0.48846483,0.95157075,0.6562552,1.393937,1.3643913,0.7063708,0.8726655,1.4020209,0.7692587,1.2827704,0.87779343,1.2083995,1.3629158,0.40650058,1.151828,0.75597394,1.0108037,1.3158882,1.3068061,1.3580959,1.4575412,0.47124243,0.84670705,1.1640825,0.8682526,0.0,1.2823502,1.1759806,0.87008595,0.95426655,0.6338427,1.2548516
tray,0.9507931,1.1465678,1.2446214,0.77854884,1.2782757,1.2229277,1.1509551,1.1582035,0.6409973,0.66823906,1.4259365,0.9592094,0.8898427,0.81144005,0.85126036,0.5141914,1.1712946,1.1312253,0.6183856,0.9341526,1.1480315,1.103344,0.68097603,1.167609,1.3142751,1.1044753,0.95092577,1.0274216,0.8512718,1.1948107,0.9904909,0.80950934,0.81371975,0.96025115,1.3495343,0.705066,0.589594,1.0817243,1.1420896,0.9354644,1.06521,1.2251087,1.086273,1.2406219,1.1965752,1.3480365,1.360597,0.995281,1.2306726,1.0531512,1.1436808,0.56358933,1.4021379,1.1220374,0.8182925,1.2288005,1.1319048,0.9532,1.4720128,0.8193581,1.227478,0.7367334,1.1134266,0.8649438,1.0377464,0.8437979,1.3135071,0.95069355,0.9412594,1.0216721,0.866802,0.8161303,0.82058203,1.3841562,1.0958767,1.3094403,1.2100033,0.7930645,0.78236324,0.7882484,0.88396025,0.80696046,1.3120794,1.2072629,0.83833253,1.1241541,0.87615204,1.0252861,0.732031,1.2957565,1.2044176,1.1430917,1.1549561,0.75089985,0.9916115,1.1593368,1.1266148,0.837565,1.1163883,1.0464004,0.9480137,0.605767,0.59915406,1.4801822,0.9624033,1.2246944,0.9412575,0.44714224,0.84365654,0.92196274,0.6311857,1.0126854,1.3138977,0.77928627,1.1350237,1.2823502,0.0,0.9707651,1.1055667,0.9903059,1.4377469,1.0858247
tree,0.88026285,1.2304895,1.1594815,1.0467514,1.1184409,1.0172008,1.0815055,1.1095579,0.87758136,0.92637795,1.1306454,0.96607447,0.947104,1.0702082,1.0068182,0.86934865,0.99165213,1.0071661,0.99579024,1.0114557,1.1449212,1.1631639,1.0222816,1.0453467,1.0586636,0.871727,1.1352968,1.0918154,1.0724682,1.0134612,1.0103773,0.9791803,1.0027419,1.2276859,1.0610322,0.9774442,0.8238323,1.1246542,1.1650205,0.9900128,1.0819999,1.1165637,0.93774056,1.1797743,0.9823561,0.88215494,1.1469227,1.017003,1.0372839,1.0302782,0.49147177,0.89775664,1.1394796,1.303652,0.57449216,1.0574496,1.1210324,1.1366158,1.1487889,0.76082027,0.9331925,0.97968626,1.1074255,1.1090204,0.882892,0.86669064,1.0227287,1.1386671,1.1142901,1.1618869,1.0828537,1.1513351,0.88813746,1.1080892,1.218278,1.2291534,1.0949723,1.0228388,0.98836046,1.0194662,1.1329279,1.005528,1.0716718,1.1759753,1.054699,1.1201965,0.95629126,0.82466227,1.0510995,1.0884145,1.1278776,1.1243842,1.169812,0.9268472,0.8026905,0.9547383,0.9149386,0.978136,1.0433589,1.199155,0.99006224,0.90282583,0.79302377,1.2345712,0.8061133,1.1902168,1.0059901,0.7899658,0.99194497,1.0170498,0.87691855,1.0343937,1.2255841,1.1767862,1.1926237,1.1759806,0.9707651,0.0,0.7596674,1.0416366,1.152407,0.8337058
truck,1.0067456,1.1198487,0.96945095,1.2902982,1.0069221,0.83015156,1.1018307,0.6736709,0.9007966,1.247865,0.9758087,0.84919304,1.1192161,1.2267911,1.1949027,0.9411493,0.8002747,0.7047471,0.9758638,0.8864067,1.0775557,1.1138661,0.7633671,0.94990516,0.61039925,0.34452653,1.1442068,1.0844657,1.181496,0.76433086,1.114588,1.1715477,1.2701602,1.3459618,0.8697002,1.0883825,0.81531703,1.0134221,1.0024294,1.0710387,1.0928649,1.052697,1.0760596,1.1596792,0.49033362,0.87942415,0.7618421,1.124834,1.0646809,0.960689,0.8240328,1.0650883,0.98097694,1.1069852,0.8897042,0.89959615,1.1349012,1.2099009,0.7715719,0.9470831,0.6533244,1.0871807,0.9675522,1.2948622,0.90839547,0.9830623,0.8522489,1.1275703,1.2158035,1.1782472,1.0871552,1.3674046,0.6116316,0.925497,1.1183523,1.091492,1.133803,1.0655662,1.2423631,1.3759887,1.2767315,1.2172714,0.9832673,1.019795,1.2883826,1.0766213,1.1642519,0.626652,0.907443,0.81014514,1.0348879,0.8115932,0.89804447,0.99442154,1.1118925,0.7137861,0.88407797,1.2143463,0.9020587,1.1429591,1.1149284,0.9051237,1.0333172,0.83991665,0.9271989,1.0728793,1.0034307,1.020748,1.0916842,1.1222527,1.2107973,0.8201497,1.1040732,1.2963728,1.065124,0.87008595,1.1055667,0.7596674,0.0,0.8111092,0.917639,1.0179266
vacuum,0.9837065,1.0943809,1.1052392,1.0901399,1.1318728,1.0130934,1.1844866,0.6920825,1.1228118,1.076855,1.148952,1.0391579,1.2292254,0.9373487,1.112331,1.1739781,1.0611457,0.88536096,1.0500351,0.8461118,1.2243695,0.9093824,0.90915287,0.9022963,0.86303407,1.0398889,1.0835245,0.8895502,0.624326,0.9871398,0.965294,1.3200144,1.0031004,1.248336,1.015553,0.9018804,0.893445,0.88313484,0.8140861,0.744931,0.9234543,1.1664369,0.8855903,1.2168231,0.8161824,1.1690649,0.8762043,0.9785129,1.1034406,0.9886662,1.0591124,1.0664662,1.1831897,0.76826453,1.0856822,1.1039469,1.0397261,1.1409372,1.0413377,0.9744093,0.99840736,0.6463656,0.8880051,1.1377944,0.87223214,0.43106377,0.77751094,1.0247184,1.0685477,1.0044217,1.0050547,1.2021291,0.7550251,1.172674,1.0571952,1.0942729,1.2724969,0.8110011,1.1446635,1.2475307,1.0885402,1.1890017,1.0123608,1.0467921,1.0888798,1.0427989,1.0664278,0.8083228,1.0378394,0.9985712,1.1965301,0.77933174,0.98183733,0.72414446,1.1929548,0.78656536,0.77628744,1.074719,0.85248935,1.1436286,0.9703478,1.0861475,1.1424118,0.9787483,1.1070621,1.0124801,0.7843906,1.0972443,0.7356539,0.9895271,0.95246804,0.9064493,1.2013618,1.0483551,1.0263343,0.95426655,0.9903059,1.0416366,0.8111092,0.0,1.073942,0.7692868
watch,1.4028814,0.85196906,0.52442026,1.2556783,0.4127419,0.6903716,0.70254713,0.8746625,1.4153657,1.5336249,0.12174648,1.0851737,1.2033713,1.3547368,1.445079,1.4261832,0.78725415,0.38325328,0.9554428,1.2598917,0.73414814,0.9491953,1.0419848,0.91162676,0.3478678,0.66119576,1.041886,1.1596794,1.4510394,0.76385546,1.2906952,1.2142191,1.4559355,1.242031,0.45139033,1.5090091,0.9971765,1.1001165,1.0233339,1.3359376,1.1156014,0.603019,1.138932,0.5463107,0.7133431,0.4780513,0.60548735,1.0760746,0.7294292,1.0554801,1.0316005,1.3942026,0.12600058,0.82355386,1.2300303,0.7723993,0.98201877,0.9823049,0.146371,1.1646605,0.82821095,1.2612057,1.1967331,1.308178,0.7714697,1.3696399,0.5336476,1.1524755,1.3014827,1.0375661,1.2284565,1.4155812,1.0028201,0.25305235,1.0875599,0.6191045,0.5558764,1.2996445,1.315331,1.3910366,1.2400174,1.2960092,0.5035521,0.65248513,1.1731482,1.1255155,1.077517,0.9134005,0.67632794,0.69389665,0.65074956,1.0648082,0.66391957,1.4331998,1.1251924,0.8828963,0.55820477,1.389404,0.8976208,1.0921671,1.287372,1.268304,1.4058872,0.23887205,1.1774523,0.70548964,0.9944417,1.383127,1.3840425,1.3538518,1.5615232,0.82754225,0.43535513,1.1043973,1.0918667,0.6338427,1.4377469,1.152407,0.917639,1.073942,0.0,1.1627307
window,0.78613675,1.052533,1.2074978,1.0437084,1.0875403,0.9867583,1.1608124,0.86143,0.9425814,0.9319069,1.1328065,0.93095523,1.0526898,0.8762741,0.8636352,1.0534109,1.0413165,1.1236058,1.165851,0.8803522,1.2533431,0.9624387,1.2248832,1.0151424,0.99597836,1.0847222,1.1627898,1.0279595,0.74680734,1.0314982,0.7969074,1.0635889,0.93436474,1.0646836,1.0396105,0.8235364,1.1070361,1.2060094,1.0552706,0.60675246,0.91623783,1.0724462,0.64552975,1.1650571,0.9793099,0.9929164,0.9940013,1.0774894,0.95689833,1.1620269,0.97352517,0.885563,1.1472162,1.0794067,0.91490376,0.9600609,0.9282874,1.1019582,1.1499697,0.84164107,1.0114099,1.0112596,0.9095298,1.0335855,0.84338933,0.7494258,0.6952235,0.97641337,1.1088514,1.0571758,0.96729225,1.0140414,1.0850325,1.1464926,1.096774,0.9201056,1.155547,0.7738818,1.0621982,0.9874885,0.9417694,1.0131329,1.0042833,1.1060317,0.9456718,0.89696187,0.86610353,1.0297749,1.0994929,1.129223,1.173694,1.0531384,1.0336019,0.67418075,0.9163984,1.0397605,1.0372844,0.9248906,1.1540701,1.0439441,0.91483486,1.0467409,1.1029015,1.2567759,0.9796977,1.2033027,1.1844492,1.1651783,1.0073776,0.8870323,0.8858182,1.1726537,1.1806666,1.0469179,0.9869399,1.2548516,1.0858247,0.8337058,1.0179266,0.7692868,1.1627307,0.0
