,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,egg,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
pizza,1.109444,1.0719695,1.1694636,0.9447046,1.1016216,1.0340445,1.0954193,0.8858808,0.9973177,1.0168754,1.0761203,1.1216146,1.036841,1.0272143,1.014917,0.9870433,0.9330131,1.0809381,0.745255,0.91935456,1.0427418,0.98896885,0.88912636,0.9961296,1.1394104,1.0674607,1.0875051,0.9778554,1.1175607,0.9226247,0.9261946,1.00565,0.84970766,1.134294,0.91665405,1.1647629,0.9108994,0.91146296,0.9552449,1.009951,1.002707,0.95465225,1.1422732,1.062239,0.95972484,1.1737496,0.9938005,1.108433,0.84248996,1.0193776,1.1025052,1.0972426,0.82589144,1.0926065,1.1735902,1.0529095,0.93095624,1.0431925,1.0656965,1.187677,1.0958716,0.9591653,1.0874513,0.9974654,1.0904633,1.0216405,0.92812085,1.0360696,0.9162938,1.0838951,1.0277159,1.1435125,1.116185,1.0161054,1.153459,0.9153394,0.9260634,1.116148,1.0340728,1.1210071,0.9662197,1.1512022,1.1017758,1.0513289,1.1068566,0.0,1.0176,0.33176625,1.1192983,0.9581591,1.0021071,0.9014081,1.0119677,1.0976198,1.0258795,1.0050112,1.0485309,1.0059139,0.937096,0.9591051,1.08044,1.1831783,1.0687969,1.0876793,0.7979429,0.8563458,0.9676529,1.0453093,1.0512538,1.0168285,1.0790257,0.92362404,0.9330203,1.1329136,1.035585,0.96610606,1.030884,1.0115769,0.9277634,1.0118614,1.0410215,0.97297174,1.1742651,0.9448604,1.0685034
plant,0.568901,1.1500745,0.95908356,1.0042561,1.0182941,0.90606123,0.8060955,1.064568,0.9024343,1.1439037,0.92941844,1.1277899,1.1354585,0.7894096,1.0505731,1.1036621,0.92881984,0.9528135,1.0181543,1.0967538,1.0272905,1.010136,1.101859,0.7975583,0.95925313,0.97141206,1.0261691,0.86777663,1.0948547,1.0497694,1.067757,0.9239482,1.0510561,1.0795456,0.95685416,0.8007596,1.0899863,1.1446291,0.8429304,0.86773056,0.9751019,0.97215986,0.86529505,1.0334605,1.0469921,1.0518609,1.2353983,0.7764479,0.790619,1.1848918,0.7637549,0.7953714,0.87327796,1.0015848,1.0703624,1.0704635,1.051424,0.83332115,1.0265567,1.034609,1.0496264,1.0124893,1.117832,1.1574651,1.0959929,0.8871797,1.190428,0.9004993,0.9367442,1.0799752,1.1955429,0.9368614,1.0574195,0.70386857,1.0437243,1.089013,1.0237243,1.0441248,0.94848853,1.017184,0.99305564,0.7788814,0.8167355,0.86429703,0.8128615,1.0176,0.0,1.0152575,0.90271217,0.92933327,1.1347578,1.0330111,0.8337937,0.79077697,1.1298465,1.0194917,1.1358335,1.1054428,1.1318786,0.9777811,1.1158009,0.9669605,0.9479622,1.0741012,1.0377111,1.0900811,1.1652427,0.89973056,1.0516667,1.1293889,1.0143986,1.0684696,1.0056523,1.1413465,1.0202947,1.0790842,0.8114004,1.0187781,1.1879063,0.9645031,1.0169688,1.044327,1.0727907,0.9897573,1.0805663
plate,0.9795848,0.93355215,1.1055348,1.1070259,0.79010606,0.73289156,0.8780201,0.8944916,1.2810138,1.1694713,0.93635774,1.1669757,1.2388101,0.8732313,1.2038242,1.1222017,0.94121593,0.8089952,0.34368813,0.93841416,0.8227645,1.1672218,0.7615661,0.88767344,0.9944339,0.9632996,0.9166702,1.0343726,1.3684604,0.72866976,1.161806,1.0511134,0.81300366,1.4240725,0.8578235,0.9768293,1.0882968,0.7882414,0.8993918,0.996206,0.8771199,1.0887164,1.1449833,0.7512227,0.90119606,1.1314557,1.0090449,0.8425502,0.75541484,1.0258421,1.1832471,0.84391457,0.99007,0.9515397,1.0970554,1.217818,0.7431237,1.2497867,1.1040232,0.9618224,1.2266711,1.134576,1.3862138,0.8194293,1.3309286,0.9438385,1.165283,0.84995735,0.6653031,1.2680037,1.2129078,1.1304911,0.9556342,0.98930514,1.1582626,0.69805473,1.0378264,1.0509319,1.1489646,1.3524787,1.0269662,1.0391033,1.0181596,0.8676197,1.0769408,0.33176625,1.0152575,0.0,1.0526217,0.9664849,0.8582913,1.0786024,0.84505683,0.87280023,1.2053026,1.0195528,1.2642977,0.96773344,1.0072799,0.9552918,1.165052,0.96404624,0.89569515,0.89318067,0.81942403,0.5730956,1.1047535,0.94564134,1.2475832,1.2498013,1.1914518,1.1315349,0.53943485,1.0347039,0.93192565,1.062584,1.0652761,0.79781616,0.7856605,1.1397319,1.0148758,1.1914542,1.0735978,1.1585417,1.1913307
pumpkin,0.8476246,1.033963,0.69642824,1.0280547,0.94248873,0.9791447,0.81015193,1.1612018,0.9392631,1.1623496,0.66123253,1.1703975,0.9366015,0.99079007,1.0697403,1.1431632,1.1705321,0.97468525,0.9628016,1.1557633,0.9503216,0.97965026,1.0536326,1.1073052,0.9329315,1.1374928,0.7833247,1.0102572,0.94076854,1.1597298,1.10383,1.0516261,0.97421414,0.8957382,0.85367346,0.8520279,1.1277018,0.9580873,1.1470613,1.0280495,1.0643929,0.81252444,0.62623465,0.9174218,1.1321797,0.7817869,1.1439722,0.8327664,1.1613189,1.0882677,0.8561985,0.9235474,1.0963627,0.9638967,0.92565817,1.1284125,1.1505252,0.8853375,0.8244804,0.9700587,1.0076053,1.0704849,1.0464443,1.2266713,0.9902874,0.857857,1.1605625,0.8112639,1.1405545,1.049818,1.272789,0.72023785,0.8883666,0.70430195,1.0059979,0.93771046,0.92074376,1.029459,0.6538053,0.8015303,1.0483348,0.67321676,0.78509045,0.93022275,0.83366317,1.1192983,0.90271217,1.0526217,0.0,1.0365759,1.0892267,0.91958654,1.0410724,0.93431485,1.1234435,1.1480068,0.9629418,1.1136011,1.0738039,0.9345468,1.1735588,0.8690514,0.93673724,0.9468485,1.0547734,0.97206926,1.1606243,0.80375266,1.1452402,0.9943499,1.000982,1.181306,1.0593095,0.8744192,1.0850695,0.94879425,0.9220067,1.2296877,1.0161762,1.1670114,1.1424243,1.0904591,0.92144775,0.9920837,1.1469247
purse,0.84247124,1.1218241,1.1801928,0.94425744,1.1525478,1.216402,1.0476805,0.5689332,0.9290174,0.8730058,1.1838421,1.2155069,0.8845373,1.1953131,0.61232656,1.1311574,0.6835909,1.1018816,0.9443027,0.8099888,1.2811003,0.6683096,0.8012212,1.1160983,1.1567519,1.2115821,1.106897,0.85218227,0.6831275,0.99995,0.86750376,1.0533779,1.0178149,0.7398134,1.1150851,1.2919807,0.6761449,1.0020487,0.9432343,0.80999064,0.7675257,0.9135451,0.92429686,1.1883051,1.0248247,1.2294692,1.1423274,1.1329015,0.7964183,0.9160296,0.9531427,1.1001431,0.6520105,1.2071384,0.94414306,1.2039919,0.9697894,1.0232214,0.9384362,1.1113863,1.187333,0.78864795,1.040069,0.9391452,0.86573434,1.1829423,0.70710444,1.2486633,0.8109564,0.75309503,0.98458576,1.1306719,1.3251252,0.7604666,1.0808146,1.2385366,0.9166712,1.2681347,0.9887724,1.0040754,0.9005279,1.1617415,1.257248,1.1159518,0.601259,0.9581591,0.92933327,0.9664849,1.0365759,0.0,0.93436074,0.9597947,1.0522956,1.0888325,0.88066214,0.98374754,0.9564709,0.75075597,0.91435206,1.1487663,1.0648954,1.0470798,1.3184844,1.1605775,1.1627824,1.2118139,1.0926574,1.1735497,0.6750072,0.8986216,0.93859786,0.74019945,1.13603,1.2356098,1.1128182,1.0912217,0.6084471,0.85352373,0.8323996,1.1521049,1.1520308,0.60459495,1.2811278,1.094127,0.99729216
radio,1.1115936,0.8432045,1.113612,1.2934093,0.9370631,0.802233,1.0080196,1.0249801,1.2022636,1.0658858,0.82936645,0.72849345,1.2467338,0.75146055,1.1697202,1.1216528,1.1907729,0.73246235,0.6099359,0.9794046,0.907355,1.0652354,0.756561,0.96042603,0.6838046,0.5826169,1.0060163,0.99254805,0.9295387,0.87023103,1.0878861,1.0948337,1.1455525,1.0581384,1.2166432,0.9467842,1.0157458,0.8859902,0.8657123,0.96519756,1.0329944,1.0021666,1.0549098,0.9254582,0.99194556,1.0884542,1.0768999,0.9898313,0.9443823,0.9028916,1.1452526,0.9723695,1.1362895,0.86169326,0.91659063,1.2303104,0.90166074,1.1746086,1.1367748,0.7359366,1.0973341,1.1732432,1.2117783,0.788964,1.2154106,1.0891868,1.0965667,0.7788003,0.77722406,1.1247009,0.9316325,1.16115,0.9815626,1.0024024,1.074729,1.0441518,0.7205951,0.95798266,1.1798098,1.2031331,1.0858533,1.0692494,1.0205376,1.0304363,1.0360231,1.0021071,1.1347578,0.8582913,1.0892267,0.93436074,0.0,0.8210455,0.889845,0.9003708,1.115537,0.9970715,1.1678972,0.89052576,1.0055887,0.899174,1.0787171,0.69520944,0.9251944,0.8275237,1.234495,0.8356376,1.1079488,1.0472112,0.9190782,1.1605657,1.1268957,1.2220185,0.83308303,0.97137475,0.85347855,1.033284,1.0590179,1.013174,0.8694502,1.0263596,0.6724423,0.9197848,0.85029393,0.9348486,1.1412439
refrigerator,1.1607883,1.2516985,1.3457794,0.86961997,1.29583,1.2937107,1.2842803,0.85342574,0.5312699,0.8054992,1.1484298,0.87563443,0.9451513,1.2626529,0.98983943,0.85252297,0.9418566,1.2129984,1.0510069,0.8279314,1.3032262,0.5680295,0.9485869,1.295601,1.0350096,1.084729,1.222836,0.80653733,0.5380271,1.14676,0.44523597,0.92268276,1.0109818,0.62006825,1.1029187,1.3864679,0.6877924,1.099238,0.89670336,0.8512393,1.1273971,0.40543926,0.76787925,1.2928083,1.0556536,1.2981608,0.91552645,1.4241846,1.1057308,1.1208587,0.9868,1.4066582,0.7189196,1.3597372,1.2761941,0.8959169,1.1877233,0.8260776,1.0271409,1.42671,1.0484077,0.6451417,0.8232626,1.067101,0.9522933,1.0551171,0.636205,1.1769879,1.0616779,1.0401198,0.91876566,1.2111279,1.3976111,0.9553514,1.3013608,1.2730198,0.12794638,1.1035722,0.9936612,0.79555994,0.79222417,1.2736909,1.2583721,1.2711322,1.1175234,0.9014081,1.0330111,1.0786024,0.91958654,0.9597947,0.8210455,0.0,1.1601661,1.3121715,0.857832,1.0276346,0.82574797,1.1454556,0.89491427,0.81959647,0.9479544,1.3696055,1.2533233,1.2589391,0.9667986,1.1407074,0.9298808,1.330796,0.74124706,0.68161213,0.8301616,0.68149394,1.3617859,1.3670938,1.2168655,0.8186693,1.084607,1.2411757,0.94218534,0.8841874,0.8378818,0.57927847,1.3636885,0.46164894,1.0038352
rock,0.930956,0.922153,0.98828053,1.2084287,0.8256119,0.6088779,1.010439,1.1409504,1.1907303,1.223199,0.83157325,0.86197317,1.1893481,0.6362957,1.0379751,0.9947034,1.1440382,0.8186543,0.79745346,1.1893823,0.7640107,1.1523045,0.99733514,0.86980975,0.8472532,0.7775395,0.9800758,0.9404575,1.2169169,1.0467045,1.1773838,0.9879254,0.9320189,1.2095988,0.8996086,0.8372891,1.209138,1.015558,0.8511821,0.8947547,1.0171843,1.1815033,1.128135,0.82162476,1.0380187,1.0579411,1.1171445,0.82460314,0.9027092,1.118916,1.1391456,0.8645866,1.2530797,0.84376323,0.90010476,0.9902692,0.9543532,1.1659628,1.1351149,0.7627192,1.1063485,1.2058179,1.2454748,0.93221927,1.1115805,1.0481204,1.2198644,0.8361207,0.76837456,1.0427808,1.0867273,1.0754623,0.9276546,0.89944184,1.1222723,0.840227,1.0944649,0.90305775,1.1222123,1.2524401,1.1175913,0.9605312,0.89171845,0.90454113,0.9064042,1.0119677,0.8337937,0.84505683,1.0410724,1.0522956,0.889845,1.1601661,0.0,0.80906045,1.1813182,1.2528236,1.2210952,1.0414239,1.0848718,0.8185399,1.0219718,0.76618433,0.7856915,0.8330925,1.0293525,0.8729593,0.99997884,0.94994736,1.164139,1.2599311,1.0072047,1.2093925,0.8591486,0.98253095,0.746032,1.1913887,0.9005929,1.1330255,1.0999649,0.896353,0.8845005,1.184531,0.9541353,1.1438876,1.082904
rooster,0.57993644,0.76679575,0.71041656,1.2714125,0.8186212,0.67305636,0.68505806,1.2343488,1.3874182,1.2229911,0.671937,1.0765637,1.266756,0.59003586,1.3080591,1.3374739,1.0777589,0.69098496,0.72161573,1.1926816,0.7709615,1.2676682,1.0573249,0.41365373,0.6715132,0.8069592,0.73700774,0.8563717,1.3476517,0.8656571,1.3187549,1.1966324,1.2020264,1.3483611,1.0634795,0.53964853,1.2886811,1.0181993,0.6537793,0.74981964,0.91208684,1.130655,0.98646826,0.8384944,1.1029403,0.8771372,1.1467929,0.3607028,0.7644756,1.1338303,1.007605,0.40704226,1.253011,0.6314488,0.8366487,1.2700737,0.9951595,1.2365574,1.1816614,0.61252534,1.0786248,1.2824521,1.3752092,1.0009108,1.3437662,0.9480331,1.3921735,0.6320233,1.0915446,1.2983949,1.2981145,0.7973434,0.6258359,0.8919867,0.92157876,0.92004406,1.2360078,0.9726119,1.0081699,1.1873062,1.1928166,0.586833,0.6348439,0.26727998,0.8056642,1.0976198,0.79077697,0.87280023,0.93431485,1.0888325,0.9003708,1.3121715,0.80906045,0.0,1.2664998,1.0615646,1.3179927,1.0911833,1.1707448,1.1161475,1.1954507,0.6202849,0.75391364,0.6700097,1.250247,0.8561301,1.3461071,0.6334413,1.222825,1.3794678,1.2529858,1.4214156,0.6516353,0.7971064,0.7787845,1.243295,1.0161394,0.84794325,1.0990989,1.2108835,0.90391594,1.3131428,0.6887092,1.2352356,1.2068744
scarf,1.0943682,1.1214057,1.2259252,0.9191357,1.1905503,1.3041642,1.2158657,0.71594983,0.6267878,0.6646714,1.1552032,1.0976542,0.7689628,1.3533874,0.61243284,0.91727483,0.9182239,1.1756096,1.173651,0.91162115,1.2658683,0.76426834,0.87651426,1.2397864,1.1887466,1.2545491,1.1461828,1.0229967,0.7012483,1.187954,0.74790955,0.86173296,0.95397484,0.6591233,0.99149495,1.3141679,0.6482031,0.868787,1.109936,1.0533262,1.0926945,0.8946771,1.0548624,1.1794538,1.011232,1.1972035,0.8527293,1.3078611,1.1344068,1.0110543,0.8357798,1.3003316,0.8977933,1.3159883,1.0661956,0.9147008,1.1193721,0.990835,1.0599389,1.2289112,0.94794744,0.7621984,0.812366,1.0089165,0.7343694,1.1155818,0.76279384,1.3188633,1.0543951,0.8076001,0.8600987,1.0492729,1.2915921,0.9540824,1.1383132,1.1771855,0.9359041,0.97985435,1.1229682,0.80623066,0.96993935,1.2308457,1.2486002,1.1655431,0.9150133,1.0258795,1.1298465,1.2053026,1.1234435,0.88066214,1.115537,0.857832,1.1813182,1.2664998,0.0,0.973188,0.8725767,1.0557916,0.98560655,0.9585915,0.948348,1.3217801,1.2245475,1.1540365,0.8856638,1.1789483,0.9011346,1.2659373,0.896357,0.7926204,1.0354997,0.69564855,1.2192419,1.2258092,1.2245636,0.8632132,0.8018331,1.0064567,1.041631,1.0423006,1.1490088,0.76757777,1.2584155,0.94474995,0.73697925
scissors,0.88391644,1.0476729,1.2393082,1.0165623,1.1925318,1.1276256,1.0095091,0.86460894,0.99529225,0.8048259,1.0165656,1.0157304,0.90770054,1.1211476,0.95139086,1.0413245,0.7706541,1.0407106,1.134473,0.86670184,1.1507237,0.96545374,0.993817,0.9424069,1.0487256,0.9981833,1.1358407,1.1604495,1.0583371,0.8525561,0.9605231,0.78783345,0.87522686,1.1159704,0.9107972,0.9269831,0.80348814,1.0085686,1.1093575,1.194947,1.0171361,1.0972524,1.0502986,1.1938351,0.9264529,1.1590112,0.8254287,0.9511259,0.9379341,0.9466401,0.91036874,0.8766639,0.8756722,1.0938123,1.126073,1.065654,0.8986955,1.0668997,1.115931,1.1227473,0.97256523,0.9149419,1.0612863,1.0626471,1.056775,0.6449649,0.8533756,1.0190462,1.0246568,1.0468296,1.001391,1.0809125,1.1407974,1.0330753,0.87250805,1.0337267,1.1099038,0.96537596,1.1132207,1.1113509,0.9208055,0.86453545,0.8801683,1.0837908,1.1296273,1.0050112,1.0194917,1.0195528,1.1480068,0.98374754,0.9970715,1.0276346,1.2528236,1.0615646,0.973188,0.0,1.1058955,1.0053517,0.8558967,1.1734583,0.9646062,1.098341,1.1025152,1.0582364,0.8472904,0.94125986,1.1625735,1.1641657,1.0121137,1.0648519,1.0681914,0.8420171,1.081104,1.1332145,0.9703276,0.68172467,0.96968687,0.78952813,0.9460102,1.0731531,1.0706439,0.9134757,1.0508928,1.0284102,0.94244915
shirt,1.1346054,1.0921748,1.1382034,0.6373135,1.2773902,1.3247042,1.31968,1.0592479,0.683738,0.9551177,1.1354542,1.0699828,0.5626278,1.2916216,0.7483958,0.8300702,0.91675764,1.4211502,1.395389,0.9509398,1.3491938,0.9494356,1.0369717,1.3079509,1.2975838,1.2751396,1.2009522,0.90367466,0.6988857,1.1360879,0.80947787,1.0177666,1.006798,0.6184603,1.1082072,1.423299,0.96311766,1.1073327,1.1032234,0.9557468,1.0744351,0.94686276,1.047325,1.2134056,0.9366381,1.0515829,0.8759007,1.395184,1.2418051,0.90927386,1.0600971,1.3805134,0.8442051,1.301964,0.942705,0.8326771,1.1325955,0.6105336,0.82121164,1.2849128,0.86717117,0.9005768,0.219612,1.1405032,0.6219795,1.2138467,0.8812837,1.332284,1.0415274,0.7078546,0.82353,1.0380499,1.2749269,1.0420911,0.8922869,1.2843883,0.8898609,1.0720091,0.67973816,0.48181117,0.85185957,1.2946583,1.253336,1.1794007,1.0080993,1.0485309,1.1358335,1.2642977,0.9629418,0.9564709,1.1678972,0.82574797,1.2210952,1.3179927,0.8725767,1.1058955,0.0,0.9332376,0.9233177,1.0195982,0.896894,1.3034197,1.3817844,1.1704893,0.9529309,1.2822025,0.8191433,1.2696089,0.7811436,0.19772333,0.78770214,0.78183746,1.4160769,1.0730115,1.3012766,0.928478,0.9605308,1.2139492,1.1033874,0.83755857,1.0524002,0.93229854,1.2729882,0.83574986,0.8805056
shoe,1.0237073,0.8553513,1.1379192,1.0632801,1.0865948,1.0374999,0.9425576,0.9050202,1.0550702,1.117579,1.0697551,0.9968989,0.94670486,0.9705828,0.88199973,1.0558823,0.9443395,0.9661495,0.9546385,0.9736391,1.1291808,1.0684779,0.9885517,1.0420456,1.1227863,1.0507573,1.1561192,1.0575002,1.0231018,0.96878725,1.1813774,0.94053894,0.9880817,1.0934523,1.0047888,1.1129112,1.0408493,1.0857613,1.05863,1.0172395,0.83790445,1.1419506,1.0860525,1.0582966,0.94377804,0.9489573,1.1273209,1.04102,0.9027541,0.24120414,1.1495382,0.97672915,1.0411448,1.0086842,0.6568967,1.1064066,0.9318557,1.0237775,0.85667235,0.8760545,0.92912287,1.181401,0.9743056,0.93089485,0.7576091,1.1121426,1.0520316,1.092281,0.77100354,0.68523026,0.9103471,1.018471,1.1114748,0.9614931,0.674737,1.1100057,1.1103812,0.9100171,1.0182779,0.95447475,1.0224538,1.0764757,1.1050055,1.0988843,0.8589026,1.0059139,1.1054428,0.96773344,1.1136011,0.75075597,0.89052576,1.1454556,1.0414239,1.0911833,1.0557916,1.0053517,0.9332376,0.0,1.0037795,1.1388172,1.0354553,0.6617778,1.2187251,0.95027053,1.1224169,1.0376939,1.058364,1.150583,0.9426892,1.0210853,1.0601476,1.1150109,0.979303,0.88426125,1.0528096,1.017809,0.7770261,0.9681319,0.8631637,1.1144999,1.0690614,1.0873562,1.0987034,1.1906091,1.1026288
shovel,0.9883402,1.1447244,1.2941271,1.0592752,1.1460706,1.0804224,1.2769821,0.97375256,1.0141639,0.9181095,1.1783262,0.9258659,1.0136317,1.1199187,0.9020242,0.8734451,0.93182707,1.2285408,1.176295,0.93257225,1.2577381,0.8107584,0.8653795,1.158832,1.1219711,1.0878611,1.1030811,0.99023503,0.8395406,0.89912075,0.84954697,1.004049,0.96716666,0.94670904,1.0803434,1.1937428,0.9179597,0.93223214,0.93489975,1.0163938,1.0497382,0.9459,1.0367546,1.1323005,0.92017406,1.1900713,0.9910085,1.1221218,1.1087775,0.9221051,1.1525263,1.0929344,1.0362159,1.1474129,1.1461568,0.86167574,1.0502546,1.0649428,1.044615,1.2338412,0.9843263,0.8239655,0.9667868,1.00948,0.9503387,1.1056684,0.71898067,1.1097285,0.9128105,0.9170643,0.7903179,1.1996015,1.2317821,1.1563749,0.9843683,1.1309032,0.88592803,1.0243046,1.1201261,1.1178999,0.9560683,1.1328439,1.0642235,1.1618071,1.1444848,0.937096,1.1318786,1.0072799,1.0738039,0.91435206,1.0055887,0.89491427,1.0848718,1.1707448,0.98560655,0.8558967,0.9233177,1.0037795,0.0,1.149284,0.76506793,1.2719438,1.2420973,1.1805811,0.95970696,0.9893352,0.87147415,1.2355926,0.8067153,0.9244026,0.6611072,0.82852536,1.2742546,1.1877005,1.0481117,0.8022654,1.0950247,1.0201085,0.98922306,0.68195915,0.9565134,0.8042547,1.157594,0.845543,1.0198045
sink,0.98148423,1.257227,1.1517719,0.95940346,1.0891775,1.1295742,1.1077393,1.031298,0.68977517,0.9835278,0.8951999,0.7209924,1.0815707,1.0673232,0.94672227,0.35519052,1.0968857,1.1577541,0.9206313,0.99357903,0.98918986,0.929543,0.9601279,1.1914616,1.0607437,0.84459686,1.2141768,0.97154564,0.8253702,1.1453774,0.9507423,0.95880127,1.0178115,0.90188754,1.0299194,1.1153847,0.95690423,0.98088455,0.9811992,0.9814129,1.2520723,0.9907845,0.870002,1.075881,0.9767813,1.2415038,0.9292749,1.0462819,1.2184901,1.1405658,0.9811144,1.0562854,1.0237695,1.1728557,1.2241193,0.83040315,1.1650869,1.0633904,1.0884376,1.1442816,1.010107,0.9422518,0.9639686,1.0691571,0.9144042,1.0397466,1.0049145,1.0300963,1.0522528,0.9432615,0.7776887,1.0873585,1.2350259,1.0333593,1.2106097,1.0816462,0.80106103,0.91487664,1.2192847,0.9351489,0.9606095,1.1102784,1.0280809,1.0790399,1.0595174,0.9591051,0.9777811,0.9552918,0.9345468,1.1487663,0.899174,0.81959647,0.8185399,1.1161475,0.9585915,1.1734583,1.0195982,1.1388172,1.149284,0.0,0.8798367,1.1315714,0.97861767,1.2144288,0.95846736,1.0765465,0.47398782,1.1510931,0.9742888,1.0277555,0.9039103,0.84355676,1.0578378,1.3003045,1.1156514,0.963019,1.0634751,1.1403292,0.910119,0.9072598,0.92970014,0.8913222,1.2289531,0.90289503,1.0097789
slide,0.91168976,1.1896945,1.254863,0.97721875,1.1012605,1.0978793,1.2118385,1.0803012,0.8179283,0.8087591,1.2618654,0.6345813,0.98974687,1.1289527,0.89035684,0.5799014,1.0331866,1.2755309,1.2507708,1.047376,1.2245364,0.96419275,0.92550766,1.0975349,1.2806423,1.0670053,1.1725607,1.0668333,0.775154,1.1569048,0.9628325,1.0049661,0.9945857,0.89611435,1.1431077,1.2663941,0.9033077,0.9397974,0.995604,1.0463895,1.1466224,1.1825081,1.2595823,1.1906971,0.89795905,1.169536,0.7915832,1.1614763,1.2321143,0.93371284,1.1805905,1.150821,0.99899876,1.1974766,1.1585926,0.41112375,1.0236905,1.029805,1.0220838,1.279483,0.8749084,0.9081402,0.8227533,1.0628374,0.83012563,1.1750629,0.7588931,1.2994967,0.9745991,0.8570182,0.5049682,1.2059395,1.2683685,1.2905426,1.1470006,1.1813754,1.0156031,0.8051842,1.2162218,1.0124551,1.028509,1.3240463,1.1930529,1.1373969,1.2959039,1.08044,1.1158009,1.165052,1.1735588,1.0648954,1.0787171,0.9479544,1.0219718,1.1954507,0.948348,0.9646062,0.896894,1.0354553,0.76506793,0.8798367,0.0,1.3208404,1.2311486,1.2570668,0.9947535,1.2494159,0.4748279,1.2777631,0.69026273,0.8920517,0.32829213,0.7699681,1.2074714,1.2218425,1.206876,0.9892032,1.1183846,0.8513001,1.0769377,0.66309005,0.78686076,0.9005797,1.2353183,0.98876214,0.8446545
slipper,1.0301046,0.40568054,0.49641478,1.3856226,0.73667455,0.54543114,0.49153477,1.2597365,1.5141057,1.4489498,0.546241,0.93714756,1.2014177,0.47228068,1.2490883,1.4354653,1.2906791,0.42243654,0.59949636,1.3012787,0.5190749,1.3574439,1.0429263,0.6594739,0.4758228,0.5426304,0.71759826,1.1790627,1.2754041,0.91838306,1.5012138,1.2080094,1.2376037,1.2855368,1.0898182,0.41796482,1.4628854,1.0017283,1.099757,1.1119878,0.9717492,1.222039,0.9862633,0.6879127,1.2369092,0.6173111,1.2850958,0.605616,0.8239911,0.79295564,0.93989456,0.63934743,1.3472471,0.42634988,0.3843301,1.4182565,1.0252221,1.193549,1.0716867,0.17137241,0.97763824,1.5279815,1.2974899,0.962874,1.2161589,0.87474704,1.4862363,0.54481006,1.037013,1.1117237,1.2869835,0.7308848,0.48558956,0.75729936,0.73876053,0.87059677,1.2268236,1.0342021,0.81423795,1.0797473,1.3034574,0.5837292,0.6806366,0.81302035,0.6620128,1.1831783,0.9669605,0.96404624,0.8690514,1.0470798,0.69520944,1.3696055,0.76618433,0.6202849,1.3217801,1.098341,1.3034197,0.6617778,1.2719438,1.1315714,1.3208404,0.0,0.5260314,0.35778338,1.3716965,0.6798332,1.4029366,0.50376964,1.2273088,1.4112214,1.3410044,1.6562283,0.5381701,0.41127175,0.5859847,1.2012426,0.8670403,1.1398609,1.0560458,1.3180208,0.8592822,1.3822598,0.4186579,1.3420923,1.2668883
soap,1.07898,0.77864814,0.47563326,1.2567432,0.517805,0.58980113,0.5787188,1.3230443,1.4126661,1.3388743,0.8243438,1.0410699,1.3206601,0.7050801,1.3617218,1.2251679,1.3355885,0.426239,0.70380604,1.2900027,0.170537,1.2835542,1.135175,0.7601429,0.53201354,0.50163686,0.5978653,1.1527725,1.4210746,0.9335531,1.3187728,1.2770891,1.1387494,1.3302537,1.0054566,0.39102364,1.4100237,0.83882904,1.0358244,1.133065,1.0507653,1.2060311,1.0940229,0.55386335,1.2218775,0.76723075,1.1505079,0.62343454,0.9206092,1.2893808,0.8708421,0.72974044,1.2670009,0.42732608,0.9272495,1.2389989,1.0639839,1.1466587,1.2012018,0.38941193,0.9645605,1.3073299,1.274194,0.98762655,1.3550099,0.78632486,1.4033082,0.5528436,1.1815041,1.3196259,1.2519801,0.8987604,0.40684128,0.99165654,0.9710663,0.53079,1.1925828,1.0758221,1.0266069,1.1728973,1.189122,0.69484794,0.7185415,0.84603167,1.0869887,1.0687969,0.9479622,0.89569515,0.93673724,1.3184844,0.9251944,1.2533233,0.7856915,0.75391364,1.2245475,1.1025152,1.3817844,1.2187251,1.2420973,0.97861767,1.2311486,0.5260314,0.0,0.7179464,1.1050591,0.6505765,1.1683366,0.39738983,1.3311094,1.385312,1.2858893,1.4657323,0.58559597,0.6249754,0.48902988,1.1340019,1.1793888,1.0108776,1.0619638,1.1181034,0.9190666,1.3392835,0.3756951,1.2663957,1.0755479
