,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
corn,0.20019823,1.1991489,1.0191641,1.1481873,1.2664535,0.9060906,0.85396934,0.77198917,0.9583902,0.77162373,1.1625342,0.9622583,0.8689236,1.1393822,0.7845648,1.0175225,1.1617489,1.197734,1.1374195,1.1086624,1.1020236,1.0604347,1.0667394,1.2423496,1.1072893,1.0584674,0.83230263,1.1653271,1.134491,0.93022364,0.9955276,1.1352459,0.7143284,1.0596647,0.0,0.9895021,0.69636077,1.1839708,0.8334111,1.2380526,0.90386534,1.0444576,0.8813478,1.141752,1.0250841,1.100585,0.8925981,1.1892713,1.1942314,0.93335134,0.9568232,1.1809343,0.96727276,0.97212195,1.0602186,1.0965413,0.8713113,0.8767864,0.93491626,1.2229872,1.236843,0.7584399,1.0916204,0.9779896,1.0640827,1.0437388,1.2852167,0.9116014,0.93304193,1.0429137,0.9842666,1.0400174,1.0628511,1.142494,0.8714014,1.0282975,0.97836167,0.92767245,1.1244984,1.2362986,1.1322008,1.2547419,1.2499624,1.1180906,0.8089548,0.8467403,1.0386932,0.9019379,1.1333765,1.1353198,0.9684706,0.9821407,0.99540496,1.0473945,1.1401193,1.0482794,0.92669976,1.02781,1.0486778,0.84588087,1.0910999,1.1604259,1.1452811,0.884015,1.0010748,1.1144801,1.0710988,0.9027721,0.94746125,0.97444254,1.2637322,0.9847963,1.2157096,1.1620119,0.9935785,1.179078,0.95489055,1.1445539,0.9831976,0.9046576,0.90193737,1.1459571,1.2534668,1.066576,1.0465508,0.9954986,0.99907184,0.8004724,0.9846246,0.9216184,1.0882423,1.0418695,1.2828953,0.99820846,0.9701803
couch,0.8319938,1.4639102,0.7697543,1.2861937,1.4761599,1.1400888,0.96382225,0.5040538,0.99183005,0.36485273,1.3688724,0.6948773,0.602507,1.2855189,0.52717495,0.93772656,1.3710506,1.3521096,1.3284377,0.9446728,1.2381816,1.1295209,1.3934577,1.3800584,1.0658361,0.99819404,0.7911413,0.26383805,1.4175694,0.6575058,0.7073476,1.1075385,0.86715364,1.2708647,0.9895021,0.0,1.1713297,1.5049334,0.4694233,1.4437394,0.75949985,1.2090182,0.78544563,1.1387907,0.76525015,0.97972625,0.5114104,1.2584817,1.2616608,0.8212347,0.7947446,1.1430023,1.4501244,1.3528178,0.9788943,1.4839413,1.397353,0.77938956,0.7617787,1.35043,1.2829053,0.8064927,1.4534305,0.83916026,1.3723943,0.8698666,1.4412577,0.6391401,0.5442695,0.97286505,0.6107152,1.3646219,0.77453923,1.3776304,0.9803801,1.1417669,0.78888184,0.8693524,1.241585,1.3159809,1.3773432,1.4156849,1.3994244,1.1361759,0.72108656,0.42198986,0.66061294,0.9134308,1.4919908,1.3935106,1.3835716,0.89548355,1.1408327,1.4660265,1.0920167,0.87778515,0.7887866,0.75620604,0.9365447,1.1763031,1.2358072,0.94684374,1.422738,0.53653795,0.99496096,0.94805956,1.0433203,0.78975904,0.96547574,0.8662653,1.4931252,0.7680516,1.4279437,0.99119383,1.1357446,1.4617932,0.8018589,1.3207426,0.49334162,0.4938835,0.45759022,1.456208,1.2232479,1.1162868,1.3256607,1.2313948,1.2267611,0.8046906,0.87700707,0.77738035,1.0823383,0.94317037,1.4637331,0.8261819,0.6911345
cracker,0.6697313,0.87396884,0.99413043,1.0746915,0.91936284,1.0814463,0.9683528,1.077761,0.924644,1.1384561,1.0074353,0.94355893,1.0172632,1.0661199,1.0201156,1.0819215,1.0018384,1.2021235,1.1517692,1.0230899,0.55776227,1.2175632,0.7585569,1.0481331,1.1537268,0.7937367,1.0171671,1.2446842,1.1331484,1.2803577,1.0777763,0.929765,0.8334105,0.5348909,0.69636077,1.1713297,0.0,0.8580204,1.2156304,1.136719,1.1737175,1.0536722,1.0755525,1.0674821,1.0241113,0.8412453,0.9590822,0.6424192,0.8011077,0.8026154,1.0875944,0.7096469,0.7606086,1.0834365,0.6850516,0.70995396,0.77290773,1.1187085,1.1630735,0.71416014,0.78141654,0.9765907,0.8098308,0.90672016,0.8004446,0.8779729,0.99834996,1.2391276,1.2142167,1.0763224,0.9640801,0.92804456,1.1205536,1.0077212,0.8027498,1.1471316,1.0518858,1.260903,0.7268392,0.9288794,0.8464767,0.7627955,0.91165626,1.2568104,0.9645446,1.0373939,0.9943,1.1384859,0.85656434,0.82709235,0.89006084,0.96635354,1.0549476,1.0103005,0.8738221,1.0965652,1.2237636,1.3785263,1.0496452,1.0682085,0.9603104,0.93517065,1.1313634,1.1516304,0.94628507,0.73935354,1.2579043,1.0245496,1.0300392,1.1022944,0.75053114,1.2762954,1.0035281,0.725036,1.0776936,1.0302022,1.2282283,0.90954256,1.3348618,1.2017701,1.2687571,1.0333593,0.69796026,0.65382063,0.8612442,0.88712186,1.1106141,1.1511376,1.2463698,1.2672684,1.2508482,1.301762,0.9264243,1.0946472,1.0479709
crayon,1.282714,0.26655102,1.2529255,0.67196625,0.4614027,1.0296028,1.2376802,1.4774781,1.0966223,1.5549967,0.19469404,1.146112,1.5301912,0.51261646,1.3860649,1.135692,0.5400846,0.2837546,0.6635928,1.1230072,0.5767071,1.0723013,0.6156435,0.30820304,0.8389809,0.8617592,1.2113609,1.3572369,0.6063372,1.3306184,1.2567586,1.027421,1.2537091,0.7671826,1.1839708,1.5049334,0.8580204,0.0,1.5772221,0.30392408,1.3053975,1.0381396,1.36075,1.0677278,1.2181545,0.9659087,1.4414409,0.70215744,0.78572476,1.1201534,1.2153296,0.75415087,0.3230915,0.7654892,1.0085685,0.3206274,0.7845681,1.2602651,1.4180881,0.429551,0.81643474,1.0710232,0.67678785,1.205596,0.5351176,1.2325256,0.5068682,1.4416837,1.4521729,1.2612399,1.3221735,0.48522866,1.2181396,0.447523,1.2070513,1.0078975,1.5016258,1.3030953,0.7809007,0.31277657,0.5916526,0.5027871,0.27815068,0.84206116,1.2595501,1.5091137,1.3168,1.3025368,0.09104997,0.14073032,0.6526397,0.952195,0.9055221,0.49235845,1.0264542,1.3562467,1.2958775,1.3621455,1.0154723,1.1168325,1.0307035,1.0515006,0.5260339,1.5069089,1.2404096,1.0101076,1.2769893,1.1518333,1.0036393,1.3988233,0.2647671,1.2348534,0.3677441,1.1089152,1.1821501,0.5576514,1.3825321,0.6055992,1.5919948,1.5037119,1.5886426,0.43267953,0.70164424,0.76819825,0.6103605,0.7701276,0.9442337,1.4516332,1.1035876,1.2753446,0.91667104,1.0261844,0.16863567,1.1421878,1.1947762
crib,0.7400989,1.5984675,0.91940933,1.3805256,1.5307469,0.96421224,0.54873484,0.45885885,1.0993413,0.1481874,1.3993337,0.57648087,0.6204693,1.398643,0.5313697,0.99516845,1.3054073,1.3705785,1.2551575,0.7400243,1.3966672,1.0622991,1.457564,1.3616008,1.1132219,1.1059515,0.79590964,0.513593,1.3691123,0.4651078,0.824217,1.1857454,0.8099205,1.4182478,0.8334111,0.4694233,1.2156304,1.5772221,0.0,1.4897366,0.7693431,1.1888008,0.81245214,1.0334768,0.6783941,0.93224293,0.6405994,1.3968983,1.4067681,1.0321336,0.90442055,1.3895583,1.4732019,1.2146636,1.143841,1.4680134,1.357227,0.8429221,0.66076225,1.5515516,1.4430567,0.79968023,1.4285226,0.973003,1.4209862,1.0177264,1.5566077,0.3613543,0.66270447,0.76653886,0.78679276,1.3028288,0.41289115,1.3166393,0.89325917,1.0978802,0.84130234,0.67567194,1.2980338,1.5144384,1.3795948,1.511361,1.5405827,1.0667282,0.74876195,0.610865,0.797678,0.74514437,1.5327853,1.4655013,1.3106341,1.0211145,1.0307149,1.3502208,1.1052321,0.77531844,0.68764704,0.582888,1.1941472,1.0597115,1.1777011,1.0541227,1.364867,0.6741789,0.93514353,1.0393851,0.76243544,0.69070446,0.8895082,0.57035196,1.6570199,0.7896905,1.4418658,1.2101729,1.0602523,1.466289,0.7772783,1.3641397,0.36310017,0.6604146,0.26111698,1.509924,1.4981729,1.2666742,1.337168,1.1976867,0.94175816,0.5202472,0.8865308,0.58809954,1.0850456,0.75552803,1.578732,0.6085137,0.7181815
cup,1.3573232,0.3993559,1.2144942,0.6512449,0.4571848,0.86696976,1.0774875,1.4479058,1.2084305,1.5230402,0.4106797,1.2257822,1.5051872,0.583881,1.2592556,1.19081,0.5227456,0.17835104,0.4063083,0.958445,0.9317467,0.6897733,0.8224715,0.30223274,0.97016,1.0893137,1.2971745,1.2671757,0.469144,1.2198822,1.3571752,0.9085383,1.3111151,0.96429217,1.2380526,1.4437394,1.136719,0.30392408,1.4897366,0.0,1.2404184,0.8840401,1.3322973,0.93137705,1.1462696,1.0702713,1.4423575,0.8888143,0.8125843,1.3275422,1.2498772,0.9739759,0.5728816,0.6484863,1.2273948,0.65202945,0.8725087,1.2730066,1.1412016,0.70453393,0.88355625,1.245481,0.55106235,1.3189514,0.5952655,1.2898408,0.52908933,1.3280654,1.4443225,1.06779,1.4995766,0.763981,1.2706375,0.50438946,1.248709,0.77916443,1.3933052,1.2394648,0.9262438,0.4339888,0.5702927,0.6846255,0.3856268,0.60603046,1.3621213,1.5464683,1.4409428,1.1966606,0.40094137,0.46076572,0.6334772,0.8348856,0.82781017,0.50036097,0.9916778,1.1842908,1.1434754,1.1034698,0.9576895,1.0221401,0.8322071,1.1282095,0.3893746,1.4829142,1.2545192,1.1712984,1.0915183,1.1525314,1.0289747,1.2799244,0.5106474,1.2674009,0.24464971,1.119856,0.8830664,0.6667899,1.2510445,0.5491872,1.4749948,1.4014316,1.4115286,0.20999575,0.88872904,1.0119331,0.7630811,0.6675935,0.7312887,1.2727084,1.0838189,1.2213364,0.8002763,0.9101503,0.2964449,1.1393617,1.1731095
deer,0.7098994,1.273254,1.0232353,1.11126,1.2498169,0.99330795,0.9475964,0.76024723,0.98307025,0.8168318,1.1828294,0.92973363,0.92857623,1.1047633,0.8669538,1.0539623,1.2331519,1.1717843,1.1557426,1.0156605,1.1827762,1.0974766,1.1198066,1.2337624,1.145709,1.069213,0.37673366,0.8394922,1.1584482,0.7824869,1.0408657,1.0382112,0.9482218,1.0986712,0.90386534,0.75949985,1.1737175,1.3053975,0.7693431,1.2404184,0.0,1.1516052,0.26623368,1.0445945,0.8832976,1.0512774,0.9061999,1.2118547,1.1342484,0.997368,0.8545753,1.252837,1.2148122,1.1038749,1.1191766,1.2928265,1.0833331,0.83533394,0.9827096,1.2529156,1.1852328,0.88614774,1.2629578,0.90302217,1.2425729,1.0368209,1.2321515,0.74302274,0.9353499,0.9767335,1.0105621,1.1966242,0.9048284,1.1462963,1.0330255,0.9829295,0.7856876,0.88663065,1.1804243,1.2184083,1.2093797,1.3081875,1.25642,1.04663,0.9239948,0.9129397,1.001635,0.87582976,1.2863481,1.2850702,1.1746684,1.0008608,0.99349046,1.1926203,1.0053241,0.95757246,0.7852046,0.820778,0.99480796,0.7426853,1.09777,1.1119325,1.2371576,0.90688676,0.97381485,1.0741168,0.92878705,0.94331837,0.89788073,0.8999378,1.3471246,0.87949884,1.2682348,1.1144284,0.936298,1.18432,0.91930807,1.1909688,0.7524935,0.88027453,0.74650645,1.2728953,1.2623343,1.1583585,1.1623849,1.1288872,1.0988789,0.88395846,0.9451587,0.9011361,1.0950371,0.8845026,1.3228707,0.8914238,0.9427573
dish,1.1531668,0.9249757,0.9960942,0.8293834,0.7734922,0.85810566,0.9586458,1.0599757,1.0545509,1.1393148,1.0598731,1.0645914,0.9454258,1.0572153,1.0795724,0.6970165,0.9544827,1.0594249,0.5552239,0.98349404,1.0212951,0.55323374,0.94296896,1.0463566,0.87846446,1.0243367,1.2241293,1.2230558,0.9012718,1.1537693,1.1528774,0.76590097,1.0259992,0.9569382,1.0444576,1.2090182,1.0536722,1.0381396,1.1888008,0.8840401,1.1516052,0.0,1.148605,1.0225722,1.224093,1.020058,1.1456201,0.996543,0.9033319,1.069173,1.1130816,1.0486962,0.9731027,1.0036421,1.1691904,0.97441435,0.83098906,1.0717794,1.0194414,1.0269933,0.9770826,1.1154182,0.66392887,1.211019,1.1138387,1.104114,0.8501167,1.0801575,1.1719635,1.0112633,1.1444511,0.93046665,1.1992126,1.0523726,0.8512926,0.90648437,0.99135107,1.0588641,0.8583759,1.095479,0.9430641,1.0430976,0.96242946,0.922792,1.1647662,1.1741254,1.116657,0.9589349,1.0810281,1.1104009,0.96432024,1.1254195,1.1398991,0.6550938,1.0143266,0.9527664,1.041504,1.0310686,1.0542753,0.911917,0.53901374,1.0862224,0.79753554,1.1219411,0.9906299,1.2156874,0.8789994,1.1892027,0.94803464,1.0367308,0.96636313,1.1051323,1.0311178,0.9739266,0.71670204,0.79454565,0.81458044,0.87999964,1.1585258,1.1067448,0.9900298,0.6264601,1.0601456,1.185019,0.94657904,0.9251276,0.73170835,0.7175804,1.0795553,1.1556964,0.96508557,1.1231135,1.041127,1.1936883,1.0372432
dog,0.6588699,1.2588658,1.0513011,1.1782048,1.2311591,1.0270295,1.0776197,0.84366786,0.8339706,0.8781986,1.2777761,0.95135385,0.9439901,1.0034151,0.99530387,1.0753666,1.2959062,1.2369567,1.2834203,1.06654,1.097933,1.2034299,0.9929359,1.2944398,1.1641195,1.0319028,0.24851131,0.84372556,1.1677685,0.86097646,0.8924105,1.1033247,0.96724796,0.98866117,0.8813478,0.78544563,1.0755525,1.36075,0.81245214,1.3322973,0.26623368,1.148605,0.0,0.9392267,0.91027564,1.0656463,0.8345614,1.1423337,1.0968983,0.81635416,0.8290677,1.1364707,1.2216963,1.0773882,1.0571674,1.3381195,0.9544072,0.94274366,0.9673979,1.1234248,1.0627367,0.8747761,1.2286843,0.7817308,1.117324,0.96453345,1.1685398,0.876954,0.8668101,0.95849097,0.8742509,1.2655616,0.919307,1.2559323,1.0661846,1.0450615,0.80030036,0.88561654,1.1378398,1.198345,1.2014164,1.1967796,1.2679338,1.1089063,0.8847921,0.85276425,0.88538647,0.9987216,1.3169205,1.3126789,1.1974397,1.1231897,0.9371537,1.3103521,0.9783324,0.99500763,0.88464206,0.85274607,1.0541596,0.56025,1.1596328,1.046901,1.2305957,0.8561749,0.9027279,0.89631313,0.9106905,1.0116897,1.0926564,0.87822527,1.235936,0.9571696,1.2600399,1.0354618,1.0326747,1.2320502,0.96456474,1.174673,0.7433611,0.8508189,0.8290467,1.3213308,1.1265569,1.0140923,1.2103025,1.1420841,1.1293172,0.9419617,1.0141026,0.93613267,1.0934278,0.9547271,1.2953519,1.0118763,0.97395766
doll,1.0853379,0.9711111,0.92559505,0.95009285,0.93280363,1.0002121,0.8982763,1.3057523,1.0729495,1.1083447,1.0638639,1.0255415,1.1272112,0.8461427,1.0086846,1.2928834,0.80694956,0.9356983,1.0390838,0.8399097,1.1528599,1.1254177,0.97967124,0.9391127,1.259466,1.0444267,1.136717,0.9070159,0.79940784,1.0918186,1.0452138,1.0381035,1.0948812,1.0213207,1.141752,1.1387907,1.0674821,1.0677278,1.0334768,0.93137705,1.0445945,1.0225722,0.9392267,0.0,0.9852819,0.9513479,1.0445354,0.9233929,0.8918086,1.3202415,1.1067711,1.0015084,1.0239198,0.62700087,0.9402285,1.0510566,0.85854495,1.1583494,1.0865326,0.9637523,0.6184967,1.2876232,0.8421891,0.99883705,0.8533351,0.946294,0.7286843,0.9970784,1.0439656,1.0060916,1.1039042,1.0875611,0.95358974,1.0031939,1.126355,0.9328778,0.8126023,0.93941855,0.97588426,1.0189868,0.72501504,0.8435725,0.9727856,0.9109914,1.2349361,1.111366,1.0570292,1.0421361,1.1136711,1.1519227,0.9698631,0.77459955,0.7310968,1.0825703,0.71529216,0.876827,1.0025373,0.944138,0.9394392,0.8928485,0.9235391,0.9961815,0.82716537,1.0725989,0.812003,0.95550287,0.73292714,1.2066522,1.3173225,0.91405725,0.85830754,1.2315977,0.87857074,0.83415306,0.9659146,1.0033109,1.200747,0.8661165,0.96001697,1.0330925,1.1144149,0.93097,0.82916284,1.0110623,1.0340886,0.75823003,0.78060305,1.039016,1.1804523,1.0126469,0.80530584,0.85385334,0.9041672,1.0728878,1.0680412
door,0.94721925,1.3136978,1.0443635,1.2435293,1.1783478,1.0632029,0.99772686,0.79470366,1.1810855,0.7559472,1.0960817,0.65029174,1.0400848,1.2449743,0.9576776,1.1193466,1.1801476,1.1360108,1.302358,0.6764169,1.09625,1.1355064,1.2406325,0.84739435,1.1472702,1.0768895,0.85492826,0.6649091,1.0971768,0.43307543,0.94882584,1.0387836,1.0530185,1.0838532,1.0250841,0.76525015,1.0241113,1.2181545,0.6783941,1.1462696,0.8832976,1.224093,0.91027564,0.9852819,0.0,0.5843868,0.76480234,1.0248834,1.1065433,1.0393082,1.0086267,1.1297765,1.1456132,1.111623,0.9877355,1.1643946,1.26466,1.0331042,1.0187232,1.1999328,1.2370533,0.9518121,1.3625968,0.93504965,1.2071227,0.99165887,1.1999785,0.80255276,0.8850409,0.9325124,0.8680358,1.1559153,0.6305934,0.86006796,1.019527,1.0231805,0.9097437,0.9263222,1.0809363,1.1711392,1.161297,1.0980376,1.2331496,0.7784648,1.0429504,0.89475054,0.80736035,0.8866025,1.232693,1.1966183,1.1024313,0.9694606,1.0457349,1.2443094,1.150542,0.95062894,1.0133839,0.6563291,1.2357324,1.1004231,1.1727295,0.9034471,1.1617482,0.8777684,1.0955138,0.6350107,0.8637918,0.42954957,0.8631582,1.0049007,1.2868886,1.0077739,1.0327888,0.9826481,0.9556881,1.2866553,1.1318988,1.1506155,0.8581284,0.86171305,0.78047013,1.267347,1.1760032,1.0034294,1.1771154,1.1518302,1.2396035,1.0664604,0.95682764,0.94763774,1.0694106,0.65074384,1.1983895,0.5922601,0.9209877
drawer,1.0653195,1.1020732,1.0301602,1.1666999,1.0449204,1.1103435,0.84066904,0.9205762,1.1964289,0.99471307,0.98534113,0.47131538,1.1532917,1.1529305,1.0942719,0.9881009,0.75800365,1.1832563,1.1110109,0.37151778,0.8846709,1.0736253,1.0222493,0.8271492,0.9941555,0.999127,1.1162242,0.74776816,1.0318422,0.95509696,1.1294066,0.84891856,1.0664918,0.87229216,1.100585,0.97972625,0.8412453,0.9659087,0.93224293,1.0702713,1.0512774,1.020058,1.0656463,0.9513479,0.5843868,0.0,1.047769,0.865096,0.9377035,1.1290058,1.1578462,0.9537412,0.88161635,1.040976,0.86218935,0.7601733,1.0085137,1.1119002,1.1517355,0.91876864,1.0654349,1.1156994,1.0275738,1.0788758,0.9786472,1.0038761,1.005004,0.9865639,1.210229,0.8922168,1.0982554,0.9216168,0.6429391,0.78131205,0.9441102,1.0765479,1.1151037,1.0419935,0.876223,1.1344274,0.82205033,0.86544454,1.0284181,0.76471317,1.224875,1.170355,1.0633323,0.8255584,0.95225704,0.9942229,1.04166,0.959151,0.9811717,0.9753585,0.9762209,0.9266676,1.0685672,0.9654559,1.1715294,1.0644594,0.92088693,0.9553352,1.0485257,1.1993579,0.9801937,0.84618527,0.9867495,0.8767757,0.88158745,0.984059,0.9189802,1.1930069,0.9185257,0.90471214,1.0178558,1.0247471,1.0995,0.9293958,1.092077,1.186398,0.8284805,1.075758,0.91030234,0.93340176,1.0316184,0.8759762,1.0911647,0.9979455,1.1143731,1.1880496,1.019378,0.88954544,1.0059872,0.87330955,1.0325994
dress,0.76692677,1.4410137,0.80525756,1.3350202,1.3617196,1.2808084,1.0277117,0.70775044,0.92857414,0.51790416,1.333267,0.7867557,0.5552362,1.2341213,0.64414346,0.9764807,1.3449337,1.3631295,1.4475243,1.0659823,1.1409779,1.220781,1.289211,1.2938104,1.0856695,0.97830516,0.82743657,0.66465443,1.4104049,0.8381072,0.6460797,1.1691133,0.8383119,1.2186034,0.8925981,0.5114104,0.9590822,1.4414409,0.6405994,1.4423575,0.9061999,1.1456201,0.8345614,1.0445354,0.76480234,1.047769,0.0,1.1465586,1.2789497,0.8066467,0.9275944,1.0820184,1.3923564,1.3662188,0.8722515,1.3849442,1.3560634,0.7567775,0.8623902,1.2640167,1.0914127,0.80884624,1.3516638,0.821178,1.3431053,0.84387034,1.4091036,0.8449925,0.46437812,0.95663714,0.42375278,1.3410528,0.89629406,1.379295,1.0455172,1.2028561,0.8004566,0.9429563,1.1414986,1.3140256,1.3002465,1.1264205,1.3735238,1.1790853,0.5442729,0.22303802,0.4484781,1.0326024,1.4250741,1.3404222,1.3013813,0.962563,1.2002349,1.5155239,1.1215569,0.8379981,0.9822608,0.8959866,1.0645214,1.1423913,1.2620709,0.7902397,1.3685658,0.43313086,0.86172616,0.75707316,1.0546272,0.8008615,1.1001183,0.86503756,1.3434362,0.8968668,1.3677475,0.828044,1.1737263,1.4381166,0.9466996,1.2866713,0.703194,0.45355582,0.7277305,1.4502225,1.1262518,0.9397357,1.2641708,1.2045083,1.3022598,0.9536917,0.96775526,0.8657707,1.1903825,1.0471954,1.3590338,0.88720345,0.5955282
ear,1.1980135,0.7270582,0.8927772,0.9707339,0.77233064,1.2063417,1.3086715,1.2839651,0.9203557,1.3944464,0.8459769,1.1613373,1.1422495,1.0315607,1.3702509,1.1325424,0.9330058,0.9797766,1.1579118,1.1404258,0.72581595,1.2271554,0.76174366,0.8755598,1.0790462,0.77103305,1.2242194,1.2243435,0.9990688,1.2185658,1.092402,0.8421383,1.0478401,0.5343854,1.1892713,1.2584817,0.6424192,0.70215744,1.3968983,0.8888143,1.2118547,0.996543,1.1423337,0.9233929,1.0248834,0.865096,1.1465586,0.0,0.73835516,1.0112408,0.98366463,0.28272337,0.82963663,1.087564,0.5795355,0.6852061,0.9809596,1.1312537,1.1427535,0.47929388,0.5522368,1.1859174,0.8444443,0.78162944,0.8637426,0.56019944,0.7261047,1.2911744,1.2027721,1.1462184,1.0423031,0.90417093,1.1138389,0.9080706,1.1747255,1.120949,0.9882334,1.1864712,0.8530631,0.65173745,0.8882079,0.5998178,0.66016054,1.050643,1.1759579,1.149576,0.993909,1.2500839,0.76914155,0.7082327,0.90009797,1.1345129,1.1502297,1.0294069,0.88144326,1.1399814,1.2628613,1.2559748,1.0507646,1.1110511,1.0070981,0.81075096,0.9926648,1.1408331,0.97676694,0.8142972,1.1158451,1.1874316,1.1625934,1.1580049,0.5696311,1.1970682,0.8983817,0.60513085,1.1672806,0.7992878,1.236816,0.73544383,1.3567665,1.1695173,1.4320801,0.9571252,0.2649845,0.7132731,0.7272882,1.070635,1.1377096,1.3734945,1.1637204,1.1684835,1.1015043,1.1394312,0.59808177,1.1048739,1.1337641
egg,1.2193475,0.4935695,1.0209458,0.43487072,0.5552193,0.9245572,1.1718175,1.2928689,1.0475261,1.4343607,0.9268242,1.2144094,1.21823,0.9235205,1.2865863,1.1956053,0.91820014,0.88206816,0.77531064,1.0314687,0.6957929,1.0334742,0.9036953,0.95570934,1.1658952,0.9296692,1.2022629,1.2576233,0.7613355,1.2222866,1.167224,0.681905,1.1680242,0.4850036,1.1942314,1.2616608,0.8011077,0.78572476,1.4067681,0.8125843,1.1342484,0.9033319,1.0968983,0.8918086,1.1065433,0.9377035,1.2789497,0.73835516,0.0,1.1129299,1.0183754,0.6650238,0.84215593,0.9075376,0.9570935,0.84471273,0.9353039,1.1760354,1.1264825,0.72091526,0.8175949,1.2150018,0.7329111,0.99330413,0.697257,0.9772222,0.64595115,1.2549877,1.2569306,1.109506,1.1749574,0.9602933,1.2528822,0.8840146,0.96614426,1.011588,0.9687632,1.1808814,0.80693305,0.6296587,0.9063027,0.87882125,0.5807864,1.0236404,1.2932725,1.3028951,1.1117722,1.1150856,0.8488575,0.87089187,0.8604858,1.0081702,1.0766835,0.8781985,0.5698048,1.1891352,1.2314944,1.2840633,0.8252009,0.9930801,0.6821963,1.0782055,0.90895647,1.2493908,1.1179465,0.96644104,1.0819889,1.2799106,1.1535188,1.1804245,0.7101685,1.1538322,0.8155232,0.86115444,0.83977944,0.7825524,1.199966,0.6763098,1.3080992,1.2178065,1.3493094,0.7017729,0.5763351,0.7879644,0.91397136,1.028607,0.8351294,1.2192357,1.1125921,1.1705432,1.0511109,1.1581814,0.7433113,1.2740076,1.183027
elephant,0.90040267,1.111672,0.9093375,1.14925,1.1533687,1.102971,1.2452321,0.87079906,0.5471655,0.85814023,1.1063913,0.98664016,0.741297,1.0361025,0.9892192,0.8179883,1.3690326,1.2301079,1.3067709,1.2579911,0.7581215,1.1531372,0.91193616,1.174726,0.92531526,0.90330184,0.6920639,0.9794578,1.2418594,1.0914654,0.64688426,1.1868675,0.676931,0.9256041,0.93335134,0.8212347,0.8026154,1.1201534,1.0321336,1.3275422,0.997368,1.069173,0.81635416,1.3202415,1.0393082,1.1290058,0.8066467,1.0112408,1.1129299,0.0,0.8722761,0.9163953,1.0980719,1.3748941,0.9310153,1.0432969,1.0559096,0.9096498,1.0171745,0.89164484,0.9887834,0.58412236,1.2538106,0.7787827,1.1038064,0.9076701,1.1123955,1.1452501,0.74915475,1.1408715,0.50971884,1.0926313,1.0846182,1.2135179,0.837935,1.1882775,0.9670691,1.1053993,0.9945422,1.0498798,1.2703629,1.0594,1.0986187,1.2446176,0.45379835,0.6421653,0.6234407,1.1558009,1.0573372,0.9862165,1.1792349,1.1981759,1.2151928,1.2945979,1.1340917,1.1327326,1.1300148,1.0591536,0.99290663,1.063596,1.233735,0.98149335,1.2835677,0.71480685,1.0494255,0.8206999,1.1871598,0.7329988,1.0565162,1.142262,1.0363832,0.9512112,1.1952379,0.90591204,1.2503752,1.1641781,0.92998844,1.2738732,0.9804137,0.8550955,1.0252274,1.2722504,0.9741097,0.8858696,1.1470336,1.2688524,1.3951727,1.168738,1.0391461,1.0005536,1.2936494,1.2299156,1.1161317,1.051815,0.8993726
