,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,coat,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,meat,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,0.91274357,0.8769469,1.1661949,1.192432,1.0078543,1.2050897,1.0483527,1.0511081,0.8809403,1.1488829,0.96289325,0.857229,0.45836598,0.92012805,0.7562791,1.2317985,1.2138752,0.8107686,0.9095822,0.933112,1.0937089,0.591588,1.2532531,1.2536919,1.0934502,1.0268201,0.9901487,1.0795461,1.0214223,0.92188704,0.9384218,1.1026412,0.9892663,1.2566521,0.968035,0.6967362,1.1171826,1.0826564,0.97577566,0.9748981,0.9844379,0.96082246,0.48426282,0.9124895,1.110898,1.2206075,0.54420936,1.0244235,1.1832209,0.94436604,0.885731,1.047953,0.94424736,1.06665,1.0626215,0.9750072,0.9240159,1.0513985,0.91587895,1.1463289,1.0138824,0.85241175,1.0041316,1.1820177,1.1892397,1.1090405,1.0571283,0.91627747,1.1082864,1.0222726,0.93160194,1.0081071,0.780087,1.0835304,1.1088495,0.98545533,0.90492415,0.84833,1.1239206,0.90341634,1.110069,1.2008011,1.0614367,1.2369401,0.95621765,0.83219534,0.95593745,0.76509446,1.0277457,1.1075308,1.1490761,0.9950731,1.0656555,1.1189314,1.1576228,0.8856248,0.9885603,1.1030718,1.0944597,0.88761735,1.1065258,0.97448707,1.0256841,1.1196256,1.0114427,0.96787924,1.0810821,1.0905473,0.84404933,1.1227494,1.045701,1.0335974,1.1621081,1.1949435,1.0907805,1.0792036
apple,0.91274357,0.0,1.1101574,0.68656015,0.58391345,1.0006164,0.89888674,1.0621165,1.143855,1.1761348,1.0610093,1.2913913,1.1283005,0.89457023,1.2578378,0.8915793,0.97813374,0.9188748,0.8893622,1.0186173,1.0492445,0.8643338,0.935035,1.0229524,1.1274014,1.2131392,1.0587921,1.1278411,1.1194404,0.97469234,1.1999865,1.1464533,0.9875546,1.1077131,0.928547,1.0479457,0.8537361,1.1137267,0.78635883,1.0753443,1.1675129,1.0089086,0.95718074,0.84805405,0.7792742,1.0477345,0.99957097,0.73295915,1.0580691,1.034111,0.95243907,0.85079604,1.1408329,0.9684447,1.0134197,0.8995678,1.0490087,1.1733797,1.1364553,1.088,0.9352777,1.0206999,1.1202877,1.1072015,0.9797084,0.93291813,1.0676341,0.95738596,1.1480954,0.8076389,1.1620535,1.1767032,1.1959344,0.85585904,0.951989,0.9746074,1.1904018,1.0241829,0.9197786,0.9473299,0.98427856,0.7909081,0.9980727,0.9709673,1.0174712,1.2031274,0.9343587,1.1635578,1.0776615,1.0483332,1.1395776,1.0006714,1.2178802,1.02503,1.100775,0.9720908,0.9670702,1.0507184,0.9299017,1.019343,0.2049154,1.0882344,1.2098335,1.164751,0.9584185,0.89070845,1.0279894,0.9707936,0.96780515,0.7633453,0.9707058,1.0837904,1.0140326,0.8854501,1.0222288,1.1189979,1.2108067
arm,0.8769469,1.1101574,0.0,1.1372975,1.1906137,1.2427598,1.4050179,0.7253408,0.9665559,0.5846033,1.2183925,0.4375962,0.60856247,1.0586187,0.48914534,1.100838,1.347079,1.4854931,0.9835839,0.8190685,1.0443759,1.4417093,1.2573295,1.3193709,1.120738,0.9375124,1.1263587,0.8733318,0.7656296,1.0934949,0.5394985,0.816264,1.3043737,0.9031333,1.4707248,1.011962,1.0385112,0.8745282,1.1146412,0.9265191,0.6978511,0.8276305,0.9223947,1.1376157,1.1644769,1.1080776,1.3675977,1.2399416,1.0672499,1.2291894,0.8004463,1.0605328,0.7380564,0.62381625,1.2387998,1.1081529,0.81654006,0.574035,1.131041,0.9312743,1.4027472,0.72778565,0.8509003,1.0216507,1.1447766,1.3188045,1.3003731,1.1005183,0.71134526,1.2149063,0.7263439,0.7261957,0.692879,0.890998,1.3527818,1.2219766,0.6393527,0.9887501,1.2924061,1.2635515,0.875594,1.2583227,1.2690076,1.0104635,1.3068737,0.73216105,0.967785,0.70642346,0.9924137,0.7903951,0.9604718,0.9944412,0.5610856,1.0645133,1.0853693,1.3237801,0.76793885,1.0948132,1.3946375,1.1423874,1.1542118,0.9181403,0.55944693,0.8916608,1.4218206,0.8742569,1.0516167,1.1728779,1.2832804,1.3734336,1.2835937,1.0549558,0.96318436,1.1735146,1.2671204,0.93632126,0.9798484
ball,1.1661949,0.68656015,1.1372975,0.0,0.120569706,0.7659664,0.7846422,1.1693308,1.0368704,1.1961282,0.8177253,1.2617309,1.1804847,1.0349469,1.2566822,1.1589116,0.8393666,0.74035573,1.1559387,1.0359405,1.1785824,0.7176933,0.83236927,0.8444676,0.95380396,1.1075836,1.1513388,1.1234106,1.1545062,1.0381253,1.1980088,1.2095212,0.7084968,1.2240275,0.7173787,0.99925274,1.0605949,1.2689719,1.0053283,1.2461271,1.1070306,1.0156224,0.80258656,0.9201635,0.931941,0.8829329,0.7954188,0.8851363,1.0468833,0.7322608,0.94824004,1.1113762,1.1576201,1.0898783,0.6985837,1.1003225,1.0375854,1.1376839,0.942397,1.2600844,0.79057497,1.102234,1.1201705,1.1269461,0.69008,0.8268471,0.76897216,0.7794284,1.0767281,1.2007666,1.1233523,1.2930689,1.191078,1.1446322,0.8191637,0.7934624,1.2387468,1.0230196,0.9389378,0.9655065,0.99487394,0.8171046,0.8535663,1.2474222,0.86429954,1.2616756,1.1244472,1.2424114,1.076585,1.0816202,1.1681519,1.0678238,1.2184609,0.80542773,1.0378498,0.82900333,1.0463085,1.1697941,0.728557,0.95917815,0.87092525,1.0693287,1.2495711,1.2090036,0.66309416,0.75952804,0.8988755,0.8468715,0.8577626,0.7900795,1.0021647,1.0280712,1.0919186,0.978016,0.6923238,1.1958125,1.1285324
balloon,1.192432,0.58391345,1.1906137,0.120569706,0.0,0.75470483,0.75347054,1.1630454,1.0971776,1.2650595,0.76243556,1.3219266,1.2499416,1.0272007,1.316529,1.184188,0.705495,0.6712228,1.1773905,1.0701027,1.1893036,0.63678986,0.88408107,0.7825296,0.9018922,1.1477727,1.1302922,1.1520638,1.1683546,1.04179,1.2713667,1.2479761,0.61774147,1.251397,0.60628605,1.0228429,1.0838486,1.295373,0.9494625,1.2663907,1.1124444,1.1240808,0.86809814,0.9090789,0.93217254,0.8971697,0.7159755,0.8812063,1.0274352,0.70889235,1.0058273,1.1270665,1.2012653,1.1537012,0.6411883,1.0064987,1.0769289,1.1730938,0.8908528,1.276971,0.7128833,1.1435697,1.2082456,1.148239,0.5928198,0.7590767,0.75759554,0.78103566,1.1920516,1.1379827,1.1399504,1.3282368,1.2479432,1.1736503,0.7525392,0.7097042,1.298764,1.0289183,0.8811047,0.93513364,1.0594854,0.7815931,0.7955997,1.2700443,0.8229347,1.3379742,1.1096511,1.2812735,1.1459442,1.0950156,1.1953032,1.0044847,1.2594252,0.7895313,1.0044787,0.74669814,1.1013248,1.1508446,0.6565292,0.93663365,0.7822624,1.0965817,1.3204798,1.2480278,0.6448342,0.77230895,0.95523673,0.77736104,0.7704524,0.74774605,0.9272393,1.0233059,1.1439344,0.86195004,0.6028288,1.2121346,1.1259224
banana,1.0078543,1.0006164,1.2427598,0.7659664,0.75470483,0.0,0.4219076,1.3820478,1.1478682,1.340438,0.7146667,1.389616,1.3001558,1.0870267,1.425503,1.1841216,0.62286735,0.45850146,1.2845609,1.0897809,1.0143441,0.6299568,0.6980623,0.686528,0.83996934,1.2048275,1.010837,1.107308,1.2667594,1.1418941,1.3484497,1.2040471,0.41238344,1.2252479,0.4607244,1.0748866,0.98654294,1.3468966,1.1503483,1.2296251,1.0474714,1.1473403,0.73131245,0.93547523,0.9179547,0.7329012,0.4939388,0.84121335,1.1289455,0.5230398,0.9825576,1.1921722,1.323046,1.1603118,0.49895394,1.0406855,1.0708506,1.3166144,0.7104248,1.1641594,0.56160253,1.208017,1.0616874,1.0953866,0.5795386,0.6455244,0.5008331,0.7989835,0.96071184,1.072107,1.1383896,1.3449056,1.206793,1.3274763,0.46106505,0.58570874,1.321644,0.9931655,0.82511497,0.9749993,0.88472295,0.5882452,0.7271646,1.0767041,0.9312714,1.2236179,1.164359,1.317729,0.9248483,1.1375057,1.2273391,1.2461067,1.3323202,0.5927169,1.0937873,0.65128094,1.0576756,1.0938925,0.49175668,1.0700696,0.90892136,1.1547487,1.406837,1.383392,0.4248227,0.66199183,0.8546421,0.71621007,0.5079329,0.7478374,0.95000166,1.2586377,1.3177739,1.0617356,0.48861635,1.3612323,1.0738505
basket,1.2050897,0.89888674,1.4050179,0.7846422,0.75347054,0.4219076,0.0,1.3218265,1.2131985,1.4106064,0.7485554,1.5112526,1.4697356,1.1257012,1.5228488,1.0088648,0.48485708,0.24053693,1.1155449,1.1315359,1.0934383,0.4390204,0.81694233,0.3976428,0.8245343,1.1995798,0.7203948,1.1830869,1.1743115,1.0632536,1.4396086,1.3178523,0.4746164,1.0679798,0.27626634,1.0947615,0.9743277,1.243695,0.9198806,1.1933489,1.235225,1.2812068,0.9492712,1.0096269,0.82417005,0.6979944,0.4071628,0.9358915,1.1265099,0.6446288,1.0697899,1.0679975,1.4614737,1.3102804,0.60392225,0.9880134,1.0922832,1.4327576,0.7169485,1.1702104,0.5722687,1.2287467,1.3024302,1.10156,0.68937135,0.41827846,0.5563645,0.89587057,1.196368,0.7832322,1.3874557,1.396886,1.2716591,1.2962661,0.41708207,0.58422905,1.3223243,1.0218436,0.72028697,0.74210286,1.0749784,0.5449543,0.43054813,0.96295094,0.6516633,1.3440728,1.2231133,1.4108026,0.99496454,1.303972,1.1962299,1.1188017,1.4429518,0.7549814,1.1169698,0.48663372,1.1377825,0.9993458,0.459427,1.0601013,0.79814667,1.095415,1.4587545,1.3395897,0.36167377,0.811033,1.0258913,0.79562694,0.47660112,0.64113927,0.6757558,1.2055161,1.25105,0.87572557,0.5106527,1.3029296,1.1579448
bathtub,1.0483527,1.0621165,0.7253408,1.1693308,1.1630454,1.3820478,1.3218265,0.0,0.9141107,0.77374756,1.077056,0.6545821,0.8347045,1.0450947,0.69931877,1.061123,1.2368339,1.2398902,0.857406,0.98489016,1.0644056,1.240146,1.139119,1.066711,0.8653033,0.9068569,1.0399512,1.0542853,0.6163674,1.0068074,0.7479473,0.9597767,1.3334506,0.96298736,1.2546744,1.0222822,1.1699811,0.578966,0.7418879,0.985162,0.8932865,0.9808543,1.2844281,1.1843092,1.2953508,1.3127226,1.2710868,1.1763496,0.8709198,1.3188071,1.1699373,1.0626729,0.90368485,1.0125568,1.3336066,0.8491882,1.1486604,0.8246592,0.97816217,0.85179347,1.2983936,0.9332557,1.093028,1.169214,1.2272923,1.125549,1.3562613,1.2438647,1.0302958,0.9461092,0.7803925,0.9015945,0.9372351,0.87110937,1.3567063,1.3007613,0.91970396,1.1760677,1.141521,0.99317354,1.0835979,1.2263031,1.0275573,0.86967015,1.123933,0.99667656,0.8464856,0.88035333,1.1391073,0.86083853,0.6344584,0.3204711,0.7110324,1.3121891,0.8101671,1.2678869,1.1648446,1.0259228,1.3366168,0.91011137,1.0570891,1.1024693,0.78095686,0.64425164,1.2800245,1.2777002,1.2110152,1.1543326,1.3572633,1.1912532,0.93689984,0.9032855,0.85609543,0.9205616,1.3295497,0.6778293,0.9084464
bear,1.0511081,1.143855,0.9665559,1.0368704,1.0971776,1.1478682,1.2131985,0.9141107,0.0,0.90180504,0.9997125,0.88081044,0.8775237,0.99855024,0.8117131,1.1331263,1.176132,1.1839685,1.0208471,0.9223435,1.0776122,1.2258593,0.9834762,1.236413,1.0012931,0.57486314,1.2273794,1.0504969,1.0056577,1.1253874,0.9146431,0.952667,1.114821,1.1026667,1.213432,0.8345174,1.2014003,1.0572593,1.1058365,1.0756836,0.79059315,1.0223479,1.0603411,0.9379387,1.1034856,1.1353333,1.14521,1.0120778,0.8974502,1.069278,1.0821902,1.1230831,0.7718526,1.0702531,1.0455623,1.0024523,1.0817915,0.9990529,0.9147826,1.1033288,1.1592528,0.7757976,0.9281974,0.99320155,1.0514691,1.1761657,1.0699769,1.0152407,0.970333,1.1985345,0.55853635,0.9961653,1.0556582,1.0040097,1.1502551,1.1085627,1.0063759,1.0596243,0.98635286,1.0490795,1.0793242,1.1932629,1.2265248,1.1258186,0.9988283,0.96222407,1.0685445,0.9523215,0.9638853,0.9537446,0.92704415,1.0038974,0.9479453,1.1248909,0.7680708,1.1683893,1.1491619,1.1001356,1.147604,0.93549013,1.1103731,1.1580021,0.8852387,0.86842275,1.0987098,1.16288,0.97799015,1.0969652,1.1751404,1.177582,1.1163892,0.86038697,0.94521475,1.1646973,1.0656043,0.9073203,0.40394175
bed,0.8809403,1.1761348,0.5846033,1.1961282,1.2650595,1.340438,1.4106064,0.77374756,0.90180504,0.0,1.3034976,0.36000776,0.4876327,0.9956866,0.29482138,0.5956974,1.316501,1.5200735,0.4827994,0.98408276,1.0697802,1.4482716,1.1561971,1.496452,1.10297,0.7520752,1.1885456,0.9218128,0.92020357,1.0123671,0.046937525,0.7868725,1.3892226,0.53479075,1.4754179,0.67521304,0.83638465,0.915555,1.183887,0.93759227,0.83659923,0.86878556,1.3069272,1.1506174,1.0270208,1.3283138,1.5277119,1.116428,0.84526485,1.395301,1.0419925,0.78013515,0.7626528,1.0099322,1.300994,1.2425343,0.99619025,0.62909293,1.2432911,0.8882185,1.4858452,0.7870668,0.8850351,0.9933133,1.2442397,1.3757236,1.409616,1.3221319,1.0219597,1.2026892,0.7045968,0.6597648,0.99532306,0.42420918,1.4043953,1.3758522,0.49849784,0.98434407,1.1262574,1.1583585,1.135537,1.2930883,1.3013024,0.9082265,1.1405306,0.7616239,0.96999824,0.72175825,0.8968679,0.9638376,0.962348,1.1317033,0.34782338,1.4524028,0.92817444,1.3335212,1.0409548,1.1002992,1.5962838,1.0368093,1.1797297,0.8874439,0.482522,0.51128227,1.398288,1.3499209,1.325115,1.4695783,1.4187284,1.1330976,1.1427734,0.88106817,0.8267753,1.2353823,1.3664856,0.8430364,1.0108349
