,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,coat,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,meat,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
belt,1.1488829,1.0610093,1.2183925,0.8177253,0.76243556,0.7146667,0.7485554,1.077056,0.9997125,1.3034976,0.0,1.3027066,1.3888211,1.0666261,1.3862969,1.1941059,0.55086493,0.60124564,1.1825751,1.1874807,1.0743308,0.72971994,0.8915124,0.50793445,0.8021605,1.1353511,0.9726724,1.2840393,1.1057855,1.1891901,1.3104062,1.2596514,0.32444698,1.2835327,0.552506,1.2442358,1.3196707,1.2542989,0.8953953,1.3168111,1.1299653,1.1706917,0.7946141,0.9082372,1.138045,0.6742973,0.54550904,0.9954324,0.9451228,0.4336356,1.180397,1.1990008,1.2389863,1.1929364,0.5761885,0.8060572,1.1958138,1.354464,0.78247106,1.2059144,0.5299199,1.1850243,1.3343462,1.2855133,0.38733804,0.68030906,0.46333706,0.7198609,0.93343574,1.0819321,1.0965539,1.3850584,1.2280712,1.246576,0.566984,0.43320668,1.3790566,1.1918601,0.91729885,1.0347623,1.0730244,1.0613726,0.79667306,1.2847474,1.005137,1.3548899,1.0751888,1.3333755,1.1630378,1.1898485,1.0125462,0.7731105,1.3227947,0.59242505,0.8272925,0.48551536,1.2196587,1.1403482,0.5641135,0.8762055,0.98879343,1.2562591,1.4094571,1.271471,0.4459741,0.83566576,0.8292555,0.700728,0.5753331,1.0628836,0.95386565,1.1148916,1.210402,1.0380566,0.40579164,1.0739052,0.811576
bench,0.96289325,1.2913913,0.4375962,1.2617309,1.3219266,1.389616,1.5112526,0.6545821,0.88081044,0.36000776,1.3027066,0.0,0.5614299,1.1140388,0.13915354,1.1240213,1.4464552,1.5716496,0.98033273,0.9198767,0.929088,1.5591855,1.3392508,1.3894645,1.0384433,0.7055366,0.9523126,0.71613514,0.8380358,1.0365804,0.23047197,0.7716962,1.4823589,0.7079679,1.6062994,0.8656002,1.0695366,0.72372377,1.1912918,0.8030043,0.6344267,0.89128876,1.2172521,1.2448037,1.2074133,1.1775628,1.5450546,1.3481846,0.9367777,1.407918,0.98926216,1.0809752,0.67948914,0.9274645,1.3676867,1.0919895,0.82714546,0.3153199,1.0707741,0.73123443,1.4791819,0.74408853,0.81669533,0.9824426,1.3123187,1.3849919,1.3966255,1.214503,0.7357242,1.2104577,0.6175688,0.5044346,0.61546075,0.8621104,1.5412188,1.4206876,0.32790017,1.0748638,1.2945523,1.2540205,0.9439268,1.3612612,1.3560038,0.95359606,1.179351,0.58350956,0.96216,0.5847153,1.1343008,0.7565404,0.77394855,0.9630284,0.24711347,1.3475599,0.93549055,1.4162644,0.9587554,1.0894899,1.5950874,1.0463984,1.2903433,0.8722478,0.40836614,0.563617,1.5342982,1.2950919,1.1919358,1.3693916,1.4281725,1.435793,1.2628593,0.8963542,0.9627484,1.1437416,1.4263763,0.7189388,0.890633
bib,0.857229,1.1283005,0.60856247,1.1804847,1.2499416,1.3001558,1.4697356,0.8347045,0.8775237,0.4876327,1.3888211,0.5614299,0.0,0.93304145,0.37299478,0.8534899,1.3225772,1.5514591,0.754483,0.92837936,1.0666757,1.2722265,1.108592,1.568805,1.2589201,0.8003638,1.3407426,0.8273954,0.887535,1.0301919,0.5081272,0.66266584,1.4974791,0.7742617,1.4572617,0.77906907,0.73161876,1.0059471,1.2076458,0.64324045,0.733719,0.78532356,1.1393279,1.0429142,1.0074898,1.3468533,1.4799249,1.0757107,0.9682911,1.4315377,0.73153406,0.8602537,0.68310595,0.7837785,1.2608382,1.2345716,0.8248365,0.58542943,1.1940236,0.99257433,1.501132,0.6692526,0.48772967,0.93784803,1.3461823,1.3846985,1.4687588,1.3195527,0.9009495,1.2611834,0.63764143,0.44128144,0.76300454,0.6570363,1.4559546,1.3998148,0.6240838,1.0383859,1.2284402,1.1841564,0.9217182,1.1565477,1.3707719,0.9502409,1.3055165,0.5260643,0.86999464,0.48686218,0.7973233,0.9028566,0.9494841,1.1681077,0.56259644,1.3412311,1.0226967,1.4601977,0.6903873,1.0852593,1.4845436,1.1030067,1.1858958,0.7512146,0.42961574,0.75118124,1.4992107,1.2220328,1.1790748,1.2732711,1.46174,0.9885164,1.2626437,0.98313963,0.84208304,1.3420094,1.4481974,1.0052892,1.0108944
bird,0.45836598,0.89457023,1.0586187,1.0349469,1.0272007,1.0870267,1.1257012,1.0450947,0.99855024,0.9956866,1.0666261,1.1140388,0.93304145,0.0,1.0668002,0.84206676,1.1542488,1.0961659,0.84980696,1.054496,1.0549742,0.9605413,0.48157525,1.2187867,1.232997,1.0771025,1.1671339,1.0520906,1.0419252,1.0114399,1.0195206,1.0359408,1.1043102,1.0109906,1.1129179,0.83092284,0.74879146,1.0873873,0.9846445,1.021904,1.1530877,0.9166795,1.1033385,0.11872041,0.82307994,1.160878,1.1692215,0.27343655,0.8843659,1.1489172,0.99685127,0.94662994,1.0546374,1.0140094,0.99398196,1.1099719,1.1421405,1.1043116,1.0801746,1.0396414,1.1575222,1.0102435,0.9525357,0.98970616,1.092062,1.1351646,1.1510086,1.101063,1.1565104,1.0996844,1.0807862,1.0802485,1.1702429,0.75983834,1.0720133,1.095533,1.0825645,0.9753983,0.88940287,1.0117666,1.0138029,1.148694,1.0703045,1.0427568,1.1282773,1.0103503,0.84406537,1.0829834,0.7843374,0.90135324,1.0763297,1.0662985,1.1040165,1.1944069,1.0474741,1.0873871,1.0333024,1.0099416,1.0714726,0.9885838,0.9277576,1.0980432,1.0322912,0.97046,1.058676,1.151229,1.112553,1.1020483,1.1526452,0.7395798,0.98093444,1.0039937,0.97058874,1.1158836,1.154921,1.1000506,1.0866803
blanket,0.92012805,1.2578378,0.48914534,1.2566822,1.316529,1.425503,1.5228488,0.69931877,0.8117131,0.29482138,1.3862969,0.13915354,0.37299478,1.0668002,0.0,0.9748335,1.4222083,1.5898077,0.87444997,0.8815227,1.0138009,1.5131831,1.3349686,1.5194952,1.1644472,0.70223904,1.1273878,0.7050514,0.86362076,1.0000486,0.22519207,0.7182636,1.5355483,0.7382076,1.5845368,0.7662723,0.98509306,0.837753,1.2273932,0.7355974,0.60807496,0.9231885,1.2848194,1.1915709,1.0881746,1.286675,1.5832013,1.2796664,0.9477216,1.4804292,0.8254571,0.9705556,0.7085973,0.9258435,1.3538959,1.1800052,0.78835905,0.34863043,1.1382512,0.8450853,1.5608733,0.7095616,0.63933957,0.9130431,1.3384292,1.3849398,1.4863074,1.2720267,0.8084662,1.2303214,0.60477346,0.40601516,0.6448027,0.72061074,1.5663702,1.4718008,0.26884067,1.0448819,1.3024673,1.1908867,0.9927507,1.3029611,1.397754,0.9636526,1.2206768,0.549248,0.96930146,0.5217494,1.0186086,0.8305306,0.8367852,1.0390868,0.325279,1.4268609,0.96359247,1.4373637,0.88320863,1.0281909,1.627624,1.0405666,1.2844701,0.84222996,0.3651355,0.5852295,1.543699,1.3535681,1.2536372,1.4448111,1.4639461,1.2807524,1.2440912,0.88752055,0.9172234,1.1962664,1.4531945,0.8122083,0.88839066
book,0.7562791,0.8915793,1.100838,1.1589116,1.184188,1.1841216,1.0088648,1.061123,1.1331263,0.5956974,1.1941059,1.1240213,0.8534899,0.84206676,0.9748335,0.0,1.0399076,1.0995512,0.22211754,1.0331717,0.9619496,0.9866832,0.8714039,1.1317087,1.1474546,1.102311,0.9032462,1.0938684,0.9973648,0.9011772,0.76069695,0.99773014,1.1580931,0.70892054,1.0995119,0.8909347,0.6455597,0.9890484,0.84154636,1.057267,1.2143033,1.0582076,1.1882191,0.9428982,0.75626224,1.20171,1.2086235,0.79665077,0.98965406,1.2882825,1.0130106,0.40172327,1.1444753,1.0157384,1.2015789,1.0455427,1.138121,1.0979381,1.1979939,0.9666267,1.1898425,1.0896308,1.0059539,0.92625797,1.2266077,1.070539,1.2767828,1.2698665,1.148153,0.79605174,1.1751593,1.0507367,1.2451276,0.35099596,0.9660307,1.1513712,0.95863473,0.8306357,0.76708615,0.92140186,1.2192459,1.0137345,0.90004003,0.7645091,0.9824878,1.0907574,0.9326954,1.1143113,0.53382355,1.1525683,1.1372557,1.1235671,1.0319315,1.2724793,1.137544,0.99809533,0.9620592,0.9206057,1.2107067,1.0829074,0.9497966,1.0168954,1.0113068,0.8757113,1.1200553,1.2346402,1.1469095,1.243819,1.1736354,0.7054188,0.66774523,1.0295757,0.90172535,1.0010571,1.2446104,1.0533488,1.218621
bottle,1.2317985,0.97813374,1.347079,0.8393666,0.705495,0.62286735,0.48485708,1.2368339,1.176132,1.316501,0.55086493,1.4464552,1.3225772,1.1542488,1.4222083,1.0399076,0.0,0.50060415,1.0575874,1.2551228,1.0932196,0.44158268,0.9439257,0.40141207,0.7734467,1.1794109,0.80621344,1.1581151,1.1333266,1.121533,1.3607028,1.3560512,0.31519783,1.1511172,0.19384253,1.1413748,1.1330242,1.2298294,0.9442039,1.1455661,1.134297,1.2110512,0.99992734,1.0789453,1.0658906,0.87185466,0.41817904,1.0152578,1.1552366,0.51506585,1.1596068,0.9711133,1.3369786,1.353976,0.5107089,0.9258455,1.1081249,1.3371054,0.7434677,1.1283033,0.46974325,1.3554893,1.3174043,1.2433656,0.4490797,0.42476064,0.53186333,0.88182926,1.2984922,0.8260201,1.250474,1.2879595,1.2796534,1.1941719,0.51980424,0.4891007,1.358832,1.2335031,0.8152758,0.94189304,1.1797287,0.69852126,0.6106914,1.0712192,0.77138877,1.3877786,1.230484,1.2626946,1.0622883,1.3588021,1.1939726,1.1110574,1.3111908,0.740829,1.0312873,0.4795559,1.1102803,1.0860674,0.5477962,1.0790542,0.8849968,1.10065,1.4042923,1.3089731,0.44781995,0.8511532,1.0877854,0.81320345,0.33749515,0.71531886,0.8828578,1.1622111,1.1068506,0.8128325,0.36907625,1.1363859,0.9967144
bowl,1.2138752,0.9188748,1.4854931,0.74035573,0.6712228,0.45850146,0.24053693,1.2398902,1.1839685,1.5200735,0.60124564,1.5716496,1.5514591,1.0961659,1.5898077,1.0995512,0.50060415,0.0,1.2191058,1.0793542,1.0741287,0.43579733,0.8519315,0.4461704,0.7608501,1.2679462,0.74501216,1.2621263,1.2780824,0.8685199,1.5447885,1.2768347,0.43805468,1.284096,0.18346554,1.1811662,1.1608464,1.2755669,0.9019342,1.2867588,1.287259,1.2810484,0.97118413,0.95425135,0.97441053,0.740238,0.41313088,0.9073074,1.0533094,0.61439794,1.1148729,1.0915735,1.4535782,1.3352177,0.6039749,0.8499098,1.2196705,1.5074761,0.60776913,1.2273897,0.4930343,1.2864637,1.3475654,0.9993245,0.6375079,0.5203753,0.5532536,0.8621554,1.1580899,0.8687734,1.3903451,1.4225409,1.3456298,1.3467132,0.46502185,0.56192446,1.4248054,0.96302205,0.7413522,0.4265707,1.0863028,0.7728865,0.49983126,1.1386373,0.7323638,1.459287,1.0797822,1.400101,1.0931234,1.2589022,1.140756,0.82334435,1.4812233,0.73586726,0.98460555,0.43030375,1.1433839,0.8580596,0.3595369,0.8656201,0.8612567,1.2218705,1.5143585,1.1886702,0.21081269,0.8766369,1.0022222,0.6908056,0.47662568,0.73648906,0.6192032,1.1674657,1.2574188,0.90748197,0.52429295,1.2439327,1.0991118
box,0.8107686,0.8893622,0.9835839,1.1559387,1.1773905,1.2845609,1.1155449,0.857406,1.0208471,0.4827994,1.1825751,0.98033273,0.754483,0.84980696,0.87444997,0.22211754,1.0575874,1.2191058,0.0,1.1027453,1.0767326,1.1176071,0.95217836,1.1780652,1.0718728,1.0268365,0.9570628,1.1028163,0.91529274,0.95099145,0.62807566,1.0130595,1.2153608,0.68152344,1.1782582,0.91589457,0.77559924,0.9322588,0.8479088,1.0146091,1.081361,1.0055633,1.3043433,0.9996495,0.92040193,1.3316123,1.2602972,0.8697983,0.8947911,1.3313694,1.1498935,0.5252415,1.0336071,1.0819801,1.2665576,1.0514352,1.1962025,1.0412735,1.1916692,0.93935615,1.2285608,1.0388674,1.0905153,1.0511094,1.2276839,1.0935955,1.3368816,1.3178384,1.2231059,0.87374043,0.9895225,0.9864628,1.2805219,0.2056216,1.1246547,1.2009513,0.9772166,0.9860169,0.8097739,0.96840113,1.228494,1.1050824,0.980666,0.78214854,1.034966,1.090285,0.95914346,0.993773,0.706258,1.188507,1.0188371,1.0404758,0.85316557,1.4053354,0.9940792,1.1006552,1.0637527,0.9917272,1.3635708,1.0457511,0.89382654,1.0337278,0.9002728,0.73020446,1.2165724,1.3288379,1.259228,1.3149233,1.2271166,0.8547782,0.8224822,0.92704546,0.76249313,1.0743693,1.2755318,0.89404273,1.0952954
bread,0.9095822,1.0186173,0.8190685,1.0359405,1.0701027,1.0897809,1.1315359,0.98489016,0.9223435,0.98408276,1.1874807,0.9198767,0.92837936,1.054496,0.8815227,1.0331717,1.2551228,1.0793542,1.1027453,0.0,1.0714818,1.2151198,1.0986338,1.2680411,1.1826476,1.0501183,1.1941912,1.0086902,1.0740513,0.76315594,0.9859798,0.33298433,1.2243574,1.093598,1.1788101,0.9362462,0.97835124,1.0666888,1.0211312,1.0223175,0.9492899,0.99317104,1.0458053,0.943087,1.0440764,1.1224624,1.1629648,1.0449708,1.034718,1.1881844,0.794036,0.9227946,0.9770479,0.8449952,1.219494,0.9444912,1.052027,0.8947578,1.0489744,1.0607659,1.2361618,0.89401853,0.80732757,0.67995787,1.191111,1.191465,1.1974782,1.1367517,0.90165895,1.1107334,0.99613136,0.94000703,0.9001527,1.0249594,1.1525694,1.1441542,0.8585801,0.6533949,1.2006315,0.8394775,0.7713971,1.0022926,1.1955426,1.088439,1.106667,0.98801893,0.92208505,0.95045847,0.9515687,0.8189191,1.0891268,1.0019618,0.9465133,0.85213846,1.097672,1.2291088,0.9015827,0.70307195,1.0346653,1.0490003,1.0862579,1.0622678,0.9370026,0.9653208,1.1637093,0.9892366,0.7232841,1.0231667,1.2513354,1.1885227,0.9775751,0.9389193,1.003681,1.0182889,1.1527221,1.1228498,1.0266163
broom,0.933112,1.0492445,1.0443759,1.1785824,1.1893036,1.0143441,1.0934383,1.0644056,1.0776122,1.0697802,1.0743308,0.929088,1.0666757,1.0549742,1.0138009,0.9619496,1.0932196,1.0741287,1.0767326,1.0714818,0.0,1.007719,1.05247,0.99244815,0.93704283,1.0971308,0.7570694,0.89068776,1.0195551,0.97063726,1.0520315,1.0163034,1.0379267,0.8629981,1.1532009,1.1090394,1.0027434,0.8490805,1.0928644,0.9501726,1.0698608,1.07352,1.0803959,1.085455,0.9381452,1.0344942,1.0841546,1.0222541,1.0446935,1.1623232,0.98501253,0.8892773,1.0652618,1.0940138,1.1737242,0.89981425,0.95483416,0.9596075,1.0590683,0.6016651,0.9233059,1.0660261,0.943453,1.0016761,1.107409,1.0202353,1.0970162,1.0902117,0.88631755,0.73620355,1.0923003,0.9666532,0.84710133,1.0824,1.0374265,0.94226867,0.89739525,1.0653094,1.0532411,1.0536635,1.0985554,1.0401375,1.0189166,0.83262175,1.0678055,0.9929517,0.9099803,1.03966,1.0650926,0.9183331,0.85982764,1.0013433,0.947482,1.1403095,1.0251013,0.99603945,0.98241335,0.91119295,1.0532678,0.9962809,1.0904846,1.0553983,1.0707848,1.0089113,1.1390868,1.1431694,1.0513684,0.976167,0.956652,1.0563978,0.931855,0.998418,0.88129276,0.9405878,1.2121739,0.8426733,1.0957497
bucket,1.0937089,0.8643338,1.4417093,0.7176933,0.63678986,0.6299568,0.4390204,1.240146,1.2258593,1.4482716,0.72971994,1.5591855,1.2722265,0.9605413,1.5131831,0.9866832,0.44158268,0.43579733,1.1176071,1.2151198,1.007719,0.0,0.6881604,0.3945052,0.8575106,1.1977795,0.7368592,1.226224,1.2246401,1.1861738,1.4817665,1.3570287,0.5489996,1.1240151,0.27594566,1.0621253,0.8836848,1.2763566,0.8145976,1.2017244,1.2333653,1.2051824,0.94202805,0.8748938,0.87434995,0.82553893,0.48374665,0.7473712,1.1341414,0.71633875,0.88583976,0.96982294,1.4283916,1.2844871,0.5499079,0.8380731,1.118693,1.4319773,0.5774545,1.1225072,0.5515762,1.2904128,1.0813872,1.2456354,0.7613418,0.4002787,0.71458024,0.9193531,1.1680734,0.76761585,1.3641932,1.3993843,1.3116587,1.2804016,0.47846282,0.64606434,1.374151,1.1593349,0.8000132,0.87967825,0.9975242,0.5796339,0.42933702,1.0609103,0.73482275,1.4170315,1.0529414,1.3716464,0.89312315,1.3240106,1.2416227,1.0820098,1.4599707,0.7710823,1.1304327,0.5182252,0.9626927,1.0970685,0.42372334,1.1336063,0.8488598,1.120153,1.5271524,1.3799973,0.46031672,0.8389933,0.9564904,0.66325754,0.57170916,0.33487314,0.5998909,1.2302676,1.210889,0.8101437,0.67469347,1.2560339,1.1351457
butterfly,0.591588,0.935035,1.2573295,0.83236927,0.88408107,0.6980623,0.81694233,1.139119,0.9834762,1.1561971,0.8915124,1.3392508,1.108592,0.48157525,1.3349686,0.8714039,0.9439257,0.8519315,0.95217836,1.0986338,1.05247,0.6881604,0.0,0.93909675,0.9998626,1.079957,1.087927,1.2031571,1.135809,1.0976689,1.2092832,1.1352928,0.84033823,1.1092671,0.81848174,0.92576855,0.7519103,1.1850853,0.9710474,1.184449,1.1886067,1.0534943,0.9410992,0.4398446,0.80673987,1.020361,0.8308512,0.30606413,0.9702711,0.9255565,1.0516961,1.0008482,1.2130189,1.0899253,0.7813098,1.1104715,1.2451682,1.2878458,0.82177263,1.1677717,0.8501079,1.1355667,1.025356,1.1347905,0.96103746,0.867728,0.8785869,0.99616724,1.0728973,1.1562457,1.1005195,1.3024408,1.292585,1.0018171,0.7795368,0.8996614,1.2929488,1.0134465,0.7375605,1.0018309,0.9460325,0.86296266,0.81182325,1.1006961,0.96280146,1.2215042,0.98738855,1.245067,0.73591065,1.0147997,1.0871418,1.1207458,1.3226032,0.97415876,1.03264,0.9149632,1.0949396,1.0822977,0.7597775,1.0467173,0.9352976,1.1893747,1.2749281,1.1769809,0.7647222,0.9514101,0.96998066,0.9233535,0.96363,0.6050956,0.9061095,1.1145233,1.1486105,1.0859493,0.9455826,1.2028031,1.0910869
can,1.2532531,1.0229524,1.3193709,0.8444676,0.7825296,0.686528,0.3976428,1.066711,1.236413,1.496452,0.50793445,1.3894645,1.568805,1.2187867,1.5194952,1.1317087,0.40141207,0.4461704,1.1780652,1.2680411,0.99244815,0.3945052,0.93909675,0.0,0.71233433,1.1508107,0.45611715,1.1434364,1.026869,1.1980695,1.4874734,1.4237863,0.48122472,1.133625,0.34102464,1.2668947,1.208214,0.97066385,0.71022415,1.1966962,1.1610053,1.2768035,0.88461626,1.1237415,1.0946783,0.56740445,0.3997742,1.0760615,1.2026693,0.5820962,1.1398885,1.1726359,1.4422746,1.3211372,0.67578185,0.73773366,1.0086839,1.3346038,0.5695917,1.0161403,0.4340794,1.3839391,1.420831,1.3189127,0.71769387,0.3184017,0.54556733,0.75208145,1.0229409,0.6419399,1.3332741,1.399937,1.1225743,1.4108285,0.49057746,0.6082425,1.35705,1.2821225,0.8276187,0.9933393,1.0840963,0.66891325,0.35819912,0.9804418,0.6776162,1.4485964,1.2433815,1.3962853,1.0728694,1.3028872,1.1156763,0.87216043,1.4087992,0.658587,1.0616174,0.46519685,1.092396,1.1197178,0.4879017,1.1197722,0.9025398,1.1081749,1.4969009,1.4003724,0.46977925,0.7937935,0.9475452,0.72792757,0.38820887,0.8356711,0.714137,1.1757504,1.2135174,0.621953,0.5575929,1.0355355,1.0180099
car,1.2536919,1.1274014,1.120738,0.95380396,0.9018922,0.83996934,0.8245343,0.8653033,1.0012931,1.10297,0.8021605,1.0384433,1.2589201,1.232997,1.1644472,1.1474546,0.7734467,0.7608501,1.0718728,1.1826476,0.93704283,0.8575106,0.9998626,0.71233433,0.0,0.979394,0.84292245,1.0467693,1.0610298,1.1545908,1.1020533,1.1759622,0.82402813,1.023432,0.75841105,1.1336749,1.2257276,0.8156223,1.0248148,1.1208255,0.95503044,1.1123258,1.1362267,1.2127283,1.2250254,0.9911728,0.8187841,1.1216276,0.82568085,0.8918906,1.2789876,1.164123,1.0477713,1.2502726,0.9184315,0.91443574,1.2322634,1.0402641,0.6849781,0.845944,0.6997855,1.2477132,1.2278309,1.2847124,0.82558393,0.7678821,0.89203644,1.0467777,1.0608944,0.97708935,0.99176836,1.1575221,1.1199431,1.1529619,0.8606069,0.9042555,1.2111549,1.1926976,0.747422,0.99807125,1.063206,0.9784702,0.75258297,1.043859,0.708384,1.1911509,1.2293985,1.1049061,1.1905667,1.1043313,0.8652983,0.82994896,1.0188942,1.0537232,0.80005836,0.84527725,1.2339329,1.1335369,0.9123211,0.8656066,1.0731999,1.1510754,1.1333624,1.017313,0.8581367,1.1188177,1.0726016,0.9883152,0.9063277,1.0804768,0.85091245,0.85509276,0.9928684,0.87728256,0.83672655,0.57644445,0.8842756
cat,1.0934502,1.2131392,0.9375124,1.1075836,1.1477727,1.2048275,1.1995798,0.9068569,0.57486314,0.7520752,1.1353511,0.7055366,0.8003638,1.0771025,0.70223904,1.102311,1.1794109,1.2679462,1.0268365,1.0501183,1.0971308,1.1977795,1.079957,1.1508107,0.979394,0.0,1.0739763,0.9273632,0.9701281,1.0869629,0.72276473,0.90308243,1.2799007,0.98492813,1.2482582,0.3456589,0.9947871,0.89959836,1.1909983,0.96413475,0.8530333,0.99264,1.1549342,1.1042576,1.0488664,1.0191863,1.1914061,1.121961,0.94869345,1.1676685,1.0382075,1.1854328,0.7670425,1.0600396,1.1207613,1.0383784,0.90663826,0.8598346,0.9177457,0.9605104,1.1702219,0.6733109,0.92920554,0.93991506,1.1890212,1.141085,1.1897246,0.9541715,0.94627523,1.1811393,0.70764405,0.86667633,0.8439226,1.0153443,1.2501526,1.2405264,0.8004781,1.1438184,0.8458878,1.1409533,1.0437925,1.0922346,1.1811144,1.0509102,0.62747455,0.87672305,1.139877,0.87656873,1.0604383,0.9571206,0.92398363,1.0957457,0.88005567,1.1978604,0.889804,1.2539,1.0395336,1.1094042,1.2674572,1.0099386,1.1886731,1.0113362,0.7843989,0.8519652,1.2229128,1.2090566,1.1747932,1.2384912,1.2245072,1.1171187,1.1910312,0.9287275,0.967812,1.0748608,1.2313154,0.8437826,0.6541219
chair,1.0268201,1.0587921,1.1263587,1.1513388,1.1302922,1.010837,0.7203948,1.0399512,1.2273794,1.1885456,0.9726724,0.9523126,1.3407426,1.1671339,1.1273878,0.9032462,0.80621344,0.74501216,0.9570628,1.1941912,0.7570694,0.7368592,1.087927,0.45611715,0.84292245,1.0739763,0.0,0.9990028,1.0548545,1.1041749,1.1384349,1.2574927,0.898627,0.80997574,0.8049878,1.2577639,1.0719624,0.7671284,0.79519355,1.0031178,0.9941112,1.2522537,1.0339235,1.2015078,1.1427369,0.7735154,0.8059386,1.1976888,1.1480327,1.0142468,1.1206571,0.9872391,1.3090338,1.2070117,1.059002,0.75840604,0.9765215,1.035446,0.6639375,0.60643196,0.68198955,1.2996545,1.2817663,1.1721526,1.0880916,0.6556349,0.8950658,1.0026907,0.85443026,0.6129034,1.2360766,1.0730273,0.9887155,1.1863242,0.7881978,0.913849,0.8958931,1.153131,0.87270033,0.9260785,1.0713265,0.9582444,0.6410497,0.76894087,0.74479085,1.2111745,1.0854597,1.1073039,1.0426408,1.2258672,1.0198827,0.93508834,1.0481519,0.9997691,1.1541473,0.73865473,0.88665545,1.0573363,0.8534104,1.1524074,0.97053707,1.0895605,1.1728851,1.0294315,0.8777053,1.0561377,1.0333011,0.9278067,0.7343672,0.99040693,0.6814159,1.0999106,1.0799177,0.7791852,1.0024998,0.8153724,1.0548947
coat,0.9901487,1.1278411,0.8733318,1.1234106,1.1520638,1.107308,1.1830869,1.0542853,1.0504969,0.9218128,1.2840393,0.71613514,0.8273954,1.0520906,0.7050514,1.0938684,1.1581151,1.2621263,1.1028163,1.0086902,0.89068776,1.226224,1.2031571,1.1434364,1.0467693,0.9273632,0.9990028,0.0,0.984345,0.93534064,0.87322533,0.9912455,1.2636335,1.041196,1.2483582,0.96463054,0.96654177,0.85914594,1.2075629,0.58710986,0.72684675,0.96024954,1.0750133,1.1059322,0.967768,1.0341729,1.2217987,1.1823351,1.0597501,1.2121282,0.87032557,0.9974112,0.79774135,0.92051727,1.1444331,1.2055357,0.43143344,0.5945614,1.2000124,0.8535279,1.2145073,1.0082539,0.7461794,0.86425406,1.1669954,1.2152243,1.1560252,1.0121254,0.9516527,0.98453325,0.9449213,0.59991956,0.5703831,1.0460799,1.2515466,1.250237,0.8254467,1.0137159,1.1115731,1.237685,0.8957909,0.9545923,1.2137057,0.96487546,1.042444,0.5924636,1.1239247,0.5341761,1.052439,0.8863843,1.0034115,1.1272745,0.7564695,1.1310092,1.1001359,1.1944033,0.9607346,0.96562916,1.227961,1.0898832,1.0408587,0.69135225,0.669521,0.98419267,1.3079184,1.074991,1.0737692,1.2271538,1.1189537,1.2020733,1.2218775,1.0406994,0.99866056,0.96605694,1.1732018,0.975997,1.1264496
comb,1.0795461,1.1194404,0.7656296,1.1545062,1.1683546,1.2667594,1.1743115,0.6163674,1.0056577,0.92020357,1.1057855,0.8380358,0.887535,1.0419252,0.86362076,0.9973648,1.1333266,1.2780824,0.91529274,1.0740513,1.0195551,1.2246401,1.135809,1.026869,1.0610298,0.9701281,1.0548545,0.984345,0.0,0.91343737,0.92765445,1.0167935,1.2188696,0.85079163,1.2275643,1.0583663,1.0700978,0.65572906,0.8880485,0.9408409,1.0082703,0.9193201,1.0215317,1.1408899,1.1023628,1.0181229,1.1444075,1.169378,1.1259552,1.1234939,1.0702628,0.9977645,0.88507897,0.8639323,1.1841192,1.018468,0.9372607,0.9708512,1.1784284,0.96217644,1.1435261,0.8685268,1.0088267,0.9225639,1.1492018,1.1789991,1.1423717,0.9779975,0.932269,0.94691014,0.957592,0.94100016,0.8633237,0.9231993,1.2503558,1.1835713,0.92805165,1.0305017,1.193537,1.1011415,1.0330992,1.1317499,1.0288448,0.8130964,1.1620791,0.89729977,0.9246159,0.9570191,1.0199383,0.96916246,0.85953337,0.82201576,0.87014985,1.0813242,1.0937786,1.2021989,1.0301647,1.0062058,1.2476835,1.1051676,1.1260525,0.9168409,0.9200574,0.9448288,1.2745867,1.0440164,1.005251,1.0880454,1.1594768,1.1639254,1.142523,0.9691379,0.9026004,0.9619042,1.1671312,0.77172595,0.96532035
