,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,chips,clock,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,jar,knife,ladder,lamp,milk,mitten,muffin,nail,napkin,necklace,orange,oven,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,sandwich,sauce,scissors,shirt,shoe,shovel,sink,slipper,snow,sock,soup,spoon,sprinkler,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
bib,0.8708265,1.3778931,0.3293873,0.8461039,1.3662317,1.3646551,1.3175461,0.727178,0.6385821,0.38798666,0.0,0.3899132,0.98394793,1.2414198,1.4147382,1.2484988,1.0041541,1.2868054,1.0319424,1.187959,0.93142635,0.7574415,0.9988763,0.963466,1.3436708,1.0680355,0.35271233,0.972822,1.4579277,0.7271733,1.3983124,1.1339808,0.79232085,0.7469556,0.82606804,1.2396722,1.0717965,1.1391201,0.9446015,1.0743766,0.90233606,1.3270838,0.89145577,1.3306264,1.2141312,1.1593417,1.0447778,0.76376045,0.99568725,1.2661109,0.7955227,0.7225318,1.0469503,1.0876406,1.4031618,0.71891546,1.3255783,0.9691607,0.8244365,1.2259437,1.2806497,0.84613615,0.9031271,1.3828256,0.9205299,0.85330796,1.3539026,1.2832763,0.8827295,1.0398735,1.0937872,1.2315145,1.3794606,1.0943139,1.2592133,1.3645597,0.5903841,0.8355138,0.9602511,1.1513386,0.38781542,0.9907182,0.8703806,0.74316317,1.3120351,0.90531206,0.85771906,0.9985059,1.2184612,0.85462135,0.64616007,0.65436137,1.394673,1.1044856,1.3943572,0.8158045,1.1530715,1.0126997,0.99143386,1.433044,0.9248084
blanket,0.7177256,1.3270969,0.45476502,0.8225285,1.2507308,1.3229289,1.2550294,0.76905847,0.41801548,0.34943622,0.3899132,0.0,1.0470022,1.2153167,1.3763243,1.2242177,1.0252367,1.3681295,1.0631742,1.163622,0.9657963,0.7061337,0.896978,1.1664307,1.4048002,1.2114815,0.25887835,1.1158596,1.4187257,0.684419,1.4260523,1.0781786,0.7867346,0.9487044,0.72412246,1.2081127,1.1112106,1.1596593,0.8247856,1.1674707,1.0479729,1.3160751,0.9566184,1.3782765,1.2686853,1.2758017,0.99233323,0.78618,0.9475002,1.3346527,0.69365466,0.8417735,0.9233756,1.2485431,1.3796108,0.6556003,1.3392769,1.0600508,0.6689645,1.2318547,1.2856652,0.76641744,0.9606172,1.3462995,0.93085843,0.991102,1.3687137,1.2734945,0.817442,1.1234136,1.1198999,1.1915376,1.3286207,1.1151626,1.2421072,1.341207,0.62520725,0.95926374,0.97968733,1.0665781,0.44458377,0.97973526,1.0748178,0.7938245,1.2418472,0.92628264,0.70831275,0.9842971,1.3133676,1.0182225,0.6418126,0.47229534,1.3254514,1.1669292,1.3848009,0.73973095,1.0838382,1.0145028,1.0510259,1.3835777,0.7388655
boat,1.0683688,0.98204297,1.0667151,1.073553,1.0396787,1.0043615,0.9896325,1.0738114,1.052457,1.0125874,0.98394793,1.0470022,0.0,0.80234826,0.87751514,0.80718666,1.1181825,1.054408,1.0019554,0.9359181,0.7390466,1.0553639,1.011709,1.1145943,0.68193483,1.0667229,1.0731809,1.1376089,0.974895,0.98882526,0.927915,0.89731824,1.0959635,1.0148535,1.0503916,1.007513,1.0750823,0.9563804,0.9824021,1.1878262,1.0880924,0.9817051,1.0584254,1.1203853,0.989579,0.9448742,1.0753965,1.0663341,1.0401471,0.776456,1.0067337,1.174267,0.9629646,1.1094908,0.8775806,1.1648961,0.91548896,1.13849,1.1248478,0.866541,0.9372262,1.0837253,0.93704945,1.008536,1.1166204,1.0574902,0.96359247,0.9875809,0.97411364,1.1355906,0.8183782,0.91591257,0.99841505,1.0184033,0.98310435,1.015611,1.08191,1.0933368,1.0106914,1.0246503,1.045929,1.0771626,0.8927102,1.0945783,1.0317079,0.73519695,1.1213114,1.0124565,1.0631822,0.6370771,1.024052,1.0419598,0.954545,1.0517778,0.94583833,1.0932453,0.99607027,0.9167919,1.0105247,0.86206275,0.9481362
book,0.99787843,0.8626276,1.347368,1.2920884,0.9003144,0.8318515,0.8723702,1.416188,1.206775,1.2164687,1.2414198,1.2153167,0.80234826,0.0,0.6622671,0.8736813,0.9870718,0.85853684,0.89595604,0.52653974,0.91416854,1.263543,0.50220287,1.0609554,0.7157896,1.244911,1.153301,1.2046841,0.4815964,0.9512077,0.65780413,1.2542076,1.2358288,1.1387548,1.2680395,0.93175304,0.8575982,0.90399325,1.1560314,1.00958,1.1308587,0.6287888,0.8374797,1.0490048,1.0873401,0.99144346,0.9993704,1.2950873,0.61223793,0.5960924,1.1707242,1.3640733,0.6537932,1.144314,0.5565285,1.264008,0.75470436,1.1769671,1.3865352,0.69871706,0.7047695,1.0931597,0.74355537,0.8585466,1.1802095,0.9489846,0.72959584,0.6697977,0.38327134,1.1930997,0.51086515,0.9603984,0.82809424,0.82849145,0.88869256,0.9326211,1.2168882,1.2795815,1.1707217,0.76398146,1.2726506,0.70099026,1.2155921,1.4347901,0.52825767,1.0651803,1.3747998,1.2649066,1.1152973,1.0676317,1.0735635,1.2650638,0.69486654,0.8547777,0.78247,1.1441954,1.0684483,0.5629661,0.9186616,0.74604106,1.0931056
bottle,1.1281934,0.730219,1.3980938,1.0729327,0.47169983,0.7547831,0.7613511,1.3645738,1.2974346,1.2957085,1.4147382,1.3763243,0.87751514,0.6622671,0.0,0.96254575,1.0577916,1.0387651,0.67440313,0.5779852,1.1497535,1.2724955,0.97511554,1.2286106,0.647644,1.2476263,1.3614489,1.3256071,0.39769328,1.1979189,0.36844736,1.095888,1.2343915,1.1917765,1.193308,0.91710514,1.0376736,0.9509437,1.0511519,1.0229043,1.0375414,0.6738856,1.0707167,0.8108402,1.0084733,0.87251174,1.1440418,0.98745584,1.0848162,0.5530954,1.2414066,1.3955536,0.8129137,0.81702536,0.7657173,1.293035,0.5566434,0.930737,1.01667,0.77206486,0.41180885,1.1053606,1.065828,0.7481133,1.1629997,1.0388882,0.40050542,0.5828539,0.9966217,1.3031697,0.6873941,1.0771872,0.73291546,0.6537076,0.75254786,0.8299905,1.2675358,1.3362331,1.2212107,0.9224121,1.3211157,1.0626743,1.3129399,1.3359035,0.595952,1.1291077,0.9856059,1.2508665,1.0963607,1.1379793,1.2067366,1.3409454,0.75174344,0.9068617,0.39373744,1.1368603,0.8665749,1.1259732,0.84630966,0.34777248,1.0936155
bowl,1.0968995,1.010747,1.2764356,1.0973221,1.0273045,1.0344186,0.9520524,0.77126455,1.1312817,1.3046234,1.2484988,1.2242177,0.80718666,0.8736813,0.96254575,0.0,0.9888025,0.8433404,0.902579,1.0054629,0.95707893,1.1152583,1.176954,0.9255103,0.8561971,0.84368396,1.3230869,0.98688257,1.0413582,1.1192315,0.8306463,0.4596768,1.1349511,1.1159977,1.2662479,1.0779475,1.0781113,1.0834218,1.07841,1.1918826,0.91051584,1.0581286,1.1642703,0.8783878,0.8512014,1.0540941,1.1039431,1.154683,1.019549,0.9716694,1.215737,1.1837207,1.0671582,0.79900897,0.59809124,1.2808172,1.1624825,1.0338968,1.1554712,0.95686936,1.1055284,1.072257,1.1632109,0.94983655,1.206273,1.1842579,1.080053,1.0876211,1.0961525,0.97012484,1.0780566,0.21232426,1.0142426,1.0004475,0.93077505,0.7530925,1.2488631,0.9422588,0.5792184,0.9729773,1.2490544,0.97137266,0.6621465,0.767472,1.0663584,1.0164268,1.118212,0.5844234,0.46973366,0.95552754,1.231628,0.9977504,0.78189427,1.0784307,1.0492164,1.0774188,0.92089456,0.620033,1.260739,0.97922546,1.2291917
box,0.9710369,1.2827258,1.0462418,1.1821389,1.21875,1.2684633,0.63311833,0.9186671,0.845449,0.95635,1.0041541,1.0252367,1.1181825,0.9870718,1.0577916,0.9888025,0.0,1.0956324,0.86063445,0.9403114,1.019058,0.9659343,0.76165104,0.9224084,1.1579957,0.8456924,0.9296669,0.9295907,1.3054461,0.7828577,0.9763494,0.95871264,0.9105366,1.0433686,0.69311243,0.7301223,1.3259411,1.1827477,1.0819854,1.1453416,1.1974543,1.2062187,1.3172977,1.0479704,0.9645894,1.0003661,1.1484375,0.9876872,1.1564195,1.0127184,1.1782565,1.0405818,1.0196978,0.7001407,1.1707349,0.6787157,1.0035168,0.6895144,0.8972975,1.2695769,1.3015537,0.80746484,1.2410904,1.2920403,0.58563113,0.6252243,1.2297373,1.3064054,1.1606319,1.008121,1.0760605,0.86926234,1.279943,0.79668915,0.7062444,1.0345677,0.81372356,0.9417942,0.9066788,1.0357498,1.0431743,0.92651165,0.98668855,0.8971202,1.1477274,1.0988435,0.92484546,1.0716227,1.0026313,1.0833044,1.0917685,0.8410684,1.000955,1.2502314,1.1714526,0.77591884,1.0275514,0.85969305,0.8116616,1.2894692,0.7729564
bread,1.0428064,0.78814304,1.3654323,1.2011853,0.9752106,0.6964466,0.9614642,1.195427,1.2628899,1.3210361,1.2868054,1.3681295,1.054408,0.85853684,1.0387651,0.8433404,1.0956324,0.0,1.0574328,0.9856633,1.0702579,1.2229859,1.053628,0.33068776,0.9773745,0.5886062,1.3832489,0.3426664,0.8503712,1.171257,0.87629914,0.9991823,1.1909456,1.0516738,1.3303137,1.1231279,0.9600513,0.81669146,1.1693652,1.0425512,1.0484669,0.9531121,1.128474,0.93923163,0.8403094,1.0439143,1.0922612,1.1504897,1.0645933,0.8586445,1.2709174,1.180297,1.2032995,0.9135596,0.7673895,1.2875783,1.0430976,1.0560323,1.2447951,0.80684483,0.9644872,0.9662066,1.0904998,0.6707002,1.1500573,1.1127049,0.9900537,1.0077044,1.079551,0.25328588,1.0697057,0.7008322,0.72118807,1.083092,0.9943077,0.8717468,1.3671372,0.4996726,0.98742706,0.97466594,1.3494565,0.89657444,0.949206,1.1982253,0.9425545,1.1616889,1.2351968,0.9268968,0.8613817,1.1381724,1.2701323,1.1861826,0.69360137,0.9535353,0.96950513,1.0020365,1.0480516,0.82719606,1.1847019,0.9319128,1.2483705
bucket,1.0493965,0.98521274,1.127633,0.8134593,0.9973539,1.0359571,0.98117197,1.1726527,1.0988388,1.0964938,1.0319424,1.0631742,1.0019554,0.89595604,0.67440313,0.902579,0.86063445,1.0574328,0.0,0.7582456,1.0921477,1.199154,0.7971481,1.0603222,0.95541203,1.0354259,1.0945551,1.1113724,1.0309728,0.97917485,0.6553956,0.97032356,1.1146665,0.8826992,1.2119114,1.144441,1.0087886,0.88840234,1.2202297,1.0301313,1.1556368,1.0620673,1.099596,1.0579013,1.0582228,0.97640514,1.0671344,0.55867726,1.0004969,0.82264227,1.1492345,1.1151389,0.71007645,0.7851902,1.0791287,1.1250113,1.1094966,0.6730062,0.6448503,0.90509605,1.047266,0.8749021,1.0033609,0.9914051,1.0708632,1.0269277,1.1114436,1.1643739,0.88478476,1.1117343,0.96240157,1.0075692,1.018826,0.82969105,0.9590127,0.977988,1.1629951,1.1502781,0.96488655,0.87945217,1.1489637,0.8318908,1.0586812,1.164475,0.95307946,1.225813,0.6352851,1.0570725,0.9739485,1.01412,1.1360548,1.06465,0.9336606,0.9199672,1.0675734,0.889625,0.79264486,1.0175375,0.98498183,0.98584366,1.1992155
can,1.1228852,0.84321266,1.2457807,1.124906,0.871752,0.8521644,0.7964121,1.3821714,1.2443336,1.138557,1.187959,1.163622,0.9359181,0.52653974,0.5779852,1.0054629,0.9403114,0.9856633,0.7582456,0.0,1.2727361,1.2515424,0.5398286,1.1029456,0.88631,1.2085726,1.1122584,1.2281557,0.64275455,0.82975197,0.59201473,1.2451295,1.1690061,1.1085877,1.0035031,0.8645292,0.8852213,0.9525035,1.1133384,1.0062697,1.3016522,0.6588804,0.9865281,0.9652203,1.0615345,0.97427654,0.90675944,1.0287712,0.9677875,0.8314461,1.0854362,1.2799008,0.69609416,0.996749,0.8561858,1.0006756,0.85945725,1.0189521,1.1070617,0.6843616,0.8149376,1.1320844,0.79377466,0.8307828,0.94450474,1.1449296,0.81421465,0.8322226,0.68882906,1.2365743,0.6735668,1.1446853,0.8323609,0.73867464,0.7914622,0.96799934,1.0257367,1.2837036,1.3026376,0.74831665,1.1460586,0.6720072,1.131983,1.3586595,0.5755777,1.2701387,1.1215657,1.3563901,1.1172404,1.2107794,1.0112878,1.2921662,0.8836826,0.72224164,0.86878526,1.1819777,1.0435352,0.74458104,0.73126584,0.7334855,1.0181209
car,1.0157892,1.1358259,1.0307028,1.0848995,1.1597629,1.1283329,1.2341083,0.84496903,0.90957487,0.91845685,0.93142635,0.9657963,0.7390466,0.91416854,1.1497535,0.95707893,1.019058,1.0702579,1.0921477,1.2727361,0.0,0.8763286,1.0039458,1.100625,0.6552893,1.0286342,0.93694186,1.0287485,1.1320829,0.9547888,1.1776865,0.94526047,0.95423293,1.0412269,1.1069087,1.0772612,1.1491013,1.0230308,1.0296365,1.0722111,0.9159725,1.1148149,0.9928769,1.1430808,1.0621505,0.7432883,1.1640108,1.1025338,0.7776315,0.8582644,1.1052265,1.1068193,1.105085,1.1206691,1.0000414,1.0441635,0.8753605,1.0759,1.1462885,1.1576306,1.0771443,1.0840893,0.9369708,1.141721,1.0658714,0.8350806,1.0968363,1.0260867,0.88901913,0.9836957,1.0479718,0.98170984,1.1331022,1.2511392,1.2386142,1.0442901,0.9307375,0.97314656,0.87104607,1.182202,0.99666154,1.0928954,0.9155062,0.933957,1.1928034,0.27063078,1.084544,0.8643046,1.0443714,0.3911149,1.0665809,0.90461314,1.0416273,1.2879202,1.0452403,1.0427073,1.1019272,1.0517148,0.9439932,1.0941029,0.9493232
cat,0.8486844,1.1162926,0.7602021,0.9614176,1.1477742,1.0737438,1.197203,0.83532834,0.7506977,0.7102365,0.7574415,0.7061337,1.0553639,1.263543,1.2724955,1.1152583,0.9659343,1.2229859,1.199154,1.2515424,0.8763286,0.0,1.1271622,1.1604339,1.1447544,0.8256031,0.6864839,1.0513233,1.3160528,0.85117435,1.2987529,1.0240754,0.08822405,0.89172554,0.7810831,1.1361203,1.278345,1.1933091,0.83654225,1.1741815,0.8967952,1.2442205,1.10848,1.1851472,1.0014017,1.0949191,1.077037,1.0847579,1.0646753,1.2135189,0.8184333,0.96449167,1.1438428,1.1214904,1.2542511,0.7310313,1.143403,0.9579087,0.98942536,1.1845114,1.1529646,1.0365885,1.1754286,1.1314086,0.9182126,1.0264827,1.1841427,1.2093531,1.1359694,1.0768001,1.0945617,1.1223514,1.1028489,1.0202276,1.073909,1.1867782,0.8157612,0.9218044,0.940359,1.1902394,0.7286866,1.1384327,0.9369936,0.8493927,1.1987343,0.8452911,0.99993956,0.9480098,1.0932102,0.8945979,0.89721376,0.7256596,1.227868,1.2528007,1.2034814,1.0054244,0.94974977,1.1332052,1.0423847,1.1921059,0.86947584
