,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,chips,clock,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,jar,knife,ladder,lamp,milk,mitten,muffin,nail,napkin,necklace,orange,oven,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,sandwich,sauce,scissors,shirt,shoe,shovel,sink,slipper,snow,sock,soup,spoon,sprinkler,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.0753758,0.9948822,1.1796443,1.184219,1.0337737,0.9786523,1.1088774,0.9695781,0.9157105,0.8708265,0.7177256,1.0683688,0.99787843,1.1281934,1.0968995,0.9710369,1.0428064,1.0493965,1.1228852,1.0157892,0.8486844,0.87675446,1.0028498,1.0690893,1.0410522,0.8891469,1.0516531,1.1439633,0.82031107,1.1010244,0.97078156,0.89609903,1.0697137,0.8596878,1.0374348,1.160572,1.1374707,0.71906877,1.1022462,1.0682772,0.99524724,1.1526717,1.042663,0.83200467,0.9764137,1.0852478,0.99263954,0.8786783,0.8898079,0.8838151,1.0909194,0.97003305,1.0946121,1.0620308,0.9749939,0.9719379,1.0168926,0.9587523,1.1091838,1.2282412,0.894842,1.0461699,1.0825936,0.80342084,0.81572115,1.1433648,1.0701716,0.86544585,1.0311186,0.9828554,1.0735123,1.0517721,0.96420014,1.0330536,1.1355647,1.0018471,1.0944852,0.9563773,0.8508955,0.9296421,1.0036448,1.0566276,1.1126095,1.0675297,1.0013176,0.987435,0.98452944,1.0586572,1.0373526,0.93468136,0.9829192,0.9825203,1.1098403,1.1027538,0.8839606,1.0449995,1.0688813,1.0231452,1.2325646,0.8058948
apple,1.0753758,0.0,1.3650508,1.0046436,0.77046376,0.058387876,0.9791142,1.2992373,1.2146757,1.2630122,1.3778931,1.3270969,0.98204297,0.8626276,0.730219,1.010747,1.2827258,0.78814304,0.98521274,0.84321266,1.1358259,1.1162926,1.1335338,1.0090365,0.75222486,0.99437064,1.2855318,1.0981181,0.70807093,1.2459425,0.7198683,1.1191101,1.0901822,1.0772424,1.2516748,1.0850786,0.89107734,0.9758044,1.1430817,0.99805087,1.053053,0.831703,0.97442853,0.9503159,1.0138719,1.0324581,0.9754399,1.1885905,0.9959998,0.82928467,1.1545942,1.2362804,1.0844954,1.0026734,0.9389526,1.2995938,0.9647819,1.1015921,1.216082,0.71512216,0.7394219,1.1537813,1.0134141,0.056834042,1.2092106,1.297978,0.803618,0.8534741,1.0538024,1.0493321,0.98855495,1.094635,0.029702306,0.880658,0.82721853,0.802082,1.2911787,1.152051,1.1734321,1.0462167,1.2710078,1.018007,1.2054839,1.2967832,0.8504127,1.17433,1.1802137,1.0986438,1.1221328,1.0864607,1.2049775,1.2356257,0.78482103,0.88647366,0.8305395,1.1877203,0.84048194,1.1104834,1.1524757,0.6313099,1.249433
arm,0.9948822,1.3650508,0.0,0.7172431,1.2193592,1.366056,1.3171742,0.6584707,0.6622118,0.3501892,0.3293873,0.45476502,1.0667151,1.347368,1.3980938,1.2764356,1.0462418,1.3654323,1.127633,1.2457807,1.0307028,0.7602021,1.0181538,1.0862384,1.420741,1.1221069,0.32430434,1.0340571,1.433162,0.8327935,1.4764104,1.0717181,0.77619785,0.73600423,0.74091244,1.235208,0.99559,1.102134,0.9872712,0.83550644,0.9064745,1.3675487,0.8741479,1.2678144,1.3007869,1.2118407,0.9704966,0.7041918,1.006941,1.4310045,0.6229601,0.4362107,0.951773,1.125323,1.3972837,0.59133184,1.3372626,1.0389421,0.6579305,1.2828395,1.2592709,1.007652,0.98522735,1.3750539,0.9463683,0.95204407,1.2632284,1.2655232,1.0202601,1.0881913,1.1849878,1.1889316,1.3755145,1.1923748,1.2988297,1.3714657,0.5889008,0.8623556,0.99182683,1.2529267,0.323519,1.1080685,0.9354519,0.6440003,1.3159204,0.963291,0.69114923,0.966131,1.2117269,0.9652952,0.52613485,0.6931747,1.3672018,0.98396754,1.304024,0.96883917,1.1762906,1.0152222,1.052585,1.3978906,0.8576118
ball,1.1796443,1.0046436,0.7172431,0.0,0.7837937,1.0777857,1.162072,0.8544444,0.9144322,0.7642107,0.8461039,0.8225285,1.073553,1.2920884,1.0729327,1.0973221,1.1821389,1.2011853,0.8134593,1.124906,1.0848995,0.9614176,1.1716955,1.093594,1.2185347,1.1535848,0.7925549,1.1061529,1.1505857,1.0494597,1.1386011,0.99160826,0.9868994,0.7615879,1.0100416,1.2329828,0.9299196,0.9267262,1.0206317,0.8607799,0.9536991,1.1056015,0.9474969,1.1862843,1.0858968,1.0952582,0.87272125,0.62884784,1.1633353,1.1363524,0.82798266,0.7085626,0.94802123,1.0372744,1.2195774,0.95164925,1.2592709,1.1017506,0.6619504,0.92275304,1.0543184,1.0469095,1.067274,1.0416033,1.1886954,1.2066641,1.1742326,1.1486677,1.1586823,1.0689948,1.1583946,1.1561061,1.0660754,1.0731953,1.0398942,0.9697005,0.9269235,1.0208421,0.9592321,1.1648556,0.8401462,1.1561141,1.0540497,0.89096963,1.1656386,0.9657233,0.6454052,0.8796614,1.1176885,0.8878638,0.86378604,0.9443033,1.1477457,0.8570713,1.1005597,1.0809139,0.84510833,1.2541736,1.1697963,1.0293348,1.0625427
balloon,1.184219,0.77046376,1.2193592,0.7837937,0.0,0.7972517,0.8912954,1.239221,1.200948,1.224309,1.3662317,1.2507308,1.0396787,0.9003144,0.47169983,1.0273045,1.21875,0.9752106,0.9973539,0.871752,1.1597629,1.1477742,1.0607789,1.2719858,0.81515336,1.1849023,1.2770232,1.2758934,0.4137358,1.2626951,0.6572198,1.103188,1.1953282,1.0913389,1.1540238,1.0016882,0.9321097,0.775421,0.96007323,0.9085863,0.84421355,0.7771783,0.9776397,0.91894627,1.0071286,0.99778175,0.9515922,1.1154902,1.0380782,0.83440197,1.0998453,1.1537697,0.86186206,1.0265126,0.8386379,1.2967836,0.6450629,1.146432,1.0828068,0.7521091,0.3740437,1.1239879,1.0425761,0.78538007,1.2443584,1.1460444,0.43325388,0.58229077,1.0244834,1.1815448,0.888331,1.104807,0.7758446,0.8278043,0.80153656,0.7754022,1.2542877,1.2789154,1.2122452,1.0159284,1.2231368,1.1358826,1.2931751,1.2257806,0.6039031,1.035514,1.0912274,1.0993894,1.1294565,1.1580915,1.0275859,1.26699,0.8139163,0.811352,0.38954222,1.158788,0.9258431,1.2200766,1.1041799,0.43335646,1.0543282
banana,1.0337737,0.058387876,1.366056,1.0777857,0.7972517,0.0,1.0175112,1.2975477,1.2170305,1.2315564,1.3646551,1.3229289,1.0043615,0.8318515,0.7547831,1.0344186,1.2684633,0.6964466,1.0359571,0.8521644,1.1283329,1.0737438,1.091792,0.9315334,0.7697669,0.95609844,1.2526112,1.0398868,0.6822473,1.2245293,0.767059,1.1625512,1.0542014,1.1017618,1.278543,1.1031132,0.8911432,0.98135984,1.1287374,1.0033222,1.0086381,0.8572359,0.93462515,0.9814601,1.0369922,1.0586512,0.97695965,1.2260777,0.996437,0.86247206,1.1485741,1.2591758,1.091099,1.0434192,0.939724,1.3077139,0.94985384,1.1322705,1.2345142,0.71789277,0.7148076,1.1794664,1.006309,0.0701462,1.2097547,1.2680657,0.8002018,0.81781065,1.0066317,0.9785645,0.9738237,1.0977243,0.012554646,0.91843903,0.87192965,0.8143983,1.3039933,1.1007637,1.1841418,1.0573612,1.2596756,0.99833107,1.2145096,1.2971883,0.8185717,1.1639564,1.1989126,1.1131306,1.1346701,1.129107,1.1786447,1.2500092,0.7813881,0.91578484,0.87796474,1.2060639,0.8718432,1.0748464,1.1568708,0.66166675,1.2410233
basket,0.9786523,0.9791142,1.3171742,1.162072,0.8912954,1.0175112,0.0,1.2059761,1.0622867,1.2302583,1.3175461,1.2550294,0.9896325,0.8723702,0.7613511,0.9520524,0.63311833,0.9614642,0.98117197,0.7964121,1.2341083,1.197203,1.0240767,1.007034,0.9784395,0.9651014,1.2401274,1.059382,0.9254974,0.9409997,0.6771445,0.9629487,1.1441526,1.1109176,0.8944509,0.563756,1.0687557,1.1616961,0.89414847,1.0645063,1.2621975,0.8769497,1.2443318,0.65856427,0.75784504,0.9444377,1.133124,1.0482451,1.156946,0.74579644,1.2320037,1.2114916,1.1366189,0.7457865,0.9014425,0.97669065,0.8413255,0.79563457,1.1102787,1.0560726,1.044673,0.92317295,1.2452296,1.004163,0.9236809,0.9047637,0.9358196,1.0272161,1.192916,1.0514369,0.9734331,0.8796451,1.0127033,0.6731339,0.48398012,0.86528695,1.052852,1.1433156,1.1351062,0.9456569,1.2377133,0.84936035,1.1741775,1.180502,0.8908599,1.205065,1.1401018,1.1422799,0.9501466,1.2671554,1.2485881,1.070678,0.86743534,0.97647643,0.8904804,0.97613704,0.8228546,0.9708594,0.85476124,0.8510741,0.8734032
bathtub,1.1088774,1.2992373,0.6584707,0.8544444,1.239221,1.2975477,1.2059761,0.0,0.5467508,0.76724637,0.727178,0.76905847,1.0738114,1.416188,1.3645738,0.77126455,0.9186671,1.195427,1.1726527,1.3821714,0.84496903,0.83532834,1.2306697,0.92826164,1.2394078,0.8791882,0.7316342,0.8174341,1.4731568,1.013599,1.4082749,0.7654167,0.9185972,1.0984374,0.7753258,1.0526352,1.2529503,1.2413671,1.045817,1.1706654,0.8464491,1.3480406,1.0467794,1.0430455,1.0833281,1.1971748,1.1944249,0.977416,1.0978483,1.3761836,0.9656975,0.80456775,1.3678625,0.9926152,1.1953428,0.71675414,1.309374,0.9363311,0.89136577,1.3929428,1.2842493,0.9956382,1.3544211,1.277834,0.8311132,1.0152688,1.3069938,1.2963058,1.3014284,0.85732263,1.2799364,0.62717766,1.3084778,1.2907624,1.2291489,1.1819812,0.5767979,0.7056849,0.7525995,1.2289826,0.7247218,1.2572865,0.74764144,0.034142673,1.510938,0.7281794,0.8659493,0.7236267,0.9151786,0.8444469,0.9201721,0.4683063,1.241165,1.3585894,1.2640492,0.94334733,1.0652609,0.77201325,1.2214596,1.3679556,0.8685414
bed,0.9695781,1.2146757,0.6622118,0.9144322,1.200948,1.2170305,1.0622867,0.5467508,0.0,0.5761706,0.6385821,0.41801548,1.052457,1.206775,1.2974346,1.1312817,0.845449,1.2628899,1.0988388,1.2443336,0.90957487,0.7506977,1.008196,1.1335343,1.2951978,0.9783691,0.5228902,1.0222849,1.420595,0.91214585,1.3151208,1.1049759,0.8124735,1.0368303,0.7207365,1.0593901,1.25459,1.3236718,1.0306153,1.2432449,1.1201603,1.4108443,1.0944839,1.2095535,1.1708202,1.2642254,1.1937927,0.8952135,1.0689127,1.3107219,1.0196834,1.0191627,1.2279553,1.1284752,1.3164304,0.6354583,1.2987909,0.9259733,0.80982435,1.3671204,1.2426213,0.6271298,1.325855,1.2155933,0.8964827,0.9719594,1.3206404,1.3161895,1.1174084,1.0270611,1.2069819,0.9868493,1.2198497,1.0453436,1.0521463,1.2729483,0.5909138,0.903949,1.0570266,1.2349856,0.6302937,1.0646647,1.1181885,0.57946014,1.3584979,0.8691814,0.81709707,0.9968109,1.2578031,0.97716564,0.87547445,0.08636385,1.2226129,1.3282846,1.2832069,0.5943563,0.9306562,0.88392806,1.1296265,1.3071173,0.7555897
bench,0.9157105,1.2630122,0.3501892,0.7642107,1.224309,1.2315564,1.2302583,0.76724637,0.5761706,0.0,0.38798666,0.34943622,1.0125874,1.2164687,1.2957085,1.3046234,0.95635,1.3210361,1.0964938,1.138557,0.91845685,0.7102365,0.94104826,1.0784906,1.3541403,1.0962354,0.15582788,1.0901225,1.408203,0.77028906,1.4058988,1.1545861,0.74442935,0.7413037,0.77823675,1.2685361,1.1992977,1.1732749,1.0471494,0.9741232,0.9696225,1.3717964,0.9612109,1.3265809,1.292938,1.2706445,1.0500829,0.7575458,1.0184093,1.3204436,0.80570304,0.75791246,0.99102587,1.1639099,1.3740823,0.56065947,1.3211408,1.0558885,0.69790435,1.2311596,1.2316818,0.9234092,1.1338874,1.2635493,0.8963195,0.99018896,1.2996199,1.3053684,0.96554554,1.1071696,1.1734221,1.2092471,1.2427088,1.0960356,1.1829352,1.3593247,0.62838095,0.91002184,1.1013529,1.2430834,0.44275063,1.0059073,1.0335106,0.7703482,1.2505184,0.9213113,0.67708665,1.0326661,1.2978754,0.93548816,0.7144455,0.6360582,1.3097124,1.1593597,1.3357133,0.886006,1.0463603,1.0016502,0.8938256,1.3410277,0.8922172
