,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
pajamas,0.7080977,1.1978668,1.2868103,0.5628429,1.2736938,1.386295,1.2588265,1.3893292,0.8480673,0.7884136,0.44825327,1.5081758,0.50360256,0.27745104,0.4297552,1.2619603,1.0320237,1.4524198,1.498586,1.1113961,0.8217928,1.0873156,1.1583209,1.370157,1.4665742,1.2971412,1.0374587,1.123667,1.0562878,1.5021358,0.7587979,0.86662304,0.80701005,0.8566271,0.6187437,0.9072945,1.5579989,0.71603477,1.5134461,1.0755831,0.9518258,0.860671,0.98686457,1.1109555,0.30736518,0.95597816,1.0269754,0.8189551,0.660529,1.1814971,1.4175996,1.2178668,1.1334686,1.0967076,0.6443136,0.7638098,1.3155525,1.097387,0.79908806,1.3152232,0.68159175,0.8660618,0.79117274,1.3319538,1.3603694,1.0870332,0.53392017,0.89537865,0.5340519,1.4144211,0.85615337,1.4696732,0.7987725,1.3420984,1.0662963,0.58116364,1.3837084,1.3107212,1.1765246,1.3015372,0.79832613,0.667218,0.0,0.6631303,1.1790596,1.4328078,1.4796503,1.2603796,1.0929513,1.1761274,1.35641,1.5444202,1.0052198,0.8336447,1.3646169,0.8863587,1.102526,0.97024834,0.7279277,0.2687552,0.99272,0.76045436,1.5066111,0.77236116,0.9841798,0.9483514,1.5066298,1.3533145,0.8768904,0.8887582,1.1972256,1.2732427,0.9067952,0.60245985,0.65840846,1.4915116,1.3369179,0.6406935,1.3179548,1.237802,1.037896,0.6638362,0.87954694,1.3903432,1.382932,0.8171277
pants,0.73621154,0.94083434,1.3561283,0.61674863,1.2658205,1.2958283,1.263748,1.426091,0.7795408,0.6294248,0.55485934,1.154325,0.59212023,0.7780814,0.52744156,1.0434936,1.1615692,1.3831987,1.3689799,1.1511366,0.8478547,1.2620857,1.18469,1.431897,1.2008498,1.1318284,1.028592,0.90585124,0.9980339,1.3923595,0.91499305,0.569473,0.94452107,0.8688543,0.5729851,0.8847202,1.4231061,0.87686384,1.4205518,1.0731623,1.0749979,1.2436482,0.82061744,1.1606014,0.55019605,0.8881935,1.2967725,0.69564176,0.9356269,1.0803648,1.2275686,1.4098097,1.000848,1.111393,1.2060069,0.9735638,1.1532385,0.9495097,0.7715354,1.3925765,0.78069067,0.9836036,0.89819777,1.2105298,1.2579085,0.94854116,0.31640697,1.068058,0.25367904,1.387538,0.839171,1.3047547,1.0441387,1.3194904,1.0998243,0.7265808,1.1506908,1.0107174,1.1173155,1.2221538,0.7097294,0.9187894,0.6631303,0.0,1.1899583,1.375568,1.3597775,1.2970853,0.7471679,1.0349362,1.1841813,1.3416383,1.1314611,0.9069565,1.3391523,0.9258586,1.3175535,0.88413537,0.90581465,0.49138373,0.9288637,0.16719067,1.3383316,0.77208686,0.99883217,0.8290766,1.3094841,1.1570292,0.55168676,1.0975586,1.2839334,0.96847486,1.155323,0.2666006,0.80374557,1.3872552,1.1778929,1.0569757,1.319926,0.9432983,1.4670311,1.0536456,0.9579178,1.1529891,1.2940216,0.8392264
paper,1.254015,1.150266,0.9753693,1.0801872,1.0738719,0.90642333,1.0933185,0.7527935,0.88481,1.1866821,1.1222599,0.9220741,1.067806,1.020809,1.1276016,0.42907274,0.52647954,0.84871775,0.8626622,0.7344804,1.0461574,0.76891184,0.972306,0.9319944,0.7736882,0.9315031,1.0787622,0.96070474,0.9879353,0.851029,1.0038065,1.2392147,0.8161816,1.1208317,1.1112431,1.0882103,0.95979375,1.1577812,0.8204786,1.05271,1.0940683,1.0630852,0.84872043,0.6930832,1.1269295,1.1442826,0.9582392,1.197587,1.0471985,1.089599,0.8516806,0.985865,1.1202725,0.845605,1.1421576,0.9199503,1.0520002,1.1998528,1.1100105,0.9468832,1.1117414,1.0717068,1.0953118,1.0033265,1.0288131,1.1645532,1.2229173,0.991188,1.2153975,0.9367472,1.019356,0.68204236,1.0894806,1.0430067,0.82786596,1.2272621,1.0777497,0.9225965,1.1083281,1.0309315,0.90202296,1.1408395,1.1790596,1.1899583,0.0,0.9224564,0.84459335,0.8673247,1.038499,0.99749553,1.1950397,0.81942767,1.0901905,1.0119525,0.82202095,0.7878705,0.9109821,1.0751737,1.0705196,1.1025882,1.1469401,1.0899734,1.0274271,1.0339837,0.85260606,1.0065304,1.0001681,0.84322494,1.2207005,1.0161674,0.9569201,1.0394756,1.0885674,1.1439111,0.9963186,0.91236234,1.0755876,1.1577072,0.9505411,0.95535505,1.0218592,0.9295079,1.0348026,1.0301217,1.0617263,0.9037156
pen,1.3645633,0.8340988,0.8490945,1.3232908,0.8218684,0.6197879,0.92646265,0.6959835,1.1077693,1.1337231,1.489015,0.549366,1.464624,1.3524232,1.4419689,0.9486407,0.9989314,0.6057587,0.6007605,1.0991858,1.369101,0.82425135,1.0211134,0.61439294,0.5309206,0.9044273,1.1683859,1.0406811,1.0703433,0.5720538,1.331739,1.2260013,1.1906509,1.2948122,1.4353328,1.1950283,0.29350334,1.3903294,0.59136033,0.9678217,1.11342,1.0749538,1.1277643,0.77681726,1.3722863,1.1042336,0.9954194,1.1644846,1.2084783,0.78878564,0.6198525,0.7711494,0.87135196,0.7163138,1.2882692,1.288823,0.63892746,0.9290335,1.2387122,0.8425578,1.2866954,1.2273381,1.1332507,0.66521585,0.65595317,0.947607,1.3856289,1.2859381,1.3328705,0.15462309,1.28665,0.61426383,1.2607844,0.8001485,1.0967298,1.455065,0.63001335,0.7952064,0.5642102,0.6954613,1.266696,1.2394114,1.4328078,1.375568,0.9224564,0.0,0.217682,0.7756344,1.0255479,1.0020518,0.8230207,0.4660113,1.0112019,1.1513244,0.62806714,1.189711,0.9091078,0.8723628,1.0203828,1.4561584,1.1097122,1.334781,0.4240793,1.3062782,0.972333,1.1360223,0.4898572,0.765717,1.0263528,1.2263416,0.5640646,0.87177426,0.98876476,1.3123374,1.3881656,0.47946846,0.64826864,1.2309002,0.3697958,0.8412953,0.8411819,1.2611127,1.1539414,0.6277118,0.5127043,1.2100472
pencil,1.3226223,0.8649196,0.81962186,1.3039143,0.8150842,0.40460086,0.997578,0.6983581,1.1494421,1.1004041,1.4158596,0.45893395,1.4631133,1.4099251,1.3964069,0.80208635,1.02287,0.50058,0.5218385,1.1347119,1.4192345,0.90285707,1.1314156,0.50242746,0.48811585,0.81383455,1.2350492,0.7998593,1.1143329,0.3795125,1.3339095,1.2203809,1.2528054,1.2314917,1.3813982,1.1398407,0.21394801,1.4365501,0.4814465,1.1015428,1.0997354,1.1227114,1.14907,0.91760164,1.4016395,1.1638993,1.1166601,1.1165247,1.1618149,0.87199104,0.3539865,0.7460605,0.919626,0.7224983,1.3558711,1.4121501,0.6300679,1.0375644,1.124727,0.7883961,1.2943084,1.287784,1.2398007,0.70228624,0.6311547,0.90861183,1.4323008,1.3487456,1.4147539,0.29308534,1.2734705,0.49997032,1.3283681,0.8485961,1.0962994,1.5348889,0.5719899,0.7382138,0.73853123,0.73062766,1.3292627,1.2447217,1.4796503,1.3597775,0.84459335,0.217682,0.0,0.7703742,0.9145808,0.9952693,0.8473103,0.44690496,1.0559194,1.16736,0.5727963,1.2567842,0.93733084,1.0490307,1.1128023,1.4602675,1.1643966,1.3457496,0.46733916,1.2827648,1.0671704,1.1104827,0.31688368,0.5747778,1.0702718,1.2605221,0.7382614,0.8378108,1.1184974,1.4025588,1.3954651,0.31898212,0.6348053,1.1912547,0.446275,0.78156984,0.91191685,1.3480935,1.0631902,0.6026739,0.5147983,1.1654086
pickle,1.0832331,0.8670925,0.8033056,1.2889131,0.8459162,0.91715884,0.6223211,0.65752757,1.171374,1.0999769,1.4298595,0.74334484,1.3839216,1.2822133,1.266308,0.76321644,0.8326245,0.7462538,0.6821886,0.9372842,1.1003934,0.86492705,0.80421436,0.9337699,0.7099302,0.7221615,0.8533952,0.9233326,1.0885733,0.91677964,1.2154648,1.1114694,1.1381187,1.13566,1.3586957,1.0704217,0.6254601,1.1989532,0.7872126,0.82154185,1.1368148,1.0337268,1.1431484,0.9994438,1.3180609,1.1031246,0.8339978,1.0919262,1.1756796,0.97148633,0.9260764,0.8215521,1.0488571,0.92450136,0.96702003,1.2141935,1.0245953,0.9093179,1.0328555,0.51466703,1.2990484,1.1140182,1.1481088,0.9221924,0.9016198,1.1066478,1.2671785,1.0873864,1.2582769,0.75229985,1.1494175,0.77428514,1.1150362,0.7696927,0.94463235,1.1449862,1.0063818,0.7101188,0.81449735,0.77543205,1.1924504,1.110956,1.2603796,1.2970853,0.8673247,0.7756344,0.7703742,0.0,0.9547579,0.92365205,0.8502959,0.6788009,0.80896884,1.0798699,0.83135194,1.2027214,1.0195597,0.7435821,1.1180369,1.3876789,1.0214365,1.1921227,0.69810826,1.3494515,1.1878909,1.0923607,0.8581352,0.8529573,0.96155417,0.9809281,0.80279285,1.0074441,0.8887347,1.3454347,1.2922314,0.78460014,0.9744175,1.1368374,0.88056624,0.73613274,0.7748786,1.0499033,1.1354424,1.0305374,0.82968956,1.1381698
pillow,0.90627795,0.79471445,1.0282071,1.0397866,1.0170736,0.90355045,0.9357573,1.0367906,1.2433199,1.0056472,0.8550126,0.48024017,0.9400005,1.1673453,0.7040983,0.82170373,0.957456,1.0638405,0.8026768,0.9849392,1.0708331,1.2771202,1.0636126,0.9954027,0.8645914,0.6969994,1.0647905,0.84285074,1.0462745,0.9518403,1.0171845,0.7241309,1.1623064,0.74875486,0.6625107,1.0673485,0.81076324,0.933218,1.0502934,0.9355602,1.0715064,1.1590055,1.0477504,1.227955,1.0627673,0.96443146,1.3807845,1.0148897,1.200677,0.91698134,0.66008604,1.1220491,0.89579535,1.0063831,1.203872,1.3715451,0.9094347,0.71450233,1.0061104,0.97455263,1.10103,1.1723382,1.0221863,0.8781958,0.8895806,0.91695386,0.7894249,1.3593578,0.8434012,1.1035037,1.1598772,0.96361965,1.2119644,0.8841805,1.1787992,0.9556927,0.81089437,0.65364873,0.9385129,0.88146627,1.1339517,1.1372385,1.0929513,0.7471679,1.038499,1.0255479,0.9145808,0.9547579,0.0,1.0067093,0.8191732,0.7240838,0.7544639,0.9002082,0.9810414,1.3087927,1.2030938,0.8276135,1.262761,1.1022722,0.91662145,0.65558064,0.90674806,1.0995324,1.261689,1.0139043,0.75386274,0.93810296,0.74811804,1.1495547,1.2669697,0.70058286,1.1795812,0.93453383,1.2105628,0.90183234,0.87038213,1.1736269,1.1606255,0.72243035,1.238223,1.2863346,1.1511666,0.9846276,0.898629,1.1280209
pizza,0.98034185,0.9205936,0.9969128,1.1381935,1.0108654,0.89709747,0.8951356,0.9719159,1.1020194,0.97109437,1.027851,0.9469693,1.114697,1.1351869,1.0854063,0.93911475,0.6790922,1.0323102,1.0207775,1.1029732,1.011674,1.2399324,1.1743201,0.90454715,1.1168545,0.89102423,0.93314075,0.975883,1.1394732,0.84990215,0.94537556,0.94031745,0.9873894,0.88939035,1.0931976,0.64588684,0.95524687,1.0294334,1.0215274,0.8004272,1.0823095,1.1092079,1.1665777,1.2032099,1.1243008,1.0394697,1.0965782,0.9241251,1.0609783,1.0187911,0.96026117,1.0249171,1.0868758,1.1480764,1.0903411,1.01883,0.93854207,1.1033217,0.77167106,0.8996952,1.0483489,0.7927199,1.1126845,0.9912197,0.8655048,1.0338883,1.0228513,1.0557306,1.0568041,1.0825173,1.0268917,1.0347676,1.1289657,0.827743,1.0655475,1.0975764,0.88823,1.0351007,0.9057393,0.86111367,1.0780543,0.9961302,1.1761274,1.0349362,0.99749553,1.0020518,0.9952693,0.92365205,1.0067093,0.0,0.8479377,0.75349957,1.0590855,1.0779026,1.1035783,0.92494404,1.0943832,0.90648663,1.1586518,1.086946,1.0721053,1.142899,1.0371381,1.107489,1.2138503,1.0505913,0.95350444,0.988132,1.0372897,0.93222946,1.2324023,0.9826465,0.9257613,1.0474725,1.1195352,0.9579428,1.0004848,1.1621766,1.0940307,1.0083077,1.0525476,1.0337076,0.99870574,1.1827418,0.9834562,1.025042
plant,0.93273675,0.8808254,0.8020923,1.280508,0.8571036,0.955762,0.5578,0.9790096,1.3806988,1.2005601,1.3643385,0.76679945,1.3569639,1.2782813,1.351146,1.1484628,0.99698234,0.9116223,0.9464891,1.083365,1.1816442,1.1337355,1.0669887,0.7796522,0.91042644,0.90680623,0.99224,1.0669341,1.0474443,0.78847593,0.93680507,0.86549747,1.2374426,0.81559575,1.1651983,0.9411176,0.6652659,1.0630897,0.920115,0.83618355,0.9671331,1.0462569,1.0860124,1.204307,1.2333891,0.92856276,1.1301275,1.1138158,1.1503826,0.83402956,0.9209578,0.73704433,0.8547339,1.0727279,0.924358,1.2000457,0.79322153,0.7938987,1.0842322,0.6868535,1.1182089,1.109988,1.0742977,0.83818275,0.6332878,0.75794363,1.091291,1.1974857,1.1493889,0.8321528,1.1459521,0.9083769,1.2178072,0.48216593,1.0673594,1.0853966,0.78559196,0.61035925,0.83969784,0.87771094,1.1111135,1.0655911,1.35641,1.1841813,1.1950397,0.8230207,0.8473103,0.8502959,0.8191732,0.8479377,0.0,0.72946584,0.9014355,1.1287184,1.0139406,1.1892804,0.9413967,0.7690146,1.2629912,1.293781,0.96482617,1.0614016,0.7163718,1.2061124,1.3554997,1.2250127,0.7754118,0.9006916,1.0506905,0.97619474,1.055946,0.71781397,0.78154635,1.2157177,1.3567792,0.86722475,0.7984249,1.1211214,0.7852464,0.6342317,0.92697275,1.2824676,1.1217115,0.75428605,0.7836611,1.2356511
plate,1.2920837,0.7820811,0.793839,1.4824706,0.76548374,0.57672286,0.77694905,0.6218976,1.2219753,1.2207342,1.4843545,0.33272505,1.5100543,1.4570446,1.4266951,0.77902734,0.7802817,0.6000737,0.307714,0.9957182,1.2615523,1.1320179,0.8845809,0.620614,0.60135686,0.66188806,1.117755,0.83186305,1.0856827,0.5236144,1.3098111,1.1431569,1.2704424,1.0772452,1.3543235,1.1233608,0.34818286,1.2294793,0.51466966,0.79726744,1.1764545,1.1448609,1.2260439,1.0503013,1.4440825,1.1751755,0.9418183,1.1916893,1.2757592,0.9063668,0.5442563,0.8094754,1.0086645,0.9437436,1.2776928,1.2645206,0.74853945,0.90092695,1.1081574,0.7378104,1.400759,1.078358,1.2526357,0.6361774,0.67495704,0.97241384,1.4434004,1.2156307,1.3618122,0.5889485,1.3198256,0.5437999,1.2323008,0.66481745,1.0006473,1.4761869,0.65062803,0.73303705,0.6877586,0.5246622,1.3767812,1.2418493,1.5444202,1.3416383,0.81942767,0.4660113,0.44690496,0.6788009,0.7240838,0.75349957,0.72946584,0.0,0.91725606,1.1514498,0.6993549,1.2190332,1.0583271,0.839132,1.332306,1.5320537,1.1492202,1.3119941,0.4898728,1.312082,1.108485,1.0737137,0.49641955,0.7330867,1.0737514,1.0921324,0.94863486,0.87225705,0.97913814,1.4355183,1.4058409,0.38797474,0.7629025,1.2648826,0.6330759,0.8085054,0.86107486,1.1919048,1.0859752,0.90757954,0.54874647,1.170631
pumpkin,1.1876402,0.7775826,0.76873064,1.1642203,0.84402686,0.9582371,0.92912453,0.8864723,1.395363,1.1659559,1.1709459,0.92244995,1.1422246,1.141362,1.0393492,1.0212468,1.049382,0.9819284,0.90535027,0.96783835,0.8497382,0.92058986,0.86190224,0.87902737,0.9159565,0.93943036,0.880838,1.0856379,0.99494004,0.95715094,0.95053995,0.95665836,1.2138107,1.0893708,1.1250579,1.0725147,0.9403631,1.003267,0.9365314,0.9420923,0.9377992,0.75429225,1.1271113,1.2363143,1.0458205,0.91213554,0.84396774,1.1838723,1.2288499,0.79182124,1.0124928,0.8438806,0.8128155,1.0169067,0.9612013,1.1205454,0.9529666,0.7627203,1.0156294,0.7683761,1.0633141,1.0396388,0.9161629,0.91014165,0.9035736,1.0809178,1.0120549,1.004758,1.026583,0.9839728,1.1417797,0.9008417,0.92866015,0.8453679,1.0322986,0.8920553,0.90591496,0.76995003,0.8685901,0.72757375,1.1807134,1.1570241,1.0052198,1.1314611,1.0901905,1.0112019,1.0559194,0.80896884,0.7544639,1.0590855,0.9014355,0.91725606,0.0,0.9529265,0.98322296,1.2115998,0.9610057,0.8927979,1.2610661,1.2743087,0.80785346,0.8914702,0.91125906,1.2577274,1.3093294,1.256184,0.860368,0.9114199,0.92405105,1.0918821,0.9469016,0.8663867,0.89013386,1.1615157,1.2226999,0.95002526,0.81775534,0.81072855,1.1267474,0.8248247,0.91708505,1.1970813,1.2101157,0.9860867,0.77581394,1.2606958
purse,1.0966227,1.018598,1.1147524,1.1664597,0.92427075,1.1268085,1.143309,0.8175897,1.089042,1.0432516,0.8975575,0.97271264,0.98715186,0.7502798,0.8127437,0.9776071,0.9742177,0.8856011,1.0416837,0.6764943,1.1412551,1.0150417,0.81205994,1.1030629,0.9464139,1.0616587,1.0367934,1.0562876,0.80269563,1.0569776,0.82799315,1.0566373,1.0021342,1.0447251,0.8657272,1.0716945,1.138335,0.78143454,0.96381116,1.1716993,0.80818707,0.9463431,0.9017018,1.0082601,0.6731037,1.1242136,1.0804056,1.0716012,1.1250355,1.2783535,1.121091,0.96768117,1.16655,1.1388817,0.8555268,1.1058196,1.155443,0.92019534,1.0313202,1.0078634,1.0423024,1.0654337,1.2275733,0.9746371,1.0792936,1.2353508,0.80841243,0.9723038,0.89650595,1.0653579,0.91405225,1.082334,1.0312285,1.1167041,0.8635023,0.99730384,1.1373348,0.937132,1.0401298,1.0455774,0.99595714,0.8476412,0.8336447,0.9069565,1.0119525,1.1513244,1.16736,1.0798699,0.9002082,1.0779026,1.1287184,1.1514498,0.9529265,0.0,0.7034125,0.9267762,0.85521066,0.9649574,1.0322739,0.85807765,0.71517503,0.79068047,1.0568006,1.0102272,1.082665,0.90742695,1.0391613,1.0717976,0.93510157,1.1485246,1.0913248,0.95348984,0.76064,0.9704422,0.919263,1.0229597,1.1939509,1.1389892,1.2171224,0.96268976,0.7372149,0.8551893,1.0770087,0.8862219,1.1122372,1.0890965
radio,1.3481116,0.9452199,0.765617,1.420829,0.62574536,0.60488737,0.9107945,0.41156316,1.1743566,1.1552618,1.3426783,0.57125324,1.4016222,1.264803,1.3324295,0.8119683,1.1119486,0.41325355,0.5072148,0.8741893,1.471913,0.87895733,0.87932265,0.6384117,0.46117312,0.8115728,1.0027192,0.9625132,0.8274911,0.49426514,1.2022934,1.3992705,1.2046609,1.2465608,1.2903748,1.2301177,0.49393708,1.2511129,0.41208965,1.0844402,0.7538543,0.8998334,1.0309175,0.9150201,1.2260497,1.2555944,0.9395913,1.2217262,1.1923931,1.1215768,0.6223032,0.54361165,1.0887285,1.0359823,1.0912082,1.3588932,0.87369984,0.8935319,1.2198354,0.82283276,1.2889181,1.3036028,1.3662025,0.6923082,0.6611166,1.2355747,1.4524955,1.1779048,1.4043348,0.51850355,1.2043136,0.530393,1.2101818,0.73247564,1.0598748,1.4843786,0.84498453,0.73864424,0.95463973,0.813422,1.1836565,1.1377298,1.3646169,1.3391523,0.82202095,0.62806714,0.5727963,0.83135194,0.9810414,1.1035783,1.0139406,0.6993549,0.98322296,0.7034125,0.0,1.0863366,0.6305506,1.0899341,1.2352479,1.3736172,0.8994427,1.2264303,0.5636475,1.2275666,1.0045022,0.99671525,0.5045872,0.70340043,1.1011171,1.2351698,0.8947811,0.9487236,1.0385572,1.3922006,1.1961224,0.4120714,0.86065066,1.1711271,0.86296964,0.8087622,0.585005,1.172607,1.1502364,0.62583864,0.71114695,1.16956
refrigerator,1.0572708,1.4299091,1.2809466,0.93975776,1.3436197,1.220762,1.1529084,1.0202055,0.5406696,1.0477146,0.75026536,1.2858893,0.79468614,0.8625257,0.90707743,0.9397311,0.78197217,1.0733786,1.2284753,0.69962585,1.0242927,0.8844061,0.959381,1.2109925,0.9639244,1.0938352,0.9969585,1.0260237,0.65627587,1.1632249,0.5334265,1.110909,0.87956077,1.0901775,0.81654483,0.9070965,1.370063,0.6658412,1.0979409,1.0344377,0.99502534,1.063998,0.4447825,0.6265867,0.8387352,1.3121916,1.0291742,1.1164275,0.96274453,1.3961129,1.2128935,1.1146064,1.3672835,1.0326724,1.0447036,0.68882823,1.3363142,1.3590337,0.97395694,1.3457875,1.0148295,0.92613107,1.1879612,1.3471234,1.1569959,1.1859888,0.8745793,0.65979064,1.022214,1.1740948,0.5002345,1.0385348,0.89673793,1.2405453,0.7470889,1.0593905,1.3869605,1.1005063,1.3064616,1.2763094,0.3296256,0.99719,0.8863587,0.9258586,0.7878705,1.189711,1.2567842,1.2027214,1.3087927,0.92494404,1.1892804,1.2190332,1.2115998,0.9267762,1.0863366,0.0,1.0148817,1.1717811,0.845888,0.8236974,1.1493784,1.035424,1.2662961,0.5527705,0.5902184,0.76836133,1.397817,1.0748382,1.2917533,0.94970167,1.0153806,1.2491883,0.85342515,0.83859557,0.5637524,1.2692817,1.467792,1.1015577,1.0865335,1.0419437,0.99905473,0.66675556,0.8383533,0.98732114,1.4288033,0.60953104
rooster,1.118934,1.0985758,0.9053832,1.2184045,0.7769831,0.8910579,0.89596015,0.797176,1.1221101,1.095034,1.1081005,1.0262163,1.1892636,1.0250577,1.1790886,0.9893657,1.1011665,0.77498424,0.9945877,0.9769202,1.1913685,0.8135213,1.0153829,0.47962296,0.86531657,1.0629044,0.9993758,1.0952214,0.82686937,0.8317194,1.0326029,1.2933395,1.1305777,1.1403934,1.1573485,1.0795623,0.88338214,1.1167917,0.8500999,1.139899,0.30387253,0.67948335,1.0198606,0.92387116,1.0932543,1.2206817,0.864166,1.1154783,1.0727955,1.1131029,0.9287996,0.65504336,0.99059844,1.0752097,0.80025274,1.176103,0.9480771,1.0003995,1.0869454,0.9439408,1.1239715,1.1025236,1.213597,0.9091357,0.87025976,1.0365726,1.2786946,1.0508074,1.2755721,0.8189681,1.0666608,0.7603367,1.091442,0.86799836,1.0127828,1.2706614,1.0276619,0.97036326,1.0210878,0.91642684,1.0871754,0.8773528,1.102526,1.3175535,0.9109821,0.9091078,0.93733084,1.0195597,1.2030938,1.0943832,0.9413967,1.0583271,0.9610057,0.85521066,0.6305506,1.0148817,0.0,1.1127898,1.1251088,1.163646,0.96273893,1.2256635,0.83133376,1.0263475,1.0880564,1.0703387,0.8756716,0.9035472,1.2008121,1.0995225,0.9147817,1.0294707,0.9929058,1.2358886,1.0193832,0.89583904,0.96005887,0.9721717,0.959114,1.0074012,0.6792614,1.1258583,1.0803477,0.7966271,0.9019042,1.1275473
scarf,1.1193746,0.98547655,1.0553181,1.1978838,1.0451031,1.1091034,0.970366,0.9956963,1.1575934,0.9751302,1.1765623,0.81779045,1.1974207,1.0286896,0.97052807,1.076961,0.9664207,0.9781907,0.9917499,1.0660602,1.123298,1.0525514,0.8896444,1.0576425,0.97235745,0.9680926,0.9007619,0.97234184,1.0797918,1.1307133,1.0946008,0.8522047,1.0600303,1.1238929,1.1206305,0.99794376,0.89552474,0.98235595,1.0248375,0.82905316,1.1185786,1.0802855,1.1037967,1.0564163,1.0468321,0.87871695,1.078688,0.950947,1.1264495,0.9031276,1.1032761,0.9957286,0.9809437,1.1585717,1.0396827,1.0758611,0.99240124,0.5782797,1.0793585,0.88953376,1.1323245,1.0813568,0.9551468,0.84789073,0.9923178,1.0377818,0.7869909,1.1640358,0.76778483,0.955861,1.1236821,0.9825891,1.0589361,0.9915016,0.94873327,0.9658853,1.0078664,0.8019681,0.55560476,0.8972259,1.0927159,1.038418,0.97024834,0.88413537,1.0751737,0.8723628,1.0490307,0.7435821,0.8276135,0.90648663,0.7690146,0.839132,0.8927979,0.9649574,1.0899341,1.1717811,1.1127898,0.0,1.145713,1.0625261,0.90576845,0.8062655,0.84979117,1.1428427,1.2349567,1.1270816,1.0156198,1.1118509,0.8654801,1.0608131,1.1169133,0.9320533,0.84915835,0.96261764,1.2009305,1.0195483,1.0059149,1.0967454,1.0260601,0.7989303,0.97697276,1.0924044,1.0735017,1.149397,0.83106476,1.0535008
scissors,0.6402489,1.1954458,1.29159,0.68136615,1.2803004,1.4024632,1.1059982,1.3146386,0.51960045,0.72663635,0.7864342,1.3817673,0.73160684,0.72032654,0.7834475,1.0687592,1.0275484,1.3779488,1.2433542,1.0558411,0.8394368,0.7862301,0.983281,1.3758445,1.1924284,1.1304929,0.90876603,1.1278687,0.9931602,1.3889976,0.98946303,1.0133142,0.78130305,0.95336175,0.88859975,0.9533601,1.3973918,0.96789306,1.3638756,0.9968536,1.0852734,1.0549401,0.9133869,0.60468584,0.89876693,1.0511968,0.99828464,0.7752136,0.89634657,1.2385535,1.3607926,1.3276558,1.1863949,0.7299187,0.7478685,0.732175,1.2954826,1.1376593,0.9208383,1.3394827,0.91083014,0.84722847,0.8625081,1.4146633,1.3192537,0.8171694,0.85713965,0.76282066,0.90110606,0.9678954,0.8524642,1.2248421,0.8106292,1.3391955,1.0078877,0.7796599,1.404088,1.2940508,1.1580635,1.3344572,0.7799127,0.79509175,0.7279277,0.90581465,1.0705196,1.0203828,1.1128023,1.1180369,1.262761,1.1586518,1.2629912,1.332306,1.2610661,1.0322739,1.2352479,0.845888,1.1251088,1.145713,0.0,0.72223985,1.0479522,1.0420097,1.1533521,0.8330558,0.5330667,0.9215365,1.4617648,1.0734018,1.052061,0.827738,0.52984375,1.1701608,1.0760733,0.88176334,0.773002,1.3463931,1.3758535,0.8111171,0.92385256,1.2612514,1.1691347,0.7551008,0.8770189,1.0931666,1.3482947,0.844385
shirt,0.70374787,1.1711252,1.281675,0.42223167,1.2688286,1.3593656,1.27591,1.423519,0.779989,0.77667093,0.45409667,1.4542004,0.52582276,0.2504893,0.5136407,1.2461934,1.007822,1.4589932,1.5140619,1.1028218,0.8437121,1.1879175,1.2122728,1.3870857,1.4932933,1.256724,1.0666299,1.0839237,1.090398,1.4585328,0.7834336,0.8185996,0.7020526,0.79042554,0.55131346,0.91634905,1.5801883,0.7431548,1.5024283,1.0858043,1.0257325,1.0696068,0.9135456,1.0891588,0.2677557,0.91261476,1.0723743,0.78803384,0.63980085,1.1703514,1.3626316,1.3123137,1.1629293,1.1022137,0.8060627,0.74320644,1.2680633,1.1394321,0.82613313,1.3771487,0.5844432,0.8663337,0.80546,1.2851491,1.3694572,0.96069825,0.484976,0.9129042,0.5348794,1.4622288,0.82460594,1.5032376,0.87729883,1.3172421,1.060503,0.6334288,1.3175046,1.3686777,1.2205347,1.3522232,0.7430357,0.6938518,0.2687552,0.49138373,1.1025882,1.4561584,1.4602675,1.3876789,1.1022722,1.086946,1.293781,1.5320537,1.2743087,0.85807765,1.3736172,0.8236974,1.163646,1.0625261,0.72223985,0.0,1.0478722,0.6227328,1.502378,0.75608385,0.9076738,0.87360454,1.4997288,1.3169748,0.8823003,0.88408333,1.2461135,1.2328594,1.0166793,0.3895709,0.66975045,1.4761833,1.334059,0.8970025,1.3119261,1.2917792,1.2091376,0.7211346,0.858111,1.3361564,1.4401178,0.78826433
