,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1086566,1.371559,0.80280393,1.2320193,1.3728498,1.0778372,1.188852,0.8457319,0.81817806,1.3520324,0.78159976,0.690667,0.8387604,0.75721323,0.9321374,1.0246507,1.2457677,1.298563,0.97599953,0.80324996,0.80484325,1.2382563,0.87371737,1.253371,1.4048314,1.2631176,1.0448154,0.8773753,0.86446595,1.1121148,0.7723162,0.9486077,1.015607,0.9355814,1.3768436,0.78475785,1.3165702,0.90943974,0.9475999,1.0799559,0.86266506,0.97780204,0.7196845,0.9793572,1.2820113,0.7422595,1.0266689,1.1940897,1.3718338,1.1713337,1.1219792,1.1434984,0.684662,0.81313705,0.94666904,1.3295939,0.9931669,0.86254275,0.96896267,0.91772676,0.83556104,0.99327785,1.3812525,1.0354553,0.8786833,0.8964252,0.89106745,0.76548195,1.1755856,0.83750135,1.2236835,0.8386909,1.0907373,1.0672514,0.73136705,0.84978074,1.0023892,1.3816922,1.2104717,1.212147,1.2844188,0.8901535,1.0335965,0.6686575,0.8646394,1.0724871,1.2892392,1.3056402,1.0383162,0.7586504,1.2165773,0.90137976,0.93397313,1.3524175,1.0254618,0.9689527,1.2896874,0.86871815,1.177952,1.0270531,0.6926687,1.0376632,0.78666437,0.8587054,0.87289214,0.9069083,0.83075106,1.0102696,0.8925141,1.4276335,1.0163485,1.0996712,1.1402912,1.2252725,1.0356,1.3659785,1.3483396,0.86920595,1.0248065,0.8964913,0.7926583,1.2478815,1.2617195,1.2051668,1.0523522,1.0346962,1.1140954,0.9078221,0.83200616,1.1195693,1.030513,1.4413805,0.8690449
ankle,1.1086566,0.0,0.8754146,0.779879,0.92472214,0.9703356,0.9612376,1.0399697,1.27669,1.1155227,1.0996755,1.2036035,0.83977246,1.0397645,0.9441495,1.1766133,0.942415,1.1131907,1.1229997,1.1640813,0.98887503,1.1095543,1.0820465,0.75596833,0.9491263,1.1182393,0.8302635,1.1280761,1.0926765,1.1638162,1.1769495,1.2678249,1.1928425,1.0470849,1.0318029,0.8169285,1.2221181,0.96390164,1.0754421,1.109792,0.75197434,1.25543,1.1894963,1.042295,0.78761625,0.9334153,1.0211506,1.0264611,0.4180587,0.9232812,1.0319635,0.47776806,1.047783,1.0813284,1.1743456,1.1222303,0.7250068,0.63759136,1.1144305,0.96385837,0.9303955,1.1800586,0.56628376,0.62187815,0.99562776,1.130742,1.0291648,1.2213178,0.9669059,0.74559283,1.1271958,1.0180547,1.0846064,1.0822887,1.1172739,0.86973494,1.1240693,1.0338427,0.816327,0.78158647,0.50036144,0.9003066,1.2406285,0.97224903,0.8633131,0.8884159,1.0668108,0.89439666,0.82619655,0.9149512,0.9090125,0.7868016,1.1003585,1.1654443,0.9374854,0.9857306,0.99515015,1.0385756,1.2357874,1.0316253,1.0955704,0.9935089,0.9088868,1.0636487,0.782931,0.7456108,1.2650594,1.2495881,1.2540722,1.1518325,0.7023065,1.2152871,0.9055507,0.30375743,0.91163725,1.1414874,0.72650415,0.87420857,0.9837194,1.0684661,1.1641145,1.2193333,1.0047109,0.5055544,0.78517526,1.1476173,0.8779721,1.0608566,1.2335346,1.2374038,0.94608575,1.2438619,0.77701503,1.314568
apple,1.371559,0.8754146,0.0,1.3935678,0.56429684,0.2963801,0.57584643,0.8081491,1.4718037,1.4736006,0.44081134,1.5021124,1.4577875,0.9993137,1.3838077,1.1470449,1.018061,0.7456021,0.5920801,1.2305527,1.1868067,1.2919629,0.7510115,0.9081166,0.6989728,0.49894255,0.51643455,0.97603023,1.2851169,1.1749924,0.8198755,1.4362655,1.100555,1.086257,1.3645785,0.39388514,1.4609027,0.53301924,1.1469848,1.0943191,0.925614,1.2873566,1.1238894,1.3296508,0.94473624,0.61816645,1.2886021,1.1104525,0.7249588,0.33767772,0.53142107,0.87636125,0.8581698,0.87954354,1.1805273,1.2669296,0.61599946,0.8988824,1.2200806,1.1079673,1.2722334,1.2335776,1.0962137,0.48693419,1.0884005,1.2387202,1.3413358,1.1892908,1.4328623,0.7690064,1.3443824,0.60741717,1.163188,0.598014,1.0459943,1.1720225,1.4717464,1.0620835,0.39574432,0.5800961,0.8231817,0.56276965,1.3069377,0.7958267,1.5107555,1.2946522,0.81043375,0.5268085,0.43276036,0.89055157,1.0175813,0.72057444,1.1332887,0.7968042,0.49024332,0.6052846,1.0727912,0.79861945,1.339512,0.64068115,0.9792385,1.2979257,0.9788103,1.4128776,1.2040923,1.2887018,1.2716776,1.3573934,1.3940136,1.3866479,0.36651564,1.1312308,0.7657579,0.7022698,0.6614921,0.9181173,0.5166953,0.3683858,1.2016577,1.1164391,1.2245617,1.4987044,0.61848116,0.6469611,0.6463827,0.89042044,0.6763535,0.8035711,1.4503552,1.1176554,0.9028365,1.1206365,0.34861183,1.2594419
arm,0.80280393,0.779879,1.3935678,0.0,1.3109024,1.414407,1.3494726,1.4268931,0.7495285,0.43269587,1.4181426,0.78054166,0.3118304,1.0912175,0.6623496,1.0316468,1.0363948,1.3799503,1.5117074,0.9997544,0.6932545,0.91442394,1.509135,1.0179919,1.3012234,1.4288117,1.1388243,0.90055066,0.9992779,0.96204317,1.2959898,0.80285287,1.0751274,1.1234425,0.5449267,1.4414091,0.82879597,1.5155616,0.87887037,0.9580026,0.99701583,0.9236855,1.1164069,0.6942293,0.9125718,1.3896453,0.6625255,0.81458753,0.8705682,1.3676522,1.3931704,0.7782705,1.2753612,1.1636108,0.9448601,0.8265765,1.1656005,0.8214436,0.87520987,1.0418664,0.63481444,0.89506197,0.49924183,1.3518403,0.8701193,0.91698587,0.52974594,1.0487171,0.60309803,1.1778693,0.9273583,1.3814949,0.8502455,1.3268273,1.1498078,0.6839025,0.62822485,0.7755317,1.2413812,1.3121402,1.020683,1.3886192,0.88657904,1.3424038,0.3217516,0.63170505,1.2994447,1.3180581,1.2924993,1.1344196,0.8054058,1.1715082,0.9160343,1.2479647,1.432605,1.2362986,1.1638329,1.3245829,0.8523271,1.349777,1.2327573,0.7034979,1.172353,0.41849864,1.0666907,0.65645784,1.0451151,0.843304,0.89915115,0.7098197,1.38421,0.98529375,1.1429496,1.0420772,1.3819451,1.2299392,1.1600909,1.3563832,0.97736436,0.6456282,0.9172072,0.71696246,1.5369871,0.97576565,1.0580649,1.1882212,1.2496272,1.2873162,0.71719754,0.9593131,1.1791364,1.1325175,1.355935,0.8591165
ball,1.2320193,0.92472214,0.56429684,1.3109024,0.0,0.42639172,0.66914797,0.90041494,1.3557558,1.3787768,0.85781497,1.3199968,1.2485983,1.0149255,1.2477219,0.9468769,1.0690174,0.7295414,0.6750221,1.1870424,1.0731434,1.078483,0.65701294,0.9955082,1.0559593,0.8051065,0.8395073,1.165482,1.2822828,1.1650941,0.7115109,1.3283273,0.8051771,1.0298009,1.2906747,0.7478195,1.3146333,0.51624817,1.1028789,0.9996909,0.79861975,1.3329353,1.0847106,1.2072214,1.0120106,0.6338587,1.2015792,1.086023,0.87405324,0.7478167,0.75782776,0.98706764,0.9879024,0.78138006,1.178513,1.049787,0.938396,0.74725354,1.1808139,1.0198752,1.1719818,1.1242347,1.0648285,0.62941515,1.0804147,1.1928998,1.2243583,0.926164,1.266219,0.9359075,1.3406026,0.9092212,0.99069756,0.40711856,0.9965297,0.8221379,1.2296704,0.87710655,0.749063,0.9508193,0.98479533,0.61963,1.340972,0.8257304,1.3278975,1.3100407,0.92940986,0.8012105,0.79573584,0.87316495,0.95441896,0.90917075,1.0736959,0.9041986,0.7755878,0.374084,0.9078632,0.8679936,1.3181503,0.77236104,0.79449916,1.1919556,0.9956994,1.2798254,1.0073735,1.241266,1.0878372,1.334069,1.2721531,1.1784931,0.66301405,1.084862,0.86369336,0.7887101,0.8061511,0.99257135,0.9345346,0.762242,1.1017321,1.2705352,1.25565,1.3508928,0.45284283,0.85580385,0.94485056,0.9741867,1.0052953,0.6178504,1.3257438,1.1660156,0.9753812,1.1259003,0.7783021,1.337972
balloon,1.3728498,0.9703356,0.2963801,1.414407,0.42639172,0.0,0.671518,0.7965648,1.4336486,1.4051024,0.40071315,1.4562615,1.4229705,1.1052891,1.3556643,0.99400216,0.999815,0.6627232,0.5163456,1.2643172,1.2130725,1.265488,0.68852115,0.9428329,0.7485905,0.4401908,0.49785155,1.0152622,1.3229152,1.2148521,0.65497273,1.3939921,0.9720243,1.1107113,1.3473704,0.34769273,1.4738839,0.4407431,1.1528956,1.170059,0.96358156,1.3418348,1.091159,1.2829866,1.004016,0.54587686,1.2658823,1.0783266,0.8482219,0.2404449,0.61992824,0.9405373,0.9992033,0.9479506,1.2208027,1.152775,0.67530125,0.9422673,1.2368377,1.1415946,1.2498672,1.243836,1.2060385,0.44736147,1.1800094,1.3052922,1.2594615,1.1284475,1.3501613,0.82184815,1.4179201,0.62878263,1.1516466,0.7199722,1.0676798,1.1299914,1.3879633,1.0561521,0.3462013,0.64356613,0.84202003,0.5066818,1.3446118,0.7704709,1.4815187,1.275034,0.70413053,0.46422243,0.3866738,0.93210673,1.1667168,0.71437097,1.1369816,1.0380442,0.42069638,0.7181768,1.0778093,0.8426715,1.3693225,0.6957167,0.9194341,1.2912815,1.0574977,1.3621218,1.2051221,1.2813853,1.2219567,1.3691733,1.3491948,1.2969816,0.32580388,0.9871545,0.71434885,0.7228272,0.69076383,0.8926487,0.5899519,0.33815598,1.2283306,1.1458567,1.3199877,1.4856279,0.529256,0.7074813,0.6086041,0.86587167,0.73738873,0.741076,1.4602176,1.2187746,0.9321071,1.0915465,0.31413805,1.3095222
banana,1.0778372,0.9612376,0.57584643,1.3494726,0.66914797,0.671518,0.0,0.730916,1.385772,1.3999608,0.7620895,1.3751249,1.2918756,0.9526103,1.3291496,1.0943917,0.9352168,0.83619976,0.7636039,1.1345125,1.105885,1.1691668,0.78054214,0.89303625,0.89821196,0.6682498,0.86428124,1.1721618,1.1615008,0.8839067,0.8823991,1.2557576,1.1494434,1.0993594,1.3019264,0.5717457,1.3228626,0.6779731,1.0585433,1.0782185,0.8969917,1.2763653,1.1119587,1.2046679,0.98908085,0.66212916,1.1949002,1.1029586,0.9133818,0.6654252,0.5949755,0.96894,0.8405676,0.73984706,1.1372924,1.2118169,0.83141434,0.88423973,1.276125,1.0478876,1.2245201,0.92764086,1.1781135,0.6751638,1.0654995,1.2369791,1.2723019,1.0666986,1.2515316,0.8191348,1.2232071,0.84379315,1.0993778,0.5377378,1.0343233,1.1027704,1.235739,1.0811164,0.767257,0.7826929,0.9810945,0.70709634,1.1934215,0.80544853,1.331938,1.2298378,0.9096801,0.67393565,0.6833475,0.88625,1.0125381,0.80134237,1.0454662,0.7836373,0.7251153,0.6362753,0.9799273,0.89238536,1.1545612,0.70207345,1.0035989,1.1885995,0.93990904,1.2968652,1.0425634,1.2109787,1.1430807,1.2759609,1.2524804,1.3519304,0.63905525,1.1501961,0.75356543,0.8581333,0.6965306,0.94689286,0.9051478,0.7977096,0.9410602,1.3186467,1.1882112,1.3167062,0.71642077,0.8473647,0.8141768,0.87682205,0.82256323,0.7423068,1.270154,1.1338468,0.91170037,1.0367357,0.71259934,1.2851954
basket,1.188852,1.0399697,0.8081491,1.4268931,0.90041494,0.7965648,0.730916,0.0,1.204279,1.370949,0.6135563,1.1626005,1.4141845,1.1527729,1.2390714,1.2628132,0.6654846,0.58106726,0.6152719,0.67430294,1.1791933,1.09613,0.4727497,1.081708,0.63937646,0.5681119,1.0915549,1.1244373,0.90099907,1.0554333,0.78599524,1.1996963,1.1336367,0.7072612,1.2533693,0.6147382,1.0763595,0.59136784,1.1583169,0.9928511,0.79454535,1.0551176,0.7936159,1.2648966,1.223496,0.8228152,1.2110366,1.2598162,1.025966,0.7846484,0.6771497,1.0849291,0.69437325,1.0212685,1.1513708,1.3194091,0.9742886,1.0758802,1.213736,0.84957194,1.3563527,1.114269,1.2577273,0.70989376,1.0624769,1.1451604,1.3016323,1.0282403,1.2749478,0.798435,1.0406307,0.70654345,1.151322,0.8289279,0.7186693,1.3599526,1.3281808,1.2344377,0.9061747,0.6808743,0.9639692,0.78996396,1.0085377,0.81187177,1.4132407,1.3446858,0.6135355,0.6591442,0.77161145,0.9163901,1.2253847,0.8169361,1.1267179,0.8872758,0.6063788,0.90863633,0.7288398,0.49199927,1.0374103,0.64593315,0.9070705,1.2587987,0.88705325,1.3963637,0.7706213,1.3193383,1.1104045,1.1938367,1.0998977,1.2859132,0.59551966,1.166528,0.9063265,0.9492423,0.62407196,0.76669204,0.857344,0.70798814,0.9133084,1.2835568,1.1365334,1.1667392,0.6323727,0.9559718,1.017229,0.67357194,0.75952554,0.7140918,1.1622642,1.1469278,0.8253728,0.8062122,0.7294192,1.1433502
bathtub,0.8457319,1.27669,1.4718037,0.7495285,1.3557558,1.4336486,1.385772,1.204279,0.0,0.61530787,1.2965653,0.51894474,0.80961776,0.9883455,0.7782413,0.7582152,1.1306701,1.2443194,1.202553,0.7676999,1.0009042,0.87663627,1.2607484,1.0990396,1.0680068,1.286948,1.3379799,0.7432685,0.79397297,0.9384331,1.1050173,0.4662857,0.84078455,1.0102125,0.7355344,1.489172,0.53751916,1.3613582,0.9529702,0.9745216,1.3140469,0.45107657,0.6621289,0.87567484,1.132688,1.2744793,0.76074266,0.9818653,1.357777,1.3743322,1.4444532,1.2243127,1.1264596,1.1754633,0.9204195,0.8139725,1.3653507,1.2912837,0.7273736,1.063286,0.8839059,0.8818582,1.0673103,1.4748808,0.9455496,0.6745715,0.75742155,1.0138711,0.84087914,1.234333,0.68842673,1.060466,0.84878397,1.2476687,0.96681404,1.0051452,0.76593006,0.8898274,1.413324,1.1943387,1.2819364,1.2970772,0.40800607,1.3916628,0.75530803,0.7670219,0.98661315,1.3999366,1.45787,1.3439559,1.0324831,1.2323016,0.9747781,1.1218089,1.2612157,1.2638104,1.1494775,1.0585732,0.61668587,1.345035,1.0182567,0.88675284,1.0672467,0.7194768,1.0612624,0.9064672,0.79568386,0.29374325,0.39456046,0.46202654,1.5093153,0.72291493,1.3135545,1.3394257,1.2394493,0.9646881,1.3262541,1.3692422,1.1200013,0.7303679,0.803434,0.61786336,1.2616656,1.4015806,1.1959133,1.0552958,1.1700401,1.3497322,0.625687,0.7910152,1.1350348,1.0454774,1.4856172,0.4369704
bed,0.81817806,1.1155227,1.4736006,0.43269587,1.3787768,1.4051024,1.3999608,1.370949,0.61530787,0.0,1.3348022,0.44895542,0.42261606,1.132097,0.37153268,0.8714441,1.0696614,1.4320091,1.4027824,0.8778217,0.75635755,0.89074814,1.5121217,1.1755576,1.3699561,1.3227456,1.2231076,0.6745691,0.8098955,1.0193825,1.2515607,0.47444725,1.0383323,1.121348,0.13687575,1.5193491,0.5252305,1.5724617,0.862571,0.8426213,1.042452,0.754125,1.1696664,0.68427336,1.1418989,1.4090402,0.6521608,0.7967849,1.240654,1.438967,1.3807853,1.1627595,1.403883,1.1493424,0.8527715,0.7619988,1.285919,1.1401839,0.70799935,1.0765741,0.69020087,0.86333627,0.9912422,1.442929,0.777208,0.9892518,0.37647736,1.0490518,0.38813388,1.3330603,0.7308429,1.4361014,0.8496398,1.3702081,1.1880656,0.8996786,0.524753,0.94764537,1.305368,1.377018,1.2493132,1.4177666,0.80248433,1.3185581,0.34076822,0.6002554,1.3142788,1.4604106,1.4167626,1.1880583,0.93580246,0.9553565,0.8969594,1.2285964,1.3880188,1.2906257,1.0790743,1.308193,0.6999773,1.3575656,1.249722,0.65498775,1.2854273,0.44013345,0.9698045,0.7181423,0.9077748,0.6009967,0.8234264,0.6173911,1.4830272,0.81042266,1.2617353,1.2412509,1.5572853,1.3770928,1.3301142,1.3678802,0.8974965,0.55847096,0.8325293,0.5075327,1.5179398,1.2796962,1.2123139,1.3000312,1.2242206,1.2325003,0.61809766,0.81434506,1.1677759,1.0566093,1.4031043,0.6409947
