,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,eye,face,finger,fish,flower,fork,frog,glasses,glove,gum,hair,hand,hat,helicopter,horse,hose,jacket,jeans,knife,lamp,mitten,nail,napkin,necklace,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,shower,sink,slipper,soap,sock,soup,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.1934404,0.75264406,0.37821603,1.2376946,0.89126015,0.7516446,0.73584855,0.6998222,1.2409358,1.3331907,0.0,1.3355108,1.0949749,1.0775704,1.2694876,1.0114139,0.6672104,0.47247875,0.7490802,1.013242,1.1202475,0.75914454,0.6755388,1.1980891,1.032461,1.1968486,1.0327466,1.1325287,1.1869987,1.3064699,1.0042864,0.43130207,1.2468668,0.6934294,1.2662759,1.094968,1.3351046,1.1903706,0.9097735,1.1010282,0.8474138,1.1363318,0.8582595,0.57785094,0.6587863,1.0396762,1.1922724,0.75237095,1.0323784,0.69259155,1.259916,1.2022328,0.9502247,1.1403964,0.8564903,0.9930488,1.2370678,1.2630293,1.0532508,0.7698567,1.3744793,0.42150116,1.1045536,0.68637663,1.327885,0.94096476,1.2075205,1.2692255,1.0837839,0.82694817,0.6412261,0.51509106,1.1090236,0.7894774,0.97214943,0.8322406,1.0962398,0.9535933,1.2950945,1.2321733,1.1739526,1.1650486,1.2936089,0.7989231,1.2066216,1.26546,1.2473446,0.53283787,0.9565278,1.1380666,1.1237029,1.1392882,0.98058856,1.2845006,1.3700192,0.48911333,0.6376244,0.80869687,0.66972256,0.9152403,0.9283937,1.2341511,1.0045837,0.34377587,1.2502785
bench,0.909295,1.2217954,1.2775993,0.7575312,1.1069382,1.2251679,1.3502886,1.2584785,0.8346964,0.12357378,1.3355108,0.0,0.86148095,1.100566,0.21822464,0.9714545,1.2981355,1.3230184,1.2145514,1.1188011,1.0966591,1.2828984,1.3722081,0.87385345,0.8527027,0.81193644,1.1520916,0.86050344,0.7576818,0.21672297,1.1504769,1.4351268,0.6181567,1.4147189,0.53125095,0.7769623,0.80522966,1.0819193,1.0290821,1.0585546,1.2259464,0.93276954,1.2812579,1.3624678,1.3186648,1.1454604,0.9713591,1.3094943,1.1158026,1.352515,0.7611996,1.0013134,0.9778055,1.0344559,1.2884476,1.2646981,0.7534862,0.70921874,1.1407435,1.3100777,0.59611535,1.3122522,0.9596407,1.299464,0.6679634,1.0624609,0.5924542,0.75043404,0.98725605,1.273701,1.3735821,1.2641851,0.66266614,1.2510831,1.0185063,1.2470274,0.99604505,1.1571689,0.8821672,0.9776403,0.96351993,1.1481811,0.67282546,0.98145217,0.98344976,0.6746357,0.82335174,1.268616,1.1406815,0.8570281,0.9566821,1.1297126,1.0994394,0.67739344,0.55039656,1.3865291,1.2887689,1.2373296,1.3638142,1.0589207,1.2093854,0.8595553,1.0610876,1.2295883,0.74027646
bib,0.951674,1.0223042,1.0732245,0.7741765,0.9125062,1.0606908,0.9950812,1.1020875,0.7353158,0.74391556,1.0949749,0.86148095,0.0,1.1905283,0.733429,1.0857362,1.14281,1.2002174,1.1575925,1.2530973,0.8555845,1.2339256,1.1738652,1.0856239,0.7536728,1.105341,1.1598437,0.8929546,0.7537261,0.77158624,0.82723045,1.1060132,1.115844,1.1906152,1.083674,1.004682,1.0456343,1.0392064,1.0388016,0.8052106,1.0202732,1.0223938,0.95003724,1.0275108,1.1140965,1.1607777,1.1479874,0.8364407,1.0494686,1.1050092,0.82035196,0.9561803,1.1243696,1.1379269,1.0462037,1.0393182,0.92545605,0.70314825,1.1507883,1.0386543,0.782009,1.0188265,1.0459331,1.1140717,0.9491745,1.0516869,0.921391,0.7186178,1.0420475,1.2590603,1.222858,1.2174058,0.8589291,0.92838883,1.1138911,1.0320235,1.2640928,1.2634263,1.0033076,1.111154,1.0649617,1.1999415,0.66238534,0.88123274,1.1231732,0.8924538,0.7375215,0.9830503,1.1489112,1.05973,1.0143905,1.1594577,1.2270472,0.82250434,0.9758188,1.1120005,0.9255524,0.8136157,1.219333,0.9319213,1.1413652,1.0526699,1.2515094,1.1067473,0.9434507
bird,0.5662021,1.210191,1.0943651,1.0862846,1.047357,1.2499647,0.9233287,1.2406908,1.0630264,1.2470924,1.0775704,1.100566,1.1905283,0.0,1.2088029,0.7862212,1.094726,1.0140916,0.9703244,1.2136478,1.1364198,0.93791616,1.1055269,0.85386467,1.1041301,1.2517147,0.95458806,1.2697397,1.1952076,1.279043,0.7845533,1.0631647,1.108699,1.0147372,0.8416482,1.0473319,1.1504613,1.0888513,0.6554105,1.2523682,0.8239152,0.9162372,1.1947166,0.9843023,0.8461496,0.74940294,0.23406279,1.2147264,0.7175011,0.88253707,1.1912493,1.1082786,0.86820436,0.67122316,0.63456684,1.0925043,1.1820219,1.2458923,0.93337625,1.030843,1.1398754,1.2761146,0.98335075,0.70778847,1.2102909,0.7730825,1.2533123,1.2903095,0.9000877,0.7217787,0.8875295,0.744894,1.3128717,1.1521456,0.80070734,0.92084056,0.92440224,0.889871,0.9876052,0.27655852,0.9251376,0.7356509,1.3032997,1.1737964,0.880329,1.1444294,1.0861542,1.2809359,0.88784575,1.0475689,0.8553501,0.7337074,0.9323454,1.2484618,1.1623722,1.094567,1.273999,1.238845,0.88609374,1.1187643,0.926898,1.0105882,1.052927,1.1554915,1.1710414
blanket,0.8516687,1.1602083,1.2432089,0.5995691,1.0193474,1.1279864,1.3096962,1.2536981,0.814419,0.12782311,1.2694876,0.21822464,0.733429,1.2088029,0.0,0.9792088,1.3398478,1.3520021,1.1834023,1.2161112,1.0239908,1.288359,1.4606783,0.9027718,0.89508057,0.9562446,1.2487283,0.8559448,0.65974534,0.18223238,1.135999,1.3902214,0.7813252,1.4790548,0.7982335,0.86832356,0.8945447,1.121571,1.0939735,0.84335375,1.1979542,0.88835144,1.110323,1.3019356,1.300554,1.2082258,1.0317662,1.176607,1.0379975,1.3366067,0.70396644,0.842747,1.0384537,1.0673132,1.2254763,1.2880375,0.6654876,0.555271,1.2290838,1.3245034,0.57316375,1.181257,1.0668956,1.2704511,0.7341256,1.121689,0.5283882,0.64943916,1.0768095,1.4189932,1.4626341,1.3259692,0.62581474,1.1352257,1.2323297,1.2280695,1.1731019,1.3119597,0.91841716,1.1247604,0.91583943,1.2750703,0.5269711,0.9886244,1.0243968,0.66037023,0.8042135,1.2071311,1.2715645,0.90605927,0.95053965,1.1945971,1.1940416,0.5939743,0.66092765,1.4083343,1.1138686,1.0435766,1.4695063,1.1236409,1.3122153,0.84869266,1.1740701,1.2299926,0.7601192
boat,0.62065643,1.1241894,1.1333386,0.9311213,0.946454,1.1799941,1.1786785,1.1666193,0.8805332,0.94941056,1.0114139,0.9714545,1.0857362,0.7862212,0.9792088,0.0,1.0335921,1.1336526,0.9724178,1.0739442,1.143435,1.0674473,1.1543614,0.6687057,1.0251278,1.1427463,0.98895353,1.0346018,1.0182543,0.9270367,1.0695761,1.1609803,0.9865166,1.1932231,1.0575951,1.1447526,1.0044758,0.87036145,0.82289714,1.1461842,1.0197778,0.8101854,1.1940204,1.1852396,1.1728398,1.0260211,0.6369073,1.2166266,1.0288608,1.1462435,0.94039714,1.0285906,0.99016494,0.719404,0.81339926,1.0756712,0.9149014,0.9872065,0.89167047,1.1326575,1.035011,1.1258074,1.0941553,0.91393965,0.9235827,1.138121,0.9320002,1.0133529,0.9899199,1.0870969,1.1236274,0.99090827,1.1554673,1.1461526,1.1850559,1.0558252,1.1067709,1.0356476,0.99546677,1.0075116,0.7072367,0.88176256,1.0070938,1.2285271,0.9189007,1.0355377,0.88460344,1.2204111,1.1242659,1.0411952,0.95307344,1.0017643,1.0957236,0.9139643,0.68026793,1.1709338,1.2563932,1.1463392,1.0247575,1.2381346,1.1693852,0.91274446,1.1388111,1.0748523,0.9361346
book,1.1551754,0.72585404,0.76348484,1.0817847,0.94644636,0.85415465,0.8522321,0.72186685,1.0594518,1.2808179,0.6672104,1.2981355,1.14281,1.094726,1.3398478,1.0335921,0.0,0.8114107,0.7769585,0.7202343,1.0631368,0.8618325,0.6713829,1.0810344,1.1227306,1.052678,0.91578984,1.1988869,1.1830412,1.3042202,0.9728252,0.61069286,1.1388956,0.7660926,1.2392113,1.1136721,1.1288929,0.8916565,1.1541796,1.1692538,0.9382963,1.141445,0.9827375,0.7881219,0.8520239,0.96166277,1.1554618,0.9759812,0.99823576,0.94593567,1.331895,1.0534071,0.7673234,1.0394468,0.96290296,0.9081961,1.1465963,1.2478694,0.8592256,0.7919984,1.212346,0.77531195,0.7484398,0.9681835,1.1710365,1.0556353,1.166671,1.2049751,0.31655383,0.59708273,0.5363287,0.9094915,1.0388093,0.9768828,1.0848155,0.9113954,1.0393398,0.8442979,1.0535991,1.1677313,1.1357688,0.9806244,1.317995,1.0018722,1.0363859,1.2438735,1.0689311,0.74356097,1.0512186,0.9862274,1.0847719,0.98055035,1.0127425,1.3172361,1.0586896,0.5642687,0.89300084,0.99102426,0.6629342,0.6406883,0.97347146,1.0230744,0.99198985,0.7179464,1.1725084
bottle,1.2979829,0.909245,0.382084,1.3728956,0.9423984,0.75865036,0.76115704,0.7630739,1.2321854,1.3663398,0.47247875,1.3230184,1.2002174,1.0140916,1.3520021,1.1336526,0.8114107,0.0,0.8259194,0.85034716,1.1531224,0.6358535,0.5341531,1.1526496,1.1732442,1.055878,0.9226293,1.1695266,1.2879593,1.3815484,1.1087124,0.50320286,1.2042525,0.46266878,1.2131399,0.96292716,1.2747817,1.1644797,0.9102482,1.1882851,0.9286347,1.2109821,0.95475155,0.751242,0.6365369,1.1534051,1.1482645,0.8650781,0.9777295,0.5694569,1.3029258,1.2454731,0.8628613,1.1286602,0.9467588,0.9247273,1.2556245,1.3030183,1.1038524,0.82443756,1.2758067,0.4856941,0.99692035,0.79114443,1.2897167,1.00434,1.2785211,1.320214,1.1770397,0.76120204,0.6510241,0.43568945,1.2211945,0.9468373,0.87427354,0.83532315,0.85470545,0.72315544,1.2608753,1.0327991,1.1910009,0.9820417,1.3497678,0.9132971,1.1934189,1.253989,1.2341049,0.6611579,0.55745125,0.9953477,1.1773171,1.1188673,0.6908495,1.3021286,1.3207245,0.5151237,0.76376027,0.9940561,0.5604677,0.93621254,0.5704681,1.2203366,0.6732885,0.45726347,1.3257253
bowl,1.1075008,0.87778187,0.8166002,1.1871197,0.96236145,0.8752645,0.8180678,0.82993114,0.98412323,1.2390987,0.7490802,1.2145514,1.1575925,0.9703244,1.1834023,0.9724178,0.7769585,0.8259194,0.0,0.89551014,1.059263,0.44100642,0.91814107,1.0595735,1.1507144,1.1388001,0.9914829,1.2142792,1.0562637,1.2729353,1.1013949,0.7606406,1.1572807,0.85197055,1.072837,1.127452,1.2435478,1.1502851,1.0263555,1.1972029,0.9848415,1.1493238,1.072124,0.84463567,0.78784937,0.5744773,1.0789664,1.0627506,1.0763439,0.9296437,1.2428088,1.1460052,0.94974947,1.0779475,0.9953964,1.1420143,1.1871663,1.2356567,0.50972664,1.0319631,1.271574,0.8786574,1.059452,0.94367766,1.1991127,1.0208838,1.1139642,1.231635,1.008006,0.9146583,0.83937615,0.87174416,1.127104,0.7258131,1.0858438,0.7652855,1.0697591,0.95139664,1.1006441,0.9883324,1.1023773,1.1755992,1.3184783,0.9611255,0.3597206,1.2430364,1.0408449,0.8886133,1.1421281,1.1374682,0.32174456,0.46281236,1.0565455,1.290915,1.139407,0.760039,0.99223065,0.93045497,0.8584932,1.0007206,0.9824785,0.54228187,1.1417097,0.8082217,1.2142715
box,1.318145,0.62996435,1.0607352,1.1879665,0.9425973,0.68334603,0.979432,0.41683376,1.2367876,1.1400611,1.013242,1.1188011,1.2530973,1.2136478,1.2161112,1.0739442,0.7202343,0.85034716,0.89551014,0.0,0.9958929,0.6073541,0.7346425,0.97423184,1.0051917,0.6238806,0.8930907,0.8888821,0.9991963,1.0938327,1.1058275,0.9576495,0.7438632,0.66788626,0.97771364,1.13501,0.88404727,0.872767,1.0961305,1.092336,1.0504159,1.2377636,1.0226657,0.88442594,1.0177767,1.1059983,1.2856742,1.074952,1.2242409,0.92139024,1.2816778,1.1869788,0.8755582,1.10826,1.0504848,0.8529933,1.1358172,1.0491326,0.89343464,0.8633781,1.2265053,1.0288676,0.6991545,1.0172462,0.898339,1.1068845,1.1638165,0.9859837,0.9191249,1.1017524,1.0022207,1.1243147,0.64199674,0.9187598,1.0742712,0.9097188,0.5690606,0.725147,0.94133323,1.0700208,1.2181244,1.067114,1.2665646,0.95357597,1.0942878,1.0787761,1.2539685,0.68099326,0.84847105,0.9446222,1.1572615,1.0975602,0.89118975,1.2252883,0.973096,0.8401505,0.9857885,0.9949811,0.93688613,0.61241627,0.6300836,1.0139716,0.68958724,1.019901,1.0207134
bread,1.019487,1.0527664,1.0828896,0.87380403,1.0183008,0.9001084,1.0187591,0.9321515,1.1714559,1.0589203,1.1202475,1.0966591,0.8555845,1.1364198,1.0239908,1.143435,1.0631368,1.1531224,1.059263,0.9958929,0.0,1.093256,1.1174495,0.9916797,0.9189312,1.0369031,1.1792483,0.9845078,0.90595686,1.0295391,0.9782768,1.0546644,0.9448425,1.1554798,0.9581931,0.7958289,1.1075197,1.1686552,1.0728747,0.6261872,1.0512505,1.1084666,0.57124317,1.0366387,1.1500778,0.9351137,1.1092199,0.75277317,0.762475,1.081844,0.78844696,0.5153553,1.0914052,1.1271586,0.87830675,1.1057642,1.0744923,0.8902032,0.85289663,1.0704849,0.8484502,0.9498327,1.0205244,1.0765388,1.18009,0.95065427,1.0719515,0.8411068,1.0890859,1.0786159,1.0774351,1.1916975,0.8010979,0.9214994,1.0929095,1.0894051,1.0458262,1.1299744,1.0873564,1.1109829,1.0732831,0.92967266,0.8266402,0.72167563,0.96608365,1.1040701,1.1429377,0.9374123,1.2185615,0.84906995,1.0264559,0.88396174,1.0310328,0.95665956,1.1522741,1.0702333,0.5847494,0.7436962,1.1496515,0.93091035,1.0651597,1.0929685,1.1299859,1.0833198,1.0700477
bucket,1.1100118,0.85629153,0.898439,1.2383624,0.8732583,0.7723843,0.74230814,0.6403302,1.1755824,1.321927,0.75914454,1.2828984,1.2339256,0.93791616,1.288359,1.0674473,0.8618325,0.6358535,0.44100642,0.6073541,1.093256,0.0,0.8252584,1.0693656,1.182883,0.97918284,0.86134493,1.1034636,1.1831307,1.3650441,1.0731936,0.73081166,1.0863607,0.6833812,1.1784652,1.0787525,1.2241495,1.1804224,0.82755387,1.2249427,0.8031941,1.181009,1.0027363,0.7544611,0.67446524,0.7501992,1.0609,1.1348383,0.9168029,0.66240025,1.4075365,1.2543638,0.92155844,1.0935621,0.87155724,1.0765334,1.257303,1.2075608,0.6878052,1.0024227,1.38465,0.9703427,0.95391476,0.7030827,1.202317,0.93016195,1.2260101,1.2294682,1.0974139,0.95393944,0.89662707,0.79434764,1.0872655,0.7012252,1.0192155,0.70604104,0.8477379,0.82552665,1.096488,1.0244132,1.2227728,1.1070051,1.4385773,1.0830603,0.70464325,1.2735265,1.2300092,0.9061927,0.8412298,1.083354,0.7335788,0.6755101,0.8544727,1.3544159,1.2630278,0.7712911,1.0423455,0.97063947,0.83166707,0.86980134,0.5123968,0.76923877,0.9184919,0.9373914,1.2790904
can,1.3060635,0.7314144,0.64141595,1.3308285,1.083698,0.80144256,0.75385296,0.7294092,1.1766533,1.461781,0.6755388,1.3722081,1.1738652,1.1055269,1.4606783,1.1543614,0.6713829,0.5341531,0.91814107,0.7346425,1.1174495,0.8252584,0.0,1.2266154,0.9174459,0.76927423,0.8368546,1.1666453,1.1849664,1.3776596,0.96557987,0.54748124,1.1312892,0.47209877,1.1330645,1.151237,1.0093645,0.8842495,0.98181266,1.2386777,0.9849115,1.2275729,0.8933743,0.6573286,0.64363587,1.0139836,1.2243934,0.9019339,1.0809038,0.8560134,1.3777571,1.296326,0.98066473,1.1181043,0.9349966,0.5600039,1.332344,1.257624,0.95412624,0.43029654,1.3837396,0.7630842,0.8221803,0.90899265,1.0920353,1.0384539,1.4200324,1.17305,0.9558476,0.5514753,0.37503213,0.60934126,1.0229006,0.97877836,0.8919958,0.893672,0.82947654,0.7212254,1.1970099,1.111705,1.1815307,0.9787833,1.3661141,0.9516591,1.1955287,1.2732698,1.2148944,0.59543604,0.7167101,1.0910954,1.2116514,1.0918728,0.831074,1.355417,1.224151,0.4877422,0.83807236,1.0910456,0.3349442,0.5578007,0.8004419,1.3357668,0.7799878,0.66560405,1.1350474
car,0.71112627,1.1025026,1.304688,0.9207124,0.90749073,1.1926134,1.1744556,1.1418761,0.9319281,0.8775687,1.1980891,0.87385345,1.0856239,0.85386467,0.9027718,0.6687057,1.0810344,1.1526496,1.0595735,0.97423184,0.9916797,1.0693656,1.2266154,0.0,1.047964,1.0349655,1.0581079,0.9417961,0.9935033,0.93957925,1.0654669,1.211763,0.7606512,1.226989,0.89535296,1.0138563,0.9361081,0.99571055,0.963416,0.9784886,1.0527606,0.83015996,1.1578114,1.2708402,1.2258433,1.0191838,0.7344929,1.2159083,0.9390039,1.0843364,0.98187023,0.982129,0.9503684,0.79923767,0.857424,1.1460274,1.0128043,0.9290391,0.8560521,1.2285633,0.8772528,1.2519894,0.94200665,1.0751674,0.91155833,1.115962,0.9778316,0.94559056,0.92659765,1.0764056,1.1699708,1.1612531,0.99809444,1.1505775,1.1329088,1.1215475,0.98949116,1.1136743,0.7996956,0.9036336,0.8559316,0.90669656,1.0520838,1.1683409,0.8732152,0.94247025,0.9382244,1.284513,1.0925158,0.9773387,0.98607886,0.9087852,1.0560232,0.9935374,0.79084545,1.1748341,1.2587693,1.0421442,1.2076583,1.1033999,0.98699456,0.8528322,1.0285008,1.2038395,0.97426665
cat,0.9841033,0.9407215,1.0270913,0.9733188,0.95251226,1.0418583,1.1117654,1.0543085,1.0072968,0.8688108,1.032461,0.8527027,0.7536728,1.1041301,0.89508057,1.0251278,1.1227306,1.1732442,1.1507144,1.0051917,0.9189312,1.182883,0.9174459,1.047964,0.0,0.9650639,1.1552516,0.8457024,0.7665744,0.83019745,0.7050614,1.1210223,1.0111146,1.0425702,0.58836424,1.117204,0.89930135,1.0043175,1.0402277,0.98176914,1.0470291,1.0105568,1.0966436,0.9817366,1.1063561,1.2059295,1.1079997,0.9773022,1.1612635,1.1289583,0.9304077,1.1151239,1.187086,1.1172572,0.9210835,0.78210497,1.0273116,0.79054093,1.0623789,0.7807484,1.0070198,1.1147448,1.1118459,1.0031776,0.8995342,0.998639,1.0312513,0.7636942,1.1415312,1.1442094,1.0857356,0.99677676,0.65680027,1.0417893,0.79153985,1.1428206,0.7988687,1.0915068,1.0875741,1.0679264,1.0442647,1.1826515,0.77711654,0.75494474,1.2143093,1.0359805,1.0535015,0.7587999,0.974359,1.2442391,1.1477973,1.2172377,1.1396605,0.7980611,0.92417943,1.0905322,1.0293579,1.1324055,1.0127015,0.92914146,1.1372108,1.1950274,1.161755,1.0351504,0.772381
chair,1.3256615,0.96519595,1.1043606,1.1124612,1.2783794,1.0052793,1.0346929,0.8408495,1.0583136,0.84450907,1.1968486,0.81193644,1.105341,1.2517147,0.9562446,1.1427463,1.052678,1.055878,1.1388001,0.6238806,1.0369031,0.97918284,0.76927423,1.0349655,0.9650639,0.0,0.95708513,0.68016213,0.9337876,0.7829173,1.0850472,1.1007177,0.5211141,0.8259703,0.85030955,1.0728843,0.59789884,0.92977035,1.0442029,1.1311564,1.1959834,1.1480739,1.1163044,1.146937,1.0956243,1.0432658,1.2753675,1.1495535,1.2672216,1.2278275,1.025564,1.2295817,1.0847234,1.1196936,1.1626756,0.7554735,0.8889967,0.95439285,1.0108104,0.78782296,1.0289373,1.1911759,0.871117,1.2011975,0.6787859,1.1281847,0.9716339,0.8023904,1.0206217,1.1020956,1.0891551,1.0624406,0.78298515,1.0357509,1.048785,1.1199493,0.8090172,1.0186394,0.7927525,1.0395869,1.1669252,1.0739001,0.9727439,1.0002133,1.0313672,0.84393775,1.1060073,0.9812782,0.870141,0.9845334,1.1473345,1.0388213,0.9335267,0.9041107,0.5649302,0.9940442,1.1825285,1.0698366,0.9545193,0.79295945,0.9043291,1.0729433,0.7756268,1.083082,0.7180289
clock,1.1307995,0.9942948,1.0279015,1.1150508,0.98657197,0.868618,0.91329426,0.9828997,1.17552,1.2339987,1.0327466,1.1520916,1.1598437,0.95458806,1.2487283,0.98895353,0.91578984,0.9226293,0.9914829,0.8930907,1.1792483,0.86134493,0.8368546,1.0581079,1.1552516,0.95708513,0.0,1.039114,1.1351502,1.2107427,1.0034391,0.95330197,1.0388309,0.8354506,1.13651,1.078452,0.92319363,0.89450985,0.9012006,1.1654615,0.8532378,1.0254111,1.0977141,0.95245886,0.8750957,0.9093675,0.9820296,1.1308119,1.1035904,0.85904485,1.2223742,1.180794,1.0759852,0.87899506,0.9852468,0.8545264,1.0984693,1.1421316,0.92420936,0.9512364,1.1981442,1.0971552,1.0470104,0.8447731,1.008118,0.8978909,1.1650543,1.1654018,0.9729241,0.8769512,0.8660633,0.95844424,1.1563175,0.8873717,0.99146444,0.8193822,0.96629953,0.72273254,0.9242429,0.9339118,1.0520219,0.91420615,1.2623405,1.2068465,0.9713824,1.0968314,1.1654394,1.0892967,0.9147124,1.0318587,0.9693776,0.94511914,0.97064304,1.1731585,1.04319,0.93107235,1.1518188,1.0778652,0.87386125,0.98854506,0.7540891,0.9228598,0.7719089,1.0276927,1.0933414
closet,1.1065114,1.0208452,1.2000523,0.9380157,1.0920295,1.1274589,1.1619799,0.99683905,0.96700406,0.7366438,1.1325287,0.86050344,0.8929546,1.2697397,0.8559448,1.0346018,1.1988869,1.1695266,1.2142792,0.8888821,0.9845078,1.1034636,1.1666453,0.9417961,0.8457024,0.68016213,1.039114,0.0,0.7458185,0.6941056,1.0323064,1.2404172,0.75326204,1.0968678,0.9505168,1.032833,0.5929662,0.91928035,1.1446406,0.91380155,1.1454166,0.97032195,1.1939528,1.2484201,1.2221363,1.2173856,1.2552822,1.052334,1.2810562,1.267193,0.71487916,1.0918407,1.199632,1.0846756,1.1340835,0.88530195,0.8049597,0.7480419,1.0691512,1.0140989,0.8134365,1.1106929,1.1636178,1.2608287,0.58170044,1.1700249,0.7550316,0.69949615,1.1460035,1.3537977,1.3259915,1.2015827,0.8669229,1.0080892,1.1659305,1.1386182,1.087772,1.2285421,0.57894313,1.1616218,1.0644115,1.2515128,0.64981574,1.0086662,1.0710471,0.5986391,0.9642033,1.111252,1.1000975,1.0493091,1.1763114,1.213701,1.1330787,0.66395193,0.68699753,1.2156235,1.201782,0.90443027,1.201374,1.1468204,1.0812794,0.9738823,0.9177041,1.1326375,0.6613012
comb,1.0149202,0.9276545,1.2162541,0.78215015,0.9513696,1.0158006,1.1681287,1.0059273,0.8618922,0.69982463,1.1869987,0.7576818,0.7537261,1.1952076,0.65974534,1.0182543,1.1830412,1.2879593,1.0562637,0.9991963,0.90595686,1.1831307,1.1849664,0.9935033,0.7665744,0.9337876,1.1351502,0.7458185,0.0,0.6870379,0.9825035,1.215804,0.98516136,1.2067401,0.8824926,0.89437443,0.8616431,1.0689465,1.272955,0.864004,1.1847805,1.0228728,1.0859046,1.1841966,1.2536995,1.0101283,1.1658298,1.0394495,1.1968534,1.2067809,0.740104,0.9357664,1.1787555,1.1828173,1.135214,1.0444386,0.9284768,0.6095054,0.985779,1.0358222,0.6865562,1.1153377,1.1757318,1.2708918,0.8394555,1.0299067,0.8935017,0.8176909,1.1047052,1.31216,1.2745287,1.3058431,0.8226036,0.9991339,1.1853544,1.027083,1.0314223,1.1423706,1.0214214,1.0298576,1.0444926,1.2040738,0.68537486,0.82083917,0.9827131,0.8651617,0.8600281,1.0635269,1.1811515,0.97166604,0.9466452,1.1201942,1.0310419,0.8162535,0.79582477,1.1943278,1.0695384,0.94231343,1.3058826,1.1539001,1.183511,0.9143792,1.1194357,1.1711234,0.738142
couch,0.88432217,1.1372728,1.2921748,0.61121666,1.0365174,1.169323,1.3505954,1.2036779,0.7402226,0.118284464,1.3064699,0.21672297,0.77158624,1.279043,0.18223238,0.9270367,1.3042202,1.3815484,1.2729353,1.0938327,1.0295391,1.3650441,1.3776596,0.93957925,0.83019745,0.7829173,1.2107427,0.6941056,0.6870379,0.0,1.1434165,1.4213706,0.7528366,1.4536707,0.750177,0.96415675,0.7648115,1.0102615,1.2187822,0.87943184,1.235947,0.87690246,1.1699176,1.323608,1.3826411,1.3319186,1.1006025,1.2019585,1.1869487,1.414597,0.6259815,0.92070967,1.085208,1.1049825,1.2956762,1.1854887,0.59631187,0.50362426,1.249072,1.3200538,0.5702146,1.1861172,1.0744302,1.3419719,0.61402404,1.2331055,0.4548238,0.58482325,1.0848775,1.4341636,1.4540814,1.3992163,0.6334842,1.1455137,1.222587,1.265066,1.1601466,1.3044474,0.8632555,1.1696941,0.8997104,1.273179,0.44009787,0.9999529,1.1276045,0.55294263,0.72512394,1.1946821,1.2362933,0.9133467,1.0861462,1.33652,1.2587805,0.4919448,0.46560156,1.422657,1.1633275,1.0650938,1.4358022,1.1493992,1.3306541,0.9033516,1.1165121,1.2379985,0.6308861
cracker,0.9462025,0.9631982,0.99021953,1.0443616,1.0541711,1.0761005,0.86560154,0.9718975,1.0634947,1.1471243,1.0042864,1.1504769,0.82723045,0.7845533,1.135999,1.0695761,0.9728252,1.1087124,1.1013949,1.1058275,0.9782768,1.0731936,0.96557987,1.0654669,0.7050614,1.0850472,1.0034391,1.0323064,0.9825035,1.1434165,0.0,0.9400121,1.0392873,0.8486882,0.9864051,0.9963971,1.1236115,1.0446974,0.94120836,1.0185705,0.911319,1.0625222,1.1012706,0.831684,0.87106913,0.9259646,0.9012578,0.95404565,0.9366308,0.95609254,1.0802108,1.1520771,1.1656806,0.98099566,0.7292255,0.86825526,1.1928152,0.96518326,1.0194999,0.7504859,1.1049691,1.1754769,1.1241586,0.8147751,1.1180042,0.8314245,1.2460799,1.0615901,0.9600958,0.9053861,0.872219,0.9035395,0.934763,0.858456,0.90716916,1.016874,1.0594417,1.0412891,1.0633137,0.79162395,1.0859575,1.029993,1.0873533,0.88367486,1.0784448,1.12921,1.083555,0.9153466,0.9944709,1.1929201,0.99188066,0.9529253,1.1030219,1.1007898,1.1920688,0.9253193,1.0699743,0.9536297,0.9880932,0.9575522,1.0044328,1.140737,1.0534371,1.0589733,1.0209218
