,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mop,motorcycle,mouth,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slipper,snow,sock,spoon,sprinkler,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
belt,1.4251173,1.0845392,0.50365883,1.2415807,1.1500155,0.3709216,0.8248565,0.84611905,1.2018201,1.3192637,0.0,1.3120338,1.3870885,1.0406951,1.2716931,0.53236777,0.8421646,0.52865565,0.7378889,1.0054941,0.69239336,1.1001499,0.9460933,0.69199985,0.5433421,0.6361566,0.9916401,0.9916108,0.47840613,1.1937299,1.2678182,1.0718061,1.0449235,1.274914,1.1791383,0.29905033,1.359799,0.62604666,1.2014941,1.3245639,0.9111015,1.0501149,1.3939698,0.36749244,0.7196351,0.9142544,1.1962233,0.89957416,0.34225428,1.3183416,0.97716033,1.356021,1.1400973,1.086818,0.578698,1.1673725,1.1152862,1.122855,1.2405374,0.90554607,1.2674167,0.654229,1.171087,1.2751787,1.3184156,0.9533685,1.4004946,1.1583494,1.407249,0.6196191,0.9174868,1.0982169,1.28529,1.2837373,1.0895191,1.035643,0.96040064,0.48242176,0.6721747,0.58104616,0.74495417,1.0943722,1.1348518,1.410938,1.3262763,1.0283072,0.39455736,0.6776695,1.041152,0.37816167,0.8751976,1.0032669,1.1060821,1.1727638,0.9695006,0.9339564,1.2851055,1.1599892,1.1541032,1.301777,1.0636989,1.253432,1.2745053,1.1627582,1.2144759,1.1600722,0.42148226,0.31186163,0.8777906,0.873731,1.2135475,1.0910732,1.3311619,1.4083898,0.82415247,0.7564601,0.8739199,0.59990793,1.0877949,1.0401224,1.0907999,0.91385555,0.7854077,0.72117627,1.115095
bench,0.52468824,1.1772738,1.4169719,0.63551426,1.1363963,1.427883,1.3748643,1.2102584,0.69788194,0.2577455,1.3120338,0.0,0.6536289,1.2588246,0.22129297,1.1664765,1.252826,1.5176473,1.3777272,0.7368649,1.3460896,1.0595362,1.2070147,1.3641844,1.3308568,1.0708826,0.7746551,0.8913696,1.5831647,0.70062643,0.59586096,1.3020725,0.77252793,0.20423722,0.78975165,1.5973964,0.489686,1.5011075,0.90205497,0.7554276,1.0179235,1.0310272,0.6906595,1.0886575,1.2603805,0.9590326,0.92884606,1.1189635,1.4067478,0.9384585,1.0746932,0.90901095,1.2752105,0.9392987,1.3009441,0.9855072,0.7221069,1.1391559,0.7460568,1.2145388,0.8431771,1.4271238,0.7048353,0.7281034,0.47475654,1.3747574,0.42006457,1.0372032,0.3951565,1.4018687,0.972398,0.9916473,0.8131927,0.7332535,1.0881901,0.98505354,1.0996605,1.3410956,1.2847934,1.255153,1.314463,0.7599534,0.8915962,0.44293725,0.41825223,1.1146603,1.5345865,1.5105441,0.43057442,1.2654555,1.2333567,1.2124298,1.284918,1.0212497,1.1549424,1.243235,0.7554591,0.8161564,1.2169211,0.6459979,1.1724048,0.58084464,0.7981503,0.83955026,1.0564284,0.9437201,1.3265741,1.4359219,1.0034261,1.1717604,1.2249794,1.1209266,0.5331133,0.4339471,1.4886842,1.394778,1.2296097,1.4479136,1.2131968,0.7345116,0.7109417,0.8941645,1.3480401,1.4904895,0.71963453
bib,0.64041173,1.0525388,1.3464254,0.7474112,0.997685,1.3735371,1.3166653,1.25705,0.90143037,0.6112144,1.3870885,0.6536289,0.0,1.111793,0.63052505,1.1885039,1.2474642,1.4272873,1.2795097,0.9340002,1.3416774,1.0985014,1.1116478,1.2463369,1.4323878,1.2373908,0.94776493,1.2989352,1.4630332,0.9832307,0.8089769,1.1724274,0.8005806,0.6262517,0.87407374,1.4663957,0.6881473,1.4143066,0.9158108,0.6290736,1.1292048,1.1042137,0.57449,1.200712,1.2426159,1.0147163,0.79874516,1.025494,1.3183496,0.6341515,1.0274482,0.7353738,1.0295126,0.94177115,1.1693536,0.8239013,0.9514422,0.90585935,0.6896484,1.0993083,0.68678004,1.1480834,0.9003067,0.7979498,0.7487844,1.2487218,0.5864798,0.836838,0.7896235,1.3260401,1.158725,0.9721486,0.7495168,0.4871295,1.1141055,1.0333146,0.96494085,1.3181593,1.0960648,1.2077352,1.2620237,0.97795695,0.70325905,0.32206154,0.7418827,1.0781118,1.418338,1.3324578,0.7456707,1.2873716,1.0664331,1.0281334,1.1207694,0.8888815,1.0903364,1.1807221,0.9095704,0.9049536,1.0403383,0.68164563,1.1551697,0.5069853,0.65211105,0.57458854,1.0088598,1.0484858,1.3966248,1.4365072,1.1512905,1.0881597,0.9580294,1.0445698,0.5528655,0.7805196,1.2316815,1.1972183,1.0675658,1.3797051,1.012708,0.90779966,0.9091613,1.0589751,1.3806355,1.2447128,0.9461162
bird,1.0349156,1.0600921,1.0111684,1.3638334,0.83140296,1.002041,0.75816435,0.9911194,1.2309211,1.2786922,1.0406951,1.2588246,1.111793,0.0,1.2305806,1.0018991,0.87485933,0.94831955,0.92293215,1.0132511,0.8538482,1.0943005,0.94055676,0.90727985,1.0078351,1.0061725,1.1595446,0.9664242,0.82542,1.158539,1.1651864,0.92782784,1.2336271,1.2577528,1.0071423,0.9874817,1.164362,0.85426474,0.70553076,0.98596936,1.0797273,0.9683956,1.1073385,0.9879315,0.979849,1.0570797,1.0565717,1.1469059,0.9754892,0.9271997,0.9016764,1.0615543,0.20800227,1.1457818,1.0278298,1.0221316,1.152971,0.9776152,1.1888294,0.8381113,1.2066563,0.9825005,1.1371108,1.0866045,1.103887,0.8424541,1.1664231,1.0984591,1.0755789,0.91657853,0.9387071,1.1469221,0.9286888,1.0102416,1.0805491,0.9134865,1.0956498,1.0120609,1.0083288,1.0670508,0.87906706,1.1361918,0.8219042,1.2692305,1.1084433,0.94170624,0.91287297,0.9312821,1.1302708,0.8703874,0.8435968,0.9484173,0.6269493,0.74699473,0.8903472,0.9176875,0.95668936,1.1578324,0.116683304,1.1541394,0.8754372,1.2620357,1.0665048,0.9086324,1.0389459,0.9884957,1.0067812,1.01847,1.0325361,0.94887215,0.7857313,1.0137613,1.2451999,1.1805497,0.8208222,1.0461899,1.0784453,0.8871638,0.7773236,1.047199,1.2108905,1.0379313,0.93555194,0.7910676,1.2740092
blanket,0.52148634,1.1881828,1.3703833,0.7139228,1.1044239,1.3330003,1.433038,1.2306579,0.74196744,0.2306211,1.2716931,0.22129297,0.63052505,1.2305806,0.0,1.1242216,1.2878269,1.4506998,1.3672369,0.9303529,1.3128785,1.0143412,1.2772287,1.3937138,1.3577738,1.2073464,0.5625658,1.100941,1.5266539,0.7691556,0.6685628,1.257486,0.7768374,0.21114987,0.89658797,1.5430356,0.6284617,1.5411873,0.8769269,0.76832247,1.0064161,1.1158519,0.62972546,1.0275011,1.3296087,0.8043414,0.9394669,1.1953355,1.3587149,0.96047276,1.0536537,0.94683003,1.2909188,0.9389903,1.2274129,0.967919,0.74915403,1.1335397,0.6417531,1.1799856,0.87790376,1.2697852,0.55913305,0.8162133,0.37707907,1.345565,0.41224545,1.0532864,0.60724235,1.3522992,1.1003582,0.8307332,0.88021815,0.6908405,1.0344237,1.0113244,1.1374812,1.2783856,1.1518433,1.2662259,1.3512311,0.8533437,0.9371444,0.45990682,0.5058957,1.0919335,1.5035107,1.4556179,0.2861582,1.2680405,1.2368808,1.2250768,1.2215545,0.9739816,0.99987495,1.2553201,0.92951447,0.6812565,1.1710525,0.7159194,1.1830659,0.48852605,0.8126014,0.87226546,1.0104847,0.97726154,1.4052672,1.3924406,1.0400462,1.1849669,1.1993839,1.0615747,0.45362353,0.6484592,1.4514679,1.3936493,1.2579118,1.3716214,1.2107939,0.893986,0.70803046,1.010419,1.377634,1.4474494,0.71478426
boat,1.1815393,1.12707,0.74608356,1.1106639,1.05118,0.6826286,0.9979095,1.0143983,1.0168248,1.1306647,0.53236777,1.1664765,1.1885039,1.0018991,1.1242216,0.0,0.86008567,0.74354255,0.8043359,1.0146977,0.9538405,1.0517972,0.8918387,0.8474636,0.88761663,0.76438165,1.0269694,1.1039373,0.76473415,1.1395313,1.0668472,0.9944485,0.9848866,1.1175356,1.1125785,0.7272808,1.1493566,0.8495526,1.1013608,1.1040244,0.9772687,1.0756496,1.2204039,0.787083,0.95814246,0.9953552,1.0474765,1.1133337,0.58433384,1.0453341,1.1271505,1.1271538,1.0312363,0.80450416,0.95361996,1.1353817,1.0154669,0.9871673,1.0759865,0.93457603,1.1692561,0.8191728,1.1169289,1.1691489,1.1832616,0.9766228,1.1574239,1.0086066,1.1853925,0.83933485,1.1300997,1.0346252,1.244068,1.1010895,1.0547988,0.96981376,1.0682223,0.8376364,1.034041,0.96550256,1.0135483,1.04746,1.083323,1.2186918,1.1453599,0.9554627,0.83929896,0.9435117,1.0827055,0.70569247,0.85261476,0.8955852,1.0620849,1.2894337,1.1269642,1.0288169,1.1438818,0.9681436,1.0400571,1.1443412,1.1280053,1.1891739,1.1780691,1.1181916,1.0690513,0.9431336,0.61033195,0.7200644,0.6481973,1.0212264,1.0375823,0.8104982,1.2016118,1.1620739,0.9435176,1.0548005,0.9718759,0.8990946,1.0654465,1.1059059,1.0042479,0.817166,0.95155644,0.9888739,1.0134617
book,1.340605,1.0115979,0.741063,1.2596759,0.98438203,0.76303804,0.79781467,0.67114264,1.1253359,1.2941365,0.8421646,1.252826,1.2474642,0.87485933,1.2878269,0.86008567,0.0,0.723528,0.5206276,0.8221926,0.95939505,0.93310016,0.7141515,0.87996286,0.78413427,0.85014594,1.3822205,0.81447005,0.7301233,1.1753097,1.263009,0.7414003,1.1029615,1.3324339,0.7992114,0.74353105,1.0918981,0.66384995,1.101572,1.0788904,0.9229375,0.74361545,1.2510567,1.0373806,0.943351,1.2968296,1.1639619,1.130678,0.8304609,1.0548941,1.0702175,1.0057129,0.8778074,1.0285835,1.0954008,1.0097133,1.2451663,0.7889227,1.352864,0.8357174,1.258508,0.7977496,1.4339199,1.0973582,1.2761469,0.80143285,1.3662379,0.95071,1.2071714,0.74531835,1.0274963,1.2435265,1.1503358,1.2768801,0.9204558,1.0665147,1.103691,0.6101785,1.080746,1.121149,0.92026323,0.9839772,1.2901474,1.3866113,1.4232048,0.29440427,0.7055472,0.73736334,1.0719594,0.8428465,0.9727294,0.58748376,0.9155818,1.0113649,0.9098636,0.56163216,0.9576873,1.0923547,0.92676014,1.2910535,0.8586902,1.4133339,1.0786786,1.1814406,0.8911667,1.017162,0.587925,0.7636804,1.0341151,1.0303369,0.8444312,0.9167229,1.3911064,1.1134369,0.6370794,0.995816,0.8411038,0.6964072,0.74751794,0.7560066,1.2530982,0.9861713,0.8575074,0.8005222,1.1159102
bottle,1.5190978,0.98542774,0.36263114,1.3571401,0.92489564,0.29576373,0.7268057,0.627219,1.3124466,1.4835396,0.52865565,1.5176473,1.4272873,0.94831955,1.4506998,0.74354255,0.723528,0.0,0.5475277,1.0724775,0.8281011,0.963852,0.6752707,0.6810776,0.4024123,0.8555724,1.1911039,0.7384747,0.34836054,1.1609465,1.3670185,0.7476274,1.2955682,1.4830557,1.1067184,0.31969213,1.3581911,0.24707478,0.9864965,1.211741,0.8950543,1.0625459,1.2641747,0.8959447,0.79903114,1.1941072,1.1663514,1.1111667,0.49610233,1.210652,1.093683,1.2777891,1.0179124,1.1637131,0.8837687,1.0406878,1.2155873,0.9782913,1.366754,0.940896,1.4266272,0.41308033,1.292877,1.3111367,1.2912966,0.49061924,1.5515394,1.0711813,1.3431523,0.62666947,0.97007453,1.1809359,1.289405,1.417041,0.94178045,1.0421591,1.1808822,0.4199872,0.91281974,0.8116514,0.7398616,1.146846,1.2766998,1.483968,1.4471896,0.9021415,0.53071886,0.70507133,1.2742665,0.8233585,0.8506447,0.83226347,0.7529167,0.9487322,0.6726166,0.6916765,1.2290908,1.2618098,0.94347465,1.3087099,0.8561396,1.4576614,1.2187252,1.2546172,1.003558,0.94051695,0.507226,0.34268415,1.1011386,0.9876307,0.9606186,1.0075749,1.4633033,1.3598287,0.54743797,0.73632264,0.8521937,0.35488403,0.75547075,1.125108,1.2690616,1.1252722,0.3271501,0.70249164,1.2002242
bowl,1.4568505,1.0690323,0.6651311,1.367433,0.7279629,0.5917573,0.7030072,0.5956281,1.0824912,1.34769,0.7378889,1.3777272,1.2795097,0.92293215,1.3672369,0.8043359,0.5206276,0.5475277,0.0,0.9584213,0.95007896,0.975865,0.3407718,0.8601149,0.70907944,0.8968298,1.3052801,0.9199285,0.64383495,1.1234279,1.3791353,0.5218807,1.1892447,1.4054608,1.0778129,0.67587525,1.1480857,0.5019604,1.0594742,1.0636531,0.9340236,0.8639807,1.2698115,0.9133526,0.9156509,1.2330847,1.1564921,1.2303236,0.8045906,1.0201308,1.1464055,0.79963577,0.88409877,1.0677303,1.0947813,1.0951527,1.2589695,0.62531596,1.3691353,0.8791627,1.3546175,0.6909166,1.4407312,1.1973112,1.345352,0.556325,1.4787774,0.7718965,1.2600163,0.76426065,1.1371841,1.2156749,1.178369,1.2967132,0.9620781,1.044585,1.1893381,0.6948447,1.0955844,1.0251492,0.89624715,1.1151316,1.2341844,1.4227296,1.5123208,0.73526543,0.7048847,0.792783,1.2232351,0.78186786,1.0106356,0.29700994,0.95023525,0.9706098,0.93046623,0.65785,1.1879051,1.1709924,0.9188046,1.4000125,0.74653125,1.435554,1.069007,1.1997473,0.8247252,0.9854619,0.39727372,0.7219821,1.0178412,1.1434538,0.5074141,0.8399992,1.4338728,1.0715165,0.4261297,1.0432518,0.7696782,0.65422,0.5706268,0.82526255,1.3016857,1.0163866,0.8110979,0.87393796,1.1778966
box,1.0395205,1.1869148,1.1630145,1.0812676,1.0713629,1.1690025,1.0535033,0.7223021,0.99059165,0.82317674,1.0054941,0.7368649,0.9340002,1.0132511,0.9303529,1.0146977,0.8221926,1.0724775,0.9584213,0.0,1.1411054,1.007484,0.7656392,1.090484,0.93544257,0.86363417,1.121083,0.67311704,1.1087414,0.7819235,1.0003651,1.0663345,0.9735048,0.8964779,0.78436315,1.2181797,0.6387811,0.91250324,0.9956094,0.9118916,0.81351453,0.8128377,1.0384004,0.91880476,1.0941905,1.1922741,0.9637107,1.1588532,1.2340732,0.9480493,1.1507413,1.0753231,1.0288978,0.9116423,1.1000669,1.1115677,1.1717793,1.0314568,1.0565602,0.9454892,1.0903322,1.1097348,1.1563642,0.85567105,0.8869986,1.0443158,1.0249884,1.0960708,0.6605354,1.0314325,0.88697284,1.1454476,1.0288994,0.97276896,1.0318971,0.8968251,1.1426636,0.9793721,1.1621534,1.0942467,1.1208653,0.7449456,0.9614631,0.95714,0.9514692,0.8905606,1.1155365,1.2085756,0.88179135,0.98278373,1.0308789,0.9836658,1.1756974,0.9800329,0.9114011,0.7408024,0.66065216,1.2004553,1.0379276,1.0023662,0.9704194,1.0145322,0.9870389,0.964909,1.0428904,0.9350433,0.93163216,1.1413215,1.0789348,1.1910634,1.1232531,1.1129085,1.0508574,0.7655748,1.0525019,1.2660778,1.0548908,1.0651547,0.8810836,0.60180813,1.190723,0.74980354,0.9452704,1.1651255,0.88460827
bread,1.1872331,1.0092915,0.71778566,1.2521873,1.1068774,0.82523334,0.57125294,0.9761277,1.2723926,1.3956014,0.69239336,1.3460896,1.3416774,0.8538482,1.3128785,0.9538405,0.95939505,0.8281011,0.95007896,1.1411054,0.0,1.2106276,1.112236,0.69107383,0.7527898,0.7381655,0.8781619,0.98741287,0.6458186,1.2620901,1.2449201,1.1046977,1.1377156,1.3342874,1.227882,0.5443684,1.4068444,0.78206915,1.0278648,1.2883904,1.2065433,1.1980462,1.2690344,0.8801917,0.69977576,0.789156,1.2272931,0.76818,0.6683678,1.1287634,0.7515937,1.3409063,0.8464585,1.1617743,0.60702646,0.9450607,1.1750904,1.0927333,1.0796651,0.6758423,1.0576581,0.81206524,1.0075711,1.160499,1.2556736,0.94168884,1.285225,1.2652855,1.3435515,0.7992781,0.78894055,0.8448912,0.94818145,1.1377058,1.1976267,0.9476009,0.774891,0.78551614,0.60863173,0.5380463,0.6103618,1.2417904,0.95477694,1.3674299,1.2026026,1.1733913,0.5688946,0.6448132,1.1028596,0.5970266,0.8507142,1.0474269,0.86773235,0.79354995,0.9617495,1.0629866,1.2427521,0.9927351,0.9553708,1.1974647,0.9963634,1.2805688,1.1823039,1.0356787,1.3210466,1.2483647,0.77232707,0.51412773,1.0531222,0.6690498,1.1848621,1.1630638,1.2812744,1.3814566,0.8386812,0.6347633,0.9238908,0.7265352,0.9872803,1.1247231,1.1117998,1.0402633,0.93459177,0.61068827,1.2449696
broom,1.1168,1.0362126,1.123808,1.1147388,0.9979985,1.1066403,1.078634,0.9140019,0.9163839,1.0691421,1.1001499,1.0595362,1.0985014,1.0943005,1.0143412,1.0517972,0.93310016,0.963852,0.975865,1.007484,1.2106276,0.0,0.96004635,1.0342394,0.8565336,1.2003344,1.1079223,0.9200193,1.0501546,0.88520914,1.060052,0.9311342,0.972542,1.1305177,0.9826832,1.0231487,1.0160446,1.0430325,1.0630447,1.0126226,0.7116858,0.60987514,1.035954,1.0599334,1.2245742,1.0968096,1.0324873,1.20754,1.1119132,0.9784651,1.1824477,0.87905484,1.0984864,1.0602258,1.1916817,1.1740578,1.1569102,1.019186,1.1021045,1.1414729,1.1591604,1.1530949,1.1637908,0.81925887,0.98087376,1.1243471,1.1071267,0.87403035,0.9483264,0.8866846,0.8456289,1.0589613,1.0253141,1.1065106,0.0060790777,1.1034616,1.0875934,0.80800164,1.0486338,1.1733502,1.2291942,0.7100058,1.1650417,1.1386765,1.064873,0.81749594,0.9449258,0.8441647,1.1542087,1.1813962,1.0035597,1.0323254,1.0950737,1.2217146,0.9683327,0.9762145,0.90707237,1.075284,1.0694635,0.9959553,0.7219986,1.1534805,1.0621018,1.1655136,0.11176264,0.86681163,1.0801104,1.142768,0.98755485,1.2241778,0.87138164,0.89387715,1.1169987,1.0143818,1.0104764,1.2274011,0.78431743,0.8236932,1.0601637,1.0820258,1.1285493,1.0541785,0.5442647,1.1422038,0.88463724
bucket,1.3176324,1.1123185,0.93843377,1.2964282,0.7035337,0.8674521,0.8592432,0.6142895,1.087023,1.2397952,0.9460933,1.2070147,1.1116478,0.94055676,1.2772287,0.8918387,0.7141515,0.6752707,0.3407718,0.7656392,1.112236,0.96004635,0.0,0.83983177,0.78250563,0.77618396,1.327909,0.8516593,0.8066532,1.0389336,1.2713829,0.645211,1.1196784,1.3081317,1.0587518,0.92718345,0.96787053,0.48310757,1.0332383,0.95474374,0.9411679,0.8869266,1.2125015,0.9964082,0.9327226,1.2750169,1.1046299,1.1792502,1.0155687,0.83431613,1.1666856,0.83299047,0.8693664,0.9695043,1.1642418,0.9559351,1.2394559,0.6193254,1.2965437,0.8802947,1.177926,0.79954183,1.3926144,0.95459396,1.1785781,0.6279043,1.3306332,0.853402,1.0525442,0.88243115,1.0746737,1.2531695,1.1206903,1.0645394,0.96222967,0.9392343,1.2273848,0.8660325,1.1264275,1.1130704,0.9505335,0.97135437,1.1084491,1.2558479,1.3429801,0.8088036,0.96183956,0.97980535,1.1222826,0.93800795,0.97556335,0.58058906,1.0007495,0.997878,0.9487005,0.77108204,0.9636132,1.2768626,0.93847805,1.1860331,0.7751426,1.2908783,1.0444484,1.0275946,0.8511859,0.950864,0.62460166,0.9882708,1.0540816,1.1033417,0.60143447,0.9334883,1.3145728,0.98253244,0.67497134,1.1385801,0.7970472,0.83494866,0.48853308,0.7724141,1.2741137,0.9072478,0.80589604,1.0094901,1.1458807
butterfly,1.3477705,0.9433013,0.7835922,1.2965035,1.0029275,0.7476308,0.8137879,0.777668,1.3133737,1.4522032,0.69199985,1.3641844,1.2463369,0.90727985,1.3937138,0.8474636,0.87996286,0.6810776,0.8601149,1.090484,0.69107383,1.0342394,0.83983177,0.0,0.6609131,0.70605063,1.267376,0.96601313,0.5639703,1.2537115,1.1779325,1.1200284,1.0990374,1.3776689,1.1434484,0.54149175,1.3682321,0.7178697,1.1937217,1.2748792,1.0584288,0.9557133,1.2820244,0.7702875,0.59467745,1.0767627,1.1377361,0.7334761,0.66767836,1.0423551,0.88215715,1.2218597,0.9196704,1.1786847,0.76424533,1.0137732,1.2115077,0.97395545,1.2634193,0.710865,1.0789224,0.7873802,1.2653601,1.1158293,1.2647157,0.96605796,1.2981709,1.1602972,1.3570621,0.75620407,0.8136615,1.2261175,1.1507515,1.1427557,1.0218012,0.99036413,0.8227588,0.70347416,0.66273427,0.5992544,0.68636096,1.1222942,1.0602943,1.3868984,1.256943,1.0156296,0.60859597,0.71789336,1.1223689,0.61400986,0.8073796,0.98545253,0.98788095,1.0273253,0.97845834,0.9571963,1.1796149,1.2148448,1.0240747,1.1341466,0.84767795,1.3089334,1.1458172,0.98373234,1.1293318,1.1370832,0.71830124,0.6967195,0.9818874,0.7486684,1.1190146,1.0165288,1.3290995,1.3943481,0.94610244,0.6739928,0.88195145,0.630932,0.8962911,1.0759223,1.1900748,0.9634857,0.79775834,0.74969864,1.2338337
can,1.5466684,1.03444,0.7316164,1.4396217,1.154899,0.6218002,0.84052956,0.6147034,1.1700361,1.4330282,0.5433421,1.3308568,1.4323878,1.0078351,1.3577738,0.88761663,0.78413427,0.4024123,0.70907944,0.93544257,0.7527898,0.8565336,0.78250563,0.6609131,0.0,0.8423146,1.0666043,0.4761989,0.5037207,1.1108204,1.3496027,0.82979465,1.0286759,1.3852038,1.200029,0.43854332,1.3271924,0.40765333,1.1204249,1.363712,0.61263573,0.85914755,1.3206409,0.68594944,0.864713,1.0119447,1.2242811,0.96746796,0.7570589,1.4242609,0.92512476,1.288734,1.1712561,1.3009667,0.7373925,1.056382,1.3395474,1.1610949,1.2972987,0.95241123,1.3003125,0.6972856,1.2400832,1.2216562,1.1191032,0.77702796,1.4509532,1.1155705,1.2304904,0.37507713,0.5808016,1.1081531,1.270295,1.5270501,0.85247326,1.1408724,1.0711373,0.19916832,0.6270567,0.73939884,0.8201529,0.8240809,1.3076471,1.5094339,1.2652569,0.88447016,0.48636943,0.64505816,1.0721462,0.706953,0.8509238,1.0439174,0.92938554,1.07443,0.6667132,0.7513163,1.1080872,1.2460185,1.0885692,1.3250902,0.8992347,1.365531,1.2458422,1.2249582,0.9497946,0.89747834,0.476367,0.5386038,1.1384269,0.93085027,1.0370821,1.1024718,1.3867958,1.3487916,0.70145696,0.78064543,0.82461554,0.23501611,1.0596262,1.1969744,1.331501,1.0224363,0.36804134,0.7430848,1.0104795
car,1.1790901,1.1525683,0.8610904,1.2473351,1.0492256,0.89857984,0.8041388,0.9087124,1.2984147,1.308398,0.6361566,1.0708826,1.2373908,1.0061725,1.2073464,0.76438165,0.85014594,0.8555724,0.8968298,0.86363417,0.7381655,1.2003344,0.77618396,0.70605063,0.8423146,0.0,1.1965389,0.90692526,0.74500334,1.2840805,1.1323586,1.1803211,0.96376735,1.2540596,0.96572024,0.7005453,1.2369974,0.7797365,1.107721,1.1649427,1.1431568,1.1285425,1.3206705,0.74947584,0.7732338,1.0801828,1.1298208,0.82994354,0.70444393,0.8972861,1.04041,1.2484785,0.9293975,0.89533794,0.8028333,0.88172513,1.066901,1.0815258,1.1954408,0.85975146,1.0006804,0.7147479,1.1522359,1.0476162,1.1698215,0.9198803,1.1831417,1.1108654,1.1006533,0.83083963,0.9707576,1.2032938,1.104601,1.0315748,1.2038696,0.48088872,0.8923729,0.9022456,0.8400463,0.7361431,0.8027837,1.121728,1.0757909,1.2182878,1.1251135,1.0997715,0.77241874,0.89160544,0.8896826,0.66422045,0.70260906,1.0347772,1.1624889,1.1753618,1.0792513,1.0146408,1.0795678,1.2652164,1.1198019,0.98644805,0.86806476,1.2780612,1.1166683,1.0002993,1.2502778,1.1306946,0.51951134,0.6465308,0.93652326,0.78889763,1.187818,1.0427039,1.2908543,1.2407436,0.9774693,0.87268126,0.9058322,0.87303996,0.92828935,0.80822456,1.105546,0.43629533,0.8884368,0.7444684,1.1805694
cat,0.69330835,1.060701,1.1580018,0.8159402,1.0466555,1.1341605,1.2421522,1.1451489,0.79532826,0.6134064,0.9916401,0.7746551,0.94776493,1.1595446,0.5625658,1.0269694,1.3822205,1.1911039,1.3052801,1.121083,0.8781619,1.1079223,1.327909,1.267376,1.0666043,1.1965389,0.0,1.1590093,1.1674612,0.86906725,0.86114854,1.1664798,0.8443902,0.6167333,1.1429243,1.2287053,0.9734102,1.2605385,0.6390777,1.048279,0.9039786,1.2171069,0.96894014,0.9217298,1.1654683,0.44951922,0.95869327,1.0555801,1.1120272,1.2098899,0.9641948,1.1876674,1.2556748,0.9330027,0.9402913,1.0590435,0.87684304,1.2040324,0.6415983,1.131366,0.9733633,1.0912844,0.48214287,1.1019801,0.8305813,1.1788018,0.8512863,1.2215761,0.9087125,0.9696996,1.0984733,0.46118796,1.0276386,0.96849203,1.1230195,1.0657707,1.0915843,1.1240263,0.9265071,0.92652285,1.1407746,0.93116534,0.94811326,0.8630402,0.803138,1.2319653,1.254796,1.2699331,0.7946174,1.0895348,1.1392124,1.2823744,1.0630796,1.0486212,0.9099978,1.1851647,1.0381491,0.6583266,1.0491692,0.9743692,1.2478201,0.6859429,0.94535494,1.0337751,1.1846018,1.0233961,1.1836463,1.0386488,0.86201143,1.083766,1.2292991,1.0135659,0.6626183,0.9859004,1.1816847,1.0841866,1.3606209,1.1955891,1.3051755,1.2811977,0.728143,1.0378293,1.1686825,1.1222689,0.6946176
chair,1.302326,1.0647799,0.97778696,1.2644248,1.1690404,0.9527334,0.9154748,0.5899504,1.0748212,1.0356328,0.9916108,0.8913696,1.2989352,0.9664242,1.100941,1.1039373,0.81447005,0.7384747,0.9199285,0.67311704,0.98741287,0.9200193,0.8516593,0.96601313,0.4761989,0.90692526,1.1590093,0.0,0.8165115,0.73418975,1.1190372,0.8501058,1.0384749,1.07382,0.9604182,0.8886958,0.80341613,0.5963206,0.93985504,1.1138322,0.64644396,0.884021,1.1037704,0.9729615,1.0643519,1.2094414,1.1365412,1.1427257,1.1150409,1.2339056,1.0366317,1.1790057,1.1332246,1.2214051,1.1151043,1.0139693,1.1564949,1.1797706,1.2663369,0.98068345,1.2975165,0.9632387,1.1925173,1.0387175,0.9104036,0.7403296,1.2172596,1.0885656,0.62002045,0.6866836,0.6640513,1.1976565,1.1040722,1.4229887,0.92943627,1.0977026,1.2346271,0.6065199,1.0378153,1.0893705,1.0283108,0.7361822,1.2263992,1.2366511,1.0208445,0.9018782,0.81487375,0.8317642,0.92631775,0.9687345,0.9506451,1.0327917,0.90630066,1.042002,0.7043474,0.73598766,0.74265665,1.271452,1.0018722,1.1221809,0.8814331,1.2499012,1.1393557,1.1101449,0.98410565,0.7563764,0.7541349,0.9246055,1.1805067,1.0184495,1.0475816,1.2000593,1.2210743,0.72029865,0.8920137,1.0703801,0.94231635,0.6005603,1.0204126,0.91932,1.2463634,0.9478163,0.5440787,0.9858462,0.8811785
