category,mean_bv_to_bv_centroid,std_bv_to_bv_centroid,n_bv
book,5.809208427431596,0.669259497623574,44652
swing,5.758598150721414,0.6369403628731543,223
tray,5.672396443816743,0.572958368950945,10348
toy,5.491290682879012,0.5427609272685441,103022
slide,5.4166654387146025,0.615491464214865,5723
doll,5.401425983117438,0.5834139430634109,3809
basket,5.337952438464331,0.6667740010016666,29745
plate,5.324748167011273,0.6793627355801225,73202
box,5.29715483052813,0.7820265301534894,66750
table,5.287770961584121,0.7218401279840826,164719
shirt,5.270793955325513,0.7942873906731307,9402
bucket,5.260698430449339,0.7212222438594913,38435
grass,5.243666169192096,0.7396153859725153,3803
pajamas,5.243254292653929,0.6635281198671266,3041
tree,5.23143514888877,0.6632879692339676,1929
refrigerator,5.230183577160711,0.7273829897265784,66957
vacuum,5.21764608664646,0.6418883057559045,4433
hat,5.197458096748787,0.8969419035949574,15166
paper,5.184048609169087,0.7997933688327832,5505
purse,5.173184413640832,0.6383904761384899,10269
bed,5.173151400627716,0.7354019424457953,85010
bench,5.172541089980941,0.6730158670312824,7074
blanket,5.167913575292588,0.7213798640577502,28388
jacket,5.152338633799328,0.7138105859963022,1252
car,5.1434887522923125,0.8397529635156635,2323
crib,5.13902300028389,0.6736304987907658,7976
pony,5.126303609802096,0.8143151524535038,244
lamp,5.1151116493839375,0.6525662537142212,200573
dress,5.109910624232357,0.6585229923244984,1087
scarf,5.093972862428737,0.6676590495111984,338
chair,5.073400374120329,0.7276762223099187,261847
window,5.0695607418880595,0.7438041355751629,56686
ball,5.066422153716865,0.9071883346396264,31235
bowl,5.064461086980083,0.702983562400963,84340
stroller,5.059943353485163,0.7273348998546669,9463
sink,5.0373850754789435,0.6039691171687374,34414
sweater,5.027096618047281,0.6711859926293086,989
jar,5.026332172576758,0.7007916064231369,2155
rock,5.025710443151511,0.6687946869299489,254
towel,5.012807901861499,0.6657471681848564,33272
dog,5.0116168024387795,0.7182371094178411,4205
pillow,5.0072703496813045,0.7908075059310504,142943
bird,4.993079125601032,0.7408457675813406,375
glass,4.98572552064308,0.6384878508457781,832
cup,4.980190291196812,0.6649559854919871,105034
couch,4.974112223596437,0.8132588403540839,162393
shoe,4.956720442026335,0.6479807616959607,8408
stick,4.931064432588233,0.752059400220203,79
arm,4.92588494730372,0.7262873260046505,3084
balloon,4.91221779110047,0.7635959615247591,24663
bottle,4.90627218447084,0.7260899908857528,60304
oven,4.8932789436346695,0.6594644799356862,28153
closet,4.887897298176813,0.7868154758072842,1529
sock,4.884327504075064,0.6289955722746566,3368
face,4.858215003335437,0.6663591318031461,557
shower,4.827805667678528,0.6687836983476946,296
cat,4.803586708098057,0.7312128420859759,3609
plant,4.775659835207683,0.6796058941590124,30220
jeans,4.774103321487511,0.7039112973027651,4220
napkin,4.772438912166485,0.7031367036022559,35562
fork,4.743382020782864,0.7226421860249079,7869
hair,4.639533258820302,0.7765936977322294,7310
can,4.6253506123015695,0.7447452952309523,4817
necklace,4.621759079659563,0.8477195119851514,3668
shorts,4.578842766292037,0.7040881548738992,3792
cracker,4.564626199076789,0.6931845602124825,514
flower,4.528145048366781,0.8055989169397498,6433
door,4.520931671617576,0.7171011023069988,63777
clock,4.4887153630485255,0.9154334270480899,10895
pants,4.479418979431483,0.6999340490267885,5664
foot,4.373571527435756,0.7472138947470209,728
drawer,4.3313339643607245,1.0189502524760725,20456
watch,4.3062310866292925,0.6948022760465762,3070
hand,4.303070626717096,0.7127966345899994,42061
butterfly,4.285196278123262,0.873902619124546,386
apple,4.215856952790929,0.8147318793937675,11674
glasses,4.189919234595781,0.8533818125660806,59879
dish,4.035417785612878,1.3035472705349758,986
toe,3.999074074709731,0.7099346973058049,22234
nose,3.8395882369007452,0.7413694959899435,859
ear,3.7444281957242422,0.7914580015201319,298
eye,3.7006378518043244,0.6616813545853433,182
mouth,3.6411644124058347,0.8357821855471205,318
tooth,3.621363897328601,0.825770373619358,410
finger,3.585409533148081,0.6982142487763572,5343
