,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,sock,spoon,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.8522271,1.2382686,1.2747716,1.0811784,0.8092753,1.3594787,1.1855984,1.2296135,1.0366417,0.6025666,1.286051,0.0,1.0971848,1.2205933,0.5965913,0.9887716,1.2032636,1.2245774,0.9958247,1.3018057,0.8594585,1.0246847,1.1093756,1.0558385,1.2317355,1.2396611,0.81586766,0.8450829,1.2171495,0.7184129,0.79366285,1.223005,0.5678773,1.190051,1.3503127,0.31919706,1.3186076,0.9013794,1.0786408,0.83057296,0.91000175,0.8403435,1.3470539,0.8342754,1.2095222,0.88330644,1.3402748,1.0153347,1.1819948,1.1769954,0.9485439,1.307612,0.81216216,1.0961858,1.2471795,0.81802547,1.0596982,0.90153176,1.1984684,1.1216805,0.7534485,0.72350115,1.1689304,0.6504991,1.1956637,0.74631137,1.2804396,1.0086268,0.6692859,0.7866963,0.72071505,1.0441253,1.314242,1.2901932,1.0631655,1.2333801,1.0098718,1.3405831,1.0430928,1.2359388,0.70327026,0.9334602,1.1028378,1.069614,1.30667,1.3295923,1.2772663,0.9903565,1.0423068,0.95821935,1.2115576,1.1866251,1.3082789,1.1248391,1.1651427,0.9332971,1.1215955,0.73966306,1.0876529,0.99028724,0.7925782,1.0033941,1.137965,0.69732416,1.0332177,0.84672546,1.2870066,0.89132273,1.2888465,1.0355924,1.0994499,0.6693934,0.60574293,0.74129194,1.2277503,1.2942023,1.1104052,0.7786724,0.8633198,1.1862502,0.9254684,0.76674986,0.7425196,1.3783565,0.7578834
bib,0.8377323,1.1025784,1.2790469,0.9842556,1.032943,0.968369,1.1718845,1.1275756,1.0787672,1.0097458,1.1881014,1.0971848,0.0,0.9504132,0.9200918,0.75688696,1.0806847,1.1779429,0.94789475,1.1764886,1.0508342,0.9621595,0.9707393,1.152779,1.0921818,1.1783334,0.9038516,1.0935318,1.0630485,0.99818534,0.9964433,1.205068,0.99707115,1.1524218,1.245989,0.98841584,1.0725325,0.8210951,0.85130095,1.1514744,1.036251,0.7780413,1.2591254,1.049701,1.1259024,0.6262395,1.0619864,0.9615289,1.0864096,0.37617505,0.9694464,1.104424,0.8873207,0.97732437,1.1457865,0.9808332,1.0939393,0.9910009,1.0022341,0.93106925,1.0244925,0.86406624,1.0119138,0.95192206,1.1375318,1.1688944,1.1098828,1.060919,0.9235789,1.0586075,1.0229161,1.0542426,1.2364901,1.2730451,1.013633,1.0606316,1.0819358,1.2142086,1.1195475,0.33342177,0.79349345,0.5446933,1.0746462,1.037787,1.2738607,1.2555735,1.0480303,1.0341542,0.81678855,1.0736724,1.1473471,1.1074591,1.0766542,0.92564857,1.1126524,0.9025948,1.0967816,1.0108202,0.96147186,1.0451359,0.67904806,0.8151018,0.975132,1.0691019,1.1350589,0.94386834,1.1974487,0.9668615,1.0866992,0.79838055,1.0529896,1.0388653,1.0188081,1.0448805,1.1344184,1.1931162,0.76151675,0.8840418,0.97176975,0.938218,0.8983162,1.034478,1.087888,1.1101235,1.1132176
bird,0.933176,0.9307925,0.85796463,1.004581,1.271682,0.606084,0.738551,0.81208396,1.1571307,1.3034549,0.98294854,1.2205933,0.9504132,0.0,1.3118582,0.91429585,1.0359669,0.9162363,1.0704002,0.90575397,1.1792735,1.0413961,0.7561364,1.0649325,0.79332197,0.8250726,0.99668235,1.1386169,0.9035443,1.149179,1.1637305,0.9583859,1.3434882,1.0432892,0.9235617,1.3347342,0.9113072,0.7113736,0.84685946,1.1374099,1.051523,1.2079736,0.7035696,1.1478786,0.86311334,0.8616555,0.7931056,1.0409936,1.0048776,0.6486283,1.0874739,0.92717046,1.0768038,1.061495,0.76833147,1.2043474,0.9033828,1.0863564,0.8747371,0.7717322,1.2354753,1.2370387,0.9847966,1.2990103,1.0110105,1.0907654,0.81498826,0.73899126,1.1345251,1.0827651,1.2054856,1.0309001,0.7545591,0.9171259,1.0533816,0.95349926,0.9596715,0.599756,1.0590904,0.6762049,1.3269138,1.1130745,1.0750648,1.1377859,0.99700016,0.9796685,0.20710528,0.88057977,0.7582743,1.0869697,1.0178238,0.9697962,0.9088222,0.735206,0.7639583,1.0895414,1.0668247,1.1936057,0.54607666,1.0827914,1.2663475,1.101003,0.9382774,1.1314129,0.9920883,1.154205,0.90019697,1.0800512,0.9172088,1.116415,0.85840297,1.2465779,1.2518343,1.2412989,0.88664997,0.8376688,0.97105414,1.3182983,1.068091,0.81068546,1.0601407,1.1955954,1.2429461,0.92366517,1.1991104
blanket,0.53905076,1.3573375,1.3973665,1.1125615,0.5542084,1.3810936,1.3535398,1.3686063,1.166212,0.12947607,1.4752977,0.5965913,0.9200918,1.3118582,0.0,1.0582905,1.3984904,1.3691964,1.1791861,1.4247056,0.8319277,1.2755167,1.2769377,1.3642089,1.376862,1.3338099,0.6918656,1.0667689,1.3771887,0.74775887,0.68172145,1.4060061,0.30228662,1.298131,1.4992772,0.32483995,1.4876956,0.87024164,1.1058363,1.0387992,1.1842347,0.6093439,1.4624155,0.78376746,1.1715331,0.64978653,1.4282712,1.0533849,1.3038225,1.1306465,0.7507838,1.3447696,0.5493394,0.7187048,1.1846926,0.62203693,0.97968477,0.72400993,1.1240757,1.2503915,0.6976179,0.39858615,1.2762318,0.30291474,1.3428379,0.95831347,1.553644,1.0483274,0.3782962,0.8589673,0.6598229,1.0563066,1.435451,1.3766848,1.0162233,1.280539,0.9847817,1.4974893,1.3209686,1.2511783,0.24342883,0.71539843,1.2532446,1.1538229,1.441061,1.4704565,1.3860682,0.8266673,1.0855396,0.8238584,1.3359876,1.2781125,1.4968493,1.2480481,1.0883428,0.97174966,1.3556159,0.80234545,1.1977165,1.1534605,0.4236864,0.9433813,1.1894174,0.75772893,1.3824674,0.7667684,1.3829514,0.75615793,1.4281445,1.0790999,1.2230823,0.60863584,0.47220194,0.2650466,1.4559089,1.3417811,1.0222775,0.6276374,0.60782784,1.2842094,0.94867474,0.7205115,0.8513572,1.4261503,0.6099507
book,0.87255204,1.2047782,1.0722938,0.94050497,1.2384549,1.0082436,0.94358546,1.0395683,0.83229446,1.0808764,1.1075859,0.9887716,0.75688696,0.91429585,1.0582905,0.0,0.9567984,0.91470236,0.646966,1.0969898,0.954088,0.7302653,0.9202769,0.997004,1.0206805,1.1031892,1.0356644,0.94874763,1.0002106,0.98841965,0.9284915,1.0758235,1.1690767,1.0953935,1.0440329,0.9520156,0.90252924,0.8596164,0.7155806,1.0584686,0.853553,1.0289222,1.2610003,1.1724811,1.1767297,1.0354875,0.97588575,0.95182437,0.89222854,0.7646049,0.83921504,1.2442594,1.216779,1.2134742,1.0521626,1.073227,1.0276921,1.0013363,1.0307394,0.8850916,0.9292565,1.1799487,1.0187075,1.2356458,0.91430694,1.086059,1.0905514,0.96549255,1.1801358,1.0343317,0.9233471,1.1509792,1.2542211,1.2475681,0.825413,1.2256656,1.1542166,1.1390089,0.81481487,0.79875314,1.1278558,0.9226756,0.69575584,0.982937,1.1084315,1.092471,1.0354834,1.0384226,0.71518385,1.0534085,1.0827638,1.0161049,0.8353294,0.8104279,1.1450096,0.8581987,0.90180546,1.0293298,1.0571474,0.9349498,1.1371218,0.9364609,1.0091242,1.195085,0.8667564,0.91957515,1.2553736,1.1969639,0.9173856,0.9665155,0.84924996,0.9556501,1.1965321,1.0343382,0.9075682,1.2727066,1.0135407,0.8765656,1.0160006,0.7228146,0.4635346,1.0964373,0.88598657,1.1730809,1.0666405
bottle,1.2767564,0.8655536,0.7476624,0.86525583,1.2387131,0.77660155,0.8171207,0.8502784,0.8056474,1.2977012,0.75057226,1.2032636,1.0806847,1.0359669,1.3984904,0.9567984,0.0,0.76126367,0.71274185,0.77768886,1.0721974,0.32759905,0.98970443,0.37424856,0.760641,0.85686135,1.1935884,0.96957475,0.7492901,1.0600541,1.1631961,0.7799469,1.3359001,0.83655,0.775079,1.2951914,0.29420686,1.1617388,0.9266549,0.9639201,1.0476626,1.2471948,0.7167576,1.2610068,1.0766851,1.2997391,0.7307019,0.9376881,0.9774361,1.0607183,0.94445133,0.9697,1.227783,1.116785,0.9526276,1.2469916,0.91973376,1.2872031,0.93110114,1.0431957,1.1620922,1.3264818,0.3152746,1.3452134,0.93945754,0.8609411,0.66365755,1.0326864,1.281646,1.0870911,1.1535933,1.1353921,0.68410015,0.75676,1.045606,1.0104126,1.2105343,0.79587793,0.80990434,0.94646376,1.3753538,1.1422298,0.8560249,0.9480161,0.7633592,0.7940748,0.9675559,1.055865,1.0288656,1.0104481,0.8080542,0.6801781,0.8512,1.0237657,0.97938776,0.96745855,0.794647,1.0609457,1.0122784,1.0873257,1.3554978,1.0245653,1.0974121,1.134999,0.8484499,1.0803195,0.7910147,1.1154872,0.9088461,1.0651951,0.9318766,1.1695921,1.3000333,1.2327219,0.5441853,0.9387319,1.0792917,1.2095788,1.171345,0.7342762,1.102727,1.1419978,0.97470903,0.74558884,1.2543467
bowl,1.2839465,0.8388074,0.81648195,0.7611986,1.3841996,0.84748197,0.67972994,0.7983431,0.7907931,1.279207,0.68851537,1.2245774,1.1779429,0.9162363,1.3691964,0.91470236,0.76126367,0.0,0.92267585,0.66492033,1.0075109,0.69781667,0.9073107,0.78468364,0.7372576,0.9619565,1.1670139,0.8527487,0.85228986,1.0744041,1.1277444,0.7457231,1.3272452,0.8058961,0.6966928,1.2985704,0.4835466,1.2033374,0.84083396,1.0474851,0.9021787,1.3477014,0.78356755,1.3161242,1.0719573,1.1875122,0.66215193,1.0408854,0.79868275,1.0808667,0.7821921,0.9303729,1.2597823,1.0575509,0.9476131,1.356067,0.960059,1.2298758,0.8916418,1.0914433,1.0509275,1.4268061,0.82977456,1.382231,0.71696675,1.0006764,0.65983546,0.9474733,1.2671185,0.95596087,1.2776291,1.1589038,0.6937508,0.8696438,0.6972061,0.9874876,1.1848159,0.6859572,0.7476846,1.0265166,1.4244611,1.237214,0.7553735,0.89002556,0.7706913,0.76775897,0.9333702,1.0549369,1.0903352,0.88548416,0.7438775,0.73362696,0.33631217,1.0802057,0.86383474,0.79599345,0.7757479,1.166543,1.07471,0.9345213,1.4107008,1.0372956,0.7033124,1.1563771,0.46359754,1.1279799,0.7816751,1.213973,0.61172193,1.0143086,0.9223812,1.3022418,1.391836,1.1746979,0.53751594,0.95536435,1.2474291,1.2521647,1.008609,0.7785336,0.6736927,1.2372255,1.0225194,0.81131124,1.2639753
box,1.1138489,1.0924429,1.0058911,0.94751894,1.1845977,0.9994187,0.8404172,1.1130755,0.60091746,1.1387099,1.0250254,0.9958247,0.94789475,1.0704002,1.1791861,0.646966,0.71274185,0.92267585,0.0,0.88359135,1.0612547,0.4255563,0.85979223,0.79768455,0.982946,1.2291232,1.0785478,0.84650916,0.92037624,0.9107593,0.94559556,0.92238057,1.1387829,0.9254478,1.0186068,0.9826211,0.711095,1.0704205,0.6666923,0.8724305,0.8355354,1.0802604,1.076025,1.1338887,1.2017212,1.2441908,0.8815882,0.9798769,0.93233,1.0104371,0.9710052,1.1137244,1.2451854,1.2032107,1.2218615,1.1334281,0.9168159,1.1927278,1.0958682,1.0548314,1.0041223,1.1867862,0.78953105,1.234279,0.9260761,1.0295973,0.86074054,1.0989199,1.2538866,1.0562546,0.98234284,1.1777421,1.011094,1.085325,0.8959256,1.2105665,1.220168,1.0050063,0.70936674,0.92603827,1.1991669,1.0607882,0.71660537,0.90401924,1.0825522,1.0769306,1.1371721,1.2531192,0.94251615,1.0286558,0.89395416,0.8728125,0.86445516,0.99484426,1.1048021,0.73845136,0.75389737,0.87419987,1.1304835,0.9323894,1.2013249,0.9497991,1.1022129,1.1028277,0.77226174,0.93465596,1.1552104,1.1709024,0.9449476,0.9634891,0.93841743,0.9972117,1.1994929,1.1493927,0.7623882,1.1864345,1.1492376,0.9082519,1.0565189,0.8334397,0.85269576,0.9930371,0.86975145,1.105826,1.0913365
bread,1.3079162,0.9000236,0.7490082,1.0078272,1.2428567,0.74581933,0.7775614,0.7117948,0.7802179,1.3479092,0.7348989,1.3018057,1.1764886,0.90575397,1.4247056,1.0969898,0.77768886,0.66492033,0.88359135,0.0,1.284362,0.9579949,0.9249272,0.9591534,0.8091419,0.9303529,1.188003,0.93221796,0.7069907,1.2380381,1.2614144,0.1584714,1.4550296,0.09853202,0.6761874,1.4160051,0.61121976,1.1419592,0.8755609,1.0466608,1.0169736,1.3162599,0.50130755,1.2837305,1.0249504,1.2539786,0.68681055,1.1092023,0.8892074,1.1308259,1.1841741,0.9256639,1.414657,1.1333059,0.9947819,1.3064343,0.6270566,1.2452376,1.0013952,0.9991149,1.2745169,1.3979553,0.64579344,1.4031188,0.76412797,1.219342,0.6649068,0.9794551,1.4339033,1.1606648,1.2839798,1.1386987,0.41806543,0.79036415,0.7566208,1.0042771,1.2026597,0.37990206,0.8260529,0.8579467,1.4507877,1.3484132,0.7913272,0.4266181,0.73172975,0.7145488,0.85210514,1.1702629,1.0443625,0.97143704,0.069015265,0.7862252,0.41369176,0.97223824,0.79651344,1.0665294,0.83487654,1.2090576,1.0199244,0.9806992,1.4246315,1.1102113,0.7983086,1.2082258,0.8345705,1.2033412,0.88175756,1.2602525,0.7624997,1.0806823,0.92608213,1.3030725,1.398936,1.210669,0.52729595,0.8556721,1.1716696,1.3607088,0.9694107,0.8644424,0.9973764,1.2442198,1.3415439,0.80507016,1.2478423
broom,0.9087689,1.1327194,1.1732322,0.99916255,1.0025721,1.2185088,1.0362484,1.0515884,0.9516285,0.822134,1.1820385,0.8594585,1.0508342,1.1792735,0.8319277,0.954088,1.0721974,1.0075109,1.0612547,1.284362,0.0,0.97856367,1.0701206,1.042167,1.1580203,1.0642712,1.0372653,0.7954615,1.2222509,0.83270174,0.9413168,1.2558093,0.93795836,1.2362524,1.0992919,0.73070544,1.1198661,1.1383212,1.0047413,0.90449834,1.0760306,0.8978126,1.2266414,0.99644196,1.1390811,1.02682,1.0700281,1.0548553,1.0036353,1.0853697,0.79046965,1.1593857,1.0529186,1.0472006,1.0926704,0.93186337,1.040412,1.0045058,1.200933,1.1611063,0.28714436,0.9991653,1.0559696,0.94098896,1.0158846,0.93018365,1.088589,0.9961984,0.98506355,0.75986433,0.87352127,0.9707811,1.1754963,1.2022612,0.94181037,1.0826949,1.0435427,1.2588797,1.1133852,1.1574321,0.9238378,0.9152796,1.0807126,1.1124641,1.1333153,1.1367717,1.1849858,0.8819147,1.0631357,1.1991518,1.2531735,1.0842086,1.1161164,1.1675066,1.1570508,0.9763606,1.1562849,0.7893964,1.1696725,0.895963,0.92899364,0.9811402,1.0494492,0.9117814,1.0278322,0.9039155,1.1826141,1.0748936,1.0062035,0.898998,1.0475838,0.831565,0.9953789,0.81495774,1.1405447,1.189127,1.0532815,0.7809782,0.9609233,0.92327935,0.71359545,0.9637783,0.25422508,1.2232585,0.8349811
bucket,1.1827589,0.95814306,1.0053829,0.80148315,1.2537566,0.96611005,0.75829244,1.0729778,0.6367105,1.2112169,0.919134,1.0246847,0.9621595,1.0413961,1.2755167,0.7302653,0.32759905,0.69781667,0.4255563,0.9579949,0.97856367,0.0,0.85560215,0.43983316,0.83141315,1.1432601,1.1524966,0.7932141,0.87151825,0.87694854,1.0157458,0.9989824,1.2354795,1.0159695,0.96321917,1.0875273,0.42853087,1.1270038,0.7481892,0.82387066,0.8569457,1.2248685,1.0597881,1.3317925,1.2023021,1.2651603,0.86666435,0.8933492,0.87115395,1.0031544,0.9335704,1.1353655,1.1506404,1.179068,1.2019061,1.2878551,0.9860729,1.2777767,0.9907121,1.0500199,1.0405625,1.3151208,0.6241951,1.275382,0.8831969,0.815275,0.7482838,1.0427699,1.178438,0.93865085,1.1116735,1.2080746,0.92132986,1.1017003,0.8640244,1.1819496,1.3229418,0.9916062,0.6189098,0.9437916,1.2878264,1.0918576,0.7025493,0.9887506,1.054472,1.0361794,1.1264683,1.0961066,1.0261954,0.9324404,0.9800157,0.81966746,0.8421031,1.007804,1.0566741,0.6274616,0.6837249,0.87362486,1.1423669,0.9659423,1.3420943,0.8966322,1.0675777,1.0990372,0.6077055,0.9504311,0.9851843,1.0526251,0.8595856,0.9223016,0.91630006,1.1312935,1.2688105,1.2344337,0.58118653,1.1671398,1.2397714,1.0858481,1.0640589,0.8070442,0.84804237,1.0769023,0.78562737,1.0703582,1.1811098
butterfly,1.0269533,1.0396798,0.92025536,0.7401889,1.2063625,0.8529985,0.65851915,1.0761957,0.9378296,1.274765,1.0257889,1.1093756,0.9707393,0.7561364,1.2769377,0.9202769,0.98970443,0.9073107,0.85979223,0.9249272,1.0701206,0.85560215,0.0,1.1355194,0.9629299,1.1565431,1.0843396,0.94145226,0.93135816,0.97194463,1.063352,0.9742279,1.3060312,0.95600605,0.97583205,1.199856,0.83705795,0.97081834,0.8316311,1.007058,0.827115,1.1535897,1.021185,1.1556888,1.1346867,1.0972126,0.526297,0.9229342,0.8039211,0.7612764,0.9583007,0.95778114,1.2459441,1.1149092,1.0754428,1.1806464,0.85809416,1.172248,1.1555812,0.8663912,1.0380077,1.2580111,0.8893722,1.2605183,0.86071384,1.1378723,0.6566942,0.8737072,1.2947004,1.2068657,1.1090517,0.9573615,0.9380769,1.1183372,0.9579247,1.0926892,1.1926739,0.87673855,0.89605516,0.8250568,1.2636477,1.1192666,0.9188905,0.9162416,1.0999877,1.0790234,0.8445147,1.154485,1.0366969,1.2166326,0.94165504,0.8230916,0.84739286,0.85386145,1.0146146,0.9491621,0.83774984,1.1337092,0.9753037,0.8644539,1.228091,0.86235404,0.9805434,1.1041976,0.7975853,1.048813,1.1166964,1.1609118,0.79891676,0.9938418,0.79118437,1.1323359,1.240391,1.259665,0.92226124,1.119146,1.0944841,1.1474128,1.128797,0.8024756,0.9001559,0.95822066,1.0826353,1.1002442,1.0500953
can,1.3326782,0.57427037,0.8599347,0.98219895,1.243924,0.94324416,0.8713654,0.7844982,0.82730925,1.2310541,0.5120418,1.0558385,1.152779,1.0649325,1.3642089,0.997004,0.37424856,0.78468364,0.79768455,0.9591534,1.042167,0.43983316,1.1355194,0.0,0.7050122,0.6786271,1.2440857,0.819075,0.6430783,0.98524445,1.1052494,0.8562857,1.1211294,0.9710177,0.7155989,1.1888897,0.59096444,1.2565498,1.1892854,0.59458303,0.8411169,1.2652693,0.7952827,1.2648283,0.93762904,1.3832532,0.96731526,0.94200397,0.9503234,1.155794,1.1500949,0.88842326,1.04975,1.0505855,0.96331024,1.2753137,1.2555985,1.2672019,0.71845645,0.9882026,1.2397381,1.2793589,0.7546253,1.2911792,0.885412,0.5738752,0.66707945,1.1156301,1.1494677,0.85053957,1.1751939,1.1290702,0.79427457,0.71485233,1.0200497,0.8245032,1.091326,0.92814606,0.57066643,1.0660162,1.3381159,1.0737344,0.7881719,1.0938472,0.677605,0.6611749,0.940064,1.0549634,1.1430264,0.729944,0.9644507,0.93144715,0.92426795,1.0453588,0.9764276,0.82363915,0.6478058,0.8482254,1.0604876,1.0420381,1.3391925,1.0928502,0.996284,1.0061959,0.7429451,1.0858047,0.5158552,0.9623384,0.8906037,1.074451,1.0669967,1.1955181,1.209886,1.2512102,0.6066771,0.7915888,1.1476145,1.2322074,1.1649215,1.0106653,1.1339812,1.1889226,0.89233744,0.68648404,1.1918933
car,1.2753994,0.6726929,0.77525663,1.1305597,1.4038423,0.7576311,0.8625399,0.70989597,0.8608593,1.3320806,0.4287157,1.2317355,1.0921818,0.79332197,1.376862,1.0206805,0.760641,0.7372576,0.982946,0.8091419,1.1580203,0.83141315,0.9629299,0.7050122,0.0,0.6955562,1.2421784,0.7003581,0.74513227,1.1611992,1.1724544,0.79618275,1.2828823,0.9492813,0.52094567,1.3317058,0.6221565,1.1482725,0.91342014,0.84974086,0.86294097,1.3376105,0.67482257,1.2924678,0.98340565,1.3311932,0.616356,0.9580089,0.7091495,0.9668791,1.2440194,0.7567493,1.1332347,1.0158097,0.93019116,1.313143,1.203278,1.3440179,0.6690602,0.85037136,1.2780399,1.364775,0.913368,1.2821862,0.7164726,0.72222817,0.4425283,1.189603,1.295877,0.9961719,1.2198092,1.122144,0.77446747,0.6612445,0.9350636,0.809192,1.1332504,0.75100076,0.7876539,0.8112024,1.3817993,1.1381564,0.7866607,1.1611326,0.50444734,0.49290848,0.737749,1.1707827,1.0949447,0.70816827,0.8675324,0.72189176,0.64995384,0.88131803,0.9530989,1.0310197,0.74592173,1.1707386,0.9205979,1.0157623,1.3790189,1.111352,0.94264036,1.0664816,0.6160039,1.0371212,0.57507217,1.1325104,0.59579927,1.094965,1.1199591,1.2523763,1.2838496,1.3615121,0.6190081,0.79060745,1.199849,1.4148798,1.1151427,0.82071024,1.1598802,1.1542219,1.1704789,0.5230647,1.1324253
carrot,1.2218986,0.5993505,0.561888,1.1041851,1.1162939,0.8102216,0.996568,0.5215986,1.211827,1.3434894,0.5614229,1.2396611,1.1783334,0.8250726,1.3338099,1.1031892,0.85686135,0.9619565,1.2291232,0.9303529,1.0642712,1.1432601,1.1565431,0.6786271,0.6955562,0.0,1.2498634,1.0715997,0.77688986,1.2811371,1.1534445,0.90154696,1.2361003,1.0201914,0.5152981,1.4245334,1.0100536,1.1609403,1.3542994,1.0397497,1.0894154,1.2466335,0.54651356,1.0498425,0.555935,1.1719964,0.8921191,1.0582563,0.8656975,0.9928255,1.3516366,0.67818236,0.9614352,0.91811156,0.5110607,1.1431556,1.2437049,1.0123575,0.73336,0.78468835,1.2180208,1.2016456,1.0854406,1.2119502,0.94987047,0.8730358,0.80214846,0.9788335,1.040274,1.0364476,1.2572513,0.8909153,0.69258803,0.44247627,1.1075635,0.49942744,0.71262497,0.63829976,1.0577244,1.0637954,1.2762628,0.99892527,1.0758288,1.16503,0.40115654,0.40853518,0.5935628,0.8969204,0.9878525,0.9224949,1.0419216,1.0571,0.9526651,0.9099839,0.7753346,1.1779809,1.0581789,1.2443604,0.81453633,1.1704037,1.2419142,1.2766268,0.9613822,1.1021309,1.0915382,1.24423,0.3781457,0.93443173,0.83112574,1.0419136,0.95957583,1.2655008,1.1757253,1.3025904,0.8189501,0.44559473,0.94162714,1.2849997,1.128324,0.92601246,1.269394,1.2350523,1.2047356,0.4469182,1.213986
cat,0.72244406,1.2646145,1.199463,1.0718116,0.9249029,1.0526189,1.1247561,1.2242646,1.0841603,0.7039518,1.287988,0.81586766,0.9038516,0.99668235,0.6918656,1.0356644,1.1935884,1.1670139,1.0785478,1.188003,1.0372653,1.1524966,1.0843396,1.2440857,1.2421784,1.2498634,0.0,1.1150923,1.23835,0.7656442,0.76573783,1.2057712,0.7405298,1.1533594,1.3097695,0.7572212,1.209667,0.2905177,0.90583766,1.0468729,1.1079593,0.94632465,1.2521479,0.90647274,1.2299508,0.7150375,1.2047967,0.9914014,1.1066692,0.8737558,0.92615056,1.1698079,0.856316,0.90528935,1.2144631,0.75866175,1.061964,0.944935,1.0892888,0.95726144,0.97623587,0.8891308,1.070035,0.85007125,1.1860371,1.0093755,1.2819772,1.0093524,0.8197294,1.0067445,0.8772284,1.1154146,1.1672772,1.2223814,1.0827233,1.2559484,1.0366151,1.228104,1.1339006,0.9288771,0.87176204,1.0487311,1.1969527,1.0494872,1.2834647,1.3018167,1.1356715,0.9484398,0.8464191,0.99192804,1.1689153,1.0638791,1.191168,0.828952,1.1093311,1.0398985,1.1321695,0.91385555,0.5941153,1.0247414,0.85577214,0.92927897,1.0054513,0.88636774,1.1332835,0.8023497,1.2784681,0.98149216,1.1594446,1.0333669,1.0133926,0.88761044,0.88425803,0.77781844,1.3506123,1.2993062,0.94662,0.89598644,0.8166601,1.1007149,0.96555436,0.8321984,0.9857743,1.2172565,0.8653482
chair,1.1809925,0.8734665,1.1110554,1.0176669,1.2299502,1.1239187,1.0706997,0.926569,0.656247,0.88440734,0.77707815,0.8450829,1.0935318,1.1386169,1.0667689,0.94874763,0.96957475,0.8527487,0.84650916,0.93221796,0.7954615,0.7932141,0.94145226,0.819075,0.7003581,1.0715997,1.1150923,0.0,1.0102363,0.82342696,1.0564249,0.95598865,0.9810772,0.9794529,0.84005326,0.750018,0.8547343,1.2327958,0.8603529,0.6466268,0.87486327,1.2257886,1.0074048,1.2935022,1.1735092,1.3541023,0.85944784,1.0898203,0.6956801,1.1679288,1.1542805,0.9876623,1.2114666,1.031046,1.3448371,1.226937,1.1532116,1.2542903,0.9719846,0.9692042,0.8530049,1.2665776,0.973219,1.1437284,0.7562638,0.66509175,0.73502815,1.2925824,1.2183236,0.87530106,0.9882735,1.197124,0.9843651,1.0407195,0.81863654,1.0709945,1.2065678,1.073898,0.74877703,1.0098346,1.1903859,1.1351516,0.7956637,1.034354,0.9137267,0.86881506,1.2174425,1.146716,1.2026483,0.7879294,0.9184141,0.84575987,0.77929735,1.0291698,1.0930392,0.7820255,0.8414727,0.94031066,1.1580162,0.83685905,1.2469542,1.0703517,0.92515725,0.94402564,0.7671466,0.81283224,0.9135926,1.16914,0.6796484,0.8778075,1.2245147,0.9806998,1.1781615,0.998138,0.81909126,1.0958158,1.3387463,1.1721765,0.93335485,0.966957,0.82490927,1.055523,0.7042068,1.0004109,0.7195599
clock,1.3562081,0.6806366,0.6755274,1.1015196,1.2227924,0.65719163,0.8187231,0.8099917,0.86790895,1.3007542,0.5842962,1.2171495,1.0630485,0.9035443,1.3771887,1.0002106,0.7492901,0.85228986,0.92037624,0.7069907,1.2222509,0.87151825,0.93135816,0.6430783,0.74513227,0.77688986,1.23835,1.0102363,0.0,1.2280394,1.1041067,0.670397,1.3475661,0.76224226,0.6350955,1.2872124,0.73337966,1.1733094,1.0606291,0.9368199,0.8287993,1.1831304,0.6871213,1.2152207,0.96757096,1.3122991,0.7680013,1.0462586,1.0138863,1.0145369,1.2223041,0.8099674,1.2543967,1.0479139,0.83385915,1.2703207,1.0255754,1.2587931,0.7964878,0.91628766,1.3623255,1.2666863,0.8085581,1.3145368,0.8145907,1.0335317,0.522956,1.0367694,1.3488284,1.1610652,1.2000494,1.1138508,0.7818789,0.6013468,0.96641564,0.8525865,1.064144,0.72348744,0.73895335,0.83867574,1.3510511,1.1776812,0.629143,0.9412484,0.6000639,0.6095384,0.827986,1.1700121,1.0048307,0.98345447,0.7158902,0.8368734,0.69225514,0.96690565,0.9205561,0.992373,0.45117307,1.1573755,0.9663958,0.92384905,1.3261561,1.08852,0.9376962,1.1698177,0.7491317,1.1983176,0.6626648,1.1817485,0.90880555,1.1550431,1.0166537,1.2258477,1.2918527,1.2468646,0.5543608,0.7880298,1.0336733,1.2317915,1.1367937,0.84950143,1.1529113,1.1941962,1.1944733,0.5812342,1.2035977
