,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,closet,coat,coffee,comb,corn,couch,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.2740071,0.56382465,1.329551,1.21111,0.67227536,0.69231135,0.7439703,0.98094666,1.2618862,1.3719097,0.0,1.3184242,1.2951,0.93145937,1.3353763,0.8687293,0.7875217,0.9719711,1.1373478,0.9040303,0.87057555,0.89849055,0.37719667,0.60225636,1.0008881,1.0694101,0.818744,1.1913,1.2819797,1.1384062,1.0609512,1.2370902,1.2464876,0.17838126,1.2718441,0.8654925,1.2101183,1.279105,1.0059534,0.9707461,1.0912285,0.8726217,0.83783454,0.5559786,1.0797844,0.65460455,1.4344225,0.62883824,1.2437502,0.6371051,1.2507935,1.2266024,0.52989906,1.2774765,1.0342923,1.1448373,1.2940085,1.2467502,0.6880202,1.2747129,1.2770085,1.1166232,1.0401033,0.59862447,1.1771834,0.72486174,1.3604822,1.3319569,1.267789,1.068552,0.9551498,0.40983176,1.0949439,0.68370897,0.6135919,0.4629255,0.8253542,0.9432825,1.2335826,1.2244171,1.0070049,0.2979082,0.35774982,1.2868518,0.95055187,0.66884226,1.0080285,0.834153,0.68664014,1.2465723,0.8663257,1.1872458,1.0853037,1.3137335,0.710598,1.1695971,1.214085,1.1043367,1.1933491,0.8259629,1.2914023,0.32633138,0.37614822,0.7249525,0.7386801,0.69708157,1.269945,1.3632491,1.3053033,0.8781115,0.51807314,1.0063497,0.713421,1.1301243,1.1479125,1.3306863,1.027197,0.31351817,1.1778252
bench,0.7962502,1.3650738,1.138682,0.88892245,1.3128935,1.3124812,1.3944429,0.77670324,0.6958591,0.56376445,1.3184242,0.0,0.96063274,0.9826854,0.72137755,0.8708742,1.1891962,0.9637813,0.76843166,1.2797607,0.842291,1.0757058,1.1332375,1.2179325,1.0451872,0.7023327,1.1365591,0.6950536,0.9108164,0.9909968,0.9538129,0.8540007,0.60007066,1.3886331,0.35965526,1.2818393,0.8743551,1.0684263,0.69415116,0.8274834,1.048016,1.2199078,1.4105241,1.2103475,0.95300907,1.3064271,0.94880015,1.3765996,0.8889756,1.4396725,1.0306246,1.0805491,1.3856883,1.02718,1.1316288,0.9364885,0.98163676,1.0538665,1.2631435,0.77638674,0.81102073,0.96916974,0.81938505,1.1215395,0.28518283,1.2077346,0.8506413,0.94596887,0.6927831,1.0950638,1.2296315,1.4327257,1.0180812,1.2005141,1.2657413,1.4316301,0.7191437,1.1390257,0.9507454,0.77560115,0.9528718,1.4015512,1.4379387,0.98027164,0.9152117,1.3830595,1.2127956,1.2465972,1.3244815,0.76772904,0.96694165,0.5636204,1.009703,0.9013103,1.1013831,0.9419641,0.91063404,0.93265253,1.0314865,0.9309467,0.6843366,1.3496544,1.3256264,1.0582784,1.3885562,1.1733786,0.6861019,0.824574,0.75284445,1.1408558,1.4014099,1.1539271,1.32868,0.9903362,1.0607723,0.6940092,0.63222015,1.4421917,0.6868044
bib,0.7621758,1.3751044,0.9379893,0.46207654,1.2387683,1.1681954,1.4226066,1.4034908,0.8511761,0.60799396,1.2951,0.96063274,0.0,1.1402012,0.57015234,1.3495045,1.3335419,1.2021152,1.211627,1.3740005,1.1155175,1.3253093,1.4741731,1.4028282,1.0164545,1.1145285,1.3115586,0.8850498,0.62204754,1.128116,1.1919454,1.0744419,0.5680837,1.4173434,0.9052809,1.3289034,1.0281782,0.96349853,0.803187,1.1922114,0.6055299,0.66568285,1.1948625,0.93966955,0.69785273,0.83789796,0.786775,1.4828352,1.0511507,1.2311981,0.9950019,0.7291126,1.0470932,0.89286983,1.1296124,0.5045468,0.94241315,0.60830396,1.237721,1.0193584,0.4463812,1.152114,0.5470725,1.4508827,1.1066537,1.4175456,0.7551385,0.8889619,0.97738063,0.6262317,1.3164775,1.0439113,1.2186506,1.2011759,0.95106184,1.4155284,1.2276273,1.1179856,0.50983584,0.4678678,0.99774814,1.3777325,1.3712497,0.97525096,0.89896375,1.2405283,1.3323942,1.469783,1.3332163,1.0633521,1.3593881,0.78412044,0.8512454,0.6604313,1.2040544,0.18243134,1.0450525,0.7039973,0.9740085,1.4146409,0.84196126,1.3727516,1.3472937,1.1179961,1.254538,1.2462752,1.0108213,0.38340026,0.7341102,1.468112,1.0002211,0.62553126,1.2360387,1.1657326,1.3297383,1.1263702,0.93313736,1.1350216,0.76391447
bird,0.9334202,0.8341998,1.1134477,1.1081078,1.0118777,1.0220175,0.99045175,0.9826479,1.1528381,1.0841495,0.93145937,0.9826854,1.1402012,0.0,1.1522068,1.0219291,0.9281102,1.1741638,1.0262519,0.9230411,0.8409751,0.88909537,0.8076502,0.8754126,0.55908847,0.8777509,0.88674504,1.0507835,1.102137,0.93691456,1.1021307,1.1866555,1.1024979,0.98538834,0.9601599,0.9614413,0.6238837,0.8942463,0.89741033,1.0381161,0.9959663,0.963042,0.923849,1.0193722,0.9679372,1.0856203,1.151789,0.854671,1.1147168,1.0138043,1.1422728,1.0502168,0.95822686,1.0807934,1.1090713,1.0598235,1.1389782,1.2209067,0.86732733,1.1694822,1.0631655,1.0235878,1.0575416,0.9691189,0.9754473,0.9589001,1.1494507,1.1519911,1.0240437,1.1289617,0.90674996,1.0345618,1.029145,1.0677636,0.9112847,0.9611544,0.9332903,0.6240432,1.1534414,1.0055823,1.0785755,0.9875761,0.960562,1.1160324,1.0379612,0.97667384,0.8980202,0.9714372,0.8100183,1.1037917,0.98809296,0.97417146,0.92110693,1.1119411,1.048469,1.1544769,1.0336797,1.0216172,0.96667886,1.0092487,1.1964463,0.94427943,0.9744609,0.84854776,0.9988268,0.8072862,0.97242945,1.1806343,1.1234384,0.9390153,0.94225323,1.1074523,1.0996403,1.0606271,1.04157,1.033765,0.9339529,0.90746945,1.0707557
blanket,0.66310585,1.3908904,1.1088791,0.6420424,1.358324,1.3482238,1.4532735,1.248094,0.7037522,0.115691304,1.3353763,0.72137755,0.57015234,1.1522068,0.0,1.2566733,1.4492745,1.047643,1.1307995,1.3603411,1.153363,1.3656759,1.464432,1.3521278,1.022109,0.8833053,1.3367419,0.5617156,0.54716563,0.9856227,1.2109082,1.0618638,0.20434773,1.4932654,0.64205194,1.4072961,0.88470435,0.9446094,0.76849604,1.1932837,0.66313523,1.0217336,1.4008739,1.0954946,0.8140391,1.2196664,0.7809057,1.3355244,1.1180196,1.4588467,0.8008973,0.9310024,1.3264551,0.8226722,1.147666,0.6874773,0.869969,0.8313259,1.3433867,0.86849517,0.496777,1.1847656,0.5320881,1.402735,0.9634917,1.5070255,0.784987,0.74441063,0.8316195,0.9863586,1.2647892,1.3538253,1.0468395,1.2384349,1.1063606,1.4610455,1.0937954,1.1259311,0.37324607,0.5048052,1.0724565,1.4821502,1.507922,0.88631713,0.69455314,1.3784482,1.154155,1.414757,1.3458395,0.8399246,1.2801391,0.7397202,0.8738978,0.6213938,1.2295676,0.55840236,1.0380298,0.7981283,1.0367237,1.2961423,0.6659471,1.3728687,1.4562703,1.0470831,1.433289,1.3531713,0.8405332,0.2800811,0.3587513,1.3670117,1.3713875,1.092788,1.293962,0.9334434,1.0810243,0.8987484,0.8898355,1.4000535,0.617854
book,1.1965821,0.98927206,1.0483073,1.28896,0.99118954,0.9182865,0.9786608,0.47596085,1.1547124,1.2008612,0.8687293,0.8708742,1.3495045,1.0219291,1.2566733,0.0,0.6101739,0.9145172,0.31551373,0.9245877,0.8048037,0.5131878,0.58986557,0.6948617,1.1387721,0.9379338,0.68086237,1.1613609,1.3509624,0.89640886,0.7789266,0.7618309,1.1829123,0.7750099,0.92131996,0.80152345,1.0721767,1.1409835,1.1187372,0.58698213,1.2894276,1.3150003,0.98893774,1.1173874,1.2520603,1.1683507,1.169485,0.7528687,0.9465186,0.8820788,1.122733,1.170394,1.1150749,0.9867505,0.94753593,1.3610595,1.229934,1.2315972,0.96111286,1.0718015,1.360657,0.678764,1.2495496,0.5351557,0.89401925,0.7400063,1.2384129,1.1313695,0.9809606,1.2993075,0.9513153,1.1187212,0.6417383,0.72790647,1.1889055,0.96542454,0.57379913,1.0151492,1.2322836,1.3546509,0.4059676,0.762539,0.7727562,1.206508,0.91492754,1.0845548,0.75816673,0.63490474,1.0099573,0.86926055,0.6384165,0.9133928,1.1298555,1.0319996,0.90967333,1.3989108,0.92963487,1.1881179,0.9931309,0.6492003,1.2449328,0.85445607,0.9510936,1.012073,0.87365794,0.9218979,0.98150235,1.3861923,1.1388919,0.7113158,1.1035506,1.2724483,0.9738679,0.77166367,0.95347065,0.67189133,0.9536672,1.0412123,1.1113379
bottle,1.3356534,0.7552794,0.861285,1.3227384,0.8306174,0.76351374,0.73885,0.6241194,1.1987038,1.4260426,0.7875217,1.1891962,1.3335419,0.9281102,1.4492745,0.6101739,0.0,0.9097008,0.7024945,0.8454482,0.74651015,0.36530805,0.41461945,0.51330185,0.849223,0.88118047,0.761912,1.2752124,1.3153989,0.85021186,0.6673714,0.8674581,1.40521,0.6363286,1.1748428,0.26683772,1.0842997,1.2271678,1.1808738,0.9694803,1.2206942,1.2382506,0.801201,1.0897502,1.3065546,1.1477119,1.2883736,0.5926094,0.9356816,0.7410182,1.2376245,1.0145482,0.981789,1.1877329,0.94117814,1.3848764,1.2278094,1.3357894,0.83275354,1.1647071,1.3514051,0.5920296,1.3602501,0.6141268,1.0432744,0.7251079,1.2545344,1.2656873,1.1481515,1.3160799,0.9060886,0.9554854,0.8314804,0.87470233,1.1023586,0.7027982,0.8265853,0.690362,1.3286275,1.3933747,0.95895123,0.6789489,0.6975684,1.2092434,1.055512,0.9884874,0.65432775,0.70440304,0.7888281,1.0267525,0.8330016,1.1037246,1.2626498,1.0967079,0.95731175,1.4506562,1.0742418,1.2263834,1.0977616,0.71402436,1.1751716,0.76929986,0.62979525,0.8655737,0.78640515,0.4514323,1.1195663,1.4285015,1.2213825,0.8056592,1.0351212,1.2610159,0.7585381,0.87107795,0.91127795,1.0622711,0.9454158,0.72820663,1.1916326
bowl,1.2158706,1.0449296,0.86293834,1.2274222,0.94500655,0.9629977,0.88307405,0.8896917,0.4042492,1.0277992,0.9719711,0.9637813,1.2021152,1.1741638,1.047643,0.9145172,0.9097008,0.0,1.0105971,0.94276315,1.0666363,0.9056764,0.92794746,1.0161365,1.117614,0.9969052,0.9907081,1.0930321,1.1653607,0.81006044,0.89917916,0.98428583,1.0359464,0.98459774,1.0748023,0.7553115,1.1265317,1.0774072,1.1913033,0.94320434,1.1636975,1.2274076,1.0550872,1.1323545,1.2965267,1.1777728,0.9927186,0.9372767,0.9800131,0.8820129,0.7289746,1.0561289,1.1707543,1.0879644,0.7881657,1.2581849,0.83400536,1.1807595,1.0094547,0.72322536,1.2308663,1.0169477,1.101614,0.9534444,1.0035496,0.8430548,0.8893371,0.99891436,1.109119,1.169489,0.9743125,1.1383909,0.9004038,0.94087416,1.2397957,0.9131328,1.0228838,1.0644915,1.1115252,1.1787263,1.0465826,1.0172594,1.0412346,0.8270071,0.8906412,1.1482695,0.86701286,0.674517,1.0419062,0.44724762,0.8648673,1.1097771,1.0838401,1.1620756,0.7734817,1.2615571,0.95870596,1.1274381,0.87110126,0.79900765,0.61984915,0.8364098,1.0156788,0.8717528,0.86779153,1.032977,1.1141907,1.2225167,0.9658146,0.7890265,1.2022161,1.1844871,1.0648205,0.9211124,0.7099815,0.6297809,1.1963378,1.1089132,1.1627369
box,1.0947782,1.0689412,0.87320936,1.1358612,1.1231956,1.1299069,1.1363288,0.47473693,1.1273327,1.0988393,1.1373478,0.76843166,1.211627,1.0262519,1.1307995,0.31551373,0.7024945,1.0105971,0.0,0.9769506,0.9402727,0.34668887,0.68299794,0.96772885,1.1258334,0.8794635,0.6110485,0.9472322,1.219704,0.75872135,0.93383396,0.8107831,1.1107576,1.1446856,0.7100579,0.7713587,0.9692788,1.0077398,0.89170676,0.52840495,1.1576537,1.2828398,1.1466534,1.1387413,1.1196053,1.3040309,1.0803618,0.9436294,0.9107506,1.2189337,1.0834521,0.994313,1.2136507,1.0445658,1.0340011,1.2369103,1.1342098,1.2042255,1.2061176,1.0508047,1.1991564,0.38913375,1.1954137,0.8810812,0.7147505,0.8506369,1.1297247,1.0790154,0.9060648,1.2047421,0.9680001,1.3429881,0.8800394,0.89873374,1.1916275,1.1220595,0.5762924,1.062524,1.1214536,1.1622007,0.68232787,1.1511259,1.1243591,1.1140865,1.0895436,1.2020382,0.85771585,0.85020494,1.034068,0.7848108,0.8097763,0.71975124,0.97350657,0.9479885,1.1720726,1.2660685,0.9045347,1.1268656,1.0448862,0.72481036,1.176678,1.1665934,1.1535692,1.1121215,1.1256206,1.0046632,0.8984984,1.1968439,1.1243606,0.7990396,1.2441707,1.2591461,1.1978176,0.94150966,0.9045203,0.6775948,0.8434851,1.2468886,1.0126867
bread,1.123421,0.5707232,0.8960345,1.2941542,0.7655302,0.9405718,0.44880354,0.81058276,1.0925578,1.37045,0.9040303,1.2797607,1.3740005,0.9230411,1.3603411,0.9245877,0.8454482,0.94276315,0.9769506,0.0,1.0807697,0.8788552,0.89286196,0.7955491,0.929308,1.0709004,0.7639506,1.1779075,1.1575043,1.0317376,0.9047091,1.0994776,1.3973365,0.76976275,1.2717109,0.7406863,1.0066165,1.0027294,1.3077495,0.95676774,1.2000849,1.2078903,0.6132457,1.1234143,1.1716062,1.0699615,1.2118686,0.7022464,1.0713992,0.7044929,1.1151288,1.1893673,0.8946616,0.95147175,1.0333052,1.2784128,1.0898696,1.2086607,0.84863913,1.0798472,1.2953969,0.932588,1.3637333,0.66826653,1.1333447,0.70514953,1.1422993,0.9967048,1.194702,1.1852738,0.03252983,0.8965973,0.7657081,0.9041646,0.99368733,0.51221126,1.065117,0.9006794,1.3558276,1.4145168,1.0310847,0.76306593,0.69114625,1.075433,1.1522503,0.49703407,0.85427636,0.28938776,0.56690997,1.1520765,0.8983382,1.3147509,1.166401,1.2060292,1.0030645,1.3733059,1.0814044,1.2091339,0.9865063,0.83112365,1.2015545,0.90138525,0.7951342,0.95658237,0.7019174,0.8955406,1.1782746,1.3111558,1.1578894,0.646825,0.96525824,1.140518,0.9698095,0.80899423,0.90480244,1.0038667,1.2957215,0.88502485,1.2688401
broom,1.0561272,1.0272536,0.9865649,1.1364646,1.1115526,0.93354666,1.0348126,0.7249064,1.0317844,1.0717254,0.87057555,0.842291,1.1155175,0.8409751,1.153363,0.8048037,0.74651015,1.0666363,0.9402727,1.0807697,0.0,0.7744669,0.70640975,0.60203975,0.8889132,0.726688,0.9734422,0.9955389,1.1389549,1.1196594,0.91260326,1.0071086,1.0217978,0.829071,0.8100362,0.9268096,0.8958988,1.2498623,0.61780715,0.9059824,1.2260342,1.1736815,1.082921,1.095029,1.1583248,1.1314046,1.1673477,0.83626676,1.0539651,0.76147705,1.2552483,1.0505438,1.0447891,1.1698765,1.1686003,1.1446753,1.2515786,1.212979,1.0205377,1.1490169,1.1276193,0.9206508,1.0911009,0.7408255,0.8201677,0.86663526,1.1427658,1.2445575,1.0738747,1.2139382,1.0845844,1.0864719,0.98984843,0.95595044,1.1054577,1.0193456,0.67707175,0.8965432,1.1539869,1.0879291,0.9890958,0.7876206,0.87220335,1.2433271,0.9988483,1.0825591,0.84065616,0.92637646,1.0197293,1.1121209,0.9957475,0.7056786,1.0620472,1.0234903,0.86162734,1.1623083,1.1419946,1.216116,0.9078648,0.6582833,1.0547452,0.9919148,0.8975349,0.87357825,0.78682625,0.5120419,1.0487761,1.1808323,1.0956748,0.98378,1.1105142,1.1445159,0.8062945,1.0126392,1.1997838,0.98739076,0.3807956,0.9211444,0.71464956
bucket,1.2864962,0.86934716,0.8573395,1.2750204,1.0093032,0.927877,0.98060447,0.4824518,1.2136219,1.336643,0.89849055,1.0757058,1.3253093,0.88909537,1.3656759,0.5131878,0.36530805,0.9056764,0.34668887,0.8788552,0.7744669,0.0,0.38611352,0.63712406,0.8760346,0.7448132,0.6207343,1.1989821,1.3005261,0.48182356,0.87402487,0.9884791,1.2923558,0.8307611,0.9852106,0.3863777,0.9731777,1.184649,1.0293336,0.71415806,1.1867468,1.2895479,0.90706927,1.1617702,1.3109214,1.2716212,1.3326838,0.7265414,0.9425482,0.8774688,1.3073186,1.0486393,1.0896865,1.1671202,1.1669302,1.3890219,1.2764076,1.4131858,0.8906724,1.1343875,1.3360938,0.29537338,1.3334143,0.66670007,0.93411523,0.6536764,1.3637595,1.266298,1.0587417,1.3203044,0.90652925,1.1638622,0.83456576,0.8510206,1.178897,0.8645639,0.6183818,0.7639641,1.2912188,1.2842108,0.97669953,0.8470576,0.83103645,1.2533355,1.0510747,1.1140144,0.6997022,0.6917039,0.8590411,0.8555336,0.6916269,0.88589704,1.1021926,0.99614084,1.0381987,1.4267156,0.96346545,1.2347325,1.0820203,0.63603026,1.2304361,0.88372236,0.9164261,0.8810705,0.85027814,0.608131,1.018504,1.382706,1.2679987,0.6156975,1.1533967,1.313021,1.0638945,0.91189706,0.97198975,0.8210819,0.83108985,0.91387314,1.1501473
can,1.3628833,0.64787745,1.2071888,1.3286211,0.76377225,0.7356883,0.82190037,0.6244708,1.3023753,1.4407905,0.37719667,1.1332375,1.4741731,0.8076502,1.464432,0.58986557,0.41461945,0.92794746,0.68299794,0.89286196,0.70640975,0.38611352,0.0,0.4564247,0.9051108,0.8856334,0.6392593,1.2242029,1.4143233,0.8611478,0.9581492,1.139103,1.3180302,0.3989687,1.0819755,0.564286,1.1110166,1.2741138,0.9260787,0.7479823,1.2330253,1.0473274,0.84231603,0.78593034,1.2734623,0.94177914,1.501775,0.5764761,1.1080239,0.7457644,1.325714,1.1741235,0.83389455,1.2230133,1.0625627,1.3880768,1.4026047,1.4214394,0.6695688,1.2340647,1.4030762,0.7578555,1.1842915,0.55553794,1.0148011,0.67284995,1.4336723,1.3719097,1.1613401,1.2923665,0.9342003,0.79220456,0.933008,0.7658441,0.83197296,0.6080519,0.5923579,0.7618914,1.3359413,1.3306353,0.96115994,0.47730798,0.53411096,1.3788456,0.92912704,0.8639792,0.76093537,0.7488148,0.70862883,1.0347366,0.75815606,0.9945267,1.1170357,1.2283201,0.7998323,1.4439346,1.111702,1.2654245,1.15842,0.6918365,1.3392444,0.41363025,0.5165886,0.7027507,0.81349635,0.51817715,1.1502305,1.5208985,1.3749263,0.6478049,0.769835,1.221223,0.7871835,1.0118217,1.0718311,1.1125714,0.80385333,0.5099155,1.2210588
car,1.2977619,0.6922795,1.1148176,1.3458843,0.7438195,0.67435837,0.7905125,0.689753,1.2640277,1.3322601,0.60225636,1.2179325,1.4028282,0.8754126,1.3521278,0.6948617,0.51330185,1.0161365,0.96772885,0.7955491,0.60203975,0.63712406,0.4564247,0.0,0.81773376,0.7626604,0.74857664,1.2385477,1.2552665,0.9513973,0.9072094,1.09895,1.2115469,0.50324285,1.1509407,0.67743075,1.0328236,1.2481081,1.065683,0.96822995,1.2661371,1.2384341,0.78779095,1.0863601,1.2776971,1.0924293,1.4010255,0.3918661,1.0018697,0.6721947,1.302318,1.2410396,0.8403307,1.1352458,1.0445175,1.2698164,1.3155503,1.346596,0.6077074,1.2014108,1.3042955,0.9408198,1.1921539,0.56749576,1.1107428,0.6617853,1.4393213,1.2551663,1.1485965,1.258904,0.84262675,0.83542097,0.7734553,0.7216757,1.0720953,0.6320338,0.8078107,0.70668125,1.3008904,1.3267348,0.9884304,0.5156995,0.54597616,1.2996781,0.8659211,0.8618549,0.70539755,0.6383045,0.7571509,1.1661798,0.768823,1.1369877,1.2239845,1.0905613,0.80853754,1.4058381,1.0976546,1.2195363,1.1577718,0.571543,1.2212017,0.6532749,0.5566483,0.8390543,0.7354138,0.48342282,1.0957509,1.3594323,1.2840523,0.8114868,0.97766584,1.2796779,0.7190213,0.835969,1.0169017,1.1571786,0.8758881,0.6301083,0.97150385
cat,0.8469903,0.9332818,1.1040244,1.0190849,1.0924017,1.0297552,1.1022527,1.0403177,1.0759041,0.96484774,1.0008881,1.0451872,1.0164545,0.55908847,1.022109,1.1387721,0.849223,1.117614,1.1258334,0.929308,0.8889132,0.8760346,0.9051108,0.81773376,0.0,0.7060918,1.0377492,1.0408303,0.90128595,0.81792617,1.0211438,1.1979556,0.9474807,1.0220096,1.0088476,0.94551265,0.35510314,1.1450552,0.9518781,1.1436388,0.99241304,1.0856116,0.95369905,1.139536,1.0220164,1.1879125,1.2165794,0.9266761,0.93576616,1.0758775,1.3278518,1.1311992,1.0178393,1.0976275,1.3203118,0.9060127,1.2535934,1.23507,0.82453895,1.1114815,0.9104889,0.97415745,1.0179532,0.990768,1.0825555,1.0149822,1.2438526,1.1188177,1.0194753,1.1982174,0.9078345,1.1163311,1.0129547,1.0568162,0.96997416,0.962731,0.9752323,0.24752319,1.1233681,0.8843672,1.2758636,1.0236216,1.0036658,1.2369245,0.9695133,1.0875721,0.8719976,1.0014187,0.91239774,1.0510871,0.9438969,1.0298772,1.0022246,0.8555349,1.1373637,1.0354035,0.9802563,1.0215589,1.1426708,0.9717712,1.0732554,1.0064456,1.0270888,0.6205575,1.0819837,0.729604,0.93743926,0.9547148,0.98117673,1.1407657,1.0965745,1.2098198,1.1706018,0.9938573,1.1331117,1.1590092,0.90284026,0.9000583,0.9842404
chair,1.0803981,1.1170764,1.0292852,1.0421884,1.3045833,1.1660979,1.120433,0.71572703,0.9240593,0.7553195,1.0694101,0.7023327,1.1145285,0.8777509,0.8833053,0.9379338,0.88118047,0.9969052,0.8794635,1.0709004,0.726688,0.7448132,0.8856334,0.7626604,0.7060918,0.0,1.0092155,0.86714166,0.9811778,0.7214581,1.0331209,1.0240574,0.85870045,1.086987,0.4819194,0.9488031,0.800782,1.1180224,0.82957894,0.91185546,1.0460448,1.2634987,1.1603934,1.1959609,1.1974785,1.2760671,1.1982841,0.98125243,0.98914117,1.0881407,1.2367706,1.0997782,1.1437912,1.1789856,1.3643997,1.0980761,1.1820419,1.2232789,0.9780373,0.9643007,1.0221109,0.93530726,1.053854,0.859598,0.7183862,1.0173507,1.2709546,1.1135262,0.86668056,1.2118374,1.0601432,1.2839047,0.9461417,1.0358967,1.2160114,1.1208894,0.8879683,0.81400335,1.0618564,0.96160495,1.2003697,1.0716217,1.0680296,1.1612787,0.9789238,1.2275218,0.9193489,0.9739047,1.0851723,0.88424903,1.0021473,0.88740003,1.0280528,0.8010774,0.9523922,1.1716214,1.0089304,1.0650783,1.1316175,0.7984742,0.7460384,1.0969808,1.1611221,0.8768314,1.0870007,0.70364976,0.79127896,0.95881873,0.82834065,1.0523913,1.3119122,1.3126411,1.1895788,0.8967992,0.97310674,0.9459205,0.65871096,1.0743308,0.6832785
clock,1.1641475,0.6782581,1.0342385,1.2546732,0.7278995,0.78641486,0.88956606,0.67457145,1.1337967,1.3082054,0.818744,1.1365591,1.3115586,0.88674504,1.3367419,0.68086237,0.761912,0.9907081,0.6110485,0.7639506,0.9734422,0.6207343,0.6392593,0.74857664,1.0377492,1.0092155,0.0,1.0724745,1.2170047,1.001973,0.7661704,1.0531247,1.3679963,0.7422276,1.1068686,0.8030484,1.1015605,1.1133857,1.0820262,0.70270383,1.2152182,1.1756389,0.7665658,1.0036178,1.145771,1.1532811,1.2683498,0.7059413,1.0489085,0.8503288,1.2610195,1.1358907,0.9669344,1.1305444,1.0665739,1.2995048,1.1843553,1.3035138,0.86001503,1.1353819,1.2869815,0.7027515,1.3264577,0.63229764,1.0498081,0.4782561,1.1327964,1.2451708,1.1136248,1.1870009,0.78346026,0.96754295,0.9792302,0.7421552,0.9943168,0.75026506,0.7624095,0.8442143,1.2884426,1.3874476,0.94195294,0.7294909,0.7000754,1.1718047,1.2038287,0.9168815,0.8673252,0.6257805,0.67731637,1.0815353,0.8481815,1.1347979,1.0684109,1.2417408,1.0747511,1.3395436,1.0838511,1.1665313,1.0653613,0.757843,1.2285845,0.872547,0.8112737,0.8547423,0.8443151,0.8827529,1.0879235,1.3235575,1.2094026,0.56106853,1.0564829,1.1757413,0.9848651,1.0714314,1.0056691,0.9277855,1.0887913,0.85363626,1.1622286
closet,0.69609946,1.1138967,1.1621406,0.7962769,1.1219487,1.2350509,1.2905164,1.1229037,0.8569584,0.46073806,1.1913,0.6950536,0.8850498,1.0507835,0.5617156,1.1613609,1.2752124,1.0930321,0.9472322,1.1779075,0.9955389,1.1989821,1.2242029,1.2385477,1.0408303,0.86714166,1.0724745,0.0,0.8426652,1.1797924,1.112635,1.0566999,0.615855,1.3725452,0.5192507,1.3293602,0.82286036,0.90472245,0.5387463,1.0615147,1.0393947,1.1061018,1.2677133,1.0299937,0.6971798,1.2342286,0.94995105,1.1677289,1.1181594,1.4286082,0.9571071,0.97348815,1.2056446,1.086884,1.1129742,0.7925259,0.9262003,0.99550605,1.3004371,0.8941183,0.72237027,1.0191697,0.88905764,1.3324434,0.8240661,1.2113475,0.8384845,0.9716449,0.74449277,0.97914463,1.126853,1.2729325,1.1894875,1.1803043,1.022428,1.1962683,0.90885055,1.1648717,0.94241345,0.77974266,1.1426013,1.3999748,1.3888261,0.94086725,1.0486976,1.2516983,1.0982434,1.3043195,1.081392,0.9398144,1.1691724,0.56591535,0.9376942,1.0225635,1.2515811,0.85249054,1.1306016,0.9440831,1.1048445,1.1016877,0.74039245,1.3837553,1.2487302,1.0982414,1.3933986,1.2393843,0.7774474,0.6594453,0.5999455,1.198554,1.2805176,1.0960183,1.2404088,1.1402856,0.9496722,1.0104977,0.73116124,1.3641899,0.5592989
coat,0.75235045,1.2496376,0.9084733,0.73415107,1.2514012,1.2821299,1.2585368,1.2086662,0.8511243,0.64350057,1.2819797,0.9108164,0.62204754,1.102137,0.54716563,1.3509624,1.3153989,1.1653607,1.219704,1.1575043,1.1389549,1.3005261,1.4143233,1.2552665,0.90128595,0.9811778,1.2170047,0.8426652,0.0,1.0304537,1.0021622,0.9979705,0.71807516,1.2935045,0.98865825,1.2231714,0.9529717,0.9851831,0.9510229,1.2473034,0.74311745,1.0551721,1.2038467,1.1614323,0.8989616,1.0290575,0.87519056,1.2471282,0.99175614,1.130408,0.9931628,0.9552427,1.1866014,0.90134895,1.1086228,0.83321446,0.9045879,0.72314334,1.2692862,0.93267316,0.42458594,1.126572,0.90862685,1.1955302,1.0301036,1.2648463,0.8847253,0.8226304,0.9702837,0.9635695,1.0937932,1.157148,1.1058931,1.2001916,1.1765947,1.2880071,1.2096643,1.057803,0.6561843,0.60414493,1.1576496,1.246047,1.2296782,0.91151524,1.058554,1.2142779,1.1589911,1.2503138,1.2187947,1.0728573,1.2506561,0.9462145,1.0667726,0.7242135,1.1959138,0.6547152,0.99613297,0.854204,0.9281039,1.2008151,0.7366578,1.3475409,1.2904592,1.1154194,1.1127496,1.1625628,0.97790325,0.26945806,0.5768858,1.2390761,1.1653327,0.9731029,1.1479243,1.0348822,1.1301451,1.0925782,1.0701574,1.2798259,0.7341542
