,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,mop,motorcycle,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.2450994,1.0841961,1.1969818,0.9281904,0.88814247,0.8949932,1.0459056,0.87198675,0.97364974,1.2269892,0.9051068,0.9833161,0.9495845,1.0787838,0.9434232,0.9124797,1.0480864,1.0761989,1.0197341,1.2242203,0.99150693,1.0347775,1.0774779,1.090878,1.0690086,1.0888057,0.940153,0.7554811,1.2373207,1.0983154,1.0109726,1.0492088,0.9975667,0.91010725,1.1201922,1.0297327,1.2446748,0.80124056,1.0168211,0.8335097,0.8076246,0.9324982,1.0465814,1.052139,1.1190419,1.0936495,0.9757094,1.2632868,0.933418,0.9085607,1.1168728,1.2526166,0.55329126,0.95663834,1.2560782,1.1144996,0.8848459,0.9338112,1.146,1.0956228,0.7684333,1.1346176,1.0233608,1.1661245,1.2511926,0.93457913,1.0726149,1.0959426,0.9011576,0.99384725,1.0105482,1.0792006,1.2791497,0.88938403,1.1912258,1.111245,1.062576,1.1494751,1.093184,1.1238403,1.2048708,1.2643335,0.89130026,1.0983888,0.92178196,1.0709515,0.033351064,1.1157006,0.7610293,1.0151652,0.8820128,1.0387586,1.0387704,1.0320716,0.017596722,0.91351163,1.1541839,1.0939887,1.1160069,1.1953834,1.1365762,0.8029405,1.2340037,1.1587087,1.1276822,1.2043146,1.1799725,0.9442927,1.0601183,1.021199,0.94173795,1.2217921,0.92682475,1.0955027,0.8201598,0.6873706,1.0605454,1.0152899,1.272816,0.8222985
ankle,1.2450994,0.0,0.8049921,1.0122362,1.1594954,1.0489339,1.2992104,0.92230594,1.2873446,1.1439648,0.4005229,1.0396119,1.23228,1.0004407,1.1632252,0.9798952,1.1274239,0.9611996,0.95783246,1.1751294,0.6373559,0.8504707,0.85992515,0.6580108,0.6444371,0.8074469,0.66939175,1.2135485,0.99029326,0.70916,1.0518796,0.82339454,1.128412,1.0940974,1.2494578,1.0826803,1.1013474,0.50035095,1.1304872,0.9806992,1.2669005,1.2545068,1.0972807,0.930478,0.970358,0.7305405,0.96386105,1.1024687,0.563537,1.1544731,1.0218112,0.91272837,0.83890736,1.4251449,1.3112555,0.6939022,0.87079495,1.293618,1.315465,0.9941812,0.73750675,1.1389313,1.1147658,0.98246205,1.0602983,0.6116752,0.9263401,0.7618897,0.7927449,1.0529516,1.0686412,0.8760161,1.1915143,0.52919394,0.9728436,0.58802605,0.9232712,1.0325716,0.96828246,0.9682874,0.9568693,0.81824714,0.63306636,1.1557031,0.9921647,1.0956367,1.2648119,1.2096596,1.0880234,1.1608949,1.030069,1.1583544,0.97132224,1.0202523,1.0550574,1.2120094,1.117799,1.0981597,0.9860241,0.633692,0.73932815,1.1020781,1.4239714,0.49326462,0.7351249,0.7808118,0.82311714,0.76608527,1.244359,1.0733173,1.212194,1.1908351,0.4660082,1.1161283,1.1084743,1.1286559,1.379489,1.4047954,0.7946765,0.48609757,1.1712062
apple,1.0841961,0.8049921,0.0,1.3052837,0.40269828,0.5849163,0.51292646,0.9103186,1.1826394,1.3991117,0.80642986,1.321559,1.276398,1.0522429,1.4979545,0.86943305,1.202708,1.0601685,0.7699925,1.284268,0.4354385,0.9712429,0.99703795,0.79141545,0.96569484,0.98979867,0.43545926,1.2701597,1.414491,0.5936289,1.3962466,0.7302027,1.1899437,0.87204176,0.9789524,1.4536227,1.0751576,0.49377227,1.4367517,0.9268751,0.8574506,1.2811424,1.1080737,1.3395736,1.1691105,0.68509966,0.4046086,1.0761899,0.5909281,0.80480593,0.55103725,1.1783562,0.90952456,0.8086431,1.0030552,0.71738756,1.2946151,0.6535165,1.0789155,0.9183567,0.5970514,1.2174656,1.3598889,1.0237598,1.3943131,0.6834424,1.167234,0.7177023,1.2270417,0.3094083,1.2979106,1.1751446,1.3013601,0.34555578,1.1475701,0.9028021,0.33557808,1.4066875,1.3581901,1.3344288,1.1396178,0.90019387,0.792671,0.49724126,1.0900576,1.1244197,0.9417418,1.0125781,0.7566473,1.2279483,0.4865058,1.345952,1.1110579,0.66653717,1.4266238,1.0542847,0.95870465,1.352921,1.1850402,1.0739639,0.7369876,1.218395,1.1193739,0.7942101,0.52464706,1.2696937,0.7428789,0.801072,1.3101721,1.2842379,1.3727448,0.85029155,0.6712464,0.84611505,0.90068805,1.3525094,0.7021602,1.1131142,1.0356729,0.6643075,1.3516608
arm,1.1969818,1.0122362,1.3052837,0.0,1.2696061,1.2462687,1.0528096,1.3908429,0.7883817,0.630114,1.3364444,0.8594723,0.80376244,1.2258853,0.53792346,1.237718,1.1404415,1.2648535,1.3904164,0.9368726,1.2896268,1.2793529,1.3772672,1.256211,1.3872647,1.2680395,1.1742533,0.77444863,1.018702,1.3600264,0.75224066,1.2696754,0.67088664,1.2448826,0.68422323,0.550261,0.7813763,1.3284541,0.8834458,1.3481113,0.993001,0.9523362,0.9649522,0.8980221,1.1660284,1.3443856,1.2330517,0.8429057,0.86056817,0.8975287,1.3857806,0.72566205,1.1206435,0.9597668,0.80596364,1.174499,0.73761714,1.1212544,0.78333163,0.55114067,1.3093222,1.012224,0.51328444,1.2521876,0.46981788,1.3567458,1.1968852,1.4351058,0.6181873,1.1266078,0.58391315,1.1862817,0.7721631,1.1663294,1.2410423,0.98130214,1.2648575,0.8669424,0.49482733,0.61111414,0.8531284,1.290407,1.2580513,0.98866594,0.67757714,1.018634,1.1993903,1.2457887,1.3517985,1.0394528,1.3671907,1.0900621,1.2009381,1.0599114,0.7810484,1.249974,1.2727821,0.39618742,1.033344,1.1029298,1.3868641,0.7656766,0.83934677,1.2221905,1.2546868,0.51317644,1.3444953,0.9792697,0.85421985,0.64439124,0.58339024,1.2623858,0.9871675,0.893001,0.6541129,1.0177613,1.2569215,0.90849257,1.2896017,1.3523376,0.7198523
ball,0.9281904,1.1594954,0.40269828,1.2696061,0.0,0.27615577,0.5254515,0.9276974,1.0815971,1.1784708,1.1459279,1.2094864,0.9090509,1.0513082,1.2213848,0.89451873,0.9937823,1.058428,0.78816795,1.0774968,0.9042201,1.1832387,1.0065348,1.0564901,1.1947155,1.1220714,0.79518354,1.0671914,1.360778,0.78393406,1.2155216,0.85716593,1.0762023,0.90761334,1.01528,1.2965661,1.0984652,1.0181676,1.2197957,0.88862133,0.8289093,1.0822554,1.0733123,1.2926921,1.0865786,0.8015245,0.48945206,1.0621749,1.0289165,0.6807321,0.7000258,1.1508948,1.1309634,0.6173043,0.90775764,1.0776922,1.2199907,0.46755528,0.93777245,1.0538634,0.72269356,1.1812986,1.2378424,0.92813,1.3267934,1.1565845,1.2742267,0.8473544,1.2320346,0.44156468,1.0979185,1.1696289,1.2116387,0.85693365,0.9946598,1.1823272,0.45730615,1.279618,1.3208612,1.294807,1.0776347,1.0598006,1.1313243,0.6794145,1.1551874,0.76029944,0.77886426,0.92418164,0.80063295,1.1327403,0.4315892,1.0857339,1.0212346,0.71023566,1.3110166,0.9054296,0.86259544,1.2271515,1.0715404,1.1594809,1.128979,1.1156626,0.7692473,1.0485988,0.84322107,1.2229939,1.03921,1.0282067,1.1036985,1.2379811,1.1258687,0.6516741,1.0353647,0.90840155,0.97849023,1.0598383,0.3934374,0.8733978,1.2565429,1.0647589,1.2129823
balloon,0.88814247,1.0489339,0.5849163,1.2462687,0.27615577,0.0,0.7609508,0.9579559,1.0834999,1.1999842,1.0541204,1.2506717,0.967103,1.0474408,1.2393672,0.86272216,0.9544991,0.93329525,0.7863928,1.0124159,0.9951187,1.1209662,0.8906124,1.0398575,1.0744284,1.0190332,0.8720039,1.1112831,1.2119074,0.7264081,1.1636744,0.91959405,1.0651348,1.0263658,1.0950027,1.2549602,1.092591,0.9537039,1.2227603,0.87981665,0.8660976,1.1082994,1.0725393,1.1810777,0.9252509,0.85632795,0.61438024,1.1042545,1.0294378,0.82569623,0.80028176,1.2032529,1.0111886,0.788654,0.887991,1.049767,1.2098641,0.5584198,0.9449586,1.1068165,0.73623705,1.1127597,1.2216333,0.8863005,1.3286052,1.0718255,1.1941367,0.67784,1.1973453,0.6588988,1.1829314,0.97878945,1.2701643,0.81416595,0.94303983,1.0532534,0.5961431,1.1958395,1.2972518,1.2979429,0.94697547,0.97004807,1.0336568,0.807683,1.1992669,0.81137145,0.9295113,0.88994414,0.9483465,1.0989805,0.67688143,1.0156215,0.9279937,0.7467204,1.2269907,0.85733116,0.8260976,1.198163,0.99046475,1.0703266,1.0999781,1.0706869,0.87241167,1.0218331,0.83798647,1.2304735,0.984625,1.0426235,1.1558043,1.2697471,1.1898642,0.7074244,0.9344816,1.0024408,1.0289376,1.0993998,0.5533338,0.97407115,1.1521895,0.9681638,1.1443422
banana,0.8949932,1.2992104,0.51292646,1.0528096,0.5254515,0.7609508,0.0,1.1004496,0.7685221,1.1969571,1.2922239,1.0175369,0.91869396,1.1572081,1.1825786,0.8423481,1.1324716,1.3421595,0.99359506,1.1668572,0.9738524,1.1961215,1.2426417,1.140353,1.3496226,1.3264296,0.7830994,1.1032847,1.2809199,1.0508109,1.2021981,0.90706843,0.9394101,0.9187736,0.7413335,1.1134952,0.959222,1.0997672,1.1106366,1.2041186,0.62238246,1.1019557,1.0190552,1.2218965,1.208951,0.9786329,0.75613546,0.98657405,0.91975427,0.5597333,0.90965873,1.0934387,1.1253655,0.46926868,0.7191551,1.1025716,1.1369927,0.5127676,0.7723942,0.75160575,0.96857893,1.0360087,1.1957413,1.2045578,1.1378534,1.2052255,1.2667232,1.0495365,1.0363243,0.31691056,0.98831284,1.2692856,1.1381774,1.0070112,1.2383372,1.2633822,0.7397617,1.2301791,1.1284065,1.1021284,1.0744462,1.202878,1.2118701,0.2744124,1.0376314,0.96747947,0.8694811,0.90253663,0.85637665,1.0427469,0.5611396,1.2142923,1.1529313,0.7474526,1.1964647,0.9363083,0.86712,1.1126721,1.1863997,1.2250583,1.1813246,0.9716157,0.5607762,1.2192879,1.0271152,1.120429,1.0933582,1.0187967,1.1139982,1.1378838,1.1067933,0.7862868,1.1763473,0.66284764,0.65397793,1.1706946,0.40144533,0.8056242,1.2792478,1.2606746,1.1651297
basket,1.0459056,0.92230594,0.9103186,1.3908429,0.9276974,0.9579559,1.1004496,0.0,1.2115098,1.2267329,0.67351973,0.9745,1.2387112,0.9086288,1.2928855,0.92865396,0.85170007,0.5792165,0.26201475,0.8461628,0.6630764,0.67168576,0.42044783,0.85277414,0.44071054,0.57347673,1.0003742,1.2256912,0.75523067,0.6554611,1.1366675,0.64516616,1.3463049,0.6073189,1.3016336,1.2885853,1.2984053,0.7078533,0.95399594,0.48800266,1.1008457,1.1183267,1.064679,1.112075,0.84248406,0.6903771,0.8161861,1.2963967,1.1864911,1.4259148,0.88796175,1.1884389,0.6314516,1.3210859,1.4204485,0.92951804,1.1555253,1.1905035,1.3695481,1.4158983,0.890587,1.1316329,1.2907418,0.62810695,1.4269274,0.6153996,0.6642318,0.49164498,1.2471684,1.140729,1.4177735,0.76237416,1.2982931,1.0016181,0.74612546,0.9990531,0.7839178,1.0700402,1.4626067,1.3885146,1.0620347,0.52738255,0.62907624,1.238027,1.4640627,1.0727206,0.61864513,1.0072117,0.5022586,1.1373384,0.67339814,0.7642993,0.78461504,1.2115362,1.1968892,1.0003426,0.7492704,1.3826274,0.88667494,0.90240294,0.52127546,1.0905561,1.2579926,0.7322541,0.77992153,1.3521876,0.53301024,1.0505773,1.3048338,1.381454,1.2459512,0.48693824,1.0672302,1.3790249,1.4133834,0.9931669,1.0728279,0.874471,0.6386913,0.68493533,1.2765416
bathtub,0.87198675,1.2873446,1.1826394,0.7883817,1.0815971,1.0834999,0.7685221,1.2115098,0.0,0.687162,1.2584037,0.72572875,0.7636833,1.1769291,0.6930054,1.0246164,1.0841411,1.2779992,1.0988011,0.96604264,1.4065285,1.2527565,1.1015518,1.2655373,1.3107122,1.2272927,1.157556,0.6879729,0.8761575,1.2602617,0.77444315,1.1801827,0.8503265,1.1711406,0.7169062,0.7402867,1.049159,1.2990243,0.72447747,1.2709532,0.7869824,0.9117613,1.2388207,0.7892114,1.0777626,1.1920233,1.2748867,0.8885057,1.2405236,0.81347114,1.2585704,1.0438755,1.2422967,0.6290061,0.7891761,1.3089166,1.125272,0.9368673,0.74080485,0.92145795,1.2083311,1.0863898,0.8213044,1.181186,0.73449945,1.3434304,1.1253059,1.2757192,1.0843257,0.7905853,0.8924264,1.1445537,0.8702256,1.2886981,1.1961651,1.3334848,1.2896001,0.8273485,0.7525523,0.8237256,0.8750087,1.2849411,1.3543352,0.8359662,0.82619274,1.0022782,1.1092947,0.9408221,1.1431801,1.0317539,1.2290598,1.0920587,1.1236644,1.0726271,0.6701988,0.9404948,1.0825005,0.74146056,1.1355819,1.063542,1.3428075,0.3987683,0.25995332,1.3517466,1.1934822,1.0339242,1.2674108,1.2453048,0.87056786,0.80608934,0.6441432,1.0810688,1.3726082,1.0131866,0.82523,0.974719,0.85523444,0.73927236,1.2719927,1.3546634,0.69392806
bed,0.97364974,1.1439648,1.3991117,0.630114,1.1784708,1.1999842,1.1969571,1.2267329,0.687162,0.0,1.2802035,0.8308224,0.6857469,1.0756708,0.31621158,1.1759086,0.9635284,1.1357644,1.2298727,0.94862264,1.3526412,1.2730162,1.1946244,1.2831452,1.2737731,1.0796552,1.2182568,0.7546505,0.78862846,1.3057724,0.6362865,1.2601591,0.7379351,1.1763549,0.8910447,0.6087336,0.83997893,1.3586764,0.6394906,1.1744971,1.0864773,0.88052785,1.1165314,0.8090855,1.169785,1.3322661,1.236121,0.9923515,1.3151664,0.89522326,1.3170891,1.0031486,1.3068993,1.0177156,0.92601186,1.3008716,0.9259105,1.1651627,0.80942285,1.0092224,1.230196,1.0362307,0.52890307,1.1103122,0.6275746,1.373847,1.0780673,1.4168296,0.91080946,1.2171091,0.6782714,1.0800573,0.6997905,1.3005962,0.94289815,1.225389,1.2629223,0.8806871,0.66450655,0.7116772,0.8564185,1.3451908,1.3979952,1.2411526,0.8536576,0.88137424,1.152425,1.0327619,1.2087846,0.9780283,1.2983116,0.89159745,1.2119471,1.185289,0.7095531,1.0110036,1.1349993,0.5829676,1.1526898,1.0190203,1.3546495,0.7100807,0.717022,1.2023803,1.1986873,0.8042902,1.3190645,1.1744658,0.6556254,0.6871303,0.13074827,1.1514257,1.2568069,1.0985247,0.9892737,0.7504215,1.1110609,0.8663507,1.24952,1.3535044,0.49114347
