,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,mop,motorcycle,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.2269892,0.4005229,0.80642986,1.3364444,1.1459279,1.0541204,1.2922239,0.67351973,1.2584037,1.2802035,0.0,1.1267159,1.3511199,0.93748605,1.2091165,0.8408476,1.1171721,0.8050819,0.7188865,1.1940653,0.51076883,0.74162817,0.6599847,0.4412161,0.43140185,0.58453965,0.70049644,1.2755747,0.9161517,0.5968344,1.2016141,0.68051666,1.3589611,0.8779757,1.306816,1.0640714,1.3088263,0.37050384,1.2086318,0.8724417,1.2895805,1.270929,1.2463589,1.0050244,0.75809425,0.52902097,0.96152806,1.1476413,0.8018271,1.251294,0.8278384,1.1415513,0.6313701,1.435526,1.4254942,0.6286188,0.9814557,1.3262286,1.3634849,1.3145001,0.6172479,1.2149338,1.184848,0.94356877,1.174845,0.36402762,0.8468106,0.5473829,1.2237499,1.0618982,1.3840785,0.74526656,1.2145828,0.6310202,0.8334342,0.58954763,0.90833944,0.91904473,1.1602236,1.2194468,1.0217689,0.5453312,0.4569006,1.1523365,1.1408844,0.9962533,1.0530492,1.1485217,0.7816694,1.2431321,0.88130045,1.0778954,0.70575505,1.0374014,1.0873151,1.1791011,0.9524583,1.2771549,0.94878983,0.55004996,0.450006,0.973957,1.4529886,0.39891553,0.6560939,1.2286687,0.5289747,0.91791403,1.3238273,1.1681134,1.3466995,1.0841839,0.65371037,1.3170483,1.4220552,1.1260532,1.3287894,1.2994754,0.67335355,0.21030074,1.247758
bench,0.9051068,1.0396119,1.321559,0.8594723,1.2094864,1.2506717,1.0175369,0.9745,0.72572875,0.8308224,1.1267159,0.0,0.9048791,1.1579169,0.80810887,1.0218046,1.012799,1.2144219,1.278307,0.90570694,1.3291152,1.0240504,1.1332495,1.1156385,1.051502,1.146142,1.0931269,0.89190334,0.5085133,1.2862953,0.6812725,1.1618944,0.8820979,1.2249267,0.8979829,0.6866472,1.0251354,1.2757032,0.16588295,1.2591184,1.0360138,0.97434473,1.1156166,0.580093,0.9405522,1.1114717,1.2563174,0.97042614,1.1732976,1.047502,1.32378,0.9474055,1.3161907,1.0410932,0.9943481,1.2172273,0.9125035,1.1676742,1.0713558,1.0382062,1.271636,0.9856581,0.82816255,1.1521246,0.6785083,1.2580631,0.74664617,1.2818615,0.8746127,1.0669847,0.8724667,0.9308974,0.7289979,1.308965,1.1020354,1.1699669,1.2712418,0.6608074,0.6944007,0.681091,0.83506817,1.2324653,1.2246909,1.0870645,0.8775394,0.9684951,1.2396095,0.9532005,1.2987945,0.9875098,1.2707437,0.88221943,1.0218972,1.1854806,0.56050754,0.9501336,1.1420987,0.8532285,0.9577227,0.9727419,1.2601074,0.9024252,0.81616956,1.1902986,1.195034,0.8983147,1.348916,1.0845217,0.77985036,0.69271994,0.8219124,1.1997035,1.313232,1.0702829,0.98341674,0.93246466,1.0671476,1.1023,0.99514747,1.2718697,0.8168705
bib,0.9833161,1.23228,1.276398,0.80376244,0.9090509,0.967103,0.91869396,1.2387112,0.7636833,0.6857469,1.3511199,0.9048791,0.0,1.1068596,0.51795363,0.89133453,0.94469583,1.19036,1.2797701,0.9181218,1.4346838,1.2996962,1.172757,1.3010671,1.3661728,1.3210499,1.1076039,0.9041739,0.99140817,1.302624,0.8755673,1.3065772,0.6673337,1.2544079,0.8174278,0.67196906,0.8746407,1.4018339,0.75893885,1.2692724,0.7909876,0.94321346,1.092906,0.96115977,1.1707714,1.2703784,1.2622151,0.97596306,1.2238202,0.56387854,1.2286626,0.7882771,1.2483833,0.82248795,0.7778011,1.3068084,0.72602654,0.84203744,0.7628734,0.8595575,1.0923548,1.006875,0.77384466,1.16414,0.73327637,1.4540137,1.2498263,1.3380437,0.77757394,0.97465503,0.56497335,1.2015443,0.87512505,1.3025545,0.7888731,1.1918898,1.2929999,0.9318963,0.6330459,0.8323501,0.86409533,1.3344812,1.3513547,1.0179822,0.8601619,0.5412561,1.1810724,1.0607814,1.3002481,0.97137773,1.1335108,0.77741796,1.1093224,1.0069826,0.88265264,1.0521879,1.0413903,0.69363344,1.0270336,0.98788786,1.5025128,0.78222686,0.5569418,1.2131705,1.2180047,0.75885165,1.363314,1.1487169,0.7660993,0.84403133,0.5993594,1.1699696,1.2774541,0.8540017,0.87602174,0.65740126,0.8182422,0.93760914,1.3438745,1.3496416,0.89958954
bird,0.9495845,1.0004407,1.0522429,1.2258853,1.0513082,1.0474408,1.1572081,0.9086288,1.1769291,1.0756708,0.93748605,1.1579169,1.1068596,0.0,1.0974925,1.0233201,0.94833493,0.82450616,0.9236912,1.0522691,0.8777355,0.8277513,0.8237771,0.9083759,0.7603865,0.783098,1.0412264,0.867727,0.91352534,0.9085719,1.1654094,0.9759351,1.2056208,0.77092844,1.2420945,1.1052859,1.1821438,0.9084142,1.1007314,0.8976366,1.1602038,0.657196,0.8855833,1.1197548,1.0889577,0.9224633,0.938426,1.1030605,1.1687863,1.030277,0.93793243,1.0045586,1.0003467,1.2042419,1.1821706,0.9661975,1.0187391,1.1761975,1.1506164,1.2858949,0.9999312,0.80068517,1.0000877,0.9677166,1.0566009,0.78994834,0.88849753,0.83397484,1.1325455,1.1700925,1.1697199,0.92316043,1.1112427,0.98962647,0.91675043,0.9444548,0.9337078,1.1333799,1.1412712,0.9253417,1.257422,0.914912,0.9639892,1.1704246,1.2009735,1.0199151,0.9976637,0.9386782,0.97856146,0.68029225,0.9882613,0.90353227,0.9620067,1.0062355,1.1576703,0.89722407,0.9425815,1.1514578,1.0032811,0.9033325,0.7646345,1.097908,1.188258,0.89825946,0.89561445,1.0756416,0.9205813,1.0197002,1.1169907,1.0770925,1.1310419,0.94614375,0.9268009,1.189195,1.3105607,0.95497423,1.0984795,1.1899513,0.7898802,0.9110398,1.0056418
blanket,1.0787838,1.1632252,1.4979545,0.53792346,1.2213848,1.2393672,1.1825786,1.2928855,0.6930054,0.31621158,1.2091165,0.80810887,0.51795363,1.0974925,0.0,1.1120528,1.0911616,1.2518121,1.3439097,0.9991388,1.4035784,1.2649187,1.2634139,1.1684195,1.2788805,1.2123339,1.2650056,0.8130399,0.8139997,1.376696,0.692654,1.2920996,0.5961194,1.2186654,0.82690984,0.18354642,0.9232452,1.404926,0.69282824,1.3425279,0.9972886,0.9795858,1.1275214,0.82561225,1.1577718,1.3528358,1.3156489,0.92476815,1.2635478,0.83650756,1.4212285,0.8075051,1.2658929,1.0404927,0.9909432,1.2336149,0.5809169,1.2699436,0.8923198,0.93900347,1.1282004,1.0890312,0.3163147,1.3133914,0.40012902,1.3721285,1.138437,1.430548,0.7177878,1.2679391,0.4984392,1.137727,0.71601504,1.356013,0.83611727,1.1037205,1.3515235,0.78389776,0.42998034,0.649354,0.926857,1.3475844,1.3845358,1.1882753,0.80560243,0.6301201,1.2010989,1.1680932,1.3182414,1.0542948,1.3244241,0.8953251,1.1427786,1.1976988,0.68841106,1.1367599,1.2495539,0.37580144,1.056743,0.86651987,1.3803967,0.62568015,0.68962145,1.1734879,1.2561722,0.67812896,1.3586547,1.2282698,0.7065842,0.6498064,0.34182763,1.2625039,1.2578713,1.1095545,1.0435779,0.5946592,1.1991034,0.9354208,1.2602855,1.288735,0.6565144
boat,0.9434232,0.9798952,0.86943305,1.237718,0.89451873,0.86272216,0.8423481,0.92865396,1.0246164,1.1759086,0.8408476,1.0218046,0.89133453,1.0233201,1.1120528,0.0,0.9657635,1.0088819,0.97079223,1.0152184,0.97989434,0.84707737,0.9227346,0.7757685,0.8733237,1.0033348,0.7496482,1.2233264,1.0165322,0.9754033,1.1360462,0.7877215,1.0994147,1.0555273,0.9913504,1.0754911,1.1559603,0.8631588,1.0838444,1.1044166,0.9509766,1.1625824,1.1522125,1.1109288,0.9425297,0.9400133,0.941348,1.0886024,0.95087904,0.77401775,0.8759951,1.0562733,0.96749765,1.0178889,1.1844256,0.97909045,1.0578816,0.9649421,1.1259001,1.1298699,0.94089675,1.0968988,1.1907232,1.1308222,1.1349242,0.9261444,0.9354344,0.8627391,1.08513,0.80672145,1.1315744,0.8505658,1.1924244,0.94440955,0.90493643,0.87132096,0.94898516,1.0577419,1.0828543,1.1634611,0.8849881,0.9260373,0.8714455,0.7785486,1.1338154,0.78665113,1.0369525,0.9175369,0.8810702,1.1116588,0.8875146,1.0183073,0.87131995,0.9569425,1.1287396,0.9625986,1.0114918,1.2288649,0.9580646,0.8531596,1.0066019,1.0370194,0.90781534,0.9269163,0.8255105,1.1507936,0.8996575,0.95017636,1.2057374,1.1337863,1.1540873,1.0166109,1.0508819,1.1208835,1.165446,1.0119634,0.9044194,1.0589559,0.90742046,0.9431844,1.1553115
book,0.9124797,1.1274239,1.202708,1.1404415,0.9937823,0.9544991,1.1324716,0.85170007,1.0841411,0.9635284,1.1171721,1.012799,0.94469583,0.94833493,1.0911616,0.9657635,0.0,0.5816406,0.8624376,0.46883446,1.183322,0.9649166,0.7770872,1.105849,0.84155685,0.9050902,1.172686,0.9817812,0.8528416,1.0841812,1.0088964,0.8823694,1.1914052,0.9816931,1.1626822,1.136085,1.1233662,1.1459241,0.8955639,0.6810305,0.92490053,0.8062125,0.8730942,0.95147425,0.89912814,1.123889,1.0499274,1.085387,1.2913274,1.1769764,1.0245973,1.113806,1.0440367,1.0394418,1.0017406,1.156267,1.1542914,0.8986115,1.0813267,1.1558139,1.1826844,0.8734708,1.1692432,0.61523366,1.2132131,1.1122007,0.920413,0.9640085,1.1357496,1.1590104,1.1267141,0.80058277,0.9930319,1.3089299,0.89888257,1.121133,1.06431,0.9252626,1.179297,1.209903,0.8430143,0.9944172,1.0687006,1.1493022,1.2822611,0.95417523,0.809474,0.91538334,0.9117557,0.87485313,1.030024,0.6238151,0.86334574,1.0762835,0.867003,0.9032577,0.9276516,1.1461656,0.8835258,1.0562693,1.0751551,1.0908225,1.0124971,1.1512235,1.0756218,1.1712145,1.0658369,1.1468384,0.8958946,1.0587239,1.0128043,0.80298364,1.2675605,1.1476407,1.1339599,0.85026896,0.89463943,0.82855916,0.95320183,1.1267138,0.9631476
bottle,1.0480864,0.9611996,1.0601685,1.2648535,1.058428,0.93329525,1.3421595,0.5792165,1.2779992,1.1357644,0.8050819,1.2144219,1.19036,0.82450616,1.2518121,1.0088819,0.5816406,0.0,0.561855,0.67223847,0.8722203,0.8035973,0.27121985,0.9291462,0.390828,0.6254214,1.1328123,1.1895647,0.90152055,0.82555044,1.1478629,0.65045893,1.3389678,0.817357,1.3671455,1.2829237,1.2301472,0.79175806,1.1623645,0.2547531,1.027869,1.0360695,0.94272256,1.1309531,0.8538904,0.9483179,0.96985185,1.2371248,1.2070196,1.3293705,0.7665214,1.1114411,0.7727992,1.3047459,1.187751,0.96070194,1.1008159,1.0050473,1.1091819,1.3482425,0.95844454,0.98775864,1.2322646,0.36307865,1.3528773,0.68278515,0.83718085,0.69778943,1.2533882,1.2951021,1.3061457,0.7119736,1.1994029,1.0321327,0.81677854,0.92477655,0.95257235,1.0399617,1.3399878,1.3397427,1.068791,0.65327406,0.7209648,1.3204765,1.3804896,1.0384567,0.80367124,0.9827371,0.75569856,0.99906653,0.92988473,0.65057856,0.75203145,1.1257603,1.1326523,0.9943023,0.7548783,1.3232777,0.85377645,0.9056534,0.64445513,1.1857642,1.3500006,0.7577058,0.88776374,1.2357373,0.7450954,0.9939029,1.1542218,1.2331625,1.1402612,0.6686828,1.0247288,1.2784852,1.3088593,0.96240103,1.074276,0.96382016,0.73813343,0.76593995,1.1946032
bowl,1.0761989,0.95783246,0.7699925,1.3904164,0.78816795,0.7863928,0.99359506,0.26201475,1.0988011,1.2298727,0.7188865,1.278307,1.2797701,0.9236912,1.3439097,0.97079223,0.8624376,0.561855,0.0,0.89811444,0.66014093,0.84775937,0.43011868,0.93434256,0.59018064,0.6475441,0.97408223,1.2291069,1.0261611,0.6054557,1.1960678,0.6012888,1.441329,0.5614865,1.3304696,1.4025596,1.2904764,0.71508306,1.2630965,0.3315314,0.9700407,1.1359057,1.0970334,1.2328773,0.8334315,0.68886644,0.6438473,1.2714553,1.1644719,1.3639495,0.8219336,1.2682276,0.5624945,1.1823815,1.2804866,0.98167765,1.3160521,0.9909171,1.1878307,1.3620136,0.8896259,1.1654394,1.3423223,0.53635585,1.5023701,0.69515705,0.9183302,0.44211972,1.3331646,0.99626225,1.481493,0.86944777,1.3677227,0.941518,0.80275846,1.0522361,0.6206428,1.1134835,1.5806664,1.4684898,1.0657321,0.58233595,0.68924046,1.0965573,1.4410146,1.2247746,0.47765553,1.0258372,0.37536967,1.1613033,0.56198406,0.90789986,0.75159144,1.07013,1.2753623,1.0242053,0.713498,1.4108578,0.9518557,0.9621323,0.61321265,0.9783026,1.158004,0.7809677,0.75196815,1.408649,0.4658112,1.103386,1.3172109,1.445016,1.1886182,0.17672193,1.0069402,1.3220723,1.3017924,1.0351639,0.93665737,0.67212725,0.8293643,0.7138853,1.3123845
box,1.0197341,1.1751294,1.284268,0.9368726,1.0774968,1.0124159,1.1668572,0.8461628,0.96604264,0.94862264,1.1940653,0.90570694,0.9181218,1.0522691,0.9991388,1.0152184,0.46883446,0.67223847,0.89811444,0.0,1.2393932,1.0436876,0.76598763,1.1385511,0.83636534,0.9656792,1.3106265,0.9392732,0.8960201,1.1282606,0.82343227,0.95729154,1.0979959,1.0613749,1.0006368,0.96191233,1.0186454,1.2377466,0.82406855,0.76894367,0.9845109,0.8872451,0.9169152,0.8074982,0.90702933,1.1514397,1.1707435,0.97065115,1.259073,1.1469886,1.0837928,1.0852085,1.0754114,1.0509169,1.0823787,1.1610003,1.0997833,1.0130949,1.058726,1.0891042,1.250914,0.9598309,1.0063827,0.70827156,1.0316275,1.1617073,0.94848424,1.0917777,1.0659637,1.1755362,1.0299422,0.939668,0.8804685,1.2963253,0.9176016,1.1247815,1.1905767,0.856755,1.0433917,1.0971642,0.70987576,1.0147724,1.1101844,1.1760314,1.0995151,0.9528529,0.8066353,1.028163,0.9867713,0.9480617,1.11321,0.7001809,0.97084856,1.117206,0.70058185,1.0227598,1.0108681,0.99326587,0.8675025,1.0964237,1.1334603,0.9874087,0.99053514,1.229603,1.157966,1.079065,1.1483318,1.0942726,0.91959083,0.9183096,0.9343632,0.8607838,1.2023295,1.1289014,1.1205437,0.91388404,1.0270573,0.8148596,1.0254937,1.2023301,0.9204982
bread,1.2242203,0.6373559,0.4354385,1.2896268,0.9042201,0.9951187,0.9738524,0.6630764,1.4065285,1.3526412,0.51076883,1.3291152,1.4346838,0.8777355,1.4035784,0.97989434,1.183322,0.8722203,0.66014093,1.2393932,0.0,0.6540035,0.85877717,0.54779756,0.6167109,0.725249,0.5316241,1.3005831,1.1864885,0.45517075,1.340642,0.7146762,1.3606238,0.5983013,1.2241728,1.3436023,1.1163049,0.25064516,1.4082707,0.7835929,1.2737361,1.2334287,1.0968356,1.3148992,1.1288269,0.49881095,0.5627689,1.1466476,0.6547749,1.1554826,0.63265765,1.144012,0.63187325,1.3200173,1.404556,0.4553467,1.1870391,1.2188072,1.3298091,1.2165093,0.5500438,1.1811422,1.2408276,0.9414746,1.3916839,0.28254122,0.874458,0.5306256,1.1615292,0.95254874,1.4026127,1.0064934,1.2784936,0.30793607,1.0077068,0.63594174,0.4840312,1.3371825,1.3906133,1.3286171,1.175702,0.5897412,0.46673083,1.0098487,1.1117276,1.1716721,0.7968539,1.1401703,0.5024308,1.2015029,0.583841,1.2522405,1.000746,0.9148365,1.4089609,1.1741867,0.96139085,1.3532379,1.1633877,0.9943956,0.31621253,1.2002269,1.4587972,0.55993587,0.48453194,1.2529314,0.40322208,0.8356462,1.3649477,1.2710212,1.3981669,0.9128455,0.53509045,1.1317835,1.221384,1.2598506,1.172221,1.1619809,0.66020745,0.3860246,1.3337342
broom,0.99150693,0.8504707,0.9712429,1.2793529,1.1832387,1.1209662,1.1961215,0.67168576,1.2527565,1.2730162,0.74162817,1.0240504,1.2996962,0.8277513,1.2649187,0.84707737,0.9649166,0.8035973,0.84775937,1.0436876,0.6540035,0.0,0.7846092,0.67178845,0.45467687,0.61549896,0.90949684,1.1972687,0.6013362,0.73096037,1.0647714,0.84913516,1.3027556,0.88078755,1.224818,1.1928046,1.2313182,0.6047646,0.9625287,0.86992925,1.1617866,1.1397488,1.1302776,0.94106656,0.9504777,0.7492642,0.9043216,1.1535919,1.0013394,1.2551833,0.9009111,1.1919426,0.63634735,1.3086789,1.2388666,0.7670734,1.2591825,1.3165578,1.2701371,1.2794136,0.9583004,1.0663439,1.1514553,0.943847,1.2683238,0.5112238,0.11176884,0.58169436,1.1724644,1.2171111,1.4595553,0.69606376,1.1781609,0.8283005,1.1112128,0.8374504,0.8951142,1.0713494,1.2197816,1.1860098,1.1283584,0.52465725,0.44727272,1.1356524,1.2518053,1.2125773,0.96241903,0.9207633,0.77023476,1.0871842,0.9852712,1.0388608,0.9188817,1.0495108,1.0279938,0.9407081,1.0792843,1.3066978,1.0951705,1.043938,0.4688782,1.1230017,1.2705507,0.9035946,0.713827,1.314208,0.5768673,1.0131016,1.2208394,1.2273266,1.3313453,1.0264767,0.9548119,1.2730539,1.2933574,1.2423055,1.2805368,1.1479781,0.0395149,0.7649109,1.0241822
bucket,1.0347775,0.85992515,0.99703795,1.3772672,1.0065348,0.8906124,1.2426417,0.42044783,1.1015518,1.1946244,0.6599847,1.1332495,1.172757,0.8237771,1.2634139,0.9227346,0.7770872,0.27121985,0.43011868,0.76598763,0.85877717,0.7846092,0.0,0.91352916,0.2128098,0.55577356,1.0293955,1.2468622,0.79473615,0.7182683,1.0989063,0.59651613,1.3647724,0.79111904,1.4148561,1.234652,1.3710613,0.74403906,1.1002072,0.34246564,1.0538988,1.1707002,1.1266328,1.0366322,0.7796555,0.76514703,0.9507837,1.2650635,1.2005994,1.3505563,0.8726939,1.1783729,0.77984506,1.3230357,1.2422897,0.9737627,1.1054864,1.051332,1.2312375,1.4270183,0.8108882,1.153002,1.2759498,0.42173302,1.3042339,0.6666109,0.78934246,0.6138656,1.2524765,1.179844,1.3834689,0.65528774,1.2972786,0.98953724,0.77596986,0.95929813,0.9277166,0.924996,1.3214344,1.2823546,1.0655563,0.63466394,0.6930083,1.244608,1.4081457,0.99853575,0.86929923,0.9769931,0.7505393,1.1551107,0.8288459,0.6154142,0.6941854,1.1029956,1.0799778,0.9801096,0.7700125,1.3534725,0.9175814,0.7537804,0.6027985,1.034899,1.2234938,0.6447495,0.87646747,1.3008494,0.6888602,1.0457261,1.2544332,1.2605071,1.2497272,0.66260797,1.018691,1.384595,1.4240446,1.0595171,1.0323251,1.0312711,0.6934079,0.6811819,1.2320807
butterfly,1.0774779,0.6580108,0.79141545,1.256211,1.0564901,1.0398575,1.140353,0.85277414,1.2655373,1.2831452,0.4412161,1.1156385,1.3010671,0.9083759,1.1684195,0.7757685,1.105849,0.9291462,0.93434256,1.1385511,0.54779756,0.67178845,0.91352916,0.0,0.62044704,0.81029326,0.6894228,1.2491143,0.9484793,0.666527,1.1843736,0.7366556,1.268696,0.94866246,1.1661946,1.0225317,1.2167387,0.56447285,1.2025203,0.9422588,1.1582329,1.178735,1.140802,1.0653085,0.9906726,0.6122109,0.87058085,1.0169761,0.8363147,1.1249828,0.7494277,1.1690402,0.77556443,1.2398106,1.333763,0.53910404,1.0371413,1.3317163,1.3890691,1.2321465,0.6032957,1.1295741,1.0882726,0.9938606,1.1904355,0.5459697,0.81567883,0.6365145,1.0882909,0.9988919,1.2841136,0.9555711,1.1429192,0.6437268,1.0303824,0.6123572,0.84408134,1.1330484,1.1140102,1.1955241,1.1144911,0.77270246,0.6637716,1.0657306,1.0728774,1.0230331,1.0543528,1.0237762,0.84603256,1.1301361,0.80978036,1.1971794,1.0035229,1.0028883,1.137216,1.0235873,1.0270995,1.2067403,1.0286651,0.8703687,0.553327,1.0092249,1.3200172,0.6859962,0.68667245,1.2135274,0.63963056,0.90842193,1.2950097,1.1358285,1.2999411,1.1202754,0.71466106,1.1874534,1.3180581,1.1269573,1.2553687,1.2701943,0.6965247,0.5306743,1.1712871
can,1.090878,0.6444371,0.96569484,1.3872647,1.1947155,1.0744284,1.3496226,0.44071054,1.3107122,1.2737731,0.43140185,1.051502,1.3661728,0.7603865,1.2788805,0.8733237,0.84155685,0.390828,0.59018064,0.83636534,0.6167109,0.45467687,0.2128098,0.62044704,0.0,0.4858085,0.87596965,1.3167282,0.64839476,0.6654148,1.1301144,0.5724064,1.4227333,0.83548355,1.4255393,1.130707,1.3754494,0.5250583,1.0617225,0.49737543,1.2283632,1.2367655,1.1971357,0.94330674,0.847479,0.66943663,0.9436223,1.2481905,1.0523715,1.400745,0.8706187,1.2124878,0.7133552,1.5332477,1.4096465,0.73663884,1.1051538,1.3493221,1.4206753,1.4719577,0.75360435,1.1737144,1.2085373,0.60966414,1.2474537,0.3920917,0.49985433,0.5830829,1.1958559,1.2678672,1.4710634,0.57817423,1.2532046,0.8205226,0.89176816,0.7537775,0.90858364,0.9046205,1.2397306,1.1829171,1.0436556,0.55303127,0.49944645,1.276848,1.3870234,1.0503018,0.9354936,0.9911332,0.7491024,1.1953452,0.9019995,0.7535609,0.75064695,1.1098496,0.9887654,1.0206493,0.96576583,1.3587598,0.9659142,0.70186293,0.38255036,1.1101891,1.4614956,0.5601874,0.72524524,1.3202233,0.6019398,0.9796275,1.3428531,1.1685171,1.3636868,0.8972624,0.8729575,1.4500008,1.5347705,1.1790237,1.3317133,1.2127986,0.36114424,0.5188087,1.2274166
car,1.0690086,0.8074469,0.98979867,1.2680395,1.1220714,1.0190332,1.3264296,0.57347673,1.2272927,1.0796552,0.58453965,1.146142,1.3210499,0.783098,1.2123339,1.0033348,0.9050902,0.6254214,0.6475441,0.9656792,0.725249,0.61549896,0.55577356,0.81029326,0.4858085,0.0,1.0539966,1.1599352,0.6625371,0.7275952,1.0760211,0.849042,1.2758086,0.7046635,1.3473381,1.2095231,1.2004465,0.6772205,1.0791954,0.7244256,1.232864,1.0225911,1.0393832,0.9460447,0.84712267,0.90856916,0.94673157,1.1543833,1.0563146,1.3927134,0.88810277,1.1640096,0.7305934,1.4308136,1.3353386,0.82715786,1.2103326,1.3132657,1.2267451,1.306447,0.85502243,0.98366463,1.1062121,0.8315982,1.237967,0.62033063,0.58453745,0.6229801,1.2904302,1.2619758,1.422571,0.64826727,1.2053014,0.87454414,0.93304825,0.86436677,0.91647947,0.9968461,1.2738023,1.2297604,1.0654519,0.66170555,0.70140564,1.3039834,1.2289746,1.11241,0.8785525,1.0025744,0.73987794,0.9806001,0.9884753,0.92705005,0.8434143,1.1307812,0.99913275,1.0226681,0.94236195,1.2064052,1.0337993,0.8890688,0.58110887,1.0607256,1.3470503,0.7838414,0.71043336,1.2589169,0.6606376,1.0870906,1.2025542,1.1628637,1.2123278,0.86228806,0.86730325,1.3919585,1.4059789,1.2087749,1.3072909,1.078092,0.5786687,0.6487911,0.8135834
carrot,1.0888057,0.66939175,0.43545926,1.1742533,0.79518354,0.8720039,0.7830994,1.0003742,1.157556,1.2182568,0.70049644,1.0931269,1.1076039,1.0412264,1.2650056,0.7496482,1.172686,1.1328123,0.97408223,1.3106265,0.5316241,0.90949684,1.0293955,0.6894228,0.87596965,1.0539966,0.0,1.2465947,1.1984526,0.7945829,1.2086809,0.8113308,1.1204054,1.0770731,1.0321798,1.2022872,1.1303204,0.48406333,1.1958104,1.0603408,1.055075,1.3001515,1.210589,1.2093084,1.1654449,0.71325254,0.66349566,1.0525023,0.5536687,0.69297147,0.7451182,1.171214,0.96895504,1.0598193,1.1332928,0.734757,1.1013372,0.95310575,1.1945755,0.9660729,0.6820015,1.2236501,1.2124933,1.1229792,1.1989038,0.6958066,1.0452574,0.84799063,0.9933216,0.6309852,1.1647301,1.1007807,1.130269,0.46462864,1.0701346,0.8140409,0.60845053,1.2325084,1.0750065,1.1395568,0.98575366,1.0315282,0.77723074,0.6368276,0.98179793,0.9871052,1.1783446,1.012073,0.98295707,1.2377665,0.6679193,1.1307781,1.05674,0.8271083,1.2788833,1.0669839,1.0687575,1.2210398,1.200879,0.92967486,0.7872089,1.1511748,1.1295278,0.7665968,0.6198323,1.1294909,0.8159142,0.7557573,1.2092736,1.0999049,1.2272005,1.0813845,0.7260328,0.9559864,1.0115044,1.1994486,0.9692349,1.3038588,0.95244116,0.6400285,1.2520579
cat,0.940153,1.2135485,1.2701597,0.77444863,1.0671914,1.1112831,1.1032847,1.2256912,0.6879729,0.7546505,1.2755747,0.89190334,0.9041739,0.867727,0.8130399,1.2233264,0.9817812,1.1895647,1.2291069,0.9392732,1.3005831,1.1972687,1.2468622,1.2491143,1.3167282,1.1599352,1.2465947,0.0,0.9977813,1.2583258,0.85229766,1.2679238,0.85653913,1.0192482,0.8569414,0.87494606,0.8934557,1.3027066,0.8019644,1.1991018,1.0819904,0.35187864,0.9671147,0.81900644,1.1013126,1.18976,1.1834532,0.84925246,1.233362,0.94662815,1.1782308,0.9746106,1.2384856,0.9001972,0.8855867,1.1469399,1.0298043,1.0844117,0.84063566,0.97742957,1.2237494,0.92552227,0.7931603,1.1226262,0.7800819,1.2544434,1.0867467,1.2832956,1.017049,1.0861714,0.85603166,1.1458241,0.74820024,1.2514756,1.1436703,1.2595954,1.2022469,0.8579323,0.83686846,0.78125596,1.0045139,1.2072725,1.292206,1.1237036,0.7842133,1.0577534,1.0447953,1.0174139,1.1734729,0.82570934,1.1902432,0.98517627,1.0753177,1.1051891,0.77146953,0.97352254,1.1967287,0.7471305,0.99883866,1.1421634,1.2198594,0.9007071,0.82857645,1.2785783,1.1712713,0.91726077,1.2771432,1.1203095,0.76263046,0.7838106,0.7520882,1.1196399,1.2056335,1.0040588,0.94322777,0.9761522,1.0748813,0.9182596,1.1927137,1.2921443,0.6671989
