,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.3874469,1.4296687,0.94542843,0.84679925,1.3703388,1.3590806,1.2723663,1.2551062,0.8128591,0.5734737,1.4140992,0.89744306,0.68437356,0.6498473,0.66993725,1.0490636,0.66216195,1.501005,1.2882446,0.79994774,1.4275246,1.249347,1.3833023,0.8158858,1.4011343,1.1483731,1.03228,0.5961114,1.2159235,1.3384004,0.82654977,1.1979294,1.0888134,1.103736,0.5734364,0.6044888,1.3771597,0.7695056,1.3445513,0.9861283,0.58919084,0.7322413,0.8337439,1.1306523,0.809699,1.2902608,1.4342582,0.65598476,1.0268911,0.79433006,1.2435178,0.9028333,1.1851954,0.9881207,1.4442658,0.57517254,0.5081788,0.9606508,1.3667411,0.9978411,0.99857295,0.7700007,1.1324047,0.88992184,1.2107923,0.594637,0.66342634,1.2622324,0.69312984,1.459373,0.82587,1.3458141,0.25669485,1.1563257,0.9928576,0.76006615,1.1430401,0.89902097,0.9204665,1.3526915,1.3359113,1.3973308,1.0739396,1.4013923,0.95515144,0.9018309,0.70660377,0.72785103,0.36564767,1.424336,1.4333543,1.1795754,0.95457196,1.1741852,1.1351401,1.2452326,1.281317,0.83858585,1.2256142,1.3292291,1.0623363,1.2382421,1.0630058,0.7895599,0.31128204,0.85254246,0.94288105,0.66498655,0.96875536,0.92715466,1.370181,0.8553203,0.7790308,1.4105408,0.7846525,1.0590212,1.0399597,0.9659996,1.5011966,1.2235222,0.9330636,0.96268356,0.6638074,0.7795354,1.458765,1.3721278,1.1608216,1.0881904,1.3522232,1.0259273,0.9487682,0.83812445,1.0561523,1.1715043,1.4545499,0.83481467
ankle,1.3874469,0.0,0.45216024,1.0461265,1.06628,0.70394504,0.6449796,1.0273672,1.0367699,1.3434753,1.4172523,0.48188412,1.3045896,1.2873671,1.2173502,1.3289447,0.9809019,1.1895639,0.60438675,1.1301748,1.2935727,0.6847104,0.7064549,0.96820694,1.1471105,0.64203155,0.9814578,1.0101644,1.190793,1.0902722,0.7372047,1.2145318,1.0884169,1.0081881,0.94989103,1.3749115,1.0405719,0.47496176,1.350434,0.9822816,1.1714516,1.2822254,1.139164,1.2265278,1.0937004,1.131847,0.48521614,0.68433154,1.2064861,0.94380426,1.0627064,0.62932473,1.0454161,0.8575508,1.0456774,0.8155073,1.1661882,1.1395111,1.2946262,0.41265166,0.99426085,1.0273217,1.039777,1.0235684,1.095687,0.56256986,1.198558,1.2402818,1.0520405,1.2275145,0.691527,1.3257707,0.6632565,1.2337822,1.0421476,1.1402698,1.2912903,0.9838024,1.2453475,0.8322913,0.38250828,0.8012785,0.44980288,0.98652405,0.5967901,1.137787,1.0014322,1.3052864,1.2257974,1.3251507,0.48424178,0.43684828,0.7882769,1.2402014,0.8865758,1.0396067,0.72317,1.116576,0.8601841,0.8030431,0.7714293,1.2393887,1.0032026,1.0997533,1.2760296,1.1432333,1.175215,1.1616352,1.2426076,1.1246533,1.1686468,0.7622163,1.3356352,1.262211,0.3834517,1.2008629,1.1099066,1.0309069,1.161183,0.72538126,0.4143871,1.0263432,1.1981865,1.2571158,1.385807,0.6148052,0.3325584,0.71563923,1.0607022,0.77450764,0.9848105,1.3407246,1.1732246,0.99341214,0.88557166,0.3180787,1.167207
apple,1.4296687,0.45216024,0.0,0.9292323,1.203526,0.32723236,0.34819686,0.6506424,1.0314301,1.3771684,1.5154301,0.5043127,1.3775932,1.3403387,1.2450266,1.4132454,0.83751416,1.1610323,0.57288456,0.9849567,1.3779655,0.5210854,0.80932814,0.9052759,1.0876954,0.7681901,0.89250433,0.9544924,1.269293,1.215059,0.6085269,1.2916623,1.0633621,1.058562,0.8193213,1.4348724,1.1419317,0.28807306,1.3748411,0.8407485,1.0743473,1.3204232,1.1953349,1.3934592,1.1562628,1.304163,0.728417,0.3664838,1.2097412,0.88860816,1.2868071,0.7580395,0.7783148,0.49065506,1.2558043,0.69564587,0.9456787,1.2597759,1.3456051,0.6062545,1.1343741,0.8716368,1.2587842,0.98491067,1.2590301,0.56441706,1.3839233,1.3158886,0.9830334,1.3757138,0.6300992,1.4742854,0.53922427,1.3341835,0.6709724,1.1321828,1.4513744,0.9941191,1.263785,1.0774795,0.28643596,0.6999797,0.5097156,1.1382735,0.2649889,1.2941983,0.9856039,1.4544823,1.4341918,1.3726451,0.37897384,0.378201,0.7746649,0.97295463,0.8978913,0.87299323,0.480062,0.9235224,0.8589187,0.73594147,0.46257842,1.2480512,1.010121,0.918269,1.4327635,1.1951388,1.2778453,1.0920528,1.4055498,1.2553437,1.2580692,0.7528698,1.2940648,1.2556287,0.33888113,1.1510108,0.9955473,1.2278912,1.0978734,0.548102,0.59716964,1.0216674,1.2932706,1.4291911,1.3676151,0.3300072,0.5125794,0.70549536,1.029045,0.689723,0.7344899,1.1663476,1.0557783,1.0585606,1.0966048,0.41140836,1.2697513
applesauce,0.94542843,1.0461265,0.9292323,0.0,1.0041275,0.99559253,1.0147183,0.78908354,1.1503918,0.9823755,1.0057089,1.1677461,1.0359844,0.85677505,1.1719563,1.0121819,1.127214,0.9947648,1.1555452,1.0381665,0.9033823,1.1673793,1.1749322,0.9400457,1.0729927,1.1060588,1.127914,0.7344465,1.1254311,1.2895794,1.1362863,1.1074171,1.0930184,1.0438955,0.92476356,0.9500814,0.9221513,1.0887504,0.977225,0.89851373,0.8378503,1.0931603,0.9422436,1.0850414,1.0596614,0.99456185,0.79651797,0.9204591,0.97537225,0.9728752,1.0009396,0.9039888,0.93381166,1.0443915,1.0850792,1.3108759,0.99389,0.9926974,0.82634497,1.0978817,0.9908487,0.6498865,0.8923277,1.090144,0.75716007,1.0917152,1.038268,0.9303138,1.0454134,0.9141916,1.2670057,1.1517578,1.2467957,0.9725564,0.81561965,0.9048235,0.82552326,1.0579756,1.0783277,0.9018063,1.0155015,1.2653664,1.1866381,0.9928378,0.94455355,1.0594335,0.9572904,0.90692925,0.96511215,0.9131074,1.1669618,1.1105579,1.1997659,0.4902073,1.114146,1.0946506,1.0726032,1.1636276,1.1648713,0.9935541,0.9066138,1.0575869,1.0185395,0.8405949,0.9853484,1.0716851,0.94472474,1.0181159,0.9318868,1.0391955,0.912785,1.0158519,0.9308547,0.99264675,1.075315,1.0328572,0.7849879,1.0526385,0.84921926,1.1832817,0.9648893,1.0180924,0.93744606,0.8777205,1.0141141,1.026168,0.9829197,1.0900565,1.1146733,1.2947663,0.871269,0.86715156,1.0514202,0.9938713,1.2091191,1.0879222,1.1352175
arm,0.84679925,1.06628,1.203526,1.0041275,0.0,1.2391789,1.2168577,1.3770971,1.336632,0.6368854,0.5181661,1.1910808,0.84031737,0.9075692,1.0936327,0.62519807,0.885772,1.0901706,1.369334,1.284276,0.89307594,1.3449353,1.1296827,1.2700574,1.0704669,1.1305268,1.2569159,0.98518836,0.8787917,1.054555,1.2673515,0.74327457,1.2022853,0.8935226,1.1568674,0.64949065,0.9878569,1.2170341,0.8430749,1.3304391,1.0158365,0.9356869,1.1281768,0.72929037,1.0135736,0.9106683,1.1508248,1.2154965,0.90083516,1.0666182,0.6532196,0.73605525,0.90111196,1.4197825,0.8293645,1.3646119,1.3116215,0.9623371,0.79730076,1.179855,0.88465214,1.071094,0.70172834,1.1927657,0.49441856,1.3315396,0.7896019,0.5883015,1.2330433,0.49908787,1.3129091,0.7972694,1.4150211,0.914101,1.042302,1.0759174,0.7139202,1.0588366,1.0856166,0.84708416,1.0763879,1.42804,1.1095946,0.8384238,1.2605531,0.722193,1.159796,0.45666695,0.5149931,0.72556674,1.2614976,1.1658332,1.2558753,1.0495365,1.1246426,1.2156413,1.4079933,1.2440717,1.219891,1.1632514,1.2388546,1.1665454,1.220762,1.1651752,0.6739618,1.0699528,0.9054761,1.2899954,0.47900552,1.0480901,0.6268455,1.3512341,0.71852815,0.8938735,1.2866716,0.7798229,1.1134348,0.7402239,0.83400553,1.3624841,1.0326737,0.8601013,1.0814215,0.5294482,0.73427844,1.4231439,0.91655844,1.05172,1.234188,1.4065614,1.3995581,0.9661357,0.9709085,1.130087,1.1100789,1.1543121,0.71969897
ball,1.3703388,0.70394504,0.32723236,0.99559253,1.2391789,0.0,0.25199914,0.66823804,0.9353741,1.3254375,1.3999965,0.83229494,1.3484453,1.2285851,1.154854,1.3457525,0.91937613,1.1251721,0.63009197,0.82020366,1.2870541,0.558457,0.89435077,0.8058522,1.0462891,0.96422666,0.9935887,1.0829564,1.2367852,1.2645154,0.5530575,1.2659192,0.8934312,1.0760956,0.7830734,1.3820834,1.1760561,0.5236349,1.3063769,0.74968904,1.0395585,1.271056,1.1363528,1.3395827,1.2468001,1.3336515,0.9345649,0.18738282,1.204102,0.80040526,1.1965411,0.8999148,0.870131,0.70105946,1.1622324,0.6854564,0.9690353,1.1624168,1.2414378,0.790514,1.1792567,0.90011024,1.2775196,0.91453415,1.2437364,0.62114584,1.3419877,1.2052659,0.824795,1.3650873,0.69541,1.391179,0.4936942,1.2291919,0.891728,0.9494866,1.3721722,1.0296929,1.2072456,1.1026623,0.49389488,0.73795724,0.7786428,1.1206424,0.43216258,1.3164628,1.0185959,1.3785908,1.4278877,1.2529413,0.5942582,0.6719476,0.82482266,0.9252365,1.0007136,0.78947604,0.72752446,0.79407865,0.864445,0.83186316,0.43353498,1.0708789,1.0348797,0.87291247,1.3921537,1.174808,1.249333,0.97319156,1.3283236,1.143406,1.1813099,0.75483036,1.0991896,1.1926904,0.6204112,1.1908491,0.97397643,1.1432118,0.98968047,0.64839375,0.8882445,1.1116757,1.3416846,1.385155,1.2310872,0.37635273,0.70588255,0.9761221,0.93101144,0.7617421,0.60371125,1.1031477,1.1939996,1.2422686,1.1768199,0.6856535,1.2316859
balloon,1.3590806,0.6449796,0.34819686,1.0147183,1.2168577,0.25199914,0.0,0.7510787,1.0219469,1.3043336,1.3857652,0.65128005,1.3449185,1.1927685,1.1580474,1.2838987,0.9751814,1.2016456,0.7289062,0.9234735,1.3661104,0.62305593,0.88503796,0.82495207,1.1038449,0.81030536,0.97276866,0.96085256,1.2527477,1.1316936,0.6513278,1.2974576,1.0110441,1.0362824,0.9334024,1.3361095,1.1964164,0.61986315,1.3647894,0.8122905,1.0916915,1.3072863,1.0676535,1.3343971,1.1091654,1.1966176,0.78561056,0.30685318,1.1833246,0.8691981,1.2605944,0.73805237,0.8941424,0.77438897,1.1343402,0.77347493,0.94141036,1.2191422,1.2821348,0.70111656,1.0201446,0.84077597,1.1841701,0.92920476,1.1964914,0.4480499,1.3574249,1.2178009,0.9802963,1.258151,0.7075888,1.4081955,0.651201,1.3114619,0.70265454,1.0499895,1.2803442,0.9511689,1.208967,0.993417,0.53361094,0.72706544,0.5889828,1.0523809,0.53344476,1.2796979,1.0381393,1.3400962,1.3184041,1.328274,0.6246816,0.6321196,0.7736059,0.9322767,0.7861047,0.99113256,0.75622964,0.91523397,0.9714473,0.6620012,0.39388156,1.1263418,1.0226426,0.8655664,1.4074495,1.2225736,1.2137566,0.97827715,1.3151022,1.1546432,1.0951927,0.67073274,1.167562,1.3078609,0.5620333,1.0877177,0.9967277,1.1003184,1.1198312,0.63727516,0.7599549,1.0624052,1.2313536,1.33571,1.3519974,0.4924307,0.5828428,0.81464934,0.96549505,0.74146044,0.68164825,1.1241488,1.1608179,1.0877913,1.0896093,0.6568628,1.2938159
banana,1.2723663,1.0273672,0.6506424,0.78908354,1.3770971,0.66823804,0.7510787,0.0,0.7844072,1.2608361,1.403245,0.98395413,1.1243182,1.0361435,1.0471619,1.30407,1.0043226,0.992896,0.753331,0.67406493,1.1311963,0.53786695,0.9491911,0.693993,0.8390509,1.0384282,1.0213426,0.74279606,1.3201108,1.0910267,0.8534925,1.2635467,0.82364523,1.1084489,0.6704555,1.3671215,1.0979509,0.82879215,1.2060063,0.6055883,1.0330479,1.2612101,0.96873903,1.3962252,1.183353,1.2934345,1.0273818,0.57650405,1.142691,1.0521113,1.2938377,1.0658531,0.90161324,0.5914058,1.0934517,0.59566796,0.73256266,1.1031383,1.0507827,0.9775744,1.1234727,0.84507537,1.4107568,0.8224334,1.2493006,0.8097862,1.2917292,1.2354429,0.7745662,1.3948495,0.6599343,1.2367656,0.66883594,1.1981745,0.7288558,0.9174723,1.2190166,0.97392726,1.0900202,1.2703805,0.99752045,0.6082928,0.9190889,1.1584839,0.5909168,1.3716803,1.0667431,1.3479317,1.4109735,1.2768421,0.7885726,0.85731244,0.6908238,0.6917785,0.9153569,0.67337453,0.6721288,0.6738899,0.993018,0.8387328,0.67295456,0.7890947,0.8617018,0.8438108,1.399746,1.1512856,1.184052,0.6676874,1.402549,0.9663078,1.253439,0.54531795,1.1498432,1.1068897,0.8281982,1.2193379,0.6953044,1.092638,1.0273399,0.57760847,1.1968524,1.1040664,1.162451,1.4033004,1.1606025,0.6262666,1.0419827,1.0476682,0.7463124,0.65272915,0.57158023,0.8204957,1.2125852,1.2531241,1.0727191,1.0047753,1.3380845
basket,1.2551062,1.0367699,1.0314301,1.1503918,1.336632,0.9353741,1.0219469,0.7844072,0.0,1.1574858,1.2068651,0.9135419,0.8036752,1.0725976,0.9746295,1.2346561,1.0761572,0.78343093,0.59828264,0.56008476,0.71261215,0.7675535,0.8737643,0.56812537,0.96550894,0.7429687,0.7584028,1.246671,1.1796293,0.6646966,0.7474453,1.0841753,0.6256291,0.8302394,1.0056558,1.174507,1.1108663,0.91184676,0.79107356,0.57298845,1.2059133,1.1544702,1.0639402,1.0817105,0.7226646,1.1897844,1.1200366,0.99612063,1.1435133,1.1485207,1.2898569,1.2952499,1.2136703,0.7937922,0.9202647,0.6094996,0.9727091,1.0516639,1.0857873,1.0879358,0.99877393,1.1296166,1.3593544,0.7377045,1.3589303,0.91032577,1.2447438,1.3033423,0.62111616,1.4375846,0.6913142,0.9153087,0.69852734,1.1650326,1.1160079,0.8690498,1.1520476,1.0540262,0.84458184,1.3756828,1.1938038,0.5408193,0.97215265,1.2783169,0.9633691,0.9170345,0.94470245,1.3615901,1.4035448,1.17939,0.8366536,0.93631,0.74832654,1.1992972,0.7922936,0.729789,0.85521704,0.684162,0.9954519,1.0325624,1.073446,0.54393756,0.34895152,0.95527637,1.0946536,1.077082,1.195109,0.70820534,1.3489218,0.7375895,1.3666089,0.6030644,1.1735866,0.9741003,0.8967968,1.1506726,0.960647,1.0386294,1.1459978,0.76021945,1.0694675,1.1774299,0.92924047,1.3740269,1.1293851,0.6357819,1.2091563,1.097091,0.707065,0.58033705,0.82858765,0.9477102,1.1098411,0.9644463,0.7808418,0.9991328,1.1396985
bathtub,0.8128591,1.3434753,1.3771684,0.9823755,0.6368854,1.3254375,1.3043336,1.2608361,1.1574858,0.0,0.4762066,1.3131683,0.4980095,0.942168,1.0427659,0.72566426,0.9222573,1.0507582,1.3932776,1.0488776,0.7558894,1.4943947,1.1550049,1.0787498,1.0342257,1.0142661,1.0646719,1.1103388,0.77545434,0.83750427,1.2640429,0.45232058,1.1427834,0.8587047,1.2205534,0.5863415,1.0231925,1.3658144,0.59370506,1.2738727,0.83713865,0.9039424,1.2267332,0.33423215,0.6968483,0.94712245,1.2644582,1.3762554,0.79193664,0.9237883,0.72822136,1.1628505,0.97667193,1.3822451,1.1399964,1.3210795,1.198136,0.957472,0.72041726,1.3553827,1.169894,1.1188254,0.8005197,1.2385468,0.85922086,1.417934,0.7796975,0.72346705,1.235422,0.6027171,1.3728902,0.6572859,1.3856312,0.93983424,0.9992597,1.0161927,0.9072223,1.007367,0.9743156,1.0251465,1.2791885,1.3787525,1.3653805,0.95135653,1.4030057,0.44325137,1.0920864,0.66525686,0.6628015,0.74246395,1.387272,1.3722419,1.2407851,0.84516597,1.241887,1.29826,1.3972065,1.0682999,1.231333,1.3642361,1.3580447,1.1183681,1.1548795,1.0412986,0.35156322,1.022534,0.9631493,1.0919223,0.6399767,1.0595582,0.70794106,1.2011995,0.39708215,0.7094914,1.4585996,0.585263,0.9890761,1.1277199,0.6739608,1.3270499,1.1825738,0.895033,0.97242284,0.6826927,0.61253643,1.4071231,1.3459048,1.1007396,1.1529878,1.3917456,1.4153441,0.62556547,0.7953293,0.9456284,0.9778422,1.4160409,0.613305
