,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,coat,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.3192623,0.9630494,1.1954734,1.3991144,1.163827,0.9383698,0.90184724,0.29938543,1.1673086,1.3702791,0.0,1.1808839,1.1651713,1.3300085,1.3207638,0.86706066,0.56198967,0.54710156,0.88970184,0.6944295,0.6130766,0.7261127,0.36292696,0.43451047,0.8525994,1.1428235,0.82626617,0.5541045,1.2205693,0.80799496,1.0389674,1.4088885,0.8048104,0.45339495,1.3592203,0.62508,1.1676857,1.3140823,1.0393213,1.0977209,0.62307984,1.3075864,1.0977163,0.70615023,1.3473775,0.81123614,0.8762946,1.2525257,0.22566116,1.2183293,1.0931749,0.71220225,1.2854109,0.8308761,1.0668759,1.3153905,0.3070681,1.2260292,1.2881207,1.3534158,0.89933646,1.2758952,0.43856084,1.2236865,0.5197952,1.3727276,1.3648751,1.0012559,1.1996946,1.3099778,0.79627657,0.43564433,0.6173174,1.0351009,0.73418105,0.9758075,1.2910973,1.417686,1.1860477,0.4181733,0.46781552,1.2138112,1.2389314,1.0595678,0.7550211,0.9652896,0.5683567,1.2064195,1.2177954,0.4540165,1.1538479,1.2765694,0.44981492,1.3944163,0.62078965,0.96603507,1.0552149,1.2834116,0.37950695,0.95271087,1.245037,0.45302725,0.7492654,1.2485125,1.3457675,1.3890996,0.82363796,0.87365186,0.9780685,1.0952657,0.5604712,1.1444783,1.3161956,0.91018176,0.44881612,1.1525733
bench,0.89994746,1.227015,1.1230328,1.0097167,1.0350064,1.0450025,1.1784284,0.9970537,0.7746755,0.8354272,1.1808839,0.0,0.9179751,0.82675195,0.702042,0.88667727,1.1858988,1.0940102,0.8870357,1.2341092,0.9008178,0.96507245,1.105609,1.2137309,1.0526268,0.9704745,0.48519194,1.2767179,1.0325155,1.0095603,1.0897007,0.72403073,1.1651593,1.2502154,0.5019498,1.1574736,0.9657601,0.9651028,1.0037727,0.72135305,0.9690664,0.9330489,1.0276328,1.2059113,1.0417012,1.2592245,1.1865346,1.0056382,1.2925069,1.004543,0.9663873,1.2382038,1.0904238,1.2534205,1.0288982,1.10809,1.2550515,0.8948783,0.8871237,0.94156414,1.0669237,0.8381701,1.0333306,0.41914356,1.0963227,0.9587477,1.0929736,0.955823,1.0345116,1.0630758,1.3023324,1.205297,1.2597743,1.1229974,0.86165094,1.1039747,0.9946661,0.8490714,1.0364192,1.2150999,1.2002902,1.0580748,1.06933,0.77427685,1.1744274,1.0404379,1.1640279,0.96005934,0.7372019,1.008765,0.8064267,0.93846595,1.1974015,0.9093855,1.1270583,0.91495967,0.9678126,0.7156445,1.22696,0.9100724,1.1448555,1.1675831,1.1093905,0.72423565,0.9205212,0.89986753,1.0073197,1.2686945,1.1648848,1.142081,1.1685681,0.9500078,0.97788703,0.74315464,1.3548899,0.8590838
bib,0.9180933,1.0584245,1.0601013,0.9617786,0.9481889,1.0329798,1.0644935,1.1438934,1.1055382,0.94293886,1.1651713,0.9179751,0.0,0.91589296,1.0077338,0.63472486,1.1217647,1.1707631,0.87652314,1.0736185,1.1537519,1.0279099,1.1428436,1.1586233,1.0757469,1.0788425,0.9260503,1.2011354,1.0118624,1.0378275,1.0789764,0.8618302,1.1072466,1.2537754,0.8571537,1.1152816,0.973689,0.91188884,0.7946825,0.9658346,1.06872,0.9910972,0.9703036,1.2003162,0.98826396,1.1269631,1.167398,1.0566359,1.1955892,0.7137702,1.0041777,1.0698884,0.97154254,1.1334877,0.9463422,0.9557972,1.1946073,1.0201902,1.0042623,0.9793536,1.028031,1.0094478,1.0926313,0.85874957,1.1351635,0.9095861,0.87051606,0.91463464,1.0777111,0.9456044,1.1983838,1.0268905,1.0580423,1.1108807,1.0563881,0.48418868,0.8966932,0.96204525,0.80639744,1.2344141,1.2174392,1.0628867,1.1089901,0.84968436,1.0325955,0.9570098,1.0187645,0.8637694,0.90763265,1.0184975,0.9132933,0.9535517,1.202887,0.81564003,0.97919947,0.9310432,1.0273157,1.0270976,1.1889845,0.85807526,1.0123312,1.1234697,1.0247543,0.8500777,1.0032558,0.9153049,1.1085212,1.1611967,1.0887469,0.97540176,1.0579603,0.8168646,0.95574933,0.98094356,1.1890435,1.0208633
blanket,0.6216674,1.4634683,1.1399083,0.6862941,1.2656467,1.3014978,1.2468545,1.3146381,0.7925266,0.4467224,1.3300085,0.82675195,0.91589296,0.0,0.72851145,0.98798513,1.4084957,1.4356592,1.0999315,1.426026,1.2778069,1.1235185,1.3042305,1.4348276,1.3556278,0.39779365,0.7338035,1.4123865,0.7090479,1.1980679,1.2866578,0.32844102,1.2636125,1.4657737,0.5289149,1.4410865,1.1012833,0.642288,1.2703636,0.7275097,1.1631888,0.4737686,0.6968421,1.3727918,0.8497443,1.3106714,1.1050138,0.9883697,1.431867,0.8577096,1.1828572,1.29175,0.7196444,1.4656124,0.9122745,0.96162146,1.3368416,0.6706045,0.8769528,0.54352474,1.2739203,0.46866852,1.3530418,0.82057905,1.4975526,1.047386,1.0528202,0.9491809,1.025144,1.0828638,1.302929,1.2661415,1.294611,1.2944651,0.9700441,1.1126516,0.37920296,0.60537744,0.9923041,1.4268079,1.4277165,1.0112615,0.64573056,0.7051339,1.3608565,1.1354756,1.3884991,1.0586786,0.6292921,1.1921815,0.7576099,0.75562906,1.368897,0.47769064,1.0834068,1.1206865,0.72628486,0.67292,1.3763382,0.77851766,0.8790743,1.4288653,1.3133444,0.7728123,0.47810823,0.56536674,1.374334,1.286837,1.1734251,1.0387276,1.2276374,1.172416,0.7408204,1.0635659,1.3498552,0.7379212
boat,0.890087,1.1401649,1.0408003,0.95371604,0.9093268,0.9961148,1.0122848,1.2687619,0.35956752,0.7837894,1.3207638,0.702042,1.0077338,0.72851145,0.0,1.0201216,1.3275404,0.95916903,1.1038072,1.2723271,1.1845374,0.9603997,1.3835564,1.3627112,1.1525098,1.0198284,0.9651764,1.3615065,0.96935713,0.97441214,1.2202777,0.6398201,1.3532656,1.3972116,0.8601255,1.1531842,0.69913584,0.87988675,1.02166,0.99271154,1.073169,0.92830354,0.9442642,1.2910565,0.9935993,1.3966625,1.1497098,0.95218515,1.3828628,0.55976176,0.8698388,1.3489077,0.903875,1.190835,1.0961975,0.9638333,1.370912,1.0334191,0.7124792,0.9284398,1.0501659,0.85787374,1.1790426,0.9095,1.1433446,0.63969356,0.9422507,0.9317652,1.0876174,0.9996435,1.4011894,1.3857937,1.44865,0.9488535,1.1578673,1.1406012,0.93328214,0.7162588,0.99826074,1.2975656,1.2847247,0.90567875,0.9188621,1.055057,1.1622839,0.9790071,1.1479895,0.8231003,0.88292944,1.0592847,0.99691385,0.9948413,1.261411,0.85040176,1.1279418,0.67007506,0.72319984,0.2052437,1.4258814,1.0444992,0.80689824,1.2362853,1.1760406,0.6599043,0.946765,0.7798028,0.7738678,1.4405575,1.2569876,1.0095997,1.371438,0.6848364,0.52700895,1.011522,1.4909879,0.9746091
book,0.83107126,1.0853765,1.2799109,1.1524656,1.0541345,0.936538,1.0503147,0.74885905,1.0251542,0.9931924,0.86706066,0.88667727,0.63472486,0.98798513,1.0201216,0.0,0.79321676,0.8332349,0.55824393,0.91876584,0.9262134,0.69504315,0.87102973,0.9435122,0.97417164,1.1063821,0.8452954,1.1640065,1.1463805,0.79757714,1.203083,0.9949345,1.1518366,1.124307,0.97724074,0.818578,0.97319746,1.0665346,0.917928,0.9411662,0.8553678,1.1534977,1.056677,1.1148665,1.1772853,1.232046,1.0303366,1.1484914,0.94928706,1.0582639,0.8650338,1.1602156,1.1611537,1.1388644,1.1454511,1.1492449,1.0601926,1.0949011,1.0878211,1.175114,0.8037472,1.2092447,0.6867958,0.8148391,0.93498874,1.0292801,0.9712692,0.7596617,1.1837072,0.95709294,1.2974843,0.7704561,1.1334901,1.09412,0.91228336,0.94506705,1.2153082,1.1865957,0.77967995,1.0574505,1.0460277,1.1404825,1.1508487,0.93683666,0.8270755,0.96176416,0.73433554,1.0490963,0.96604115,0.69470704,1.0004811,1.138997,1.0411125,1.195995,0.80319357,0.7817602,1.0671582,1.026418,0.9989572,0.92074573,1.0311377,0.8859672,0.9646767,0.90864867,1.1985056,0.95829386,0.8688369,1.2187954,1.23558,1.0963112,0.88715994,0.9843202,1.0210803,0.86267805,1.1611372,1.0179902
bottle,1.1334386,0.792647,1.29721,1.3150556,1.0658579,0.86672807,0.88858557,0.36935365,1.3258479,1.3013482,0.56198967,1.1858988,1.1217647,1.4084957,1.3275404,0.79321676,0.0,0.554699,0.5730971,0.64601016,0.5412041,0.38600194,0.3778739,0.3497653,0.8822188,1.1664174,1.0045966,0.6280465,1.2324585,0.85248655,1.1221192,1.4776936,0.9936473,0.5283136,1.2337282,0.2686212,1.2416365,1.2984812,0.7692207,1.097333,0.84949434,1.3505963,1.2211426,0.728291,1.3298061,1.0090508,0.86342835,1.1734223,0.48282516,1.2408735,0.81645596,0.8417745,1.3741775,0.74691254,1.2195562,1.3794023,0.58897716,1.1894652,1.3825684,1.3433619,0.508257,1.476739,0.6896119,1.0898255,0.6010808,1.3564267,1.0463649,0.8991481,1.2009284,1.003226,0.8506619,0.4031459,0.8362589,1.0376071,0.9654443,0.89908767,1.4156355,1.428347,1.0673347,0.5247868,0.5428806,1.3124919,1.3665233,1.1846716,0.66536385,0.7271777,0.6559758,1.2572923,1.195574,0.79857874,1.2712994,1.2400467,0.47788215,1.453805,0.7312604,0.8733336,1.3546684,1.3949811,0.55524796,1.0610614,1.1545402,0.57210475,0.5990871,1.1583204,1.314289,1.2338989,0.7741579,0.90348005,1.0972813,1.1813219,0.38220012,1.0297881,1.3898418,0.7819176,0.5590242,1.1284254
bowl,1.2492702,0.7660417,1.1500301,1.3512619,0.9395713,0.5549179,0.9057752,0.50030845,0.822597,1.2613626,0.54710156,1.0940102,1.1707631,1.4356592,0.95916903,0.8332349,0.554699,0.0,0.8776299,0.81240195,0.7859901,0.5137289,0.7206061,0.6915692,0.9571983,1.3060589,1.0649924,0.8370732,1.2451226,0.7046815,1.1137564,1.4407761,1.1284378,0.82074296,1.3860414,0.19190812,0.96759975,1.2507236,0.9234443,1.2117156,0.6477088,1.462386,1.184282,0.86601436,1.3245478,1.1113163,0.84194875,1.0808036,0.60123307,1.1506383,0.4283837,0.9779272,1.294465,0.7429881,1.2627506,1.2510023,0.73820394,1.297974,1.1844207,1.4534398,0.52287614,1.47281,0.53779346,1.2259444,0.40750206,1.0799568,0.9389317,0.9028468,1.1351786,0.9199718,1.040074,0.61224496,1.0243407,0.93527335,0.9910425,0.9844926,1.5021732,1.3396728,1.0261043,0.8000829,0.81050843,1.1439621,1.31986,1.2982452,0.76503396,0.9449605,0.5854854,1.0992694,1.2224348,0.61862767,1.3124061,1.2994388,0.8243911,1.5160717,0.743337,0.8496918,0.9863281,0.9289482,0.7372887,0.9749442,0.92084944,0.60483444,0.7926495,1.0988821,1.4623959,1.202213,0.33748442,1.1050141,1.1149204,1.0963733,0.7413862,0.8293879,1.0080919,0.9104748,0.89148456,1.2477509
box,0.9040365,1.0788195,1.233898,1.1182731,1.1085072,0.9635538,1.1378675,0.54454243,1.2290426,1.0310057,0.88970184,0.8870357,0.87652314,1.0999315,1.1038072,0.55824393,0.5730971,0.8776299,0.0,0.8268187,0.78570163,0.6346161,0.6782322,0.7185402,0.9420047,1.1097982,0.8623302,0.93536484,1.1124554,0.90354884,1.1757226,1.0716337,1.1524427,0.9655169,0.9366127,0.73578393,1.1165853,1.0977883,0.865573,0.8060919,0.81656355,1.2064675,1.1495123,1.01065,1.1219798,1.1993644,1.0355426,1.1842024,0.89272,1.1506599,1.0295429,1.0246022,1.2434484,1.0959731,1.1585816,1.2726963,0.91301984,1.0462162,1.2465756,1.1155121,0.69707716,1.2060552,0.8893533,0.71082324,0.8177196,1.2359645,1.0655377,0.8278399,1.1620219,1.0417536,1.1330482,0.75496477,1.1096368,1.1557164,0.79473776,0.86699605,1.2461766,1.1958787,1.0150216,0.92041916,0.92153203,1.2706816,1.2499074,0.9409038,0.78743076,0.8660556,0.84949386,1.2177043,0.84037125,0.8116944,0.91650194,1.1150556,0.83731323,1.1759326,0.76211864,0.91068304,1.2240965,1.2079418,0.90406084,1.0604743,1.112298,0.9155623,0.79988474,0.9095704,1.1409612,1.0934823,0.96048206,1.1096015,1.2092606,1.1504656,0.7116306,1.050614,1.1881833,0.87937695,0.9570963,0.9421996
bread,1.1739728,0.71780646,1.0146573,1.341562,0.85835254,1.0419933,0.79120696,0.62950194,1.2807772,1.3789366,0.6944295,1.2341092,1.0736185,1.426026,1.2723271,0.91876584,0.64601016,0.81240195,0.8268187,0.0,0.8276272,0.9529979,0.6173212,0.5964424,0.63531995,1.1947148,1.2545426,0.61238146,1.1281081,0.9246561,0.77259076,1.3995621,0.610669,0.53540695,1.3494811,0.7893208,1.0413368,1.1159686,0.80895025,1.2957399,1.0080734,1.293761,1.0203421,0.50550693,1.3076851,0.9073216,1.116426,1.0700408,0.51104724,1.126352,1.1419907,0.7874992,1.3671168,0.62749976,1.1453388,1.2543449,0.60175467,1.2957683,1.2447312,1.2614117,0.79238915,1.3720176,0.72505635,1.2658023,0.6817859,1.136417,1.0571585,1.0333109,1.1774627,0.9737664,0.7628658,0.619382,0.8265937,0.7658301,1.197507,0.7788983,1.3430231,1.4677457,0.9275941,0.57191825,0.5469333,1.0802846,1.1837099,1.3634738,0.05417335,0.8644141,0.2565565,1.0445956,1.3913813,0.8645984,1.4213846,1.264032,0.7009147,1.4181112,0.73373383,0.9695339,1.2540851,1.2810624,0.5569869,1.1910671,1.2324765,0.5010335,0.76184714,1.307748,1.3070308,1.2718055,0.8633977,0.7865143,0.9145477,0.94742715,0.6627432,0.9226877,1.2485358,1.1352047,0.59500086,1.3270683
broom,1.1002086,1.0691975,1.2144756,1.2675602,1.1403085,0.97353065,1.0051455,0.4908715,1.1040134,1.2182914,0.6130766,0.9008178,1.1537519,1.2778069,1.1845374,0.9262134,0.5412041,0.7859901,0.78570163,0.8276272,0.0,0.76204574,0.42601764,0.5051861,0.8951966,1.0673661,0.7235136,0.7660863,1.1777643,1.0802891,1.0343467,1.2738948,0.92148036,0.66746795,0.9234616,0.74245095,1.1090114,1.2845598,0.9504809,0.71804816,0.83449125,1.1981276,1.1204696,0.9164105,1.2278839,0.9790263,0.9848934,1.191673,0.61073303,1.2102921,1.0133213,0.8790673,1.3587418,1.0186939,1.1395501,1.281669,0.74877596,1.083595,1.158736,1.2397047,0.87109894,1.3093088,0.6803373,0.8106915,0.6972928,1.312462,1.2575355,1.1289526,1.1302967,1.2017794,0.9586816,0.651577,0.7899194,1.1136937,0.79617643,1.0369092,1.2271684,1.2600096,1.0675784,0.66759115,0.6942038,1.1889484,1.1826657,1.085257,0.84145963,0.72470677,0.7495498,1.1822383,1.2001582,0.8817319,0.96636665,1.1268209,0.6694306,1.3226159,1.0127999,0.780109,1.1417465,1.1623619,0.77647245,1.150739,1.2633853,0.59784484,0.72431856,1.1257236,1.2066554,1.2566681,0.93502635,0.96906376,1.0465997,1.0958092,0.6346235,1.1307893,1.2972422,0.24882936,0.80905735,0.82153916
bucket,0.9509705,0.95807403,1.3419919,1.2141123,1.0902668,0.78820115,1.1398555,0.50896,1.0475818,1.102254,0.7261127,0.96507245,1.0279099,1.1235185,0.9603997,0.69504315,0.38600194,0.5137289,0.6346161,0.9529979,0.76204574,0.0,0.6189262,0.7919514,1.0035102,1.0563443,0.78197336,1.1132525,1.1914493,0.7767756,1.2738332,1.173378,1.256692,0.9936446,1.0825585,0.34209168,1.1744833,1.2070922,0.75583494,1.0913432,0.8171892,1.1930696,1.1631838,1.1152742,1.2707242,1.2596831,0.9734232,1.0536911,0.85332465,1.0891175,0.72409976,1.1373099,1.2238462,1.0398105,1.3495578,1.3098696,0.85064924,1.0853356,1.1735964,1.2275368,0.61474824,1.3194485,0.735355,0.93011165,0.78875536,1.2140511,0.88145953,0.7354566,1.2011425,0.8772951,1.2189097,0.64182806,1.0862377,1.1565197,0.9840032,0.9240014,1.2475785,1.2210186,0.99805963,0.9275626,0.9344063,1.3366823,1.2482516,0.9750596,0.861543,0.8097588,0.83324826,1.1863558,0.8647404,0.67654276,1.2324032,1.1535181,0.8638,1.2596169,0.74259186,0.79483175,1.2039917,1.0510416,0.8545959,0.88133335,1.1242964,0.836043,0.80827963,0.8789399,1.1517153,1.0549653,0.6160936,1.1409061,1.3117728,1.1650583,0.6952997,0.90632874,1.1540209,0.7918213,1.0360266,1.0962962
can,1.2065932,0.9501006,1.1303629,1.3786834,1.1906859,1.1136421,0.8196399,0.28489363,1.2637562,1.3955262,0.36292696,1.105609,1.1428436,1.3042305,1.3835564,0.87102973,0.3778739,0.7206061,0.6782322,0.6173212,0.42601764,0.6189262,0.0,0.42733836,0.74528134,1.1320534,0.7133819,0.5151648,1.275441,1.0588565,0.97704065,1.3417066,0.69910824,0.3794322,1.142127,0.5854525,1.0945765,1.3727081,0.9581903,0.92521346,0.80660355,1.3238902,1.0525128,0.7093359,1.3577933,0.73268664,0.90158206,1.2366482,0.4254796,1.2294254,1.1819348,0.67826545,1.3395164,0.8333399,1.0776383,1.3274019,0.4146459,1.1693594,1.307369,1.3896611,0.8163662,1.3346261,0.61241126,1.0596362,0.7083745,1.3586552,1.3350341,1.1149926,1.1861807,1.2743199,0.73925614,0.5726094,0.48872066,0.98782676,0.8302697,0.9420713,1.2899656,1.4070942,1.1586187,0.46503627,0.4706177,1.1995463,1.2542871,1.0453583,0.7238808,0.77488923,0.5878605,1.1845971,1.1785725,0.7686987,1.1701123,1.1988976,0.42816722,1.4539907,0.7878355,0.8920549,1.2623535,1.3715241,0.3295951,1.076375,1.2932327,0.49844658,0.7773868,1.3121172,1.3349208,1.3834479,0.87137353,0.78198946,0.9049108,1.1071602,0.6359691,1.1963086,1.4465394,0.7371205,0.4476002,1.1022853
car,1.2095134,0.8429351,1.1882633,1.3402166,1.1094391,0.9796256,0.7938305,0.3919506,1.2431343,1.3187709,0.43451047,1.2137309,1.1586233,1.4348276,1.3627112,0.9435122,0.3497653,0.6915692,0.7185402,0.5964424,0.5051861,0.7919514,0.42733836,0.0,0.9142009,1.1273785,0.99603045,0.4778263,1.1086514,1.0646904,1.02953,1.4050778,0.8571973,0.44205743,1.2665746,0.57199585,1.2195086,1.2459321,0.9099839,1.062736,0.9464933,1.2307383,1.1442924,0.5984769,1.2722481,0.89819145,0.8786487,1.1779974,0.2691579,1.2525196,1.0827749,0.7435893,1.3743005,0.737586,1.1240902,1.3498926,0.45032895,1.132435,1.3064532,1.2717237,0.80781996,1.3587599,0.79110897,1.1162188,0.5418132,1.376152,1.2797697,1.0432748,1.1701555,1.2194473,0.7435902,0.46682537,0.7349651,0.97758144,0.96345043,0.9305564,1.3363988,1.4156075,1.1604226,0.43929136,0.49358058,1.2271763,1.2452419,1.1918187,0.67957246,0.8315742,0.642794,1.2332535,1.2471912,0.8717787,1.1820741,1.2036226,0.37168878,1.3550749,0.81398314,0.95223397,1.165583,1.3661134,0.5185458,1.195559,1.2086158,0.5355847,0.539156,1.2643807,1.2772903,1.3115733,0.9325356,0.9015167,0.9383103,1.1127445,0.43790203,1.1378671,1.3555856,0.8395559,0.4119562,0.98992616
carrot,1.1562574,0.7569388,0.7399694,1.1977253,0.83424956,0.9703959,0.6982582,0.90176725,1.0754726,1.3385977,0.8525994,1.0526268,1.0757469,1.3556278,1.1525098,0.97417164,0.8822188,0.9571983,0.9420047,0.63531995,0.8951966,1.0035102,0.74528134,0.9142009,0.0,1.2730539,1.2279185,0.775307,1.1236925,0.88810503,0.5911131,1.2857517,0.590678,0.5957236,1.2992322,0.9379437,0.7542448,1.1278064,1.0488179,1.2763473,0.97996294,1.251406,1.0958107,0.6723483,1.1553417,0.71696323,0.94732255,0.895668,0.8461306,1.075616,1.1481143,0.97539306,1.1825374,0.66623354,1.1333294,1.0094897,0.86119336,1.2370152,1.1489656,1.2180675,0.9601061,1.2336183,0.7274844,1.1795506,0.8284094,0.8918022,1.0784321,1.1870663,1.0268795,1.0285273,0.7372076,0.9551826,0.87316394,0.6940383,1.0849262,0.9048084,1.2751381,1.2470626,1.1137191,0.75485206,0.7142998,0.816093,1.1884024,1.106363,0.6959408,0.9518833,0.75856805,0.88145834,1.2529186,0.96288174,1.2121478,1.1614201,0.8542055,1.2921875,1.0745358,1.0458922,1.255628,1.0951837,0.7858779,1.1267279,1.1389065,0.7712698,0.9225697,1.2506008,1.2743506,1.2720882,0.78698087,0.8184966,0.87796855,0.93511766,1.0062431,0.9018327,1.2077799,1.0750269,0.8319106,1.3007107
cat,0.7669717,1.3346903,1.1991496,0.8940041,1.202158,1.2004919,1.3206474,1.1157358,0.987888,0.7185546,1.1428235,0.9704745,1.0788425,0.39779365,1.0198284,1.1063821,1.1664174,1.3060589,1.1097982,1.1947148,1.0673661,1.0563443,1.1320534,1.1273785,1.2730539,0.0,0.85033196,1.1761004,0.5127751,1.1995788,1.1390276,0.6783477,1.1119235,1.24505,0.7275878,1.281764,1.2480918,0.49993956,1.1117302,0.79238856,1.1965514,0.5906228,0.6972262,1.1982168,0.9288613,1.2300115,1.1362052,0.95671946,1.1566908,1.102184,1.20855,1.1511487,0.90392864,1.3515885,0.90532386,1.0889133,1.053082,0.6533388,1.0215513,0.49549508,1.1243973,0.5985114,1.2479129,0.93082577,1.2675169,1.2454014,1.0562211,1.0593355,1.0571914,1.0481677,1.1348584,1.0122182,1.1146121,1.2433287,0.99208474,1.0407923,0.5459105,0.7907301,1.1618676,1.1871552,1.2095256,1.1814322,0.5886347,0.9070646,1.1892761,1.0429065,1.3383896,1.1592381,0.88981247,1.184889,0.9193747,0.88973415,1.1465155,0.6703947,1.0435263,1.233443,0.8380245,0.96043056,1.188439,0.96852106,1.0075865,1.2264096,1.1151141,0.9504124,0.47418463,0.8134281,1.327014,1.0783075,1.1055145,1.1073089,0.93197906,1.2353241,0.9803741,1.043768,1.1269884,0.7439885
chair,0.8491052,1.4313927,1.2597895,1.0380572,1.3495129,1.1688006,1.2848337,0.7127768,0.91357124,0.78623646,0.82626617,0.48519194,0.9260503,0.7338035,0.9651764,0.8452954,1.0045966,1.0649924,0.8623302,1.2545426,0.7235136,0.78197336,0.7133819,0.99603045,1.2279185,0.85033196,0.0,1.165535,1.0944849,1.1278325,1.2146524,0.65937775,1.1556474,1.1773494,0.42316985,1.0906178,1.1047869,1.0922016,1.179179,0.50717866,0.8983118,0.902273,1.0075066,1.2518314,1.1709212,1.187732,1.1092762,1.2156706,1.0930837,1.1127354,1.0960913,1.1270039,1.0994415,1.4117713,0.993906,1.2031467,0.98912287,0.8307705,0.88345957,1.0374503,1.1932478,0.7292008,0.98102075,0.44656926,1.1758184,1.239881,1.2931511,1.0138261,1.1804758,1.2364681,1.284383,0.93758863,1.0011117,1.3264701,0.5855948,1.151082,0.8976555,0.8487791,0.9258404,1.1321555,1.1406451,1.2190319,1.0029734,0.4245199,1.2260008,1.0020334,1.0663985,1.1118516,0.53264976,0.842663,0.65057385,0.90831804,1.004419,0.9276855,1.0450522,0.9468888,0.71920264,0.91954947,0.9983341,0.85344434,1.0904757,1.0388837,1.0991352,0.84038746,0.90937793,0.873475,1.1187782,1.2792752,1.2726616,1.1684715,0.94993246,1.3134251,0.9413676,0.5725873,1.1384964,0.6184475
clock,1.3425074,0.679898,1.0052903,1.3190875,0.89761126,0.9362345,0.6759473,0.6809447,1.2868745,1.402474,0.5541045,1.2767179,1.2011354,1.4123865,1.3615065,1.1640065,0.6280465,0.8370732,0.93536484,0.61238146,0.7660863,1.1132525,0.5151648,0.4778263,0.775307,1.1761004,1.165535,0.0,1.1989003,1.0798182,0.8260208,1.4792435,0.5542277,0.27877188,1.3614494,0.7558003,0.93118924,1.2850226,1.0581123,1.1411631,0.9507772,1.2657216,1.1345323,0.29670036,1.2228035,0.6708235,0.8602011,1.1394844,0.3837428,1.2657543,1.1810695,0.49972665,1.2692405,0.43767017,0.89816475,1.2736118,0.3719592,1.1993612,1.3255539,1.2468395,0.94195557,1.2353504,0.8814944,1.3360106,0.46301782,1.1720462,1.3163285,1.2381817,1.068901,1.2620926,0.33847386,0.79439545,0.4824927,0.72602266,1.0162694,0.9659166,1.3006322,1.3402462,1.232151,0.3879729,0.40828156,1.1398823,1.1911411,1.2216926,0.8039743,0.94007295,0.7188915,0.9956491,1.3345863,1.0354605,1.2146869,1.1784577,0.4147048,1.3592138,0.89787126,1.0999994,1.1711953,1.360223,0.31662774,1.1406857,1.08778,0.52002996,0.8038045,1.4398386,1.2728124,1.3394891,0.8438005,0.62850475,0.6684768,1.1065655,0.7949988,1.0260637,1.3633165,1.0748217,0.25546503,1.1918507
coat,0.92112,1.1833708,1.0832498,0.83529633,1.08948,1.1106803,1.2294018,1.2105976,1.0266922,0.71347785,1.2205693,1.0325155,1.0118624,0.7090479,0.96935713,1.1463805,1.2324585,1.2451226,1.1124554,1.1281081,1.1777643,1.1914493,1.275441,1.1086514,1.1236925,0.5127751,1.0944849,1.1989003,0.0,1.0966147,1.0979356,0.7263049,1.2048875,1.2291692,0.85500526,1.2758465,1.1220143,0.27123505,1.1151557,0.94498587,1.1465467,0.70667297,0.9220549,1.1029608,0.88726664,1.1793027,1.0476221,1.0186336,1.1876211,1.0651823,1.1824874,1.2088158,0.9817323,1.1992708,1.0431845,1.0147057,1.1771758,0.712386,1.0365103,0.33443677,1.1059588,0.6678293,1.2228223,0.9569323,1.2466801,1.1197278,1.0187354,0.9706232,1.0756267,1.037124,1.1456559,1.1025659,1.2595687,1.1618602,1.0359778,0.95895994,0.7130477,0.8657156,1.0689075,1.168496,1.174463,1.1179296,0.7934786,0.99056214,1.0861349,1.1085366,1.2196565,1.159131,0.90507585,1.1193235,0.8919961,0.9380774,1.2127992,0.6637916,1.1435492,1.2235835,0.91484976,0.99499184,1.2673976,1.1100099,1.0228167,1.2382779,1.0857676,0.87584656,0.46716535,0.7962687,1.2564894,1.1889976,1.1293252,1.1171465,1.0339127,1.1390955,0.896584,1.131013,1.1560466,0.73257446
