,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
belt,1.4733025,0.6983508,0.67202854,1.341282,0.59118676,0.8797301,0.8743304,0.9988206,1.3047435,1.316356,0.0,1.2583605,1.3734637,1.12183,1.3652985,1.028503,1.2607225,0.5483124,0.63419497,1.3506966,0.7132109,0.50231504,0.7465891,0.412508,0.64701045,0.69676936,1.0337216,0.9317876,0.51617086,0.851845,1.1647909,0.81773114,0.97555983,1.2916591,1.2533948,0.33422828,1.4369501,0.67396796,1.1361597,1.0876393,1.0800629,0.8778245,1.270392,1.0972774,0.9106648,1.1340705,1.2338845,0.7319337,0.5050498,0.8290423,0.91208357,0.47198963,1.2348739,1.3228176,0.6432698,1.1355604,1.1280744,1.1061989,1.2292746,1.0261791,1.2798777,0.4902706,1.0599118,1.3265777,1.2373472,1.4301593,0.35385793,1.3355148,0.48900217,1.0032914,1.1555872,1.3324673,1.4905066,1.0957643,1.3943961,0.85270256,0.5186769,0.44444305,0.66415787,0.9337825,1.0808791,1.2232237,1.2520809,1.32232,1.3297493,1.4104948,0.2772298,0.87720615,1.1021813,1.2932924,0.4806767,0.94383454,0.696765,0.70618254,0.5404056,0.6377612,1.2356974,0.6616821,0.9181138,1.2163349,1.181593,0.8509484,0.6981149,1.0605282,1.2662706,1.1481616,1.1735399,1.0463011,0.92368203,1.0125132,1.413903,0.47563595,0.61002076,1.3638585,0.4474473,1.1923082,0.95392096,1.3382218,1.3121817,1.4824778,0.6003097,0.6334052,0.7582762,1.3383138,0.50761926,1.1625419,1.3477929,1.1320115,1.1108054,1.127492,0.50525236,0.47773534,1.0375569
bench,0.81894827,1.3395907,1.4452907,0.8410717,1.406908,1.1282824,1.1628523,0.80875343,0.4460231,0.5282121,1.2583605,0.0,0.79087406,0.94507533,0.6483784,0.78906953,0.7329486,1.3137773,1.2278519,0.36655343,1.2746937,1.1788998,1.1712624,1.0598792,0.9709173,1.282274,0.8712396,0.7169894,1.2938027,0.8939302,0.78639764,1.2243887,1.1548027,0.51383543,0.97340035,1.357732,0.5932662,1.2516294,0.95125324,1.0311383,0.63237584,0.84911186,0.8854425,1.1860962,1.3448064,0.9731555,0.97724235,1.3678397,1.3295765,1.2193577,1.2148955,1.3182552,1.0401912,0.93811333,1.3187057,1.105404,0.80919147,1.130133,0.9680368,1.1760583,1.0286467,1.3854935,1.0736974,0.65614766,0.8715107,0.76087534,1.3002847,0.42887664,1.2487614,1.0647261,1.0747929,0.77288115,0.9278517,0.78765476,0.6565035,1.2830049,1.3584456,1.2703608,1.3897667,1.1943698,1.1837901,0.6546738,0.8604312,0.87544906,0.780734,0.6496476,1.21741,1.2198617,1.1701946,0.89134294,1.2670901,1.1531069,1.2110018,1.2461749,1.2950099,1.369338,0.7503065,1.0926658,1.1712087,0.5490932,0.8514242,1.2795182,1.2110648,1.0032119,0.8333591,1.0580834,0.8897474,0.9296254,0.75662076,0.66248596,0.49275148,1.4296799,1.2954128,0.96291,1.3060925,0.98193264,1.2123424,0.67664135,0.81024265,0.6385009,1.3034277,1.4173203,1.2405382,0.82973707,1.3013011,1.0496268,0.74677145,0.8322207,0.94973934,0.799955,1.1858411,1.396836,0.7422561
bib,0.8218432,1.2511222,1.2533532,0.8310281,1.2109673,0.95277536,0.8801603,0.963273,0.7424642,0.79057837,1.3734637,0.79087406,0.0,0.8805503,0.72644913,0.98781526,0.40731835,1.3283598,1.1884832,0.600063,1.2654691,1.3311758,1.0798033,1.3418882,1.3384489,1.2128475,1.1421964,1.1090256,1.2295464,1.1404485,0.95615894,1.1922472,1.1265252,0.9437578,0.8391921,1.3092096,0.82434595,1.2215496,1.0693842,0.6320365,1.0556438,0.89849865,0.854962,0.98400253,1.1529273,1.127649,0.8442036,1.2231216,1.3029876,1.1093965,1.2033519,1.3455739,0.5641211,0.8194647,1.2257147,0.9460885,0.9497155,0.58283496,1.0606843,1.0680528,0.8305009,1.2024951,0.98176026,0.84402955,0.8702183,0.77668613,1.4361088,0.94130516,1.222238,0.99392,0.9185245,0.8340658,0.7239675,1.108327,0.91148376,1.1916775,1.2943779,1.1126544,1.2106673,1.092994,1.0296305,0.98059887,0.9069091,0.81703436,0.9182915,0.46561807,1.3074563,1.0106119,1.0205795,0.90336543,1.3265545,0.9518268,1.2404393,1.1748368,1.3155193,1.2681916,0.81221896,1.051202,1.1458918,1.0844941,0.89180624,1.1711043,1.0557235,0.62459207,0.90456784,0.8662979,0.9272192,1.017622,1.1008346,0.9317681,0.70942336,1.3109899,1.2149254,0.88800645,1.3689435,1.0424305,1.1091242,0.8692174,0.81980366,0.4996525,1.084673,1.2789396,1.2244323,0.7209268,1.1543872,0.5104283,0.668345,0.9410865,0.88294023,0.9310021,1.3319278,1.3335171,0.9830828
bird,0.7812428,1.2369285,1.2192608,1.0593745,1.1467385,1.0451807,1.0046147,0.82805264,0.962229,1.0078092,1.12183,0.94507533,0.8805503,0.0,0.9869638,0.8586316,0.8680043,1.0690997,1.0036683,0.92694783,1.0197458,1.2198266,0.99265146,1.2166126,0.992563,1.2296453,0.94446087,1.0734866,1.044586,1.1736174,0.93007493,1.1664642,0.9256259,1.0195019,1.0288486,1.1981988,0.9141411,1.0705551,0.8001658,0.6862531,1.1293947,1.0897253,1.0286342,1.0947597,1.1369838,1.0117234,0.93540984,1.2666788,1.0346568,0.90183854,0.96599936,1.0491173,0.86861706,0.96665317,1.1493219,0.87197196,1.0230027,1.0757567,1.0360667,0.92821,1.1077526,1.02829,0.8327645,0.9825572,0.9058629,0.95447886,1.1232389,1.0217652,0.90754646,0.97794724,1.1135292,0.98946,0.9766515,1.201663,0.82860506,1.0411333,1.2270917,1.0580137,1.1488757,1.1810858,1.1228523,1.0334238,0.65088373,1.1060652,0.99008024,0.87256855,1.1087953,1.1333611,1.1622783,0.8853312,1.1174132,0.87721694,0.945394,1.0413926,1.0990447,1.2139529,0.92967325,0.9754566,1.1695155,1.0592711,0.915162,0.80098665,1.1385319,0.9460275,1.0314602,0.71252793,1.0071543,0.87477624,0.9293548,0.9432593,0.92756397,1.1387229,1.1516514,1.0562911,1.037688,1.0431719,0.9475026,0.8546649,0.9515905,0.9149215,1.100749,1.2121471,1.2180012,0.9795299,1.1071227,0.8674946,0.81813633,0.9340812,0.9902619,1.0092765,1.265132,1.1363369,0.9255525
blanket,0.6301257,1.2040253,1.4818381,0.61172163,1.4544151,1.3072089,1.4043889,1.1503654,0.7160235,0.15304744,1.3652985,0.6483784,0.72644913,0.9869638,0.0,1.0529128,0.84623027,1.4938616,1.492044,0.71693265,1.4417984,1.2887094,1.4204063,1.3311435,1.2091346,1.1400483,0.6751281,0.91047996,1.4451061,0.9581237,0.7102421,1.0069525,1.2019695,0.3901354,0.76410246,1.5449982,0.6015081,1.4669291,0.9384237,1.0468457,0.6692208,0.849334,0.45476782,1.0890372,1.3819008,0.6307531,0.8484485,1.320503,1.2746568,1.289326,0.9712611,1.5166507,1.1252469,0.9893533,1.3984739,0.89213145,0.8828523,1.1042576,0.79170483,1.2104347,0.84103554,1.4606686,1.0634084,0.8303329,0.5698432,0.50597733,1.5173128,0.6601284,1.5625806,1.205261,0.9015436,0.80151695,0.6226599,0.8479543,0.7183174,1.1390412,1.4049242,1.4233874,1.3067956,1.047266,1.047146,0.65660954,0.60402083,0.34960908,0.67414486,0.6803451,1.3727452,1.2776788,0.96124846,0.90742636,1.0204048,1.1846721,1.3191257,1.4240593,1.40877,1.35139,0.6545794,1.2509257,1.0068812,0.6487696,0.5926194,1.3017336,0.9713418,1.2874317,0.52315336,0.93588436,0.62918234,1.2386994,0.84297943,0.8108132,0.6468724,1.3314191,1.4509085,0.7263511,1.5970328,1.0305005,1.3366361,0.6910221,0.6217767,0.45991886,1.4952847,1.3943123,1.1912951,0.95920676,1.311079,1.1942549,0.72231376,0.75566244,0.7967703,0.984725,1.3422159,1.2946448,0.85915434
boat,1.1259813,1.2452836,1.293612,1.1053156,1.2389132,1.0721725,1.0055697,0.6651633,0.8180566,0.9289738,1.028503,0.78906953,0.98781526,0.8586316,1.0529128,0.0,1.0007279,0.9772601,0.9180159,0.92897147,0.966938,1.0615737,0.8716756,0.9197834,0.55436945,1.3546487,0.925603,0.77360475,1.1700822,1.0178397,0.9077344,1.327313,1.0667082,0.96008897,1.1715587,1.1487582,0.8190409,0.97711897,0.78449106,0.9794257,1.036943,1.0114797,1.1411686,1.1411439,1.3049096,1.0701792,1.0641059,1.358414,1.1219714,0.9283091,1.1547003,0.8936813,1.1145227,1.0634717,1.1789966,1.116594,0.5086468,1.247686,1.1060245,0.94194967,1.2333037,1.1258746,1.0647886,0.7770359,0.990995,1.0307875,0.9838189,0.81140506,0.94220954,0.927501,1.2602439,0.91003346,1.1899437,0.85084796,0.84855354,1.2001424,1.2902861,0.89808977,1.1030525,1.2680373,1.3972595,0.7383064,0.9318452,1.1511254,1.0052946,1.0350709,1.0334773,1.2399751,1.3375381,0.9067072,1.0718645,1.0153865,0.903182,0.9221866,1.1903269,1.3235521,0.9367421,0.7053865,1.3016866,0.8288393,0.84761244,1.1422834,1.2139577,0.90840924,1.1183223,0.94612736,1.0173872,0.74130535,0.8014213,0.7432482,0.7718997,1.251013,1.1024286,1.094841,0.9068121,1.055538,1.0110584,0.84616435,1.0345707,0.963971,1.1375912,1.3498328,1.3061872,1.0376983,0.9414672,0.97120214,0.8895537,0.8443788,0.85176945,0.6168414,1.1037368,1.1851854,0.77164936
book,0.91780514,1.2849789,1.2484405,0.92140627,1.1806169,1.0021969,1.0380104,0.8513898,0.87443924,0.89859325,1.2607225,0.7329486,0.40731835,0.8680043,0.84623027,1.0007279,0.0,1.1204367,1.0775251,0.2538882,1.1564479,1.1596,0.98592544,1.1459615,1.1889458,1.1469789,1.1388208,1.0237874,1.1347988,1.0899159,0.9240045,1.161587,1.1236126,1.0053759,0.78713506,1.1731446,0.89818466,1.1005832,1.0296768,0.5895727,1.0753103,0.87748814,1.0145451,1.0493182,1.1596359,1.1725018,0.8739462,1.2243518,1.2464103,1.0291427,1.1719851,1.1710645,0.857557,0.92575157,1.2040467,1.1170615,1.0039581,0.5709371,1.0526859,1.0161343,0.88663566,1.2405595,0.879162,0.9348966,1.0876528,0.9157615,1.2292174,0.8995904,1.133866,0.8937497,0.99914587,0.7950891,0.9204731,0.9639838,0.95317566,1.1052481,1.2618198,1.0424228,1.2018719,1.1504354,1.0602504,0.99032295,1.0509188,1.0286034,0.99815255,0.19848752,1.02794,0.88314366,1.1761445,0.9530236,1.1782848,0.87325,1.112284,1.015585,1.2582264,1.1880462,0.9051165,0.91876984,1.205061,1.00422,0.940173,1.1354158,1.1862379,0.89085597,1.0156877,1.0141349,1.06601,0.9263325,1.1107062,0.93197733,0.7999583,1.3495145,1.1481305,0.9868409,1.2587353,1.1031973,1.0370095,0.9567655,0.9747742,0.5459231,1.1221266,1.2446702,1.2224048,0.8091972,1.1143756,0.70969677,0.682447,0.9760192,0.9055612,0.8951744,1.1754439,1.3531371,0.9549868
bottle,1.476924,0.8974798,0.6394654,1.4711635,0.43059564,0.66740966,0.81658876,0.69836926,1.2906101,1.4534681,0.5483124,1.3137773,1.3283598,1.0690997,1.4938616,0.9772601,1.1204367,0.0,0.46302825,1.2049894,0.4870118,0.6520977,0.2599318,0.40741277,0.59722745,0.8679844,1.1554185,0.818823,0.40129554,0.80768657,1.2038063,1.0543869,0.93686914,1.488325,1.3621203,0.40648854,1.3852152,0.19898951,0.9648173,1.0091047,1.2055905,1.1727091,1.3860575,1.2117009,0.80420977,1.249343,1.2081242,0.9730693,0.8035212,0.45002353,1.0673348,0.2752365,1.167775,1.1527197,0.7952762,1.1656308,1.1269059,0.9922271,1.296719,0.8037034,1.3873366,0.54840124,1.0774338,1.2313421,1.2404402,1.5089831,0.28684032,1.3008068,0.27484757,0.9251094,1.1702644,1.125956,1.5318141,1.1559986,1.3428054,0.8200846,0.6655012,0.26587248,0.8169931,1.2057741,1.1495639,1.3609402,1.2901137,1.5631423,1.4854584,1.3612897,0.5609441,0.83393425,1.2482013,1.2172761,0.7109552,0.6680327,0.3880368,0.5574115,0.512589,0.77118397,1.2677379,0.7679117,1.1757649,1.2454113,1.2643242,0.80117047,1.1455235,0.961259,1.4132441,1.199339,1.4441727,0.71291536,0.9492917,1.060447,1.4104,0.7419299,0.43919146,1.3300809,0.29443455,1.2255428,0.6263593,1.3591465,1.4350947,1.4079525,0.56735957,0.802377,1.048624,1.3086138,0.3203987,0.92067057,1.368666,1.2169309,1.0934641,1.1078088,0.6083613,0.60260916,0.9863924
bowl,1.4280839,1.0196401,0.6175455,1.4637166,0.53286433,0.52587545,0.6488564,0.6684475,1.0844841,1.4499176,0.63419497,1.2278519,1.1884832,1.0036683,1.492044,0.9180159,1.0775251,0.46302825,0.0,1.1457,0.42460406,0.9481439,0.4111781,0.6812165,0.72362125,0.90313303,1.2068732,0.8004344,0.5444758,0.99724466,1.1300772,0.8402965,0.928918,1.4798341,1.211378,0.6487658,1.347798,0.34333384,0.99518746,1.0090759,1.3132197,1.025644,1.4885235,1.2127671,0.594857,1.3933818,1.215058,1.0939549,0.8442239,0.62771106,1.1818216,0.50704354,0.9464415,1.0573184,0.9156772,1.1379784,1.142483,0.8973785,1.3689736,0.62106407,1.3393499,0.6766843,1.0159502,1.1563226,1.4050548,1.48913,0.5437823,1.3018577,0.40565872,0.7202021,0.80391556,1.1690049,1.4390113,1.2411184,1.2316322,0.66168106,0.85303104,0.4933368,1.0031701,1.2265612,0.81697726,1.1671394,1.2841513,1.5425898,1.4584637,1.2859946,0.721477,1.0262259,1.2352744,1.0754944,0.8497468,0.511503,0.6087747,0.32662404,0.64618385,0.60153174,1.3096483,0.69277614,1.1580532,1.2931654,1.2130071,0.8886709,1.2183416,0.8170942,1.4637046,1.1576644,1.4662689,0.50447524,1.1134876,0.7820214,1.3669893,0.8832185,0.66519946,1.2122737,0.45622617,1.0482452,0.59679633,1.3038228,1.4271034,1.2728221,0.31714535,0.9724832,1.1517005,1.265223,0.6730273,0.7042814,0.9825243,1.1928551,1.1560656,1.1333884,0.9302689,0.8641619,1.066935
box,0.84257114,1.3388348,1.387358,0.86688817,1.3684388,1.0909746,1.1708906,0.7492884,0.55956054,0.68300635,1.3506966,0.36655343,0.600063,0.92694783,0.71693265,0.92897147,0.2538882,1.2049894,1.1457,0.0,1.2576087,1.2112694,0.97274524,1.104986,1.1081368,1.2284678,1.0373105,0.9106093,1.2744731,0.9838005,0.82768935,1.1887217,1.1563635,0.7284456,0.8558763,1.3671665,0.75558275,1.1598045,1.0295786,0.8099047,0.8283577,0.77304316,0.9080879,1.1361128,1.2665637,1.0867654,0.89954567,1.3543766,1.3851001,1.1633142,1.1479081,1.3526254,0.99280053,0.9203037,1.3298788,1.1115475,0.8886662,0.8188758,0.9731779,1.0569754,0.97407377,1.3743428,0.94428617,0.80369556,0.9982508,0.79796356,1.3678463,0.60915667,1.2507131,0.97478026,1.0112139,0.6583776,0.9018655,0.8321855,0.78905785,1.1726089,1.3970902,1.199846,1.359657,1.1942294,1.1088969,0.7277714,1.0074803,0.9358858,0.8872013,0.32544488,1.1939881,1.09811,1.1765021,0.937551,1.2324537,0.98813635,1.1880674,1.1461396,1.3557177,1.2967067,0.7015564,0.9554853,1.2182555,0.6708227,0.93759304,1.1827421,1.2291954,1.0457338,0.87590826,0.9970307,0.9454257,0.8952199,1.0322123,0.7399927,0.63328415,1.454481,1.2499549,0.9167572,1.3855748,1.0318453,1.1448659,0.7675185,0.9159646,0.57948804,1.2223519,1.397645,1.2874418,0.8223615,1.2573153,0.89852345,0.6436534,0.89518726,0.91467714,0.7543778,1.1893678,1.4546807,0.903047
bread,1.4196956,1.0708213,0.61722136,1.3945509,0.52845466,0.78885865,0.62915605,0.7927029,1.2543137,1.4223549,0.7132109,1.2746937,1.2654691,1.0197458,1.4417984,0.966938,1.1564479,0.4870118,0.42460406,1.2576087,0.0,0.8755217,0.63168955,0.8064062,0.781224,1.0300114,1.1542685,0.95444727,0.52403694,1.0236969,1.1576064,0.89267427,0.6398284,1.457995,1.1002858,0.61520123,1.3585483,0.51264423,0.86293954,0.9977227,1.3308505,1.2282069,1.3664614,1.1731173,0.6701406,1.3130364,1.1556739,1.0442413,0.82297665,0.56895304,1.246567,0.36998534,1.1017845,1.2549479,0.8374741,1.1077056,1.1271267,1.1091046,1.2957313,0.22565717,1.3382115,0.6718841,1.0409583,1.2761569,1.2382573,1.4386026,0.41998088,1.3245625,0.42675608,0.7293328,1.0520638,1.2764318,1.408172,1.2379771,1.2983115,0.53368753,0.7889137,0.52006173,0.91279227,1.1700915,0.94958615,1.342849,1.0375751,1.4937649,1.4190245,1.3155899,0.7554544,1.0017701,1.242019,1.0909784,0.8334511,0.31598127,0.6009878,0.21678483,0.5691269,0.72197735,1.3363526,0.7792001,1.1719606,1.4009118,1.1619363,0.93361574,1.2136395,0.9341175,1.4364451,1.1332898,1.4292389,0.73687786,0.9860805,1.0558243,1.4519464,0.8964884,0.6182004,1.1658219,0.37048596,1.1673114,0.5297413,1.3696598,1.3837585,1.24405,0.512211,0.93816864,1.1522902,1.314743,0.6201068,0.93315065,1.1619117,1.1532937,1.0951447,1.1845144,0.92225546,0.79354584,1.0999439
broom,1.3698533,0.7705162,0.9083884,1.2071093,0.81320405,1.0404959,0.93094903,1.0241601,1.2324499,1.2023494,0.50231504,1.1788998,1.3311758,1.2198266,1.2887094,1.0615737,1.1596,0.6520977,0.9481439,1.2112694,0.8755217,0.0,0.84535813,0.33783162,0.8600504,0.83002585,1.1144772,0.83292127,0.7000578,0.7468781,1.0573542,0.9948247,0.9865617,1.2073168,1.1621889,0.5008133,1.2454433,0.7751807,1.199414,1.1500067,0.90656275,0.9952246,1.1729409,0.9719961,1.0420367,1.1043438,1.2043853,0.85264176,0.7624762,0.8964871,0.9028557,0.6314162,1.2338371,1.2192852,0.82492924,1.2517105,1.0837016,1.1531181,1.1334981,1.0678463,1.2585309,0.7826648,1.0806092,0.95486194,1.1088346,1.2602866,0.51528174,0.936125,0.64105564,1.0971456,1.1674591,1.2112001,1.3506713,0.63876307,1.2800363,1.0620842,0.74811465,0.5456381,0.7934909,0.98471755,1.1598169,1.1843424,1.2631487,1.2877171,1.2168076,1.2529246,0.40861535,0.82197213,1.0203336,1.2353681,0.72437406,1.1272763,0.7037051,0.883104,0.7403046,0.9130718,1.1400383,0.85462475,1.0274932,1.040555,1.1872103,0.99355876,0.84430957,0.97461426,1.2150201,1.1912498,1.121473,0.99422556,0.9653067,1.1154851,1.1856209,0.73954463,0.68493646,1.2546775,0.5929163,1.1732582,1.0341109,1.2099545,1.2308617,1.3497467,0.84093237,0.7979097,0.8005836,0.98113394,0.5037381,1.1661192,1.3178732,1.0765706,0.9583201,0.98877114,0.12869704,0.72214234,0.97387433
bucket,1.4089751,1.0087501,0.87051785,1.4510958,0.6664984,0.63337463,0.86395615,0.4867872,1.017765,1.3819454,0.7465891,1.1712624,1.0798033,0.99265146,1.4204063,0.8716756,0.98592544,0.2599318,0.4111781,0.97274524,0.63168955,0.84535813,0.0,0.513689,0.69140404,0.99084496,1.2140261,0.7385303,0.61062706,0.8843526,1.0361383,1.0938348,1.0164547,1.4330198,1.3233346,0.7351891,1.2932138,0.29952228,0.997414,1.0058435,1.1838046,1.0427624,1.3935248,1.2108603,0.9031338,1.3536069,1.1918532,1.1416427,1.0406806,0.5902364,1.0778276,0.5277199,1.0587437,1.0236224,0.9628335,1.0974163,1.0712461,0.9128519,1.323925,0.7566291,1.3560767,0.67452484,1.0847791,1.0393867,1.267317,1.3937507,0.6124108,1.1264832,0.40801,0.91044486,1.0495485,0.8138893,1.3855932,1.0416763,1.1921475,0.8341836,0.96223915,0.39108264,0.94926333,1.2170776,1.114115,1.1660713,1.2583914,1.5011652,1.4397025,1.2382643,0.7677307,0.9461413,1.3070922,1.1907835,0.8339637,0.68096,0.5670373,0.6359124,0.8004018,0.9017581,1.05107,0.6825482,1.1864585,1.1126459,1.2621757,0.9258278,1.1629266,0.9119913,1.3875077,1.0591712,1.40899,0.60464156,1.0473709,0.81624246,1.1738958,0.93302107,0.72471887,1.1973486,0.51384246,1.1239252,0.677404,1.1821882,1.4480333,1.3149922,0.5051536,1.0333635,1.2224826,1.1691282,0.5166661,0.77606785,1.1502479,1.2204506,1.0252221,0.92988974,0.7844814,0.81585383,1.0348897
can,1.5058744,0.74879235,0.9408269,1.386904,0.76699054,0.88237214,0.95864284,0.7321991,1.1218245,1.2052026,0.412508,1.0598792,1.3418882,1.2166126,1.3311435,0.9197834,1.1459615,0.40741277,0.6812165,1.104986,0.8064062,0.33783162,0.513689,0.0,0.6144595,0.8189912,1.0725431,0.5343069,0.67393214,0.5891673,1.0290673,1.0259684,1.0440559,1.2116538,1.3156931,0.5550794,1.2402956,0.5099388,1.1393096,1.149216,0.79795706,0.9163308,1.3001475,1.1105978,1.06215,1.1815594,1.2720793,0.9464191,0.8565915,0.8131825,0.9206066,0.5171268,1.3126183,1.2453856,0.8401981,1.218598,1.0558182,1.1600592,1.2167084,1.0074967,1.3349044,0.6836553,1.1019566,1.0228968,1.1945777,1.4005957,0.4829477,0.9840708,0.5230334,1.0045974,1.2200705,1.1873597,1.485261,0.7558043,1.325975,0.9645042,0.79162604,0.35953844,0.7962382,1.0802586,1.2278723,1.0623226,1.3047311,1.3899975,1.359235,1.3285853,0.52544624,0.94276613,1.188342,1.2547495,0.616752,0.9911964,0.6250523,0.7652796,0.7391957,0.86377835,1.1463838,0.6725455,1.1175587,0.901279,1.2490525,0.9323534,0.94287246,1.0207613,1.2963858,1.2408459,1.2605326,0.8317573,0.947232,0.9013519,1.163843,0.7583515,0.6853258,1.3176627,0.549315,1.2127504,0.9696048,1.2682383,1.3806019,1.4307362,0.75223535,0.84063387,0.936893,1.2155838,0.38658953,1.1199315,1.3308394,1.146888,1.057794,0.88211286,0.32042247,0.7088958,0.80916095
car,1.2899956,1.0992922,0.9974577,1.3318067,0.86842716,0.89848065,1.0248481,0.64430356,1.0197438,1.0842507,0.64701045,0.9709173,1.3384489,0.992563,1.2091346,0.55436945,1.1889458,0.59722745,0.72362125,1.1081368,0.781224,0.8600504,0.69140404,0.6144595,0.0,1.1218714,0.9751428,0.67427444,0.8303981,0.78831434,0.8911856,1.1584619,1.0975889,1.0244588,1.3105662,0.73169994,1.0242277,0.7148306,0.9098946,1.0996054,1.0159309,0.9600831,1.2703419,1.1714507,1.183305,1.0653793,1.1303971,1.1617668,0.8954498,0.77078533,1.1438904,0.5073464,1.3361468,1.119047,0.963815,1.1506476,0.7960187,1.2606332,1.1281514,1.003382,1.3831029,0.78706735,1.0722207,1.022433,1.1471407,1.2346101,0.5171745,0.9132767,0.6756682,1.0704222,1.3354759,1.1045618,1.3572838,0.8202809,0.907701,1.0986558,0.92195606,0.6435169,1.0523944,1.2533822,1.3306334,0.9066445,1.1631341,1.3075142,1.2075087,1.2679355,0.6877788,1.0715172,1.344969,1.0987302,0.79648864,0.9573027,0.7020947,0.7663678,0.8123646,1.0411696,1.0609002,0.68304294,1.1766162,0.88371426,1.1256536,0.9970199,1.0761809,1.0608647,1.1788514,1.1218363,1.193546,0.7812112,0.8450736,0.75633633,0.98373234,0.95590067,0.8005408,1.2479815,0.5278652,1.0257396,0.95280963,0.9094956,1.2478571,1.2030363,0.919292,1.1045344,1.1230911,1.2548743,0.6897587,1.1753371,1.138833,1.0686675,0.89676416,0.9021484,0.86745054,0.85812634,0.77409184
carrot,1.1990697,0.6182907,0.575868,1.0817701,0.6231275,0.86435366,0.99832016,1.3935591,1.3202754,1.2661251,0.69676936,1.282274,1.2128475,1.2296453,1.1400483,1.3546487,1.1469789,0.8679844,0.90313303,1.2284678,1.0300114,0.83002585,0.99084496,0.8189912,1.1218714,0.0,0.93075675,1.1256112,0.72500163,1.011786,1.1723394,0.38177943,0.98494494,1.2381748,0.8453243,0.65775955,1.4044048,0.91002846,1.2417184,1.0629259,1.1527387,0.947634,1.0201218,1.0071143,0.6435506,0.93517184,1.03396,0.6193168,0.6077519,0.9645425,0.8447013,0.938296,0.9812828,1.1345417,0.82985425,1.0904953,1.1723475,0.71297747,1.0556952,1.2063851,0.9316404,0.7599618,0.904009,1.2269648,1.1417354,1.3105937,0.8334539,1.3290278,0.9326558,1.0204412,0.58833534,1.2280995,1.0915942,1.1373135,1.3421683,0.61577725,0.63784975,0.90583766,0.75459933,0.67637193,0.45457828,1.3376716,1.1904062,1.0231544,1.3109436,1.202819,0.71284974,0.886773,0.6509738,1.2216475,0.7484746,1.095326,0.99966913,1.0401306,0.62895733,0.3964132,1.2318262,1.0592673,0.5879528,1.2890906,1.0213877,0.79275954,0.6965375,1.0832583,1.0809551,1.2511399,1.1928343,1.3093071,1.0704772,1.269068,1.3422891,0.65766,0.8017323,1.12347,0.9469015,0.97468996,1.0004665,1.3564954,1.2127924,1.302022,0.73257935,0.58450496,0.61193573,1.1212016,0.8673818,1.0205272,1.3215884,1.0343205,1.1187444,1.1840425,0.831476,0.6857621,1.2611885
cat,0.88266486,1.0517925,1.2715112,0.89025515,1.2265987,1.1397192,1.2982568,1.1185102,0.9040673,0.6930129,1.0337216,0.8712396,1.1421964,0.94446087,0.6751281,0.925603,1.1388208,1.1554185,1.2068732,1.0373105,1.1542685,1.1144772,1.2140261,1.0725431,0.9751428,0.93075675,0.0,1.0011466,1.1620412,1.0069286,0.8901112,0.8293294,1.1132883,0.675326,0.9838026,1.2244946,0.79887295,1.1972476,0.36415827,1.0437126,0.7660041,1.0489286,0.7651991,1.149215,1.2174735,0.6561983,0.90474594,1.1957847,0.9846546,1.1364393,0.92220277,1.1745781,1.1889821,1.0685098,1.1309655,0.9560684,0.88393706,1.2517514,0.72934175,1.1257367,1.0075706,1.0923154,1.0144347,0.9098306,0.6937075,0.90733474,1.1179215,0.96591216,1.1632148,1.1272783,0.9905576,1.0078492,0.9896604,1.0219556,0.7998482,0.8719436,1.1621304,1.228908,1.1655086,1.0053619,1.0502584,0.7780076,0.66029173,0.8394208,0.9167861,1.0121922,1.1058764,1.335056,1.0167235,0.8236408,0.9489515,1.1947224,1.1232599,1.1887586,1.1373386,1.0938679,0.9683522,1.046397,0.87788284,0.71429765,0.7487169,1.0373548,1.0881158,1.1838338,0.7731395,1.024679,0.9160441,1.1346421,0.7385886,0.9002436,0.9775175,1.0392958,1.2178936,1.0020465,1.1519887,1.017612,1.2319219,0.89026684,0.8502394,0.923284,1.3111478,1.173497,1.0792031,1.1486335,1.1756178,1.2222883,1.041703,0.90013033,1.0332718,1.1127276,1.1897343,1.0465512,0.9061639
