,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,truck,vacuum,watch,window
bear,0.9742137,1.0489005,1.119342,1.1310484,0.9358694,1.0790584,1.1455714,1.064314,1.1076555,0.8921993,0.0,0.9446423,1.0941055,0.84764636,0.98359334,0.8609152,0.90912473,1.0907769,1.1929718,1.2659986,1.0076275,1.0516937,1.0801067,1.1890668,1.037248,1.1466753,1.0993015,0.98902434,0.8822247,1.0987557,1.1285143,0.980716,1.0388142,0.9079078,0.96060395,1.1500392,0.935989,1.2564683,1.0180044,1.0942963,0.9858396,1.0107375,1.0405145,1.0664084,0.35283297,1.0600966,1.0212513,1.0468849,0.89924765,1.1131383,1.1133095,1.1691973,0.90968704,0.97152674,1.0339338,1.010872,0.74750286,1.086944,0.96671903,1.1522701,0.9633792,1.1317267,0.9735327,1.138987,1.0145268,1.1488633,1.0701654,1.1124132,0.99356294,1.1134329,0.9270874,1.0560497,1.0289237,1.0447129,1.0972995,1.1182959,1.0711588,0.9557635,1.0597044,1.1526678,0.5843119,0.92198956,1.0457741,1.0095898,1.131044,1.1330312,0.91005665,1.0039723,1.0952624,1.1757054,1.2096435,0.9019577,1.0766728,1.0603508,1.1059597,0.96533835,0.43664074,1.0560207,1.0902711,0.89881206,1.0706735,0.9684061,1.0457071,1.0321838,1.1103941,0.9691489,0.88122636,0.93201405,1.1460954,1.0015529,1.1710194,0.9727931,1.0997982,0.97954285,1.0392251,1.1375854,1.0951616,0.96487,1.0043323,1.0461323,1.0368265,1.0644441,1.0262922,1.0960914,1.1022825,1.1321024,0.9482024
bed,1.1885223,1.1704657,1.446476,1.2189535,0.60587215,1.2114848,1.214975,1.2856057,1.2329831,0.7208331,0.9446423,0.0,1.3216028,0.46013862,0.7550839,1.1690898,0.22594893,1.0734781,1.3755016,1.2683402,0.90964884,1.354435,1.2848198,1.4210358,1.2934774,1.3533177,0.9427473,1.1870383,0.6511537,0.74925387,1.4422042,0.6503935,1.0545142,0.19315481,0.99174273,1.502893,0.64944124,1.4025457,0.82841897,1.2069676,0.7254784,0.837877,1.2927933,1.3007493,0.90387803,1.1757491,0.97466904,1.3385515,0.81038475,1.2657205,1.1454935,1.4476954,0.9075795,0.8551743,1.3815014,0.98938763,0.6214383,1.2707243,0.6942798,1.400203,1.0201771,1.3654094,0.6100248,1.2014745,0.41236758,1.3603971,0.73994994,1.4657537,1.1687434,1.0752524,0.8989332,1.151614,0.59988886,1.2213581,1.3906295,1.1895782,1.2272767,1.0747285,1.2852405,1.1673428,0.9724678,0.57083595,0.53898406,0.7310874,1.501382,1.4810562,0.96719927,0.79377466,1.2887908,1.230247,1.375731,0.82620484,0.77479875,0.9249965,1.3604939,0.5361563,0.87545043,0.87335396,1.2657472,0.72938406,1.2768102,0.5120769,1.0660162,0.6201147,1.4262427,0.4438914,0.55701655,0.79450405,1.4590592,1.0520304,1.3865848,1.1732312,0.6149821,0.5354332,0.2078762,1.3585076,1.3694129,1.1800942,1.1188105,0.94543123,1.1534281,1.1283033,0.7792045,1.2159221,1.242913,1.5131776,0.4870034
belt,0.98370326,0.91564184,0.70095766,1.0750046,1.385324,0.74362534,0.9597347,1.1215816,0.8331053,1.0664877,1.0941055,1.3216028,0.0,1.4093198,1.2497075,0.95636475,1.1248823,1.0294365,0.78137255,0.8625608,1.1882088,0.8201839,0.8617401,0.64493066,0.95623827,0.68063337,0.7454841,1.0714384,1.2513844,0.95244384,0.68901145,1.2681074,1.0142509,1.3020923,0.9934207,0.5544484,1.1628994,0.7577787,1.2180485,1.1327044,1.1886358,1.061297,0.75042194,1.0220256,1.0275669,1.0201156,0.98459405,0.89158946,1.2426219,0.87105346,0.7506376,0.63792163,1.0049642,1.3320981,0.7956313,0.7821936,1.3192203,0.7987797,1.3351735,0.86287975,1.2244705,0.6710987,1.1914324,0.83603185,1.3144541,0.583216,1.1601064,0.7063429,0.97248477,1.0221789,0.94052905,0.9337844,1.2883545,0.71518743,0.643983,0.6889906,0.85663426,1.2093763,0.7703928,0.68361765,1.1323977,1.233015,1.3077452,1.3244407,0.55734354,0.5432954,1.2559507,0.6820231,0.8879349,0.6498623,0.7402024,1.2918254,0.9711777,1.0977484,0.5933026,1.3344519,1.0166645,1.277133,0.49228787,1.1911565,0.861457,1.2860639,0.8839784,1.1250939,0.8186021,1.2337649,1.1389029,1.1423098,0.47358435,0.93460846,0.78306,0.98670805,1.1929753,1.2698444,1.3486195,0.8660055,0.92738557,1.0696818,1.1974092,0.70283055,1.0092556,0.813048,1.2091343,0.8480145,0.8428632,0.46530294,1.264034
bench,1.108731,1.117425,1.4143522,1.1467602,0.6083385,1.2769825,1.14715,1.102811,1.2493849,0.4289142,0.84764636,0.46013862,1.4093198,0.0,0.78040266,1.1271505,0.5034044,1.0609056,1.404905,1.2359463,0.86453503,1.3697116,1.1732469,1.420473,1.1646384,1.2455416,1.195984,1.0107816,0.7691785,0.7485013,1.432186,0.6745433,1.0980511,0.3426993,0.9000628,1.4530873,0.44533956,1.4414526,0.9339139,1.1493093,0.6528538,0.7117224,1.3103391,1.2417308,0.8548533,1.2329032,1.0432929,1.2625555,0.69559693,1.3339195,1.0945685,1.4304075,0.9666507,0.9114796,1.349933,1.0472351,0.730809,1.2462952,0.7095892,1.4077523,0.94254845,1.4367335,0.83765763,1.2253835,0.53316355,1.3920482,0.66899574,1.3429253,1.0690615,1.1006294,0.904999,1.0719613,0.6501567,1.1495045,1.3871719,1.2509309,1.2068512,1.0020045,1.2369817,1.0976806,0.90260947,0.59508264,0.52884483,0.6679978,1.476109,1.4473926,0.87771547,0.94906926,1.2952578,1.3636249,1.4149988,0.80673206,0.9213794,0.9531229,1.3506563,0.5344882,0.85400176,0.8703474,1.3036942,0.6923647,1.2284108,0.54156953,0.9781414,0.6494214,1.2920157,0.59573025,0.656341,0.85195184,1.351654,0.9308301,1.3517168,1.1557362,0.68291235,0.7232889,0.6847168,1.2464411,1.3118739,0.97267586,1.0265701,1.0664476,1.0747511,1.060848,0.81458616,1.2487292,1.1533546,1.5127195,0.6609745
bib,1.0999873,0.97355765,1.4067042,0.9579604,0.6558989,1.1626376,1.032744,0.989511,1.0679909,0.996451,0.98359334,0.7550839,1.2497075,0.78040266,0.0,1.0536106,0.7265827,0.90370196,1.057825,1.1868125,0.8719432,1.3464574,1.173122,1.1214733,1.0466565,1.346127,1.3158585,1.0766975,0.92780083,1.2014219,1.3767542,0.9865974,0.86401606,0.82972765,1.0769678,1.4386889,0.93499964,1.2642082,1.0113567,0.92925406,0.9944621,0.95339775,1.2346768,1.1432412,1.0107169,1.0381962,0.6935013,1.1282692,0.7636522,1.2084423,1.0212853,1.405184,0.9046037,0.7101518,1.2366701,1.0653613,0.8938315,1.0464627,0.69353557,1.4087132,0.76319456,1.3336697,0.805668,1.0189406,0.7324613,1.2743949,1.016405,1.4166474,1.1607877,0.87631935,1.0087079,1.1337554,0.8210794,1.3237965,1.3798819,1.1832919,0.80912054,0.8415534,1.3498406,1.1899471,0.8995628,0.4532885,0.8262341,0.6207342,1.3823187,1.373306,0.7583294,1.1817147,1.1568432,1.1732817,1.2987665,0.86973554,0.88691187,1.0137391,1.379437,0.7891639,0.9659301,0.87252927,1.368752,0.5155058,1.0420942,0.5529634,0.8614823,0.7342155,1.2188791,0.71289694,0.8676368,0.7343914,1.3480127,0.7986894,1.2559848,0.96705794,0.83244514,0.5719969,0.7386085,1.2952213,1.124846,0.8734951,0.77381694,1.1190255,0.92849475,1.3322077,1.0457479,1.251135,1.1923852,1.3724939,0.8771472
bird,0.21289897,1.0527709,1.0218153,1.0996089,1.1297789,0.93545794,0.9402452,0.983317,0.9886662,1.0430622,0.8609152,1.1690898,0.95636475,1.1271505,1.0536106,0.0,1.1448954,0.98657525,0.96691227,0.99316263,1.0677414,0.8886237,0.99144167,0.9748126,0.37536126,1.0551178,1.1006777,0.969579,0.9870735,1.2117296,0.84972787,1.1559297,1.0294256,1.2337227,1.015704,0.9825388,1.098785,0.96684754,0.9536153,1.0034413,1.1179985,0.98357695,0.9790316,0.98002726,0.9991845,1.0294377,1.0143682,1.0991946,0.8720223,0.95435643,0.93023145,0.9394923,0.678563,1.1830864,1.0618289,0.9066539,1.0353547,1.0085635,1.1903656,0.9472935,1.1350126,1.0389336,1.0665762,1.0019585,1.1486806,0.9035697,1.1054666,0.83318096,1.0142506,1.0163975,0.9023136,1.0431508,1.0641323,1.0208774,1.0726116,0.93441,1.0643793,1.1923597,1.0453597,1.0321041,0.64372194,1.176404,1.140555,0.98757994,0.9741685,0.9932219,0.9885753,1.1584226,0.9541543,0.82103693,0.9385887,0.9855856,1.0052763,1.0210259,1.0823642,1.1970661,0.9486095,0.95991874,1.0057297,1.1296313,0.8990346,1.1467493,0.8881733,1.1721231,0.9739763,1.2009354,1.0872788,0.9758513,0.95791686,1.1232471,0.8958096,0.96712774,1.1152077,1.0600902,1.1357514,1.0084127,1.0740134,0.99634534,1.0094877,0.9264076,0.97356063,1.0406758,1.0696145,0.9383903,1.0288684,1.0038469,1.1429856
blanket,1.1423635,0.9558541,1.4602361,1.1922925,0.67685395,1.227212,1.2455227,1.2273402,1.295012,0.7702757,0.90912473,0.22594893,1.1248823,0.5034044,0.7265827,1.1448954,0.0,1.0957646,1.4236579,1.3422248,1.0218614,1.3808032,1.3397684,1.4369955,1.2725935,1.3620577,1.1051967,1.0745981,0.68967927,0.7132708,1.5042837,0.7001072,1.0957335,0.32229435,0.8233137,1.5601833,0.6689012,1.4635632,0.8528923,1.1345136,0.76807094,0.7737145,1.2342842,1.2807734,0.9075756,1.2223327,0.9171975,1.2449405,0.76770526,1.3773028,0.98745507,1.552796,0.8570825,0.7839536,1.3679774,0.73479295,0.71645325,1.2476758,0.69397116,1.4604794,0.8667849,1.3315,0.74577296,1.2268568,0.4464652,1.3605295,0.7234039,1.5011001,0.9978572,1.1100817,0.67030126,1.1734494,0.6999986,1.2180685,1.4243593,1.029152,1.0476667,0.99696267,1.3184307,1.2325606,0.98251987,0.3529154,0.4967715,0.68786263,1.5313098,1.5157275,1.0161297,0.5185367,1.3300565,1.167618,1.4325202,0.85419786,0.7049024,1.0357001,1.41953,0.62920946,0.8841346,0.86149496,1.2510448,0.6171268,1.3121574,0.5033815,0.8653662,0.4976797,1.4881763,0.5322522,0.59446,0.9132119,1.329442,0.78407454,1.4899058,1.14687,0.6403354,0.6786885,0.47283494,1.4203458,1.2760009,1.0218843,1.1049577,0.70806825,1.1294074,1.19224,0.77421206,1.2650869,1.2766743,1.4584973,0.672612
book,0.94074965,1.1069251,1.1176269,0.99737185,1.2590551,0.9120999,0.87847793,0.9548593,0.47982812,0.9872831,1.0907769,1.0734781,1.0294365,1.0609056,0.90370196,0.98657525,1.0957646,0.0,0.621523,0.7552706,0.35400486,0.8654136,0.9555338,0.67770386,0.9221812,0.70315576,0.88906384,1.1778286,1.1924738,0.93837446,1.0266203,1.2129112,0.6257776,1.2347976,1.2934613,0.96332353,0.7416115,0.7158118,1.02814,0.966403,1.1510416,0.9308464,1.219697,1.2011938,1.1785496,1.1228143,1.07582,1.2615292,1.250497,0.78716236,0.9592843,0.9096305,1.022331,1.1554874,1.187076,0.956041,1.1936187,0.7380532,1.2253466,0.893944,1.1691215,1.2313225,1.1501976,0.6880281,1.2492284,0.6828109,0.84588325,0.9759925,1.1584748,0.64301866,1.0510193,0.9194659,1.0063641,1.0594097,1.1915424,0.7051179,1.224784,1.2194297,1.1495819,0.76370233,1.0224679,1.207028,1.2677836,0.4526707,0.8816843,0.86277735,1.0109133,1.1841189,0.7620766,0.89262974,0.6563653,1.2367723,0.89073056,0.9381761,1.1351393,1.1211114,1.141764,1.067603,1.1147591,1.2528017,0.79500765,1.2882981,1.0010965,1.2723553,0.9024441,1.1358662,1.1327565,0.71229875,1.1373707,1.1277071,0.90413046,0.9292629,1.0332079,1.1182253,0.929267,0.7343912,1.2555609,1.0541633,0.8896203,0.8812504,0.75376904,0.71691465,1.0264935,0.8490536,0.9555078,1.1061908,1.0659705
bottle,0.94947416,1.0588782,0.6920712,0.7279703,1.4173423,0.7035774,0.71884733,0.9345317,0.41243196,1.223295,1.1929718,1.3755016,0.78137255,1.404905,1.057825,0.96691227,1.4236579,0.621523,0.0,0.5820558,0.64450336,0.6783573,0.7180521,0.22983003,0.91661984,0.44103032,0.66391075,1.2701595,1.3056903,0.93997276,0.66442263,1.2513486,0.7069034,1.5048801,1.4091804,0.584793,1.0659983,0.30511433,1.1483878,0.9882802,1.1724702,1.208151,1.0233079,0.99146277,1.1991861,1.0179207,1.0605221,1.2283721,1.4408959,0.44538397,0.94489604,0.6350027,1.1724236,1.3255228,1.0385516,1.044369,1.3902153,0.7854974,1.3887339,0.7231912,1.3679128,0.79292107,1.1765481,0.3816002,1.5051321,0.6271968,1.059847,0.62002313,1.1862793,0.57004637,1.1908296,0.86492276,1.1754973,1.0524504,0.8856235,0.6747519,1.0915881,1.3159375,0.8727488,0.68971634,1.2192997,1.5203314,1.478834,1.2103403,0.5510162,0.57791054,1.0973282,1.2167871,0.6576448,0.69751054,0.64754784,1.2507262,0.75947267,0.97294724,0.87352157,1.2917767,1.2010995,1.1603887,0.8378215,1.412497,0.6767166,1.4742018,1.0862008,1.3906212,0.6162895,1.3195993,1.3168582,1.0660642,0.88528097,1.214505,0.6201251,0.93691915,1.1525102,1.319759,1.1838669,0.58838814,1.1639042,1.227649,1.0229284,0.90874296,0.8457763,0.8187872,1.067253,0.61499465,0.7425157,0.7263018,1.164766
bowl,0.9921105,1.0644821,0.7361634,0.72580564,1.3335656,0.6826111,0.64108294,0.9484995,0.48043263,1.0863802,1.2659986,1.2683402,0.8625608,1.2359463,1.1868125,0.99316263,1.3422248,0.7552706,0.5820558,0.0,0.84821194,0.6396951,0.92959553,0.5391487,0.92139095,0.73155016,0.8969413,1.1243298,1.2605191,0.83133024,0.7896256,1.2557691,0.69284254,1.376469,1.2780342,0.7319062,0.98875505,0.29757178,1.0801932,0.9396759,1.2437997,1.0899018,0.9978253,0.9061692,1.1664299,1.0004717,1.1790375,1.1532998,1.3629856,0.6667159,0.9898133,0.6706148,1.1793709,1.2551109,1.0764697,0.93614423,1.3145951,0.8013683,1.415666,0.733479,1.229698,0.92851675,1.285045,0.6496376,1.3845006,0.6229507,1.1216599,0.69891924,0.9351797,0.77644116,1.0688478,1.0489973,1.1926553,1.00086,0.95415294,0.54300106,1.173381,1.2350099,0.90598726,0.7358058,1.170841,1.4284375,1.4184185,1.16316,0.71639293,0.7471776,1.1653965,1.0478672,0.60348207,0.7286469,0.4416229,1.1473162,0.84822536,0.8118621,0.9339476,1.2871481,1.1014314,1.1837605,0.9349476,1.3928953,0.7192075,1.4369254,1.0451818,1.3404287,0.7682991,1.2922459,0.8752489,1.1395319,0.8716326,1.1475487,0.61341363,0.9039906,1.210804,1.2919713,0.9889725,0.31264824,1.1187024,1.114505,0.9475472,0.6869037,0.73860353,0.5509569,1.10776,0.8866261,0.96488917,0.8579367,1.2675108
box,1.1083652,1.1459455,1.285928,0.9934686,1.0805188,1.0137625,0.8927222,1.0311304,0.5315194,0.9871908,1.0076275,0.90964884,1.1882088,0.86453503,0.8719432,1.0677414,1.0218614,0.35400486,0.64450336,0.84821194,0.0,0.9831649,1.0123554,0.68842214,1.0316945,0.80069923,1.0208584,1.2129009,1.045766,0.9246199,1.1737359,0.9452316,0.57294106,0.99098915,1.271328,1.240025,0.45768356,0.79110575,0.9741932,0.9599288,0.9221174,0.93205017,1.2079941,1.1976092,1.07353,1.1049126,1.0330212,1.3954507,1.2191806,0.86394227,0.9737645,1.1784074,1.1589949,1.1177273,1.2852309,0.9968595,1.0989088,0.9411851,1.1071582,1.1143286,1.1618394,1.3375711,1.0496746,0.6187261,1.1404285,1.0463365,0.7897316,1.1137774,1.2159715,0.46822596,1.0681614,0.9956129,0.82386833,1.3121876,1.3257987,0.8461127,1.2722142,1.1310893,1.1957917,0.83164895,1.0430324,1.1269014,1.1145378,0.6231184,1.1894726,1.1727449,0.97122437,1.2255417,0.83180314,1.0608205,0.9600481,1.0939684,0.73612326,0.789219,1.2606304,0.8666615,1.0671377,0.9611392,1.2491661,1.1593107,0.9052125,1.1373979,0.9772785,1.1289713,1.0395664,0.9394113,1.088826,0.76669914,1.3074747,1.1206626,1.1171498,0.9306774,0.8252249,1.0343618,0.8026144,0.8804883,1.3310901,1.0625496,1.0461828,0.9861671,0.796023,0.9688991,0.8579935,0.96548665,1.0207871,1.3104513,0.9327744
bread,0.8024173,1.0497627,0.63772845,0.79768556,1.3311919,0.8113003,1.0259212,0.7891314,0.6365018,1.2629851,1.0516937,1.354435,0.8201839,1.3697116,1.3464574,0.8886237,1.3808032,0.8654136,0.6783573,0.6396951,0.9831649,0.0,0.9970579,0.7394383,0.7416932,0.7088252,0.7417778,0.9911211,1.0705185,1.0126649,0.5859418,1.2749257,0.95773757,1.4219785,1.1002384,0.5794457,1.2591884,0.5119759,0.8322234,0.9055523,1.31165,1.2402236,0.87272096,0.83120626,1.0113704,0.94349694,1.1721184,1.1292979,1.3425229,0.48873466,1.0248997,0.5363036,1.015964,1.3671736,0.90371495,0.96833754,1.2862465,0.93893737,1.3009462,0.43549633,1.3203514,0.7774388,1.191683,0.9582454,1.2983601,0.55174446,1.2079315,0.59226835,0.86678994,1.0951227,1.0429884,1.1231337,1.2167422,0.9403343,0.8085648,0.76154625,1.130024,1.244212,0.6881883,0.9314098,1.0196567,1.4465631,1.438756,1.3337462,0.5828447,0.6222898,1.1249319,1.1154702,0.1671983,0.7539051,0.2690999,1.182452,1.1877286,1.031266,0.7706138,1.3972427,1.0614134,1.0351986,0.8452054,1.4197564,0.71479964,1.4471822,1.1094947,1.3599844,0.8469924,1.3589828,1.2349911,1.1827599,0.7985101,1.2646952,0.614326,0.97534114,1.2397197,1.3266104,1.1659827,0.47382027,1.1059422,1.1516764,1.1267847,0.9059018,0.91826725,0.58847094,1.1218054,0.6621185,1.0284885,0.60738164,1.309844
broom,0.96863484,1.0608289,0.91494733,1.0654374,1.2527881,0.9655817,0.82626486,1.0365677,0.88204604,1.0415066,1.0801067,1.2848198,0.8617401,1.1732469,1.173122,0.99144167,1.3397684,0.9555338,0.7180521,0.92959553,1.0123554,0.9970579,0.0,0.78043556,0.9029586,0.66247976,0.9740423,1.0257288,1.288856,1.011371,0.7280482,1.1154382,0.9965046,1.2942988,1.2590381,0.61601967,1.0364313,0.84836686,1.1873698,1.1497028,0.9633012,1.046037,1.0547812,1.0084816,1.1824397,1.0361768,1.0573298,1.0198234,1.3025527,0.9063028,1.0067459,0.6032891,1.1288862,1.2702944,0.9518286,1.0668695,1.2616222,0.9774034,1.2835387,0.92059755,1.2422805,0.91991645,1.1833907,0.7122268,1.2803191,0.7638422,0.9733843,0.7714487,1.2051195,1.0003374,1.0592825,0.12560451,1.1175201,0.8020917,0.851117,0.95757097,0.98399264,1.1498473,0.97681755,0.76236236,1.134587,1.3184123,1.2215767,1.194482,0.58882856,0.58371097,1.071371,1.1111845,0.99397063,1.0122857,0.9473826,1.2223506,1.0239025,0.9862439,0.8308531,1.151056,1.194103,1.099099,0.7972282,1.17051,0.87448376,1.275277,1.1041415,1.193431,0.11859,1.1433808,1.2181759,1.0620056,0.9012067,1.0539316,0.6336411,0.9346588,1.1175444,1.2394695,1.219036,0.92324376,1.0110016,1.0706035,0.8202828,1.0113112,0.94130135,0.92754775,1.1060996,0.9237112,0.029653132,0.8733159,1.1535128
bucket,0.9746472,0.9801671,0.72325844,0.8139398,1.441073,0.6674352,0.7566989,1.0180951,0.44555038,1.1810236,1.1890668,1.4210358,0.64493066,1.420473,1.1214733,0.9748126,1.4369955,0.67770386,0.22983003,0.5391487,0.68842214,0.7394383,0.78043556,0.0,0.95713395,0.4188789,0.70079947,1.2309791,1.3012035,0.9354829,0.6488376,1.2609396,0.6941458,1.507615,1.3522911,0.6051465,1.0428365,0.28289986,1.1374844,1.0233797,1.1474358,1.1323452,0.97879934,0.99139225,1.2006915,0.9876941,1.0392252,1.1489978,1.4156795,0.56465155,0.8593414,0.6397553,1.1354424,1.3716335,0.98839676,0.99924153,1.4497149,0.75779545,1.4515395,0.79181826,1.3924861,0.74263036,1.2930955,0.39432156,1.5132027,0.66353923,1.0306534,0.5934184,1.1472039,0.5064345,1.1651353,0.8696283,1.2281935,0.94523555,0.836813,0.63333327,1.0600818,1.2797098,0.8808241,0.6275295,1.1921443,1.4628057,1.4707129,1.1814165,0.6139615,0.62114424,1.1201614,1.1112783,0.7685143,0.6665941,0.65215296,1.3331442,0.76487803,0.9085362,0.7498198,1.261302,1.1619684,1.2188532,0.79161966,1.4249084,0.7316945,1.4569075,0.9690163,1.3337262,0.6724442,1.3724356,1.2708795,1.0846226,0.68322563,1.0756354,0.6983244,0.90942454,1.1857595,1.3487365,1.2436485,0.5203699,1.0865241,1.1785644,1.152704,0.8948798,0.82960105,0.8164636,1.1121027,0.68339545,0.7757777,0.6339695,1.2308732
butterfly,0.3261643,1.0491955,0.9998249,1.0349253,1.1834105,1.0112629,0.94034004,0.82581735,0.84725064,1.1037399,1.037248,1.2934774,0.95623827,1.1646384,1.0466565,0.37536126,1.2725935,0.9221812,0.91661984,0.92139095,1.0316945,0.7416932,0.9029586,0.95713395,0.0,1.0300523,1.1798103,0.96408683,1.048916,1.1903105,0.8321396,1.1354623,0.9260612,1.3479108,1.036382,0.91530514,1.0510615,0.8866719,0.9805922,0.96285796,1.1485028,1.0613883,0.994091,1.0344697,1.0646589,1.037374,0.9737942,1.1231598,1.0326132,0.87398267,0.8538723,0.8420479,0.7707217,1.1968297,1.0536313,0.95601314,1.155853,1.0086458,1.2087109,0.83711404,1.1749481,1.1007913,1.1122512,0.8868066,1.1972969,0.7950773,1.1097742,0.7660612,0.99117047,0.9564007,1.0084952,0.9751169,1.1665045,1.03779,1.0663664,0.90253085,1.0137185,1.2018232,1.0154816,1.0262487,0.66341984,1.228985,1.22329,1.0108575,0.9162422,0.9301089,0.90601575,1.1921054,0.7753115,0.74900186,0.81613475,1.1087326,1.0952713,1.0114176,1.0375637,1.2464304,1.0026661,0.9326632,0.98652416,1.118252,0.8056931,1.2305431,0.868981,1.2904239,0.86211646,1.2489355,1.2248083,1.017107,0.9609557,1.0359908,0.80914205,0.91114247,1.2124476,1.1123523,1.2013725,0.8896896,1.0867207,0.9021452,0.9436515,0.9633062,0.95189047,0.9894976,1.1064858,0.8894462,0.9501991,1.0104227,1.2117431
can,0.9862946,0.88428605,0.6300025,0.7743388,1.4810075,0.8463136,0.94514745,0.8979814,0.65469104,1.0760309,1.1466753,1.3533177,0.68063337,1.2455416,1.346127,1.0551178,1.3620577,0.70315576,0.44103032,0.73155016,0.80069923,0.7088252,0.66247976,0.4188789,1.0300523,0.0,0.49673247,1.08593,1.3751473,0.66904,0.48832703,1.1085191,0.98606896,1.3322966,1.221507,0.45153904,0.9646275,0.4202307,1.2016438,1.1683255,0.9632338,1.0486041,0.8607125,0.9062528,1.1979316,1.044386,1.2599976,1.0161719,1.4734797,0.54728115,0.9376352,0.5090406,1.1983695,1.3709908,0.83116126,1.0623912,1.4220726,0.93857867,1.4066446,0.6274891,1.4156417,0.61073726,1.3022677,0.72241,1.4824564,0.57703716,0.82479817,0.43544602,1.0517385,0.90086365,1.1704717,0.68413246,1.2803494,0.69649565,0.6997485,0.7271577,1.0122806,1.257043,0.7900422,0.572708,1.2688034,1.4361753,1.3422642,1.2001777,0.48866653,0.5031381,1.3166758,1.0188459,0.8188181,0.7610963,0.654483,1.3823922,0.9834233,1.0840181,0.57490563,1.1578438,1.248155,1.3654413,0.658925,1.4267989,0.8552463,1.4223039,1.1288052,1.236192,0.58580154,1.2637801,1.2563556,1.1520977,0.62845445,1.0722253,0.6743482,1.0813464,1.1980965,1.4676058,1.2900844,0.5892533,1.0106177,1.2572316,1.2014015,0.95372605,1.079699,0.49993032,1.1588265,0.4923725,0.5901246,0.5764653,1.124379
car,1.0413703,1.0627141,0.65190417,0.9822589,1.3460449,0.8327645,1.0653346,1.0765256,0.83817863,0.9920969,1.0993015,0.9427473,0.7454841,1.195984,1.3158585,1.1006777,1.1051967,0.88906384,0.66391075,0.8969413,1.0208584,0.7417778,0.9740423,0.70079947,1.1798103,0.49673247,0.0,1.240887,1.0753665,0.5992443,0.6557594,0.9764562,1.1020509,1.068505,1.1275144,0.55180794,1.103506,0.6907973,1.075237,1.1547873,0.9719315,1.1429458,0.8429972,0.9942203,1.0566646,0.93285435,1.1945156,1.0640506,1.3437687,0.55049354,1.0674242,0.59575874,1.0863193,1.2358462,0.87892294,1.1547376,1.1640615,0.9466984,1.1970807,0.64381933,1.3807373,0.591711,1.048134,1.0119787,1.2449052,0.67266446,0.94525385,0.62454164,1.0680534,1.1006162,1.2307559,0.9310152,1.0854636,0.7804049,0.7124306,0.90086657,1.0460663,1.2495996,0.80104077,0.7685679,1.198334,1.3190532,1.2523162,1.2683797,0.5580935,0.61895764,1.2930439,0.9365102,0.866068,0.7311465,0.7242751,1.2704713,0.98651123,1.0826774,0.66150606,1.111857,1.130989,1.2648568,0.6502106,1.3502457,0.9504931,1.2824142,1.2433995,1.211088,0.94289136,1.0843779,1.0033287,1.059513,0.7649096,1.2589937,0.7571877,1.134392,1.0575149,1.2285779,0.95325106,0.8254924,1.0813696,1.3754917,1.1976616,1.0513954,1.1804037,0.61226296,1.0408877,0.3934461,0.9028191,0.62380636,0.77641463
carrot,0.99871796,0.6339337,0.8219189,0.8468004,0.56920767,1.1278833,1.0361109,0.7868902,1.2605737,1.0772943,0.98902434,1.1870383,1.0714384,1.0107816,1.0766975,0.969579,1.0745981,1.1778286,1.2701595,1.1243298,1.2129009,0.9911211,1.0257288,1.2309791,0.96408683,1.08593,1.240887,0.0,1.0951027,1.2285826,1.0263461,1.113855,1.190478,1.0489229,0.66421485,0.9989495,1.2142578,1.1532336,1.0460219,0.922095,1.1571215,0.96342224,0.89791876,0.643209,1.051985,0.9220978,1.1778286,0.45375836,0.63028586,1.3212564,1.1426295,1.0768071,1.0383329,0.98931384,0.8996975,1.0664798,0.8308727,1.053098,1.0306969,0.94499725,0.63925767,0.9421577,1.139089,1.203432,0.8728517,1.1445462,1.093913,1.0103272,0.71013904,1.1764834,0.9820899,1.0002139,1.2104354,0.7636145,0.8018812,1.1190546,0.66852164,0.794778,0.7352741,1.127709,1.1159935,0.8699812,0.803056,1.0386252,1.0707114,1.0388238,1.0112343,0.9704429,1.0229508,1.1688176,1.0191085,0.6288355,1.2755014,1.2058065,0.90723205,1.1013436,0.98314774,1.0470134,1.002668,0.8482482,1.2858686,0.8806121,1.0912056,0.8591453,1.0405751,1.0700432,1.0221666,1.1357298,0.8973698,0.79897517,1.087855,1.013063,1.2521677,1.0250639,1.1163907,1.1210306,0.48063785,0.71460193,1.002964,1.1372192,1.1560029,0.9307314,1.2156987,1.1779748,1.0488558,0.8898926,1.2067181
