,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mop,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,truck,vacuum,watch,window
alligator,0.0,1.0504736,0.99984586,1.0798062,1.1983169,0.959666,0.97829866,0.8626569,1.0310792,1.0475513,0.9742137,1.1885223,0.98370326,1.108731,1.0999873,0.21289897,1.1423635,0.94074965,0.94947416,0.9921105,1.1083652,0.8024173,0.96863484,0.9746472,0.3261643,0.9862946,1.0413703,0.99871796,0.94870913,1.1764864,0.8013904,1.1357224,1.1173369,1.2698395,0.99707943,0.88773245,1.1713567,0.90885437,0.83386916,0.9312901,1.1438158,1.0403855,0.9354075,1.003749,1.063068,1.0220163,1.0413154,1.1429371,0.85022193,0.86324084,0.85745287,0.8442261,0.48266238,1.1914707,1.0456574,0.90493,1.1252729,1.0010535,1.1718972,0.8553484,1.2138412,1.0124294,1.0700158,1.0824606,1.0985923,0.8088658,1.0624515,0.7718748,0.9761322,1.0991468,0.94813776,1.0013165,1.075941,0.95755816,1.0758103,0.9142299,1.1274782,1.2291576,1.0756702,1.0309185,0.6507242,1.1995484,1.1370959,0.99246067,0.9164802,0.95450026,1.011604,1.1246184,0.9075602,0.73697156,0.88540953,1.0922291,1.0827593,1.0333391,1.0449203,1.2287662,1.0230653,0.9159932,1.0038729,1.1981491,0.8479414,1.2136648,0.8513169,1.1934023,0.9305383,1.2395757,1.1341889,1.0202603,0.87751806,1.1497393,0.78597766,1.0162977,1.0986141,1.1293766,1.1547716,0.9552188,1.084613,1.0240431,0.96590173,0.9007242,0.96410286,0.9764589,1.0695654,0.84092236,0.9913717,1.0020415,1.1752634
ankle,1.0504736,0.0,0.9886685,0.907245,0.8330598,1.1244615,1.0209413,0.9836198,0.9855944,1.1673392,1.0489005,1.1704657,0.91564184,1.117425,0.97355765,1.0527709,0.9558541,1.1069251,1.0588782,1.0644821,1.1459455,1.0497627,1.0608289,0.9801671,1.0491955,0.88428605,1.0627141,0.6339337,1.1610287,0.9397192,1.0417248,1.159085,1.0304487,1.0859604,0.85371554,1.0223554,1.1371192,1.0060921,1.1379285,0.8971218,1.1193252,1.0716652,0.85062987,0.68565226,1.043403,0.8923006,1.1097783,0.589777,0.9467864,1.1417834,0.90765494,1.059628,1.0976256,0.9627665,0.8504355,0.8604576,1.0174582,1.1761006,1.0456002,1.0358938,0.75905424,0.7307336,1.1143081,1.0207307,1.0464473,1.029554,0.9488895,0.9668977,0.8908556,1.060166,0.903936,1.0208737,1.2648206,0.8691372,0.9104845,0.83397824,0.5688992,0.8400216,1.0046439,1.060385,1.1168294,0.75987536,0.9675505,1.097606,1.0251176,1.037242,1.0980875,0.76907545,1.118907,1.0006042,1.0712103,0.87790585,1.0363001,1.1406151,0.9178467,1.1703353,0.9964316,1.2255334,1.0341753,0.8580766,1.071768,0.9373351,0.8388208,0.7859779,1.0356746,1.1428405,1.161828,1.1836678,0.76979244,0.474496,1.0769148,1.0684013,1.1825664,1.0745772,1.214326,0.97050226,0.5639496,0.8325789,1.0337135,0.9385121,1.1136239,0.97413534,1.2228512,0.9584868,1.0422075,0.7685561,1.2051307
apple,0.99984586,0.9886685,0.0,0.6956896,1.223763,0.43228382,0.8786522,0.6435304,1.0264175,1.1946597,1.119342,1.446476,0.70095766,1.4143522,1.4067042,1.0218153,1.4602361,1.1176269,0.6920712,0.7361634,1.285928,0.63772845,0.91494733,0.72325844,0.9998249,0.6300025,0.65190417,0.8219189,1.2631674,1.1326069,0.40177095,1.2754855,1.265615,1.4162402,0.93449616,0.31397814,1.4255602,0.6642051,1.178175,0.9517625,1.3142821,1.3364404,0.7165897,0.5718591,1.0938123,0.8958106,1.2039357,0.6635028,1.0638164,0.6308193,1.2409148,0.56202686,1.1152961,1.2143863,0.62821925,1.2133294,1.2154422,0.57639503,1.2466182,0.41440517,1.1717192,0.3914249,1.2006059,1.0797377,1.3612168,0.7554083,1.3334521,0.43521398,0.6110371,1.1625608,1.2200974,1.0823715,1.3906705,0.5774509,0.2513895,0.998001,0.89336383,1.0246332,0.2550884,0.98140955,1.2123868,1.4235332,1.3347669,1.401154,0.46327412,0.46145648,1.197253,1.1118001,0.8028624,0.7418511,0.6906669,0.961226,1.3248917,1.2401972,0.34939402,1.432859,1.109986,1.2175095,0.4565307,1.3439527,0.88828593,1.3471332,1.3365605,1.2658019,0.7507266,1.3785508,1.192157,1.2482445,0.51863015,1.2051384,0.69773245,0.9738272,1.4261181,1.3298742,1.3366549,0.6674551,0.67130995,1.1435273,1.1810718,1.1254803,0.94067353,0.7366897,1.2408696,0.7183219,0.9489608,0.28759623,1.2448186
applesauce,1.0798062,0.907245,0.6956896,0.0,1.0182354,0.9360362,1.0647581,0.5314827,0.87443256,1.2051175,1.1310484,1.2189535,1.0750046,1.1467602,0.9579604,1.0996089,1.1922925,0.99737185,0.7279703,0.72580564,0.9934686,0.79768556,1.0654374,0.8139398,1.0349253,0.7743388,0.9822589,0.8468004,1.2173059,1.0404269,0.9561461,1.1221937,0.9134355,1.1996104,1.063554,0.89048934,1.1739893,0.6383453,1.1114535,0.8358796,1.1651367,1.1207168,0.98436403,0.82599914,1.1670682,0.9528976,1.1654978,0.8741075,1.1333092,0.76427305,1.0673324,0.8717689,1.0656388,0.8995482,0.9881563,1.091304,1.0977547,0.876334,1.1287352,0.74033296,0.8886739,0.8919667,1.1041203,0.9479166,1.1404517,0.9066907,1.0678276,0.8446966,0.7102206,0.90545785,1.0676359,1.081431,1.1914368,0.9833202,0.97876775,0.9559113,0.8860082,0.9963243,0.9030729,1.0781486,1.2113953,1.0502007,1.1326296,1.0568703,0.8903041,0.89780104,1.0277945,1.0831988,0.8427955,0.89993197,0.8077894,1.046295,1.0325621,1.1784551,0.9719234,1.1091368,1.1543057,1.1247747,1.0469228,0.98133427,0.8153217,1.1227069,1.0911919,1.1127571,0.93227553,1.1079572,1.0799669,1.2343018,0.97109663,0.9525378,0.8747028,0.9934957,1.1851358,1.1276928,1.0402763,0.6812891,0.9093883,0.9098022,0.9031851,1.042291,0.8924718,0.7857441,1.1427542,0.8659682,1.0602665,0.89766294,1.1318033
arm,1.1983169,0.8330598,1.223763,1.0182354,0.0,1.2843976,1.2176696,1.0619568,1.3178042,0.9029783,0.9358694,0.60587215,1.385324,0.6083385,0.6558989,1.1297789,0.67685395,1.2590551,1.4173423,1.3335656,1.0805188,1.3311919,1.2527881,1.441073,1.1834105,1.4810075,1.3460449,0.56920767,0.7499732,1.2188452,1.4101868,0.8692034,1.0669191,0.51488566,0.7811862,1.446285,0.9773523,1.4755824,0.920347,1.0410933,0.92639214,1.0266532,1.2090559,1.07412,0.9405404,1.0526645,0.85336393,0.83086336,0.42338157,1.4276751,1.1607428,1.4613943,1.0915208,0.74809027,1.1557184,1.1153182,0.53990895,1.2682514,0.60338616,1.3592455,0.4846033,1.2706298,0.7352563,1.2628994,0.44307703,1.4583617,1.0982083,1.4775321,1.034677,1.0929548,0.9850141,1.2304077,0.81205046,1.164548,1.2156093,1.3734629,0.9212662,0.7906153,1.0951942,1.2729683,1.0048072,0.5441679,0.51964754,0.82287925,1.4317168,1.3801687,0.82889974,1.0037837,1.2411407,1.396235,1.4004482,0.4466899,1.0375574,1.0438896,1.3081752,0.6738105,0.8652761,0.886279,1.314054,0.5483689,1.3109558,0.3224771,0.99630314,0.51168627,1.2979112,0.6937991,0.7949483,0.8956456,1.2973626,0.770423,1.3789244,1.1747808,0.8800424,0.49452174,0.671393,1.3931637,0.83514285,0.8964868,0.9448354,1.2648456,1.2092143,1.3030266,0.9566041,1.3782318,1.2968043,1.3091214,0.8013715
ball,0.959666,1.1244615,0.43228382,0.9360362,1.2843976,0.0,0.69342494,0.7785119,0.9031531,1.1566064,1.0790584,1.2114848,0.74362534,1.2769825,1.1626376,0.93545794,1.227212,0.9120999,0.7035774,0.6826111,1.0137625,0.8113003,0.9655817,0.6674352,1.0112629,0.8463136,0.8327645,1.1278833,1.1840904,1.1508552,0.6474383,1.2664336,1.1079568,1.3451581,1.1566626,0.6309495,1.164752,0.7703437,1.0751573,0.8439218,1.3130852,1.2505631,0.9556945,0.72979677,1.0410494,0.9563924,1.0729563,1.0497502,1.0924991,0.6949232,1.1130135,0.81307435,0.93043935,1.3036875,0.9752956,1.0840323,1.1603215,0.33578497,1.3015242,0.6873459,1.2664344,0.7358774,1.1328518,0.9192878,1.329411,0.8742091,1.2628796,0.6509888,0.8069196,1.0165311,1.1113753,1.1184986,1.1371145,0.90170324,0.6316089,0.9229089,1.1435695,1.203898,0.46284026,0.94788283,1.0254624,1.3397418,1.3504249,1.126603,0.73811316,0.71492267,1.0732131,1.0882914,0.8779375,0.68039465,0.8285041,0.9914669,1.0844094,1.0418952,0.6656876,1.3834455,0.9835874,1.0895915,0.7514194,1.2655082,0.757306,1.3613918,1.1973754,1.3015091,0.9056683,1.2418036,1.1258838,1.0460278,0.78333193,1.281201,0.83615863,0.6981294,1.2131325,1.270595,1.1468444,0.6874302,1.0301678,1.1776965,1.1503072,0.970182,0.4961719,0.9017793,1.079917,0.8683554,1.0282146,0.6194813,1.1881214
balloon,0.97829866,1.0209413,0.8786522,1.0647581,1.2176696,0.69342494,0.0,1.0879915,0.7765461,1.0098685,1.1455714,1.214975,0.9597347,1.14715,1.032744,0.9402452,1.2455227,0.87847793,0.71884733,0.64108294,0.8927222,1.0259212,0.82626486,0.7566989,0.94034004,0.94514745,1.0653346,1.0361109,1.1721909,0.99179035,0.9101689,1.1165309,0.8430988,1.2525953,1.2378194,0.97551614,0.9164886,0.7759581,1.0592473,0.89135057,1.0986238,1.0934422,1.0359108,0.6554489,1.1830845,0.9180033,1.0802505,1.1091847,1.127244,0.8725522,1.0561765,0.9729485,1.1128304,1.0601795,1.1013315,1.0449424,1.130207,0.8212166,1.2509875,0.9110115,1.1220126,0.96048284,1.1128651,0.61553544,1.2478844,0.97935134,1.1743788,0.74289966,0.9682186,0.75239205,1.1348696,0.9682818,1.0724063,1.1589063,1.0085676,0.7613023,1.0439427,1.125509,0.8484528,0.7945601,1.1143477,1.310848,1.228118,1.0526118,0.9426473,0.97293705,1.0320725,1.040939,0.94099957,0.8781757,0.916324,0.7780841,0.8821871,0.9137575,1.0451901,1.2376614,1.0780115,1.0346471,1.0002437,1.264011,0.86430824,1.2567962,1.071138,1.2214653,0.8300235,1.103328,1.0147374,0.9312933,1.0455395,1.1210022,0.83290863,0.79512864,1.09742,1.1723844,1.1718583,0.8302158,1.0398028,1.0348098,0.9916327,0.90690464,0.7468202,1.0330466,1.0173326,1.0141269,0.89584625,0.99169195,1.0948651
banana,0.8626569,0.9836198,0.6435304,0.5314827,1.0619568,0.7785119,1.0879915,0.0,1.0672392,1.2454929,1.064314,1.2856057,1.1215816,1.102811,0.989511,0.983317,1.2273402,0.9548593,0.9345317,0.9484995,1.0311304,0.7891314,1.0365677,1.0180951,0.82581735,0.8979814,1.0765256,0.7868902,1.1748029,1.1901537,0.813564,1.1721753,1.121224,1.2827126,0.9102915,0.8028691,1.1936104,0.8978148,1.035134,0.5990968,1.262107,1.1704203,0.9154544,0.68826133,1.1614534,1.0478799,1.1206002,0.8610641,1.0105034,0.7658796,1.093228,0.86122894,0.7981633,0.9471198,0.91414094,1.0951202,1.1069931,0.6637073,1.0788118,0.6465701,0.88037056,0.944561,1.184237,1.1792731,1.1575799,0.90430725,1.1077886,0.7030519,0.49138153,1.1101615,1.0781975,1.0835841,1.164588,0.9660888,0.9116145,1.0798267,0.93794733,0.9350315,0.73983634,1.2071519,0.9677354,1.073468,1.1844974,0.9773591,0.87188494,0.8787218,0.9218668,1.2133389,0.8461949,0.9214106,0.86662054,1.0334456,1.1969358,1.1782084,0.90171564,1.2409976,1.1937476,0.96156317,1.069535,0.99082583,0.738623,1.1741025,1.1219366,1.1789311,0.9122819,1.1941397,1.152808,1.1592834,0.94750696,1.062273,0.8580568,0.8359462,1.1989157,1.1435258,1.151188,0.7790617,0.88514376,0.8325002,0.81702757,1.1459707,0.62688917,0.8322162,1.1240798,0.90969145,1.0674603,0.8849255,1.230243
basket,1.0310792,0.9855944,1.0264175,0.87443256,1.3178042,0.9031531,0.7765461,1.0672392,0.0,1.1176108,1.1076555,1.2329831,0.8331053,1.2493849,1.0679909,0.9886662,1.295012,0.47982812,0.41243196,0.48043263,0.5315194,0.6365018,0.88204604,0.44555038,0.84725064,0.65469104,0.83817863,1.2605737,1.2722175,0.7626265,0.9152403,1.252262,0.24665928,1.371375,1.4090695,0.826944,0.7955315,0.44258803,1.0936855,1.0362904,1.1901652,1.106976,1.10691,1.0926983,1.0961268,1.0499508,1.0712993,1.3325918,1.5212896,0.6045443,0.8366623,0.69404644,1.2666128,1.3152995,1.1517711,0.8587707,1.3563871,0.9727722,1.3857036,0.8324523,1.2863908,1.0446177,1.2504196,0.48363936,1.4378827,0.50512993,0.95209813,0.79541063,1.1600287,0.5142405,1.0708055,0.92402357,1.0959766,1.1937938,1.1808205,0.4908318,1.1803066,1.3191706,1.0934869,0.7565899,1.1097116,1.4257836,1.4638638,1.0859903,0.6963302,0.7294974,1.1040502,1.0799745,0.5921487,0.750619,0.49425614,1.2494373,0.74101526,0.8652234,1.1055204,1.2184012,1.0797842,1.212339,1.0770733,1.348271,0.6457686,1.3908291,0.9384978,1.3501604,0.7386325,1.2120875,1.1863599,1.0213883,1.0463722,1.0608495,0.6676858,0.9414829,1.078609,1.2373552,1.0331287,0.47502643,1.3012903,1.1328573,0.9275148,0.76745903,0.8351569,0.6588182,1.043521,0.7755399,0.88944846,0.95868564,1.1609997
bathtub,1.0475513,1.1673392,1.1946597,1.2051175,0.9029783,1.1566064,1.0098685,1.2454929,1.1176108,0.0,0.8921993,0.7208331,1.0664877,0.4289142,0.996451,1.0430622,0.7702757,0.9872831,1.223295,1.0863802,0.9871908,1.2629851,1.0415066,1.1810236,1.1037399,1.0760309,0.9920969,1.0772943,0.83701503,0.81772417,1.2158549,0.7937392,1.0491343,0.6514436,0.9533804,1.1294669,0.68244314,1.3035594,1.04144,1.3120841,0.5960212,0.7167071,1.2400721,1.263843,0.862934,1.1830211,1.0518128,1.2192035,0.811684,1.2000369,1.1138965,1.0897543,1.0629358,1.0529175,1.1976584,1.1281292,0.9041518,1.1996186,0.87817866,1.2657635,1.1197417,1.277782,0.96064603,1.0595279,0.8444611,1.0962944,0.8286833,1.0546284,1.0655011,1.0382872,1.0305294,0.9702308,0.86708695,0.91598684,1.1673708,1.1301767,1.2058713,1.0931469,1.0877961,0.82916224,0.89851594,0.8776192,0.72502583,0.75407237,1.1355792,1.1314533,1.0197049,0.956555,1.1754439,1.181737,1.0894253,0.95856404,1.0158088,0.89476717,1.1497191,0.57365274,0.8579615,1.0466006,1.0064573,0.9704771,1.2120539,0.82895887,1.0617335,0.871414,1.1037561,0.74218047,0.6122566,0.8485577,1.139523,0.9874817,1.0892819,1.1873755,0.9036015,0.9102267,0.8752495,1.1591771,1.2900178,1.087863,1.0549673,1.0025448,1.2227633,0.93975675,0.8963456,1.1365664,1.0188358,1.2437544,0.70087296
