,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1841456,1.3518977,1.1853865,0.7808604,1.1439214,1.3742276,1.1982685,1.2834547,0.7724079,0.69148064,1.4354401,0.97132844,0.40633285,0.5359692,0.5169805,1.0023617,0.615994,1.4892921,1.3656528,0.8427515,1.4055966,1.315294,1.3582618,0.48336786,1.5816845,1.2896813,1.404535,0.81265044,0.97682804,0.99167264,0.9514252,1.2005649,1.2537684,0.9587336,1.0071132,0.8862326,1.0975732,1.4661433,0.7639486,1.4644494,0.86996067,0.2876895,0.4772206,1.171877,1.1189332,0.86564076,0.92682725,1.0365082,1.3866045,1.0610955,0.8358175,1.2222017,0.45503455,1.060196,0.95508105,1.4233582,0.28113502,0.5472959,0.82485455,1.3070327,0.6649822,1.0492275,1.065133,0.9226339,0.8843164,0.84719354,1.4666706,0.82821167,0.8171314,0.98894316,1.1435962,0.6892853,1.4217831,0.889616,1.6090326,1.4082897,1.0431854,0.6803338,1.0046663,0.3646477,0.86677253,1.2283096,0.9861655,1.4953704,1.0423657,1.4325464,1.4075949,1.3115385,1.0054564,0.74701107,0.6145907,0.8338522,0.45265645,0.76111907,1.4753515,1.4691563,0.59429204,1.276839,0.6805743,1.4313114,0.6576754,1.1380821,1.2196628,0.7024686,1.4634804,1.131439,0.85581887,1.2478409,1.0442356,0.97932535,1.1511631,0.82572013,1.0933626,0.7931673,0.89158857,0.8109633,0.90924907,1.1173617,1.1838114,1.0307055,1.0404326,0.58904153,1.4405134,0.8888659,1.4164927,1.1459987,0.93102103,1.3586291,0.82186556,1.0637162,0.74253654,0.7624662,0.5275692,1.362838,1.3806005,1.2684615,0.8694155,1.0207123,0.7605612,0.7175642,0.944254,1.2350549,1.4278754,1.4079127,1.1272539
ankle,1.1841456,0.0,0.9552336,0.85495555,0.8561763,1.0731827,1.1037419,0.97579193,1.0955471,1.1776718,1.1895376,0.8545926,1.1352949,1.0385262,1.047725,1.0874842,1.1974499,1.14813,1.036552,1.1618026,1.1018765,0.9458235,0.9352001,1.0569667,1.0852293,0.91472447,1.046772,0.74162924,0.8906272,1.0310864,1.2301764,1.1611139,0.63175213,0.9301508,0.99593437,1.1014977,1.1836102,0.97851104,0.8909,1.1313666,1.1583698,1.1749429,1.1590135,1.041624,1.0965134,1.1767734,0.86956775,1.100152,0.5713099,1.0327265,0.83772624,0.9902985,0.61032903,0.96073925,1.1495321,0.83724654,0.93939394,1.1727947,1.1031417,1.1280406,0.7966976,0.8644999,1.0358218,0.82530534,0.86318535,1.0502126,0.72411203,0.91075945,1.0775279,0.9360037,0.91204935,0.8610157,0.86901027,0.92365694,1.1346749,1.0137224,0.8469489,0.9863473,1.1584166,1.1058242,0.99699825,1.0097889,0.5998887,0.81606233,0.8848513,1.0547777,0.6108675,0.866201,1.0891117,1.1223642,1.1383682,0.945221,0.8922943,1.1070411,1.0672077,0.9279608,0.9078291,1.2190273,0.9119738,1.125,0.85728085,1.1051537,1.2540123,1.1376493,1.0422493,1.0299445,1.0690832,0.84957564,1.2128879,1.0333102,1.1656054,1.2299328,1.0476155,1.0817457,1.1929755,1.011997,0.92386943,1.0093595,0.5054676,1.0393361,0.9016808,1.1729207,1.1770144,0.7694472,1.0163889,0.9434352,0.6694463,0.9842518,1.0017406,1.1296206,1.0408356,1.0481691,1.008666,1.1949927,1.0974046,0.6375318,0.6238209,0.8957875,1.0849645,1.2504766,1.1726203,1.128772,1.1887176,1.0835907,0.70071024,1.0705384
apple,1.3518977,0.9552336,0.0,0.7418528,1.4686588,0.28187,0.257833,0.5135367,1.0971003,1.5366669,1.5350567,0.5572219,1.4090183,1.3860466,1.2080636,1.4702636,0.9976088,1.2377839,0.47068238,0.72900885,1.3451294,0.5246073,1.0865092,0.7576376,1.0927602,0.8331026,0.79237735,0.34696662,1.3572257,1.4677273,0.9776383,1.429065,1.2223215,0.7874385,1.2433746,0.9747777,1.4360472,1.0952063,0.40284586,1.5590119,0.6101073,1.222673,1.349456,1.2341008,1.2298014,1.2039287,1.3566315,0.929531,1.0806729,0.32754028,0.94862485,1.1761326,0.7058115,0.9741517,0.64749163,1.0579937,0.67959785,0.97776884,1.260056,1.3066267,0.6746603,1.0342767,1.1935633,0.53201663,1.2174593,0.91902333,1.2203766,0.46431184,1.2001636,1.4939487,1.415031,1.106345,1.4595859,0.6629105,1.4481893,0.6100532,0.8081514,0.9724925,0.7906746,1.0895977,1.2043304,1.1596673,0.796116,0.8633406,0.28614312,1.1371447,0.7390331,0.61373127,0.28736615,1.4694847,0.9519085,1.4597964,1.4715611,1.4140726,0.91724,0.48764747,0.48499948,1.0662878,0.482705,1.0116026,0.71932065,1.2278359,0.8847448,0.91280663,1.2093749,0.52860624,0.42723572,1.4267876,0.9127363,1.0003207,1.3570633,0.8557507,1.0471743,0.7571026,1.246251,0.9087132,1.3847656,1.1498476,1.0990363,1.0031787,1.3355336,1.3055793,1.3630507,0.46971214,1.2823161,0.3139872,0.90952295,0.93883854,0.74263847,1.0887774,0.5547477,1.4577858,1.4035368,1.4465454,0.40132618,0.57666314,0.6916234,1.3265649,1.1811104,0.67941463,1.4045366,1.1696846,0.930584,0.9370485,0.6350669,1.2694423
applesauce,1.1853865,0.85495555,0.7418528,0.0,1.1775438,0.8622915,0.86568725,0.8850712,0.98498476,1.32313,1.2914758,1.1003426,1.3254452,1.1570166,1.07615,1.2521911,1.138284,1.1893439,0.9497571,1.0428728,1.1670249,0.5448705,1.1290977,0.97394,1.1569257,0.9700697,1.1932714,0.6809167,1.1861331,1.1195801,1.2100989,1.2419448,0.9529296,1.0243951,1.1052147,1.0179888,1.2475295,0.87018514,0.94571334,1.2657235,0.97697186,1.0353048,1.1474104,0.9382048,1.2148762,1.2466778,1.0552852,1.0414156,0.7239361,0.7317679,0.8979947,1.0255274,0.65149075,1.0905178,0.8864299,0.8571082,0.9264316,1.0297877,1.1358021,1.1101121,0.75321376,0.82897186,1.1306531,0.81757116,0.93091464,0.9262424,0.90067565,0.7946061,1.0693796,1.1812183,1.1208806,0.95580935,1.1101476,1.0282727,1.0975592,0.99522704,0.9749072,0.8175367,0.939392,1.0782654,1.0144144,1.149347,0.81971884,0.7279406,0.8273366,1.0025948,0.73192954,0.9183294,0.85700756,1.1964242,1.1026558,1.1416237,1.1065544,1.2249777,0.9527393,1.0165712,1.0026717,1.1796683,0.97632855,1.0724299,0.9308126,1.0688691,0.9370433,0.98016524,1.0787392,0.74281245,0.7791276,1.0620464,0.9595117,0.95563483,1.2276686,0.85097784,0.82837856,0.96201146,1.1340631,0.85845435,1.0733242,0.95348966,0.9223021,0.92241627,1.1739962,1.2633712,1.2313336,0.8432591,1.265357,0.8675861,0.86118156,0.87309223,0.8324816,1.0829366,0.87845755,1.0698181,1.0987191,1.2186317,0.7905895,0.64859194,0.8651476,1.1799042,1.0395982,0.9447848,1.0563968,1.1253463,1.0433196,1.0825999,0.7232877,1.2797134
arm,0.7808604,0.8561763,1.4686588,1.1775438,0.0,1.4554992,1.5769901,1.2963843,1.1510012,0.4873258,0.5482948,1.3155301,0.6509285,0.48475087,1.0192207,0.6116193,1.0588269,0.98043907,1.5024825,1.3056233,0.7927488,1.4622129,1.0172781,1.4126084,1.0864005,1.2985815,1.2041591,1.3791611,0.6921759,0.6516091,1.1603953,0.63525146,0.83612216,1.1732832,0.8729424,1.0656507,0.66206175,1.0161064,1.4571857,0.50277656,1.4577934,0.8341858,0.80312,0.8189549,0.90802526,0.88700676,0.4856702,1.2512671,0.77584386,1.3761139,1.0557021,0.7741473,0.8656391,1.1002076,1.3538861,0.82776076,1.341087,1.1797196,0.8273878,0.69666505,1.2308873,0.89546263,0.916393,1.3137593,0.75853646,1.0458951,0.3923496,1.4738207,0.922043,0.54891664,0.62169343,1.0776885,0.44501996,1.223885,0.68607867,1.4085064,0.9065573,1.1139987,1.061747,1.0933359,0.6474883,0.94820344,1.1067967,1.114962,1.4523513,1.0279448,1.1181058,1.2707314,1.4431384,0.6188369,1.1590415,0.37464195,0.4221623,0.63392806,1.0387874,1.4053838,1.4000647,1.2169567,1.2955335,1.0840205,1.2485363,0.91182184,1.2482839,1.185568,0.9896791,1.3924608,1.3826739,0.68178606,1.3395259,0.94221634,0.7804891,1.2163255,1.1915718,1.1925662,0.9294455,1.2012967,0.42330933,1.0597667,0.6759655,1.0398968,0.70262116,0.75833106,0.616395,1.4169261,0.7720758,1.3623472,0.96203923,1.0351727,1.2845126,0.8124821,1.2687544,0.8963884,0.53949165,0.5416202,1.5895797,1.0708218,1.2035974,0.57569885,1.0529319,1.4140406,0.7499683,0.94188577,1.2252753,1.2213573,1.2465577,0.84199286
ball,1.1439214,1.0731827,0.28187,0.8622915,1.4554992,0.0,0.19088781,0.82266396,1.2147694,1.3833797,1.3623645,0.8632697,1.3553736,1.149023,1.0628338,1.2862499,1.0203468,1.1812497,0.69984174,0.7535095,1.3214554,0.7624918,1.1627922,0.8194877,0.99478215,1.0344099,1.008074,0.71880627,1.3070245,1.4378579,0.82981414,1.3679322,1.3230771,0.66250455,1.0787616,0.74611306,1.3111973,1.1406951,0.76065224,1.472664,0.691632,1.0575699,1.1669081,1.0305518,1.2641103,1.1793712,1.3339802,0.88650924,1.1807206,0.26958537,0.9437321,1.1415534,0.8972676,0.88028026,0.8237573,0.987815,0.872998,0.8434071,1.1917608,1.070631,0.9102705,0.8516304,1.1251154,0.439941,1.1946166,0.91267884,1.2187074,0.5907466,1.1479179,1.4397889,1.3653938,1.0805193,1.3842902,0.91782975,1.389312,0.7385696,0.9804229,1.0575014,0.63950163,0.99577546,0.9337479,1.1415278,1.0186402,0.941597,0.58018994,1.0531641,0.98132676,0.713963,0.36100674,1.4097942,0.8482528,1.3420942,1.4339235,1.2858713,0.9346863,0.81324935,0.8086585,0.8922303,0.7921355,0.90912735,0.9505496,1.1637229,0.91020465,0.99194044,1.1080167,0.5852685,0.58638823,1.3694719,0.9258414,1.0201387,1.2763107,0.62885004,1.0757015,0.7773071,1.0782418,1.0300341,1.3471131,1.0388672,1.2019104,1.0680516,1.3470072,1.2048554,1.2518755,0.77723867,1.2289311,0.61763906,0.91803825,0.93223083,0.8208229,0.866017,0.7456084,1.3789068,1.3424437,1.2749374,0.42741185,0.81925255,0.7930134,1.2326528,1.0775785,0.5408143,1.2611841,1.1603603,0.8978317,1.0077571,0.8694274,1.2468759
balloon,1.3742276,1.1037419,0.257833,0.86568725,1.5769901,0.19088781,0.0,0.68940103,1.0410563,1.495609,1.4770631,0.60619885,1.3432097,1.3781515,1.1779939,1.4438764,0.9564432,1.2592103,0.4378357,0.6282357,1.369481,0.5787852,0.9629617,0.6153817,1.084018,0.71629775,0.80525815,0.5475507,1.3452935,1.3929071,0.81380236,1.3598607,1.2041136,0.6064765,1.1539845,0.8483163,1.3500977,1.1409693,0.5392539,1.5342869,0.5067937,1.2035341,1.3420306,1.2497241,1.1245067,1.144518,1.3888941,0.84366405,1.2419628,0.26098502,0.89763343,1.2527409,0.95179045,1.0112028,0.77453357,1.064888,0.65877116,1.0027101,1.2692139,1.2139342,0.7975764,1.0646057,1.1491394,0.61640525,1.2295685,1.0149804,1.3902144,0.33430064,1.1433032,1.4861169,1.330533,1.0271583,1.478915,0.7123125,1.4069324,0.49880457,0.8494661,1.0335,0.91010916,0.99571174,1.2645211,1.1629572,0.976095,0.96490794,0.4335885,1.0813771,0.8598817,0.568908,0.25272834,1.3505653,0.926926,1.5040432,1.485347,1.4672394,1.0105468,0.592892,0.604209,0.9375264,0.675494,0.9541919,0.7006247,1.2671049,0.83302855,0.90572023,1.1666168,0.42790127,0.5140101,1.4261391,0.79849046,1.0442863,1.241071,0.71178496,1.0495421,0.74509984,1.1987114,1.0080764,1.4117743,1.0955994,1.1522187,0.92930555,1.3337581,1.1914088,1.3806663,0.6100031,1.2486752,0.49808908,0.93018496,1.0394889,0.6611632,1.0089293,0.7136333,1.3516625,1.4324205,1.465874,0.33360177,0.7912495,0.78210515,1.3145353,1.086818,0.6344118,1.3939582,1.1657349,0.80311483,0.7372315,0.7683875,1.1257654
banana,1.1982685,0.97579193,0.5135367,0.8850712,1.2963843,0.82266396,0.68940103,0.0,0.91877973,1.383543,1.404186,0.5622415,1.2047173,1.3434966,1.0177763,1.3290977,0.9531074,1.0993322,0.5883274,0.8339943,1.1766165,0.60784084,0.82517916,0.7901487,0.94413996,0.78020036,0.744876,0.54994714,1.2899151,1.342088,1.0414292,1.3033689,1.1139507,0.9276934,1.0665156,1.0924014,1.3046075,0.7886963,0.40869582,1.41184,0.75968134,1.2878109,1.2757628,1.3230758,1.0349617,1.0345967,1.2981997,0.8369264,1.0868986,0.71947277,0.9039502,1.2671896,0.9451405,0.8339702,0.6942923,1.0857117,0.5906224,0.95421225,1.1712172,1.3955727,0.85884994,1.05762,1.1472076,0.78130424,1.2948804,0.9359789,1.2983549,0.72558385,1.1592926,1.3137485,1.306944,1.0821674,1.305077,0.50430083,1.3531224,0.72755295,0.8063822,0.98097616,1.0007938,1.1106975,1.275022,1.0988536,0.90639013,0.9833022,0.6474612,0.949594,0.8540143,0.8376641,0.61487067,1.2972708,1.047441,1.3605466,1.3449014,1.2817271,0.93293816,0.46052635,0.4555961,0.96691376,0.4813069,1.1337657,0.6505668,1.161404,0.92014056,0.87692404,1.1048946,0.6924627,0.69033915,1.2679567,0.90535665,1.0896155,1.2555714,1.0254211,1.1563268,0.85487676,1.1285222,0.5431896,1.3525712,1.0849112,1.0386851,0.84705746,1.2199804,1.1828337,1.2595823,0.5574959,1.181373,0.36787015,0.8588102,0.9737861,0.7367756,1.2145264,0.8504236,1.2274132,1.3462666,1.3813194,0.54668146,0.821707,0.7461598,1.0145872,0.9628616,0.8035361,1.2955985,1.1117247,1.009827,0.78801227,0.73308986,1.1887395
basket,1.2834547,1.0955471,1.0971003,0.98498476,1.1510012,1.2147694,1.0410563,0.91877973,0.0,1.101344,0.9563951,0.9098758,0.6210792,1.4278017,1.1750305,1.1292756,0.98807555,0.8968857,0.7842037,0.874139,0.6331029,0.73825073,0.7071733,0.69802237,1.1524547,0.5350664,0.73764765,0.9601928,1.1224668,0.71863383,1.0898545,0.85838956,0.8914915,1.0434294,0.90186423,1.1827254,0.8367628,0.6606469,0.8046003,0.81032693,0.78091484,1.1666794,1.1950233,1.1865077,0.6959885,0.6288768,1.2083184,1.0480415,1.0706265,1.1514685,1.0150486,1.2782737,1.1020762,1.1954365,0.9669929,0.9650857,0.6973655,1.2429136,1.1664063,1.2411346,1.0096861,1.1512601,1.0130165,1.0903631,1.1324588,1.2328157,1.2421556,0.87404716,1.0866672,1.0667293,1.0501447,0.72203845,1.1734036,0.75649285,0.73406243,0.6510993,0.9453895,0.8489899,1.2823961,0.9229544,1.367224,0.96784526,0.96097255,1.0435137,0.9862262,0.8167141,0.9545588,0.9705676,1.0715617,0.94793725,1.0889837,1.2668498,1.1344149,1.1632956,1.1340181,0.8061084,0.79093254,1.0774109,0.9929965,1.1066211,0.7054535,1.0119406,0.8054079,0.917937,1.0364985,0.91375214,1.0010374,0.97084457,0.6717187,1.0039281,0.89126754,1.0563048,0.8715962,1.044672,1.0443945,0.9212612,1.2472671,0.91666615,1.0622865,0.76096284,1.065485,1.0250235,1.1783302,0.85384715,1.1290507,0.980077,0.9306794,1.1239582,0.8457563,1.32282,1.0204449,0.85012084,1.1644459,1.2157898,0.8857055,1.0327004,1.0755836,1.1291403,0.732822,1.0369471,1.109296,0.94884413,0.79022646,0.6865156,0.89728045,0.88679534
bathtub,0.7724079,1.1776718,1.5366669,1.32313,0.4873258,1.3833797,1.495609,1.383543,1.101344,0.0,0.39933813,1.3367934,0.49453628,0.63616884,0.96481925,0.5307986,0.93443865,0.87058175,1.5197014,0.95573354,0.621926,1.629274,0.99109286,1.3119075,1.1152681,1.3134651,1.1838187,1.5772843,0.6803771,0.6335981,0.99208367,0.5177212,1.0369958,1.0964981,0.878541,0.95971155,0.5819525,1.1189831,1.5146005,0.39225823,1.3109268,0.59621584,0.80174536,0.907,0.76970017,0.68740124,0.7306129,1.1449896,1.1042349,1.3387051,1.0966313,0.8824183,1.2440429,1.1402954,1.3244727,1.0967653,1.4092402,1.1694325,0.8105711,0.5313465,1.356182,1.1562147,0.6946127,1.3956275,0.9234032,0.8817218,0.8135061,1.5472316,0.79704994,0.48450375,0.7310315,1.1557279,0.58047116,1.2765038,0.5756032,1.2942538,1.2219411,1.2319949,0.9638886,0.908952,0.80618095,0.92440814,1.2924418,1.281733,1.5000615,0.9720108,1.3667041,1.3869768,1.3976915,0.46118116,1.1084763,0.58830845,0.63017756,0.5757854,1.0240914,1.4206457,1.4242462,1.11681,1.3040388,1.1109645,1.4099513,0.86957496,1.1176381,0.895588,1.0652571,1.4405564,1.4319963,0.7883874,1.0609555,1.0566512,0.631072,1.1392462,1.2999649,1.096983,0.7673017,1.1442124,0.64488393,1.0290287,1.0343812,1.0695915,0.5630111,0.28630966,0.49329472,1.4998775,0.56064284,1.4244742,1.2490895,0.9262068,1.2910979,0.6709827,1.3092378,0.8808155,0.6641242,0.35343313,1.431273,1.408412,1.2598593,0.68230236,1.0055206,1.2592769,0.48238665,0.8381346,1.1255382,1.1996325,1.4461379,0.76840335
