,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
comb,0.96088666,1.0766981,1.1732581,1.0025762,1.200208,1.1703434,0.6784002,0.77075607,0.89898384,1.1225206,1.0693154,1.2217298,0.9774694,0.98443186,0.96931934,1.0359964,0.9936193,0.94495153,1.1726757,1.098956,0.9575958,0.9663992,1.1101828,1.1970015,0.89467525,1.1751198,0.96154714,1.0072484,0.97534937,1.178438,0.99939394,1.0050348,1.066267,1.0578378,0.0,0.8897389,0.7661731,1.1890053,0.76057696,1.0754613,0.8826528,1.1868907,0.8488552,1.0977966,1.1018503,1.0418762,1.0261561,1.0690585,1.0910635,0.9539372,0.9424623,0.91309726,0.9983778,1.0985711,0.9680569,0.9870244,1.0954658,0.82156336,0.9735845,1.077654,0.9240934,1.1459877,1.0671791,0.9411126,0.9955796,0.96045667,1.2345921,1.1387002,0.93329316,1.0474209,0.9882717,1.0519176,0.88652253,1.0235158,1.0429549,1.0131716,0.7599477,0.8787881,0.87737536,0.7209912,1.1578791,1.005374,1.1057568,1.0306863,1.174825,1.105176,0.9187468,1.0591925,1.0439911,0.9122692,1.0570928,1.0282261,0.8562125,1.2335668,0.9433775,1.129393,1.0721751,1.1212094,0.93430054,1.1487834,1.1369615,1.0970198,1.1084449,1.1123524,0.74481964,0.8671757,0.66947585,1.0764232,1.0604031,1.0019095,0.7779959,1.0439516,0.8840012,0.95577997,1.1945007,0.9388847,1.116002,0.8874886,0.8435919,0.8033765,0.9079076,1.0228223,1.0619433,1.0974438,1.0203912,0.90730727,1.1150975,1.1041559,0.7309761,1.1306651,1.0319976,0.8932502,1.1629295,1.1230578,1.1418881
cookie,0.7736871,1.058195,0.9930737,1.0289053,0.92095345,1.1049824,0.8232974,1.2698381,0.5975275,0.8524357,0.92032236,1.3375064,1.0337688,0.90303665,0.9688105,0.91263354,1.1413944,1.0791941,1.3381233,1.0472914,0.8579058,0.53737646,1.3681395,1.3464369,1.0762914,1.363698,1.1664915,1.0439955,0.8244775,1.2410982,1.028338,1.0316211,1.1314515,1.1728736,0.8897389,0.0,0.95455956,1.0771192,0.56091475,1.2901467,1.1647774,1.2725608,0.6290176,0.9158609,0.8810433,1.1262192,1.0353225,1.0634506,1.0650153,1.0652114,0.7068273,1.0406446,0.97364795,1.1632202,0.84617186,1.1405535,1.2039473,1.2012392,0.74300575,0.92204577,0.6840699,1.2875609,1.1930285,0.8376181,1.0218933,0.97646785,1.2695012,1.1476264,1.0537978,1.0710332,0.9532566,1.0539505,1.1295046,1.2263732,1.2482538,1.0681431,0.6535322,0.94606066,0.81227624,0.5736686,1.1024725,1.2292167,1.2314771,1.0594071,1.1336873,1.1842057,0.8969302,0.98340267,1.0518686,0.80102265,1.2945246,1.2391559,0.9967449,1.3708661,0.6353846,1.2794156,1.148725,0.969822,0.99562246,1.2997357,1.2178316,1.1158679,1.1578639,0.9682156,0.6178796,1.005066,0.8289747,1.0376452,1.1301584,1.0139017,1.0562339,0.89491177,0.7631207,0.86239755,1.2665467,0.9304558,1.1291857,1.0778012,0.6197417,1.037914,0.9334983,0.81079316,0.97457093,0.99127555,0.7280754,0.99150956,1.1975911,1.0395072,0.80509984,1.2976649,0.96768326,0.64871824,1.4582245,1.2927088,1.2553194
corn,0.9022249,1.1274378,1.2127402,0.8927002,1.069322,1.1368755,0.6589272,0.9526382,0.9062841,0.8177864,1.0337045,1.168165,1.0795535,0.8355371,0.9106985,0.8788747,1.0268075,1.0494691,1.1402487,1.1941737,1.0975808,0.7763421,1.0518589,1.2848502,0.7651609,1.2639549,1.0535262,1.1396354,0.8687391,1.2136302,1.0279446,0.90972054,0.8919924,1.0563201,0.7661731,0.95455956,0.0,1.1205333,0.6628083,1.1165394,1.0571649,1.1946499,0.9214658,1.0066998,1.0281268,0.99155575,1.2111969,0.82047695,1.0698904,1.0833391,1.1754943,0.89028436,0.97932345,1.1817772,1.063301,0.5072224,1.2516434,1.011359,0.9524612,0.94507945,0.8480277,1.1746503,1.1242486,1.0724627,0.9068784,0.9616222,1.1587574,1.0231365,1.0091119,1.042556,1.1334715,1.0534354,1.1377132,1.0895116,1.0609945,1.0090424,0.9867256,1.1133131,0.95029914,0.7620912,1.1491715,1.1573224,1.1317365,1.1579002,1.165873,1.2161628,0.8485325,0.8066832,0.9901897,0.865184,1.0908519,1.0124407,1.046602,1.3248067,0.8146345,1.0151454,1.192089,1.1129744,1.0795697,1.2591743,1.2059876,1.0910418,1.0238693,1.0532266,0.9611963,0.72705233,0.96434605,0.98821974,1.2082142,1.0328531,1.0326893,1.0557579,1.0230017,0.9254003,1.269861,0.87734705,1.0590079,1.1470122,0.82527304,1.0933471,1.0820186,1.0699613,1.064352,0.88245237,0.8365463,1.1851811,1.211582,1.1017745,0.88020945,1.1149993,1.0657233,0.90766776,1.1476147,1.0339463,1.0172106
couch,0.5237874,1.0225619,1.1845416,0.81330127,1.2669026,1.4077365,1.2029146,0.93641275,0.7127382,0.85796106,0.16152906,1.2371492,0.31453806,0.7312087,1.1670057,0.3310995,1.0025293,1.001319,1.3356147,1.3230804,0.69743764,0.9282673,1.1500554,1.2159234,1.0077695,1.1317317,0.86811584,1.222797,0.77409357,0.3115759,1.3250594,0.63707703,0.8903097,1.033378,1.1890053,1.0771192,1.1205333,0.0,1.0436497,1.3898957,0.38630712,1.3124645,1.167047,0.879086,0.96625364,0.6625109,0.9061391,0.7870016,1.0969548,1.1442071,1.2932222,0.9086156,0.9498822,1.278296,0.87195456,1.2589148,1.1628611,1.4051065,1.017033,0.9772339,0.97789586,1.2997906,1.1178886,1.3721708,0.9054964,1.0683844,1.2685719,1.1631091,0.83536315,0.6252458,1.2639823,0.4838916,1.2885631,0.6261942,1.3141674,0.6612428,1.1028225,1.0346231,0.852515,1.1146339,1.3746228,1.0953903,1.3091679,1.2653295,1.330429,0.7994772,1.0356505,0.6353184,0.568221,0.93970084,1.4196911,1.4069993,1.3447778,0.863299,1.0171919,1.2468548,1.3532841,1.1095097,0.6697042,1.0713621,1.2549216,0.6884088,1.0373572,0.92403567,1.2199033,0.8515557,1.1976153,0.61192805,1.0450013,0.681939,1.3074903,0.6035039,0.85933083,0.6009585,1.3168929,0.8500929,1.3236866,0.8876869,1.1862361,1.3513508,1.1031164,1.0803585,0.78235805,0.6581071,0.667585,1.1949751,1.3345724,1.316534,1.0974693,1.1020933,1.2040585,0.8678727,1.1548721,1.3942578,0.85077494
cracker,0.66449726,0.99326384,1.3266296,0.95264,1.2058978,1.3665137,0.6628531,1.1671113,0.63392204,0.7385477,0.90500164,1.3993458,1.0023649,0.8073505,0.95807946,0.84007335,1.176401,1.0155597,1.4549191,1.1133316,0.9093146,0.29400557,1.3385539,1.4808611,1.0023812,1.4457762,1.0692273,1.032716,0.7784908,1.1620969,1.137948,1.0409687,1.0518419,1.2702065,0.76057696,0.56091475,0.6628083,1.0436497,0.0,1.3581191,1.0406588,1.4193323,0.5301827,0.9403971,0.92582005,1.0713288,1.156841,0.92324716,1.1752741,1.1438011,0.97550124,1.0325501,0.9995436,1.2597278,0.6528152,0.8206964,1.2462794,1.0205803,0.76792145,0.9119066,0.57337254,1.4643812,1.168314,0.984847,1.0411575,0.8597633,1.4623504,1.0713407,0.94279695,0.99371254,1.1192343,1.019829,1.128634,0.9969708,1.3355067,1.0418954,0.7005855,0.8519538,0.8179402,0.4062494,1.3496978,1.201157,1.2796183,1.1234752,1.3525267,1.2422094,0.87806094,0.922978,1.0036484,0.7015238,1.3807237,1.2961354,0.97536093,1.32967,0.33646888,1.0855016,1.2219514,1.2572067,1.059094,1.3548753,1.3312529,1.0451996,1.0484929,0.8113522,0.57294464,0.84282184,0.90691745,1.0161259,1.2406167,1.042061,1.0245203,0.91663134,0.73595893,0.8952647,1.4418399,0.831728,1.223265,1.1409007,0.40234065,1.04492,1.0337739,0.87583727,0.9447418,0.9935659,0.7142555,1.1800344,1.2954354,1.1192949,0.7550906,1.2567223,1.1513623,0.6036694,1.4371958,1.3593866,1.1166093
crayon,1.512173,1.1134145,0.77426165,1.25581,0.702787,0.43697393,0.981239,0.95064807,1.5187817,1.2116297,1.4977994,0.32291198,1.3826923,1.5137861,0.9645378,1.442608,0.9152681,0.79554254,0.38452208,0.60028595,1.2215613,1.3980906,0.5423318,0.5468543,1.0730226,0.5483922,0.97893614,0.5677972,1.3559697,1.2745225,0.78962255,1.3185823,1.2063488,0.88342357,1.0754613,1.2901467,1.1165394,1.3898957,1.3581191,0.0,1.3399813,0.4913873,1.2757578,1.1409615,1.1136904,1.2601275,0.930497,1.3240619,0.8282891,0.95674956,1.0178249,1.2194154,1.2678822,0.6038712,1.2513925,0.7779942,0.60071295,0.37844968,1.0790579,1.1091903,1.419816,0.37180173,0.78302294,0.69371206,1.2807482,1.2142684,0.36897695,0.8371203,1.1639571,1.252281,0.8709811,1.3965299,0.43033838,1.2520274,0.49625337,1.2470632,1.1502826,1.019531,1.3123405,1.4364414,0.3859669,0.56757355,0.5759767,0.7876737,0.41522783,1.0449952,1.0818275,1.4695826,1.4278628,1.2217952,0.087065935,0.17724371,0.64139557,0.57921624,1.2415285,0.6694641,0.31990814,0.9228487,1.2585919,0.6212185,0.48234582,1.3128005,0.9757348,1.3237338,1.2295227,1.3056455,0.9392741,1.4461193,0.8315582,1.2380407,0.65121084,1.4349382,1.3890016,1.3468182,0.32086408,1.203486,0.490098,1.0527029,1.2927966,0.6319758,0.9138496,1.0174453,1.2207212,1.4594853,1.4691095,0.7983911,0.62124187,0.48288488,1.1059799,0.47581625,0.68644094,1.3743706,0.47017366,0.36656445,1.0925771
crib,0.8199426,1.058399,1.3393042,0.90828,1.3485315,1.3771038,1.2748904,0.34269625,0.8078686,0.9922111,0.4233786,1.2265916,0.3468635,0.84535027,1.1386398,0.5923873,0.7484578,0.8530764,1.175646,1.2474321,0.4850996,1.0615941,0.89741594,0.9841267,0.90573627,0.9040603,0.849758,1.3590658,0.8354679,0.26907694,1.1736705,0.4685371,0.8914692,0.800593,0.8826528,1.1647774,1.0571649,0.38630712,1.0406588,1.3399813,0.0,1.1406243,1.2063453,1.0793868,1.120203,0.406987,0.69478023,0.87857485,1.2232685,1.2304549,1.4233415,0.75210226,1.0858718,1.4166765,1.1048495,1.1515313,1.2089413,1.2304708,1.2680095,1.0523627,1.022954,1.2835722,1.1631215,1.3603711,1.0320586,1.1348233,1.3243679,1.141055,0.78269905,0.53303254,1.1580101,0.66027296,1.1491853,0.3689686,1.0929402,0.8574947,1.2470498,0.9977915,1.0222075,1.0430739,1.4933555,0.9352366,1.3257275,1.3264656,1.459008,0.60662454,1.1862826,0.77776074,0.6968806,0.9996458,1.2960823,1.3107169,1.2103937,0.95358115,1.147914,1.0893724,1.2878838,1.2080657,0.4983191,0.8421211,1.2928302,0.44398457,1.0495219,1.0019885,1.2568469,0.8331461,1.0899633,0.8177279,1.0475166,0.763434,1.1864654,0.771294,0.7584489,0.67734706,1.3686292,0.8571228,1.1887333,0.87945724,1.1665682,1.199787,1.195869,1.2237263,0.875888,0.80219454,0.80798465,1.1481555,1.3983796,1.4404202,1.1141096,0.9867513,1.2415917,0.82387733,0.88519084,1.3770876,0.6114789
cup,1.55635,1.2208762,0.603047,1.3245857,0.612881,0.45176452,1.2111807,0.72853035,1.3985202,1.1770153,1.4620655,0.51471174,1.3376889,1.4775355,1.1087123,1.4872354,0.8659246,0.9052838,0.10593265,0.38814926,1.0940825,1.3982813,0.62529546,0.19004095,1.0289955,0.3210795,1.0093145,1.0556419,1.4432166,1.1154063,0.542805,1.198303,1.1429517,0.52227503,1.1868907,1.2725608,1.1946499,1.3124645,1.4193323,0.4913873,1.1406243,0.0,1.0726693,1.0921214,1.0338298,1.1177707,0.94749856,1.2673144,0.82215565,1.1472974,0.9377075,1.2363584,1.2091055,0.9292806,1.4320927,0.7555851,0.87815183,0.85052073,1.1727312,1.0459914,1.3648465,0.5830671,0.9167603,0.72226065,1.3419836,1.3378559,0.47537422,0.79971164,1.2492471,1.2281783,0.38672435,1.458019,0.8941879,1.1015925,0.52831614,1.4300239,1.2660658,0.9729203,1.3316944,1.2789255,0.61613506,0.76413864,0.87328196,0.93507564,0.5203996,0.66887355,1.095917,1.433352,1.4568818,1.3542492,0.5280043,0.6275953,0.70765924,0.731194,1.3621404,0.5567775,0.4466868,0.70555127,1.136137,0.48607123,0.6981122,1.0000986,1.0450846,1.134345,1.0193137,1.2329382,1.0054654,1.4358236,0.873055,1.3619983,0.6519203,1.3445184,1.2523983,1.313977,0.58297825,1.2613575,0.44251674,1.0849497,1.117217,0.632031,0.9802014,1.0986452,1.126637,1.4084966,1.3399116,0.5146898,0.8788072,0.8883707,1.2976232,0.66161114,0.6171534,1.327348,0.4587866,0.60222393,0.89172184
dish,0.9924799,1.0788844,1.0543613,1.1117392,0.9625605,1.1390868,0.8303173,1.2068398,0.62996495,0.92327625,1.0501531,1.3349748,1.1695998,0.96835244,1.0226105,1.0671209,1.1078368,1.0481749,1.1503625,0.7039481,0.9070322,0.52288806,1.2108524,1.1769243,1.0596577,1.2463679,1.1705999,1.1126444,1.0568056,1.2374974,0.855882,1.0357888,1.137648,1.0964818,0.8488552,0.6290176,0.9214658,1.167047,0.5301827,1.2757578,1.2063453,1.0726693,0.0,1.004546,1.0058236,1.1716772,1.1343416,1.0768274,1.1176641,1.1036195,0.6614204,1.1047462,0.9727866,1.2211562,0.8804821,0.99811584,1.199831,1.1113337,0.8909027,0.91910464,0.67155087,1.3241572,1.1914966,0.8103571,1.1103295,0.9954889,1.2936221,1.1417831,0.99524355,1.121427,0.7504719,1.1585872,1.0319748,1.0966876,1.1431501,1.1867213,0.7468655,0.8827441,0.94403905,0.46665543,1.2052634,1.2086586,1.2478712,1.1320971,1.1657704,1.1417139,0.9024292,1.0805124,1.1550025,0.8764808,1.2310146,1.1667889,1.0021913,1.3783131,0.5994348,1.0995264,0.9888192,1.0533214,1.0812382,1.2952178,1.2614273,1.1181712,1.1901286,0.88064516,0.28488064,1.0484843,0.7131376,1.1188965,1.146206,1.195509,0.8116814,0.9199631,0.73307973,1.043698,1.3263981,1.0385273,1.0938871,1.062863,0.25764883,0.7689431,0.9386072,0.9922672,1.0183206,1.0897126,0.8211625,0.70260495,1.2343469,1.1669647,0.78467745,1.2742813,0.99338955,0.6605439,1.3081336,1.3398613,1.1580776
dog,0.75165343,1.1817656,0.7201597,1.0322468,0.9303,1.1401119,1.0518533,1.1113081,1.0666221,0.86399376,0.9680346,1.1266785,1.145631,1.061796,1.1010623,0.84230644,1.1326592,1.0422151,1.0636246,1.1569995,1.1195315,0.9343866,1.2271392,1.1833739,0.9318366,1.2425137,0.9203411,1.1352818,0.74448395,1.133198,1.004191,1.0870887,1.095247,1.1028855,1.0977966,0.9158609,1.0066998,0.879086,0.9403971,1.1409615,1.0793868,1.0921214,1.004546,0.0,0.31130815,1.17187,1.2273822,0.8418213,0.5052708,1.1898806,1.0902699,0.95769316,0.79923487,1.1573808,0.95879173,0.9293615,1.2003481,1.1834581,0.47615445,0.6582226,1.0900023,1.1138142,0.8240143,0.97490764,1.0440527,1.1110489,1.0539371,0.735265,1.140964,1.0454319,1.0552062,1.0371623,1.1832081,1.1287287,1.199618,1.0796944,1.0490437,1.1316514,0.8840607,0.98046684,1.1203313,1.12259,1.2498171,1.0727525,1.0586219,1.1186023,0.4646114,0.95582724,1.0437024,1.0681055,1.1456366,1.1610773,1.1328089,1.0230829,0.90901506,0.9951586,1.2107636,0.74781466,1.0260367,1.0914307,1.0868138,1.1941273,1.0391917,0.92982507,1.0534098,0.7991705,1.064071,1.0125718,0.93408173,1.1041459,1.1584251,1.1033521,1.1926844,0.9890312,1.0732491,0.90939033,1.1602938,0.99650574,1.0983639,1.1939849,0.9028816,0.9377327,0.8109547,0.944181,0.9940686,0.9372548,1.1759629,1.0462965,1.0971979,1.0135758,0.71482664,1.0811284,1.2322122,1.1522806,1.065648
doll,0.7879002,1.0190282,0.6406593,0.94476986,0.81680965,1.0932115,0.84412646,1.1380115,1.1911341,1.0711504,1.0292289,1.2166153,1.2149705,0.9906427,1.2457103,0.93896097,1.1345317,0.9206515,1.0614158,1.1448439,0.99915844,1.0949429,1.2125146,1.1829422,1.0629573,1.2633328,0.9709695,0.91174304,1.1278373,1.1239573,1.0861979,1.2355258,1.1536247,1.1684444,1.1018503,0.8810433,1.0281268,0.96625364,0.92582005,1.1136904,1.120203,1.0338298,1.0058236,0.31130815,0.0,1.3330681,1.1481309,0.9425785,0.6431227,1.0596617,0.8429849,1.1848255,0.7519227,0.95846516,0.8506079,0.9000423,1.138624,1.1944609,0.40825284,0.63150066,1.0487835,1.1309566,0.7173018,0.7853816,0.9659253,0.835926,1.0256125,0.8144959,1.2234966,1.0748765,0.95036644,1.0835478,1.1396917,1.1145012,1.27813,1.1520886,1.0675632,1.0156721,0.688788,1.0725819,1.101164,1.1266568,1.1286628,0.9414842,0.99487865,1.1652299,0.5929142,1.0324631,1.1041381,0.98355055,1.1253076,1.1164227,1.0950719,1.0346953,0.9154553,0.9852588,1.2071129,0.62250036,0.97324824,1.1084068,1.0913064,1.1769472,1.0099784,0.84689265,0.9960988,0.8069495,0.93740743,1.0072274,0.8962991,1.1767718,1.0495842,1.1508725,1.2293553,1.0768361,1.0769382,1.2010144,1.209159,0.98097736,1.0796652,1.1106987,0.8179177,0.82495975,0.66742957,1.0065885,1.0175052,0.9615862,1.0183705,1.0701747,0.8494277,1.0526885,0.57143384,1.0020652,1.246516,1.0910426,1.1772134
door,0.9562138,1.0539818,1.3537831,0.963076,1.3781962,1.1787075,1.3059683,0.66844267,0.7752438,0.8578466,0.6441202,1.1020533,0.5579492,0.8632632,1.0037795,0.7709965,0.9612895,1.0968499,1.1251909,1.3401425,0.8217795,0.96392035,0.7234416,0.9455677,0.85199976,0.80565286,0.9684207,1.2627479,0.6291835,0.5362131,1.2152883,0.24980837,0.77303857,0.76678586,1.0418762,1.1262192,0.99155575,0.6625109,1.0713288,1.2601275,0.406987,1.1177707,1.1716772,1.17187,1.3330681,0.0,0.6953302,0.8313476,1.2006214,1.1720256,1.4006995,0.62234485,1.0574807,1.3278983,1.1385934,1.1614316,1.257535,1.1350943,1.3188838,1.0969064,0.97960943,1.2055143,1.3370366,1.4819198,0.9610603,1.1263113,1.2728808,1.1464908,0.6543092,0.7894564,1.226455,0.7051582,1.1226703,0.51116425,0.93628323,0.79435235,1.1170416,1.0788673,1.1972412,0.9584229,1.3248334,1.0245435,1.1793729,1.2577624,1.3398783,0.66392076,1.2513214,0.75983465,0.65109015,0.98597455,1.2326989,1.2200472,1.1950747,1.0645841,1.1771827,1.083722,1.2293473,1.2948046,0.8774314,0.9644122,1.2037463,0.2839259,0.90731275,0.95323443,1.276216,0.937334,1.1611761,0.77436376,1.2683957,0.70107675,1.0891712,0.65786517,0.8135499,0.77057004,1.3395401,0.7651477,1.0188408,1.1397998,1.1512252,1.1768322,1.2389456,1.1954485,1.0825567,0.74952173,0.8669814,1.3407068,1.3110167,1.2668133,1.13891,1.0106897,1.4022646,0.9697268,0.6816592,1.283582,0.39409328
drawer,1.1868207,0.97557515,1.0168197,1.1405547,1.1441919,0.8627854,1.1573701,0.74482095,1.0646884,1.1632687,0.94963366,0.91690075,0.63959,1.2183511,1.0744342,1.1176137,0.7409346,0.7266354,1.027167,0.96054953,0.5261411,1.2113248,0.7737261,0.8170151,1.1045078,0.68385994,0.93443775,0.8958598,1.1925313,0.64828885,1.0558641,0.82321185,1.0953274,0.86508584,1.0261561,1.0353225,1.2111969,0.9061391,1.156841,0.930497,0.69478023,0.94749856,1.1343416,1.2273822,1.1481309,0.6953302,0.0,1.2476985,1.1268132,1.0904305,1.0293787,1.1755745,1.1796451,1.0011533,1.106659,1.1021707,0.83920175,0.7869818,1.1387696,1.0197161,1.138214,0.9770999,1.1199346,1.0436659,1.1694034,1.1006782,1.1115803,1.0203182,0.919696,0.9309292,1.0747063,1.1093386,0.736863,0.7526432,0.79616404,1.0820503,1.0328994,0.9059267,1.1977978,1.1741483,1.0747446,0.65462136,1.0016845,1.0922494,0.9880161,0.72177005,1.1741925,1.1707431,1.0348576,0.9984098,0.9245109,0.94373256,0.9087116,0.79844373,1.2016143,0.9808681,0.7989281,1.0187713,0.85001,0.6515946,1.0157309,0.6232056,0.94159365,1.1253196,1.0859171,1.2773291,0.9310893,1.1535826,0.99983597,1.0740615,0.9138457,1.0596024,0.80467796,1.0377483,0.97170156,1.0654908,0.7859935,1.0619892,1.0855162,0.92595184,1.006317,0.9313618,1.0259211,1.2132878,1.056712,0.96555007,0.9988949,1.0069599,1.137582,0.74534255,1.047792,1.0165056,0.6815487,1.0451624,0.7364986
dress,0.786528,0.8885957,1.2011915,0.765201,1.2226,1.3842106,1.065239,1.0170293,0.87711954,0.902086,0.8104216,1.2935514,0.9155278,0.5054891,1.0611206,0.6564727,1.1845474,1.1739367,1.2345334,1.4021301,1.0727363,0.8969683,1.1658313,1.2956712,0.85138404,1.2243246,1.055165,1.1356845,0.8018807,0.8743899,1.2385089,0.84050226,0.33133638,1.0459659,1.0690585,1.0634506,0.82047695,0.7870016,0.92324716,1.3240619,0.87857485,1.2673144,1.0768274,0.8418213,0.9425785,0.8313476,1.2476985,0.0,1.073844,1.0729648,1.2401658,0.6296065,0.84214526,1.1567379,1.0782764,1.0871764,1.2734976,1.3848186,1.0832931,0.9443402,0.86086965,1.2666037,1.2042134,1.2691045,0.7592156,0.95727205,1.2489741,0.96253264,0.9901349,0.702256,1.1294622,0.6162415,1.3501179,0.8939623,1.3174863,0.66513586,1.1124415,1.1253928,0.9774146,0.9347527,1.2476435,1.2806861,1.0758781,1.1601437,1.2791345,1.1362914,0.94910055,0.1807645,0.51685894,0.99192154,1.3814716,1.370455,1.2743297,1.2172685,0.9308597,1.2430764,1.399744,1.1495328,0.9275371,1.2776413,1.16492,0.93465185,0.9427424,0.97817045,1.1377316,0.3943162,1.1857517,0.5137121,1.1271354,0.73996246,1.2862601,0.7042558,1.0881748,0.87683123,1.2980894,0.92713827,1.2551038,1.0823747,1.041632,1.3509859,1.1594994,0.99818385,0.93151945,0.48330253,0.85238373,1.2414939,1.1776712,1.2725897,1.0472689,1.2234783,1.1679152,1.0048497,1.2074723,1.1918691,0.95282745
duck,1.1383532,1.289743,0.49691272,1.2405741,0.77120245,0.82423234,1.0804791,1.0646678,1.2699251,1.0140346,1.1831762,0.8008366,1.2901849,1.2687595,1.1103243,1.1478975,1.0804673,1.0340573,0.776343,0.846078,1.1955707,1.1661428,1.0212607,0.89542544,1.0336261,0.9636889,0.9052453,1.0766631,1.0775107,1.2555307,0.74011886,1.1825585,1.1846567,1.0593935,1.0910635,1.0650153,1.0698904,1.0969548,1.1752741,0.8282891,1.2232685,0.82215565,1.1176641,0.5052708,0.6431227,1.2006214,1.1268132,1.073844,0.0,1.1459692,0.95437735,1.0896612,0.8286649,1.0135344,1.1585506,0.8086852,1.081311,0.9767744,0.6782311,0.8934431,1.2670842,0.7538966,0.897294,0.8381127,1.0685583,1.2253257,0.73309743,0.57220346,1.2075601,1.1853089,0.9647462,1.2929565,1.0909151,1.2336351,0.8792412,1.234329,1.0488999,1.1640395,1.1529099,1.2017977,0.7604469,1.0427767,0.998223,0.9630475,0.6579987,1.0293102,0.5811879,1.2001209,1.2612746,1.2130017,0.8556925,0.91079175,1.0221888,0.8643329,1.1112105,0.8445696,0.83266485,0.6501071,1.2037517,0.8359295,0.8247887,1.1866269,0.9284559,1.0129153,1.0599945,1.0062562,1.0786206,1.151885,0.97658443,1.2559737,0.95651937,1.1870215,1.284763,1.1414032,0.78671026,1.033435,0.8558034,1.1645317,1.1998948,0.9842078,0.9359221,0.9417164,0.84465086,1.1400524,1.2234905,0.8296088,1.0288324,0.9203924,1.2112654,0.9562944,0.6141814,1.2670498,0.95727825,0.8318853,1.0748335
ear,1.0616312,0.6184931,0.97290415,0.9003684,1.0719278,0.9693291,0.944928,1.2242612,1.1961982,1.1780051,1.1583788,0.91326857,1.1696806,0.8712592,0.891868,1.1625909,1.0899698,1.2615328,1.1247153,1.1823294,1.3191388,1.1828041,1.1136742,1.0040892,1.0791831,1.0236351,1.1341275,0.65681565,1.0123076,1.1175451,1.240012,1.1131371,0.90103596,1.1473699,0.9539372,1.0652114,1.0833391,1.1442071,1.1438011,0.95674956,1.2304549,1.1472974,1.1036195,1.1898806,1.0596617,1.1720256,1.0904305,1.0729648,1.1459692,0.0,0.796981,0.97029525,0.8809696,0.42976522,0.827743,1.212584,0.7224916,0.9264404,1.1003461,1.1431818,1.0179031,0.7452864,0.7280295,1.0504307,0.5859045,0.64594877,0.85746855,1.1140689,0.99186957,0.9891038,1.1718527,0.81318915,0.93201935,1.1391261,1.0481099,0.73020643,0.9655237,0.9794993,0.8021871,1.1823514,0.6999532,1.0486189,0.36425096,0.42369938,0.94412065,1.236866,1.1703129,1.0629969,0.83298254,1.0682758,0.96877015,0.9461119,1.0720923,0.8421054,1.1782285,1.0424173,1.1123375,0.9960717,1.0864753,1.2030756,0.6933762,1.1862434,0.78586775,1.1395231,1.1434292,1.0605706,1.1083965,0.86734015,0.9015609,0.7722852,1.1327953,1.0358245,1.1765525,1.0912857,0.72135526,1.1775209,1.2892733,0.8625163,1.1994388,1.0853258,0.94637436,0.77895766,1.131224,0.96885926,1.2083108,1.1606028,0.39973688,0.62186766,0.8571581,1.0840397,1.2368966,1.2207375,1.0575259,0.6270004,1.1866298
