,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
comb,0.88108635,1.1406859,1.2901345,1.1289111,0.67882484,1.059841,1.260592,1.2893195,0.70202994,0.8311304,0.88169193,0.8506826,1.1992873,0.7329016,0.9744437,0.89119935,0.8326942,0.8130462,0.85328895,1.2509391,1.0788698,0.8346883,1.2681816,1.1013727,1.1187503,1.0469623,1.3056736,0.8270936,1.1626292,1.0009048,0.9752314,0.78402257,1.0115256,0.96806973,1.0448896,1.1525306,0.0,1.0555049,0.96831703,1.0413182,1.2005017,0.7408438,1.254103,1.1485207,0.7732398,0.9492414,0.98343676,1.1493323,0.85815036,0.87827206,1.0543871,1.3221622,0.8494066,1.0078233,1.1443658,0.8516724,1.1933738,0.67627984,1.132705,0.7681011,1.2591437,0.8056238,0.9890529,0.9426606,0.91046995,0.84352744,1.3359032,1.1491188,0.70720863,1.0220612,1.0818532,0.9564265,0.7294082,0.81506634,1.0771489,1.0825493,0.9308567,0.98303634,0.98366815,0.75799966,0.86472404,1.0276966,1.151268,1.2844808,1.0256763,1.2022322,1.2538749,1.2705227,0.7657304,0.83933794,0.9545602,1.0550439,0.7552029,0.9618265,1.1028179,1.1569197,1.1737757,1.2030959,1.3603916,0.8195683,1.140733,1.0586014,1.1028194,1.2535071,0.960863,0.89629644,1.0164002,1.1738834,0.99216765,1.1064959,0.9492181,1.0023634,0.4675008,1.0009931,0.93642807,1.1586941,1.0663105,0.98892653,0.7960219,1.3330882,1.0015197,1.3416454,0.8732867,1.2371349,1.1104553,0.98182327,0.8174379,1.2409797,1.1160455,0.9450317,0.7704449,1.0659332,1.2731099,1.2286061,0.43233424,0.98524815,1.0879453,0.6571016,0.9333409,1.026994,1.1057373,0.99334294
cookie,1.1686089,0.9194914,0.73983145,0.82984316,1.1562151,0.6292429,0.79002154,0.9057814,0.86140597,1.160637,1.129812,1.2384081,1.1491703,1.1070749,1.2056715,1.063536,1.1653842,1.0636362,1.0369488,1.0049387,0.7794558,0.9350477,0.6392953,1.1471653,0.96676135,0.9234625,1.1236607,1.1626742,1.0217507,1.257869,1.1659381,1.0547696,0.8822133,1.2380872,1.1960818,0.6539733,1.0555049,0.0,1.1996994,0.63417673,1.0095663,1.1552361,0.8956848,1.0357063,0.72414124,1.1365169,0.91448575,1.1192738,0.98839974,1.2056231,1.0739547,0.64886254,1.08691,1.1684561,0.9815761,0.9795344,0.9994362,0.9614773,0.84234434,1.1484041,1.0516541,0.89946896,0.6962582,1.2492386,0.8253902,1.0388225,0.97437716,1.1556177,1.1751057,1.2727916,0.9878714,1.3702188,0.94192094,1.0721016,0.857368,1.09099,1.1013473,0.8429387,1.0414929,0.82781166,1.0506542,1.0302614,0.61981857,0.94830495,0.8188173,0.96650976,0.9589851,0.690606,1.2587942,1.0948467,1.2502633,1.3410361,1.093335,1.0122175,0.9435328,0.99857223,0.9560208,0.8725219,1.0931727,1.0296212,1.0151714,0.69911695,0.9592528,0.822903,0.9350507,1.123927,0.88718307,0.8982224,1.124164,1.0634965,0.7055063,1.25277,1.1001618,1.2826111,1.0713359,1.0270758,1.1328802,1.0713507,1.047831,0.87739015,1.0814897,0.82334805,1.0632544,0.8553374,0.9589558,0.7914248,1.06054,0.81638575,0.9281522,1.2255077,1.1325536,0.7356175,0.9654716,0.92478627,1.044213,0.97988105,0.74234223,0.94288945,1.101087,1.0551218,1.0137156,1.0996468
couch,0.8664275,1.2527467,1.3835852,1.2094684,0.8206553,1.2547529,1.3537534,1.2151543,0.8214093,0.72962743,1.0056831,0.13660777,1.1500748,0.290604,0.9387554,0.9837686,0.4727012,0.89559805,0.92881614,1.2393816,1.1601521,0.5584407,1.2594805,0.9848584,0.9996026,1.1904016,1.0410374,0.7992172,1.3157063,0.8270985,0.28816056,0.9521121,1.1552179,0.52147835,0.78521645,1.3067858,0.96831703,1.1996994,0.0,1.2325753,1.3407573,0.39560753,1.2580686,0.88300395,1.0475372,0.7066023,0.89645565,0.7008947,0.5344905,0.884011,1.0654136,1.4330156,0.8222565,0.98622555,1.3145821,1.1610667,1.1313484,1.1912637,1.177517,0.8853333,1.3190966,0.97321683,1.3273588,0.9547093,0.99301445,1.1102413,1.2637254,0.9570311,0.82190156,0.83456564,0.9649087,0.66900516,1.0917122,0.5510022,1.170418,1.0792748,1.0553617,1.0781273,0.8591578,0.98188823,0.85146844,1.2353704,1.2764647,1.3740528,0.96207964,1.3303497,1.2537694,1.3653969,0.50358707,0.7991026,0.7900317,0.62417215,0.8584168,1.078074,1.2850449,1.2818406,1.0948457,1.3912361,1.0340552,0.9829866,0.89022875,1.2321024,1.0990636,1.1052594,0.864675,0.5916571,0.847111,1.1663224,0.66938424,1.1296897,1.1203353,0.9633289,0.99098057,0.7663819,0.85424435,1.2516338,0.81063056,0.91707784,0.68080163,1.3191245,1.0785453,1.3525902,0.7711355,1.1540451,1.232277,1.2714956,0.94492114,1.3067193,1.1298363,0.7494246,0.76683974,1.2259927,1.3447528,1.3532718,1.075788,0.7924901,1.1696407,0.85879874,1.0180554,0.96915656,1.3805604,0.69349724
cracker,0.97213334,1.0203149,0.9578428,0.70478487,0.9822366,1.0262175,1.1069676,0.6691067,0.9625236,1.025076,1.0156697,1.1903605,1.2456285,1.12099,0.95637167,1.2408051,1.0529414,1.0107657,0.9326131,1.2213742,1.1378933,0.9405799,0.50161207,1.2750452,1.0922788,1.1317555,1.2395449,1.2140034,0.88600767,1.1826159,1.1698148,0.7843477,0.9595256,1.186965,1.1303804,0.8824125,1.0413182,0.63417673,1.2325753,0.0,1.1201735,1.2047166,1.1593935,0.9526998,0.92898786,1.1182013,0.887767,1.2035844,1.113241,1.0622357,0.8951851,0.76273227,1.0708439,0.98789346,0.8913025,1.0771348,1.057302,1.112879,0.92954886,0.9668798,1.075201,0.8055159,0.8731384,1.035544,0.6329747,0.76341903,1.1946015,1.1953535,1.0576733,1.0466915,0.92196757,1.0450565,0.984009,0.96935165,1.1641331,1.1317137,0.9807833,0.8785181,0.9573022,0.7575515,0.9976474,0.8868647,0.5960591,1.1165291,0.8871116,0.9221552,1.0414922,0.88333285,1.1075903,1.0902165,1.0290319,1.0852861,0.7797886,0.92262065,1.1468985,1.1097949,1.0545218,0.85802096,1.1611593,0.77177787,1.1419377,0.9025332,1.0614153,0.9543945,0.66693646,1.0798838,1.2414622,1.0363339,1.1062329,0.97377026,0.7701931,0.92164576,1.0656748,1.0377696,1.0110414,1.0745378,1.1388903,1.2191106,1.1081803,0.9896637,1.1111946,0.9166559,1.0357642,0.87190706,1.1573584,0.998508,0.9712653,0.9010442,0.9489337,1.0214478,0.9580151,1.0766907,0.98954827,1.0275084,0.9954436,1.0058326,1.0682962,0.82465863,1.1013122,1.3010437,1.0238013,1.2121826
crayon,1.45308,0.5426605,0.614366,0.8010735,1.4715333,0.9220661,0.36536467,0.6053268,0.93373454,1.4039036,1.2447747,1.5186718,0.24321365,1.303957,1.554841,1.0452132,1.4712327,1.1393107,1.0433996,0.18551892,0.55003995,1.2935619,0.7776625,0.44506896,0.8603968,0.65569335,0.34312886,0.97985756,0.6820576,1.2689309,1.3263872,1.319572,0.7244945,1.3469895,1.3645742,0.91671443,1.2005017,1.0095663,1.3407573,1.1201735,0.0,1.3561804,0.27927935,1.2065414,1.3566731,1.5060391,1.3849628,0.9131735,0.994148,1.2984943,1.1351173,0.66436493,1.2521836,1.294944,0.75826037,0.77576935,0.62779796,0.5256203,0.95643336,1.5432464,0.3729267,1.2298706,0.7744065,1.3407357,1.4062395,1.3517805,0.36358082,1.0408857,1.4056876,1.403529,1.2772641,1.4912271,0.62397826,1.4356654,0.40660655,0.79149276,1.2257383,1.2819958,1.2602626,1.333882,1.2371349,0.8799821,1.0776358,0.19096452,0.8163347,0.7140432,0.73065424,0.5426947,1.439308,1.2620578,1.536459,1.4423684,1.3850212,1.1742554,0.13749963,0.076821625,0.7130649,0.57959,0.3152789,1.4109046,0.92801976,0.7927815,0.9280562,0.9813534,1.4169745,1.4192595,0.8345138,0.82785475,1.1941587,1.1206326,1.1448134,1.2954361,1.0772984,1.5324385,1.2357447,0.20815551,1.1441809,0.6967602,1.3514452,0.21789604,0.94572335,0.23620725,1.2785949,0.7530217,0.34266168,0.91763496,1.287566,0.7380963,0.6996942,1.50429,1.5233341,0.5692003,0.55148214,0.35400027,1.0901917,0.90503365,0.7692462,1.5797589,1.0660388,0.4756778,0.4572401,1.0882494
crib,0.86472255,1.3254733,1.3955181,1.249481,0.74987626,1.1874481,1.3342528,1.3259345,0.6249486,0.73151195,0.9555962,0.30556262,1.2374961,0.3966763,0.9164565,0.79545903,0.6166613,0.8263189,0.80125535,1.2277522,1.1185246,0.5272063,1.3661472,0.9940564,0.9676298,1.1525698,1.0818126,0.88169193,1.3953066,0.8765158,0.42174482,0.92500657,1.0948104,0.5645686,0.83157307,1.282532,0.7408438,1.1552361,0.39560753,1.2047166,1.3561804,0.0,1.2089297,0.9448892,0.9630562,0.7732599,0.78752255,0.6982285,0.5727999,0.9599331,1.2237008,1.4750977,0.7033925,1.0213311,1.3924558,1.2915324,1.1337603,1.0501649,1.1370783,0.8170775,1.3825357,1.0384572,1.269632,1.0148481,1.0276115,1.1124036,1.3374379,1.0279115,0.79410213,0.8845767,0.9545168,0.9494997,1.1004125,0.42435312,1.1096337,1.0171947,1.0905757,1.1178625,0.7877977,0.9866646,0.8828094,1.259234,1.3064673,1.390529,1.08354,1.3748015,1.2600579,1.3344784,0.6241756,0.6949271,0.8097937,0.9224501,0.8006491,1.0072653,1.276365,1.3057382,1.1467688,1.4508542,1.200117,0.9204332,0.89488995,1.1645836,1.0745665,1.056539,0.95532644,0.6775203,0.78673905,1.2308664,0.6060885,1.0308454,1.1302091,1.0586903,0.8822455,0.88410836,1.0146317,1.2214863,0.705801,0.95374954,0.6397461,1.4378567,0.9725267,1.3931692,0.8876884,1.2732491,1.1891007,1.2907348,0.9103476,1.2440319,1.1280489,0.80379677,0.66042376,1.1451101,1.436384,1.3817086,0.9663828,0.9072673,1.0359786,0.7282281,0.9349147,0.9280364,1.3822325,0.62232465
cup,1.5176193,0.8035159,0.622731,0.89594823,1.4709597,0.60508156,0.2951436,0.7816538,0.8282173,1.3714707,1.3016369,1.4195328,0.46093225,1.2651653,1.5119287,1.018881,1.4853265,1.183743,0.96402067,0.10131568,0.19558835,1.111186,0.9073248,0.613099,0.41846025,0.7415136,0.30584693,1.0617142,0.99152297,1.363026,1.1836033,1.264036,0.77021945,1.3045166,1.3147509,0.7256348,1.254103,0.8956848,1.2580686,1.1593935,0.27927935,1.2089297,0.0,1.2541256,1.0312124,1.4581963,1.1815153,0.92123103,1.008201,1.3752829,1.2368536,0.7061613,1.2153076,1.3015949,0.98267424,0.93200135,0.6887585,0.74583685,0.9913152,1.3437442,0.6333295,1.2596691,0.68650997,1.3668301,1.293986,1.4087179,0.36011112,1.1044655,1.335248,1.4433742,0.921107,1.5515517,0.88984823,1.354775,0.46386337,0.75041485,1.3235999,1.209553,0.89724624,1.3050611,1.2187655,1.0607849,1.0962377,0.33161104,0.8756112,0.9988511,0.88719887,0.4523099,1.3614407,1.2452606,1.4947621,1.4882334,1.3484967,1.1296091,0.37097865,0.32954466,0.8594949,0.7711398,0.53535855,1.3651416,0.8818431,0.5255809,0.9459949,0.94132894,1.4000741,1.228263,0.60742134,0.799773,0.98492855,1.1712341,0.95634705,1.4205983,1.2003638,1.5130533,1.2430067,0.33944476,1.0807157,0.61126286,1.2882726,0.46415532,1.0126772,0.27373415,1.2038434,0.7493709,0.4374541,0.94231695,1.2721624,0.726084,0.8457246,1.4555973,1.3466766,0.26353455,0.74514765,0.6027689,1.1052643,0.9594992,0.52228415,1.2993777,1.0822647,0.5092661,0.74944496,1.0538815
deer,0.88334864,0.97246724,1.2073528,0.9792817,1.0719267,1.2859669,1.2895612,0.9541447,1.0256557,0.879609,0.9084165,0.923011,1.1239089,0.9786714,0.8579526,1.0232141,0.8450485,1.0896219,1.1960129,1.2115866,1.3211052,1.0353721,0.94806296,1.0222161,1.0930115,1.1392199,0.96924657,1.1436162,0.9100725,0.7140888,0.7216065,0.9462904,1.2086337,0.9086282,0.8348324,1.099632,1.1485207,1.0357063,0.88300395,0.9526998,1.2065414,0.9448892,1.2541256,0.0,1.0830929,0.80338085,0.98465693,0.8515459,1.105354,0.88630885,0.993849,1.100297,1.0688883,1.0713919,0.98608,1.1477766,1.098328,1.0703616,1.1065247,0.9518901,0.9610175,0.92404985,1.2151707,0.921999,0.90696084,0.88398,0.99965984,0.83744586,0.885153,0.6288227,0.9284096,0.70354986,1.0391335,0.8686609,1.1630003,0.8002795,0.9082894,0.998826,0.9416309,1.0031679,0.91597795,1.0834203,0.9832231,1.1759483,1.0096,0.7537266,1.0168992,1.2867961,0.8714742,1.0510144,0.9434107,0.6382193,1.0778968,1.0504266,1.1741905,1.1763611,1.0215929,1.1582314,0.870292,0.8191649,1.0048952,1.200829,1.0642476,1.0260559,0.7507029,0.8462088,1.1783803,0.9687742,1.001938,0.596437,1.0927439,0.6967814,1.1041393,0.8713591,0.7622104,1.0780418,0.7729026,1.1277959,1.0671716,1.0378686,1.017563,1.224443,0.79234016,1.025763,1.0190761,1.0248293,1.0157241,1.2156273,1.0277624,0.90556073,1.0879306,1.3151402,1.0415622,1.0277325,1.1551313,0.9556325,1.2767004,1.069142,1.2410954,1.1481261,0.91608554,1.0735177
dish,0.941177,1.140732,0.9210422,1.1223187,0.8576961,0.55343866,1.0684221,1.1879449,0.9468345,0.87541264,1.0185069,0.9518406,1.3807318,0.99970955,0.84306353,1.0847989,1.0357958,0.9975418,0.9563117,1.2216105,0.78751147,0.85086834,1.1127753,1.2946464,0.8242978,1.1219954,1.3313342,1.0116102,1.1954443,1.1553857,0.9838885,0.9608324,0.7832274,1.0221697,1.0650294,0.78247905,0.7732398,0.72414124,1.0475372,0.92898786,1.3566731,0.9630562,1.0312124,1.0830929,0.0,0.9327125,0.7267085,1.1894673,1.1096418,1.0947347,0.89963657,1.0144814,1.0023267,0.99518067,1.1464624,0.94958526,1.155491,1.1843749,0.89601034,0.6444905,1.3429816,0.88433564,0.6616847,1.0415394,0.8637048,0.82114506,1.1947659,1.2045245,0.90653414,1.1476514,0.68541694,1.0210295,1.1276675,0.94276834,1.156292,1.2382638,1.048072,0.64278835,0.8315203,0.7604359,0.83454216,1.0902128,0.86527133,1.2927098,1.1206696,1.2000566,1.153012,0.9788898,0.97861785,1.0651023,0.9959475,1.0764294,0.88796204,0.88886,1.3403159,1.3570437,1.1318116,1.0225824,1.4713098,0.81897306,1.0172298,0.6348814,1.1194389,1.0071263,0.8592098,0.7785113,1.0403123,1.0509732,0.9892477,1.1628702,0.64438266,1.0517408,0.87762856,0.9832544,0.9998434,1.3448958,1.0589609,1.1156313,0.89391243,1.3495185,0.9959439,1.2836134,1.0267254,1.0273255,1.2246035,0.9666612,0.9159568,1.0383935,1.0758222,0.99412316,0.70574266,0.8000047,1.254497,1.2811275,0.66564083,1.1784836,0.74974656,0.5493668,1.0361656,1.267503,1.2910483,1.0901955
dog,0.3528533,1.3746598,1.3161064,1.1572235,0.59257066,1.1500262,1.4085011,1.1799194,1.1664541,0.6621603,0.79749477,0.5359458,1.2901382,0.8785591,0.6548735,0.71496576,0.42148602,0.9861242,1.0676054,1.381634,1.3590931,1.0219848,1.2100356,1.4508243,1.3184156,1.2025884,1.4515356,0.8521817,1.236937,0.40009248,0.8685619,0.76687104,1.2652199,0.8483223,0.6091065,1.2516243,0.9492414,1.1365169,0.7066023,1.1182013,1.5060391,0.7732599,1.4581963,0.80338085,0.9327125,0.0,0.5622002,1.2095324,1.1723155,0.8128676,0.9525556,1.3524834,0.8301285,0.74439645,1.2954448,0.9941657,1.2210482,1.2606915,0.793379,0.66153044,1.316748,0.83166134,1.2338028,0.7042416,0.7972592,0.9278516,1.2479838,0.5373328,0.86583877,0.73564446,0.9446337,0.57579374,1.2902758,0.76664954,1.4119987,1.2221477,0.7782835,0.92568445,1.083335,0.77710843,0.8817149,1.2207372,0.9885681,1.3730615,1.1335099,1.323815,1.2550302,1.3670918,0.8183384,0.72692794,0.55020607,0.55991066,0.8407024,0.90543765,1.4889222,1.4356651,1.1644666,1.4029688,1.318078,0.661359,1.1050184,1.3249125,0.8678187,1.1232076,0.63475597,0.7783234,1.237858,1.2524045,1.0681216,0.8270751,1.1295367,0.7845505,0.8697582,0.572105,0.69639313,1.4311824,0.79543895,1.2115777,0.7703512,1.3189362,0.87317395,1.4252479,0.83255404,1.3550719,1.3749077,1.1244667,0.9034388,1.2718704,1.0718157,0.6190964,0.59321547,1.3528819,1.3254737,1.3880535,0.950867,0.9831826,1.1398075,0.7251345,1.0000495,1.4087883,1.347057,1.074894
doll,0.528239,1.3191766,0.99045515,1.012414,0.92001206,0.8417896,1.1676011,1.0442029,0.974572,1.0594025,0.99537426,0.8415222,1.4000448,1.0172687,0.8638062,0.9506043,0.7934992,1.0873623,0.7994847,1.2615223,1.133568,0.8233952,0.9685964,1.366113,0.99644834,1.0967515,1.3614955,1.160093,1.1844199,1.0837052,0.886757,0.7851502,0.9752495,1.0266118,1.0143006,1.0559049,0.98343676,0.91448575,0.89645565,0.887767,1.3849628,0.78752255,1.1815153,0.98465693,0.7267085,0.5622002,0.0,1.2175034,1.1029618,1.0340719,1.0597655,1.0807202,0.9978559,0.88999325,1.159673,1.1699482,1.0524987,1.3074774,0.49013078,0.8678911,1.382004,0.7382698,0.8225554,0.972356,0.72727835,0.8475362,1.2397512,1.0093274,1.104205,1.0507088,0.7018978,0.9905088,1.2776558,0.81033766,1.3941474,1.1574209,1.1196904,0.8221177,0.82165796,0.66753757,0.74546945,1.177913,0.7348154,1.3309975,0.9768285,1.3100336,1.1732587,0.9669223,1.0244119,1.0514159,0.85747725,1.0182962,0.8558656,0.6264393,1.4044499,1.3982029,1.0583742,1.2375474,1.3532722,0.76687807,1.0078964,1.088628,0.86120224,0.8816368,0.715124,0.6895705,1.092509,1.0794137,0.8878931,0.7926546,0.83649457,1.0018108,0.95597357,0.9243952,0.89392745,1.3342965,1.1046418,1.3288302,1.0038881,1.2977663,1.0925099,1.302764,0.90811604,1.0542877,1.301127,1.1659787,0.86043864,0.92837113,0.9818412,0.8577501,0.71157235,1.0267293,1.2232778,1.3642755,0.8695244,0.9265154,0.58830506,0.68298155,1.1269888,1.2896203,1.3485788,1.172659
door,1.1872189,0.9681099,1.1798991,1.1329876,1.1531904,1.2563721,1.0840535,1.119613,0.8404296,0.73235744,1.2159688,0.7666811,0.7930893,0.672625,1.1672552,0.9714985,1.0176605,1.0576961,1.0355535,0.88089603,1.0547479,0.785951,1.2163348,0.4244445,0.781518,1.0109777,0.51671886,0.81606656,1.0965788,0.8050277,0.6370731,1.2076061,0.98684835,0.39032215,0.9012482,1.1235166,1.1493323,1.1192738,0.7008947,1.2035844,0.9131735,0.6982285,0.92123103,0.8515459,1.1894673,1.2095324,1.2175034,0.0,0.5437148,1.0569097,1.2041395,1.2642897,1.0718381,1.2285109,1.1651314,1.0357839,0.9829328,0.8470981,1.1644412,1.0679257,1.0503567,1.2658955,1.2673426,1.1557544,1.2822442,1.2335562,1.0249493,0.86951816,0.9687972,0.82628524,1.0158689,1.0776764,0.83661383,0.84919375,0.77965117,0.7845496,1.1337892,1.1489223,0.89715904,1.3228308,1.01598,1.2202919,1.3143407,1.0581764,1.00846,1.0231293,1.1200628,1.1371986,0.640543,0.90576106,1.1758571,0.9093699,1.0171372,1.1225142,0.8752361,0.9616664,0.8556584,1.1455525,0.7587304,1.2319959,0.81245077,0.9732091,1.04435,1.1534641,1.2193601,0.98603475,0.7745192,0.88610256,0.4252746,0.98091716,1.1814096,1.1228749,1.1418152,1.0988684,1.0834612,0.8727453,0.4946236,0.62822586,0.9487111,1.0657566,0.9328328,1.004867,0.95339787,1.0281307,0.7684051,1.1081741,1.0839105,1.1245168,1.0924784,1.1023649,1.1559243,1.1139469,1.1132568,1.0232754,1.201121,0.9072816,1.1590987,1.189111,1.0750852,0.5367476,1.0714965,0.42269236
drawer,1.0952502,0.94420886,1.1695983,1.0782758,0.9812023,1.1878345,1.1262078,1.1558254,0.55619836,0.79008675,1.1738155,0.6528413,0.86468923,0.22521347,1.2630103,1.08645,0.8625474,0.8341233,0.776549,1.0537025,0.8737526,0.3236438,1.1477277,0.74744755,0.85710555,1.002346,0.8026242,0.7611228,1.1834967,1.0863144,0.68816507,1.0699146,1.0077671,0.7853911,1.1297061,1.1013846,0.85815036,0.98839974,0.5344905,1.113241,0.994148,0.5727999,1.008201,1.105354,1.1096418,1.1723155,1.1029618,0.5437148,0.0,1.0809433,1.2243197,1.227778,0.96886927,1.2208952,1.1475469,0.9995522,1.0732316,0.81597054,1.1657482,1.1596882,1.1333884,1.0477588,1.17118,1.2296139,1.1486719,1.1513922,1.1259663,1.2052575,0.87560666,1.1201441,1.0946978,1.1351063,0.6985343,0.8213236,0.85805964,0.98719805,1.2206377,1.101646,0.89048046,1.0622754,1.0231066,1.1761478,1.2437088,1.1351254,0.8084648,1.1501545,1.1363201,1.109591,0.6335982,0.9320502,1.1833153,1.0776551,0.7889896,1.1021667,0.85020345,0.92344785,0.9879528,1.2010647,0.86206925,1.1754835,0.94150007,0.8794157,1.0268064,1.1068659,1.0862925,0.8992089,0.65888554,1.0643883,0.6824599,1.2281253,1.0857077,1.1831931,0.96646464,1.1691078,1.0353674,0.9987324,0.899163,0.52394664,0.78904885,1.043822,1.0341282,1.1097443,0.87545353,0.891139,0.93690336,1.1996754,1.1088123,1.0846299,1.0267586,1.1297227,1.0475948,0.9608722,1.162627,1.0837848,1.0935249,0.7670313,1.072778,0.9598712,1.0564106,0.7193222,1.1592531,0.70412064
dress,0.84810984,1.1287444,1.2815326,0.9817108,0.4960662,1.2366548,1.3412418,1.2317836,1.217329,0.7679177,0.822086,0.8025043,1.1897877,0.90862167,0.60842025,1.0847472,0.76834273,0.9376176,1.1074218,1.3307595,1.350496,1.0039209,1.1688519,1.1262851,1.2042619,1.1724384,1.2278028,1.0636914,1.0000488,0.80051583,0.87272966,0.8943525,1.2189535,0.82472396,0.71672255,1.2075958,0.87827206,1.2056231,0.884011,1.0622357,1.2984943,0.9599331,1.3752829,0.88630885,1.0947347,0.8128676,1.0340719,1.0569097,1.0809433,0.0,0.9416461,1.147509,0.8751456,0.8223807,0.82578206,1.1334476,1.282596,1.238713,1.2844827,0.88770664,1.1538601,0.7954223,1.3127694,0.76257735,0.78826576,0.6105995,1.2957337,0.9841299,0.88000095,0.60253996,1.0886515,0.47052932,1.1324784,0.7795974,1.2567405,0.98213905,0.7925676,0.99342096,0.9642208,0.8004042,0.99690026,0.9574204,1.0993587,1.2420737,1.0219965,0.8903224,1.0817738,1.3479464,0.8494892,0.9047731,0.46764338,0.5432588,0.8360584,1.061287,1.3300447,1.2743976,1.1510532,1.1992558,1.153364,0.88602936,1.1606913,1.3012297,1.1329653,1.0093513,0.9144433,1.0211163,1.2852633,1.1799661,1.0434331,1.0221138,1.1340917,0.6955732,0.9663437,0.44663835,0.9793106,1.2935576,0.9501096,1.1803888,0.8922856,1.22539,1.1134238,1.3270578,0.7186105,1.1445045,1.3015869,1.0977778,0.95591223,1.2243066,1.2193184,0.53829217,0.7449543,1.3152802,0.9390331,1.1723168,0.8857466,1.0413408,1.3554933,0.93140125,0.9508818,1.199068,1.0766397,0.9432853
ear,0.98612064,0.8904519,0.99446034,0.9173707,1.0746825,1.0972748,1.1610391,0.9840168,1.3268633,1.0575061,1.0008942,1.0610342,1.0787952,1.1461444,0.7328083,1.3032196,1.0264064,1.0970042,1.2243004,1.2034724,1.279809,1.2149539,0.85677564,1.1666381,1.2030917,1.17755,1.1711686,1.0564587,0.7046945,0.98806185,1.1139929,1.0142282,1.1743504,0.9594266,1.0650465,1.008601,1.0543871,1.0739547,1.0654136,0.8951851,1.1351173,1.2237008,1.2368536,0.993849,0.89963657,0.9525556,1.0597655,1.2041395,1.2243197,0.9416461,0.0,0.85651416,1.1434695,0.67180413,0.63838977,0.9385039,1.1422131,1.1837057,1.0833095,0.918252,0.75904435,0.932786,1.053764,0.6412308,0.7762124,0.68935025,0.9607254,1.022969,0.92560107,0.9820609,0.9991659,0.75454915,1.136921,1.0473427,1.1806159,1.1552478,0.77214974,0.8852299,1.1416031,0.87976795,0.9882617,0.5853168,0.793168,0.9571279,1.1687202,0.6871893,0.6480337,1.1477065,0.97511744,1.1953615,0.9527644,0.786659,1.016228,1.0474483,1.2145686,1.129189,1.1532797,0.94707596,1.1142335,0.85918367,1.1220679,1.2402272,1.1460987,0.89564276,0.851408,1.1000489,1.2867097,0.9679438,1.1729894,1.005186,1.0776473,0.81922334,1.11638,0.7979429,0.87799275,1.0987214,1.1436929,1.2702513,1.0074009,0.9776671,1.0183381,1.0969443,0.9941164,1.010459,1.1678349,0.7757321,0.8439021,1.0333135,1.0375527,0.9885122,1.05222,1.2309744,0.69505847,0.8903858,1.0058178,1.2036626,1.2862664,1.0858223,1.1160204,1.2930789,0.784431,1.2256397
egg,1.3367014,0.65125537,0.37752295,0.5867425,1.4196801,0.6341642,0.41998148,0.55470556,1.1215272,1.380554,1.0925236,1.5326173,0.8698448,1.4076856,1.2500186,1.3275692,1.4059143,1.1993794,1.2839707,0.8338703,0.76341015,1.3241588,0.3493328,1.0192474,1.0146257,1.006333,0.87484396,1.2855731,0.5476606,1.3357298,1.3980631,1.1454397,0.94866955,1.4158032,1.3261466,0.517102,1.3221622,0.64886254,1.4330156,0.76273227,0.66436493,1.4750977,0.7061613,1.100297,1.0144814,1.3524834,1.0807202,1.2642897,1.227778,1.147509,0.85651416,0.0,1.2904263,1.1114149,0.5281049,1.008393,1.0140649,1.0101945,0.94923615,1.3963307,0.58977586,1.0109276,0.6952283,1.1683587,0.91713333,0.9956436,0.60504216,1.165139,1.2488188,1.3033526,1.116286,1.2251946,1.0185678,1.3666981,0.772782,1.0121248,1.0326751,0.8119545,1.1731747,0.9869298,1.1347855,0.6850393,0.4331385,0.5029306,0.9098955,0.61434,0.5758,0.3562529,1.5039163,1.3567206,1.3433467,1.2516599,1.3748626,1.0586634,0.7801507,0.71039176,0.9091908,0.40755737,0.73258245,1.1388445,1.1651478,0.7868447,1.0308639,0.60155916,0.9842322,1.4746823,1.086428,0.74923813,1.3872106,0.99432844,0.74269927,1.1311562,1.3848438,1.3173738,1.1757002,0.7324543,1.3128163,1.0984687,1.4089882,0.43851757,1.2138318,0.48677897,1.2009093,0.43865937,0.7699317,0.80863667,1.2145841,0.61417776,0.812806,1.3607261,1.3813716,0.64413,0.44798565,0.54738545,1.2623569,1.1364682,0.836753,1.3474382,1.1604565,1.0883899,0.59234244,1.3597742
