,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.2655113,1.015066,0.86979413,1.1205453,1.0726892,0.9422065,1.3139765,0.72056067,0.67349374,0.77542394,1.4556127,1.0970311,0.81537485,0.40739888,0.7271413,0.6312045,1.435,1.2445145,0.9052668,1.0533321,1.3283556,1.502318,0.47810477,1.4216397,1.0313684,1.13523,0.6278637,1.0526642,0.86353916,0.98151463,0.88580227,1.1764508,1.0266571,1.1247965,1.0009842,0.60325634,1.3564701,0.9046166,1.5066754,0.8394005,0.7973527,0.5548619,0.78418136,1.0610899,1.1098334,0.9175292,1.1085885,1.3720368,0.8947847,1.016167,0.90353096,1.3142997,0.6056146,0.72877216,1.2372817,1.2938352,0.34587383,0.52842003,0.813939,1.3706607,0.91688687,0.8907378,0.93446976,1.1673208,0.9046909,1.3870797,0.64546967,0.9036503,1.0805135,0.7862189,1.0280148,0.9903622,1.4296423,1.4238007,0.75528425,0.9801628,1.0022354,0.83916664,1.328788,1.0832232,1.0399197,0.9702087,1.4530786,1.1238972,1.3089929,1.2971327,1.2292246,1.0748681,0.5057251,0.91022724,0.93143535,0.55576444,0.9657735,1.1624808,1.3985673,1.3795068,1.0145223,0.7878952,1.3887992,0.5537947,1.2344193,1.0453211,1.2624748,1.1846962,1.1275154,1.2906693,1.2869493,0.945226,0.70016664,1.0456275,0.6939565,0.8855227,1.2721586,0.9651486,0.8792915,0.89994997,0.92388266,0.84764063,1.3796674,0.78236973,1.3409688,1.1582574,1.0331438,1.1216192,0.7816502,1.2650703,1.369883,1.0093277,1.1337993,0.7113775,1.316062,1.3696588,1.07175,0.636747,1.1008358,0.7970485,0.6901492,0.8100551,1.4214094,1.4468877,1.0508869
apple,1.2655113,0.0,0.9014116,1.3379438,0.55485845,0.43676996,0.48949778,1.0458984,1.4621421,1.2239113,1.4114134,0.73698366,1.2468486,1.3012233,1.2531899,1.4056246,1.1807058,0.5924696,0.94093704,1.2697308,0.8353039,0.74682295,0.75094223,1.101927,0.955276,0.93659806,0.7961821,1.3379221,1.3907537,0.94535357,1.0648415,1.399699,0.89936805,1.1572766,0.7877778,1.3515968,1.0407137,0.57114804,1.4238222,0.6913785,1.1299498,1.2557064,1.1707139,1.2384737,1.2342539,1.1455783,1.2362977,0.9070632,0.46947753,1.0771112,0.96672267,1.1190335,0.7578721,0.91660833,1.0819435,0.8718568,0.89010316,0.87607664,1.1480138,1.2751508,0.697847,1.1202536,0.6765173,1.1439947,0.5420004,1.1408076,0.6398093,0.9921863,1.2524995,1.0639555,1.350678,1.0712624,1.3192207,0.8104101,0.8981707,1.1115141,0.9429258,1.2480268,1.0557954,0.8007699,1.0064452,0.8318085,0.7676031,0.4907239,1.0182136,0.8146961,0.5465431,0.5165163,1.3255715,1.2508587,1.3181465,1.3820579,1.3541496,1.1479291,0.78758055,0.6393678,0.67215693,0.27171922,1.1890469,0.7756741,1.2375782,0.7438957,1.0082929,0.4656132,0.78682005,1.0857699,0.7830267,0.72727036,1.2463025,1.0787411,1.0096463,1.1796803,1.3329886,0.817497,1.314091,1.2377744,1.3349347,1.3353586,1.1285163,0.5129796,1.1813302,0.48618352,0.97217786,1.0349343,1.0673262,1.0151597,0.8159914,0.4132781,1.2521526,1.1897305,1.4120307,0.5355979,0.7059125,0.8262687,1.2272645,1.0457271,0.7309548,1.3347175,1.2374862,0.9222338,0.61059487,1.2474734
applesauce,1.015066,0.9014116,0.0,1.1858861,1.0184768,0.9482159,0.6446661,1.0785497,1.0614225,1.0866632,1.2165879,1.1790977,1.1031362,1.0930549,0.9466194,1.1729033,1.1035475,1.1489707,0.62078667,1.043554,0.8492485,1.1699549,1.0638949,1.0060644,0.9218436,1.1092892,0.89878064,1.0915868,1.1548362,0.6811032,0.9723395,1.1737161,0.5869231,1.1211786,0.8652917,1.1915663,0.7090679,1.1305325,1.1657494,0.8937032,1.0096041,0.7880249,1.0287861,0.95249504,1.2128236,1.0479228,1.143696,0.94435406,0.5508056,1.2552984,0.79989046,1.1678429,1.0796441,0.82297707,1.0493127,0.9653917,1.1182743,0.8155762,0.9988634,0.9343769,1.1747833,0.9898293,0.8422274,1.2081668,0.8434517,1.070841,1.217355,1.1075009,1.2648858,0.77429736,1.1500161,1.0182695,1.1316605,1.0164177,1.0429212,0.97552806,0.63649035,0.9838374,0.9437944,1.1727607,1.0359533,0.87819874,0.769537,1.1208386,0.98740727,1.1700151,1.0051008,0.5877011,1.2574171,0.9441479,1.1393527,1.17441,1.044389,1.0327259,0.9212389,1.2064722,1.1988702,0.7254007,0.89736503,1.06553,0.89294875,1.0571338,0.7591979,0.89236856,0.97692317,1.1112884,1.086234,0.91478384,1.1829045,1.1094697,0.5336395,0.7996565,1.1192322,1.1194276,1.1571615,0.7145959,1.1776484,1.0640184,1.1755098,1.1252236,1.155401,1.0383043,0.95358986,0.5874711,0.789835,0.7713345,1.0261021,0.97894,1.2407515,1.229336,1.1156145,0.6644566,1.0684136,0.807972,0.9184335,1.0833204,0.8675859,0.95536315,0.99826694,1.237962,1.0994608,1.2635022
arm,0.86979413,1.3379438,1.1858861,0.0,1.4015394,1.4507744,1.4423821,1.232851,0.59638184,0.7413908,0.4573967,1.1752938,0.8220791,0.34501666,0.855488,0.4985122,0.96440595,1.4394052,1.3277864,0.8646425,1.2472737,1.2441825,1.4518098,1.0132422,1.207752,1.2599291,0.9422545,0.70090246,0.76954234,1.1363554,1.2125976,0.72727334,1.201751,0.9928159,1.2965534,0.6305927,0.9994235,1.382812,0.6542578,1.4865022,0.92697054,0.92743313,1.0307591,0.8246379,0.9485054,0.95801604,0.4307717,1.0068157,1.4144354,0.9887561,0.9937438,0.79737765,0.8938344,1.0994891,0.9082202,0.97361964,1.2254866,1.2557572,0.93793327,0.81429493,1.2029133,0.8733263,1.3704494,0.6848231,1.3517971,0.42439306,1.366056,1.2120078,0.6272419,1.2145666,0.4362712,1.0719132,0.8449247,1.2969604,1.1242833,0.9461853,1.1709762,0.84811985,0.92493206,1.2768002,1.2327523,1.0819159,1.4311057,1.3130713,1.1026151,1.0401541,1.2596605,1.4329097,0.80599064,0.91455257,0.34739113,0.39494383,0.62281007,0.9573188,1.277487,1.3412228,1.3071126,1.2336775,0.7516122,1.1451373,0.8832552,1.2722378,1.2923115,1.3534207,1.1426034,1.0903612,1.4333801,1.1953577,0.88530624,0.9590766,1.1763813,1.0374051,0.28878546,1.3493876,0.42082107,1.0263256,0.60362434,0.8006667,0.6925903,1.3754213,0.8996523,1.3702732,0.94262874,1.1347784,1.1767007,0.96369463,1.2358104,1.3928136,1.024642,0.57161623,0.5397947,1.5865507,0.9668403,1.116809,0.7788149,1.0090853,1.3358915,0.7644211,0.856884,1.2752382,1.3292178,0.8932396
ball,1.1205453,0.55485845,1.0184768,1.4015394,0.0,0.3818475,0.7509089,1.0604703,1.3134596,1.143668,1.2753733,0.94876105,1.2296685,1.2782952,1.1595998,1.284311,1.0323424,0.59337384,0.81409496,1.1799618,0.7697022,0.93088806,0.7271756,1.0935872,1.1704152,0.9039582,1.1482377,1.302211,1.3386403,1.1278673,0.89935935,1.3585949,0.7758151,1.0759816,0.7608762,1.2503052,1.1159394,0.76081663,1.3279551,0.60583055,1.1173228,1.1050998,0.97609556,0.9777347,1.2600601,1.2102176,1.2524216,1.0407463,0.5092546,1.074633,1.2574422,1.0710139,1.0660206,1.1027483,1.1724637,1.1866496,1.0291263,0.7819878,1.0900306,1.0790102,0.92258817,0.9358561,0.6031063,1.2429925,0.6347314,1.2770628,0.6909107,0.8158043,1.2277374,0.8354079,1.4275972,1.2587028,1.217308,0.78863,1.0620404,1.1512923,0.808782,1.1272253,0.7629043,0.98838013,0.9191619,0.86865735,0.68608576,0.7250555,0.946172,1.1229134,0.50406533,0.5504111,1.3140724,1.0780245,1.3082345,1.4348416,1.2253323,1.0410035,0.7629639,0.8189515,0.83721274,0.75015455,1.0814927,1.0271554,1.1044501,0.70845807,0.93888754,0.76667786,0.65907073,0.93248236,0.84683347,0.9776914,1.1658891,1.0728401,0.8246194,1.0665259,1.384067,0.7562592,1.3723909,1.1046516,1.1890093,1.2603295,1.0950748,0.79005176,1.0924448,0.68729573,1.1021818,0.9714221,0.96339285,0.9012859,0.89411926,0.56391186,1.0626028,1.20575,1.2062308,0.41973662,0.98380977,1.1358613,1.1906013,1.0059574,0.38832664,1.1067839,1.2294624,0.93869454,0.8853136,1.2085214
balloon,1.0726892,0.43676996,0.9482159,1.4507744,0.3818475,0.0,0.6170361,1.0855689,1.3744237,1.234637,1.384449,0.9757149,1.2735925,1.3015683,1.214189,1.391305,1.071479,0.7094201,0.9001275,1.1785908,0.8471724,0.9326799,0.8341153,0.96568024,1.0729578,0.9072694,0.8920338,1.3274767,1.3637393,0.8976727,0.944192,1.3578043,0.84686124,1.1607032,0.81458277,1.3250597,1.0984445,0.7689276,1.3672832,0.70625967,1.1248487,1.1543021,0.90218455,0.97454226,1.1990848,1.1789541,1.2717757,0.93006057,0.57031584,1.097281,1.1302935,0.9810762,0.9225545,0.9782182,1.1210042,1.0143355,1.0109633,0.658648,1.0507733,1.1322562,0.8177329,1.0707027,0.70104516,1.1892531,0.54519063,1.1999552,0.746465,0.745244,1.3173645,0.8735571,1.4457238,1.1775197,1.2503583,0.9021133,0.9913132,1.0030117,0.96708626,1.1679016,0.9161563,0.95706296,0.97982836,0.8218733,0.7115135,0.67067873,1.1035105,0.9709442,0.67179096,0.4592142,1.284887,1.1486385,1.3522183,1.4209332,1.2507743,1.0030586,0.8005494,0.85461324,0.8590599,0.5854196,1.1558167,1.0324106,1.1115131,0.8028805,0.9488713,0.66505986,0.67919207,0.9983685,0.83674824,0.8907745,1.1340787,0.98423624,0.8613522,1.0666738,1.401009,0.85974866,1.4063666,1.1570492,1.2911195,1.2967175,1.1037174,0.786768,1.1283398,0.740834,1.1119412,1.0332649,1.0145783,0.810913,0.890815,0.40857172,1.1487101,1.2698693,1.312327,0.55123895,0.8645527,0.94517976,1.1064954,1.1480858,0.4240299,1.1879394,1.2077155,0.97391814,0.82459116,1.1900669
banana,0.9422065,0.48949778,0.6446661,1.4423821,0.7509089,0.6170361,0.0,0.9764915,1.4562613,1.2287831,1.4726727,0.86154616,1.2363374,1.4072794,1.0482744,1.386656,1.0710338,0.79813284,0.89507926,1.2385068,0.67463416,0.8142519,0.851951,0.96522164,0.922034,0.86652684,0.77682656,1.2964864,1.3796657,0.6258841,0.9583246,1.4887137,0.98503804,1.021694,0.6358194,1.3837373,0.71287775,0.6149428,1.4275129,0.8578576,1.1289568,1.1777409,0.90323603,0.9916128,1.29389,1.1741366,1.3863305,1.0054873,0.5463857,1.0993116,0.96129066,1.2067529,0.9254449,0.6167519,1.1248573,0.8865869,0.7783668,0.50702626,1.0059581,1.3321203,0.78637266,0.87849927,0.61860055,1.3231335,0.544971,1.2420149,0.81434405,0.8097688,1.278854,0.988311,1.440947,0.81472224,1.3069576,0.9588134,0.95575494,0.9981421,0.65537465,1.2431902,0.84714925,0.8217076,0.9710768,0.99073344,0.51035666,0.7966306,0.7803693,0.9216727,0.8770392,0.58340657,1.4447738,1.1053557,1.4275448,1.4439747,1.3498117,1.0948203,0.70362496,0.6997179,0.6715878,0.49912477,1.2983972,0.7769817,1.0446882,0.83083224,0.838549,0.492333,0.707601,1.0304766,0.77109486,0.82315934,1.3599029,1.0626073,0.9210984,0.8667722,1.4404857,0.74280596,1.41711,0.9547907,1.4620146,1.3315654,1.264952,0.6182938,1.1470464,0.7550819,0.87727857,0.9257202,0.8269367,1.050194,0.74607384,0.6670405,1.149757,1.3530211,1.470041,0.58304346,0.8901761,0.68460375,1.0469514,0.835289,0.61669743,1.2684394,1.2542155,0.9699556,0.7733994,1.3447944
basket,1.3139765,1.0458984,1.0785497,1.232851,1.0604703,1.0855689,0.9764915,0.0,1.2160823,1.3125559,1.2227068,0.6594645,0.5829356,1.3952706,1.2614845,1.2366345,0.84504294,0.6782767,0.79642177,0.7179308,0.9002573,0.6280664,0.49700314,1.1707542,0.64786136,0.73493797,1.0889524,1.2408197,0.76408756,1.156159,0.8653951,1.0083277,0.9506021,0.59347683,0.78520715,0.93645626,1.2098175,0.6909723,0.88614005,0.6161979,1.1257752,1.1669631,1.2406063,1.1969203,0.77639425,0.538761,1.3877382,1.2338963,0.99863756,1.0745887,1.1309332,1.294948,1.0075185,1.2005587,1.1605589,0.9636393,0.52760714,1.2266798,1.2291691,1.1514404,0.8334844,0.9933373,1.0414904,1.2814533,0.9497617,1.2518778,0.77168244,0.99962944,1.1453451,0.8330201,1.330951,0.70454246,0.84071,0.5463307,0.67825204,1.2210665,0.82609963,0.9805086,1.1221962,0.63147426,0.88032955,1.1837517,0.9671844,0.906216,0.7502209,0.9939543,1.1086779,1.0103413,0.84330004,1.2258496,1.3348534,1.262879,1.2195375,1.133608,0.8647578,0.5710171,0.5457426,1.1996814,1.2425224,0.6548073,1.2238172,0.72196823,0.7167983,1.0475233,0.9408287,0.7001847,0.45159864,1.0652654,0.92499083,1.209968,1.0550605,1.0353122,1.3672297,0.45569944,1.2346361,0.9727447,1.2304952,0.8923756,1.1914074,0.7275943,0.9802672,0.7928082,0.9694705,0.95903677,0.76024604,1.3459828,0.6756135,0.81932026,0.85829335,1.1213849,1.2324549,0.80835927,1.0075468,1.0106313,1.1990123,0.85141146,1.159711,1.2639008,1.0591893,0.542879,0.7236494,0.7508199
bathtub,0.72056067,1.4621421,1.0614225,0.59638184,1.3134596,1.3744237,1.4562613,1.2160823,0.0,0.5724311,0.36707675,1.4822216,0.76648206,0.6144256,0.7449522,0.39019513,0.8565358,1.4607366,0.87914765,0.59479856,1.2191725,1.3459716,1.4224782,0.93268275,1.3286729,1.231223,1.3714837,0.5604638,0.7764192,1.173995,1.059127,0.49714595,1.1403481,1.1615773,1.3521328,0.65802485,0.896164,1.5308518,0.58127517,1.3459849,1.0812329,0.4254468,0.91898096,0.9981541,0.68545437,0.8046909,0.7002092,1.2643456,1.4427719,0.9180209,1.1195385,0.9088245,1.4327178,1.2405632,0.89323795,1.371866,1.4305482,1.1391671,0.9468327,0.6587213,1.571231,1.1546396,1.3170105,0.9553696,1.5147603,0.95070153,1.5688155,1.1970065,0.6639296,1.0814598,0.41168058,1.1282873,0.75409555,1.2954247,1.2802246,0.9064075,1.0742097,0.7325974,1.1187077,1.3211634,1.2561069,1.1767297,1.3909609,1.5226734,1.0711197,1.4080738,1.3835076,1.3684887,0.5739176,0.65048647,0.5936903,0.6517288,0.51682204,0.8253561,1.3076367,1.4409331,1.4675627,1.3199445,0.52579933,1.4463525,0.5273576,1.1480253,0.8323066,1.557597,1.289237,1.1119136,1.4057667,1.4156706,0.5808923,1.0731698,0.8710279,0.7487517,0.60458654,1.455528,0.77870274,0.74785495,0.4087503,0.23168612,0.611217,1.5312333,0.7183271,1.3685174,1.2302979,0.85197115,1.0473347,0.74269426,1.2475417,1.5484928,0.99241275,0.7633798,0.26582205,1.3577361,1.470936,1.4248546,0.67183965,1.065812,1.1381905,0.23447204,0.7597382,1.2702291,1.5660721,0.8218094
bear,0.67349374,1.2239113,1.0866632,0.7413908,1.143668,1.234637,1.2287831,1.3125559,0.5724311,0.0,0.59878045,1.307778,1.0646192,0.7429901,0.68433857,0.53008646,1.1205062,1.3688055,1.2128137,1.0802753,1.06899,1.329014,1.429117,0.943108,1.3568116,1.1240891,1.1746814,0.39063334,1.0646417,1.0395416,1.0198228,0.8238312,1.174324,1.0910119,1.1754086,0.86337745,0.7478349,1.3595536,0.8856114,1.4477708,0.9318516,0.81172943,0.59760314,0.99992555,1.0769486,1.1678109,0.73554313,1.1272643,1.2473786,0.43458515,0.9909453,0.90071285,1.2714602,0.9975075,0.88227236,1.2470005,1.3791256,1.0341142,0.8908323,0.89361686,1.3480768,0.92319876,1.2232661,0.90794164,1.2486758,0.97577626,1.2798021,1.0095649,0.6698945,1.2024091,0.4611624,1.1706798,1.0122725,1.2914575,1.3294168,0.91356236,1.0899584,1.0474964,0.89913595,1.337882,1.147084,1.166329,1.1706746,1.2948873,1.1565487,1.2920777,1.2033745,1.2692628,0.8569664,0.6203645,0.67522883,0.7102905,0.8584311,0.9791639,1.1903076,1.3546691,1.3763856,1.1563972,0.4107887,1.2515998,0.6148745,1.178173,1.1750897,1.2049444,1.168709,1.1631604,1.265883,1.1626973,0.9920862,0.91813076,1.0976496,0.962784,0.69652545,1.2078065,0.8164399,0.95081156,0.76909894,0.8230529,0.73238105,1.3231412,0.67173505,1.2236496,1.1612874,1.050599,1.1924115,0.93463296,1.2515423,1.3235637,1.0108998,0.7792139,0.6435663,1.3153071,1.275259,1.2619722,0.9662581,1.0687912,1.1555144,0.61522955,0.7867933,1.3511516,1.3397785,1.028586
